,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,allergens,generic_name,packaging,categories,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,traceability_code,palm_ingredients,brand_owner
10,"Chianti Barone Ricasoli, Barone Ricasoli",8001291057515,,['France'],[],[],?,0,0 kj(0 kcal),5,1,5,2,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pesto - Despar,8001300223146,['Despar'],['France'],[],[],?,593,2481 kj(593 kcal),60,"8,4","5,7",0,"6,5","3,3","1,32",,['en:gluten-free'],,,,"['Epicerie', 'Sauces', 'Sauces Pesto']",,,,,60 g,en quantité élevée,8.4 g,en quantité élevée,0 g,en faible quantité,3.3 g,en quantité élevée,,+40%,+41%,+46%,+40%,-14%,-100%,+46%,+42%,+42%,25,+37%,E,+37%,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,
12,Multigrain di riso e frumento integrale - Despar,8001300800033,['Despar'],"['France', 'Italie']",[],[],?,393,1644 kj(393 kcal),"4,3","0,9",79,"15,5","7,5","0,3","0,12",,,,,,,,,['Despar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Muesli croccante - Despar,8001300802600,['Despar'],"['France', 'Italie']",[],[],?,444,1858 kj(444 kcal),14,"3,6",66,24,"9,5","0,11","0,044",,,,,,,,,['Despar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Café de l'Italie - Bialetti,8001306006170,['Bialetti'],['France'],[],[],?,21,88 kj(21 kcal),"9,6","8,8","8,8","8,8","2,3","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Polli Carciofini Tagliati GR. 285 (e),8001310044274,['Polli'],['France'],"['carciofini ', 'contiene solfiti', ' 60%', 'olio di semi di girasole', 'aceto di vino ', 'contiene solfiti', 'sale', 'regolatore di acidità: acido citricot antiossidante: acido ascorbico', 'aroma', ' ', 'ALLERGENI IN GRASSETTO', ',']",[],?,94,393 kj(94 kcal),"8,8",1,"0,5","0,3","1,5","1,41","0,564",,,['Anhydride sulfureux et sulfites'],,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E300 - Acide ascorbique'],,,,
16,8001310100512,8001310100512,,['France'],[],[],?,?,,?,,?,,?,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bruschetta légumes et thon - Polli,8001310120312,['Polli'],['France'],"['mélange de légumes en propchcns variables ', 'carottes', 'cornichons', 'navets', 'céleris-raves', 'fenouil', 'ahichauts', 'chou-fleur', ' ', 'contient sulfites', ' 45%', 'huile de tournesol', 'thon 15%', 'double concentré de tomate', 'sel', ""sucre huile d'olive"", ""pâte d'anchois sel"", 'huile de tournescl', 'vinaigre de vin ', 'contient suf B', 'épices', 'acidifiant: acide Peut contenir tracec ée lait', 'Œuf', 'noix', 'SANS GIEN I SANS COLORANTS/ SANS CONSERVATEURS AJOUTES A AU RÉFRIGÉRATEUR']","['Non végétalien', 'Non végétarien']",?,303,1268 kj(303 kcal),30,3,"3,9","3,4","3,1","2,225","0,89",,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']","['Céleri', 'Poisson', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Pesto alla genovese - Polli,8001310141300,['Polli'],['France'],"['38% Basilicum', 'zonnebloemolie', 'olijfolie', '5% CASHEWNOTEN', '4,7% kaas ', 'MELK', 'zout', 'stremsel', 'conserveermiddel: El 105 ', 'El', 'yoghurt 0,8% vet ', 'MELK', 'natuurlijk aroma', 'zout', 'suiker', '1 ,3% Pecorino Romano kaas ', 'SCHAPENMELK', 'zout', 'stremsel', '1% pijnboompitten', 'OŒknoflook', 'SULElET', 'zuurteregelaar: E270,']",['Non végétalien'],?,365,1527 kj(365 kcal),36,"4,3","4,8","2,5","4,1","1,93","0,772",,,"['Lait', 'Fruits à coque']",,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,,4,36 g,en quantité élevée,4.3 g,en quantité modérée,2.5 g,en faible quantité,1.93 g,en quantité élevée,,-19%,-18%,-19%,-34%,-19%,+9%,-14%,-22%,-22%,16,-18%,D,-18%,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,['E270 - Acide lactique'],,,,
19,Pesto Rosso - Sauce aux tomates basilic et fromage - Polli - 190g e,8001310161056,['Polli'],['France'],"['Huile de tournesol', 'purée de tomate 33% tomates séchées réhydratés 1 2%', 'noix de cajou 4%', 'basilic 3% mélange de fromages à pâte dure râpés 2,6% ', 'contient lait', 'œuf', 'sel 2%', 'ail 1% Pecorino Romano AOP', 'acidifiant : glucon-delta - lacton', 'acide lactique', 'piment', 'sucre', 'fécule de pommes de terre', 'antioxydant : acide ascorbique']",[],?,426,1782 kj(426 kcal),"43,2","5,4","3,6","3,1","3,8","1,79","0,716",190 g e,"['en:gluten-free', 'Point Vert', 'Fabriqué en Italie', 'Sans colorants', 'Sans conservateurs']","['Œufs', 'Lait', 'Fruits à coque', 'Pecorino Romano AOP']",,"['Verre', 'Bocal']","['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces Pesto', 'Sauces Pesto Rosso', 'Sauces tomates au basilic']",['Italie'],,,3,43.2 g,en quantité élevée,5.4 g,en quantité élevée,3.1 g,en faible quantité,1.79 g,en quantité élevée,,+555%,+570%,+1340%,+1141%,-41%,-38%,+141%,+109%,+109%,17,+7259%,D,+7259%,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,"['E270 - Acide lactique', 'E300 - Acide ascorbique']",,,,
