,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,packaging,categories,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,labels,palm_ingredients,manufacturing,traceability_code,ingredients_origins,link,brand_owner
30,Clinutren HP/HC - Nestlé,7613032418694,,['Nestlé'],,['France'],[],[],,?,160,669 kj(160 kcal),"6,2","1,1",16,"7,3",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,
31,Crunch snack - Nestlé,7613032427313,,['Nestlé'],,['France'],[],[],,?,556,2326 kj(556 kcal),"31,8","17,4","59,5","42,7","6,6","0,3","0,12",,,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,31.8 g,en quantité élevée,17.4 g,en quantité élevée,42.7 g,en quantité élevée,0.3 g,en quantité modérée,,+11%,+10%,+16%,+15%,+7%,-5%,-3%,-7%,-7%,23,-6%,E,-6%,,,,,,,,,,,,,,,
32,Grand Chocolat Sublime 80% - Nestlé - 100g,7613032460488,100 g,['Nestlé'],['Auchan'],['France'],"['pâte de cacao ', ""Afrique de l'Ouest"", 'Amérique Latine', 'cacao', 'beurre de cacao', 'sucre', 'beurre pâtissier ', 'lait', 'émulsifiant ', 'lécithine de tournesol', 'arôme naturel de vanille de Madagascar\r# Cacao : 80% minimum']",['Non végétalien'],4,2495,604,2495 kj(604 kcal),50,"29,6","20,9","15,8","8,4","0,254","0,102",E,Chocolat noir de dégustation,"['Papier aluminium', 'Papier']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['E322i - Lécithine'],50 g,en quantité élevée,29.6 g,en quantité élevée,15.8 g,en quantité élevée,0.254 g,en faible quantité,+9%,+9%,+8%,+27%,+28%,-46%,-50%,+10%,+444%,+444%,16,-25%,D,-25%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Lait'],,,,,,,
33,After Eight Menthe & Saveur Citron - Nestlé - 300g,7613032462673,300g,"['Nestlé', 'After eight']",['Leclerc'],['France'],"['sucre', 'pâte de cacao', 'sirop de glucose', 'matière grasse de lait anhydre', 'cacao maigre en poudre ', 'émulsifiant: lécithine de tournesol', ' arôme citron', ' stabilisant: invertasé huile essentielle de menthe', 'acidifiant: acide citrique']",[],4,1872,443,1872 kj(443 kcal),"19,2","11,5","59,7","52,8",4,"0,01","0,004",,,"['Carton', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats']","['E322i - Lécithine', 'E1103 - Invertase', 'E330 - Acide citrique']",19.2 g,en quantité modérée,11.5 g,en quantité élevée,52.8 g,en quantité élevée,0.01 g,en faible quantité,-18%,-20%,-19%,-47%,-45%,+30%,+28%,-45%,-93%,-93%,20,-15%,E,-15%,,,,,,,,['Lait'],,,,,,,
34,Clusters chocolat - Nestlé - 400g,7613032485818,400 g,"['Nestlé', 'Clusters']",['Auchan'],['France'],"['Pétales au blé complet ', '75%', ' : blé complet 55,4%', 'sucre', 'cacao maigre en poudre 2,0%', ""extrait de malt d'orge"", 'sirop de sucre inverti', 'mélasse', 'sel', 'huile de palme', 'sirop de glucose', 'arômes', ""correcteur d'acidité : phosphate trisodique"", 'pétales de céréales enrobés de chocolat au lait ', '15%', ' : chocolat au lait 7% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'petit lait en poudre', 'émulsifiant : lécithine de soja', 'arômes', 'pétales de céréales : ', 'céréales 5,4% : blé complet 3,3%', 'farine de riz', 'chocolat 1,8% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arômes', 'sucre', ""extrait de malt d'orge"", 'sirop de sucre inverti', 'mélasse', 'sel', ""correcteurs d'acidité : phosphate trisodique et acide citrique"", 'antioxydant : tocophérols', ""agents d'enrobages : gomme d'acacia"", 'sirop de glucose', 'polydextrose', 'huile de coco', '\rPépites 10% : céréales 4,7% ', 'farine de blé', 'blé complet 2,7%', 'avoine', 'farine de riz', 'sucre', 'sirop de glucose', 'huile de palme', 'miel', 'amandes', ""extrait de malt d'orge"", 'sel', 'poudre à lever : carbonate de calcium', 'arômes', 'vitamines ', 'PP', 'B5', 'B2', 'B6', 'B9', ' et minéraux ', 'carbonate de calcium et fer']","['Huile de palme', 'Non végétalien']",4,?,388,1623 kj(388 kcal),"5,7","2,6",71,28,"8,5","0,9","0,36",D,Céréales prêtes à consommer avec du blé complet,"['Carton', 'Boîte', 'Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat']","['E339iii - Phosphate trisodique', 'E322i - Lécithine', 'E330 - Acide citrique', 'E307c - Tocophérol', ""E414 - Gomme d'acacia"", 'E1200 - Polydextrose']",5.7 g,en quantité modérée,2.6 g,en quantité modérée,28 g,en quantité élevée,0.9 g,en quantité modérée,,-7%,-8%,-44%,-19%,+0%,+12%,+7%,+78%,+78%,10,0%,C,0%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Soja']","['Point Vert', 'Riche en fibres']",['Huile de palme'],,,,https://www.croquonslavie.fr/marques/produits-nestle/clusters/clusters-chocolat-cereales-petit-dejeuner-400g,
35,Tomate aux vermicelles et oignons - Maggi - 70g (Soit 1litre de potage),7613032504588,70 g (Soit 1 litre de potage),"['Maggi', 'Nestlé']",['Carrefour City'],['France'],"['Vermicelles 41% ', 'semoule de blé dur', 'tomate 18', '6%', 'farine de blé', 'sel', 'fécule de pomme de terre', 'exhausteur de goût : E621', 'oignon 1', '5%', 'sucre', 'huile de tournesol', 'jus de betterave rouge concentré', 'acidifiant : E330', 'ail', 'graines de céleri', 'persil', 'extraits naturels de poivre et de paprika', 'arômes ', 'céleri']",['Sans huile de palme'],4,99,?,99 kj(24 kcal),"0,1",0,"4,4",1,1,"0,59","0,236",A,Soupe déshydratée de tomate aux vermicelles et oignons,['Sachet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes de légumes', 'Soupes déshydratées', 'Soupes de légumes déshydratées']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,,,,,-89%,,-83%,-94%,-100%,-82%,-77%,-66%,-78%,-78%,,,,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Céleri', 'Gluten']","['Fabriqué en France', 'Sans colorants']",,['France'],,,,
36,Saveur à l'ancienne Poule aux vermicelles et petits legumes - Maggi - 61g,7613032504830,61 g,['Maggi'],,['France'],[],[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,,,,
37,Clinutren HP HC,7613032522056,,,,['France'],[],[],,?,160,669 kj(160 kcal),"6,2","0,9",16,"6,8",10,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Coeur de Bouillon Légumes - Maggi - 144g,7613032536879,144 g,['Maggi'],"['Lerclerc', 'Cora']","['France', 'Suisse']","['Jus de légumes à base de concentrés 38% ', 'carotte', 'oignon', 'céleri', 'panais', 'fenouil', 'chou-fleur', 'sirop de glucose', 'sel', 'eau', 'huile de tournesol', 'extrait de levure', 'sucre', 'légumes en semoule 1,8% ', 'carotte', 'oignon', 'poireau', 'persil', 'poivre', 'arômes', 'épaississants ', 'gomme xanthane', 'carraghénanes', 'acidifiant ', 'acide citrique']",[],4,33,?,33 kj(8 kcal),"0,3","0,6","1,1","0,3","0,1","0,7","0,28",,Coeur de Bouillon Légumes,['Carton'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Bouillons', 'Bouillons de légumes']","['E415 - Gomme xanthane', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",0.3 g,en faible quantité,0.6 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en quantité modérée,-94%,,-94%,-95%,-75%,-93%,-94%,-97%,-96%,-96%,3,-52%,C,-52%,,,,,,,,['Céleri'],,,,,,https://www.maggi.fr/coeur-de-bouillon-legumes,
39,Branche au chocolat suisse - Cailler,7613032558406,,['Cailler'],,['France'],[],[],,?,556,2326 kj(556 kcal),35,14,50,47,"9,2","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
