,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,packaging,categories,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,labels,palm_ingredients,manufacturing,traceability_code,ingredients_origins,link,brand_owner
20,Nescafé espresso - Nestlé - 100g,7613032297220,100g,"['Nestlé', 'Nescafe']",,"['France', 'Suisse']","['Le véritable Espresso', ""au corps et à l'arôme et à l'arôme puissants"", 'avece une mousse fine et onctuese']",[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Nescafé Green Blend Café torréfié et café vert doux et fruité - 100g,7613032315566,100 g,['Nescafé'],,['France'],"['Café torréfié 65%', 'Café vert 35%']",[],1,483,117,483 kj(117 kcal),"0,2","0,1","5,1","5,1",8,"0,254","0,102",D,Café torréfié et café vert,['Verre'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,,,,,,-58%,-9%,-21%,-93%,-96%,-78%,-64%,+73%,-19%,-19%,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,,,
22,Fitness Chocolat Noir - Nestle - 600g,7613032320287,600 g,['Nestle'],,"['Belgique', 'France']",[],[],,1654,?,1654 kj(395 kcal),"6,7","3,9",70,16,"8,8","0,94","0,376",C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,6.7 g,en quantité modérée,3.9 g,en quantité modérée,16 g,en quantité élevée,0.94 g,en quantité modérée,-3%,,-1%,-23%,+77%,+5%,-4%,-6%,+163%,+163%,9,+67%,C,+67%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,
23,Fond de Veau pour Sauces et Cuissons - Maggi - 110g,7613032346355,110 g,"['Maggi', 'Nestlé']",['Auchan'],['France'],"['Fécule de pomme de terre', 'sel', 'exhausteur de goût : glutamate de sodium ', ' farine de blé', 'huiles végétales', 'légumes : tomate', 'oignon ', ' sirop de glucose', 'arôme', 'caramel ', 'sucre', 'eau', 'extrait de levure', 'viande de veau 2,1 %', 'jus de cuisson de viande de boeuf', 'ail', 'extrait de vin blanc', 'antioxygène : extrait riche en tocophérols ', ' extrait de poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,?,,?,,?,,?,,,,Base culinaire déshydratée,"['Boites', 'Cartons', 'Métal']","['Epicerie', 'Viandes', 'Bœuf', 'Aides culinaires', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations de viande', 'Sauces', 'Préparations de viande bovine', 'Bouillons', 'Bouillons déshydratés', 'Sauces déshydratées', 'Fond de veau']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],"['Point Vert', 'Sans colorants', 'Sans conservateurs']",,,,,,
24,White Chocolate Sharing Block - Nestlé,7613032383015,,['Nestlé'],,['France'],"['Whole and skimmed milk powder ', '37', '5%', 'Sugar', 'Cocoa butter', 'Vegetable fat ', 'Palm/Shea/Mango kernel/ Sal', 'Emulsifier ', 'Sunflower lecithin', 'Natural flavouring', ' Allergy advice! For allergens see ingredients in bold', ' May contain soya and gluten', ' des Produits Nestlé S', 'A', ' NUTRITIONAL COMPASS']","['Huile de palme', 'Non végétalien']",4,?,543,2272 kj(543 kcal),"31,7","19,1","53,1","52,6","10,6","0,34","0,136",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Nesquik 30% Weniger Zucker - Nestle,7613032390402,,['Nestle'],,['France'],['zucgER*'],[],,?,375,1569 kj(375 kcal),"3,1","1,5","78,2","31,9","4,6","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gelée au Madere - MAGGI - 24g,7613032394844,24 g,['MAGGI'],,['France'],"['Gélatine de bœuf 43%', 'sel', 'sirop de glucose', 'sucre', 'extraits de vin de Madère 0,25%** et de vin blanc ', ' arômes ', 'lait', 'céleri', 'acidifiant : acide citrique ', ' colorant : E150c ', ' extraits naturels de poivre et de thym', ' Peut contenir : œuf', 'blé', 'avoine']","['Non végétalien', 'Non végétarien']",4,?,252,1054 kj(252 kcal),"0,5","0,5",24,"6,6",38,"29,2","11,68",,,['Sachet'],,"['E428 - Gélatine', 'E330 - Acide citrique', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Céleri', 'Lait']",['Fabriqué en France'],,,,,,
27,bonka - Nestlé,7613032405090,,['Nestlé'],,['France'],[],[],,?,235,983 kj(235 kcal),"11,5","4,9","0,2","0,2","11,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Menier Pause Intense - Nestle,7613032409579,,['Nestle'],,['France'],"['Chocolat en poudre* ', 'sucre', 'E466', 'émulsifiant cacao', 'épaississant lécithine de soja', 'arôme', ' *95% de chocolat en poudre dont cacao 45% minimum']",[],4,?,389,1628 kj(389 kcal),"10,5","5,9","56,5","50,5","9,4","0,06","0,024",,,,,['E466 - Carboxyméthylcellulose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Crunch Snack - Nestlé - 3 * 37g (111g),7613032413491,3 * 37 g (111 g),['Nestlé'],,['France'],"['Sucre', 'farine de blé', 'huile de palme', 'pâte de cacao', 'beurre de cacao', 'petit-lait en poudre', 'lait entier en poudre', 'farine de riz', 'cacao maigre ', '2%', 'huiles végétales ', 'palme', 'karité', 'illipé', 'lait écrémé en poudre', 'farine de blé maltée', 'protéines de blé', 'matière grasse de lait anhydre', 'glucose', 'émulsifiant ', 'lécithine de tournesol', 'poudre à lever ', ""carbonates d'ammonium et carbonates de sodium"", 'sel']","['Huile de palme', 'Non végétalien']",4,2323,?,2323 kj(555 kcal),"31,8","17,4","59,5","42,7","6,6","0,32","0,128",,"Gaufrette fourrée au cacao, céréales (6,6%), enrobage chocolat au lait (33,8%)","['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées']","['E322i - Lécithine', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium']",31.8 g,en quantité élevée,17.4 g,en quantité élevée,42.7 g,en quantité élevée,0.32 g,en quantité modérée,+3%,,+9%,+12%,+12%,+5%,-2%,-4%,+17%,+17%,23,-7%,E,-7%,,,,,,,,"['Gluten', 'Lait']",,['Huile de palme'],,,,,
