,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,ingredients_origins,manufacturing,markets,allergens,nova_score,quantity,packaging,brand_owner,additives,link,palm_ingredients
0,Nescafé,7613038215327,['Nescafé'],['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Trompette de la mort - Mon Marché Plaisir,3250392308353,['Mon Marché Plaisir'],['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lukumi,5205130236472,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Filet de poulet,2448090062450,,['France'],[],[],?,108,"1,8",1,23,"0,13","0,052",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Nutriscore'],1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,,-18%,452 kj(108 kcal),-17%,-38%,"0,5",-33%,+109%,0,-100%,+1%,-83%,-83%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
4,Saumon fumé français,3760218550267,,['France'],[],[],?,?,?,?,?,0,0,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['FR 56.234.002 CE', 'Saint-Pierre-Quiberon (Morbihan, France)']",,,,,,,,,,,,
5,Beaufort été - Monoprix Gourmet,2200268039233,['Monoprix Gourmet'],['France'],"['LAIT cru de vache - sel - ferments ', 'dont LAIT', ' - présure animale']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1689,407,33,"1,5",26,"1,1","0,44",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",['AOP'],33 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,+2%,+1%,1689 kj(407 kcal),+1%,+3%,22,+7%,+63%,0,-100%,-2%,-4%,-4%,14,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['FR 74.011.060 CE', 'Annecy-le-Vieux (Haute-Savoie, France)']",Fromage au lait cru de vache à pâte pressée cuite,['Savoie'],['Savoie'],['Monoprix'],['Lait'],3,,,,,,
6,Fruits séchés - Daco Bello - 500g,3270720017566,['Daco Bello'],['France'],[],[],?,284,"0,6",64,"2,6","0,07","0,028",,,,,,,,,,,,,,1188 kj(284 kcal),,,"0,2",,,51,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,
7,Olives noires dénoyautées  aux herbes de Provence - Philia,3520832130661,['Philia'],['France'],[],[],?,346,"35,2","1,1","1,9","5,95","2,38",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",,35.2 g,en quantité élevée,3.74 g,en quantité modérée,0.6 g,en faible quantité,5.95 g,en quantité élevée,,+60%,1448 kj(346 kcal),+61%,+67%,"3,74",+34%,-55%,"0,6",+99%,+52%,+66%,+66%,17,+39%,D,+39%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,,,
8,Jambon traditionnel - Saint Alby,2205882002014,['Saint Alby'],['France'],[],[],?,125,"4,5",1,20,"1,9","0,76",,,,,,,,,,,,,,523 kj(125 kcal),,,"1,5",,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mini kouign chocolat - 60g,3760035032021,,['France'],[],[],?,469,"25,3","54,2","4,9","0,9","0,36",,,,,,,,,,,,,,1962 kj(469 kcal),,,"17,5",,,"24,7",,,,,,,,,,,,,,,,,,,,,,,60 g,,,,,
10,Câpres Fines - Crespo,3076821111352,['Crespo'],['France'],"['Câpres', 'eau', 'vinaigre,sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,29,"0,3","3,3","2,2","2,25","0,9",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Pickles', ""Pickles d'origine végétale"", 'Câpres au vinaigre']",,0.3 g,en faible quantité,0.11 g,en faible quantité,0.4 g,en faible quantité,2.25 g,en quantité élevée,,-6%,121 kj(29 kcal),-7%,-45%,"0,11",+7%,+2%,"0,4",-33%,+1%,-61%,-61%,8,-0%,C,-0%,,,,,,,,,,,,,,3,,,,,,
11,Fleur de sel -,3183280025325,,['France'],[],[],?,0,?,?,?,0,0,B,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel', 'Sels de Guérande', 'Fleurs de sel de Guérande']",,,,,,,,0 g,en faible quantité,,,0 kj(0 kcal),-100%,,,,,,,,-100%,-100%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,['France'],,,,,,['Le paludier de Guérande'],,,,
12,Originales cajou cranberries - Daniel Stoffel - 100g,3367270999401,['Daniel Stoffel'],['France'],[],[],?,539,37,41,"6,9","0,02","0,008",,,,,,,,,,,,,,2255 kj(539 kcal),,,20,,,36,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,
13,Carré pérènes campagne,3461180374645,,['France'],[],[],?,237,"0,9",47,"8,2","1,2","0,48",,,,,,,,,,,,,,992 kj(237 kcal),,,"0,5",,,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cubitan Chocolade 4PCK,8716900569029,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PUDDING,2040571961049,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Boule 400g,0202203005589,,['France'],[],[],?,205,"0,7",42,"6,8","1,2","0,48",,,,,,,,,,,,,,858 kj(205 kcal),,,"0,2",,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Torche au marron,2069130012350,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Chips artisanales Truffe - 125g,3546588100703,,['France'],[],[],?,591,"43,7","43,1","6,3","0,8","0,32",,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,2473 kj(591 kcal),,,"3,5",,,"0,2",,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,
19,Les p'tites coupelles - Favorina,20592752,['Favorina'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tendre Croc' Herta 3 Fromages,8613041513303,,['France'],[],[],?,259,11,27,"11,6","1,8","0,72",,,,,,,,,,,,,,1084 kj(259 kcal),,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mogette de Vendée,3760005220076,,['France'],[],[],?,68,"0,6","8,8","4,7","0,57","0,228",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Légumes français', 'en:White kidney beans', 'Mogette de Vendée']",,0.6 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.57 g,en quantité modérée,,-56%,285 kj(68 kcal),-56%,-43%,"0,5",+128%,-52%,"0,5",-58%,-53%,+12%,+12%,-5,,A,,,,,,,,,,,,,,,,,,,,,
22,Terrine aux shiitakés,3770013315015,,['France'],[],[],?,214,15,11,"7,2","0,4","0,16",,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,895 kj(214 kcal),,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Pommes de terre au thon au naturel,2270198016468,,['France'],[],[],?,145,9,9,"6,2","0,86","0,344",,,['Point Vert'],,,,,,,,,,,607 kj(145 kcal),,,"0,7",,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Meringuettes artisanales noix noisettes - 80g,3549170000344,,['France'],[],[],?,396,"1,1","95,3",0,0,0,,,,,,,,,,,,,,1657 kj(396 kcal),,,"0,02",,,"84,1",,,,,,,,,,,,,,,,"['EMB 46263', 'Saint-Daunès (Lot, France)']",,,,,,,80 g,,,,,
25,"Escargots "" gros gros """,3760023292215,,['France'],[],[],?,427,32,"24,5","8,2","1,4","0,56",,,,,,,,,,,,,,1787 kj(427 kcal),,,21,,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Olives Melange baresane,2609907018965,,['France'],[],[],?,218,22,"1,7","2,2","1,99","0,796",,,,,,,,,,,,,,912 kj(218 kcal),,,"3,4",,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Manon Jus de Pomme - Terre à terre - 75cl,3770012793128,['Terre à terre'],['France'],[],[],?,43,"0,1","9,8","0,2",0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,0.1 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité élevée,0 g,en faible quantité,,-7%,180 kj(43 kcal),-6%,-44%,0,-100%,-11%,"9,4",-10%,-9%,-100%,-100%,3,-28%,C,-28%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,75cl,,,,,
28,Divin,3770011622115,,['France'],[],[],?,473,47,"2,4",10,"1,7","0,68",,,,,,,,,,,,,,1979 kj(473 kcal),,,18,,,"2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Punch Traditionnel De L'île De La Réunion - Mangue,3289255300029,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Maina Golosone Cremnoir GR. 750,8005190403916,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Fuet Catalan,0207405021917,,['France'],[],[],?,562,50,3,25,"4,5","1,8",,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses espagnoles', 'Fouets catalans', 'Fuet Catalan']",,50 g,en quantité élevée,18 g,en quantité élevée,2 g,en faible quantité,4.5 g,en quantité élevée,,+25%,2351 kj(562 kcal),+25%,+39%,18,+38%,-10%,2,-9%,-8%,+11%,+11%,27,+8%,E,+8%,,,,,,,,,,,,,,,,,,,,
32,Boudin noir,2204306020931,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FOIE GRAS DE CANARD ENTIER - Fleurons de Lomagne - 70g,3700428406879,['Fleurons de Lomagne'],['France'],[],[],?,506,"51,2","3,1","8,5","0,76","0,304",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,51.2 g,en quantité élevée,21.9 g,en quantité élevée,1.1 g,en faible quantité,0.76 g,en quantité modérée,,-4%,2117 kj(506 kcal),-4%,-6%,"21,9",-6%,+30%,"1,1",-17%,+13%,-37%,-37%,19,-9%,E,-9%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,70g,,,,,
34,Capsulo costa rica 9,3770003187172,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Farfalle bandiera,8016206020225,,['France'],[],[],?,381,"0,7","80,6",13,"0,12","0,048",,,,,,,,,,,,,,1594 kj(381 kcal),,,"0,4",,,"5,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Fois gras de canard entier du sud ouest - Jean d’Audignac,3700238317136,['Jean d’Audignac'],['France'],[],[],?,531,"55,2",2,"8,2","1,27","0,508",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",['IGP'],55.2 g,en quantité élevée,24.1 g,en quantité élevée,1.3 g,en faible quantité,1.27 g,en quantité modérée,,+0%,2222 kj(531 kcal),+1%,+2%,"24,1",+4%,-16%,"1,3",-2%,+9%,+6%,+6%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
37,Lou Pérac Goustal,0203320026372,,['France'],[],[],?,361,33,0,16,"1,6","0,64",,,,,,,,,,,,,,1510 kj(361 kcal),,,24,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pommes et poires - Verger Pélanne,3760251920232,['Verger Pélanne'],['France'],[],[],?,47,"0,6","10,5","0,5",0,0,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme poire']",,0.6 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,,+7%,197 kj(47 kcal),+8%,+196%,0,-100%,-3%,"9,5",-4%,+60%,-100%,-100%,4,+100%,C,+100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
39,Torrades,8425402195949,,['France'],[],[],?,323.7,"0,55","65,89","13,8","0,59","0,236",,,,,,,,,,,,,,1354 kj(323 kcal),,,"0,14",,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Comte AOP 12 mois,0203525046311,,['France'],[],[],?,418,35,0,27,"0,8","0,32",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,,-0%,1749 kj(418 kcal),-0%,+1%,23,+1%,-100%,0,-100%,+0%,-5%,-5%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
41,Calisson lavande,3488433230305,,['France'],[],[],?,437,"18,1","58,4","8,1","0,02","0,008",,,,,,,,,,,,,,1828 kj(437 kcal),,,"1,6",,,"50,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Candy Coated Chocolate Peanuts - Trader Joe's,00636322,"[""Trader Joe's""]",['France'],[],[],?,514.28571428571,"31,429","54,286","11,429","0,071","0,029",,,,,,,,,,,,,,2152 kj(514 kcal),,,"11,429",,,"42,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pâtes de fruits réglette,3488433360224,,['France'],[],[],?,327,"0,5",80,"0,8","0,15","0,06",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,0.5 g,en faible quantité,0.1 g,en faible quantité,71 g,en quantité élevée,0.15 g,en faible quantité,,+4%,1368 kj(327 kcal),+4%,+47%,"0,1",-17%,+5%,71,+7%,+23%,+25%,+25%,9,+9%,C,+9%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,
44,Nouilles poulet aigre-doux,8858011508716,,['France'],[],[],?,159,"1,8","31,2","4,4","0,127","0,051",,,['Sans arômes artificiels'],,,,,,,,,,,665 kj(159 kcal),,,"0,4",,,"8,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Le perche,0201746072355,,['France'],[],[],?,419,35,1,25,4,"1,6",,,,,,,,,,,,,,1753 kj(419 kcal),,,15,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Bakehouse,5397139000809,,['France'],[],[],?,486,"22,1","63,4","6,6","0,54","0,216",,,,,,,,,,,,,,2033 kj(486 kcal),,,"13,7",,,"35,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Fromage - 400g,0839066005014,,['France'],[],[],?,336,26,0,"25,6","1,63","0,652",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,26 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.63 g,en quantité élevée,,+2%,1406 kj(336 kcal),+3%,-2%,17,-4%,-100%,0,-100%,+25%,+25%,+25%,16,+17%,D,+17%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['FR 50.615.001 CE', 'Valognes (Manche, France)']",,,,,,,400 g,,,,,
48,Saumon de Norvège fumé à la ficelle,2833261006201,,['France'],[],[],?,178,"9,2","2,8",21,3,"1,2",E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,9.2 g,en quantité modérée,1.7 g,en quantité modérée,2.8 g,en faible quantité,3 g,en quantité élevée,,-4%,745 kj(178 kcal),-4%,-12%,"1,7",-17%,+467%,"2,8",+738%,-5%,+6%,+6%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['FR 94.041.320 CE', 'Ivry-sur-Seine (Val-de-Marne, France)']",,,,,,,,,,,,
49,BUG Tucker Challenge,1000033924907,,['France'],[],[],?,352,0,83,"5,2","0,14","0,056",,,,,,,,,,,,,,1473 kj(352 kcal),,,0,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Vinaigrette,8030026005880,,['France'],[],[],?,333,25,30,2,"3,4","1,36",,,,,,,,,,,,,,1393 kj(333 kcal),,,19,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Terrine de pintade - 200g,3760190010117,,['France'],[],[],?,635,"8,2","1,4",17,"1,42","0,568",,,"['Sans additifs', 'Sans colorants']",,,,,,,,,,,2657 kj(635 kcal),,,"2,5",,,"0,9",,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,
52,294g,4245366135102,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294 g,,,,,
53,One Stop Floor Mop Replacement Microfibre Cloth - Cremisée,20202927,['Cremisée'],['France'],[],[],?,247,23,"3,5",6,"1,2","0,48",,,,,,,,,,,,,,1033 kj(247 kcal),,,"16,1",,,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Jambon supérieur sans couenne 6 tranches fines,2871621030244,,['France'],[],[],?,0,3,1,20,"2,1","0,84",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon sans couenne']","['Viande Française', 'Viande Porcine Française']",3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,,-100%,0 kj(0 kcal),-100%,-38%,"1,2",-35%,+49%,"0,5",-16%,-5%,+12%,+12%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)', 'EMB 14752B', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,,
55,Assortiment bûche beurre X4 - Leclerc,,['Leclerc'],['France'],[],[],?,392,22,46,"3,1","0,1","0,04",,,,,,,,,,,,,,1640 kj(392 kcal),,,14,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Nougat,3760060460448,,['France'],[],[],?,402,15,56,9,"0,33","0,132",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,15 g,en quantité modérée,2.1 g,en quantité modérée,47 g,en quantité élevée,0.33 g,en quantité modérée,,-10%,1682 kj(402 kcal),-10%,-9%,"2,1",+6%,-14%,47,-14%,+26%,+339%,+339%,18,+12%,D,+12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
57,Chenin blanc,3289850064104,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pâte à tartiner,2250145692966259,,['France'],[],['Sans huile de palme'],?,545,33,55,5,0,0,,,['en:palm-oil-free'],,,,,,,,,,,2280 kj(545 kcal),,,5,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Chipotle hot sauce,8717677178919,,['France'],[],[],?,27,"0,7","4,2",1,"2,5",1,,,,,,,,,,,,,,113 kj(27 kcal),,,"0,1",,,"3,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Crispy Chili Tom yum thaï flavour,8858867804451,,['France'],[],[],?,550,35,50,10,"1,524","0,61",,,,,,,,,,,,,,2301 kj(550 kcal),,,"7,5",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Lait (2%),0068200550923,,['France'],[],[],?,52,2,"4,8","3,6","0,12","0,048",D,"['Produits laitiers', 'Laits']",,2 g,en faible quantité,1.2 g,en faible quantité,4.8 g,en faible quantité,0.12 g,en faible quantité,,-21%,218 kj(52 kcal),-20%,-3%,"1,2",+1%,-20%,"4,8",-12%,+1%,-3%,-3%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,
62,Craquantines de froment - 90g,3450611190022,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 g,,,,,
63,Gianduia Al natte,8023492003047,,['France'],[],[],?,580,"40,2","43,2","8,8","0,09","0,036",,,,,,,,,,,,,,2427 kj(580 kcal),,,"14,2",,,"39,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,TOMARCHIO ARANCIATA,8002516341228,,['France'],[],[],?,39,0,10,0,"0,02","0,008",,,,,,,,,,,,,,163 kj(39 kcal),,,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,The protein works,5060455516254,,['France'],[],[],?,391,"6,5","6,6",76,"0,95","0,38",,,,,,,,,,,,,,1636 kj(391 kcal),,,"4,3",,,"4,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,8410611120844,8410611120844,,['France'],[],[],?,?,?,?,?,,,,,['Fabriqué en Espagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Cidre bio,3700257873002,,['France'],[],[],?,?,?,?,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,
68,Macarons ×12 fruits,0207546032735,,['France'],[],[],?,380,11,60,9,"0,15","0,06",D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,11 g,en quantité modérée,1.3 g,en faible quantité,54 g,en quantité élevée,0.15 g,en faible quantité,,-11%,1590 kj(380 kcal),-11%,-38%,"1,3",-71%,+8%,54,+7%,+5%,+5%,+5%,15,-15%,D,-15%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,
69,Navettes fleur d'oranger,3424150090556,,['France'],[],[],?,391,3,56,6,0,0,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,3 g,en quantité modérée,2 g,en quantité modérée,14 g,en quantité élevée,0 g,en faible quantité,,-18%,1636 kj(391 kcal),-18%,-86%,2,-80%,-12%,14,-53%,-8%,-100%,-100%,5,-75%,C,-75%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,
70,Batonnets de Surimi -,3760122245594,,['France'],[],[],452,108,"0,44","21,8","3,49","2,125","0,85",B,"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi']",,0.44 g,en faible quantité,0.17 g,en faible quantité,1.21 g,en faible quantité,2.12 g,en quantité élevée,-9%,-9%,452 kj(108 kcal),-9%,-91%,"0,17",-74%,+91%,"1,21",-58%,-53%,+24%,+24%,8,+81%,C,+81%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,,,,,,,,,,,
71,Black Label,5000267176581,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Tartare sauce - Heinz,5000157072115,['Heinz'],['France'],[],[],?,312,"28,3","13,4","0,9","2,2","0,88",B,"['Epicerie', 'Sauces', 'Sauces tartare']",,28.3 g,en quantité élevée,2.1 g,en quantité modérée,10.8 g,en quantité modérée,2.2 g,en quantité élevée,,-40%,1305 kj(312 kcal),-40%,-48%,"2,1",-54%,+185%,"10,8",+300%,-23%,+23%,+23%,16,-9%,D,-9%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,,,,,,,,,,,,,
73,Les natures - 340g,3325350955280,,['France'],[],[],?,289,"0,2","71,5","1,8","0,1","0,04",,,,,,,,,,,,,,1209 kj(289 kcal),,,"0,14",,,"40,2",,,,,,,,,,,,,,,,"['EMB 13210E', 'Marseille 10e  Arrondissement (Bouches-du-Rhône, France)']",,,,,,,340 g,,,,,
74,Bockshornkleeblätter 100 G Fenugreek Methi TRS - 100g,5017689041168,['TRS'],"['France', 'Allemagne']",[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,100g,,,,,
75,Valor dark chocolate with almonds bar,0072247438496,,['France'],[],[],?,468.75,"40,625","46,875","9,375","0,078","0,031",,,,,,,,,,,,,,1961 kj(468 kcal),,,"18,75",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Croissants et chocolatiers pur beurre,2020000076704,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Econazole Crème Tube de 30 g,3400938311099,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Jambon traditionnel fumé au bois de hetre - Saint Alby,2205884003064,['Saint Alby'],['France'],[],[],?,125,"4,5",1,20,"1,9","0,76",,,,,,,,,,,,,,523 kj(125 kcal),,,"1,5",,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Thé calypso - 25g,3665206114356,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 g,,,,,
