,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,ingredients_origins,manufacturing,markets,allergens,nova_score,quantity,packaging,brand_owner,additives,link,palm_ingredients
1920,Bavettes d'aloyau,0242740053599,,['France'],[],[],?,?,?,?,?,,,E,"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]","['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-01', 'Viande-bovine-francaise']",,,,,,,,,,,,,,,,,,,,,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,,
1921,Haricot borlotti - Solleone,82749484,['Solleone'],['France'],[],[],?,80,"0,84","11,47","4,5","0,4","0,16",,,,,,,,,,,,,,335 kj(80 kcal),,,"0,16",,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,Crousti Tronche de Cake,08437679,,['France'],[],[],?,494,22,66,"6,9","0,51","0,204",,,,,,,,,,,,,,2067 kj(494 kcal),,,12,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,Poulet,0217008054847,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,Pure L-citruline - 800g,3770010399117,,['France'],[],[],?,0,0,0,0,0,0,,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,800 g,,,,,
1925,Aïoli - J.C.David,3461820090126,['J.C.David'],['France'],[],[],?,771,84,3,"1,3","0,82","0,328",D,"['Epicerie', 'Sauces', 'Aïolis']",,84 g,en quantité élevée,12 g,en quantité élevée,0.2 g,en faible quantité,0.82 g,en quantité modérée,,+26%,3226 kj(771 kcal),+28%,+28%,12,+77%,-16%,"0,2",-83%,-8%,-35%,-35%,22,+20%,E,+20%,81.4%,9.6%,3.6%,3.4%,1.6%,0.4%,47,,,,,,,,,,,,,
1926,Feuilleté saumon & sa brunoise de légumes - Tempé,3301091915745,['Tempé'],['France'],[],[],?,290,19,18,12,"0,7","0,28",,,,,,,,,,,,,,1213 kj(290 kcal),,,"9,6",,,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,Sea salt sel marin - President's choice - 1,0060383719265,"[""President's choice""]","['Canada', 'France']",['Sel marin'],[],?,0,0,0,0,1,"0,4",B,"['Epicerie', 'Condiments', 'Sels', 'Sels marins']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-100%,-98%,-98%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,['en:Afrique du Sud'],['Afrique du sud'],['Loblaws'],,,1,['77g'],,,,
1928,Mangue lamelle -,0206487013919,,['France'],"['Mangue', 'sucre', 'acidifiant E330', 'conservateur MÉTABISULFITE de sodium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1461,344,0,86,0,"0,34","0,136",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits tropicaux', 'Fruits secs', 'Mangues séchées']",,0 g,en faible quantité,0 g,en faible quantité,68 g,en quantité élevée,0.34 g,en quantité modérée,,+4%,1461 kj(344 kcal),+6%,-100%,0,-100%,+15%,68,+18%,-100%,+74%,+74%,10,+50%,C,+50%,,,,,,,,,,,,['Leclerc'],['Anhydride sulfureux et sulfites'],3,,,,"['E330 - Acide citrique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",,
1929,Baguette farinée,0208905004264,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,Galette des rois feuilletage pur beurre,0201102058719,,['France'],[],[],?,487,"34,5","36,3","7,8","0,7","0,28",D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['Sans additifs'],34.5 g,en quantité élevée,18.4 g,en quantité élevée,11.1 g,en quantité modérée,0.7 g,en quantité modérée,,+15%,2038 kj(487 kcal),+16%,+31%,"18,4",+24%,-6%,"11,1",-14%,+23%,+0%,+0%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
1931,Escalope de dinde,2208721053666,,['France'],[],[],?,?,?,?,?,0,0,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
1932,Couronne des rois aux fruits,3173310023414,,['France'],[],[],?,368,11,60,"7,6","0,76","0,304",,,['Point Vert'],,,,,,,,,,,1540 kj(368 kcal),,,"8,1",,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,Alcohol-free Smartdrink,8717953218247,,['France'],[],[],?,29,0,7,"0,3",0,0,,,,,,,,,,,,,,121 kj(29 kcal),,,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,Salchichón para untar,8437010093265,,['France'],[],[],?,642,54,4,36,6,"2,4",,,,,,,,,,,,,,2686 kj(642 kcal),,,14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,Special K Cereal Value Size Vanilla Almond,0038000143694,,"['France', 'États-Unis']","['Rice', 'whole grain wheat', 'sugar', 'almonds', 'wheat bran', 'contains 2% or less of salt', 'brown sugar syrup', 'malt flavor', 'natural and artificial flavor', 'BHT for freshness', ' Vitamins and Minerals: Vitamin C ', 'ascorbic acid', 'reduced iron', 'niacinamide', 'vitamin B6 ', 'pyridoxine hydrochloride', 'vitamin B2 ', 'riboflavin', 'vitamin A palmitate', 'vitamin B1 ', 'thiamin hydrochloride', 'folic acid', 'vitamin B12', 'vitamin D3']",[],?,367,5,"83,33","6,67","1,398","0,559",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,5 g,en quantité modérée,0 g,en faible quantité,30 g,en quantité élevée,1.4 g,en quantité modérée,,+5%,1536 kj(367 kcal),+5%,-12%,0,-100%,+42%,30,+427%,-29%,+364%,+364%,11,+575%,D,+575%,,,,,,,,,,,,,['Fruits à coque'],4,,,The Kellogg Company,,,
1936,Couronne des rois briochée aux fruits,3511242809001,,['France'],[],[],?,312,"7,2",55,"5,8","0,6","0,24",,,,,,,,,,,,,,1305 kj(312 kcal),,,"4,7",,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,Licor Strega Limoncello Di Sorrento,8009265337311,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,Velvety cheesecake,5000318004887,,['France'],[],[],?,320,16,"39,5","4,5","0,7","0,28",,,,,,,,,,,,,,1339 kj(320 kcal),,,"10,4",,,"19,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,Belgian Chocolate Cups,5414396150037,,['France'],[],['Sans huile de palme'],?,520,32,51,5,"0,1","0,04",,,['en:palm-oil-free'],,,,,,,,,,,2176 kj(520 kcal),,,18,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,Black olives - Lidl,4056489149866,['Lidl'],['France'],[],[],?,236,"23,1","3,8","1,8","2,7","1,08",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives']",,23.1 g,en quantité élevée,2 g,en quantité modérée,0 g,en faible quantité,2.7 g,en quantité élevée,,+23%,987 kj(236 kcal),+24%,+26%,2,-28%,+99%,0,-100%,+35%,-23%,-23%,13,+6%,D,+6%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,,,
1941,Gourmet Candy Canes,0030800831009,,"['France', 'États-Unis']","['Sugar', 'corn syrup', 'citric acid', 'malic acid', 'artificial flavor', 'color added ', 'includes yellow 5', 'red 40', 'blue 1']",[],?,375,0,100,0,0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0 g,en faible quantité,,-11%,1569 kj(375 kcal),-11%,-100%,0,-100%,+50%,75,+51%,-100%,-100%,-100%,14,-23%,D,-23%,,,,,,,,,,,,,,4,,,Spangler Candy Company,"['E330 - Acide citrique', 'E296 - Acide malique', 'E102 - Tartrazine', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,
1942,Tomme de montagne chabert,0206216020997,,['France'],[],[],?,354,28,"1,6",24,"1,5","0,6",,,,,,,,,,,,,,1481 kj(354 kcal),,,18,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
