,name,bar_code,brand,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,manufacturing,markets,traceability_code,palm_ingredients,generic_name,ingredients_origins,link,brand_owner
0,Panipeni - La Niña Del Sur,8436021258656,['La Niña Del Sur'],['Halal'],['France'],"['Harina de trigo', 'agua', 'preparado lácteo 15,4% ', 'agua', 'grasa vegetal de palm y coco', 'proteína de leche', 'almidón modificado', 'queso Mozzarella ', '2%', 'sal', 'acidulantes: E-330 y E-331', 'estabilizante E-340', 'E-407', 'E-417 y E-452', 'suero lácteo', 'aroma de queso', 'colorante: E-160a y conservador: E-202', 'queso Cheddar 2', '8% ', 'contiene colorante: E-160b', 'queso Gouda 1,8% ', 'contiene colorante: E-160aii', 'aceite de girasol', 'leche', 'almidón modificado de maíz', 'queso azul 0,9%', 'levadura', 'sal', 'aceite de oliva', 'cebolla', 'especias y plantas aromáticas', '\rPu contener trazas de soja y pescado']","['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E417 - Gomme tara', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou', 'E160aii - Carotènes végétaux']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,246,1029 kj(246 kcal),"9,7",4,32,"2,8","6,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tomato Frito - Aranca,8436021663856,['Aranca'],,['France'],[],,,[],,?,178,745 kj(178 kcal),"13,9",2,"11,2","8,9","1,5","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sarró de cabra - Montbrú,8436023512145,['Montbrú'],,"['France', 'Espagne']",[],,,[],,?,427,1787 kj(427 kcal),37,20,"3,3",0,20,"1,3","0,52",E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",37 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,+50%,+51%,+62%,+25%,+98%,-100%,+16%,-4%,-4%,15,+13%,D,+13%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,
3,Ficelle de chèvre,8436023512749,,,['France'],[],,,[],,?,416,1741 kj(416 kcal),"36,32","25,73","1,22",0,"21,03","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Miel - Honey Acentojo - Acentejo,8436023645423,['Acentejo'],,"['France', 'Espagne']",[],,,[],,?,304,1272 kj(304 kcal),0,0,"82,4",76,"0,7","0,01","0,004",B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",0 g,en faible quantité,0 g,en faible quantité,76 g,en quantité élevée,0.01 g,en faible quantité,,+5%,+4%,-100%,-100%,+7%,+9%,+115%,-38%,-38%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
5,Sobrasada vela ibérica - Revisan - 1,8436024011357,['Revisan'],['en:gluten-free'],['France'],[],,,[],,?,518,2167 kj(518 kcal),"49,19","18,15","5,51","1,23","13,24","2,66","1,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,Colines - La Masera,8436024030044,['La Masera'],,['France'],[],,,[],,?,373,1561 kj(373 kcal),"0,73","0,15","77,96","0,56","10,92","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Olives ""Partidas De La Abuela"" (Chicon Lebron|malaga|pne220",8436025121086,,['en:gluten-free'],['France'],[],,,[],,?,364,1523 kj(364 kcal),"19,06","4,5","2,7","0,38","4,15","2,31","0,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Turron Diverso blondo de cacauete,8436025203362,,,['France'],[],,,[],,?,538,2251 kj(538 kcal),32,4,46,39,15,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",32 g,en quantité élevée,4 g,en quantité modérée,39 g,en quantité élevée,,,,+3%,+3%,+2%,-24%,+2%,+2%,+25%,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
9,Turron,8436025203379,,,['France'],[],,,[],,?,538,2251 kj(538 kcal),20,4,46,39,15,0,0,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",20 g,en quantité modérée,4 g,en quantité modérée,39 g,en quantité élevée,0 g,en faible quantité,,+3%,+3%,-36%,-24%,+2%,+2%,+25%,-100%,-100%,17,+3%,D,+3%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
10,Himalayan charcoal mask,8436025305004,,,['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Chorizo Bio - Biobardales - 100g,8436025310619,['Biobardales'],"['Bio', 'en:gluten-free', 'Fabriqué en Espagne', 'Sans OGM', 'Sans lactose']","['France', 'Espagne']","['Viande de porc* 70 %', 'graisse de porc* 30 %', 'paprika*', 'ail*', 'origan* et sel marin', ' *Biologiques']",,,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,467,1954 kj(467 kcal),35,1,2,1,36,"3,45","1,38",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",35 g,en quantité élevée,1 g,en faible quantité,1 g,en faible quantité,3.45 g,en quantité élevée,,+15%,+14%,+3%,-92%,-32%,-44%,+57%,-8%,-8%,15,-37%,D,-37%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,100 g,"['Blister', 'Plastique', 'Carton']",['Espagne'],,,,,,,
12,Fig Cake with Almonds - La Leyenda,8436025980966,['La Leyenda'],,"['France', 'Espagne']",[],,,[],,?,316,1322 kj(316 kcal),"8,2","0,6",44,38,"8,5","0,4","0,16",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Produits déshydratés', 'Confiseries de Noël', 'Aliments à base de plantes séchées', 'Gâteaux aux figues sèches']",8.2 g,en quantité modérée,0.6 g,en faible quantité,38 g,en quantité élevée,0.4 g,en quantité modérée,,+1%,+1%,+42%,+24%,-19%,-11%,+50%,-48%,-48%,12,+24%,D,+24%,,,,,,,,,,,,,,,,,
13,Crema de limon - BEBÉ - 220g,8436026163467,['BEBÉ'],,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220 g,,,,,,,,,
14,Banana chips,8436026314142,,,['France'],[],,,[],,?,519,2171 kj(519 kcal),36,30,58,58,"1,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pipas,8436026319178,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",['France'],[],,,[],,?,594,2485 kj(594 kcal),"52,8",6,9,"0,74",17,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Magdalenon relleno crema cacao,8436026531280,,,['France'],[],,,[],,?,427,1787 kj(427 kcal),"23,3","4,4","49,3","32,1","4,4","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Oranges et clementines,8436027190110,,,['France'],[],,,[],,?,42,176 kj(42 kcal),0,0,"8,6","8,6","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Chocolat noir,8436027580027,,,['France'],[],,,[],,?,520,2176 kj(520 kcal),30,18,51,19,"9,1","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Chocolat artisanal avec morceaux d'oranges les saisies,8436027580034,,,['France'],[],,,[],,?,468,1958 kj(468 kcal),19,"11,93",66,40,"6,3","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Chocolat noir à la framboise,8436027580065,,,['France'],[],,,[],,?,529,2213 kj(529 kcal),30,19,55,37,"7,1","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Chocolat au lait saveur caramel,8436027580362,,,['France'],[],,,[],,?,564,2360 kj(564 kcal),"35,6","22,57","52,65","48,3",7,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Chocolat au lait aux amandes,8436027583066,,,['France'],[],,,[],,?,576,2410 kj(576 kcal),"38,6","18,96","46,57","43,4","8,88","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Chocolat au lait goût caramel,8436027583530,,,['France'],[],,,[],,?,564,2360 kj(564 kcal),"35,6","22,57","52,65","48,3",7,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Citronade biologique,8436029241445,,['Bio'],['France'],[],,,[],,?,37,155 kj(37 kcal),0,0,"9,17","6,7",0,,,,"['Boissons', 'Citronnades']",0 g,en faible quantité,0 g,en faible quantité,6.7 g,en quantité élevée,,,,+16%,+14%,-100%,-100%,+14%,-11%,-100%,,,,,,,,,,,,,,,,,,,,,,,
25,Jus d'orange,8436029241667,,"['Bio', 'Bio européen', 'ES-ECO-024-MU']",['France'],[],,,[],,?,0,0 kj(0 kcal),"0,11",0,"11,2","10,52","0,31",0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",0.11 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,0 g,en faible quantité,,-100%,-100%,-34%,-100%,+16%,+15%,-50%,-100%,-100%,-2,-167%,B,-167%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,
26,Zumo de naranja,8436029242176,,,['France'],[],,,[],,?,212,887 kj(212 kcal),"0,11",0,"11,2","10,82","0,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Jam - La Huerta,8436029242534,['La Huerta'],,['France'],[],,,[],,?,174,728 kj(174 kcal),?,3,?,42,43,42,"16,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sunvital,8436029248345,,,['France'],[],,,[],,?,34,142 kj(34 kcal),"0,1",0,"7,4","6,9","0,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Harissa - Lais,8436029830380,['Lais'],,['France'],[],,,[],,?,81,339 kj(81 kcal),1,1,15,"0,5","1,4",12,"4,8",C,"['Epicerie', 'Sauces', 'Harissas', 'Sauces pimentées']",1 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,12 g,en quantité élevée,,-24%,-24%,-77%,+62%,+65%,-86%,-44%,+227%,+227%,11,+29%,D,+29%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,"['Bocal', 'Verre', 'métal']",,,,,,,,
30,Maroc Hawaii tropick,8436029832346,,,['France'],[],,,[],,?,15,63 kj(15 kcal),0,0,"3,8","3,8","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Bebidz refrescantede zumo de frutas,8436029832353,,,['France'],[],,,[],,?,16,67 kj(16 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,
32,Maroc pom,8436029832360,,,['France'],[],,,[],,?,13,54 kj(13 kcal),0,0,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,
33,Les authentiques Flocons de Sel de source - Fossil River,8436029930790,['Fossil River'],,['France'],[],,,[],,?,?,,?,,?,,?,,,B,"['Epicerie', 'Condiments', 'Sels']",,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,
34,Omegasel,8436029931148,,['Bio'],['France'],[],,,[],,?,467,1954 kj(467 kcal),"9,2","2,9","0,5","0,5","5,5","59,3","23,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Jamón de cebo de campo ibérico,8436030130332,,,['France'],[],,,[],,?,286,1197 kj(286 kcal),"16,1","6,6","0,5","0,5","34,3","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sol 0% Fromage Frais,8436030679640,,,['France'],[],,,[],,?,46,192 kj(46 kcal),"0,2","0,1","3,3","3,3","7,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Natural,8436031321210,,,['France'],[],,,[],,?,0,0 kj(0 kcal),"0,01","0,01","0,01","0,01","0,01","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Salpico de marisc,8436031602555,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Esprite,8436031763560,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Insecticida Bloom mosquitos común y tigre,8436032711065,,,['France'],[],,,[],,?,462,1933 kj(462 kcal),14,5,73,65,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Siulugbau - Meng Fu,8436032780214,['Meng Fu'],"[""À l'huile de tournesol""]",['France'],"['Pate: farine de ble ', '29%', ' farine de ble ,antioxydant E300', ',eau,lait', ""L'huile de tournesol"", 'levure se et le gluten de ble', ' Remplissaae: Porc', '38 celeri', "" sauce d'huitre ,"", ""extrait d'huitres"", 'de la farine de ble exhausteur de aout E621', ' colorant E150', ' sla sauce d so?a ', ' soja', 'ble', ' sel', 'sucre', ' exhausteur de aout E-621 oianon croustillant', 'farine de ble', "" IJ'huile de sesame "", 'huile de soia', "" l'huile de sesame"", ' Saveur de la viande ', 'exhausteur de gout E621', 'E631 et E627', 'saindoux ', 'estabilizante BHA', ' doit etre cuit avant consommation ', ' Le produit COMMENT SE PREPARER: mettre le produit 8-9 min']","['E300 - Acide ascorbique', 'E150 - Caramel', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']","['Gluten', 'Lait', 'Mollusques', 'Soja']","['Non végétalien', 'Non végétarien']",4,?,242,1013 kj(242 kcal),"9,15","2,84","33,2","2,14","6,63","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tejas con Almendra,8436032880242,,,['France'],[],,,[],,?,430,1799 kj(430 kcal),"7,31","0,43","79,4","60,9","9,72",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BIOSALCHICHA VEGETAL  Frankfurt - Ahimsa,8436033361139,['Ahimsa'],,['France'],[],,,[],,?,280,1172 kj(280 kcal),18,"2,32","11,5","1,6","17,9","1,49","0,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Seitan y tofu -,8436033361351,,"['Bio', 'Bio européen', 'ES-ECO-006-AR']",['France'],[],,,[],,?,280,1172 kj(280 kcal),18,3,20,3,10,1,"0,4",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan', 'Tofu']",18 g,en quantité modérée,3 g,en quantité modérée,3 g,en faible quantité,1 g,en quantité modérée,,+69%,+69%,+249%,+338%,+152%,+178%,-49%,-10%,-10%,4,+208%,C,+208%,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,,,,,,,,,,
45,Biotofulonchas provenzal - Ahimsa,8436033361559,['Ahimsa'],"['Bio', 'Bio européen', 'ES-ECO-006-AR']","['France', 'Espagne']",[],,,[],,?,268,1121 kj(268 kcal),"15,7","2,1","6,4","3,3","25,2","1,3","0,52",,['es:ecologico'],15.7 g,en quantité modérée,2.1 g,en quantité modérée,3.3 g,en faible quantité,1.3 g,en quantité modérée,,,,,,,,,,,5,,C,,,,,,,,,,,,,,,,,,
46,Salsa Kebab Suave - Coosur,8436033824863,['Coosur'],,['France'],[],,,[],,?,297,1243 kj(297 kcal),"27,9","3,2",10,"7,4","0,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cacahuete frit - Dontapas - 200g,8436033878040,['Dontapas'],['Fabriqué en Espagne'],['France'],"['Cacahuètes ', '92%', 'huile de palme', 'sel']",,['Arachides'],"['Huile de palme', 'Végétalien', 'Végétarien']",3,?,587,2456 kj(587 kcal),"48,6","6,3","19,9","4,4","25,9","1,5","0,6",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes salées']",48.6 g,en quantité élevée,6.3 g,en quantité élevée,4.4 g,en faible quantité,1.5 g,en quantité modérée,,-3%,-3%,+0%,-12%,+60%,-17%,+2%,+28%,+28%,9,+50%,C,+50%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,200 g,"['Barquette', 'Plastique']",['Espagne'],['Auchan'],['ES 21.11973/V CE'],['Huile de palme'],,,,
48,Olives vertes dénoyautées - Dontapas,8436033878200,['Dontapas'],['Fabriqué en Espagne'],['France'],"['olives vertes ""manzanilla"" dénoyautées ', '39%', 'eau', 'sel', 'acidifiants : ', 'E - 270', 'E - 330', 'antioxydant : ', 'E-300', 'conservateurs : ', 'E-211 et E-202']","['E300 - Acide ascorbique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,[],3,?,148,619 kj(148 kcal),14,3,"4,5",0,1,"3,2","1,28",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",14 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,3.2 g,en quantité élevée,,-8%,-7%,-11%,+20%,+226%,-100%,-7%,-5%,-5%,13,+12%,D,+12%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,
49,Dontapas olives noires,8436033878309,['Dontapas'],,['France'],"[""Olives noires d'Aragon "", '95%', ' et sel']",,,[],,?,148,619 kj(148 kcal),"33,1",6,"2,4",0,"1,9","3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pots-pourris gout anchois 380g,8436033878354,,,['France'],[],,,[],,?,86,360 kj(86 kcal),"6,7",0,"4,3",0,2,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Chorizo iberico - Dontapas,8436033878491,['Dontapas'],,['France'],"['Viande et graisse de porc ibérique', 'sel', 'épices naturelles', 'lactose', 'dextrose', 'dextrine', 'des protéines de soja', 'protéines de lait', 'sucre', 'émulsifiant E-450', 'conservateur E-250 et E-252', 'antioxydant E-316 et E-120 tinctoriale']","['E1400 - Dextrines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique']","['Lait', 'Soja']",['Non végétalien'],4,?,511,2138 kj(511 kcal),47,"18,9",1,"0,7","21,1","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Chorizo Iberico,8436033878545,,['Fabriqué en Espagne'],['France'],[],,,[],,?,511,2138 kj(511 kcal),47,19,1,"0,7","21,1","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Jambon de cebo iberico,8436033878552,,['Fabriqué en Espagne'],['France'],[],,,[],,?,340,1423 kj(340 kcal),"26,7","11,4","0,8","0,8",25,"5,9","2,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Pain spécial - Dontapas - 200g,8436033878576,['Dontapas'],,['France'],[],,,[],,?,452,1891 kj(452 kcal),16,"1,6",66,"5,2",9,"1,6","0,64",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux']",16 g,en quantité modérée,1.6 g,en quantité modérée,5.2 g,en quantité modérée,1.6 g,en quantité élevée,,+55%,+55%,+213%,+79%,+35%,+17%,-3%,+31%,+31%,14,+272%,D,+272%,,,,,,,,200g,,,,,,,,,
55,Nutitech gourmet,8436035231713,,,['France'],[],,,[],,?,536,2243 kj(536 kcal),27,"13,08","36,87","28,42",36,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Carbo tec energy,8436035233427,,,['France'],[],,,[],,?,56,234 kj(56 kcal),0,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Beurre de cacahuètes - Meridian,8436035235629,['Meridian'],['Bio'],['France'],"['Roasted Peanuts Whole Skin On ', '100%', ' of more than one country']",,,[],,?,596,2494 kj(596 kcal),46,"8,2","11,6","5,9","29,6",0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",46 g,en quantité élevée,8.2 g,en quantité élevée,5.9 g,en quantité modérée,0 g,en faible quantité,,-1%,-0%,-4%,-1%,-19%,-7%,+20%,-100%,-100%,11,0%,D,0%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,
58,Iso Prox (1KG) Nutrytec-choco Noisette - 1kg,8436035236541,['Nutrytec'],,['France'],[],,,[],,?,407,1703 kj(407 kcal),?,"0,71",?,"10,86","84,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,
59,Oat pancake,8436035237111,,,['France'],[],,,[],,?,401,1678 kj(401 kcal),5,0,60,4,29,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Colossus Gigant,8436035241781,,,['France'],[],,,[],,?,375,1569 kj(375 kcal),4,"0,1",63,"0,1",21,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pure Whey Isolat - 3xl Nutrition,8436035242252,['3xl Nutrition'],,['France'],[],,,[],,?,390,1632 kj(390 kcal),"1,6","0,8","1,8","1,4",92,"1,2","0,48",D,"['Produits laitiers', 'Laits']",1.6 g,en faible quantité,0.8 g,en faible quantité,1.4 g,en faible quantité,1.2 g,en quantité modérée,,+491%,+496%,-22%,-33%,-70%,-74%,+2492%,+868%,+868%,4,+596%,C,+596%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,
62,"3 XL Nutrition , Black Cookies - 3XL",8436035242276,['3XL'],['Entrepreneurs + Engagés'],['France'],"['at deQprotéines de lactosérum -obtend pav_ultrafiltiation cross•now ', 'ISOLAC$', ""ntient 'du bêta-lactogtobuline,• alpha-lactalbumine„ sérum-atbumine bovine"", 'de munoglobuline', ' G', 'tactoferrine', ""proténe micro•fractionnés de ncentré de 'protéines de lactosérum,e biscuit de cacao en poudre "", 'Faine de blé', 'sucre', 'isse végétale ', 'palme', 'cacao en poudre alcàliniséesans graisse', 'sirop dè glucose', 'pàtede levain ', ""sodiurry et bicarbonate d'ammorium"", 'émulsifiant ', 'E-472e', 'antioxydants ophérds', 'E• arôme', 'en poudre', 'émulsifiant ', 'lécitme de soja', 'leucine', 'arôme', 'yaourt en poudre', 'L-isoleucine', 't•vatine', 'carbonate de calwn', ' su\\ate de ', 'agnésun', 'vitamihe C ', 'acide ferreuk', 'oxyde de', 'zinc', 'dildrurp de oussium', 'vitamine B3&ticotinamide', 'vitarnihé1E ', 'acétate de P,L-atÀa-tocaphéMe', 'luconate de manganèse', 'vitamine B5 ', 'D-pantoihénate de calciun', 'J gluconate dq cuivre', 'acétate de tétinyfe', 'bêtal carotène', 'vibnine', 'B1• ', 'chlorhydrate de ttjamine', 'tamine B2 ', 'riboflavine', 'vitanüne B6 ', 'chlorhydrate Ide pyddoxine', ""tl 'Vitamine K loquinone"", 'acide foiique ', 'acide ptéroylmonoglutamique', 'ibdure de passtum', 'i', 'cdinate de chrome', 'D•biotine', 'sélénite de sodium et édulcorant E-955', ' ALLERGENES: GLUTEN ET SOJA Peut content des traces de oeul', 'poisson', ""'fruits à et arachides - enn4•de lette"", 'e']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E502 - Carbonates']","['Gluten', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,387,1619 kj(387 kcal),"1,6","0,6","1,64","1,2","91,7","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,,
63,"Pure Isolat , Cookies & Cream - 3xl nutrition - 2kg",8436035242429,['3xl nutrition'],,['France'],[],,,[],,?,390,1632 kj(390 kcal),"1,6","0,8","1,8","1,4",92,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2kg,,,,,,,,,
64,"Pure Isolat , Lemon - 3XL",8436035242450,['3XL'],,['France'],[],,,[],,?,390,1632 kj(390 kcal),"1,6","0,8","1,8","1,4",92,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
