,name,bar_code,brand,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,manufacturing,markets,traceability_code,palm_ingredients,generic_name,ingredients_origins,link,brand_owner
978,Sabor Limao - Dia,8480017023100,['Dia'],,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dia'],,,,,,
979,Duo crème dessert Chocolat Lait Dia - 420g (6 * 70g),8480017025647,['Dia'],,['France'],"['Lait entier 63,5%', 'crème fraîche - sucre', 'lactose et minéraux du lait', 'amidon transformé', 'chocolat 2,1% ', 'masse de cacao', 'sucre', 'poudre de cacao maigre', 'poudre de cacao', 'protéines de lait', 'épaississants: E407', 'E412']","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,611,?,611 kj(146 kcal),"6,3","4,1",19,"16,7","3,2","0,127","0,051",,"['Produits laitiers', 'Desserts', 'Frais', 'Desserts lactés', 'Crèmes dessert']",6.3 g,en quantité modérée,4.1 g,en quantité modérée,16.7 g,en quantité élevée,0.127 g,en faible quantité,+13%,,+13%,+41%,+49%,+4%,+9%,-5%,-18%,-18%,7,+46%,C,+46%,,,,,,,,420 g (6 * 70 g),"['Pot plastique', 'Frais']",,['Dia'],"['FR 62.853.003 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",,Dessert lacté au chocolat et au lait,['France'],,
980,Gouda (30% MG) - Dia - 200g,8480017026972,['Dia'],"['Point Vert', 'Eco-Emballages']",['France'],"['Lait pasteurisé', 'sel', 'ferments lactiques', 'coagulant', 'colorant : E160a']",['E160a - Carotènes mélangés'],['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,1503,?,1503 kj(359 kcal),30,18,"0,1",0,23,"2,007","0,803",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Fromages pasteurisés', 'Fromages en tranches', 'Goudas', 'Fromages industriels', ""Fromages de vache Prim'Holstein""]",30 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,2.01 g,en quantité élevée,+0%,,+1%,+2%,-10%,-81%,-100%,-1%,+6%,+6%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,200 g,"['Frais', 'Barquette', 'Plastique', 'Sous atmosphère protectrice']","[""Les Fromagers de Saint-Omer - 67 Rue Léonce Lionne - Porte multimodale de l'AA - Zone d'Activité"", '62120 Campagne-lès-Wardrecques', 'Pas-de-Calais', 'Nord-Pas-de-Calais', 'France']",['Dia'],"['FR 62.205.003 CE', 'Campagne-lès-Wardrecques (Pas-de-Calais, France)']",,Gouda en tranches,,,
981,Maasdam (27% MG) x 10 tranches - 200 g - Dia - 200g (10tranches),8480017026996,['Dia'],"['Point Vert', 'Eco-Emballages']",['France'],"['lait pasteurisé', 'sel', 'ferments lactiques', 'coagulant', 'colorant : E160a']",['E160a - Carotènes mélangés'],['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,1426,?,1426 kj(341 kcal),27,17,"0,1",0,25,"1,27","0,508",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Fromages pasteurisés', 'Fromages en tranches', 'Maasdam']",27 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.27 g,en quantité modérée,-2%,,-3%,-2%,-9%,-51%,-100%,-2%,-5%,-5%,14,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,200 g (10 tranches),"['Plastique', 'sous atmosphère protectrice', 'Frais', 'Barquette']","[""Les Fromagers de Saint-Omer - 67 Rue Léonce Lionne - Porte multimodale de l'AA - Zone d'Activité"", '62120 Campagne-lès-Wardrecques', 'Pas-de-Calais', 'Nord-Pas-de-Calais', 'France']",['Dia'],"['FR 62.205.003 CE', 'Campagne-lès-Wardrecques (Pas-de-Calais, France)']",,"Fromage des Pays-Bas, à pâte pressée non cuite, au lait pasteurisé de vache, en tranches",,,
982,Mimolette (25% MG) x 10 tranches - Dia - 200g,8480017027009,['Dia'],"['Point Vert', 'Eco-Emballages']",['France'],"['Lait pasteurisé', 'sel', 'ferments lactiques', 'coagulant', 'colorant: E160b']",['E160b - Rocou'],['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,1369,?,1369 kj(327 kcal),25,15,"0,1",0,26,"2,057","0,823",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Fromages pasteurisés', 'Fromages en tranches', 'Fromages-du-nord-pas-de-calais']",25 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,2.06 g,en quantité élevée,-4%,,-6%,-3%,-16%,-83%,-100%,-6%,-19%,-19%,18,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,200 g,"['Frais', 'Barquette', 'Plastique', 'Sous atmosphère protectrice']","[""Les Fromagers de Saint-Omer - 67 Rue Léonce Lionne - Porte multimodale de l'AA - Zone d'Activité"", '62120 Campagne-lès-Wardrecques', 'Pas-de-Calais', 'Nord-Pas-de-Calais', 'France']",['Dia'],"['FR 62.205.003 CE', 'Campagne-lès-Wardrecques (Pas-de-Calais, France)']",,"Fromage de France, à pâte pressée non cuite, au lait pasteurisé de vache, en tranches",,,
983,Pur jus d'orange - Dia - 2l,8480017027139,['Dia'],['Fabriqué en France'],['France'],"[""Jus d'Orange""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,205,?,205 kj(49 kcal),"0,1",0,11,"10,5","0,8","0,04","0,016",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",0.1 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,0.04 g,en faible quantité,+12%,,+13%,-43%,-100%,+13%,+15%,+27%,+350%,+350%,4,+34%,C,+34%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,2 l,"['Carton', 'Brique']",['France'],['Dia'],,,,,,
984,Crème dessert au lait entier saveur vanille - Dia - 4 * 125g (500g),8480017027290,['Dia'],,['France'],[],,,[],,?,110,458 kj(110 kcal),"2,88","1,92",?,16,?,"0,152","0,061",C,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert rayon frais', 'Crèmes dessert vanille']",2.88 g,en faible quantité,1.92 g,en quantité modérée,16 g,en quantité élevée,0.152 g,en faible quantité,,-4%,-5%,-19%,-13%,,+13%,,+5%,+5%,,,,,75.1%,12.7%,4.2%,4.9%,2.4%,0.6%,65,4 * 125 g (500 g),"['Pots', 'Plastique']",['France'],['Dia'],,,,,,
985,"Filets de maquereaux (sauce olives-citron) - Dia - 169g, 180ml",8480017027535,['Dia'],"['Point Vert', 'Fabriqué au Portugal', 'Eco-Emballages']",['France'],"['Filets de maquereaux ', '58 %', 'eau', ""vinaigre d'alcool"", ""huile d'olive vierge extra "", '4,8 %', ',olives vertes ', '3 %', 'citron ', '3 %', 'sel', 'épaississant : gomme guar', 'sucre', 'amidon transformé de maïs', 'persil', 'arôme']","['E412 - Gomme de guar', 'E14XX - Amidons modifiés']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,766,?,766 kj(183 kcal),"13,8",,"0,4",,"14,6",,,D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux citron-olive', 'Maquereaux en conserve']",13.8 g,en quantité modérée,,,,,,,,,-15%,-16%,,-72%,,0%,,,,,,,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,"169 g, 180 ml","['Boîte', 'Conserve', 'Alu recyclable', 'Couvercle ouverture facile']","['European Seafood Investments Portugal - ESIP (Filiale MWBrands) - Avenida Monsenhor Manuel Bastos Rodrigues De Sousa - 2520-206 Peniche', 'Leiria', 'Centre', 'Portugal']",['Dia'],['PT C 241 1 P CE'],,"Filets de maquereaux avec sauce à base d'huile d'olive, d'olives vertes et de citron",,,
986,Cerveza Lager - Dia - 50cl,8480017028587,['Dia'],,['France'],"['Eau', ""malt d'orge"", 'maïs', 'extrait de houblon', 'colorant ', 'E150c']","['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,50 cl,['Canette'],,['Dia'],,,Bière blonde de luxe,,,
987,"Bière blanche, - Dia - 6x25cl",8480017028624,['Dia'],"['Point Vert', 'Déconseillé aux femmes enceintes', 'Triman']",['France'],"['eau', ""malt d'orge"", 'blé', 'arôme', ""écorce d'orange"", 'houblon', 'antioxidante ', 'E300']",['E300 - Acide ascorbique'],['Gluten'],[],4,?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,6x25cl,"['Étui carton', 'Bouteille en verre']",['Brasserie de Gayant'],['Dia'],,,,,,
