,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,link,markets,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,nova_score,additives,manufacturing,ingredients_origins,generic_name,origin_detail
74,Glace creme catalane,3760299290700,['France'],[],[],?,431,"5,8",10,"2,7",B,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",,,,5.8 g,en quantité modérée,4.4 g,en quantité modérée,8.8 g,en quantité modérée,0.19 g,en faible quantité,,+96%,1803 kj(431 kcal),+97%,-47%,"4,4",-36%,-62%,"8,8",-61%,-19%,"0,19",+26%,"0,076",+26%,9,-29%,C,-29%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,
75,Tapas à l'orientale (poulpes aux épices) - L'Apéro du Poissonnier,3418840571685,['France'],[],[],?,243,21,2,11,,,"[""L'Apéro du Poissonnier""]",,,,,,,,,,,,,,,1017 kj(243 kcal),,,"2,4",,,"0,5",,,"0,92",,"0,368",,,,,,,,,,,,,,['Point Vert'],,,,,,,
76,Cerises - 500g,3760074880072,['France'],[],[],?,?,?,?,?,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 69021B', 'Bessenay (Rhône, France)']",,,,,,
77,Soft Tofu bibigo,8801007121680,['France'],[],[],?,51,"2,8","2,2","4,2",,,['Bibigo'],,,,,,,,,,,,,,,213 kj(51 kcal),,,"0,4",,,"0,6",,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
78,Blütenhonig - 400g,8697436585755,['France'],[],[],?,?,?,?,?,B,400 g,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
79,Mélange Forestier,0745114589637,['France'],[],[],?,251,"3,2","24,3","15,9",,,,,,,,,,,,,,,,,,1050 kj(251 kcal),,,"0,4",,,"3,9",,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
80,Tea red apple,7411909200010,['France'],[],[],?,1,0,"0,2","0,1",B,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,-89%,4 kj(1 kcal),-89%,-100%,0,-100%,-89%,0,-100%,-41%,0,-100%,0,-100%,1,-75%,B,-75%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,
81,Pasta di semola di grano duri,8005709831131,['France'],[],[],?,354,"1,3","73,2",11,,,,,,,,,,,,,,,,,,1481 kj(354 kcal),,,"0,3",,,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,
82,Rhubarbe,3760132626390,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Haribo Chamallows chocolat,8852588570565,['France'],[],[],?,423,16,64,"5,6",,,,,,,,,,,,,,,,,,1770 kj(423 kcal),,,"9,6",,,55,,,"0,1",,"0,04",,,,,,,,,,,,,,['Sans colorants'],,,,,,,
84,3croissants+3chocolat AOP,2100000489596,['France'],[],[],?,386,21,41,"6,7",,,,,,,,,,,,,,,,,,1615 kj(386 kcal),,,14,,,"7,2",,,"0,86",,"0,344",,,,,,,,,,,,,,,,,,,,,
85,Chips saveur bolognaise - Auchan,3596710483259,['France'],[],[],?,537,33,51,"6,5",B,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées']",,['Auchan'],,33 g,en quantité élevée,2.7 g,en quantité modérée,2.2 g,en faible quantité,1.4 g,en quantité modérée,,+2%,2247 kj(537 kcal),+2%,+3%,"2,7",-8%,-1%,"2,2",-5%,+6%,"1,4",-2%,"0,56",-2%,9,-21%,C,-21%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,['Nutriscore'],,,,,,,
86,Spaghetti konjac,6532461000984,['France'],[],[],?,29,6,0,0,,,,,,,,,,,,,,,,,,121 kj(29 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,
87,Bretzel bites cheddar - Snack Day - 130g,4056489222873,"['France', 'Allemagne']",[],[],2097,502,27,55,"8,2",,130g,['Snack Day'],"['Snacks', 'Snacks salés']",,,,27 g,en quantité élevée,2.8 g,en quantité modérée,5.7 g,en quantité modérée,2.99 g,en quantité élevée,+7%,+9%,2097 kj(502 kcal),+9%,+12%,"2,8",-34%,+15%,"5,7",+74%,-4%,"2,99",+94%,"1,196",+94%,19,+56%,E,+56%,,,,,,,,,,,,,,,,
88,Assiette de saumon macedoine,0209784019356,['France'],[],[],?,248,22,"4,7","7,1",,,,,,,,,,,,,,,,,,1038 kj(248 kcal),,,"2,3",,,"1,1",,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
89,Financiers framboise,2030500020930,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Willie´s Cacao Chef´s Drops - 72% Rio Caribe Dark,5060165580460,['France'],[],[],?,564,"39,6","37,7","9,2",,,,,,,,,,,,,,,,,,2360 kj(564 kcal),,,"24,1",,,"26,7",,,0,,0,,,,,,,,,,,,,,,,,,,,,
91,Oeuf mimosa thon macedoine,0209785013254,['France'],[],[],?,230,20,"5,1","6,8",,,,,,,,,,,,,,,,,,962 kj(230 kcal),,,"2,4",,,"1,2",,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,
92,Escalope de dinde,0289054040082,['France'],[],[],?,?,?,?,?,D,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,
93,21663659,21663659,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,
94,Jambon de Paris  4 tranches,0259317029789,['France'],[],[],?,124,"3,7","0,7",22,,,,,,,,,,,,,,,,,,519 kj(124 kcal),,,"1,8",,,"0,7",,,"1,9",,"0,76",,,,,,,,,,,,,,,"['FR 95.018.022 CE', ""Argenteuil (Val-d'Oise, France)""]",,,,,,
95,Saucisse de toulouse - Oberti,3349010005290,['France'],[],[],?,203,"14,9","0,8","16,4",,,['Oberti'],,,,,,,,,,,,,,,849 kj(203 kcal),,,"5,7",,,"0,6",,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,
96,Mascarpone au gorgonzola,2425573020558,['France'],[],[],?,395,"38,2","0,9","11,9",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Gorgonzola et mascarpone']",,,,38.2 g,en quantité élevée,25.9 g,en quantité élevée,0.5 g,en faible quantité,0.84 g,en quantité modérée,,+3%,1653 kj(395 kcal),+3%,+5%,"25,9",+2%,-20%,"0,5",-49%,-1%,"0,84",+5%,"0,336",+5%,12,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Gorgonzola et mascarpone'],,,,,,,,
97,Mini bones,5998749137956,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
