,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,link,markets,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,nova_score,additives,manufacturing,ingredients_origins,generic_name,origin_detail
36,Petit dej multi céréales,3250392918873,['France'],[],[],?,446,"13,9","70,1","7,7",,,,,,,,,,,,,,,,,,1866 kj(446 kcal),,,"1,4",,,"23,2",,,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,
37,Abondance au lait cru,2215189016669,['France'],[],[],?,393,"30,3","3,7","26,6",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",,,,30.3 g,en quantité élevée,20.1 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,,-2%,1644 kj(393 kcal),-2%,-8%,"20,1",-7%,+479%,"0,1",-64%,+6%,"1,3",-18%,"0,52",-18%,14,-11%,D,-11%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
38,Steak hache - 900g,3700141403896,['France'],[],[],?,233,20,"0,3","12,9",,900 g,,,,,,,,,,,,,,,,975 kj(233 kcal),,,8,,,"0,2",,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
39,Dura Red Thyme 400 GR,6251136006976,['France'],[],[],?,77,1,0,3,,,,,,,,,,,,,,,,,,322 kj(77 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,
40,Filet tranché de poulet,2276752025983,['France'],[],[],?,?,?,?,?,,,,['en:Filets de Poulet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,
41,Riz basmati complet - 1kg,1000000000039,['France'],[],[],?,375,0,79,7,C,1 kg,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+14%,1569 kj(375 kcal),+13%,-100%,0,-100%,+11%,0,-100%,-7%,0,-100%,0,-100%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,
42,Honey Balls - Golden Bridge,59567165,['France'],[],[],?,380,"0,9",85,"6,7",C,,['Golden Bridge'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,0.9 g,en faible quantité,0.1 g,en faible quantité,25 g,en quantité élevée,0.5 g,en quantité modérée,,-5%,1590 kj(380 kcal),-5%,-90%,"0,1",-95%,+27%,25,+50%,-28%,"0,5",+40%,"0,2",+40%,9,+67%,C,+67%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,
43,Ratatouille bio - 300g,3454130001388,['France'],[],['Végétarien'],?,58,3,"5,6","1,3",B,300 g,,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",,,,3 g,en quantité modérée,0.6 g,en faible quantité,5.1 g,en quantité modérée,,,,-15%,243 kj(58 kcal),-13%,-20%,"0,6",+11%,+9%,"5,1",+31%,+10%,,,,,,,,,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,"['Bio', 'Végétarien', 'Bio européen', 'Union Végétarienne Européenne', 'FR-BIO-01', 'AB Agriculture Biologique']","['EMB 85191N', 'Roche-sur-Yon (Vendée, France)']",,,,,,
44,Filet de poulet et blanc,0253072067765,['France'],[],[],?,104,"1,3",0,23,,,,['en:Filets de Poulet'],,,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-12%,435 kj(104 kcal),-12%,-51%,"0,4",-44%,-100%,0,-100%,+1%,"0,11",-83%,"0,044",-83%,-4,,A,,,,,,,,,['Film en plastique'],['Bleu Blanc Cœur'],,,,,,,
45,Cerises,3613042701070,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
46,Luxury Milk Chocolate Ration,5036599003295,['France'],[],[],?,541,"30,5","60,4","5,1",,,,,,,,,,,,,,,,,,2264 kj(541 kcal),,,"18,2",,,"59,1",,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,
47,Grillons cocktail,2477868033729,['France'],[],[],?,384,32,"0,5",24,,,,,,,,,,,,,,,,,,1607 kj(384 kcal),,,13,,,"0,2",,,"2,3",,"0,92",,,,,,,,,,,,,,['Sans colorants'],,,,,,,
48,Tartines quinoa et graines - 375g,3140049798029,['France'],[],[],?,311,11,41,"9,5",,375 g,,,,,,,,,,,,,,,,1301 kj(311 kcal),,,"0,9",,,"4,7",,,1,,"0,4",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
49,Slow release casein,7055334319703,['France'],[],[],?,385,"1,4","9,9",83,,,,,,,,,,,,,,,,,,1611 kj(385 kcal),,,"0,8",,,"7,9",,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,
50,Sorbet de violette,3701354901339,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Eliche trafiata al bronzo,3051030874021,['France'],[],[],?,368,"0,3",78,12,,,,,,,,,,,,,,,,,,1540 kj(368 kcal),,,"0,1",,,"2,7",,,0,,0,,,,,,,,,,,,,,,,,,,,,
