,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,link,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,markets,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
0,Miel d’acacia bio - Le manoir des abeilles - 250g,3335440123901,B,250 g,['Le manoir des abeilles'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['Bio'],['Hongrie'],"['EMB 50410B', 'Pontorson (Manche, France)']",['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,350G Confiture Extra De Myrtilles - Prosain - 350g,3335880001425,C,350 g,['Prosain'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],"['Myrtilles*', 'sucre de canne* non raffiné', 'agent gélifiant : pectine de fruits', ""\r*Ingrédients issus de l'agriculture biologique"", '\rPréparée avec 60 g de fruits pour 100 g', ' Teneur totale en sucres : 61 g pour 100 g']",[],?,,250,+14%,"0,5",+92%,61,+14%,"0,5",+28%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,Confiture extra de myrtilles sauvages biologique,"['Bocal', 'Verre', 'Couvercle', 'Métal']",http://www.prosain.fr/fr/confitures-et-marmelades/134-confiture-extra-de-myrtilles-sauvages.html,['E440 - Pectines'],4,0.5 g,en faible quantité,0.1 g,en faible quantité,57 g,en quantité élevée,0.025 g,en faible quantité,1046 kj(250 kcal),+14%,"0,1",+126%,57,+12%,"0,025",+50%,"0,01",+50%,12,+30%,D,+30%,,,,,,
2,"Crevettes entières - Delpierre - 0,400kg",3336370031687,D,"0,400 kg",['Delpierre'],"['Produits de la mer', 'Crustacés', 'Crevettes']",['Sans colorants'],['Équateur'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)', 'ASC-C-01079']",['France'],"['Crevettes', 'sel', 'antioxydant : E223 ', 'sulfites', 'acidifiant : E330']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,86,-19%,"1,1",-50%,"0,5",-54%,19,+4%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,Crevettes entières cuites réfrigérées,"['Barquette', 'Plastique', 'Frais']",,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",3,1.1 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,360 kj(86 kcal),-18%,"0,4",-13%,"0,5",+43%,2,+36%,"0,8",+36%,4,+61%,C,+61%,['Simply Market'],"['Crustacés', 'Anhydride sulfureux et sulfites']",,,,
3,Queues de crevettes à la provençale - à poêler - Delpierre - 200,3336374403060,D,200,['Delpierre'],"['Produits de la mer', 'Crustacés', 'Crevettes', 'Queues de crevettes']",,,"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']","['Afghanistan', 'France']","['Crevettes 83%', 'préparation à la provençale 15% ', 'beurre ', 'lait', ' 72%', 'purée de tomate', 'poivron vert', 'tomate', 'poivron rouge', 'oignon', ""huile d'olive vierge extra"", 'ail', 'basilic', 'sel', 'origan', 'romarin', 'thym', 'poivre noir', 'huile de tournesol', 'mix provençal ', 'poivron', 'plantes aromatiques dont herbes de Provence', 'maltodextrine', 'sel', 'sel', 'conservateurs: E202', 'antioxydant: E223 ', 'sulfites', 'acidifiant: E330']","['Non végétalien', 'Non végétarien']",?,,94,-4%,"1,3",-25%,"0,9",+75%,20,+5%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,"Queues de crevettes cuites réfrigérées, préparation provençale",['Conserve'],,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",3,1.3 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en faible quantité,2.2 g,en quantité élevée,393 kj(94 kcal),-4%,"0,3",-29%,"0,8",+277%,"2,2",+49%,"0,88",+49%,5,+122%,C,+122%,,"['Crustacés', 'Lait', 'Anhydride sulfureux et sulfites']",['Transformé en France'],,,
4,Association de 4 huiles vierges 100% Bio - Cauvin - 75cl,3336590063765,C,75 cl,['Cauvin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', ""Mélanges d'huiles""]","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",['Agriculture UE / non UE'],,['France'],"['Colza ', '65%', 'Tournesol ', '25%', 'Olive ', '5%', 'Tournesol oléique ', '4', '3%', ' et arôme naturel de citron ', '0', '7%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3700,+2%,?,,100,+2%,0,,0,,85.4%,5.5%,3.9%,3.4%,1.7%,0.0%,50,4 huiles vierges 100% Bio,"['Bouteille', 'Verre', 'Bouchon', 'Métal']",http://www.huilecauvin.com,,4,100 g,en quantité élevée,9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700 kj(884 kcal),+1%,9,-5%,0,,0,,0,,8,-19%,C,-19%,['Carrefour'],,,,,
5,Vinaigre de Cidre Bio - Cauvin - 25cl,3336591033255,A,25 cl,['Cauvin'],"['Vinaigres', 'Vinaigres de cidre']","['Bio', 'Bio européen', 'FR-BIO-01']",['France'],,['France'],['Vinaigre de Cidre 5% Biologique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",45,,15,,"0,105",,"1,5",,"0,147",,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,Vinaigre de Cidre,"['Bouteille', 'Verre']",http://www.huilecauvin.com/produit.php?idp=46,,2,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,['France'],,,
6,Sirop pêche - Bigallet,3336770000955,B,,['Bigallet'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de pêche']",['Sans conservateurs'],,,['France'],[],[],?,,363,+41%,0,-100%,87,+27%,0,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,1519 kj(363 kcal),+37%,0,-100%,82,+26%,,,,,,,,,,,,,,
7,Galettes de blé noir - Galettes Bertel,3337040000132,B,,['Galettes Bertel'],"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']","['Bio', 'Bio européen', 'FR-BIO-01']",,,['France'],"['Etalées à la main Fibres Protéines {arine de blé noir ', '47%', '*', 'eau', 'sel de Guérande', "" * Issus de l'Agriculture Biologique"", ' A consejver au froid entre 4 et 60C', ' Sortir le sachet du froid', '15mn avant consommation', ' Produit fabriqué dans un atelier utilisant gluten', 'lait', 'Œufs', ' Poids net']",[],?,,150,-15%,"1,2",-69%,"28,5",+4%,"5,4",-21%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,,['Plastique'],,,,1.2 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en quantité modérée,628 kj(150 kcal),-15%,"0,2",-87%,"0,2",-72%,"1,3",-2%,"0,52",-2%,1,-81%,B,-81%,,"['Œufs', 'Lait']",,,,
8,"2 Galettes Garnies Jambon supérieur, Œuf Poché et Emmental Français - Bertel - 300g (2 * 150g)",3337040000804,B,300 g (2 * 150 g),['Bertel'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Crêpes et galettes', 'Plats au porc', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Galettes', 'Galettes de blé noir', 'Galettes garnies']","['Viande-francaise', 'Point Vert', 'en:produced-in-bretagne', 'Viande-porcine-francaise']",['France'],"['FR 22.197.002 CE', ""Pleudihen-sur-Rance (Côtes-d'Armor, France)""]",['France'],"['Galette 53 % : farine de blé noir 69%', 'eau', 'sel de Guérande', ' Garniture 47% : Oeuf poché français 54%*', 'jambon supérieur français 18', '6%* ', 'jambon de porc', 'eau', 'sel', 'dextrose de blé', 'sirop de glucose de blé', 'arômes', 'antioxydant E316', 'conservateur E250', 'emmental français 14%*', 'sauce ', 'eau', 'crème fraîche', 'amidon modifié de pomme de terre', 'lactose', 'dextrose de blé', 'farine de blé', 'sel', 'lait écrémé', 'protéines de lait', 'acidifiant E270', 'épaississants guar et xanthane', 'muscade', 'oignons', 'poivre', 'conservateur E202', ' * - Exprimés sur la garniture']","['Non végétalien', 'Non végétarien']",?,,164,-8%,"5,3",-33%,"17,6",+2%,"10,8",+25%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,"2 Galettes Garnies Jambon supérieur, Œuf Poché et Emmental Français","['Barquette', 'Plastique', 'Sous atmosphère protectrice', 'Frais']",http://www.galettes-bertel-pleudihen-sur-rance.fr/nouvellepage2,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,5.3 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,686 kj(164 kcal),-8%,"2,5",-44%,"0,5",-50%,"1,1",-8%,"0,44",-8%,2,-73%,B,-73%,['Carrefour'],"['Œufs', 'Gluten', 'Lait', 'Emmental français', 'Emmental français']","['France', 'Bretagne', ""Côtes d'Armor"", 'Pleudihen sur Rance']",,,
9,Sauce 6 légumes aux herbes de Provence bio - Les Mets de Provence - 190g,3337730904122,,190 g,['Les Mets de Provence'],"['Epicerie', 'Sauces', 'Sauces aux légumes']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,['France'],"['Carottes', 'Courgettes', 'Concentré de tomate', 'Tomates', 'Eau', 'Aubergines', 'Huile de tournesol', 'Poivrons verts', 'Poivrons rouges', 'Basilic', 'Sucre', 'Sel de mer non raffiné', 'Oignons', 'Jus concentré de citron', 'Ail', 'Céleri', 'Bouquet provençal ', '0,4 %', 'Persil', 'Poivre', 'Paprika']",[],334,-5%,?,,"5,7",+4%,"6,3",-8%,1,-39%,,,,,,,,Sauce préparée aux légumes,"['Bocal', 'Verre']",,,3,5.7 g,en quantité modérée,0.6 g,en faible quantité,4.9 g,en faible quantité,1.3 g,en quantité modérée,334 kj(80 kcal),-15%,"0,6",-23%,"4,9",-3%,"1,3",+23%,"0,52",+23%,6,+212%,C,+212%,['Auchan'],['Céleri'],,,,
10,Choux farcis - Coeur d'Aveyron - 600g,3338310230105,,600 g,"[""Coeur d'Aveyron""]","['Plats préparés', 'Réfrigérés', 'Plats préparés réfrigérés']",['Point Vert'],,"['FR 12.004.007 CE', 'Almont-les-Junies (Aveyron, France)']",['France'],"['Choux farcis 53% [choux verts cuits 53%', 'farce 47% ', 'maigre et gras de porc 49%', 'lait', 'œufs', 'chapelure ', 'farine de blé', 'eau', 'sel', 'levure', ""correcteur d’acidité : carbonate acide d'ammonium"", 'blettes', 'persil', ""pulpe d'ail "", 'ail', 'sel', 'antioxydant : acide citrique', 'poivre', ']', 'sauce 47 % ', 'concassé de tomate ', 'tomate', 'jus de tomate', 'acidifiant : acide citrique', ' eau', 'huile de colza', 'concentré de tomate', 'oignons', 'lardons ', 'poitrine de porc', 'eau', 'sel', 'sirop de glucose', 'acidifiant : acétate de sodium', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'carottes', 'gélatine de porc', ""pulpe d'ail "", 'ail', 'sel', 'antioxydant acide citrique', 'sel', 'amidon modifié de maïs', 'herbes de Provence', 'poivre']","['Non végétalien', 'Non végétarien']",494,-34%,119,-35%,"7,3",-20%,"8,7",-41%,"4,1",-45%,,,,,,,,Choux verts farcis à la chair à saucisse et aux lardons,"['Barquette', 'Film', 'Plastique', 'Frais']",,"[""E503ii - Carbonate acide d'ammonium"", 'E330 - Acide citrique', 'E262i - Acétate de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine', 'E14XX - Amidons modifiés']",4,7.3 g,en quantité modérée,1.8 g,en quantité modérée,4.1 g,en faible quantité,0.96 g,en quantité modérée,494 kj(119 kcal),-34%,"1,8",-36%,"4,1",+89%,"0,96",-7%,"0,384",-7%,3,-39%,C,-39%,['Auchan'],"['Œufs', 'Gluten', 'Lait']",['Aveyron'],,,
11,Confiture cerise noire - Miguel Gorry - 1,3338449001041,,1,['Miguel Gorry'],,,,,['France'],"['Cerises noires 65%', 'sucre', 'gélifiant : pectine de lus de citron concentré', ""extrait naturel de vanille de Cerises de première qualité dénoyautés l'aiguille»"", ' Tolérance : 1 noyau pour 200 cerises']",[],?,,181,,"0,2",,"43,2",,"0,9",,,,,,,,,,,,['E440 - Pectines'],4,,,,,,,,,757 kj(181 kcal),,0,,42,,"0,4",,"0,16",,,,,,,,,,,
12,Pains Hamburger Extra Moelleux - St rolan,3338880000184,,,['St rolan'],,,,,"['France', 'La Réunion']",[],[],?,,295,,"5,1",,52,,"9,3",,,,,,,,,,,,,,,,,,,,,,1234 kj(295 kcal),,1,,"8,5",,"1,2",,"0,48",,,,,,,,,,,
13,Spécial Sandwich Aux 6 Céréales - St rolan,3338880000252,,,['St rolan'],,['en:palm-oil-free'],,,['France'],"['RÉDIENTS Céréales enfarine ut cc', 'orge', 'avoine', 'I maïs', 'épeautre', 'lin', 'sésame', ' huile de colza', 'sucre', 'levure', 'gluten de blé', 'sel', 'levain de seigle dévitalisé', 'son de blé', 'émulsifiants ', ""mono et diglycérides d'acides gras"", 'E472et lécithine de soja', 'lacb/lates de sodium', ""correcteur d'acidité "", 'acide acétique', ' conservateurs ', 'propionate de calcium', 'acide sorbique', ' farine de fèves', 'farine de blé malté', ""farine d'orge malté"", 'agentdetraitementdelafarine', 'acideascorbique', 'Ce Traces éventuellesde: œuf', ' lait', 'fruits à coque']","['Sans huile de palme', 'Non végétalien']",?,,272,,"7,7",,38,,11,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E260 - Acide acétique', 'E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,1138 kj(272 kcal),,"1,2",,"2,2",,"0,97",,"0,388",,,,,,,"['Gluten', 'Avoine', 'Graines de sésame']",,,,
14,Pain complet spécial sandwich - St Rolan - 600g,3338888800007,B,600g,['St Rolan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains complets', 'Pains de mie complet']",,,,"['France', 'La Réunion']","['Farine de blé ', 'Sl%', 'eau', 'sons de blé', 'huile de colza', 'gluten de blé', 'sucre', 'levain de seigle dévitalisé', 'sel', 'levure', ""correcteur d'acidité "", 'acide acétique', ' émulsifiants ', ""mono et digiycérides d'acides gras"", 'lécithine de soja', '\\ E472e', 'factyfatesde sodium', 'conservateurs ', 'propionate de calcium', 'acide sorbique', 'farine de fèves', ""farine d'orge malté"", 'farine de blé malté', 'agent de traitement de la farine ', 'acide ascorbique', 'Ce produit contient : gluten', 'soja', 'Traces éventuelles de : sésame', 'lait', 'oeuf', 'fruits à coque,']","[""Pourrait contenir de l'huile de palme""]",?,,245,-5%,"4,5",+5%,40,-7%,"9,3",+4%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,"['E260 - Acide acétique', 'E322i - Lécithine', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",4,4.5 g,en quantité modérée,0.8 g,en faible quantité,2.2 g,en faible quantité,1.1 g,en quantité modérée,1025 kj(245 kcal),-5%,"0,8",+28%,"2,2",-56%,"1,1",-4%,"0,44",-4%,-3,,A,,,"['Gluten', 'Soja']",,,,
15,Panna cotta brebis bio - Laiterie du Perigord - 2X 95g,3339526273047,B,2 X 95 g,['Laiterie du Perigord'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Panna cottas', 'Desserts lactés à la vanille']","['Bio', 'Ecocert', 'Bio européen', 'AB Agriculture Biologique', 'Lait de brebis du Sud-Ouest']",['Périgord noir'],"['FR 24.396.002 CE', 'Saint-Cyprien (Dordogne, France)']",['France'],"['lait de brebis 13% de MG * 89%', ' sucre de canne *', ' arôme naturel de vanille * 1%', ' gélifiants: pectine', ""agar agar\r * ingrédients d'origine agricole issus de l'agriculture biologique\rsucre de canne issu du commerce équitable""]",[],?,,186,-15%,"11,5",-7%,"15,2",-26%,"5,3",+95%,62.1%,26.2%,4.5%,4.1%,2.5%,0.7%,68,dessert lacté bio au lait de brebis à la vanille,['Frais'],http://www.laiterieduperigord.fr/nos-produits/brebis,"['E440 - Pectines', 'E406 - Agar-agar']",4,11.5 g,en quantité modérée,7.6 g,en quantité élevée,15.1 g,en quantité élevée,0.12 g,en faible quantité,778 kj(186 kcal),-13%,"7,6",-10%,"15,1",-12%,"0,12",-0%,"0,048",-0%,12,-2%,D,-2%,['Botanic'],['Lait'],"['Périgord noir', 'union européenne']",,,
16,Rosette - Compagnie Montagne Noire - 200g,3339720417209,D,200 g,['Compagnie Montagne Noire'],"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",,,"['EMB 11262N', 'Narbonne (Aude, France)']",['France'],"['Ifosette pur porc Ingrédients Viande de ', 'UE', 'sel', 'lactose', 'épices', 'demse', 'ail', 'conservateurs : niÙate de —sium et nitrite de sodium', 'anioxydant• de sodium', 'fermenb', ' 140 g de viande de porc Utilisée pour 100 g de produit fini']",['Non végétalien'],?,,418,+15%,36,+26%,"1,6",-18%,22,-14%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,4,36 g,en quantité élevée,14 g,en quantité élevée,1.2 g,en faible quantité,4.6 g,en quantité élevée,1749 kj(418 kcal),+14%,14,+23%,"1,2",-17%,"4,6",+2%,"1,84",+2%,25,+6%,E,+6%,['Magasins U'],['Lait'],,,,
17,ENDIVE Endive,3344091105006,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",,,,['France'],[],[],?,,11,-31%,"1,5",+329%,"1,6",-32%,1,-9%,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,,,1.5 g,en faible quantité,0.35 g,en faible quantité,0.44 g,en faible quantité,,,46 kj(11 kcal),-33%,"0,35",+282%,"0,44",-66%,,,,,,,,,,,,,,
18,Rôti de porc cuit Supérieur charcutier V.P.F. - Brient - 180g - 4tranches,3346650210602,,180 g - 4 tranches,['Brient'],"['Viandes', 'Porc']","['Viande Française', 'Viande Porcine Française']",['France'],"['FR 35.196.001 CE', 'Mordelles (Ille-et-Vilaine, France)']",['France'],"['longe de porc', 'eau', 'sel', 'sel de Noirmoutier', 'arômes naturels', 'sirop de glucose', 'dextrose', 'ail', 'poivre', 'conservateur : E250', 'antioxydant E316', 'colorant : caramel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,139,-28%,"5,2",-54%,"0,9",+1%,"22,2",+12%,,,,,,,,Rôti de Porc cuit Supérieure VPF,"['Barquette plastique', 'Film plastique', 'Sous atmosphère protectrice']",,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E150 - Caramel']",4,5.2 g,en quantité modérée,2.1 g,en quantité modérée,0.8 g,en faible quantité,2.01 g,en quantité élevée,582 kj(139 kcal),-26%,"2,1",-51%,"0,8",+30%,"2,01",+5%,"0,804",+5%,11,-1%,D,-1%,['Leclerc'],,['France'],,,
19,Farine de riz complète - Naturaline - 500g,3347431802351,B,500 g,"['Naturaline', 'Moulin des Moines']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'Agriculture non UE', 'AB Agriculture Biologique']",,,"['France', 'Suisse']","['Riz complet,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1484,,?,,"2,78",+60%,"71,9",-7%,"7,23",+5%,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,"['Sachet', 'Plastique']",,,1,2.78 g,en faible quantité,0.56 g,en faible quantité,0.85 g,en faible quantité,0.02 g,en faible quantité,1484 kj(355 kcal),+0%,"0,56",+29%,"0,85",+57%,"0,02",+68%,"0,008",+68%,-4,,A,,,,,,,
20,Galettes de petit épeautre napées de chocolat - NATURALINE - 150g,3347439950412,C,150 g,['NATURALINE'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique', 'Triman']",,['FR-BIO-01'],"['France', 'Pays-Bas']","['Petit épeautre complet*', 'chocolat* ', 'sucre de canne*', 'beurre de cacao*', 'pâte de  cacao*', 'Cacao*: 55%', ' ', '35%']",[],?,,436,-11%,"17,31",-26%,"57,16",-8%,"10,25",+56%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,['Sachet Plastique'],,,3,17.3 g,en quantité modérée,9.83 g,en quantité élevée,13.9 g,en quantité élevée,0.01 g,en faible quantité,1824 kj(436 kcal),-11%,"9,83",-17%,"13,92",-57%,"0,01",-98%,"0,004",-98%,12,-44%,D,-44%,['Biocoop'],,,,,
21,Bananes Cavendish - La Banane Française - 3fruits,3347761000649,B,3 fruits,['La Banane Française'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['Catégorie I'],"['Guadeloupe', 'Martinique']",,['France'],['Bananes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,89,-9%,"0,3",+41%,23,+6%,"1,1",-8%,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,['Aucun'],,,1,0.3 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité modérée,0 g,en faible quantité,372 kj(89 kcal),-9%,"0,1",+14%,12,-19%,0,-100%,0,-100%,-4,,A,,['Cora'],,,,,
22,12 oeufs frais de poules élevées en plein air - Val d'Or,3348680000123,B,12 oeufs,"[""Val d'Or""]","[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",['Oeufs de France'],['France'],"['FR 26.125.051 CE', 'Eurre (Drôme, France)']",['France'],['12 oeufs frais de poule élevées en plein air'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,?,,?,,?,,?,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,['Carton'],,,1,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,
23,Poudre à Colombo des Antilles - Tonton Clément - 100gr.,3348870945456,,100 gr.,['Tonton Clément'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",['La-qualite-des-produits-de-l-europe-d-outre-mer-guadeloupe'],['Guadeloupe'],,"['France', 'Guadeloupe']",['Coriandre - Riz  - Curcuma - Cumin - Moutarde - Fenugrec - Poivre - Girofle'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","826,8",-9%,197.6,+51%,"6,4",+89%,33,+70%,"6,6",+74%,,,,,,,,Poudre à Colombo,['Sachet'],,,1,6.4 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0.132 g,en faible quantité,"826,8 kj(197 kcal)",+43%,0,-100%,0,-100%,"0,132",-97%,"0,053",-97%,,,,,['e leclerc'],['Moutarde'],['Guadeloupe'],,,
24,Fromage de chèvre - monoprix - 180gr,3350030113681,D,180gr,['Monoprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,,"['EMB 79299', 'Saint-Varent (Deux-Sèvres, France)', 'FR 79.299.001 CE', 'Saint-Varent (Deux-Sèvres, France)']",['France'],"['Lait de chèvre pasteurisé', 'sel', ""ferments lactiques et d'affinage"", 'présure animal ou coagulant enzymatique']",['Non végétalien'],?,,289,+2%,24,+5%,0,-100%,19,+10%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,fromage de chèvre,['boite carton'],,,3,24 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,1209 kj(289 kcal),+2%,17,+6%,0,-100%,"1,5",+11%,"0,6",+11%,14,+5%,D,+5%,['Monoprix'],['Lait'],,,,
25,Lait Frais Microfiltré Entier - Monoprix Gourmet - 1L,3350030134204,D,1 L,"['Monoprix Gourmet', 'Monoprix']","['Produits laitiers', 'Laits', 'Laits frais', 'Laits entiers', 'Laits de vache', 'Laits microfiltrés']",,['Lait de vache'],"['FR 42.305.001 CE', 'Talaudière (Loire, France)', 'EMB 42305', 'Talaudière (Loire, France)']",['France'],['Lait de vache'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,64,+10%,"3,6",+25%,"4,8",+1%,"3,2",-1%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,Lait Frais Microfiltré Entier,"['Bouteille plastique', 'Bouchon plastique', 'Plastique', 'Frais']",http://www.monoprix.fr,,1,3.6 g,en quantité modérée,2.2 g,en quantité modérée,4.8 g,en faible quantité,0.1 g,en faible quantité,268 kj(64 kcal),+11%,"2,2",+15%,"4,8",+1%,"0,1",-1%,"0,04",-1%,2,+117%,B,+117%,['Monoprix'],['Lait'],,,,
