,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,link,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,markets,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
1289,Pâtes alimentaires spaghetti semi-complet - Montebello - 500g e,8032891769409,,500 g e,['Montebello'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti', 'Pâtes complètes']","['Bio', 'Bio européen', 'Agriculture Italie']",,,['France'],['Semoule semi-complète de blé dur bio'],[],1539,,361,+3%,"1,9",-7%,"71,8",+10%,"11,8",-2%,,,,,,,,,"['Sachet', 'Plastique']",,,,1.9 g,en faible quantité,0.4 g,en faible quantité,5.5 g,en quantité modérée,0.05 g,en faible quantité,1539 kj(361 kcal),+5%,"0,4",+1%,"5,5",+54%,"0,05",+120%,"0,02",+120%,-4,,A,,,['Gluten'],['Italie'],,,
1290,Gran cereale - Barilla - 460g,8076809542166,C,460g,['Barilla'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['en:palm-oil-free'],,,['France'],"['Farina integrale di frumento 31', '6%', 'zucchero', 'fiocchi di avena 13', '2%', 'grano duro soffiato caramellato 13', '0% ', 'grano duro', 'zucchero', 'miele', 'olio di semi di girasole', 'olio di semi di girasole', 'cioccolato 10', '7% ', 'zucchero', ' pasta di cacao', 'cacao magro', 'emulsionante: lecitina di soia', 'cacao magro 3', '8%', 'nocciole tostate 2', '5%', 'agenti lievitanti ', ""carbonato acido d'ammonio"", 'carbonato acido di sodio', 'sale marino', 'aromi ', 'latte', 'estratto naturale di oliva']","['Sans huile de palme', 'Non végétalien']",?,,458,-3%,"18,5",-11%,"59,4",-7%,9,+38%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['Plastica'],,"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium']",4,18.5 g,en quantité modérée,4.5 g,en quantité modérée,29.5 g,en quantité élevée,0.35 g,en quantité modérée,1916 kj(458 kcal),-4%,"4,5",-55%,"29,5",0%,"0,35",-41%,"0,14",-41%,11,-44%,D,-44%,['Esselunga'],"['Gluten', 'Lait', 'Fruits à coque', 'Soja', 'it:avena']","['Castiglione delle Stiviere (MN)', 'Italia']",,,
1291,Voiello Mezze Penne Rigate GR. 500 -  - 500g,8076810500568,,500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",['Fabriqué en Italie'],,,"['France', 'Italie', 'Suisse']","['semoule de blé dur variété ""AUREO""', 'eau', ' Peut contenir des traces de soja', ' PRODUITES EN ITALIE', ' Temps de cuisson 11 min', ' Conserver dans un endroit frais et sec', ' 50']",[],?,,359,+2%,2,+18%,"69,2",-1%,"14,5",+21%,,,,,,,,,['packung(en)'],,,,2 g,en faible quantité,0.4 g,en faible quantité,3.5 g,en faible quantité,0 g,en faible quantité,1502 kj(359 kcal),+1%,"0,4",+7%,"3,5",+20%,0,-100%,0,-100%,-1,,A,,,,,,,
1292,Chewing gum mentos pure fresh sans sucre,80896012,,,['Mentos'],,,,,['France'],"['édulcorants ', 'xylitol', 'sorbitol', 'mannitol', 'maltitol', 'sirop de maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'stabilisant ', 'glycérol', 'arômes', 'épaississants ', 'gomme arabique', 'gomme de cellulose', 'gomme xanthane', 'maltodextrine', 'fécule', 'émulsifiants ', 'lécithines ', 'soja', ""sucroesters d'acides gras"", 'extrait de thé vert ', '0,1%', 'graisse de noix de coco', ""agent d'enrobage "", 'cire de carnauba', 'antioxydant ', 'E321', 'colorants ', 'bleu brillant FCF', 'curcumine']",['Sans huile de palme'],?,,177,,0,,71,,0,,,,,,,,,,,,"['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', ""E414 - Gomme d'acacia"", 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E322 - Lécithines', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E100 - Curcumine']",4,,,,,,,,,741 kj(177 kcal),,0,,0,,0,,0,,,,,,,['Soja'],,,,
1293,Nutella Coppette X6 - Ferrero - 15g,80946458,D,15g,"['Ferrero', 'Nutella']","['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['Sans gluten'],,,"['France', 'Allemagne']",[],[],?,,539,-2%,"30,9",-9%,"57,5",+12%,"6,3",-8%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,30.9 g,en quantité élevée,10.6 g,en quantité élevée,56.3 g,en quantité élevée,0.107 g,en faible quantité,2255 kj(539 kcal),-2%,"10,6",+38%,"56,3",+18%,"0,107",+4%,"0,043",+4%,26,+26%,E,+26%,,,,,,
1294,M&m’s - 187g,8112871938008,,187g,['M&m’s'],,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,Galletas Chips Ahoy Vasito Min,8410000822984,,,['Chips Ahoy'],['Biscuits et gâteaux'],,,,"['France', 'Espagne']",[],[],?,,504,+17%,24,+26%,64,+12%,"5,8",-2%,,,,,,,,,,,,,24 g,en quantité élevée,13 g,en quantité élevée,31 g,en quantité élevée,1 g,en quantité modérée,2109 kj(504 kcal),+17%,13,+52%,31,+7%,1,+78%,"0,4",+78%,23,+24%,E,+24%,,,,,,
1296,Cacao Soluble Original Cola-cao,8410014430793,E,,['cola cao'],"['Cacao et dérivés', 'Cacaos et chocolats en poudre']",,,,"['France', 'Espagne']",[],[],?,,376,+11%,"2,4",-65%,78,+47%,"6,8",-25%,92.1%,2.3%,3.0%,2.3%,0.3%,0.0%,17,,,,,,2.4 g,en faible quantité,1.5 g,en quantité modérée,70 g,en quantité élevée,0.14 g,en faible quantité,1573 kj(376 kcal),+9%,"1,5",-62%,70,+60%,"0,14",-21%,"0,056",-21%,15,+54%,D,+54%,,,,,,
1297,Cola Cao Vintage,8410014449733,E,,['Cola cao'],"['Cacao et dérivés', 'Cacaos et chocolats en poudre']",,,,"['France', 'Espagne']",[],[],?,,376,+11%,"2,4",-65%,78,+47%,"6,8",-25%,92.1%,2.3%,3.0%,2.3%,0.3%,0.0%,17,,,,,,2.4 g,en faible quantité,1.5 g,en quantité modérée,70 g,en quantité élevée,0.14 g,en faible quantité,1573 kj(376 kcal),+9%,"1,5",-62%,70,+60%,"0,14",-21%,"0,056",-21%,10,+3%,C,+3%,,,,,,
1298,Albo Miettes de thon à la sauce tomate - 120g,8410032002705,D,120 g,['Albo'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thon à la catalane']",['Fabriqué en Espagne'],['Thon de l Atlantique'],['12 00412-LU EC'],"['France', 'Suisse']","['THON BLANC 65%', 'TOMATES 19%', 'HUILE DE TOURNESOL', 'SIROP DE GLUCOSE', 'OIGNONS', 'SUCRE', 'FECULE DE POMMES DE TERRE', 'SEL DE CUISINE', 'EXHAUSTEUR DE GOUT: GLUTAMATE MONOSODIQUE']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,156,+5%,"7,2",-17%,"7,5",+118%,14,-5%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,['boîte de conserve'],http://www.albo.es,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,7.2 g,en quantité modérée,1.2 g,en faible quantité,1 g,en faible quantité,1.75 g,en quantité élevée,653 kj(156 kcal),+2%,"1,2",-12%,1,-57%,"1,75",+68%,"0,7",+68%,4,+163%,C,+163%,,,['Espagne'],,,
1299,Chorizo Sarta Doux - Espuna - 200g e,8410060122604,D,200 g e,['Espuna'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']","['en:gluten-free', 'Point Vert', 'Fabriqué en Espagne', 'Sans colorants']",,['ES 10.01699/GE CE'],"['France', 'La Réunion']","['Maigre de porc', 'gras de porc', 'sel', 'stabilisant ', 'lactate de potassium', 'paprika', 'arômes', 'dextrose', 'protéines de lait', 'ail', 'antioxydant ', 'ascorbate de sodium', ""ferments d'acide lactiques"", ' Boyau comestible de porc', ' Bain de surface : conservateur ', 'natamycine']","['Non végétalien', 'Non végétarien']",?,,437,+7%,38,+12%,"0,8",-73%,23,+0%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,Chorizo Extra,"['Frais', 'Plastique']",,"['E326 - Lactate de potassium', 'E301 - Ascorbate de sodium', 'E235 - Natamycine']",4,38 g,en quantité élevée,14 g,en quantité élevée,0.3 g,en faible quantité,4.2 g,en quantité élevée,1828 kj(437 kcal),+7%,14,+9%,"0,3",-83%,"4,2",+12%,"1,68",+12%,25,+5%,E,+5%,['Magasins U'],['Lait'],['Espagne'],,,
1300,Coeurs De Filets De Merlu Blanc - Pescanova - 400g,8410063010878,,400 g,['Pescanova'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Filets de poissons', 'Plats préparés au poisson', 'Filet de merlu']",['Point Vert'],,,['France'],['Cœurs de filets de Merlu Blanc surgelés'],[],?,,77,-34%,"1,5",-61%,0,-100%,"15,8",+4%,,,,,,,,,"['Carton', 'Plastique', 'Surgelé']",,,,1.5 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.6 g,en quantité modérée,322 kj(77 kcal),-35%,"0,3",-49%,0,-100%,"0,6",+15%,"0,24",+15%,-3,,A,,,,,,,
1301,N / V Oats & More Choc 5s - Nature valley,8410076600479,,,"['Nature valley', 'Carex']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,['Espagne'],,['France'],"['Whole grain rolled oats ', '5596', 'sugar', 'sunflower oill dark chocolate pieces mass', 'sugar', 'emulsifier: soy lecithin', ' natural vanilla flavouring', 'fat reduced cocoa', 'honey', 'sait', 'molasses', 'emulsifier: sunflower lecithin', ' raising agent: sodium bicarbonate', ' natural flavouring']",[],?,,467,+10%,20,+27%,"59,9",-0%,"8,7",+16%,,,,,,,,,['card-box'],,['E500ii - Carbonate acide de sodium'],,20 g,en quantité modérée,4.3 g,en quantité modérée,26.5 g,en quantité élevée,0.7 g,en quantité modérée,1954 kj(467 kcal),+10%,"4,3",-28%,"26,5",-3%,"0,7",+79%,"0,28",+79%,12,-9%,D,-9%,,,['UK'],,,
