,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,traceability_code,markets,additives,nova_score,packaging,ingredients_origins,manufacturing,allergens,link,generic_name,palm_ingredients
0,Porc,2887560014375,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Confiture de figues,8033726785663,['France'],[],[],?,204,0,50,"0,6",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",0 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,0 g,en faible quantité,,-12%,854 kj(204 kcal),-12%,-100%,0,-100%,-10%,48,-10%,-18%,0,-100%,0,-100%,11,+16%,D,+16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
2,Poulet fermier,0275275039165,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Olio extra vergine di oliva,8006724000748,['France'],[],[],?,899,"99,9",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",99.9 g,en quantité élevée,14.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,3761 kj(899 kcal),+5%,+5%,"14,46",+3%,,0,,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
4,Orecchiette,4260000810467,['France'],[],[],?,348.4,"0,6","43,5","11,2",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Orecchiette']",0.6 g,en faible quantité,0.1 g,en faible quantité,4.5 g,en faible quantité,0.4 g,en quantité modérée,,+2%,1458 kj(348 kcal),+2%,-57%,"0,1",-71%,-35%,"4,5",+69%,-5%,"0,4",+1154%,"0,16",+1154%,0,,B,,,,,,,,,,,,,,,,,,,,,,
5,Purée de fraise,3389132000025,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Farine française T55,3336627012674,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sauce provencale,3142952324012,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BISCUITS FINS 100% PUR BEURRE,0654479274785,['France'],[],[],?,514,26,65,"5,9",,,,,,,,,,,,,2151 kj(514 kcal),,,17,,,31,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
9,Poulet fermier,2860481058840,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sel aromatisé - Quai Sud - 45g,3760057475608,['France'],[],[],?,?,?,?,?,B,"['Epicerie', 'Condiments', 'Sels']",,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,45 g,['Quai Sud'],,,,,,,,,,,,
11,Huile de sésame,3536160000651,['France'],[],[],?,9,100,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",100 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-99%,38 kj(9 kcal),-99%,+4%,17,+16%,-100%,0,-100%,-100%,0,-100%,0,-100%,2,-83%,B,-83%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
12,Coconut Tahini Ramen,0619286830005,['France'],[],[],?,145,"12,6","23,8",3,,,,,,,,,,,,,607 kj(145 kcal),,,"1,3",,,"1,6",,,"0,31",,"0,124",,,,,,,,,,,,,,,,,,,,,,,,,,
13,Knack d’Alsace supérieure,2423520046118,['France'],[],[],?,291,27,0,12,,,,,,,,,,,,,1218 kj(291 kcal),,,10,,,0,,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,
14,Confiture pomme de pin - La Cour d'Orgères,3760194182056,['France'],[],[],?,213,"0,7",50,"0,3",,,,,,,,,,,,,891 kj(213 kcal),,,"0,1",,,50,,,,,,,,,,,,,,,,,,,"[""La Cour d'Orgères""]",,,,,,,,,,,,
15,Ktipiti,0201042007198,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Terrine poulet piment d’espelette,3760309680019,['France'],[],[],?,172,"8,2",2,24,,,,,,,,,,,,,720 kj(172 kcal),,,"2,3",,,"0,5",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
17,Trofie,8017070003055,['France'],[],[],?,363,1,"73,5",13,,,,,,,,,,,,,1519 kj(363 kcal),,,"0,6",,,"2,1",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Biere Colvert,3353830002018,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Boulette alsacienne,0210500014302,['France'],[],[],?,199,14,"1,2",16,,,,,,,,,,,,,833 kj(199 kcal),,,5,,,"0,8",,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,,
20,Saucisson sec de montagne cendré,2453599007987,['France'],[],[],?,383,26,"0,7",36,,,,,,,,,,,,,1602 kj(383 kcal),,,"9,3",,,"0,6",,,5,,2,,,,,,,,,,,,,,,,"['FR 42.334.001 CE', 'Violay (Loire, France)']",,,,,,,,,,
21,Keto Collective,5060823510006,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Reblochon,2287850003414,['France'],[],[],?,326,"27,1","0,2","20,4",,,,,,,,,,,,,1364 kj(326 kcal),,,"17,6",,,"0,1",,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jambon cuit supérieur au torchon DD,4006259004314,['France'],[],[],?,111,3,1,20,,,,,,,,,,,,,464 kj(111 kcal),,,"1,5",,,1,,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
24,Huile d'olive & basilic,3700662710053,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tarte aux abricots amandes,3585290970426,['France'],[],[],?,233,"7,4",37,"3,8",,,,,,,,,,,,,975 kj(233 kcal),,,"4,6",,,22,,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tomme des Pyrénées,2225661018241,['France'],[],[],?,343,28,0,20,,,,,,,,,,,,,1435 kj(343 kcal),,,19,,,0,,,"1,75",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,
27,Miel de Tournesol,3770018795003,['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tournesol']",,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
28,Escalope,2614157026172,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,
29,Miel de Tournesol 500g,3770018795010,['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tournesol']",,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
30,Frozzies,8716893019600,['France'],[],[],?,31,"0,1","10,5","0,7",,,,,,,,,,,,,130 kj(31 kcal),,,0,,,9,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Farci Poitevin,0212454030575,['France'],[],[],?,127,"9,3","5,8","3,95",,,,,,,,,,,,,531 kj(127 kcal),,,"3,48",,,"3,7",,,"1,62",,"0,648",,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pickled radish,9310432004547,['France'],[],[],?,341,0,84,"0,2",,,,,,,,,,,,,1427 kj(341 kcal),,,0,,,"0,3",,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
33,Glace vanille,,['France'],[],[],?,832,1,0,0,,,,,,,,,,,,,3481 kj(832 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Infusion eglantier,8690719102106,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Speculos caramel biscuit & cream - Häagen-Dazs,12131700,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Häagen-Dazs'],,,,,,,,,,,,
36,Crackers carotte cury - Tokapi,3564706603875,['France'],[],[],?,474,19,66,"8,2",,,,,,,,,,,,,1983 kj(474 kcal),,,"1,6",,,"8,6",,,"1,3",,"0,52",,,,,,,,,,,,,,"['Tokapi', 'Marque Repère']","['Nutriscore', 'Nutriscore C']",,['Leclerc'],,,,,,,,,
37,Wasabi Ostry Sos Chrzanowy,5900580001624,['France'],[],[],?,197,"12,8","16,9",2,,"['Epicerie', 'Sauces']",12.8 g,en quantité modérée,1.4 g,en faible quantité,11.6 g,en quantité modérée,0.87 g,en quantité modérée,,-17%,824 kj(197 kcal),-16%,-29%,"1,4",-35%,+71%,"11,6",+80%,-26%,"0,87",-64%,"0,348",-64%,7,-40%,C,-40%,,,,,,,,,,,,,,,,,,,,,
38,Choco Lait 45% - Maison Bonange,3770016166171,['France'],[],[],?,588,"47,9","46,7","7,7",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",47.9 g,en quantité élevée,24.2 g,en quantité élevée,40.2 g,en quantité élevée,0.25 g,en faible quantité,,+6%,2460 kj(588 kcal),+6%,+39%,"24,2",+23%,-10%,"40,2",-18%,+7%,"0,25",+7%,"0,1",+7%,26,+2%,E,+2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,['Maison Bonange'],['Fabriqué en France'],,,,,,,,,,,
39,Pecheur au thon,1399538007896,['France'],[],[],?,171,"10,7",13,"4,9",,,,,,,,,,,,,715 kj(171 kcal),,,"6,9",,,"0,6",,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
40,Confiture extra de figues,3144550018089,['France'],[],[],?,104,2,57,7,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",2 g,en faible quantité,0.03 g,en faible quantité,56 g,en quantité élevée,3 g,en quantité élevée,,-55%,435 kj(104 kcal),-55%,+338%,"0,03",-55%,+3%,56,+5%,+852%,3,+16029%,"1,2",+16029%,20,+111%,E,+111%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
41,Comte,2156602011802,['France'],[],[],?,428,35,"1,2",27,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.81 g,en quantité modérée,,+2%,1791 kj(428 kcal),+2%,+1%,23,+1%,+160%,0,-100%,+0%,"0,81",-3%,"0,324",-3%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,"['FR 25.293.001 CE', 'Granges-Narboz (Doubs, France)']",,,,,,,,,,
42,Piment chili epice bio,8435177044397,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
43,Chewing gum pokemon,49368260,['France'],[],[],?,383,0,94,0,,,,,,,,,,,,,1602 kj(383 kcal),,,0,,,77,,,"0,46",,"0,184",,,,,,,,,,,,,,,,,,,,,,,,,,
44,Café TERRA KAHWA,3760252320031,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Chipd,4820182742866,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Biscuit a l'anis et biscuit a l'amande,3760145866127,['France'],[],[],?,479,20,66,"7,5",,,,,,,,,,,,,2004 kj(479 kcal),,,11,,,26,,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,,
47,Plaisirs D'antan,3418011267294,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Limoncello,8002895061441,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,veloute de poireaux,3770002981191,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Botanical hair gel,0896981000531,['France'],"['gidents: AQUA', 'CETEAR 1GLYCERYL COCOATE', 'PE-40 HYDROGENATED CASTOR BUTYLENE GLYCOL', 'ALOEBARBADENSIS LEAF EXTRACT RFUM CHAMOMILLA RECUTITA FLOWER EXTRACT CMBOPOGON SCHOENANTHUS LEAF/STEM EXTRACT PH GNSENG ROOT EXTRACT', 'CUCUMIS SATIVUS FRUIT BATRACT', 'SYMPHYTUM OFFICINALE LEAF EXTRACT', 'CTRONELLOL', 'GERANIOL', 'BUTYLPHENYL H-25', 'PROPYLENE GLYCOL NETHYLPROPIONAL', 'LINALOOL', 'EUGENOL Responsable UE: CE way Regulatory Consultants Sovenia Nunaverjeva ulica 9', ' 000 Lubljana', 'Slovenia Fabriqué aux Elaie']",[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E1520 - Propylène glycol']",4,,,,,,,
51,Forever aloe vera gel,2218416003210,['France'],[],[],?,2.1,0,"0,8",0,,,,,,,,,,,,,9 kj(2 kcal),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Biere,3760125720319,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Torta di nocciole flavour - Nespresso,7630054480393,['France'],"['Café torréfié et moulu', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,0,0,0,0,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",,,,,,,,,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-100%,0,-100%,0,-100%,,,,,,,,,,,,,['Nespresso'],,,,,4,,,,,,,
54,Maca rouge,7758049010124,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,L'escalope gourmande canard,0293495036276,['France'],[],[],?,92,"0,9",0,21,,,,,,,,,,,,,385 kj(92 kcal),,,"0,2",,,0,,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,
56,Pickles de citron vert doux,9015872155124,['France'],[],[],?,197,19,4,"2,5",,,,,,,,,,,,,824 kj(197 kcal),,,"1,2",,,"2,2",,,11,,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,
57,Spécialité à base d'huile d'olive,3547130097182,['France'],[],[],?,900,"99,8",0,0,,,,,,,,,,,,,3766 kj(900 kcal),,,"15,1",,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Nesquik,4008789042286,['France'],[],[],?,10,12,12,0,,,,,,,,,,,,,42 kj(10 kcal),,,1,,,12,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Jarreton,0210554022506,['France'],[],[],?,742,11,"0,7",20,,,,,,,,,,,,,3105 kj(742 kcal),,,"3,7",,,"0,7",,,"5,55",,"2,22",,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,
60,Crispy fried onions,3760137917974,['France'],[],[],?,580,44,40,6,,,,,,,,,,,,,2427 kj(580 kcal),,,20,,,15,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
61,Brioche Tranche Froment pur beurre,0200609099386,['France'],[],[],?,365,15,48,8,,,,,,,,,,,,,1527 kj(365 kcal),,,"9,1",,,11,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
62,Madeleine pur beurre,3350033274846,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Lentilles corail,17805056,['France'],[],[],?,321,3,39,25,,,,,,,,,,,,,1343 kj(321 kcal),,,"0,4",,,"2,2",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,
64,Madeleine marbrées chocolat,3350033274839,['France'],[],[],?,?,?,?,?,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,,,,,,,
65,Torsades Cuisson Rapide aux oeufs frais - Casino Bio,3222477391215,['France'],[],[],?,286,"2,4",54,11,,,,,,,,,,,,,1197 kj(286 kcal),,,"0,6",,,"2,4",,,,,,,,,,,,,,,,,,,['Casino Bio'],['Bio'],,,,,,,,,,,
66,Wholemeal Sliced Bread,5037166002475,['France'],[],[],?,219.4,"3,1","41,9","8,4",,,,,,,,,,,,,918 kj(219 kcal),,,1,,,2,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
67,Poisson Gourami Haché en saumure,3379141804592,['France'],[],[],?,144,"2,3",13,"11,8",,,,,,,,,,,,,602 kj(144 kcal),,,"0,8",,,11,,,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,
68,Terrine au Marc de Gewurztraminer,3760037492939,['France'],[],[],?,250,19,"2,9",17,,,,,,,,,,,,,1046 kj(250 kcal),,,7,,,"2,4",,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,
69,Roquefort AOP,0206448032676,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,AcerolaEchinacea,3661803636963,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Huile extra vierge d’olive premier pression a froid,8033196601418,['France'],[],[],?,824,92,0,0,,,,,,,,,,,,,3448 kj(824 kcal),,,14,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Spiros 2017, Extra Virgin Olive Oil, 5 Litre, Pdo Kalamata",5203233932772,['France'],[],[],?,900,100,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,14.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,3766 kj(900 kcal),+5%,+5%,"14,5",+4%,,0,,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
73,Biscuits aux pepites de chocolat,3770014543073,['France'],[],[],?,515,26,65,"5,7",,,,,,,,,,,,,2155 kj(515 kcal),,,17,,,27,,,"0,56",,"0,224",,,,,,,,,,,,,,,,,,,,,,,,,,
74,Pit'or bière sancerroise,3760077690746,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Croquette pour chien,5400116103025,['France'],[],[],?,?,?,?,?,,"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture sèche pour animaux', 'Nourriture pour chiens', 'Croquettes pour chien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Hünkar patte feuilletée au fromage,8680589711225,['France'],[],[],?,350,"14,9","32,9","9,1",,,,,,,,,,,,,1464 kj(350 kcal),,,"4,61",,,"1,9",,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
77,Abricots sec,2609842026445,['France'],[],[],?,283,"0,5","62,6","3,4",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,,,,+8%,1184 kj(283 kcal),+8%,+3%,"0,02",-67%,+8%,"53,4",+18%,+10%,,,,,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,
78,Bref Flavour instant noodles,4820179252576,['France'],[],[],?,413,19,51,7,,,,,,,,,,,,,1728 kj(413 kcal),,,8,,,1,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Il panetone grand Galup,8001130808780,['France'],[],[],?,413,21,"52,4","6,9",,,,,,,,,,,,,1728 kj(413 kcal),,,11,,,"29,5",,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
80,Pépites chocolat lait 36% (vrac),0210052024866,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Chocolats,3421375528192,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Fraise Basilic,3511281005044,['France'],[],[],?,189,"0,16",45,"0,45",,,,,,,,,,,,,791 kj(189 kcal),,,"0,03",,,45,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
83,NoFilter,3770012535063,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Nougat,3770013629495,['France'],[],[],?,490,22,62,9,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",22 g,en quantité élevée,2.2 g,en quantité modérée,41 g,en quantité élevée,0.1 g,en faible quantité,,+10%,2050 kj(490 kcal),+10%,+33%,"2,2",+11%,-5%,41,-25%,+26%,"0,1",+33%,"0,04",+33%,17,+6%,D,+6%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
85,Jus de Pomme Framboise,3770004420315,['France'],[],[],?,42,"0,5",10,"0,2",,,,,,,,,,,,,176 kj(42 kcal),,,"0,1",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Riz Penelope noir intégral,8057018720613,['France'],[],[],?,344,"2,75",9,"6,8",,,,,,,,,,,,,1439 kj(344 kcal),,,"0,67",,,"4,2",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Hello goodbye,5060343553705,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Ice Tea Saveur Pêche,3760096960905,['France'],[],[],?,26,0,"6,5",0,,,,,,,,,,,,,109 kj(26 kcal),,,0,,,"6,5",,,0,,0,,,,,,,,,,,,,,,,,,,,['Tetra Pak'],,,,,,
89,Le sec nature halal,0704500403155,['France'],[],[],?,329,"26,63","2,59","19,7",,,,,,,,,,,,,1377 kj(329 kcal),,,"10,12",,,"1,68",,,"5,05",,"2,02",,,,,,,,,,,,,,,,,,,,,,,,,,
90,Pois chiches bio,3760025973037,['France'],[],[],?,460,"2,3","10,9","7,1",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",2.3 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,1.2 g,en quantité modérée,,+142%,1925 kj(460 kcal),+145%,-24%,"0,5",+28%,-54%,"0,2",-88%,-30%,"1,2",+151%,"0,48",+151%,6,,C,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,['Bio'],,,,,,,,,,,
91,Atún en Tomate,8429583015492,['France'],[],[],?,184,12,"3,5","14,8",,,,,,,,,,,,,770 kj(184 kcal),,,"1,5",,,"3,1",,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
92,Pain spécial au levain de campagne,3248280931837,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Infusion douce & fruitée,3701229000440,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Mélange de graines pour petit déjeuner,3111952028343,['France'],[],[],?,263,26,17,10,,,,,,,,,,,,,1100 kj(263 kcal),,,"1,8",,,"6,4",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Citrons Beldi confits,3574314280528,['France'],[],[],?,26,0,"2,4","0,9",,,,,,,,,,,,,109 kj(26 kcal),,,0,,,"2,2",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
