,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,traceability_code,markets,additives,nova_score,packaging,ingredients_origins,manufacturing,allergens,link,generic_name,palm_ingredients
1173,Chocolat au lait - brisures de cookies - Comptoir du Cacao - 90g,3760078997912,['France'],"['Chocolat pur beurre de cacao ', 'minimum de cacao: 36%', 'sucre', 'pate de cacao', 'poudre de lait entier', 'beurre de cacao', 'amandes caramélisées', 'farine de blé ', 'gluten', ' graisses végétales ', 'palme et karité en proportions variables', 'huile de palme', 'sel', 'poudre à lever ', ""carbonate acide d'ammonium"", ' carbonate acide de sodium', 'diphosphate disodique', 'émulsifiant ', 'lécithine de soja', 'dextrose', 'arôme naturel de vanille', 'arôme', 'colorant ', 'bêta-carotène', "" Peut contenir des traces de: autres fruits à coques Les fèves de cacao sont originaires de l'Afriquue de l'Ouest""]","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,571,38,47,8,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",38 g,en quantité élevée,23 g,en quantité élevée,43 g,en quantité élevée,0.26 g,en faible quantité,,+3%,2389 kj(571 kcal),+3%,+10%,23,+17%,-9%,43,-12%,+12%,"0,26",+12%,"0,104",+12%,27,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,90 g,['Comptoir du Cacao'],,,,"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E322i - Lécithine', 'E160ai - Bêta-carotène']",4,,,,"['Gluten', 'Soja']",,,['Huile de palme']
1174,La Fontaine aux Fées,3770007344113,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,sauce tomate arrabiata,20300647,['France'],[],[],?,51,"2,1","5,9","1,3",,,,,,,,,,,,,213 kj(51 kcal),,,"0,3",,,"5,3",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Millk chocolate,1628183003305,['France'],[],[],?,561,35,53,8,,,,,,,,,,,,,2347 kj(561 kcal),,,21,,,51,,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Mini-beignet,0210732019687,['France'],[],[],?,328,17,38,"5,3",,,,,,,,,,,,,1372 kj(328 kcal),,,"7,8",,,11,,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Fromage,0201397024475,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Saoudia,3664887002730,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Croquetas de pollo Día,2406189002657,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Tuiles fondantes,3193840721888,['France'],[],[],?,513,25,65,"6,5",,,,,,,,,,,,,2146 kj(513 kcal),,,13,,,43,,,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Pain complet 300,2005300076357,['France'],[],[],?,238.9,1,"46,8","10,7",,,,,,,,,,,,,1000 kj(238 kcal),,,"0,1",,,"1,5",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
