,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,traceability_code,link,ingredients_origins,palm_ingredients,origin_detail,producer_info,brand_owner
305,Yaourt à la Grecque sur lit de fruits - Les 4 Pis - 600g (4x150g),3701002401570,600 g (4x150g),['Les 4 Pis'],,['France'],"['Lait entier 58 % - crème - framboise 12 % - sucre 7', '8 % - fructose - amidon modifié colorant : anthocyanes - arômes - épaississants : gomme guar', 'gomme xanthane - ferments lactiques ', 'Lait', ' - protéines de lait:']","['E14XX - Amidons modifiés', 'E163 - Anthocyanes', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']",['Lait'],['Non végétalien'],4,?,125,523 kj(125 kcal),"6,7","4,4","13,8","13,2","2,1","0,07","0,028",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la grecque', 'Yaourts sur lit de fruits']",,6.7 g,en quantité modérée,4.4 g,en quantité modérée,13.2 g,en quantité élevée,0.07 g,en faible quantité,,+18%,+20%,+108%,+116%,+3%,+6%,-57%,-36%,-36%,6,+164%,C,+164%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,,
306,Yaourt de chèvre bio nature - La Lémance,3701052300045,,['La Lémance'],,['France'],"['Lait entier de chèvre* ', '99,9%', ""ferments lactiques * ingrédient issu de l'agriculture biologique""]",,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,73,305 kj(73 kcal),"4,5",3,"3,5","3,5","4,5","0,09","0,036",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de chèvre']","['Bio', 'Bio européen', 'Fabriqué en France', 'AB Agriculture Biologique', 'en:Lait-francais-french-milk', 'Agriculture France']",4.5 g,en quantité modérée,3 g,en quantité modérée,3.5 g,en faible quantité,0.09 g,en faible quantité,,-18%,-19%,+7%,+5%,-57%,-52%,+11%,-5%,-5%,0,-100%,B,-100%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,"['FR 85.302.001 CE', 'Verrie (Vendée, France)']",,['France'],,,,
307,Beignet nature - Carrefour,3760008854544,,['Carrefour'],['Carrefour'],['France'],"['Farine de BLÉ 40,5%', 'huiles végétales ', 'colza-palme', 'eau sucre', 'ŒUFS 9,9%', 'BEURRE', 'GLUTEN de BLÉ', 'levure', 'sel', 'émulsifiant : E471', 'colorant : El 60a', 'antioxydant : E300', 'malt de BLÉ', ' Présence éventuelle de fruits à coque']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,?,395,1653 kj(395 kcal),22,10,42,13,"6,9","0,9","0,36",,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,22 g,en quantité élevée,10 g,en quantité élevée,13 g,en quantité élevée,0.9 g,en quantité modérée,,+11%,+11%,+39%,+188%,-7%,-20%,+9%,+22%,+22%,18,+50%,D,+50%,,,,,,,,,,,,,,['Huile de palme'],,,
308,Confiture de cassis - Les Confituriers du Vieux Chérier - 350g,3760010230046,350 g,['Les Confituriers du Vieux Chérier'],['Carrefour'],['France'],"['Purée de cassis ', '60 %', 'sucre', 'gélifiants : pectine', 'citrate de calcium']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,193,808 kj(193 kcal),0,0,43,40,"0,6","0,03","0,012",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",,0 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,0.03 g,en faible quantité,,-16%,-16%,-100%,-100%,-21%,-23%,-0%,+12%,+12%,9,-3%,C,-3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"['Bocal', 'Verre']",['France'],,https://www.confiturecherier.com/confitures-et-preparations-de-fruits/16-cassis.html,,,,,
309,Préparation de Myrtilles - Les Confituriers du Vieux Chérier - 300g,3760010230398,300 g,['Les Confituriers du Vieux Chérier'],,['France'],"['Myrtilles ', '70 %', 'eau', 'fibre végétale ', 'inuline', 'gélifiants ', 'pectine de fruits', 'lactate de calcium', 'conservateur : sorbate de potassium', 'édulcorant : acésulfame de potassium']","['E440 - Pectines', 'E327 - Lactate de calcium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,270,?,270 kj(65 kcal),0,0,11,11,"0,6","0,07","0,028",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']","['Peu ou pas de sucre', 'Point Vert', 'Fabriqué en France', 'Sans sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0.07 g,en faible quantité,-71%,,-71%,-100%,-100%,-79%,-78%,+54%,+319%,+319%,0,-100%,B,-100%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"['Verre', 'Bocal']",['France'],,,,,,,
310,Préparation de fruits châtaigne - Les Confituriers du Vieux Chérier - 350g,3760010230640,350 g,['Les Confituriers du Vieux Chérier'],['Carrefour'],['France'],"['Purée de châtaigne 60 % ', 'châtaigne entière 58,5 %', 'eau 41,5 %', 'sucre', 'gélifiant : pectine']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,218,912 kj(218 kcal),"0,7","0,1",51,41,1,"0,03","0,012",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Produits artisanaux', 'Confitures', 'Confitures artisanales', 'Crèmes de marrons']",,0.7 g,en faible quantité,0.1 g,en faible quantité,41 g,en quantité élevée,0.03 g,en faible quantité,,-1%,-1%,+285%,+297%,-1%,-15%,+68%,+51%,+51%,11,+16%,D,+16%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,"['Pot', 'Verre']",['France'],,https://www.confiturecherier.com/confitures-et-preparations-de-fruits/14-chataigne.html,,,,,
311,Cocktail Fruit Soleil et graines - Brut De Coques - 180g,3760011731733,180 g,['Brut De Coques'],['Lidl'],['France'],"['Ananas séché sucré ', 'ananas', 'sucre', ""jus d'ananas"", 'acidifiant : acide citrique', 'arôme', 'poires sucrées séchées ', 'poires - sucre - acidifiant : acide citrique - conservateur : ANHYDRIDE SULFUREUX - arôme', 'abricots séchés ', 'abricots - farine de riz - conservateur : ANHYDRIDE SULFUREUX', 'pêches sucrées séchées ', 'pêche - sucre - acidifiant : acide citrique - conservateur : ANHYDRIDE SULFUREUX - arôme', 'AMANDES avec peau grillées', 'NOISETTES blanchies grillées', 'huile de tournesol']","['E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Gluten', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",[],4,1272,302,1272 kj(302 kcal),"6,9","0,6","54,1","45,9",3,"0,22","0,088",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",['Agriculture UE'],6.9 g,en quantité modérée,0.6 g,en faible quantité,45.9 g,en quantité élevée,0.22 g,en faible quantité,-15%,-10%,-10%,0%,-73%,-7%,+6%,-27%,+151%,+151%,7,+46%,C,+46%,,,,,,,,,['Doypack'],,,https://brut-de-coques.com/,,,,,
312,Pistaches grillées sans Sel ajouté - le marché bio - 75g,3760011732433,75g,"['le marché bio', 'Brut de coques']",,['France'],['Pistaches'],,['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2499,?,2499 kj(597 kcal),50,"6,3",11,"6,5",23,"0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",50 g,en quantité élevée,6.3 g,en quantité élevée,6.5 g,en quantité modérée,0.01 g,en faible quantité,-1%,,-3%,-1%,-0%,-32%,+21%,+19%,-98%,-98%,-1,-120%,A,-120%,,,,,,,,,['Doypack'],,['81163'],https://brut-de-coques.com/,,,,,
313,Creme glacee au chocolat - La Belle Aude,3760015740021,,['La Belle Aude'],,['France'],[],,,[],,?,199,833 kj(199 kcal),"9,5","5,9","22,4","19,8","4,7",0,0,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au chocolat']","['en:gluten-free', 'Fabriqué en France']",9.5 g,en quantité modérée,5.9 g,en quantité élevée,19.8 g,en quantité élevée,0 g,en faible quantité,,-13%,-14%,-20%,-23%,-16%,-13%,+28%,-100%,-100%,11,-15%,D,-15%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,
314,Sorbet plein fruit - la belle aude - 550ml,3760015740151,550 ml,['la belle aude'],,['France'],"[""PUREE D'ABRICOT ROYAL ROUSSILLON 70% "", 'ABRICOT ROYAL ROUSSILLON 99,95%', 'ACIDE ASCORBIQUE', ' SUCRE', 'EAU', 'SIROP DE GLUCOSE', 'ÉPAISSISSANTS: FARINE DE CAROUBE', 'FARINE DE GUAR', 'GÉLIFIANT: PECTINE DE FRUIT', ' PRODUIT ÉLABORE DANS UN ATELIER QUI UTILISE:LAIT', 'FRUITS À COQUES', 'SOJA ET OEUF']","['E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E440 - Pectines']",,[],4,?,118,494 kj(118 kcal),"0,2","0,01","27,2","22,9",1,"0,004","0,002",C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', ""Sorbets à l'abricot""]","['en:gluten-free', 'Fabriqué en France']",0.2 g,en faible quantité,0.01 g,en faible quantité,22.9 g,en quantité élevée,0.004 g,en faible quantité,,-4%,-4%,-16%,-70%,-7%,-6%,+78%,-80%,-80%,6,+24%,C,+24%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,['Pot'],['France'],,,,,,,
315,Popcorn movies stars - Deluxe - 150g,3760018854312,150 g,['Deluxe'],['Magasins U'],['France'],"['Caramel 72% ', 'sirop de glucose-fructose', 'sucre', 'arôme caramel', 'maïs 13,6%', 'huile végétale de tournesol ', 'émulsifiant : lécithine de tournesol', 'beurre', 'crème en poudre', 'eau', 'sel', 'colorant : E150b']","['E322i - Lécithine', 'E150b - Caramel de sulfite caustique']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,425,1778 kj(425 kcal),"9,4","1,7",83,"56,7","3,4","0,94","0,376",B,"['Snacks', 'Snacks sucrés', 'Popcorn']",,9.4 g,en quantité modérée,1.7 g,en quantité modérée,56.7 g,en quantité élevée,0.94 g,en quantité modérée,,-3%,-3%,-41%,-64%,+32%,+191%,-49%,+3%,+3%,18,+29%,D,+29%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,,,,,
