,name,bar_code,eco_score,quantity,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,labels,packaging,additives,nova_score,generic_name,markets,allergens,manufacturing,ingredients_origins,palm_ingredients,link,brand_owner,producer_info
244,Alpes miel chataignier - 375g,3770009182010,B,375 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne', 'Miels de châtaignier', 'Miels des Alpes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Alpes Miel'],['Point Vert'],,,,,,,,,,,,
245,Nescafé sélection,8710900032668,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Nescafe'],,,,,,,,,,,,,
246,Noisettes coque,3760005726622,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'FR-BIO-10']",,,,,,,,,,,,
247,Orbit Hierbabuena,40099606,,,,['France'],[],[],,,,,,,,,?,,170,,711 kj(170 kcal),,0,,0,,"70,9",,0,,0,,0,,0,,,,,,,,,,,,,,['Orbit'],,,,,,,,,,,,,
248,Croissant beurre,0202115016734,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,,,,,,,,,
249,Toplexil - Sonofi - 150ml,3595784,,150ml,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Sonofi'],,,,,,,,,,,,,
250,"moules de bouchot de la Baie du Mont Saint-Michel - Les saveurs de la Baie du Mont Saint-Michel - 1,400kg",3000121311839,,"1,400 kg",['Produits de la mer'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['FR 35.078.045 CE', 'Cherrueix (Ille-et-Vilaine, France)']",['Les saveurs de la Baie du Mont Saint-Michel'],"['Sans conservateurs', 'AOP']",['plastique sous  vide'],,,,['Leclerc'],,,,,,,
251,Yaourt nature sur fruits myrtille - Beillevaire - 250g (2x125g),3483130536132,C,250 g (2x125g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la myrtille', 'Yaourts au lait de vache']",['France'],"['Lait entier', 'lait écrémé', 'sucre', 'myrtille 9,4%', 'lait écrémé en poudre', 'ferments lactiques', 'deux gélifiants ', 'carraghénane', 'pectine', ' arôme naturel', 'conservateur ', 'sorbate de potassium']",['Non végétalien'],2.2 g,en faible quantité,1.4 g,en faible quantité,13 g,en quantité élevée,0.1 g,en faible quantité,?,,89,-11%,372 kj(89 kcal),-11%,"2,2",-33%,"1,4",-34%,14,+4%,13,+6%,"3,4",-7%,"0,1",-7%,"0,04",-7%,2,-27%,B,-27%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Beillevaire'],['en:lait-francais-french-milk'],,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,['Lait'],,,,,,
252,Tielles sétoises - Coudène - 110g x 2,3257630013642,C,110g x 2,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Réfrigérés', 'Plats préparés réfrigérés', 'Tourtes', 'Tielles Sétoises']",['France'],"['Farine de blé 33%', 'calmars et poulpes 25,2%', 'eau', 'huile de colza', 'double concentré de tomate 5,8%', 'oignons', 'huile d’olive vierge extra', 'herbes de Provence', 'persil', 'piment', 'ail', 'basilic', 'malt de blé', 'sel', 'amidon de maïs modifié']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",14 g,en quantité modérée,1.1 g,en faible quantité,3.5 g,en faible quantité,1.4 g,en quantité modérée,?,,297,+2%,1243 kj(297 kcal),+2%,14,0%,"1,1",-21%,34,+4%,"3,5",+1%,"7,5",-7%,"1,4",0%,"0,56",0%,6,+12%,C,+12%,73.9%,7.5%,3.3%,6.3%,1.9%,7.1%,56,"['FR 30.243.003 CE', 'Saint-Christol-lès-Alès (Gard, France)']",['Coudène'],,['Barquette'],,3,Tourtes garnies de calmars et poulpes,,"['Gluten', 'Mollusques']",,,,http://www.coudene.com,,
253,Cornichons - 380g,3770005737078,,380 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,15 g,en quantité élevée,1 g,en quantité modérée,?,,65,+141%,272 kj(65 kcal),+154%,"0,5",+69%,"0,1",+46%,15,+336%,15,+475%,"0,7",-31%,1,-42%,"0,4",-42%,2,-8%,B,-8%,,,,,,,,,,['Agriculture UE/Non UE'],,,,,,,,,,,,
254,Creme de cassis,3104690017953,E,,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,,,,,,,,,,
255,emmental - La Vie Claire,2970469002601,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['France'],[],[],28.8 g,en quantité élevée,17.3 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,+0%,1577 kj(377 kcal),+0%,"28,8",-1%,"17,3",-12%,"0,5",-25%,"0,5",+21%,"29,4",+7%,"0,75",+15%,"0,3",+15%,12,+5%,D,+5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['La Vie Claire'],"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,
256,Pipette tricolore - Armando - 500g,8005709101890,,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']","['France', 'Espagne']",[],[],1.4 g,en faible quantité,0.3 g,en faible quantité,3.9 g,en faible quantité,0.025 g,en faible quantité,?,,353,0%,1477 kj(353 kcal),-0%,"1,4",-21%,"0,3",-21%,"72,2",+4%,"3,9",+23%,"11,2",-10%,"0,025",+5%,"0,01",+5%,-1,,A,,,,,,,,,,['Armando'],,,,,,,,,,,,,
257,2627210444141,2627210444141,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Tartelette fine pomme x2,0202935015740,B,,"['Tartes', 'Tartes sucrées', 'Tartelettes', 'Tartes aux pommes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,,,,
259,Sortilège noir subtil,3250390116721,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,L'ultra tendre - Oriental Viande - 20x 80g,3700141403797,E,20 x 80 g,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",['France'],"['Viande bovine Halal 80%', 'eau', 'fibres végétales de bambou', 'sel', 'dextrose de blé', 'arômes naturels', 'betterave rouge déshydratée', 'épice']","['Non végétalien', 'Non végétarien']",20 g,en quantité modérée,8 g,en quantité élevée,0.2 g,en faible quantité,0.6 g,en quantité modérée,?,,233,+25%,975 kj(233 kcal),+24%,20,+61%,8,+53%,"0,3",+46%,"0,2",+45%,"12,9",-32%,"0,6",+174%,"0,24",+174%,11,+301%,D,+301%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,['IE 32S EC'],['Oriental Viande'],['Halal'],['Boite carton'],,4,"Préparation à 80% de viande bovine Halal hachée et fibres végétales, surgelée",['Géant'],,['Irlande'],['Irlande'],,,,
261,Sirop casis - Jumbo,8718452257317,B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de cassis']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,['Jumbo'],,,,,,,,,,,,,
262,Canistrelli à l'anis,3760137690037,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Banane Equitable,3347761000762,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Papillotes chocolat praliné - Beaumesnil - 350g,3222476446565,,350 g,,['France'],"['Sucre - praliné 28% ', ""sucre - pâte de noisettes torréfiées - pâte d'amandes torréfiées"", ' - pâte de cacao - beurre de cacao - graisses végétales ', 'palmiste', 'palme', "" - poudre de lait entier - éclats de noisettes torréfiées - cacao maigre en poudre - éclats d'amandes torréfiées - brisures de crêpes dentelle "", ""farine de blé - sucre - huile de tournesol - poudre de lait écrémé - malt d'orge - sel"", ' - poudre de lait écrémé - lactose - matière grasse de lait anhydre - émulsifiant : lécithines de tournesol - arômes - lactosérum en poudre', "" traces d'autres fruits à coque et d'œufs""]","['Huile de palme', 'Non végétalien']",,,,,,,,,2320,,557,,2320 kj(557 kcal),,35,,17,,51,,49,,"7,2",,"0,07",,"0,028",,,,,,,,,,,,,,['Beaumesnil'],"['Agriculture durable', 'en:UTZ Certified']",,['E322i - Lécithine'],4,Assortiment de bonbons de chocolat fourrage au praliné,,"['Gluten', 'Lait', 'Fruits à coque']",,,,,,
265,Noix de coco fraiche,0291439019941,,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,"33,5",,"29,7",,"7,15",,"6,23",,"3,6",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Caramel au beurre salé - Ibo - 220g,3609060003203,,220 g,"['Snacks', 'Produits à tartiner', 'Snacks sucrés', 'Petit-déjeuners', 'Confiseries', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel', 'Caramels', 'Caramel liquide', 'Caramels au beurre salé']",['France'],[],[],28 g,en quantité élevée,18 g,en quantité élevée,41 g,en quantité élevée,0.48 g,en quantité modérée,?,,488,+37%,2042 kj(488 kcal),+38%,28,+333%,18,+364%,58,-18%,41,-32%,1,+32%,"0,48",+69%,"0,192",+69%,27,+51%,E,+51%,,,,,,,,,['Ibo'],['Bio'],,,,,,,,,,,,
267,Ananas en Tranches au Sirop Léger - Eco+,3450970103565,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Ananas au sirop']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0 g,en faible quantité,?,,70,+9%,293 kj(70 kcal),+8%,0,-100%,0,-100%,17,+12%,17,+19%,"0,4",+3%,0,-100%,0,-100%,-2,,A,,21.7%,37.3%,15.4%,18.3%,7.3%,0.0%,95,,['Eco+'],,,,,,,,,,,,,
268,Gelée Royale Fraîche Bio - 30 G.,3391623903180,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
269,SALAMI DANOIS -,5707196098433,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis']",['France'],[],[],48 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,4.1 g,en quantité élevée,?,,487,+26%,2038 kj(487 kcal),+26%,48,+47%,18,+38%,"0,5",-68%,"0,5",-34%,12,-41%,"4,1",+8%,"1,64",+8%,26,+10%,E,+10%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,
270,Carottes des sables de Camargue,3523680374393,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Far aux pruneaux - Yann de Bretagne,3516890002668,C,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons', 'Fars']",['France'],[],[],5.1 g,en quantité modérée,1.1 g,en faible quantité,19.2 g,en quantité élevée,0.4 g,en quantité modérée,?,,194,-6%,812 kj(194 kcal),-7%,"5,1",-11%,"1,1",-56%,32,-4%,"19,2",-4%,5,-4%,"0,4",+32%,"0,16",+32%,5,-21%,C,-21%,70.7%,20.7%,4.2%,2.1%,2.2%,0.0%,58,,['Yann de Bretagne'],,,,,,,,,,,,,
272,Boule aux graines tranchée sans gluten,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",['France'],[],[],10 g,en quantité modérée,1.1 g,en faible quantité,3 g,en faible quantité,0.99 g,en quantité modérée,?,,284,+7%,1188 kj(284 kcal),+6%,10,+124%,"1,1",+70%,42,-8%,3,-42%,"5,4",-36%,"0,99",-13%,"0,396",-13%,5,+245%,C,+245%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,['en:gluten-free'],,,,,,,,,,,,
273,Curry de haricots blancs & carottes - D'Aucy,3017800238318,,,,['France'],[],[],,,,,,,,,?,,90,,377 kj(90 kcal),,3,,1,,"9,7",,"2,2",,4,,"0,79",,"0,316",,,,,,,,,,,,,,"[""D'Aucy""]",,,,,,,,,,,,,
274,Beignets à l'abricot -,3187670056432,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés', 'Beignets', ""Beignets à l'abricot""]",['France'],[],['Sans huile de palme'],8.6 g,en quantité modérée,1.2 g,en faible quantité,11 g,en quantité modérée,0.69 g,en quantité modérée,?,,278,-3%,1163 kj(278 kcal),-3%,"8,6",-12%,"1,2",-37%,41,-2%,11,-6%,"6,1",+9%,"0,69",+7%,"0,276",+7%,6,-13%,C,-13%,,,,,,,,,,['en:palm-oil-free'],,,,Beignets fourrés à la purée d'abricot,,,,,,,,
275,Nougat sésame,6932505705989,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",['France'],[],[],1.67 g,en faible quantité,1 g,en faible quantité,83.3 g,en quantité élevée,3.3 g,en quantité élevée,?,,398,-11%,1665 kj(398 kcal),-11%,"1,67",-90%,1,-49%,"92,39",+41%,"83,33",+53%,"3,33",-53%,"3,3",+4288%,"1,32",+4288%,24,+50%,E,+50%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,['Fabriqué en France'],,,,,,,,,,,,
276,3760232057209,3760232057209,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Spiruline,3467740031355,E,,"['Compléments alimentaires', 'Spiruline']",['France'],[],[],5.8 g,en quantité modérée,2.8 g,en quantité modérée,1.3 g,en faible quantité,1.4 g,en quantité modérée,?,,340,+35%,1423 kj(340 kcal),+34%,"5,8",+58%,"2,8",+119%,34,+230%,"1,3",+87%,34,-31%,"1,4",+22%,"0,56",+22%,12,+145%,D,+145%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,,
278,Easy Cook Brown - Tesco,5000119410696,,,,['France'],"['Easy cook brown rice', ' V Suitable for vegans']",[],,,,,,,,,?,,134,,561 kj(134 kcal),,"1,1",,"0,2",,"31,2",,"0,2",,"3,3",,"0,01",,"0,004",,,,,,,,,,,,,,['Tesco'],,['mixed plastic-packet'],,,,,,,,,,,
279,Café moulu sous vide,3149330008052,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Orange - Pressade,3254691589901,,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,10,,10,,5,,0,,0,,,,,,,,,,,,,,['Pressade'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
281,Sablé apéritif sésame paprika - Aline & Olivier,3760094311068,,,,['France'],[],[],,,,,,,,,?,,455,,1904 kj(455 kcal),,29,,16,,37,,"0,6",,12,,"1,9",,"0,76",,,,,,,,,,,,,,['Aline & Olivier'],"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,
282,Huile d'olive vierge extra,3451080000157,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],91.6 g,en quantité élevée,13.7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,824,-4%,3448 kj(824 kcal),-4%,"91,6",-4%,"13,7",-2%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,"['EMB 13214', 'Marseille 14e  Arrondissement (Bouches-du-Rhône, France)']",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,
283,Curry Doux Bio 30G - Jardin Bio,3760020504243,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Jardin Bio'],['Bio'],,,,,,,,,,,,
284,Ail - Carrefour,3276550102137,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Ail et dérivés', 'Ail']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,['Carrefour'],['Bio'],,,,,['Carrefour'],,,,,,,
285,Coppa Con Cacao E Panna In Monoporzione - Conad,8003170044166,,,,"['France', 'Italie']",[],[],,,,,,,,,?,,157,,657 kj(157 kcal),,"8,3",,"5,4",,17,,15,,"3,2",,"0,1",,"0,04",,,,,,,,,,,,,,['Conad'],['en:gluten-free'],,,,,['Conad'],,,,,,,
286,Poitrine salée en tranche,2203763022830,,,,['France'],[],[],,,,,,,,,?,,16,,67 kj(16 kcal),,"21,7",,"8,1",,"0,5",,"0,5",,"16,4",,"2,59",,"1,036",,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Petit calisson provençal -,3465170901323,B,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']",['France'],[],[],16 g,en quantité modérée,0 g,en faible quantité,58 g,en quantité élevée,0.05 g,en faible quantité,?,,409,-7%,1711 kj(409 kcal),-8%,16,-11%,0,-100%,62,+2%,58,+17%,"6,6",-14%,"0,05",-2%,"0,02",-2%,15,+3%,D,+3%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,,,,,,,
288,Bcca zero - BiotechUSA,5999076225491,,,,['France'],[],[],,,,,,,,,?,,74,,310 kj(74 kcal),,0,,0,,0,,0,,0,,"0,3",,"0,12",,,,,,,,,,,,,,['BiotechUSA'],,,,,,,,,,,,,
289,FULFIL Coconut and Chocolate,5391532120218,,,,['France'],[],[],,,,,,,,,?,,344,,1439 kj(344 kcal),,"14,1",,"10,2",,"19,6",,"3,5",,"34,4",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Pâte à tartiner,3850104267123,,,,['France'],[],[],,,,,,,,,?,,529,,2213 kj(529 kcal),,30,,5,,57,,57,,0,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Chocolate sandwich fingers,00046893,,,,['France'],[],[],,,,,,,,,?,,520,,2176 kj(520 kcal),,"28,4",,"15,8",,"58,2",,"30,7",,"6,2",,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Mini Doppelkeks,9002859095016,,,,['France'],[],[],,,,,,,,,?,,478,,2000 kj(478 kcal),,23,,13,,60,,28,,"5,7",,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Pavés d'Autruche à poêler - Mangue Agrumes - Damien de Jong - 300g,3262270010005,,300 g,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Réfrigérés']",['France'],"[""89 % pavé d'autruche traité en salaison et pré-grillé "", ""87% viande d'autruche"", 'eau', 'sel', ""fibres d'agrumes"", 'stabilisant : citrate de sodium', ""correcteurs d'acidité : carbonates de sodium"", ' ', ' 11%  marinade mangue agrume ', 'graisse végétale non hydrogénée ', 'colza', 'beurre de cacao', 'huile végétale ', 'colza', 'sel', 'épices', 'poivron', 'marquants de mangue ', 'mangue', 'sucre', 'sucre', 'ail', 'oignons', 'arôme', "" dés d'ananas "", 'ananas', 'sucre', 'extrait de levure', ' plantes aromatiques']",[],4.5 g,en quantité modérée,1.2 g,en faible quantité,0.1 g,en faible quantité,1.7 g,en quantité élevée,588,-20%,140,-26%,588 kj(140 kcal),-24%,"4,5",-52%,"1,2",-63%,"0,1",-99%,"0,1",-97%,"24,9",+236%,"1,7",+81%,"0,68",+81%,4,-30%,C,-30%,,,,,,,,,"['Damien de Jong', 'DAM']",['Fabriqué en France'],"['Plastique', 'Carton', 'Frais']","['E331 - Citrates de sodium', 'E500 - Carbonates de sodium']",4,Pavés d'autruche marinés - Pavés d'Autruche à Poêler Mangue Agrumes,,,['France'],,,,,
294,Miel récolté en Poitou-Charentes,3357540000029,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Tortas à l'huile d'olive 24 % - Oliviers & Co - 150g,3547130092781,,150 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'es:Torta sevillana']",['France'],[],[],26 g,en quantité élevée,4.1 g,en quantité modérée,14.5 g,en quantité élevée,0.3 g,en quantité modérée,?,,518,+3%,2167 kj(518 kcal),+3%,26,+2%,"4,1",-3%,"62,6",+5%,"14,5",+6%,"6,7",-1%,"0,3",-47%,"0,12",-47%,14,+7%,D,+7%,,,,,,,,,['Oliviers & Co'],,,,,,,,,,,,,
296,Cuvee le soleiller - 750ml,3380330001227,B,750ml,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vin rouge bio']",['France'],['Raisin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,['Cuvée Le Soleiller'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Bouteille en verre'],,3,,['Eau vive'],,['France'],['France'],,,,
297,Nonnettes au miel fourrées à la confiture d'orange,3286636100001,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,1.2 g,en quantité modérée,?,,320,-6%,1339 kj(320 kcal),-6%,0,-100%,0,-100%,77,+2%,48,+6%,3,-19%,"1,2",+126%,"0,48",+126%,18,+20%,D,+20%,,,,,,,,,,,,,,,,,,,,,,
298,1919 saveur amande - Danone,3033491395406,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['France'],[],[],3.5 g,en quantité modérée,2.2 g,en quantité modérée,11.9 g,en quantité modérée,0.12 g,en faible quantité,?,,92,0%,385 kj(92 kcal),+0%,"3,5",+7%,"2,2",+7%,"11,9",+8%,"11,9",+18%,"3,3",-12%,"0,12",+4%,"0,048",+4%,3,-2%,C,-2%,,,,,,,,"['FR 59.043.030 CE', 'Bailleul (Nord, France)']",['Danone'],['Lait Français'],"['Frais', 'Pot']",,,,,,['France'],,,,,
299,Petit pain long - Auchan,2090000171372,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,['Auchan'],,,,,,,
300,Raclette 2 saveurs,3250392253226,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Raclettes']",['France'],[],[],28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,349,+1%,1460 kj(349 kcal),+1%,28,+2%,19,+3%,"0,9",+22%,"0,5",+17%,"23,4",-1%,"1,8",+7%,"0,72",+7%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
301,Cook n'run,3770011743025,,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,"10,9",,"1,35",,"45,2",,"40,7",,"6,1",,10,,4,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
302,Blanc de campagne,3247330001568,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['FR 42.299.001 CE', 'Savigneux (Loire, France)']",,['Bio'],,,,,,,,,,,,
303,Yaourt fraise - Les Petites Laiteries,3483130049441,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts à la fraise']",['France'],"['Lait entier', 'fraise 10%', 'sucre', 'lait écréme en poudre', 'ferments lactiques', 'deux gélifiants ', 'carraghenane', 'pectine', 'arôme naturel', 'conservateur ', 'sorbate de potassium']",['Non végétalien'],2.7 g,en faible quantité,1.8 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,?,,88,-10%,368 kj(88 kcal),-10%,"2,7",-10%,"1,8",-5%,13,-2%,13,+5%,"2,8",-24%,"0,1",-7%,"0,04",-7%,3,+12%,C,+12%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Les Petites Laiteries'],,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,['Lait'],,,,,,
