,name,bar_code,eco_score,quantity,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,labels,packaging,additives,nova_score,generic_name,markets,allergens,manufacturing,ingredients_origins,palm_ingredients,link,brand_owner,producer_info
10,Olivers saure banders,24159241,,,,['France'],[],[],,,,,,,,,?,,372,,1556 kj(372 kcal),,"1,6",,0,,87,,64,,"0,4",,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Musclefuel mass,2025000282391,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Curry - Sonabo - 250g,3760198720285,B,250g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry']",['France'],"['curcuma', 'cumin', 'coriandre', 'fenugrec', 'sel', 'ail', ""mélange d'épices""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,['Sonabo'],,['Sachet plastique'],,3,,,,,,,,,
13,Riccioli,8015854170382,,,,['France'],[],[],,,,,,,,,?,,539,,2255 kj(539 kcal),,"32,6",,"5,1",,"56,2",,"1,3",,"4,7",,"2,2",,"0,88",,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,
14,Côtes de Duras - Terre de Vignerons - 75cl,3259866699010,D,75cl,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,['Terre de Vignerons'],"['Bio', 'Vin bio']",['Bouteille'],,,,['super U'],,['33790'],,,,,
15,Fondue a la tête,7613404059470,,,,['France'],[],[],,,,,,,,,?,,286,,1197 kj(286 kcal),,21,,13,,"2,2",,"0,6",,17,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3347990148013,3347990148013,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jus de pomme,3020101000003,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,,,
18,Lasagne à la bolognaise - 400g,3264295302035,D,400 g,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']",['France'],[],[],4.4 g,en quantité modérée,0.7 g,en faible quantité,2.1 g,en faible quantité,0.9 g,en quantité modérée,?,,108,-19%,452 kj(108 kcal),-19%,"4,4",-28%,"0,7",-72%,11,-12%,"2,1",-23%,"5,5",-13%,"0,9",+14%,"0,36",+14%,1,-57%,B,-57%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,,,,,,,,,,,,,,
19,Tchicha,5415003890094,,,,['France'],[],[],,,,,,,,,?,,338,,1414 kj(338 kcal),,"1,8",,"0,6",,69,,"0,5",,"8,4",,"0,001",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pates de semoule - Passioni,8005476939788,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']","['France', 'Espagne']","['semoule de blé dur', 'eau', 'carotte noire déshydratée 4%', 'épinards séchés 1,5%', 'betterave déshydratée 1%', 'curcuma déshydratée 0,8%', "" Craint la chaleur et l'humidité""]",[],1.47 g,en faible quantité,0.3 g,en faible quantité,4.7 g,en faible quantité,0.01 g,en faible quantité,?,,354,+0%,1481 kj(354 kcal),+0%,"1,47",-17%,"0,3",-21%,"71,4",+2%,"4,7",+49%,12,-3%,"0,01",-58%,"0,004",-58%,0,,B,,,,,,,,,,['Passioni'],,,,1,,,,,,,,,
21,Carottes râpées,0209520016601,B,,"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",['France'],[],[],11 g,en quantité modérée,1.1 g,en faible quantité,8.4 g,en quantité modérée,2.5 g,en quantité élevée,?,,152,+90%,636 kj(152 kcal),+92%,11,+118%,"1,1",+148%,"9,9",+64%,"8,4",+67%,"1,2",+39%,"2,5",+286%,1,+286%,13,+2828%,D,+2828%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,,,,,,,
22,"Kasar Peyniri, 45% Fett I. tr. (marmara), Pasta Fil. ..",4012625502001,,,,['France'],[],[],,,,,,,,,?,,337,,1410 kj(337 kcal),,"25,8",,"17,4",,"0,6",,"0,6",,"25,6",,"1,9",,"0,76",,,,,,,,,,,,,,['Marmara'],,,,,,,,,,,,,
23,Biscuits Mellifiques,3392360001573,,,,['France'],[],[],,,,,,,,,?,,515,,2155 kj(515 kcal),,25,,18,,67,,33,,"5,6",,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Havarti Bockshornklee - Alvalle,29007615,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'en:Danish cheeses', 'Havarti']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Alvalle'],"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,
25,Pavé Tradition,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Terrine gasconne au jambon de Bayonne,3067163625188,,,,['France'],[],[],,,,,,,,,?,,307,,1284 kj(307 kcal),,26,,12,,1,,"0,4",,16,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4015808060503,4015808060503,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Noix de muscade -,3760177749542,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Produits de le muscadier', 'Noix de muscade']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,37.2%,0.0%,30.9%,21.7%,10.2%,0.0%,93,,,,,,,,,,,['Indonésie'],,,,
29,Morceau de truffes noires du Perigord,3461952235341,,,,['France'],[],[],,,,,,,,,?,,50,,209 kj(50 kcal),,"1,3",,"0,13",,"4,8",,0,,"6,5",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sirop d'érable biologique - biodelices - 40ml,0854541000018,,40ml,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable"", ""Sirops d'érable extra clair""]",['France'],['sirop érable bio'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,0 g,en faible quantité,?,,220,-19%,920 kj(220 kcal),-19%,0,-100%,0,-100%,54,-21%,48,-21%,0,-100%,0,-100%,0,-100%,12,-9%,D,-9%,,,,,,,,,['Biodelices'],['Bio'],['Bouteille'],,2,,,,,,,,,
31,Saucisson sec supérieur le hauteLoire,2688494023811,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],[],29.7 g,en quantité élevée,12.7 g,en quantité élevée,1.45 g,en faible quantité,5 g,en quantité élevée,?,,393,-2%,1644 kj(393 kcal),-3%,"29,7",-6%,"12,7",+3%,"5,9",+165%,"1,45",+6%,"25,6",-7%,5,+7%,2,+7%,24,0%,E,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['FR 43.262.001 CE', 'Vieille-Brioude (Haute-Loire, France)']",,['Sans colorants'],,,,,,,,,,,,
32,Somni Control - Floressance,3456300003833,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Floressance', 'Léa Nature']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,,,,,,
33,Orecchiette - Crai,8002895001737,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Orecchiette']","['France', 'Italie']",[],[],1.5 g,en faible quantité,0.6 g,en faible quantité,2.1 g,en faible quantité,0 g,en faible quantité,?,,363,+6%,1519 kj(363 kcal),+6%,"1,5",+6%,"0,6",+77%,"74,8",+11%,"2,1",-21%,"11,7",-1%,0,-100%,0,-100%,-1,,A,,,,,,,,,,['Crai'],,,,,,['Crai'],,,,,,,
34,Ananas,8054247380113,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Miel de fleurs du Sud Ouest - Savimiel,3429960025071,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Savimiel'],,,,,,,,,['France'],,,,
36,Top vit abricot vanille,8710624251932,,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,"4,8",,"3,3",,"5,7",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Yaourt brassé châtaigne - Kerguillet - 250g (2x125g),3442310016710,B,250 g (2x125g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la châtaigne', 'Yaourts au lait de chèvre']",['France'],"['LAIT entier de chèvre', 'châtaigne 7%', 'sucre de canne 7%', 'lait écrémé en poudre""', 'ferments lactiques', '""Ingrédients agricoles issus de  l\'agriculture biologique']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['FR 56.166.504 CE', 'Plouay (Morbihan, France)']",['Kerguillet'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,3,,,['Lait'],,,,,,
38,Glace caramel au beurre sale,3760092340107,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Piment oiseau - Kissahot - 50g,3760055664363,B,50 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Piments', 'Capsicum frutescens', 'Piment oiseau']",['France'],['Piment oiseau'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,"['EMB 13214D', 'Marseille 14e  Arrondissement (Bouches-du-Rhône, France)']",['Kissahot'],,"['Barquette', 'Plastique']",,1,,['Auchan'],,,['République dominicaine'],,,,
40,Confiturede myrtille extra aux fruits entiers,3760118052434,,,,['France'],[],[],,,,,,,,,?,,233,,975 kj(233 kcal),,4,,"0,4",,56,,52,,1,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Oeufs,3500065060201,D,,"[""Produits d'élevages"", 'Œufs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,
42,Sucette - Chupa Chups,8410031961607,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Sucettes']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,85 g,en quantité élevée,0.8 g,en quantité modérée,?,,388,+3%,1623 kj(388 kcal),+2%,0,-100%,0,-100%,96,+8%,85,+19%,0,-100%,"0,8",+684%,"0,32",+684%,17,+16%,D,+16%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Chupa Chups'],,,,,,,,,,,,,
