,name,bar_code,eco_score,packaging,brand,categories,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,manufacturing,traceability_code,markets,allergens,ingredients_origins,labels,link,palm_ingredients,brand_owner
1179,Macadamia nut brittle - Häagen-Dazs,3415581332162,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],[],,[],,17.3 g,en quantité modérée,10.4 g,en quantité élevée,24.9 g,en quantité élevée,0.2 g,en faible quantité,?,,273,+24%,1142 kj(273 kcal),+25%,"17,3",+59%,"10,4",+52%,"25,2",-4%,"24,9",+11%,4,+20%,"0,2",+32%,"0,08",+32%,18,+43%,D,+43%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,['Fabriqué en France'],,,
1180,Crème glacée Chocolate & cookies - Häagen-Dazs - 100mL,3415581345148,B,['Surgelé'],['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au chocolat']",['France'],"['Crème fraîche', 'lait écrémé concentré', 'sucre', 'farine de blé', ""jaune d'oeuf"", 'cacao en poudre', 'huile végétale', 'cacao maigre en poudre', 'poudre à lever : bicarbonate de sodium', 'sel']",['E500ii - Carbonate acide de sodium'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",3,15.2 g,en quantité modérée,9.7 g,en quantité élevée,20.3 g,en quantité élevée,0.2 g,en faible quantité,?,,244,+6%,1021 kj(244 kcal),+5%,"15,2",+28%,"9,7",+26%,"22,1",-17%,"20,3",-11%,"4,2",+15%,"0,2",+44%,"0,08",+44%,15,+15%,D,+15%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,Crème glacée au chocolat avec morceaux de cookies,100 mL,,"['FR 62.817.030 CE', 'Tilloy-lès-Mofflaines (Pas-de-Calais, France)']",['Super U'],"['Œufs', 'Gluten', 'Lait']",,,,,
1181,Haagen-dazs Mango & Raspberry,3415581365146,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],[],,[],,13.3 g,en quantité modérée,8 g,en quantité élevée,27.1 g,en quantité élevée,0.13 g,en faible quantité,?,,243,+10%,1017 kj(243 kcal),+11%,"13,3",+22%,8,+17%,"27,2",+4%,"27,1",+21%,"3,3",-1%,"0,13",-14%,"0,052",-14%,16,+27%,D,+27%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,
1182,"Crème glacée Chocolate, pralines & caramel - Häagen-Dazs - 100mL",3415581388145,B,['Surgelé'],['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au chocolat']",['France'],"['Crème fraîche', 'sucre', 'lait écrémé concentré', 'cacao en poudre', ""jaune d'oeuf"", 'noix de pécan', 'sirop de glucose', 'beurre', 'sel', 'gélifiant : pectine', 'arôme naturel de vanille']",['E440 - Pectines'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,14.9 g,en quantité modérée,8.2 g,en quantité élevée,20.9 g,en quantité élevée,0.24 g,en faible quantité,1063,+12%,255,+11%,1063 kj(255 kcal),+9%,"14,9",+25%,"8,2",+6%,"25,6",-4%,"20,9",-8%,"3,9",+7%,"0,24",+73%,"0,096",+73%,15,+15%,D,+15%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,Crème glacée au chocolat avec sauce caramel et noix de pécan caramélisées,100 mL,,"['FR 62.817.030 CE', 'Tilloy-lès-Mofflaines (Pas-de-Calais, France)']",['Super U'],"['Œufs', 'Lait', 'Fruits à coque']",,,,,
1183,Crème glacée Chocolate Attraction - Häagen-Dazs,3415581507003,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],[],,[],,20.7 g,en quantité élevée,12.7 g,en quantité élevée,24.3 g,en quantité élevée,0.13 g,en faible quantité,?,,314,+43%,1314 kj(314 kcal),+43%,"20,7",+90%,"12,7",+85%,"26,2",0%,"24,3",+8%,"4,5",+35%,"0,13",-14%,"0,052",-14%,18,+43%,D,+43%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,
1184,Crème glacée Chocolate Attraction - Häagen-Dazs - 4x100ml,3415581508000,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],"['CREME fraîche', ' sucre', 'LAIT écrémé concentré', 'pâte de cacao', "" jaune d'OEUF"", 'huile végétale ', 'coton', 'noix de coco', 'cacao en poudre', 'arôme naturel de vanille', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', '  Allergènes : voir les ingrédients en majuscules']",['E322i - Lécithine'],['Non végétalien'],4,18.2 g,en quantité modérée,11.9 g,en quantité élevée,22.4 g,en quantité élevée,0.15 g,en faible quantité,?,,281,+28%,1176 kj(281 kcal),+28%,"18,2",+67%,"11,9",+74%,"24,3",-7%,"22,4",0%,"4,5",+35%,"0,15",-1%,"0,06",-1%,17,+35%,D,+35%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,4x100ml,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,
1185,Glaces caramel - Häagen-Dazs - 100ml,3415581509007,B,['Pot individuel'],['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],[],,[],,15 g,en quantité modérée,9.4 g,en quantité élevée,20.4 g,en quantité élevée,0.52 g,en quantité modérée,?,,282,+28%,1180 kj(282 kcal),+29%,15,+38%,"9,4",+37%,"27,8",+6%,"20,4",-9%,"4,1",+23%,"0,52",+244%,"0,208",+244%,18,+43%,D,+43%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,100 ml,,,,,,,,,
1186,Flowers collection - Häagen-dazs,3415581510003,B,,['Häagen-dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],"['crème fraîche', 'lait écrémé concentré', 'sucre', ""jaune d'œuf"", 'purée de litchi', 'purée de framboise', 'amidon de riz', 'de citron concentré', 'extrait de rose', 'gélifiant pectine']",['E440 - Pectines'],['Non végétalien'],4,14.8 g,en quantité modérée,8.9 g,en quantité élevée,22.5 g,en quantité élevée,0.15 g,en faible quantité,?,,240,+9%,1004 kj(240 kcal),+9%,"14,8",+36%,"8,9",+30%,"22,8",-13%,"22,5",+0%,"3,8",+14%,"0,15",-1%,"0,06",-1%,14,+11%,D,+11%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,"['Œufs', 'Lait']",,,,,
1187,Original selection - Häagen-Dazs - 100g x 4pots,3415581515008,B,['Carton'],['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],"['CREME fraiche', 'sucre', 'LAIT écrémé concentré', 'purée de fraise', 'farine de BLE', ""jaune d'OEUF"", 'huile de noix de coco', 'purée de framboise', 'préparation FROMAGERE', 'CREME', 'BEURRE concentré', 'jus de citron', 'gélifiant: pectines', 'arômes naturels', 'mélasse', 'sel', 'jus de citron issu de concentré', 'poudre à lever: bicarbonate de sodium']","['E440 - Pectines', 'E500ii - Carbonate acide de sodium']",['Non végétalien'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,100g x 4 pots,,,['Magasins U'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,
1188,Coconut attraction - 4 cups - Häagen-Dazs,3415581522013,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],"['crème fraîche 32%,sucre,lait écrémé concentré,jus de fruit de la passion,pulpe de noix de coco 4%,jaune d oeuf,sirop de glucose,amidon de riz,gelifiant:pectine,jus de citron concentré,arôme naturel fruit de la passion', 'allergenes:voir les ingrédients en gras']",['E440 - Pectines'],['Non végétalien'],4,14.7 g,en quantité modérée,9.2 g,en quantité élevée,24.7 g,en quantité élevée,0.15 g,en faible quantité,?,,254,+15%,1063 kj(254 kcal),+16%,"14,7",+35%,"9,2",+34%,"26,7",+2%,"24,7",+10%,"3,6",+8%,"0,15",-1%,"0,06",-1%,17,+35%,D,+35%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,4,,,['Magasins U'],"['Œufs', 'Lait']",,"['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants']",,,
1189,Flowers collection - Häagen-Dazs,3415581525014,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],[],,[],,14.8 g,en quantité modérée,9 g,en quantité élevée,21.7 g,en quantité élevée,0.16 g,en faible quantité,?,,243,+10%,1017 kj(243 kcal),+11%,"14,8",+36%,9,+31%,"23,1",-12%,"21,7",-3%,"3,8",+14%,"0,16",+6%,"0,064",+6%,15,+19%,D,+19%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,
1190,Haagen mini cup winter x4 348g - Haagen-dazs,3415581526011,,,['Haagen-dazs'],,['France'],[],,[],,,,,,,,,,?,,274,,1146 kj(274 kcal),,"17,3",,"10,6",,"25,3",,"24,2",,4,,"0,16",,"0,064",,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,,
1191,Belgian Chocolate Crème Glacée - Häagen-Dazs,3415581533194,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],[],,[],,18.6 g,en quantité modérée,11.4 g,en quantité élevée,21.8 g,en quantité élevée,0.048 g,en faible quantité,?,,278,+26%,1163 kj(278 kcal),+27%,"18,6",+71%,"11,4",+66%,"23,5",-10%,"21,8",-3%,"4,1",+23%,"0,048",-68%,"0,019",-68%,17,+35%,D,+35%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,
1192,Cookies & Cream - Häagen-Dazs - 83g ou 100ml,3415581534146,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']","['France', 'Allemagne']","['crème fraiche', 'sucre', ""jaune d'oeuf"", 'farine de blé', 'huile végétale', 'cacao maigre en poudre', 'arôme naturel de vanille', 'bicarbonate de sodium', 'sel']",['E500ii - Carbonate acide de sodium'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",4,14.7 g,en quantité modérée,10.5 g,en quantité élevée,20.1 g,en quantité élevée,0.2 g,en faible quantité,?,,260,+18%,1088 kj(260 kcal),+19%,"14,7",+35%,"10,5",+53%,"22,7",-13%,"20,1",-10%,"3,8",+14%,"0,2",+32%,"0,08",+32%,17,+35%,D,+35%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,crème glacée vanille et morceaux de cookies,83 g ou 100 ml,,"['FR 62.817.030 CE', 'Tilloy-lès-Mofflaines (Pas-de-Calais, France)']",,"['Œufs', 'Gluten', 'Lait']",,"['Kascher', 'en:Orthodox Union Kosher']",,,
1193,Cookies and cream - Häagen-Dazs,3415581534160,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],[],,[],,17 g,en quantité modérée,10.5 g,en quantité élevée,20.1 g,en quantité élevée,0.21 g,en faible quantité,?,,230,+5%,962 kj(230 kcal),+5%,17,+56%,"10,5",+53%,"22,3",-15%,"20,1",-10%,"4,4",+32%,"0,21",+39%,"0,084",+39%,16,+27%,D,+27%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,['Fabriqué en France'],,,
1194,häagen-dazs cookies and cream,3415581534238,B,,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],[],,[],,17.1 g,en quantité modérée,10.5 g,en quantité élevée,20.1 g,en quantité élevée,0.21 g,en faible quantité,?,,261,+19%,1092 kj(261 kcal),+19%,"17,1",+57%,"10,5",+53%,"22,2",-15%,"20,1",-10%,"0,4",-88%,"0,21",+39%,"0,084",+39%,17,+35%,D,+35%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,
1195,4 mini pots - Caramel Attraction - Häagen-Dazs,3415581545012,B,['Cartonne'],['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['France'],"['Crème glacée au caramel avec sauce caramel au beurre salé ', '10%', ' et éclats caramélisés au beurre salé ', '8%', ' : crème fraîche', 'sucre', 'lait écrémé concentré', ""jaune d'œuf"", 'sirop de glucose', 'beurre', 'sirop de glucose déshydraté', 'lait entier concentré', 'huile de noix de coco', 'sel', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille', 'gélifiant : pectines', ' Allergènes : voir les ingrédients en gras', '\rCrème Glacée à la vanille avec sauce caramel ', '10%', ' et morceaux de brownies ', '8%', ' : crème fraîche', 'lait écrémé concentré', 'sucre', ""jaune d'œuf"", 'lait entier concentré', 'farine de blé', 'huiles végétales ', 'noix de coco', 'tournesol', 'sirop de glucose', 'œuf', 'cacao maigre en poudre', 'arôme naturel de vanille', 'gélifiant : pectines', 'amidon de maïs', 'sel', 'émulsifiant : lécithine de soja', 'poudre à lever : bicarbonate de sodium', 'arôme naturel', ' Allergènes : voir les ingrédients en gras', '\rCrème glacée au caramel et biscuit Spéculoos ', '11%', ' : crème fraîche', 'lait écrémé concentré', 'sucre', 'farine de blé', ""jaune d'œuf"", 'huiles végétales ', 'palmiste', 'palme', 'colza', 'sirop de glucose déshydraté', 'lait entier concentré', 'sirop de glucose', 'sel', 'sucre roux', 'poudre à lever : bicarbonate de sodium', 'farine de soja', 'cannelle', 'arôme naturel de vanille', ' Allergènes : voir les ingrédients en gras', '\rCrème Glacée au Caramel avec sauce au caramel ', '10%', ' : crème fraîche', 'lait écrémé concentré', 'sucre', 'lait entier concentré', ""jaune d'œuf"", 'sirop de glucose', 'huile de noix de coco', 'sel', 'arôme naturel de vanille', 'gélifiant : pectines', 'émulsifiant : lécithine de soja', ' Allergènes : voir les ingrédients en gras']","['E322i - Lécithine', 'E440 - Pectines', 'E500ii - Carbonate acide de sodium']","['Huile de palme', 'Non végétalien']",4,17.2 g,en quantité modérée,10.7 g,en quantité élevée,24.1 g,en quantité élevée,0.58 g,en quantité modérée,?,,281,+21%,1176 kj(281 kcal),+21%,"17,2",+47%,"10,7",+41%,"27,5",-1%,"24,1",+3%,4,+27%,"0,58",+287%,"0,232",+287%,20,+49%,E,+49%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,['Magasins U'],"['Œufs', 'Gluten', 'Lait', 'Soja']",,['Fabriqué en France'],,['Huile de palme'],
