,name,bar_code,eco_score,packaging,brand,categories,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,manufacturing,traceability_code,markets,allergens,ingredients_origins,labels,link,palm_ingredients,brand_owner
0,Les grisettes de Montpellier - Les mousquetaires,3381311234566,E,"['Boîte', 'Métal']","['Les mousquetaires', 'Les grisettes de Montpellier']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['sucre', 'sirop de glucose', 'réglisse', 'arômes : miel', 'anethol', 'colorants : E151', 'E104', 'E129', 'amidon transformé de blé']","['E151 - Noir brillant BN', 'E104 - Jaune de quinoléine', 'E129 - Rouge allura AC', 'E14XX - Amidons modifiés']",['Non végétalien'],4,0.1 g,en faible quantité,0 g,en faible quantité,64.2 g,en quantité élevée,0.1 g,en faible quantité,?,,378,+6%,1582 kj(378 kcal),+5%,"0,1",-95%,0,-100%,"93,8",+13%,"64,2",+11%,"0,2",-91%,"0,1",-17%,"0,04",-17%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
1,10 burgers surgelés Préparation de viande bovine à 51% et de protéines végétales - Pouce - 1kg,3381590001538,,"['Carton', 'Surgelé']","['Pouce', 'Chiron Viandes', 'Chiron', 'Chiron ACVF', 'Auchan']","['Viandes', 'Surgelés', 'Bœuf', 'Viandes surgelées', 'Préparations de viande', 'Préparations de viande bovine', 'Préparations de viande surgelées', 'Préparations de viande hachée', 'Préparations de viande hachées surgelées', 'Préparations de viande bovine hachée', 'Préparations de viande bovine hachée surgelées']",['France'],"['Viande bovine 48%', 'eau', 'protéines de soja', 'gras de bovin 3%', 'chapelure ', 'contient gluten', 'plantes aromatiques', 'arômes ', 'contient soja', 'fibre de blé ', 'contient gluten', 'exhausteur de goût : glutamate monosodique', 'sel', 'betterave rouge déshydratée']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,15 g,en quantité modérée,6.9 g,en quantité élevée,2 g,en faible quantité,1.1 g,en quantité modérée,859,-7%,207,-3%,859 kj(207 kcal),-6%,15,-7%,"6,9",-4%,"4,3",+55%,2,+127%,"13,1",-11%,"1,1",+20%,"0,44",+20%,12,+9%,D,+9%,,,,,,,,Préparation de viande bovine à 51% et de protéines végétales,1kg,['France'],"['FR 14.167.021 CE', 'Colombelles (Calvados, France)']",['Auchan'],"['Gluten', 'Soja']",,,,,
2,LIMON'Verde - SORRENTINI - 50cl,3381661001955,,,['SORRENTINI'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,50cl,,,,,,,,,
3,Satin - Satin prestige,3381781001637,C,,['Satin prestige'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Provence']",['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,['France'],,,,
4,Bêtise de Cambrai - Despinoy - 250g,3382030112128,E,,['Despinoy'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['sucre', 'sirop de glucose', 'colorant naturel : Ca extrait de spiruline', 'arôme co acidifiant ', 'acide tartrique', ' Peut contenir des traces de f la coque', "" Conserver à l'abri de la lumi l'humidité Poids net 250 g""]",['E334 - Acide L-tartrique'],[],4,0.0001 g,en faible quantité,0.0001 g,en faible quantité,66 g,en quantité élevée,0.02 g,en faible quantité,?,,388,+9%,1623 kj(388 kcal),+8%,0,-100%,0,-100%,97,+16%,66,+14%,0,-100%,"0,02",-83%,"0,008",-83%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,250 g,,,,,,,,,
5,Bêtise de cambrai,3382031301064,E,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,66 g,en quantité élevée,0.02 g,en faible quantité,?,,388,+9%,1623 kj(388 kcal),+8%,0,-100%,0,-100%,97,+16%,66,+14%,0,-100%,"0,02",-83%,"0,008",-83%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
6,Bêtises De Cambrai - Despinoy,3382031610005,E,,['Despinoy'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,66 g,en quantité élevée,0.02 g,en faible quantité,?,,388,+9%,1623 kj(388 kcal),+8%,0,-100%,0,-100%,97,+16%,66,+14%,0,-100%,"0,02",-83%,"0,008",-83%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
7,Bêtises de Cambrai,3382032006661,E,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,65.7 g,en quantité élevée,0.02 g,en faible quantité,?,,389,+9%,1628 kj(389 kcal),+9%,"0,5",-73%,"0,1",-91%,"97,1",+17%,"65,7",+13%,"0,5",-76%,"0,02",-83%,"0,008",-83%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,['Sans colorants'],,,
8,Betises de Cambrai - Despinoy,3382033003331,E,,['Despinoy'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons français', 'Bêtises de Cambrai']",['France'],['ARTISAÌ\\ALE'],,[],,0.3 g,en faible quantité,0.1 g,en faible quantité,66 g,en quantité élevée,0.02 g,en faible quantité,?,,389,+1%,1628 kj(389 kcal),+1%,"0,3",-22%,"0,1",+275%,97,+1%,66,-11%,1,+194%,"0,02",-64%,"0,008",-64%,14,0%,D,0%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,['Sans colorants'],,,
9,"Les hermines, Crepes bretonnes pur beurre, le sachet de 12 - Creperie de guerledan",3382260000011,,,['Creperie de guerledan'],,['France'],['Farine de Froment Oeufs?Sucre - Lait en Poudre écrémé - Beurie concentré 6% - Farine de sarrasin Gluten de Fromont - Arôme vanille - Sel'],,['Non végétalien'],4,,,,,,,,,?,,377,,1577 kj(377 kcal),,"8,2",,"3,5",,"37,6",,"26,7",,"8,2",,"0,271",,"0,108",,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,
10,Beurre de baratte doux - Biogam - 250g,3382322010002,C,,['Biogam'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux']",['France'],"[""Crème fraiche pasteurisée issue de l'agriculture biologique"", 'ferments lactiques']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,82.5 g,en quantité élevée,52.3 g,en quantité élevée,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,747,+2%,3125 kj(747 kcal),+2%,"82,5",+2%,"52,3",-5%,"0,5",-33%,"0,5",-26%,"0,7",+2%,"0,1",+62%,"0,04",+62%,18,-4%,D,-4%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,250 g,['Lorraine'],"['FR 54.452.001 CE', 'Reillon (Meurthe-et-Moselle, France)']",,['Lait'],['France'],"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,
11,Crème fraiche légère des fermes bio de Lorraine - BIOGAM - 20cl,3382322220005,B,['pot plastique'],['BIOGAM'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches', 'Crèmes légères']",['France'],"['Crème fraîche pasteurisée à 20% de matière grasse ', '> 99%', "" issue de l'agriculture biologique"", 'ferments lactiques']",,[],3,20 g,en quantité modérée,13.3 g,en quantité élevée,2.5 g,en faible quantité,0.1 g,en faible quantité,?,,200,+24%,837 kj(200 kcal),+26%,20,+42%,"13,3",+42%,"2,5",-54%,"2,5",-36%,"2,6",-6%,"0,1",-7%,"0,04",-7%,12,+22%,D,+22%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,Crème fraîche légère 20% MG,20 cl,['France'],"['FR 54.452.001 CE', 'Reillon (Meurthe-et-Moselle, France)']","[""Brin d'Herbe""]",['Lait'],"['France', 'Lorraine']",['Bio'],,,
12,6 X 50G Petit Suisse Le Petit Biogam 45% - Bio Gam,3382325400008,B,,"['Bio Gam', 'Biogam']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Petits suisses']",['France'],"[""issus de l'Agriculture Biologique Fromage frais au lait pasteurisé 10,1 % de matières grasses dans le produit fini""]",,[],,10.1 g,en quantité modérée,7.4 g,en quantité élevée,3.2 g,en faible quantité,0.08 g,en faible quantité,?,,134,+23%,561 kj(134 kcal),+24%,"10,1",+92%,"7,4",+114%,"6,2",-3%,"3,2",-46%,"4,6",-42%,"0,08",-19%,"0,032",-19%,6,+1793%,C,+1793%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,"['FR 57.392.008 CE', 'Lemud (Moselle, France)']",,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,
13,Petit Munster Géromé - Bio Gam - 200g,3382327500003,C,['Frais'],['Bio Gam'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages pasteurisés', 'Fromages à pâte molle à croûte lavée', 'Munsters', 'Munsters au lait pasteurisé']",['France'],[],,[],,28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,332,+2%,1389 kj(332 kcal),+3%,28,+4%,19,+2%,"0,5",-12%,"0,5",+1%,20,0%,"1,5",-14%,"0,6",-14%,15,-4%,D,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,200g,,"['FR 67.411.001 CE', 'Rosheim (Bas-Rhin, France)']",,,,"['Bio', 'Bio européen', 'AOP', 'AB Agriculture Biologique']",,,
14,Olive noire façon Grecque à l'huile de tournesol - Tropic Apéro - 500g e,3382510001027,B,['Plastique'],"['Tropic Apéro', 'Tropic Apéro en Provence']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",['France'],"['Olives du Maroc 96 %', 'sel', 'huile de tournesol', 'acidifiant E270']",['E270 - Acide lactique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,32 g,en quantité élevée,4.6 g,en quantité modérée,1.4 g,en faible quantité,8.9 g,en quantité élevée,?,,349,+34%,1460 kj(349 kcal),+34%,32,+25%,"4,6",+36%,"10,1",+218%,"1,4",+246%,"1,9",+31%,"8,9",+113%,"3,56",+113%,13,+1%,D,+1%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,500 g e,,,,,['Maroc'],['Point Vert'],,,
15,Cocktail olives sauce épicée - Tropic Apéro - 500g,3382510001065,B,"['Pot', 'Plastique', 'Sous atmosphère protectrice']",['Tropic Apéro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives']",['France'],"[""Olives d'import 80 % "", 'vertes', 'tournantes', 'noires', 'poivron et piment', 'sel', 'oignon', 'huile de tournesol', 'ail', 'acidifiants ', 'E330', 'vinaigre', 'conservateur : sulfites']",['E330 - Acide citrique'],[],3,18.4 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,4.86 g,en quantité élevée,?,,178,-7%,745 kj(178 kcal),-6%,"18,4",0%,3,+8%,"0,5",-74%,"0,2",-29%,"0,8",-40%,"4,86",+38%,"1,944",+38%,14,+14%,D,+14%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,500 g,,,['Auchan'],['Anhydride sulfureux et sulfites'],,['Point Vert'],,,
16,Tropic apéro olives a la gransoise sauce à l'ail - Hp - 500g,3382510001096,,,['Hp'],,['France'],"['Olives du Maroc 85%', 'ail 4,3%', 'sel', 'oignon', 'huile de tournesol', 'piment', 'persil', 'acidifiants ', 'E330', 'vinaigre', ' / traces éventuelles : anchois', 'lupin', 'amande ? Valeur']",['E330 - Acide citrique'],[],,,,,,,,,,?,,177,,741 kj(177 kcal),,18,,3,,"0,9",,"0,4",,"1,7",,"4,1",,"1,64",,,,,,,,,,,,,,500 g,,,,,,,,,
17,Olive verte cassée piquante sauce escabèche - Tropic Apéro - 500g,3382510001102,B,"['Plastique', 'Sous atmosphère protectrice']",['Tropic Apéro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']",['France'],"['Olives du Maroc 86%', 'poivron', 'sel', 'oignon', 'huile de tournesol', 'harissa', 'acidifiants ', 'E330', 'vinaigre']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,17 g,en quantité modérée,2.5 g,en quantité modérée,0.2 g,en faible quantité,4.79 g,en quantité élevée,696,+4%,?,,696 kj(166 kcal),+2%,17,+6%,"2,5",-4%,"0,6",-61%,"0,2",-7%,"1,1",-15%,"4,79",+40%,"1,916",+40%,14,+17%,D,+17%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,500 g,,,['Auchan'],,['Maroc'],['Point Vert'],,,
18,Cocktail Olives Sauce épicée 250g - 250g,3382510008064,,,,,['France'],[],,[],,,,,,,,,,?,,201,,841 kj(201 kcal),,18,,"3,1",,"4,7",,"0,5",,1,,"4,2",,"1,68",,,,,,,,,,,,,,250 g,,,,,,,,,
19,Olive Verte Cassée à la Gransoise - Tropic Apéro - 250g e,3382510008095,B,['Plastique'],['Tropic Apéro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives cassées', 'Olives vertes']",['France'],"[""Olives d'import 82,3 %"", 'huile de tournesol', 'ail 4,2 %', 'sel', 'oignon', 'piment', 'persil', 'acidifiants ', 'E330', 'vinaigre']",['E330 - Acide citrique'],[],3,19 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,4.1 g,en quantité élevée,?,,192,,803 kj(192 kcal),+1%,19,+1%,3,+2%,"1,2",+176%,"0,2",+122%,"1,4",+19%,"4,1",+17%,"1,64",+17%,10,-19%,C,-19%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,Olive Verte Cassée à l'Ail,250 g e,,,['Casino'],,,,,,
20,Mélange d'olives - Panaché Pimenté - Tropic Apéro - 250g e,3382510008118,B,['Plastique'],['Tropic Apéro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', ""Mélanges d'olives"", 'Olives pimentées']",['France'],"[""Olives d'import 90 %"", 'huile de tournesol', 'sel', 'piment 3,4 %', 'herbes de Provence', 'laurier', 'acidifiants ', 'E330', 'vinaigre']",['E330 - Acide citrique'],[],3,24 g,en quantité élevée,4.5 g,en quantité modérée,0.1 g,en faible quantité,4.2 g,en quantité élevée,973,+28%,237,+23%,973 kj(237 kcal),+23%,24,+30%,"4,5",+61%,1,-48%,"0,1",-64%,"1,5",+13%,"4,2",+20%,"1,68",+20%,12,-2%,D,-2%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,250 g e,,,['Casino'],,,,,,
21,Coquillos sauce herbes aromatiques - Tropic apero - 200g,3382510008125,B,"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Conditionné sous atmosphère protectrice']",['Tropic apero'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",['France'],"[""olives d'Espagne 92%"", 'huile de tournesol', 'sel', 'herbes de Provence 0', '09%', 'laurier 0', '07%', ' acidifiants  ', 'E330', 'E270']","['E330 - Acide citrique', 'E270 - Acide lactique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,34.7 g,en quantité élevée,4.8 g,en quantité modérée,0.5 g,en faible quantité,3.75 g,en quantité élevée,1382,+26%,?,,1382 kj(330 kcal),+27%,"34,7",+36%,"4,8",+42%,"1,3",-59%,"0,5",+23%,"1,4",-3%,"3,75",-10%,"1,5",-10%,18,+40%,D,+40%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,Olives noires coquillos sauce herbes aromatiques,200 g,,"['EMB 13044B', 'Grans (Bouches-du-Rhône, France)']",['Géant Casino'],,,['Point Vert'],,,
22,Verte farcie à la pâte d'anchois - Tropic Apero - 200g,3382510008385,B,"['Barquette', 'Plastique', 'Barquette']",['Tropic Apero'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', ""Olives vertes farcies à l'anchois""]",['France'],"[""Olives d'Espagne"", ""farce à l'anchois 10 % "", 'anchois', 'épaississant E401', 'huile de tournesol', 'sel', 'exhausteur de goût E621', 'acidifiants ', 'E330', 'E270', 'antioxydant E300', 'conservateur E202']","['E401 - Alginate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E300 - Acide ascorbique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,20.8 g,en quantité élevée,3.5 g,en quantité modérée,0.1 g,en faible quantité,2.95 g,en quantité élevée,827,+33%,?,,827 kj(198 kcal),+31%,"20,8",+38%,"3,5",+27%,"0,6",-20%,"0,1",-7%,"1,4",+4%,"2,95",-5%,"1,18",-5%,15,+24%,D,+24%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,200 g,,"['EMB 13044B', 'Grans (Bouches-du-Rhône, France)']",['Casino'],['Poisson'],['Espagne'],,,,
23,Olives vertes cassees a l ail,3382510011019,,,,,['France'],[],,[],,,,,,,,,,?,,177,,741 kj(177 kcal),,18,,3,,"0,9",,"0,4",,"1,7",,"4,1",,"1,64",,,,,,,,,,,,,,,,,,,,,,,
24,Mélange d'olive a l'orientale - Tropic Apéro,3382510011026,,,['Tropic Apéro'],,['France'],[],,[],,,,,,,,,,?,,183,,766 kj(183 kcal),,19,,3,,"1,2",,"0,2",,"0,9",,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,,,
25,Citron confit - Tropic Apero - 290g,3382510012238,,"['Plastique', 'Pot', 'Frais', 'boîte']",['Tropic Apero'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits', 'Citron confit']",['France'],"[""Citrons confits d'Espagne"", 'eau', 'sel', 'acide lactique', 'conservateur sulfites']",['E270 - Acide lactique'],[],3,0.6 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,5.94 g,en quantité élevée,123,,?,,123 kj(29 kcal),-58%,"0,6",+131%,"0,1",+45%,"2,8",-80%,"0,9",-90%,"0,7",-10%,"5,94",+18%,"2,376",+18%,5,-2%,C,-2%,,,,,,,,,290 g,,,['Franprix'],['Anhydride sulfureux et sulfites'],['Espagne'],,,,
26,Tapenade verte - Tropic Apéro - 125g,3382510012306,C,"['Barquette', 'Plastique', 'Frais', 'Opercule']",['Tropic Apéro'],"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",['France'],"['Olives vertes 80 %', ""huile d'olive"", 'câpres 6 %', 'ail', ""pâte d'anchois "", 'anchois 82 %', ""huile d'olive"", 'vinaigre de vin', 'sel', ""mélange d'épices"", 'sel', 'poivre']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,16.9 g,en quantité modérée,2.4 g,en quantité modérée,0.6 g,en faible quantité,4 g,en quantité élevée,?,,168,-24%,703 kj(168 kcal),-24%,"16,9",-22%,"2,4",-26%,"1,8",-19%,"0,6",+56%,"1,6",-2%,4,+39%,"1,6",+39%,13,-4%,D,-4%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,125 g,"['Provence', 'France']","['EMB 84036D', 'Châteauneuf-de-Gadagne (Vaucluse, France)', 'FR 84.036.003 CE', 'Châteauneuf-de-Gadagne (Vaucluse, France)']",['Intermarché'],['Poisson'],,['Sans conservateurs'],,,
27,Delice de chevre - Tropic Apero,3382510012818,,,['Tropic Apero'],,['France'],"['OÏves vertes 40% fromage blanc', 'fromage de chèvre 18%', 'ail jus de citron concentre', 'amidon transformé', 'origan', 'poivre blanc', ' Green dives 40%', 'Paste cheese', 'chèvre cheese 18%', 'garlic', 'concentroted lemon iuice', 'oregono', 'modified storch', 'white pepper', ' Grüne ortven 40%', 'Quark mit 20%', 'Fettanteil', 'Ziegenküse 18%', 'geschôlte', 'Knob!auch', 'konzentrierter titronensaft', 'modifizierte Stdrke', 'Oregono', 'weisser Pfeffer', ' Sans conservateur', ' No preservotive', ' Ohne Konservierungstoffe']",['E14XX - Amidons modifiés'],['Non végétalien'],4,,,,,,,,,?,,127,,531 kj(127 kcal),,"9,1",,3,,"4,2",,"2,7",,"5,9",,"2,7",,"1,08",,,,,,,,,,,,,,,,,,['Lait'],,['Sans conservateurs'],,,
28,Olives vertes dénoyautées à l'huile de tournesol - Tropic Apéro - 250g,3382510018186,B,"['Barquette', 'Plastique']",['Tropic Apéro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",['France'],"['Olives du Maroc 93 %', 'huile de tournesol 7 %', 'sel', 'acidifiant : acide citrique']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,21 g,en quantité élevée,3.7 g,en quantité modérée,0.1 g,en faible quantité,4.3 g,en quantité élevée,846,+29%,206,+28%,846 kj(206 kcal),+27%,21,+33%,"3,7",+47%,"0,5",-64%,"0,1",-47%,"1,3",+20%,"4,3",+28%,"1,72",+28%,12,+3%,D,+3%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,250 g,,,['Intermarché'],,['Maroc'],,,,
29,Olives vertes farcies Amande et Poivron - Tropic Apéro - 250g,3382510019022,B,"['Barquette', 'Plastique']",['Tropic Apéro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies']",['France'],"['Olives vertes de Grèce 83 %', 'huile de tournesol', 'amande 5,8 %', 'poivron naturel 4,8 %', 'sel', 'acidifiants ', 'E330', 'E270', 'vinaigre', 'affermissant E509', 'antioxydant E300']","['E330 - Acide citrique', 'E270 - Acide lactique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E300 - Acide ascorbique']",[],4,23 g,en quantité élevée,3.3 g,en quantité modérée,0.1 g,en faible quantité,4.8 g,en quantité élevée,?,,229,+39%,958 kj(229 kcal),+40%,23,+45%,"3,3",+23%,"1,5",-12%,"0,1",-52%,"2,3",+37%,"4,8",+45%,"1,92",+45%,10,-19%,C,-19%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,250 g,,,,['Fruits à coque'],['Grèce'],,,,
30,Olives vertes dénoyautées à l'orientale - au piment - 110g,3382510032267,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",['France'],[],,[],,26 g,en quantité élevée,3.9 g,en quantité modérée,0.1 g,en faible quantité,4.1 g,en quantité élevée,?,,255,+58%,1067 kj(255 kcal),+60%,26,+65%,"3,9",+55%,"2,5",+81%,"0,1",-47%,"1,2",+11%,"4,1",+22%,"1,64",+22%,16,+38%,D,+38%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,110 g,,,,,,,,,
31,Olives vertes farcies au poivron - 120g,3382510032274,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au poivron']",['France'],[],,[],,22 g,en quantité élevée,2.8 g,en quantité modérée,0.3 g,en faible quantité,4.3 g,en quantité élevée,?,,219,+54%,916 kj(219 kcal),+53%,22,+58%,"2,8",+22%,"0,8",-58%,"0,3",+21%,"1,1",0%,"4,3",+24%,"1,72",+24%,14,+25%,D,+25%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,120 g,,,,,,,,,
32,Olives vertes dénoyautés à la persillade - Tropic Apero En Provence,3382510118046,,,['Tropic Apero En Provence'],,['France'],"['OLIVES VERTES DENOYAUTEES A LA PERSILLADE ', ' g i ', 'je tournesol', 'sel', '2 {je PF Oce', '-lCe', 'O', 'acicj!flatnts / t aces Malgré les contrôles', 'des noyaux peuvent subsister pour q ', ' ', ' 760 kJ', ' grasses 18 0 ', 'dont acides gras saturés 2 5 0', ' - olucides 2 1 0 ', 'dont sucres 0,3 g', ' fibres g - proteines 1,3 g - sel 3,4 g']",,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,185,,774 kj(185 kcal),,18,,"2,5",,"2,1",,"0,3",,"1,3",,"3,4",,"1,36",,,,,,,,,,,,,,,,,,,,,,,
