,name,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,bar_code,generic_name,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,additives,allergens,brand_owner,manufacturing,link
0,Pâtes carbonara,['France'],[],[],?,190,795 kj(190 kcal),12,"7,1",14,"1,4","6,7","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Real casein 100% micellar - Prozis - 33g,['France'],[],[],?,363,1519 kj(363 kcal),"2,1","1,3",11,"3,9",75,"1,3","0,52",5600499561225,Real casein 100% micellar,33 g,['Plastique'],['Prozis'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre', 'Casein', 'Caseine']",2.1 g,en faible quantité,1.3 g,en faible quantité,3.9 g,en faible quantité,1.3 g,en quantité modérée,,-2%,-2%,-52%,-25%,+56%,+26%,+6%,+74%,+74%,5,+13%,C,+13%,,,,,,,,,,,,,,,,,,
2,Palette de porc cuite,['France'],[],[],?,190,795 kj(190 kcal),14,"5,7","0,9","0,6",15,"2,2","0,88",2211322044087,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,
3,Salchichas frankfurt de pavo y pollo sin gluten,['France'],[],[],?,219,916 kj(219 kcal),15,5,10,1,11,"2,5",1,8433329058100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fruits,['France'],[],[],?,50,209 kj(50 kcal),0,0,"9,8",9,"0,6",0,0,0206915023169,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité modérée,0 g,en faible quantité,,-73%,-72%,-100%,-100%,-73%,-68%,-62%,-100%,-100%,-4,-586%,A,-586%,,,,,,,,,,,,,,,,,,
5,Prosciutto Crudo - Italiamo,['France'],[],[],?,213,891 kj(213 kcal),"12,1","5,2","0,5",0,"25,5",6,"2,4",2827501011568,,,,['Italiamo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Huile d'olive vierge truffe noire,['France'],[],[],?,877,3669 kj(877 kcal),96,17,0,0,"3,4",0,0,8025386007674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bioj'm Pomme Pur jus,['France'],[],[],?,43,180 kj(43 kcal),0,0,"10,9","10,9",0,0,0,3395070109034,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],"['EMB 47175', 'Monflanquin (Lot-et-Garonne, France)']",,,,,,,,,,,,,,,,
8,Rooibos et orange bio - GRAALTEA - 20g,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,3760041810897,,20 g,,['GRAALTEA'],,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,,,,,,,,,,,,,,,,
9,The noir Ceylan et caramel bio - GRAALTEA - 20g,['France'],"['Feuille de Thé noir Ceylan bio ', 'Camellia sinensis L', ' 70%', ' HTVE Feuille de Thé noir Ceylan bio ', 'Camellia sinensis L', ' 17%', ' Caramel bio 8% ', 'Origine France', ' Arôme naturel 5,8% ', 'Origine France', ' \rThé noir Ceylan conforme aux standards du commerce équitable Fairtrade/Max Havelaar ', '87% du poids total']",[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,3760041810910,,20 g,,['GRAALTEA'],,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Max Havelaar']",,4,,,,,,,,,,,,,,,
10,Figue Intense Noir - Lindt & Sprüngli,['France'],[],[],?,521,2180 kj(521 kcal),30,18,53,50,"5,8","0,1","0,04",01727722,,,,['Lindt & Sprüngli'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Thé noir Ceylan et fruits rouges bio - GRAALTEA - 20g,['France'],"['Feuille de Thé noir Ceylan bio ', 'Camellia sinensis L', ' 44%', ' Fruit de framboise bio ', 'Rubus ideaus', ' 25,6% ', 'origine Pologne', ' HTVE Sommité fleurie Myrtillier bio ', 'Vaccinium myrtillus L', ' 13,6% ', 'Origine France', ' HTVE Feuille de Thé noir Ceylan bio ', 'Camellia sinensis L', ' 12%', ' Arôme naturel de fruits rouges avec autres arômes naturels 4,8% ', 'Origine France', ' \rThé noir Ceylan conforme aux standards du commerce équitable Fairtrade/Max Havelaar ', '56% du poids total']",[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,3760041810927,,20 g,,['GRAALTEA'],,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,4,,,,,,,,,,,,,,,
12,Andouillette de Canard,['France'],[],[],?,?,,?,,?,,?,,,2202063019557,,,,,['Andouillettes de canard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Chorizo Sarta Piquant - 200g,['France'],[],[],?,483,2021 kj(483 kcal),43,17,3,0,21,"3,6","1,44",8437012899513,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,LES FRETILLANTES - ANIS 50g - 10g,['France'],[],[],?,415,1736 kj(415 kcal),25,10,"39,5","3,5","7,1","1,6","0,64",3770009162081,,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
15,LES FRETILLANTES - CITRONS 90G - 10g,['France'],[],[],?,415,1736 kj(415 kcal),19,"10,9",56,"20,4","6,3",0,0,3770009162104,,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
16,LES FRETILLANTES - THYM 50g - 10g,['France'],[],[],?,412,1724 kj(412 kcal),25,10,"39,5","3,5","7,1","1,6","0,64",3770009162142,,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
17,Gelée d'argousier -,['France'],[],[],?,?,,?,,?,,?,,,3760150043032,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Snacks sucrés', 'Petit-déjeuners', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Pâtes de fruits', ""Gelées d'argousiers""]",,,,,,,,,,,,,,,,,,,,,,,,,,C,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,
18,"Poulet blanc fermier, Label Rouge",['France'],[],[],?,117,490 kj(117 kcal),"2,5","0,8","0,5","0,5",23,"0,1","0,04",2209341009026,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,,,,,,,,,,,
19,FRETILLANTES - FLEUR D'ORANGÉ 50g - 10g,['France'],[],[],?,477,1996 kj(477 kcal),30,"13,8",47,15,"4,9","0,2","0,08",3770009162050,,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
20,Souffles curry pavot,['France'],[],[],?,431,1803 kj(431 kcal),14,"1,9",64,"1,6","9,5","1,7","0,68",3701239902024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Backetteria Vleceno Testo - 500g,"['France', 'Italie']",[],[],?,?,,?,,?,,?,,,24053563,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gomasio,['France'],[],[],?,?,,?,,?,,?,,,3183280025905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Cannon Crunch,['France'],[],['Sans huile de palme'],?,?,,?,,?,,?,,,8000003055825,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,
24,Rillettes de pigeons - Chabert,['France'],[],[],?,325,1360 kj(325 kcal),28,"9,5",0,0,18,"1,8","0,72",3512060011904,,,,['Chabert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Matsu sushi makis y nigiris - Pescanova,['France'],[],[],?,731,3059 kj(731 kcal),"4,4",1,"26,2","2,1","7,2","0,69","0,276",8410063066660,,,,['Pescanova'],"['Plats préparés', 'Sushis et makis', 'Sushis', 'Assortiments de sushi']",4.4 g,en quantité modérée,1 g,en faible quantité,2.1 g,en faible quantité,0.69 g,en quantité modérée,,+357%,+357%,+10%,+17%,+6%,-67%,+35%,-63%,-63%,12,+29%,D,+29%,,,,C,83.8%,1.2%,4.6%,6.7%,2.2%,1.6%,62,,,,,,,
26,Chocolate con leche relleno de galleta oreo - Milka,['France'],[],[],?,557,2330 kj(557 kcal),35,19,55,49,"5,3","0,49","0,196",7622210042323,,,,['Milka'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Terrine foie gras à l'ancienne - Saveur d'Auge - 180g,['France'],[],[],?,371,1552 kj(371 kcal),31,13,"2,9","0,5",20,"1,2","0,48",3454740002171,,180 g,,"[""Saveur d'Auge""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Égrène au boeuf surgelé - Socopa - 1kg,['France'],[],[],?,?,,?,,?,,?,,,3039050166395,,1 kg,,['Socopa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Caillettes aux herbes,['France'],[],[],?,322,1347 kj(322 kcal),28,11,"3,4","0,6",14,0,0,3512060031902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Petites escalopes de poulet recette thaï,['France'],[],[],?,113,473 kj(113 kcal),"1,7","0,9","1,3","1,3",23,"0,96","0,384",2211249026111,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
31,Caillettes aux herbes,['France'],[],[],?,322,1347 kj(322 kcal),28,11,"3,4","0,6",14,0,0,3512060090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Cuisse De Canard,['France'],[],[],?,156,653 kj(156 kcal),"8,2","2,3",0,0,21,"1,4","0,56",2448355051625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Floppy confiserie drageifiee,['France'],[],[],?,372,1556 kj(372 kcal),"0,5","0,1",91,80,"1,7","0,05","0,02",2608119012204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Brioche au kilo - Auchan,['France'],[],[],?,?,,?,,?,,?,,,0206137008661,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,
35,Petit Salé Traditionnel - La Belle Chaurienne,['France'],[],[],?,148,619 kj(148 kcal),"6,9","2,2","10,2","0,4","11,1","0,8","0,32",3245362091106,,,,['La Belle Chaurienne'],"['Conserves', 'Plats préparés', 'Plats préparés en conserve']",6.9 g,en quantité modérée,2.2 g,en quantité modérée,0.4 g,en faible quantité,0.8 g,en quantité modérée,,+38%,+39%,+48%,+48%,+31%,-75%,+81%,-11%,-11%,1,-12%,B,-12%,,,,,,,,,,,,,,,,,,
36,Infusión respiratoria de eucalipto tomillo romero y menta - Special Line,['France'],[],[],?,?,,?,,?,,?,,,8433329030809,,,,['Special Line'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Aceto Balsamico di Modena (IGP),['France'],[],[],?,?,,?,,?,,?,,,8033210891719,,,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,,,,,,,,,,,,,,,,,,,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,['Italie'],,,,,
38,Tuiles aux amandes,['France'],[],[],?,522,2184 kj(522 kcal),26,"2,3",52,45,16,"0,14","0,056",3437400000694,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']",26 g,en quantité élevée,2.3 g,en quantité modérée,45 g,en quantité élevée,0.14 g,en faible quantité,,+15%,+14%,+46%,-55%,-15%,+23%,+90%,-53%,-53%,17,+1%,D,+1%,,,,,,,,,,,,,,,,,,
39,Tisane Libanaise,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,6212900002198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cashew Blueberry Bar,['France'],[],[],?,143,598 kj(143 kcal),3,1,25,10,4,"0,35","0,14",8906094860280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Vitalal Sommeil,['France'],[],[],?,?,,?,,?,,?,,,3760269200753,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,
42,Petit billy,['France'],[],[],?,100,418 kj(100 kcal),14,11,"2,5","2,5",11,1,"0,4",0206928019616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Crème Fleurette -,['France'],[],[],?,175,732 kj(175 kcal),"16,3","11,3","4,2","4,2","2,9","0,14","0,056",3329770132764,,,,,"['Produits laitiers', 'Crèmes', 'Crèmes fleurettes']",16.3 g,en quantité modérée,11.3 g,en quantité élevée,4.2 g,en faible quantité,0.14 g,en faible quantité,,-34%,-33%,-38%,-38%,+21%,+28%,+18%,+40%,+40%,12,-3%,D,-3%,,,,C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,
44,Muesli Crunch,['France'],[],[],?,?,,?,,?,,?,,,8514281080122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Soja Pointe de Miel,['France'],[],[],?,46,192 kj(46 kcal),"1,8","0,3","4,2","3,4","3,2","0,01","0,004",3564706589667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mischbrot Dunkel S Budget,['France'],[],[],?,222,929 kj(222 kcal),"1,8","0,3",41,2,"7,3","1,7","0,68",9100000741413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Classico,['France'],[],[],?,461,1929 kj(461 kcal),"18,5","1,8","61,4","15,5","8,3","0,7","0,28",26330792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Caramel beurre salé,['France'],[],[],?,?,,?,,?,,?,,,3770005785130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Petit bonheur,['France'],[],[],?,287,1201 kj(287 kcal),"3,7","2,2",61,60,"1,3","0,01","0,004",3441260004976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ail des Ours,['France'],[],[],?,?,,?,,?,,?,,,3770013144097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sirop monin,['France'],[],[],?,?,,?,,?,,?,,,3052911145896,,,,['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Foie de bœuf - Leader Price,['France'],[],[],?,?,,?,,?,,?,,,2222434008720,,,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],"['EMB 80318A', 'Flixecourt (Somme, France)']",,,,,,,,,,['Leader Price'],,,,,,
53,Chocolat blanc aux amandes - La Cabosse,['France'],[],[],?,?,,?,,?,,?,,,3760044470487,,,,['La Cabosse'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats aux amandes', 'Chocolats blancs aux amandes']",,,,,,,,,,,,,,,,,,,,,,,,,,E,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,,
54,Tartelettes aux myrtilles - Leclerc,['France'],[],[],?,221,925 kj(221 kcal),"7,7","4,7",31,18,"3,3","0,2","0,08",,,,,['Leclerc'],"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la myrtille']",7.7 g,en quantité modérée,4.7 g,en quantité modérée,18 g,en quantité élevée,0.2 g,en faible quantité,,-39%,-40%,-45%,-40%,-43%,-38%,-23%,-29%,-29%,7,-60%,C,-60%,,,,D,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,,
55,Mouliné 9 légumes et crème fraîche - La Compagnie Artique,['France'],[],[],?,53,222 kj(53 kcal),"3,4","2,1","3,9","2,1","1,1","0,74","0,296",3289476000142,,,,['La Compagnie Artique'],,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,
56,Sablés beurre vanille,['France'],[],[],?,472,1975 kj(472 kcal),"19,58","12,74","68,67","20,6","4,72","0,06","0,024",3770014062000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Cake - Auchan,['France'],[],[],?,312,1305 kj(312 kcal),22,"5,5",16,"3,6",11,"1,7","0,68",3596710476497,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,"['Produit en braille', 'Nutriscore', 'Nutriscore C']","['EMB 56094E', 'Kervignac (Morbihan, France)']",,,,,,,,,,['Auchan'],,,,,,
58,Peeled edamame,['France'],[],[],?,122,510 kj(122 kcal),"5,2",0,"4,9","2,2",10,1,"0,4",5707715020020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,La Fabbrica Della Pasta - Linguine Al Nero Di Seppia - 500G - 500g,['France'],[],[],?,360,1506 kj(360 kcal),"1,5","0,4","72,8","1,7",13,"0,01","0,004",8033406265768,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sablés chocolat noisettes,['France'],[],[],?,589,2464 kj(589 kcal),"36,05","15,81","52,97","15,8","10,42","0,1","0,04",3770014062024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sauce barbecue - Amora,['France'],[],[],?,141,590 kj(141 kcal),"0,7","0,1",29,26,"0,7","1,6","0,64",8722700111863,,,,"['Amora', 'Unilever']","['Epicerie', 'Sauces', 'Sauces barbecue']",0.7 g,en faible quantité,0.1 g,en faible quantité,26 g,en quantité élevée,1.6 g,en quantité élevée,,-10%,-10%,-27%,-26%,-7%,-0%,-22%,-21%,-21%,13,-10%,D,-10%,,,,B,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,
62,Filet de poulet -,['France'],[],[],?,108,452 kj(108 kcal),"1,8","0,5",0,0,23,"0,13","0,052",0217885049264,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,,-18%,-17%,-38%,-33%,-100%,-100%,+1%,-83%,-83%,-4,,A,,"['Nutriscore', 'Nutriscore A']",,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
63,Saucisses oignons persil *2,['France'],[],[],?,207,866 kj(207 kcal),15,6,"2,1",2,16,"1,8","0,72",2282660021382,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,,,,,,,,,,,,
64,Boudin blanc à l'ancienne,['France'],[],[],?,257,1075 kj(257 kcal),"22,6","8,3","3,6","2,6","9,9","1,8","0,72",2429137038836,,,,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté', ""Boudins blanc à l'ancienne""]",22.6 g,en quantité élevée,8.3 g,en quantité élevée,2.6 g,en faible quantité,1.8 g,en quantité élevée,,+11%,+12%,+19%,+11%,-22%,+24%,-1%,+40%,+40%,18,+25%,D,+25%,,,,D,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,
65,Foie gras de canard entier,['France'],[],[],?,544,2276 kj(544 kcal),"56,1","23,6","2,2","0,9","7,5","0,5","0,2",3760044396404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Snack 100% fruta sabor fresa y chocolate - Snackissimo,['France'],[],[],?,418,1749 kj(418 kcal),"17,8","10,8",61,"58,8","3,7","0,1","0,04",8435199602681,,,,['Snackissimo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Tête roulée avec langue,['France'],[],[],?,243,1017 kj(243 kcal),"20,6","7,2","0,4","0,2","14,1","1,5","0,6",2471251019093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Escalope de dinde avec chapelure,['France'],[],[],?,121,506 kj(121 kcal),"0,8",0,"5,8","1,9",22,"0,7","0,28",2431641025714,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",0.8 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.7 g,en quantité modérée,,0%,+0%,-39%,-100%,+91%,+148%,-4%,+26%,+26%,-1,,A,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,
69,Magret canard sous vide,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,2688950057862,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,,,,,
70,Sablés croissant amande vanille,['France'],[],[],?,547,2289 kj(547 kcal),"33,82","16,63","51,92","17,21","7,48","0,11","0,044",3770014062147,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés aux amandes']",33.8 g,en quantité élevée,16.6 g,en quantité élevée,17.2 g,en quantité élevée,0.11 g,en faible quantité,,+12%,+11%,+45%,+20%,-18%,-32%,+21%,-84%,-84%,19,-13%,E,-13%,,,,C,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,
71,Pintade,['France'],[],[],?,213,891 kj(213 kcal),"14,6",4,"0,5","0,5","19,7","0,13","0,052",2260105005661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Sanglier de chasse français aux crabberries,['France'],[],[],?,149,623 kj(149 kcal),"5,7","2,1","8,5","6,3",16,"1,3","0,52",3383740004567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Sablés beurre salé,['France'],[],[],?,449,1879 kj(449 kcal),"19,44","12,78","61,82","16,35","5,94","0,51","0,204",3770014062239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Cannabis Beer,['France'],[],[],?,?,,?,,?,,?,,,8719189155112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Chocodate,['France'],[],[],?,44,184 kj(44 kcal),"1,2","0,3","7,7",4,"0,6","2,7","1,08",6291011050564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Risotto con nocciole,['France'],[],"['Végétalien', 'Végétarien']",?,355,1485 kj(355 kcal),"4,8","0,8","70,4","0,8","7,4","0,004","0,002",8004763016225,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,
77,Coconut - Festival - 403g,['France'],[],[],?,438,1833 kj(438 kcal),"7,8","3,6",34,25,55,"0,6","0,24",7702025141890,,403 g,,['Festival'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2 cuisses de poulet blanc - La Nouvelle Agriculture,['France'],[],[],?,198,828 kj(198 kcal),14,"3,5",0,0,18,"0,18","0,072",0253074016532,,,,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,+4%,+3%,+13%,+4%,-100%,-100%,-2%,-76%,-76%,0,-100%,B,-100%,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
79,Frozen shrimp black tiger hlso,['France'],[],[],?,82,343 kj(82 kcal),"0,87","0,3","0,93","0,58","17,79","0,51","0,204",5413270190183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Soufflés de maïs,['France'],[],[],?,521,2180 kj(521 kcal),30,15,56,"4,1","5,4",1,"0,4",5941868203712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Korean 6 Year Red Ginseng Extract Royal Plus 100%,['France'],[],[],?,5,21 kj(5 kcal),1,1,0,0,0,0,0,8809332391204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Brandade de morue La Belle des mers,['France'],[],[],?,363,1519 kj(363 kcal),"33,03","2,57","0,74","0,37","15,75","1,52","0,608",3288377360003,,,,,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",33 g,en quantité élevée,2.57 g,en quantité modérée,0.37 g,en faible quantité,1.52 g,en quantité élevée,,+64%,+65%,+99%,+22%,-91%,-48%,+132%,+74%,+74%,12,+183%,D,+183%,,,,E,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,
83,Bisque de homard,['France'],[],[],?,38,159 kj(38 kcal),"2,1","0,5",3,0,"1,4","1,05","0,42",3251870004545,,,,,"['Produits de la mer', 'Bisques de homard']",2.1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,1.05 g,en quantité modérée,,-31%,-32%,-20%,-41%,-16%,-100%,-54%,-6%,-6%,4,+17%,C,+17%,,"['FR 13.078.002 CE', 'Port-Saint-Louis-du-Rhône (Bouches-du-Rhône, France)']",,,,,,,,,,,,,,,,
84,Escalope de dinde bio,['France'],[],[],?,?,,?,,?,,?,,,2448387045463,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,
