,name,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,bar_code,generic_name,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,additives,allergens,brand_owner,manufacturing,link
601,Tomatensauce mit frischem Basilikum - Krini,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,4002015594020,,,['Glas'],['Krini'],"['Epicerie', 'Sauces', 'Sauces tomate']",,,,,,,,,,,,,,,,,,,,,,,,,,A,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,
602,Bio,['France'],[],[],?,156,653 kj(156 kcal),"8,2","2,3",0,0,21,"1,4","0,56",2448435057202,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,
603,Aiguillettes de poulet - La Nouvelle Agriculture,['France'],[],[],?,440,1841 kj(440 kcal),"1,3","0,4",0,0,23,"0,11","0,044",0213329023555,,,,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,+249%,+251%,-30%,-16%,-100%,-100%,+1%,-75%,-75%,0,,B,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
604,Erika,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Pain nordique,['France'],[],[],?,?,,?,,?,,?,,,3091550000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,First Sensations,['France'],[],[],?,?,,?,,?,,?,,,7622210679116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Bacon fumé,['France'],[],[],?,216,904 kj(216 kcal),"15,9","7,4","4,4","2,2","13,73",3,"1,2",8436049654058,,,,,"['Viandes', 'Porc', 'Bacon', 'Bacon fumé']",15.9 g,en quantité modérée,7.4 g,en quantité élevée,2.2 g,en faible quantité,3 g,en quantité élevée,,+65%,+65%,+327%,+417%,+478%,+238%,-38%,+10%,+10%,19,+67%,E,+67%,['en:gluten-free'],,,,,,,,,,,,,,,,,
608,Baguette céréales,['France'],[],[],?,?,,?,,?,,?,,,0209347019359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Cardamome verte entière - Espig - 50g,['France'],[],[],?,?,,?,,?,,?,,,3102870002065,,50 g,,['Espig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Galettes de pommes de terre,['France'],[],[],?,264,1105 kj(264 kcal),"16,6","1,9",24,"0,6","3,5","0,94","0,376",2415672020795,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
