,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,traceability_code,packaging,additives,allergens,nova_score,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,brand_owner,generic_name,link
1528,Piemontaise au jambon - Casino,29026517,['France'],[],[],?,113,473 kj(113 kcal),"6,1","0,7","8,8",1,"4,9","1,3","0,52",,['Casino'],,,,,,C,"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats au porc', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises', 'Salades piémontaises au jambon']",6.1 g,en quantité modérée,0.7 g,en faible quantité,1 g,en faible quantité,1.3 g,en quantité modérée,,-25%,-24%,-43%,-32%,+6%,+38%,+20%,+31%,+31%,3,-11%,C,-11%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,,['Casino'],,,,,
1529,Doony's assortis x5,0202145026178,['France'],[],[],?,404,1690 kj(404 kcal),21,10,46,22,"6,3","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Trafilata al bronzo - 500g,8033020380380,['France'],[],[],?,356,1490 kj(356 kcal),"1,5","0,3","72,2",3,12,"0,007","0,003",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Appareil à barbe à papa,3611730002119,['France'],[],[],?,253,1059 kj(253 kcal),1,"0,1",3,"1,8","1,9",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Saucisson médaille d'or,2434097048672,['France'],[],[],?,329,1377 kj(329 kcal),24,"9,9",0,0,27,"4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Jus de pomme pétillant,3770003987697,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme', 'Jus de pomme pétillants']",,,,,,,,,,,,,,,,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,
1534,Salami pur porc - Fleury Michon - 70g,,['France'],"['porc', 'illisible ?', 'conservateur : E262,', 'illisible ?']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,70 g,['Fleury Michon'],,,['E262 - Acétates de sodium'],,3,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis', ""Produits vendus avant l'an 2000"", 'Produits vendus dans les années 1960']",,,,,,,,,,,,,,,,,,,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,
1535,Filet de poulet,2487391031888,['France'],[],[],?,154,644 kj(154 kcal),"1,8","0,5","0,5",0,23,"0,13","0,052",,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,,+18%,+19%,-38%,-33%,+4%,-100%,+1%,-83%,-83%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
1536,Galzin paillasse,0260794013451,['France'],[],[],?,256,1071 kj(256 kcal),"1,2","0,38","51,3","1,9","8,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Lays Chips salted - Lay's,5290052001697,['France'],[],[],?,539,2255 kj(539 kcal),35,"2,8","47,6","0,6","6,3","1,4","0,56",,"[""Lay's""]",,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",35 g,en quantité élevée,2.8 g,en quantité modérée,0.6 g,en faible quantité,1.4 g,en quantité modérée,,+2%,+2%,+7%,-9%,-7%,-57%,+6%,+8%,+8%,14,+24%,D,+24%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,
1538,Rillettes de volaille,937799,['France'],[],[],?,489,2046 kj(489 kcal),46,14,"1,4","0,2",17,"1,8","0,72",,,,,,,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille']",46 g,en quantité élevée,14 g,en quantité élevée,0.2 g,en faible quantité,1.8 g,en quantité élevée,,+29%,+29%,+33%,+23%,+162%,-28%,+4%,+37%,+37%,23,+22%,E,+22%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
1539,Saucisson sec skin,2498733031886,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Royco Minute Soup - Gratinée à l'oignon,3036810020263,['France'],[],[],?,41,172 kj(41 kcal),"1,4","0,7","6,5",1,"0,6","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,L'apérp d'Achille LOMO,3660071009837,['France'],[],[],?,191,799 kj(191 kcal),8,"3,2","0,8","0,8",29,"4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Confiture sublim'bio fraise,3469676013108,['France'],[],[],?,154,644 kj(154 kcal),"0,2","0,2",37,37,1,"0,5","0,2",,,,,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0.2 g,en faible quantité,0.2 g,en faible quantité,37 g,en quantité élevée,0.5 g,en quantité modérée,,-29%,-29%,-17%,+343%,-30%,-27%,+126%,+2103%,+2103%,6,-31%,C,-31%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE']",,,,,,
1543,Melange sportif,2600688037855,['France'],[],[],?,484,2025 kj(484 kcal),30,"2,2",31,30,17,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,P'tite tome du Tarn,2856681037983,['France'],[],[],?,242,1013 kj(242 kcal),"26,4","18,5","1,6",0,"24,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Crema di pecorino con tartufo,8025175001920,['France'],[],[],?,245,1025 kj(245 kcal),"20,8","12,9",0,0,"14,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Feuilletés Pintade - Française de Gastronomie - 200g,3576280233539,['France'],[],[],?,290,1213 kj(290 kcal),18,"8,3",23,"3,5",8,"0,7","0,28",200 g,['Française de Gastronomie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Cheesecake,2007357013552,['France'],[],[],?,275,1151 kj(275 kcal),"15,5","8,6","31,5","23,1","2,9","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Ris de Veau Sauce au foie gras de canard et aux cèpes - Biraben,3292320043318,['France'],[],[],?,90,377 kj(90 kcal),7,"2,3","1,5","0,9","5,7","1,06","0,424",,['Biraben'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Crème dessert au chocolat,3760050830060,['France'],[],[],?,?,,?,,?,,?,0,0,,,"['FR 19.111.002 CE', 'Laval-sur-Luzège (Corrèze, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Filets bio de Poulet,2456030047825,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",,,,,,
1551,Gigembre moulu,3760199921100,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,Corte Padana aceto balsamico di modena,8056040760833,['France'],[],[],?,196,820 kj(196 kcal),0,0,48,46,"1,04",0,0,,,,,,,,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",0 g,en faible quantité,0 g,en faible quantité,46 g,en quantité élevée,0 g,en faible quantité,,+33%,+33%,-100%,-100%,+51%,+58%,+56%,-100%,-100%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,['Italie'],,,,
1553,Poiré d'artisan,3770001669847,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Brioche,0207209022899,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Pickles - Anda,5412541104652,['France'],[],[],?,43,180 kj(43 kcal),"0,4","0,1","9,3","5,8","0,6","2,65","1,06",,['Anda'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Jambon blanc superieur,0214722011224,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon cuit supérieur']",,,,,,,,,,,,,,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,
1557,Bande flan,2644988026249,['France'],[],[],?,214,895 kj(214 kcal),"8,7","5,6","29,8","17,8","3,9","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Le jus français,2297740583506,['France'],[],[],?,43,180 kj(43 kcal),"0,4","0,09",10,10,"0,49","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
