,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,traceability_code,packaging,additives,allergens,nova_score,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,brand_owner,generic_name,link
0,Organic Tom Yum Spices,8859060301006,['France'],[],[],?,40,167 kj(40 kcal),0,0,8,1,1,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Charbon végétal - 90g,3535400023559,['France'],[],[],?,?,,?,,?,,?,,,90 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Preparado para sopa juliana - Santiveri,8412170003156,['France'],[],[],?,373,1561 kj(373 kcal),"2,2","0,3","69,7","22,8","12,3","0,3","0,12",,['Santiveri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Medaillon de chevre,3760007488153,['France'],[],[],?,291,1218 kj(291 kcal),23,"16,1",1,1,20,"1,5","0,6",,,"['FR 26.362.001 CE', 'Valence (Drôme, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mélange sambahia,2600223017847,['France'],[],[],?,465,1946 kj(465 kcal),18,"6,6","65,9","12,7",8,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Premium,3700103803399,['France'],[],[],?,?,,?,,?,,?,,,,,"['EMB 82103A', 'Marignac (Tarn-et-Garonne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Salade,  œuf poché",3399130020970,['France'],[],[],?,114,477 kj(114 kcal),"5,1","0,8","8,5","1,1","6,6","0,26","0,104",,,"['EMB 60139A', 'Chambly (Oise, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Asda,27533024,['France'],"['Sultanas ', '19%', 'Sugar', 'Fortified Wheat Flour [Wheat Flour', 'Calcium Carbonate', 'Iron', 'Niacin ', 'B3', 'Thiamin ', 'B1', ']', 'Cider', 'Raisins ', '8%', 'Rum ', '5% ', 'Palm Oil', 'Glacé Cherries ', '4%', ' [Cherries', 'Glucose-Fructose Syrup', 'Colour ', 'Anthocyanins', 'Acidity Regulator ', 'Citric Acid', ']', 'Cognac Brandy ', '4%', 'Single Cream ', 'Milk', 'Candied Citrus Peel [Orange Peel', 'Glucose Syrup', 'Lemon Peel', 'Sugar', 'Acidity Regulator ', 'Citric Acid', ']', 'Currants ', '2 %', 'Walnuts ', '2%', 'Almonds ', 'Nut', ' ', '2%', 'Sherry ', '2%', 'Brandy', 'Treacle', 'Pecan Nuts', 'Barley Malt Extract', 'Salt', 'Mixed Spices [Coriander', 'Cinnamon', 'Cloves', 'Fennel', 'Ginger', 'Nutmeg', 'Cardamom]', 'Yeast', 'Orange Oil']","['Huile de palme', 'Non végétalien']",?,?,,?,,?,,?,,,,['Asda'],,['card-box'],"['E163 - Anthocyanes', 'E330 - Acide citrique']","['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Asda,27533048,['France'],"['Sultanas ', '19%', 'Sugar', 'Fortified Wheat Flour [Wheat Flour', 'Calcium Carbonate', 'Iron', 'Niacin ', 'B3', 'Thiamin ', 'B1', ']', 'Cider', 'Raisins ', '8%', 'Rum ', '5%', 'Palm Oil', 'Glacé Cherries ', '4%', ' [Cherries', 'Glucose - Fructose Syrup', 'Colour ', 'Anthocyanins', 'Acidity Regulator ', 'Citric Acid', ']', 'Cognac Brandy ', '4%', 'Single Cream ', 'Milk', 'Candied Citrus Peel [Orange Peel', 'Glucose Syrup', 'Lemon Peel', 'Sugar', 'Acidity Regulator ', 'Citric Acid', ']', 'Almonds ', 'Nut', ' ', '2%', 'Currants ', '2%', 'Walnuts ', '2%', 'Sherry ', '2%', 'Brandy', 'Treacle', 'Pecan Nuts', 'Barley Malt Extract', 'Salt', 'Mixed Spices [Coriander', 'Cinnamon', 'Cloves', 'Fennel', 'Ginger', 'Nutmeg', 'Cardamom]', 'Yeast', 'Orange Oil']","['Huile de palme', 'Non végétalien']",?,?,,?,,?,,?,,,,['Asda'],,,"['E163 - Anthocyanes', 'E330 - Acide citrique']","['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pastille chocolat 4 couleurs,3102870048254,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Barbecue sauce,5420058018225,['France'],[],[],?,162,678 kj(162 kcal),"0,1",0,"39,8","39,5","0,3","2,5",1,,,,,,,,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",0.1 g,en faible quantité,0 g,en faible quantité,39.5 g,en quantité élevée,2.5 g,en quantité élevée,,+4%,+3%,-90%,-100%,+28%,+51%,-67%,+24%,+24%,20,+38%,E,+38%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,
11,Boulettes de volaille,0240224111711,['France'],[],[],?,239,1000 kj(239 kcal),"16,2","3,6","8,2","3,8","14,6","1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Spirulina tablets,8718774009663,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,E,"['Compléments alimentaires', 'Spiruline']",,,,,,,,,,,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,
13,Skinny Coffee Club 28 Days Weight Loss Programme,5060511790000,['France'],[],[],?,319,1335 kj(319 kcal),13,"5,9","3,6","1,5",16,"0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jambon blanc,0200483003059,['France'],[],[],?,1000,4184 kj(1000 kcal),"0,5","0,1",85,29,"0,6","10,6","4,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
15,Souris d'agneau fondante,0206076048025,['France'],[],[],?,150,628 kj(150 kcal),"7,1","3,1","1,1","0,6",21,"0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],,,,,
16,Süt diyarı piknik çiftlik peyniri,5701638139876,['France'],[],[],?,300,1255 kj(300 kcal),28,20,"0,5","0,5",12,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fromage OSSAU IRATY AOP,2488648030708,['France'],[],[],?,450,1883 kj(450 kcal),38,25,0,0,25,2,"0,8",,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",38 g,en quantité élevée,25 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,+7%,+7%,+6%,+1%,-100%,-100%,+6%,+13%,+13%,18,+2%,D,+2%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,,,
18,Petekli bal - Baktat,8690804333378,['France'],[],[],?,?,,?,,?,,?,,,,['Baktat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Rochers pralines,3760176531742,['France'],[],[],?,554,2318 kj(554 kcal),"33,18","14,51","50,14","42,56","7,84","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
20,Râpé Spécial Pizza - 200g,3760249768969,['France'],[],[],?,207,866 kj(207 kcal),12,11,24,"0,1","0,5",2,"0,8",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Torte In Festa Panna & Cioccolato 400G - Balocco,8001100064697,['France'],[],[],?,400,1674 kj(400 kcal),18,"7,6",50,29,"6,8","0,48","0,192",,['Balocco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,
22,Quiche Lorraine,3760275111135,['France'],[],[],?,319,1335 kj(319 kcal),22,11,14,"1,4",16,"1,9","0,76",,,,,,,,D,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",22 g,en quantité élevée,11 g,en quantité élevée,1.4 g,en faible quantité,1.9 g,en quantité élevée,,+21%,+21%,+35%,+26%,-27%,-39%,+72%,+83%,+83%,21,+48%,E,+48%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,,,,,
23,Yaourt nature sur fruits - 2x 125g,3483130801292,['France'],[],[],?,85,356 kj(85 kcal),"2,2","1,4",13,13,"3,4","0,1","0,04",2 x 125 g,,"['FR 44.087.001 CE', 'Machecoul (Loire-Atlantique, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Taiwan Dessert Pie Cookies With Mochi - Honey Butter (8 Pieces) - 160g,4711931030535,['France'],[],[],?,84,351 kj(84 kcal),4,2,13,5,1,"0,055","0,022",160 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Coffret manette de jeu 140g moulage chocolat au lait décoré - 38140g,3700843521591,['France'],[],[],?,577,2414 kj(577 kcal),38,23,53,53,"5,6","0,16","0,064",38140 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sauce epicee piquante sichuan,0078895147018,['France'],[],[],?,127,531 kj(127 kcal),"5,3","0,9",13,10,"3,6","10,1","4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Mayonnaise au basilic,5425036890596,['France'],[],[],?,720,3012 kj(720 kcal),77,"6,3","4,5","4,1","1,5","1,9","0,76",,,,,,,,D,"['Epicerie', 'Sauces', 'Mayonnaises']",77 g,en quantité élevée,6.3 g,en quantité élevée,4.1 g,en faible quantité,1.9 g,en quantité élevée,,+17%,+18%,+16%,+2%,+67%,+181%,+22%,+43%,+43%,22,+23%,E,+23%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,
28,Coquill'Othe Bio,3760290870000,['France'],[],[],?,350,1464 kj(350 kcal),"1,6","0,37","73,2","4,9","10,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
29,Lait nourisson - Gallia,3041091254207,['France'],[],[],?,314,1314 kj(314 kcal),4,"1,5","7,5","6,1",2,"0,07","0,028",,['Gallia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,
30,Compote pomme banane - Andros,3608580859055,['France'],[],[],?,?,,?,,?,,?,,,,['Andros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Pâte à tartiner - 200g,3760108370074,['France'],[],[],?,511,2138 kj(511 kcal),27,4,54,50,11,"0,05","0,02",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Huile d'olive vierge -,3760178640152,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
33,Chocobar,0239654012798,['France'],[],[],?,288,1205 kj(288 kcal),12,8,41,31,"2,9","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,knusper-Elche - Bofrost,0081669013259,['France'],[],[],?,256,1071 kj(256 kcal),13,"1,3","18,6","1,3","15,1","0,58","0,232",,['Bofrost'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Salami Fumé Windau,20252502,['France'],[],[],?,439,1837 kj(439 kcal),39,16,1,"0,8","20,7",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Ginger honey,8717677038060,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,6","4,6","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Saucisses nature de volaille bio - 250g,2444012038831,['France'],[],[],?,136,569 kj(136 kcal),"6,2","1,7","0,7","0,7",19,"1,8","0,72",250 g,,,,,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",6.2 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,1.8 g,en quantité élevée,,-24%,-25%,-47%,-53%,-44%,+34%,+15%,+1%,+1%,4,-59%,C,-59%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,['Bio'],,,,,,
38,Flavour your f.i.z.z.,5060395820886,['France'],[],[],?,0,0 kj(0 kcal),"0,4","0,4","21,8",0,0,"16,4","6,56",,,,['Pastille'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Rooibos vert tchai,3558421312631,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Rooibos']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,
40,Beignets choco noisettes,2030000021499,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bonbons caramel lait aux amandes,3760109020220,['France'],[],[],?,407,1703 kj(407 kcal),5,"0,5","86,5","83,6","2,5","0,02","0,008",,,,,,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",5 g,en quantité modérée,0.5 g,en faible quantité,83.6 g,en quantité élevée,0.02 g,en faible quantité,,+14%,+14%,+169%,-53%,+4%,+44%,+18%,-83%,-83%,15,+4%,D,+4%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
42,Deco gateaux - Tesco,32175868,['France'],[],[],?,401,1678 kj(401 kcal),"1,3",1,97,"96,4","0,1","0,1","0,04",,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tesco'],,,,,
43,Emmental Français - 363g,0270402034501,['France'],"[""LAIT de vache issu de l'agriculture biologique sel "", 'ferments lactiques']",[],1507,?,1507 kj(360 kcal),29,20,"0,5","0,5",25,"0,8","0,32",363g,,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",['Plastique'],,['Lait'],3,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,-3%,,-5%,-2%,+1%,-18%,+6%,-10%,+36%,+36%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['Biocoop'],['France'],['France'],,,
44,Baguettine tradition 5 graine 125 gr,0201132003284,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Concentré saveur Limonade Zéro - Sodastream - 500ml,4290566780751,['France'],[],[],0,0,0 kj(0 kcal),0,0,0,0,0,"0,63","0,252",500 ml,['Sodastream'],,"['Bouteille', 'Plastique']",,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Boissons concentrées', 'Préparations pour boissons']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.03 g,en quantité modérée,-100%,-100%,-100%,-100%,,-100%,-100%,-100%,+39%,+39%,0,-100%,B,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,
46,Cono con surtido de golosinas - Fini,8410525240294,['France'],[],[],?,450,1883 kj(450 kcal),17,14,67,31,6,12,"4,8",,['Fini'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,
47,Poche 1kg pomme opal jaune,3760091201973,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Pain choco tournesol,0208524019618,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,,,,,,,,,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,
49,Verveine citronnée,3456300006896,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Végétarien', 'Végétalien', 'AB Agriculture Biologique']",,,,,,
50,Prosciutto cotto,2302349102772,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,['Sachet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ar-Men Rousse,3760010130247,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Boerenkaas belegen,2303216003758,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tagliatelle paglia e fieno all'uovo huevos frescos - El Corte Ingles,8433329094818,['France'],[],[],?,382,1598 kj(382 kcal),"5,1","1,6",67,"2,5",15,"0,16","0,064",,['El Corte Ingles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Fizzy bats,8710497961150,['France'],[],[],?,329,1377 kj(329 kcal),"0,2","0,2","76,3","62,7","5,5","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pâté de foie de volaille,3576620008100,['France'],[],[],?,523,2188 kj(523 kcal),54,22,13,"0,7",8,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
56,Fromage pasteurisé en saumure,26065533,['France'],[],[],?,271,1134 kj(271 kcal),24,16,"0,7","0,7",13,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,viande bovine - Carrefour,0204294057331,['France'],[],[],?,?,,?,,?,,?,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,
58,Honey - Fortnum & Mason,5053826649712,['France'],[],[],?,?,,?,,?,,?,,,,['Fortnum & Mason'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,pâte a sucre marron,5010301328708,['France'],[],[],?,402,1682 kj(402 kcal),"9,6","5,3",79,77,1,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Pâte a sucre blanche,5010301328395,['France'],[],[],?,400,1674 kj(400 kcal),"5,6","3,3",88,81,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Orezza Menthe,3700088900175,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Thé vert gingembre,4012584546115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Saucisse toulouse,0261382027096,['France'],[],[],?,210,879 kj(210 kcal),"15,1","6,2","2,1",0,"16,5","1,5","0,6",,,"['FR 33.036.007 CE', 'Bazas (Gironde, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Thé de Noël,3700968100497,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Flan nature,2050506504302,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,B,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Flans gélifiés', 'Flans pâtissiers']",,,,,,,,,,,,,,,,,,,,,,,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,,,,,,
66,Herbes de provence,5711812000373,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Pâté au piment d'Espelette -,0234988018966,['France'],[],[],?,385,1611 kj(385 kcal),36,"12,5","1,4","0,4",13,"0,85","0,34",,,,,,,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses']",36 g,en quantité élevée,12.5 g,en quantité élevée,0.4 g,en faible quantité,0.85 g,en quantité modérée,,+31%,+33%,+47%,+35%,-20%,-49%,-13%,-56%,-56%,17,-10%,D,-10%,,,,,,,,,,,,,,
68,Decoupe poulet blanc,0263216067698,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Harina de trigo especial cocina - Villamayor,8435209200029,['France'],[],[],?,351,1469 kj(351 kcal),"1,2","0,2",75,"1,3","8,6","0,03","0,012",,['Villamayor'],,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",1.2 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en faible quantité,0.03 g,en faible quantité,,+2%,+2%,-10%,-15%,+8%,-15%,-21%,+26%,+26%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,
70,Jambon des papes en tranches,2286103025913,['France'],[],[],?,226,946 kj(226 kcal),11,4,"0,8",0,31,6,"2,4",,,"['FR 84.007.006 CE', 'Avignon (Vaucluse, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,
71,Nectar myrtille,3770007299345,['France'],[],[],?,58,243 kj(58 kcal),"0,178","0,016","13,56","13,55","0,029","0,007","0,003",,,,,,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de myrtilles']",0.178 g,en faible quantité,0.016 g,en faible quantité,13.6 g,en quantité élevée,0.007 g,en faible quantité,,,+0%,-5%,-38%,-0%,+9%,-88%,,,19,,E,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
72,Actimel - Danone,5900643039236,['France'],[],[],?,74,310 kj(74 kcal),"2,8",1,"11,3","11,1","1,5","0,1","0,04",,['Danone'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Epaule fumée cuite standard avec os,3276230016440,['France'],[],[],?,149,623 kj(149 kcal),"8,5","3,3","2,5","2,5","15,5","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Noir 75%oranges confites - Grain de Sail,3760226261186,['France'],[],[],?,507,2121 kj(507 kcal),33,21,40,36,7,"0,11","0,044",,['Grain de Sail'],,,,,,C,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', ""Chocolats noirs à l'orange""]",33 g,en quantité élevée,21 g,en quantité élevée,36 g,en quantité élevée,0.11 g,en faible quantité,,-4%,-4%,-4%,+1%,-8%,-3%,+4%,+183%,+183%,23,+7%,E,+7%,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,,,,,,,
75,Poulet fumé - Leader Price,2647550057276,['France'],[],[],?,162,678 kj(162 kcal),"8,3","2,3",0,0,22,2,"0,8",,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,
76,Chocolate Seashells,5413216990044,['France'],[],[],?,562,2351 kj(562 kcal),"34,6","22,3","57,8","56,8",4,"0,1","0,04",,,,,,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",34.6 g,en quantité élevée,22.3 g,en quantité élevée,56.8 g,en quantité élevée,0.1 g,en faible quantité,,+6%,+6%,+8%,+28%,+10%,+20%,-32%,-35%,-35%,27,+11%,E,+11%,,,,,,,,,,,,,,
77,Caisse à outils,5902455507880,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Brown soda bread,5099630250997,['France'],[],[],?,239,1000 kj(239 kcal),"2,45","0,32",43,"4,2","8,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Apéro boule,0779998009424,['France'],[],[],?,418,1749 kj(418 kcal),11,"1,3",66,"2,7",12,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'DE-ÖKO-060', 'Sans sucre ajouté', 'Sans conservateurs']",,,,,,
80,Haut de cuisse de poulet rôti,2255956010896,['France'],[],[],?,200,837 kj(200 kcal),13,"3,9",0,0,20,"1,1","0,44",,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",13 g,en quantité modérée,3.9 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,,+5%,+4%,+5%,+16%,-100%,-100%,+9%,+45%,+45%,4,+13%,C,+13%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
81,Amande Amère,3176800021273,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Fougatreats,3583782620071,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Magret de canard cru du sud-ouest sous vide,0219007035551,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,
