,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,packaging,additives,allergens,ingredients_origins,manufacturing,palm_ingredients,generic_name,brand_owner,link,producer_info,origin_detail
1464,Cuisses de canette farcies morilles et cognac - Toupargel,3435660757723,,['France'],[],[],?,230,962 kj(230 kcal),17,"5,5","1,3","0,6",17,"0,6","0,24",['Toupargel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Pave MM 062MM05P - Ramou-Metivier 86500 Montmorillon - 40g,76143232,,['France'],[],[],?,?,,?,,?,,?,,,['Ramou-Metivier 86500 Montmorillon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40g,,,,,,,,,,,,,
1466,Whisky,3575000000000,,['France'],[],[],?,579,2423 kj(579 kcal),42,16,37,36,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Luxury,8719189419672,,['France'],[],[],?,534,2234 kj(534 kcal),"33,6","33,6","58,95",30,"4,24",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,100% pur jus d'orange - Leader Price,2263835453368,,['France'],[],[],?,42,176 kj(42 kcal),0,0,10,"9,5","0,6",0,0,['Leader Price'],D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,,-2%,-3%,-100%,-100%,+3%,+4%,-5%,-100%,-100%,3,+1%,C,+1%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['Leader Price'],,,,,,,,,,,
1469,nougat aux marrons - G.Savin - 35g,3486729003510,['Fabrication artisanale'],['France'],"['sucre amandes', ' 20%', ',sirop de glucose,Brisures de marrons confits ', '15%', ',miel,hostie', 'fécule de pommes de terre 92%,aux huiles végétales', "",blancs d'oeufs,arôme naturel de vanille""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,421,1761 kj(421 kcal),7,"0,057",84,64,"0,346","0,029","0,012",['G.Savin'],,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France']",4,7 g,en quantité modérée,0.057 g,en faible quantité,64 g,en quantité élevée,0.029 g,en faible quantité,,-6%,-6%,-55%,-97%,+24%,+13%,-95%,-42%,-42%,15,-6%,D,-6%,,,,,,,,35 g,['0509090918'],,['Plastique'],,['Œufs'],['France'],['Montélimar'],,,,3 486729 003510,,
1470,Feuille de patate douce,3760046825896,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Kasza gryczana,5902609002278,,['France'],[],[],?,187,782 kj(187 kcal),"1,6","0,3",31,"0,8","6,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Préparation okonomiyaki - 200g,4901760433199,,['France'],[],[],?,338,1414 kj(338 kcal),"2,1","0,4","69,9","69,9","10,1","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,['Sachet'],,,,,,,,,,
1473,Cuisse de pintade farce cèpes et bolets,3460200775240,,['France'],[],[],?,159,665 kj(159 kcal),"8,5","3,3",2,"0,5",19,"0,74","0,296",,,"['Viandes', 'Volailles']",,8.5 g,en quantité modérée,3.3 g,en quantité modérée,0.5 g,en faible quantité,0.74 g,en quantité modérée,,0%,-0%,+33%,+88%,-10%,-5%,-7%,-18%,-18%,2,-14%,B,-14%,,,,,,,,,"['FR 10.192.003 CE', 'Lentilles (Aube, France)']",,,,,,,,,,,,
1474,Grains de café enrobé de chocolat,,,['France'],[],[],?,465,1946 kj(465 kcal),24,14,53,47,"5,5","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
