,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,packaging,additives,allergens,ingredients_origins,manufacturing,palm_ingredients,generic_name,brand_owner,link,producer_info,origin_detail
0,Brioche des rois,3173310022820,['Sans additifs'],['France'],[],[],?,363,1519 kj(363 kcal),"16,5","11,9","50,4","15,1",0,"0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Café Goût Corsé CAFES RUTHENA, paquet de",3415171010203,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Darjeeling F.O.P. - Comptoir français du Thé,3700476830497,['IGP'],['France'],[],[],?,?,,?,,?,,?,,,['Comptoir français du Thé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ananas,3278730003074,,['France'],[],[],?,21,88 kj(21 kcal),"0,8","0,8","5,3","5,3","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Edam jeune,0208853020798,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Confiture de framboise - Le Crétin des Alpes,3770008919303,,['France'],"['Framboise', 'sucre', ' Préparée avec 55 gr de fruits pour 100 gr']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,216,904 kj(216 kcal),"0,5",0,"51,3","50,7","0,7","0,01","0,004",['Le Crétin des Alpes'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",3,0.5 g,en faible quantité,0 g,en faible quantité,50.7 g,en quantité élevée,0.01 g,en faible quantité,,-4%,-4%,+85%,-100%,-4%,-1%,+4%,-53%,-53%,11,+24%,D,+24%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,,,
6,Ti Zan Zen Minceur,2504881001487,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pain d’épices pur miel d’ici - La miellerie comté - 225g,3770008105232,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,['La miellerie comté'],B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,,,,,,,,,,,,,,,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,225g,,,,,,,,,,,,,
8,Nu smoothie,30294066,,['France'],[],[],?,58,243 kj(58 kcal),"0,3",0,13,13,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sprite,4890008110308,,['France'],[],[],?,44,184 kj(44 kcal),0,0,"10,8","10,8",0,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Dragees chocolat fruit cetide,3266054129013,,['France'],[],[],?,485,2029 kj(485 kcal),26,16,56,49,5,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Complexe nigelle propolis,3401560092448,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 cailles farcies - Maître Coq,0215284107585,,['France'],[],[],?,219,916 kj(219 kcal),15,"3,8","2,6","2,1",18,"0,39","0,156",['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Confit de canard,2638003032995,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['FR 24.634.001 CE'],,,,,,,,,,,,
14,Gelée Framboise,3760252202283,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pois chiche de haute provence,3760033160030,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jus de pomme - Le Potager du Roi - 75cl,0200401100006,,['France'],[],[],?,43,180 kj(43 kcal),"0,8",0,"10,47","10,47","0,5",0,0,['Le Potager du Roi'],C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,0.8 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,0 g,en faible quantité,,-7%,-6%,+388%,-100%,-4%,+2%,+135%,-100%,-100%,3,-27%,C,-27%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,75 cl,,,,,,,,,,,,,
17,Ivoria SCHT Moulage+surp,3250390188667,,['France'],[],[],?,495,2071 kj(495 kcal),24,16,66,62,"4,5","0,15","0,06",['Ivoria'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Farines boulangere,3439495107548,,['France'],[],[],?,345,1443 kj(345 kcal),"1,2","0,2",72,"2,1","8,9","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Les Petits Rôtis du chef,3435660740312,,['France'],[],[],?,220,920 kj(220 kcal),15,"4,7","2,7","0,9",18,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,raisinq sec chili noir - 200g,3701178700316,,['France'],[],[],?,308,1289 kj(308 kcal),"0,5",0,"66,4","59,2","2,99",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,
21,Campagne aux noix,0221010011156,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Filet se poulet  roti,3304030000021,,['France'],[],[],?,89,372 kj(89 kcal),"1,1","0,4","1,6","1,6","18,2","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sacla Italia Bruschettina,8001060008465,,['France'],[],[],?,119,498 kj(119 kcal),"8,2","1,2","7,3","7,3","1,8","1,5","0,6",['Sacla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pains au chocolat,,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,
25,Chair de crabe royal,3019895490442,,['France'],[],[],?,374,1565 kj(374 kcal),1,"0,1","1,8","0,5",18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Auchan,3596710460073,,['France'],[],[],?,?,,?,,?,,?,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,
27,Thé - 10g,5022032118534,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,10 g,,,,,,,,,,,,,
28,Farine de quinoa -,7753228000088,['en:gluten-free'],['France'],[],[],?,396,1657 kj(396 kcal),"7,2","0,77","67,9","2,4","14,9","0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de quinoa']",,7.2 g,en quantité modérée,0.77 g,en faible quantité,2.4 g,en faible quantité,0.01 g,en faible quantité,,+9%,+9%,+53%,+45%,+7%,+11%,+26%,,,-1,,A,,,,,,,,,,,,,,,,,,,,,,
29,Cannelle poudre bio - 100g,3700195160028,"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'FR-BIO-10']",['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",,,,,,,,,,,,,,,,,,,,,,,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,100 g,,,,,,,,,,,,,
30,Summo pêssego - 750ml,5601151973912,,['France'],[],[],?,48,201 kj(48 kcal),0,0,11,"9,5","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 ml,,,,,,,,,,,,,
31,Patate douce,3700651501488,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Acerola 1000 bio,3034640060251,"['Bio', 'Sans gluten']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Coup de pouce allaitement,3760216124705,['Fabriqué en France'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Amande Effilee 250G,",3276650122462,,['France'],[],[],?,613,2565 kj(613 kcal),"52,5",4,"8,8","4,6","21,4","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Emmenthal,3760268722027,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sachet', 'unite']",,,,,,,,,,
36,Paupiettes de dinde,2949626004628,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Frais'],,,,,,,,,,
37,Semoule de sarrasin complète - Moulin des moines - 500g,3347431853278,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],['Sarrasin*'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,339,1418 kj(339 kcal),"2,8",,65,,12,0,0,['Moulin des moines'],A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Gruau', 'Sarrasin', 'Gruau de sarrasin']",1,2.8 g,en faible quantité,,,,,0 g,en faible quantité,,-4%,-4%,-8%,,-3%,,+1%,-100%,-100%,,,,,68.4%,0.0%,15.2%,7.8%,8.6%,0.0%,95,500 g,,,['Sachet'],,,,,,,,,,
38,Pavés de saumon,3453020001248,,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,,,,,,,,,,,,,,,,,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
39,Pavés de lieu noir,3453020001354,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,
40,Lardons,3504901011143,,['France'],[],[],?,271,1134 kj(271 kcal),22,"8,3","1,51","0,6","16,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Magret de canard,3104542406553,,['France'],[],[],?,370,1548 kj(370 kcal),31,10,"2,7","1,3",20,"3,4","1,36",,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",,31 g,en quantité élevée,10 g,en quantité élevée,1.3 g,en faible quantité,3.4 g,en quantité élevée,,+9%,+9%,+6%,0%,+116%,+94%,+12%,+106%,+106%,23,+25%,E,+25%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
42,Confiture de lait au chocolat - Le Bois Jumel - 120g,3176630004217,,['France'],[],[],?,?,,?,,?,,?,,,['Le Bois Jumel'],B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,,,,,,,,,,,,,,,,,,,,,,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,120 g,,,,,,,,,,,,,
43,Tuiles - Kermani's brother - 500g,6260692400319,,['France'],[],[],?,?,,?,,?,,?,,,"[""Kermani's brother""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,
44,Côte d or (chocolat noir),7622210927880,,['France'],[],[],?,230,962 kj(230 kcal),36,22,47,44,"5,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Assortiment de fruits secs - Daco Bello,3270720014695,,['France'],[],[],?,?,,?,,?,,?,,,['Daco Bello'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5060093667813,5060093667813,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sauce béarnaise - Delouis,3258831001124,,['France'],[],[],?,270,1130 kj(270 kcal),27,17,"3,3","0,6","2,4","2,1","0,84",['Delouis'],D,"['Epicerie', 'Sauces', 'Sauces béarnaises']",,27 g,en quantité élevée,17 g,en quantité élevée,0.6 g,en faible quantité,2.1 g,en quantité élevée,,-39%,-37%,-39%,+202%,-32%,-75%,+105%,+30%,+30%,22,+35%,E,+35%,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,,,,,,,,,,,,,
48,Les minis feuilletés,3760166540839,,['France'],[],[],?,507,2121 kj(507 kcal),28,19,51,"1,2",13,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Olive Verte Farcie Saveur Crevette,8411578110541,,['France'],[],[],?,149,623 kj(149 kcal),"14,1","2,4","5,6","0,5","1,7","3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Lemon curd - Deluxe,20574109,,['France'],"['Lemon curd made with Sicilian lemon juice Ingredients Sugar', 'Free nge Egg', 'Salted Butter ', 'Butter Milk', ',Salt', '9% Concentrated Sicilian Lemon Juice ', 'contains Sulphites', ',Water', '0', '3% Sicilian Lemon Oil', 'Gelling Agent Agar']",['Non végétalien'],?,399,1669 kj(399 kcal),"17,9","11,7","56,7","48,7","2,6","0,43","0,172",['Deluxe'],,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Crèmes de fruits à tartiner', 'Crèmes de citron']",4,17.9 g,en quantité modérée,11.7 g,en quantité élevée,48.7 g,en quantité élevée,0.43 g,en quantité modérée,,+18%,+19%,+72%,+106%,-3%,-8%,+26%,+179%,+179%,25,+33%,E,+33%,,,,,,,,,,['Lidl'],,['E406 - Agar-agar'],['Anhydride sulfureux et sulfites'],,,,,,,,
51,Assortiment Cocktail Sale,3607221502589,['Fabriqué en France'],['France'],[],[],?,513,2146 kj(513 kcal),27,14,59,"4,2","7,6","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Galette frangipane,0201494032144,,['France'],[],[],?,415,1736 kj(415 kcal),29,16,31,"8,1","6,7","0,59","0,236",,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,29 g,en quantité élevée,16 g,en quantité élevée,8.1 g,en quantité modérée,0.59 g,en quantité modérée,,-2%,-1%,+10%,+8%,-20%,-37%,+6%,-15%,-15%,18,-6%,D,-6%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,
53,Tofu Snack tomates,3562070000474,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Confiture orange  pamplemousse - Cruzilles,3339900080889,,['France'],[],[],?,240,1004 kj(240 kcal),"< 0,3","< 0,06",58,57,"< 0,9","0,07","0,028",['Cruzilles'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",,0.3 g,en faible quantité,0.06 g,en faible quantité,57 g,en quantité élevée,0.07 g,en faible quantité,,+11%,+10%,+0%,+16%,+11%,+13%,+64%,+189%,+189%,11,+15%,D,+15%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
55,Farcito con créma gianuia e ricoperto,8009363006003,,['France'],[],[],?,425,1778 kj(425 kcal),20,12,52,26,"7,2","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Galette des rois,3250392622503,,['France'],[],[],?,471,1971 kj(471 kcal),"31,1","18,1","36,8",15,"7,7","0,56","0,224",,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,31.1 g,en quantité élevée,18.1 g,en quantité élevée,15 g,en quantité élevée,0.56 g,en quantité modérée,,+12%,+12%,+18%,+22%,-5%,+16%,+21%,-20%,-20%,20,+4%,E,+4%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,
57,Eau démaquillante - Dia,8480017038494,,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,['Dia'],,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Cadbury Milk Tray 180G - 180g,7622210763464,,['France'],[],[],?,518,2167 kj(518 kcal),27,15,64,57,"3,8","0,32","0,128",['Cadbury'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,,,,,,,,,,
59,Gâteaux au poivre,3760190004802,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Les haricot blanc lingots,3598960002822,,['France'],[],[],?,90,377 kj(90 kcal),2,"0,6","9,7","0,4","5,6","1,1","0,44",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Lingots blancs']",,2 g,en faible quantité,0.6 g,en faible quantité,0.4 g,en faible quantité,1.1 g,en quantité modérée,,-59%,-59%,+48%,+95%,-70%,-75%,-65%,+186%,+186%,2,,B,,,,,,,,,,,,,,,,,,,,,,
61,Huile Olive Hojiblanca,8422767111133,,['France'],[],[],?,828,3464 kj(828 kcal),92,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sardinhas Artesanal,5600214569062,,['France'],[],[],?,116,485 kj(116 kcal),"5,4","1,75","1,5","1,4","15,4","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Natur Aktiv Bio Raucherlachs - 100g,24051910,['Bio'],"['France', 'Italie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,,
64,Saucisson Pur Porc,2203742034441,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Midyat Bulgur,8691440305125,,['France'],[],[],?,347,1452 kj(347 kcal),"1,7","0,3","69,4","2,8",11,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Foie gras de canard entier du Périgord - Espinet,3416360007981,"['IGP', 'Sans nitrite de sodium']",['France'],"['Foie gras de canard du Périgord', 'Armagnac', 'sel', 'poivre']",[],?,528,2209 kj(528 kcal),"53,4","22,2","2,5","1,6","7,7","1,31","0,524",['Espinet'],B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",3,53.4 g,en quantité élevée,22.2 g,en quantité élevée,1.6 g,en faible quantité,1.31 g,en quantité modérée,,-0%,-0%,-2%,-4%,+5%,+21%,+2%,+9%,+9%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,,
67,Maquereau olives amandes,5600214569079,,['France'],[],[],?,197,824 kj(197 kcal),"13,7","2,48","2,5","0,2",16,"1,38","0,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Cassolettes lutées de velouté de potiron aux marron & épices de Noël - U - 2x 110g,3368952503688,['Transformé en France'],['France'],"['Potiron 37,9%', 'pâte feuilletée 20,9% ', 'farine de ble', 'eau', 'beurre', 'sel', 'protéines de ble', 'oeuf entier', 'lait entier en poudre', 'enzyme : protéase', 'creme fraîche', 'eau', 'marron cuit 9%', 'échalote', 'noisette hachée grillée 1,8%', 'huile d olive vierge extra', 'sel', 'épices 0,2% ', 'cannelle', 'coriandre', 'anis', 'cumin', 'gingembre', 'poivres', 'baie rose', ' présence éventuelle de moutarde']","['Sans huile de palme', 'Non végétalien']",909,218,909 kj(218 kcal),13,"7,5",20,"3,2","3,7","0,6","0,24","['U', 'U Saveurs']",,"['Surgelés', 'Entrées et snacks surgelés']",3,13 g,en quantité modérée,7.5 g,en quantité élevée,3.2 g,en faible quantité,0.6 g,en quantité modérée,-3%,-3%,-2%,+2%,+19%,+26%,+4%,-56%,-43%,-43%,8,-12%,C,-12%,,,,,,,,2 x 110 g,,['Magasins U'],['Surgelés'],['E1101 - Protéases'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,,,,,
69,Bûche pâtissière roulée,3700411902951,,['France'],[],[],?,418,1749 kj(418 kcal),21,11,51,35,"3,3","0,3","0,12",,D,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Pâtisseries', 'Bûches de Noël', 'Bûches pâtissières']",,21 g,en quantité élevée,11 g,en quantité élevée,35 g,en quantité élevée,0.3 g,en quantité modérée,,+16%,+15%,+11%,-1%,+19%,+14%,-14%,+39%,+39%,23,+19%,E,+19%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,,,,,,,,,,,
70,En cas du guide,3700422261849,,['France'],[],[],?,207,866 kj(207 kcal),16,"3,8","9,5","4,8","7,3","0,749","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Boule Terriou,3760029429462,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Foie gras de canard entier du Sud-Ouest - Larnaudie - 280g,3113010145238,"['IGP', 'Point Vert', 'en:saveurs-de-l-annee-france', 'Sans nitrite de sodium', ""Saveurs de l'Année 2018""]",['France'],"['Foie gras de canard', 'sel de Guérande', 'Viel Armagnac ', '0,5%', 'poivre de Sarawak ', '0,2%', 'sucre']","['Non végétalien', 'Non végétarien']",?,561,2347 kj(561 kcal),58,"23,3","2,3","1,6","7,5","0,95","0,38",['Larnaudie'],A,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",3,58 g,en quantité élevée,23.3 g,en quantité élevée,1.6 g,en faible quantité,0.95 g,en quantité modérée,,+6%,+6%,+7%,+1%,-5%,+19%,-1%,-21%,-21%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,280 g,,,"['Bocal', 'Verre']",,,,,,,,,,
73,Filets de poulet - Le Gaulois - 2,2424503056810,,['France'],[],[],?,?,,?,,?,,?,,,['Le Gaulois'],D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,2,,,,,,,,,,,,,
74,Melange de biscuits tartines,3760250160691,,['France'],[],[],?,375,1569 kj(375 kcal),"8,9","6,1","68,7","45,4","4,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Barre de nougat de Montelimar - Maferen Confiseur - 50g,3465170900661,,['France'],"['Sucre', 'amandes', 'miel', 'sirop de glucose ', 'sulfites', 'pistaches', 'pain azyme ', 'fécule de pomme de terre', 'eau', 'huile de tournesol', ""blancs d'oeufs"", 'arôme naturel vanille', ' Peut contenir des traces de fruits a coques ', 'noix', 'noisettes', 'pistaches', 'amandes', 'gluten', 'soja et lait']","['Sans huile de palme', 'Non végétalien']",?,427,1787 kj(427 kcal),15,"0,2",68,57,"6,9","0,56","0,224",['Maferen Confiseur'],E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats de Montélimar']",4,15 g,en quantité modérée,0.2 g,en faible quantité,57 g,en quantité élevée,0.56 g,en quantité modérée,,-6%,-6%,-11%,-89%,+3%,-0%,-11%,+1469%,+1469%,17,+8%,D,+8%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,50 g,,,,,"['Œufs', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",,,,,,,,
76,Gaufre liégeoise aux perles de sucre,3760250160240,,['France'],[],[],?,467,1954 kj(467 kcal),"25,9","12,9","51,3","24,2","6,3","0,8","0,32",,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres liégeoises']",,25.9 g,en quantité élevée,12.9 g,en quantité élevée,24.2 g,en quantité élevée,0.8 g,en quantité modérée,,+3%,+3%,+9%,+7%,-4%,-12%,+5%,+5%,+5%,23,0%,E,0%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,,,,,,,,,,,
