,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,manufacturing,traceability_code,markets,allergens,nova_score,origin_detail,producer_info,additives,ingredients_origins,link,palm_ingredients,brand_owner
0,Cocktail d'été - Ceres - 1litre,3559509100096,D,1 litre,['Ceres'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']","['France', 'La Réunion']",[],[],0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.01 g,en faible quantité,?,,50,+4%,209 kj(50 kcal),+4%,0,-100%,0,-100%,12,+9%,12,+15%,0,-100%,"0,01",+9%,"0,004",+9%,5,+12%,C,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
1,Mozzarella râpée - geraspte - rallada - Carrefour - 200g,3560070246571,D,200 g,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella', 'Fromages râpés']","['Belgique', 'France', 'Espagne']","['Mozzarella 98% ', 'lait pasteurisé de vache', 'sol', 'ferments lactiques coagulant microbien', 'amidon de pomme de terre']",['Non végétalien'],22 g,en quantité élevée,15 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,310,-17%,1297 kj(310 kcal),-17%,22,-24%,15,-23%,3,+210%,"0,9",+149%,25,-9%,"1,3",+30%,"0,52",+30%,13,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Fromage rapé,"['Plastico', 'Sous vide', 'Frais']",['Lait origine européenne'],['France'],"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",['Carrefour'],['Lait'],3,,,,,,,
2,Salsa de soja - Carrefour,3560070387274,B,,['Carrefour'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']","['Argentine', 'France', 'Espagne']","['Agua', 'sal', 'soja 10,4%', 'harina de trigo', 'alcohol de caña de azúcar']",[],0 g,en faible quantité,0 g,en faible quantité,0.6 g,en faible quantité,15.9 g,en quantité élevée,?,,32,-71%,134 kj(32 kcal),-71%,0,-100%,0,-100%,"2,5",-86%,"0,6",-95%,"4,8",-25%,"15,9",+32%,"6,36",+32%,8,-29%,C,-29%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,['Carrefour'],"['Gluten', 'Soja']",3,,,,,,,
3,Fritada - Carrefour - 400g,3560070648856,,400 g,['Carrefour'],"['Epicerie', 'Sauces', 'Sofregits']","['France', 'Espagne']","['Légumes 72 % ', 'tomates 21%', 'courgettes 20%', 'oignons 19%', 'poivrons rouges 12%', 'jus de tomates', ""huile d'olive vierge extra "", '4,6%', 'sucre', 'purée de tomates double concentrée', 'amidon modifié', 'sel', 'acidifiant : acide citrique ', 'E330']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4.3 g,en quantité modérée,0.7 g,en faible quantité,7.8 g,en quantité modérée,0.48 g,en quantité modérée,353,-60%,85,-64%,353 kj(85 kcal),-64%,"4,3",-76%,"0,7",-68%,"9,5",-4%,"7,8",+21%,"1,1",-59%,"0,48",-80%,"0,192",-80%,-2,-117%,A,-117%,,,,,,,,"Mélange de légumes (72%) cuisinés avec huile d'olive vierge extra 4,6%",['Lata'],"['Végétarien', 'Végétalien']","['Theix', 'Vannes (distrito)', 'Morbihan', 'Bretaña', 'Francia']","['FR 56.251.005 CE', 'Theix (Morbihan, France)', 'EMB 56251E', 'Theix (Morbihan, France)', 'FABRICANTE Y ENVASADOR:', 'ETABLISSEMENTS MICHARD S.A.', 'PERTENECIENTE A:', 'GROUPE MICHARD']",['Carrefour'],,4,"Ce produit est fabriqué en Espagne à partir de courgettes, d'oignons et de poivrons rouges cultivés en Espagne, d'huile d'olive provenant d'Espagne et de tomates origine UE.",Fabriqué par EMB 56251E pour Interdis,"['E14XX - Amidons modifiés', 'E330 - Acide citrique']",,,,
4,Bifidus - Carrefour - 125g,3560070775552,,125 g,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus']","['France', 'Espagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,6.1 g,en quantité modérée,0.15 g,en faible quantité,?,,41,-50%,172 kj(41 kcal),-51%,"0,5",-83%,"0,1",-95%,"6,4",-38%,"6,1",-40%,"3,9",+5%,"0,15",+22%,"0,06",+22%,-1,-165%,A,-165%,,,,,,,,,,,,,['Carrefour'],,,,,,,,,
5,Mont d'Or Lait cru - Carrefour - 450g,3560070936526,B,450 g,"['Carrefour', 'Filière Qualité Carrefour', 'Interdis']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or""]",['France'],"['Lait cru', 'sel', 'ferments', 'présure animale']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",26 g,en quantité élevée,18 g,en quantité élevée,1 g,en faible quantité,1.2 g,en quantité modérée,?,,315,+6%,1318 kj(315 kcal),+7%,26,+5%,18,+8%,1,+123%,1,+156%,"18,5",+5%,"1,2",-15%,"0,48",-15%,13,-6%,D,-6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Mont d'Or format mini,"['Film', 'Plastique', 'Bois']","['Point Vert', 'Fabriqué en France', 'AOP']","['France', 'haut-doubs', '25300 les fourgs']","['FR 88.079.001 CE', 'Bulgnéville (Vosges, France)', 'FR 25.254.001 CE', 'Fourgs (Doubs, France)']",['Carrefour'],['Lait'],3,,,,"['France', 'Haut-doubs']",,,
6,Sirop menthe - Carrefour,3560071017781,B,,['Carrefour'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']","['Belgique', 'France']",[],[],,,,,,,,,?,,284,+19%,1188 kj(284 kcal),+15%,0,-100%,0,-100%,71,+15%,67,+13%,0,-100%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,['Carrefour'],,,,,,,,,
7,Cookies Choco - Carrefour - 200g,3560071156947,D,200 g,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat']","['France', 'Espagne', 'Suisse']","['Harina de trigo', 'pepitas de chocolate 26% ', 'azúcar', 'pasta de cacao', 'manteca de cacao', 'emulgente: lecitinas de soja', 'aroma', 'grasas de palma', 'azúcar', 'chocolate en polvo 4,8% ', 'azúcar', 'cacao en polvo', 'huevos frescos', 'clara de huevo', 'gasificants ', 'difosfatos de sodio y carbonatos de sodio y amonio', 'suero lácteo en polvo', 'sal']","['Huile de palme', 'Non végétalien']",26 g,en quantité élevée,13 g,en quantité élevée,32 g,en quantité élevée,1.2 g,en quantité modérée,2069,-2%,495,+0%,2069 kj(495 kcal),-0%,26,+3%,13,+5%,58,-3%,32,+1%,"5,5",-12%,"1,2",+77%,"0,48",+77%,25,+11%,E,+11%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,,,,,,['Carrefour'],"['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,,,,
8,Coulis de caramel beurre salé Salidou - La maison d armorine - 315g,3561772000034,,315 g,"['La maison d armorine', ""La Maison d'Armorine""]","['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramels au beurre salé']",['France'],"['Sucre', 'crème fraîche ', 'lait', 'beurre ', 'lait', ' frais ', '18%', 'sirop de glucose', 'sel de Guérande ', '0,5%', 'fleur de sel de Guérande ', '0,1%']",['Non végétalien'],28 g,en quantité élevée,18 g,en quantité élevée,41.1 g,en quantité élevée,0.48 g,en quantité modérée,?,,488,+19%,2042 kj(488 kcal),+19%,28,+104%,18,+102%,58,-14%,"41,1",-19%,1,-57%,"0,48",-50%,"0,192",-50%,27,+9%,E,+9%,,,,,,,,,"['Bouteille', 'Plastique']",,,,,['Lait'],4,,,,,,,
9,Champignons de Paris entiers - Notre Jardin - 460g,3564700000557,A,460 g,"['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Champignons en conserve', 'Champignons de Paris', 'Champignons de Paris en conserve', 'Champignons de Paris entiers en conserve', 'Champignons de Paris entiers']",['France'],"['Champignons de Paris', 'eau', 'sel', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.4 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en quantité modérée,?,,19,-5%,79 kj(19 kcal),-5%,"0,4",+15%,"0,3",+250%,"0,6",-23%,"0,3",-12%,"2,2",-3%,"0,7",+5%,"0,28",+5%,-3,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,['Conserve'],,,,['Leclerc'],,3,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,
10,Haricots verts - Notre Jardin - 3x 110g,3564700005187,B,3 x 110 g,"['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",['France'],"['Haricots verts très fins coupés', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.4 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.63 g,en quantité modérée,?,,98,+308%,410 kj(98 kcal),+314%,"0,4",+59%,"0,2",+267%,"2,1",-21%,"0,5",-35%,"1,5",+1%,"0,63",-6%,"0,252",-6%,-4,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,['Conserve'],"['Nutriscore', 'Nutriscore A']",,,['Leclerc'],,3,,,,,,,
11,Légumes pour Couscous - Notre Jardin - 1kg,3564700005484,,1 kg,"['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", 'Mélanges de légumes surgelés']","['France', 'Suisse']","['Carottes en cubes ', '22,4% mini', 'courgettes coupées ', '16% mini', 'navets en cubes ', '12% mini', 'céleri en branches', '12% mini', 'pois chiches précuits ', '8% mini', 'tomates non pelées en cubes', '4,8% mini', 'oignons en cubes ', '4,8% mini']",[],0.4 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,167,-21%,?,,167 kj(40 kcal),-26%,"0,4",-73%,0,-100%,"5,3",-8%,3,+15%,"1,9",-6%,"0,1",-53%,"0,04",-53%,-9,,A,,,,,,,,,Légumes mélangés pour couscous surgelés,"['Sachet', 'Plastique', 'Surgelé']",,,,['Leclerc'],['Céleri'],1,,,,,,,
12,Oeufs frais djp x20 - Oeufs de Nos Régions - 1160g,3564700006092,B,1160 g,"['Oeufs de Nos Régions', 'Marque Repère']","[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en cage']",['France'],['20 œufs frais datés du jour de ponte de poules élevées en cage'],[],9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,0.3 g,en quantité modérée,584,-1%,?,,584 kj(140 kcal),-2%,"9,8",-2%,"2,6",+10%,"0,5",-25%,"0,5",-8%,13,+4%,"0,3",+7%,"0,12",+7%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,20 Oeufs frais datés du jour de ponte issus de poules élevées en cage,"['Plastique', 'Carton']","['Point Vert', 'Fabriqué en France', 'Origine France']",['France'],"['FR 47.178.028 CE', 'Monségur (Lot-et-Garonne, France)']",['Leclerc'],,,,,,['France'],,,
13,Spécialités laitières fruits 0% 8X125 - Délisse - 1000g,3564700007228,B,1000 g,"['Délisse', 'Marque Repère']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts allégés en matière grasse']",['France'],"['Lait écrémé ', 'origine : france', ' ', ' lait concentré écrémé ', 'origine : france', ' ', ' fruits ', 'abricot 12 % ou cerise 12 % ou fraise 12 % ou ananas 10 % ou pêche 10 % ou citron 3,7 %', ' ', ' eau ', ' lait écrémé en poudre ', 'origine : france', ' ', ' polydextrose ', ' amidons modifiés de tapioca et de maïs ', ' concentré de carotte ', ' jus concentré de potiron ', ' jus concentré de carotte ', ' jus concentré de citron ', ' arômes ', ' épaississants : pectines', 'gomme xanthane', 'gomme guar ', ' édulcorants : acésulfame-k', 'sucralose ', ' ferments lactiques ', ' vitamine d ', 'dont lait']",['Non végétalien'],0.5 g,en faible quantité,0.1 g,en faible quantité,5.1 g,en quantité modérée,0.2 g,en faible quantité,171,-20%,?,,171 kj(41 kcal),-29%,"0,5",-8%,"0,1",-67%,"5,5",-30%,"5,1",-29%,"4,1",-11%,"0,2",+36%,"0,08",+36%,-1,,A,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"Yaourt maigre à 0% de matière grasse avec édulcorants aux fruits, enrichi en vitamine D","['Plastique', 'Frais', 'Carton', 'Pots']","['Peu ou pas de matière grasse', 'Peu ou pas de sucre', 'Sans sucre ajouté', 'Sans matière grasse', 'Sans conservateurs', 'Origine France']",['France'],"['FR 89.209.001 CE', 'Jouy (Yonne, France)', 'FR 45.187.001 CE', 'Lorris (Loiret, France)']",['Leclerc'],['Lait'],4,,,"['E1200 - Polydextrose', 'E14XX - Amidons modifiés', 'E440 - Pectines', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E950 - Acésulfame K', 'E955 - Sucralose']",['France'],http://www.marquerepere.com,,
14,Crème glacée café - Eskiss - 1l,3564700014349,B,1 l,"['Eskiss', 'Marque Repère']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au café']",['France'],"['Eau ', ' lait écrémé reconstitué ', ' crème ', ' sucre ', ' sirop de glucose-fructose ', ' lactose et protéines de lait ', ' sirop de glucose ', ' chocolat noir 2', '2 % ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'arôme naturel de vanille', ' ', ' café en poudre 0', '9 % ', ' arôme naturel de café ', ' colorant : caramel ordinaire ', ' émulsifiant : E471 ', ' gélifiants : farine de graines de caroube', 'gomme guar ', ' extrait naturel de café ', "" agents d'enrobage : gomme arabique"", 'shellac ', ' huile végétale de coprah', "" Traces d'arachides"", 'gluten', 'fruits à coque', 'œufs et soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",8.8 g,en quantité modérée,5.8 g,en quantité élevée,24 g,en quantité élevée,0.1 g,en faible quantité,844,-5%,?,,844 kj(202 kcal),-2%,"8,8",-5%,"5,8",-8%,28,+3%,24,+3%,"2,2",-26%,"0,1",-18%,"0,04",-18%,12,0%,D,0%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,Crème glacée au café 92 % avec inclusions au café enrobées de chocolat noir 8 %.,"['surgelé', 'Bac', 'Plastique']",['Point Vert'],,"['FR 29.181.090 CE', 'Plouédern (Finistère, France)']",['Leclerc'],['Lait'],4,,,"['E150a - Caramel E150a', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque']",,,,
15,Filets anchois roulés aux câpres - Ronde des Mers - 60g,3564700025376,B,60 g,"['Ronde des Mers', 'Marque Repère', 'Pêche Océan']","['Epicerie', 'Condiments', 'Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",['France'],"[""Filets d'anchois salés 58% "", 'anchois', 'sel', 'huile de tournesol 37%', 'câpres 5%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",30 g,en quantité élevée,4.4 g,en quantité modérée,0.5 g,en faible quantité,10.8 g,en quantité élevée,1434,+56%,?,,1434 kj(343 kcal),+65%,30,+138%,"4,4",+82%,"0,6",-58%,"0,5",+89%,18,-13%,"10,8",+59%,"4,32",+59%,17,+36%,D,+36%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,Anchois roulés aux câpres,"['Bocal', 'Verre', 'Couvercle', 'Métal']",,['Maroc'],"['EMB 13117AQ', 'Vitrolles (Bouches-du-Rhône, France)']",['Leclerc'],['Poisson'],3,,,,,,,
16,Gaufrettes fourrées au gouda - Tokapi - 75g,3564700026366,,75 g,"['Tokapi', 'Marque Repère']",,['France'],"['Farine de blé', 'huile de coco totalement hydrogénée et non hydrogénée', 'lactosérum en poudre', 'fromages fondus en poudre 12 %', 'amidon de blé', 'dextrose', 'sel', 'antioxydant : extrait riche en tocophérols', 'huile de tournesol', 'émulsifiant : lécithines ', 'soja', 'poudre à lever : E500', 'colorant : rocou', ' Traces de poissons et fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,2296,,?,,2296 kj(549 kcal),,36,,33,,45,,15,,11,,2,,"0,8",,,,,,,,,,,,,,,,,,['Leclerc'],"['Gluten', 'Soja']",4,,,"['E306 - Extrait riche en tocophérols', 'E322i - Lécithine', 'E500 - Carbonates de sodium', 'E160b - Rocou']",,,,
17,"Soda à la pulpe d'orange - Marque Repère - 1,5l",3564700027561,,"1,5 l","['Marque Repère', 'Pulp Orange']","['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",['France'],"['Eau gazéifiée ', ' jus de fruits à base de concentrés 12 % ', 'orange 11 %', 'citron 1 %', ' ', ' sucre ', "" pulpes d'orange 2% "", ' acidifiant : acide citrique ', ' antioxydant : acide ascorbique ', "" arôme naturel d'orange""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,9.6 g,en quantité élevée,0 g,en faible quantité,163,+52%,?,,163 kj(39 kcal),+41%,"0,5",+1122%,"0,1",+926%,"9,6",+42%,"9,6",+45%,"0,5",+811%,0,-100%,0,-100%,13,+41%,E,+41%,,,,,,,,Soda à l'orange,['bouteille plastique'],,,,['Leclerc'],,4,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,
18,Assortiment de confiseries aromatisées réglisses et confiseries gélifies - Copains Copines - 750g,3564700091005,E,750 g,"['Copains Copines', 'Marque Repère']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['France'],"['Sirop de glucose ', ' mélasse de canne à sucre ', 'dont sulfites', ' ', ' farine de blé ', ' sucre ', ' gélatine de porc ', ' acidifiant : acide citrique ', ' sel ', ' graisse de palme ', ' poudre de lait entier ', ' extrait de réglisse ', ' huile végétale ', 'coprah', 'colza', ' ', "" agent d'enrobage : cire de carnauba "", ' colorants : curcumine', 'caramel ordinaire', 'extrait de paprika', 'rouge de betterave', 'anthocyanes ', ' denrées alimentaires colorantes : concentrés de spiruline', 'de pomme et de carthame ', ' arômes naturels ', ' arômes naturels de fruits ', 'orange', 'pomme', 'citron', 'badiane', 'vanille', ' avec autres arômes naturels ', ' amidon de blé']","['Huile de palme', 'Non végétalien', 'Non végétarien']",0.9 g,en faible quantité,0.5 g,en faible quantité,54 g,en quantité élevée,0.7 g,en quantité modérée,1424,-2%,?,,1424 kj(340 kcal),-1%,"0,9",+126%,"0,5",+198%,77,-4%,54,-6%,"4,5",+22%,"0,7",+509%,"0,28",+509%,17,+21%,D,+21%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,Assortiment de confiseries aromatisées réglisse et à la pâte de sucre et de confiseries gélifiées aromatisées,"['Boîte', 'Plastique']",,,,['Leclerc'],"['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",4,,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E903 - Cire de carnauba', 'E100 - Curcumine', 'E150a - Caramel E150a', 'E160c - Extrait de paprika', 'E162 - Rouge de betterave', 'E163 - Anthocyanes']",,,['Huile de palme'],
19,Vinaigrette Nature - Rustica - 1l,3564700130056,D,1 l,"['Rustica', 'Marque Repère']","['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes', 'Vinaigrettes allégées en matières grasses']",['France'],"['Eau ', ' huile de colza 25 % ', ' vinaigre de vin rouge ', 'dont conservateur : disulfite de potassium', ' ', "" vinaigre d'alcool "", ' moutarde de Dijon 3 % ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'acidifiant : acide citrique', ' ', ' sel ', ' sucre ', ' amidon modifié de pomme de terre ', ' épaississant : gomme xanthane ', ' jus de citron concentré ', ' colorants : lutéine', 'extrait de paprika ', ' protéines de lait ', ' poivre 0,08 % ', ' arôme ', ' arôme naturel de limette avec autres arômes naturels']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",26 g,en quantité élevée,2 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,1029,-6%,?,,1029 kj(246 kcal),-7%,26,-4%,2,-18%,"3,2",-24%,"0,5",-79%,"0,5",-9%,"1,9",+4%,"0,76",+4%,12,0%,D,0%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,['Bouteille'],"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse', 'Point Vert']",,"['EMB 59491', 'Raismes (Nord, France)']",['Leclerc'],"['Lait', 'Moutarde', 'Disulfite de potassium']",4,,,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E161b - Lutéine', 'E160c - Extrait de paprika']",,,,
20,Mousses à la liégeoise à la vanille x 8 - Délisse - 640g,3564700149881,,640 g,"['Délisse', 'Marque Repère']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts lactés à la vanille']",['France'],"['Lait entier ', 'origine : France', ' 69% ', ' crème ', 'origine : France', ' 12% ', ' sucre ', ' amidon modifié de maïs ', ' gélatine de bœuf ', ' émulsifiant : E471 ', ' arômes ', ' lactose et protéines de lait ', ' amidon de maïs ', ' colorant : caroténoïdes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",8.7 g,en quantité modérée,5.7 g,en quantité élevée,16 g,en quantité élevée,0.1 g,en faible quantité,694,+25%,?,,694 kj(166 kcal),+21%,"8,7",+74%,"5,7",+80%,18,0%,16,+6%,"3,9",+20%,"0,1",-25%,"0,04",-25%,8,+37%,C,+37%,,,,,,,,,['Pot'],,,,['Leclerc'],['Lait'],4,,,"['E14XX - Amidons modifiés', 'E428 - Gélatine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160 - Caroténoïdes']",,,,
21,Mousse au chocolat noir et lait x 8 - Délisse - 480g,3564700281376,D,480 g,"['Délisse', 'Marque Repère']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Mousses au chocolat']",['France'],"['Dessert lacté au chocolat au lait : Lait entier 58 % ', 'origine : France', ' ', ' sucre ', ' crème ', 'origine : France', ' ', ' chocolat au lait 8,2 % ', 'sucre', 'pâte de cacao', 'poudre de lait entier', 'beurre de cacao', 'poudre de lait écrémé', ' ', ' chocolat en poudre 5,6 % ', 'cacao en poudre', 'sucre', ' ', ' lactose et minéraux du lait ', ' gélatine bovine ', ' épaississants : alginate de sodium', 'carraghénanes ', ' émulsifiant : E472b ', ' poudre de lait écrémé ', ' protéines de lait', ' Dessert lacté au chocolat noir : Lait entier 73 % ', 'origine : France', ' ', ' sucre ', ' chocolat noir 5,5 % ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant : lécithines de soja et de tournesol', ' ', ' cacao maigre en poudre ', ' crème ', 'origine : France', ' ', ' gélatine bovine ', ' poudre de lait écrémé ', ' émulsifiant : E472b ', ' épaississants : carraghénanes', 'alginate de sodium ', ' protéines de lait ', ' lactose et minéraux du lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",6.2 g,en quantité modérée,4.3 g,en quantité modérée,20.5 g,en quantité élevée,0.2 g,en faible quantité,680,-35%,?,,680 kj(163 kcal),-40%,"6,2",-62%,"4,3",-57%,21,-5%,"20,5",+3%,"4,9",-17%,"0,2",-9%,"0,08",-9%,6,-55%,C,-55%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,"['Frais', 'Plastique', 'Carton']",,,,['Leclerc'],['Lait'],4,,,"['E428 - Gélatine', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E322i - Lécithine']",,,,
22,Petit pot de crème pistache - Délisse - 4x 100g,3564700334829,,4 x 100 g,"['Délisse', 'Marque Repère']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert']",['France'],"['Lait entier ', 'origine : France', ' 61 % ', ' crème ', 'origine : France', ' 17 % ', ' sucre ', ' oeufs entiers extra-frais 5% ', ' poudre de lait écrémé ', 'origine : France', ' ', ' amidon modifié de manioc ', ' arôme ', 'dont colorant : E141', ' ', ' épaississants : cellulose', 'E466 ', ' gélifiant : carraghénanes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",8 g,en quantité modérée,5 g,en quantité modérée,14 g,en quantité élevée,0.15 g,en faible quantité,641,+18%,154,+18%,641 kj(154 kcal),+18%,8,+79%,5,+81%,16,-12%,14,-8%,"3,8",+13%,"0,15",-3%,"0,06",-3%,5,+5%,C,+5%,,,,,,,,Crème dessert,['Pot'],"['Nutriscore', 'Nutriscore C', 'Triman']",['France'],"['FR 47.185.001 CE', 'Montayral (Lot-et-Garonne, France)']",['Leclerc'],"['Œufs', 'Lait']",4,,,"['E14XX - Amidons modifiés', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['France'],,,
