,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,manufacturing,traceability_code,markets,allergens,nova_score,origin_detail,producer_info,additives,ingredients_origins,link,palm_ingredients,brand_owner
472,Premium Ginger Ale - FEVER TREE - 500ml e,5060108450287,,500 ml e,['FEVER TREE'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons sans alcool', 'Bières sans alcool', 'Bière de gingembre', 'Boissons avec sucre ajouté', 'Sodas-au-gingembre']","['Belgique', 'France']","['Eau de source gazéifiée', 'sucre', 'acide : acide citrique', 'arômes naturels de gingembre et autres arômes naturels', 'caramel naturel']",[],0 g,en faible quantité,,,7.1 g,en quantité élevée,0 g,en faible quantité,?,,34,-17%,142 kj(34 kcal),-15%,0,-100%,,,"8,4",-14%,"7,1",-26%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,Premium Ginger Ale,"['Verre', 'Bouteille']",['Point Vert'],['Royaume-Uni'],,"['Cultures Caves', 'Delhaize']",,4,,,['E330 - Acide citrique'],,,,
473,Big Pop Party - Mr. Freeze - 20 * 45ml (900ml),5060191281508,B,20 * 45 ml (900 ml),['Mr. Freeze'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', ""Glaces à l'eau""]",['France'],"['Eau', ' sucre', ' acidifiant: acide citrique', ' colorants: concentré de fruits et légumes ', 'pomme', 'carotte', 'citron', 'cassis', 'carthame', 'hibiscus', 'mélasse', ' épaississants: gomme de cellulose', 'E422', ' arômes', ' conservateurs: E202']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0 g,en faible quantité,0 g,en faible quantité,11.1 g,en quantité modérée,0.03 g,en faible quantité,?,,47,-49%,197 kj(47 kcal),-46%,0,-100%,0,-100%,"11,1",-43%,"11,1",-37%,"0,1",-72%,"0,03",+6%,"0,012",+6%,2,-49%,B,-49%,45.8%,21.9%,8.3%,10.5%,8.6%,4.9%,91,Sucettes à congeler aux goûts assortis,"['Carton', 'Plastique', 'Surgelé']","['en:gluten-free', 'Kascher', 'Beth Din de Londres', 'Colorants naturels', 'Arômes naturels']",['Grande Bretagne'],,['Cora'],,4,,,"['E330 - Acide citrique', 'E466 - Carboxyméthylcellulose', 'E422 - Glycérol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,
474,Grenade Peanut Nutter Carb Killa Bar - 60g,5060221203753,,60 g,['Grenade'],"['Snacks', 'Snacks sucrés', 'Barres', 'Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres énergétiques', 'Barres protéinées']","['France', 'Irlande']","['Chocolat blanc avec édulcorant ', '20 %', ' ', 'édulcorant : maltitol', 'beurre de cacao', 'poudre de lait entier', 'cacao', 'émulsifiant : lécithine de soja', 'arômes', 'Protéines de lait ', 'caséinate de calcium', 'isolat de protéines de lait', 'isolat de protéines de lactosérum ', 'lait', 'Hydrolysat de gélatine', 'Agent de charge polydextrose', 'Humectant : glycérol', 'Arachides ', '8,8 %', 'Huile de soja', 'Poudre de lait écrémé', 'Edulcorants : xylitol et sucralose', 'Arômes', 'Sel', 'Emulsifiant : lécithine de soja', ' Infos Allergènes : voir les ingrédients en caractères gras', ' Peut contenir du blé', 'du gluten', 'des oeufs', 'des noix', 'des arachides et des graines de sésame', '""']",['Non végétalien'],15.6 g,en quantité modérée,6.1 g,en quantité élevée,3.3 g,en faible quantité,0.56 g,en quantité modérée,?,,373,-4%,1561 kj(373 kcal),-4%,"15,6",+19%,"6,1",+44%,"25,7",-49%,"3,3",-89%,"35,1",+162%,"0,56",+38%,"0,224",+38%,7,-43%,C,-43%,,,,,,,,,,,,,"['SuperValu', 'Tesco', 'Centra']","['Lait', 'Arachides']",4,,,"['E965 - Maltitol', 'E322i - Lécithine', 'E1200 - Polydextrose', 'E422 - Glycérol', 'E967 - Xylitol', 'E955 - Sucralose']",,,,
475,Infusion Relax Bio - 20 Sachets - Pukka - 30.0g,5060229013668,,30.0 g,['Pukka'],['Boissons'],"['Belgique', 'France', 'Pays-Bas']",[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,4,-93%,17 kj(4 kcal),-93%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,1,-87%,B,-87%,,,,,,,,,['20 sachets'],['Bio'],,,,,,,,,,,,
476,pukka or de curcuma - 36g,5060229014566,A,36 g,['Pukka'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés en sachets']","['France', 'Pays-Bas']","['racine de curcuma ', '40%', 'thé vert Pin Ho Wild Jade ', '20%', 'racine de réglisse', 'gousse de cardamome', ""arôme d'huile essentielle de citron "", '6%', ' citron entier ', '6%', 'feuille de verveine citronnée']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['20 sachets'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'GB-ORG-05', 'AB Agriculture Biologique', 'Fair for Life', 'Fair wild']",['Bristol UK'],,['Ekoplaza'],,,,,,,,,
477,Sunpat Crunchy Peanut Butter - Sun-Pat - 200g,5060391622545,C,200 g,['Sun-Pat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes', 'Beurres de cacahuetes croustillants']","['France', 'Luxembourg']","['Cacahuètes 95 %', 'stabilisant ', 'E471', 'sucre de canne', ""huile d'arachide 1%"", 'sel de mer']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",48.7 g,en quantité élevée,9.2 g,en quantité élevée,6.7 g,en quantité modérée,1 g,en quantité modérée,?,,611,+8%,2556 kj(611 kcal),+8%,"48,7",+8%,"9,2",+17%,"14,5",+10%,"6,7",+12%,"24,8",+8%,1,+83%,"0,4",+83%,6,-56%,C,-56%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,Beurre de cacahuètes croustillant,,,,,,['Arachides'],4,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,
478,Hydro Mean Green - Monster Hydro - 550ml,5060517885007,,550 ml,['Monster Hydro'],"['Boissons', 'Boissons édulcorées', 'Boissons énergisantes']",['France'],"['EAU FILTRÉE TROIS FOIS', 'SIROP DE GLUCOSE ', '11%', 'ARÔMES', 'TAURINE ', '0,2%', 'ACIDIFIANT ', 'ACIDE CITRIQUE', ""CORRECTEURS D'ACIDITÉ "", 'CITRATE DE SODIUM', 'PHOSPHATE DE POTASSIUM', 'CONSERVATEURS ', 'SORBATE DE POTASSIUM', 'BENZOATE DE SODIUM', 'STABILISANT ', 'GOMME ARABIQUE', 'ESTERS DE GLYCEROL DE COLOPHANE DE BOIS', 'CAFEINE ', '0,02%', 'EXTRAIT DE CARTHAME', 'CHLORURE DE SODIUM', 'ÉDULCORANT ', 'SUCRALOSE', 'VITAMINES ', 'B3', 'B6', 'INOSITOL']",[],,,,,4.6 g,en quantité modérée,0.03 g,en faible quantité,?,,37,+3%,155 kj(37 kcal),+4%,?,,,,"8,8",+10%,"4,6",-37%,?,,"0,03",-74%,"0,012",-74%,,,,,,,,,,,,,['Bouteille'],,['UE'],,['Géant Casino'],,4,,,"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', ""E414 - Gomme d'acacia"", 'E955 - Sucralose']",,http://monsterenergy.com,,
479,eat natural chocolat noir - 45g,50663811,,45 g,"['Eat Natural', 'Bramble Foods']","['Snacks', 'Snacks sucrés']","['France', 'Suisse']","['Chololat noir 20% ', 'pâte de cacao', 'sucre beurre de cacao', 'emulsifiant: lecithine de soya', 'noix de coco râpée 18%', 'raisins secs 16%', 'sirop de glucose', 'riz souffle 9% ', 'riz', 'sucre', 'airelles séchées 8% ', 'airelles', 'sucre', 'huile de tournesol', 'noix du Brésil 6%', 'miel 6%', 'noix de macadamia 3%', ' peut contenir des traces de cacahetes', 'graines de sésame et lait de vache']",[],22 g,en quantité élevée,14 g,en quantité élevée,34 g,en quantité élevée,0 g,en faible quantité,1858,-3%,?,,1858 kj(444 kcal),-1%,22,+8%,14,+41%,55,-4%,34,-4%,"4,2",-30%,0,-100%,0,-100%,16,-16%,D,-16%,,,,,,,,,"['sachet individuel', 'pp-wrapper']",['en:gluten-free'],['royaume uni'],,['Monoprix'],"['Fruits à coque', 'Soja']",4,,,,,,,
480,Lait Entier - Carrefour - 1litre,5400101002876,C,1 litre,['Carrefour'],"['Produits laitiers', 'Laits', 'Laits entiers']","['Belgique', 'France']","['Lait entier,']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3.6 g,en quantité modérée,2.3 g,en quantité modérée,4.7 g,en faible quantité,0.13 g,en faible quantité,?,,64,-3%,268 kj(64 kcal),-4%,"3,6",-3%,"2,3",-3%,"4,7",-2%,"4,7",-1%,"3,4",+3%,"0,13",+11%,"0,052",+11%,1,-37%,B,-37%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,['Tetra Pak'],,['Belgium for Carrefour'],,['Carrefour'],['Lait'],1,,,,,,,
481,Crème U.H.T. 30% M.G. - Produits Blancs - 200ml (200g) e,5400101031111,B,200 ml (200 g) e,"['Produits Blancs', 'Carrefour']","['Produits laitiers', 'Crèmes', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes liquides']","['Belgique', 'France']","['Crème', 'stabilisant:carraghénanes,']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",30 g,en quantité élevée,20 g,en quantité élevée,3.2 g,en faible quantité,0.1 g,en faible quantité,1207,+46%,288,+23%,1207 kj(288 kcal),+27%,30,+35%,20,+34%,"3,2",-27%,"3,2",-12%,"2,5",0%,"0,1",+1%,"0,04",+1%,13,+17%,D,+17%,68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,Crème U.H.T. 30% M.G.,"['Brique', 'Carton']",['Point Vert'],,['DE RP-221 EG'],['Carrefour'],['Lait'],4,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,
