,name,bar_code,eco_score,generic_name,brand,categories,labels,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,palm_ingredients,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,manufacturing,ingredients_origins,brand_owner,link
940,Blätterkrokant - FAVORINA - 150g,20044756,,,['FAVORINA'],,,,,,,['France'],[],[],?,,497,,25,,62,,5,,,,,,,,,,,,2079 kj(497 kcal),"8,9",57,"0,22","0,088",,,,,,,,,,,,,,,,,,,150g,,,,,
941,Croissant - 0.450kg,3201300000036,,,,,,,,,,['France'],[],[],?,,423,,26,,36,,"8,9",,,,,,,,,,,,1770 kj(423 kcal),19,"6,4","0,89","0,356",,,,,,,,,,,,,,,,,,,0.450 kg,,,,,
942,Calamares salsa americana,8411555160347,,,,,,,,,,['France'],[],[],?,,116,,"3,4",,"3,8",,"17,6",,,,,,,,,,,,485 kj(116 kcal),"0,5",0,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,
943,Onglet - Charal - 0.157kg,2494593029858,E,,['Charal'],"['Viandes', 'Bœuf', 'Onglet de boeuf']","['Viande-francaise', 'Viande-bovine-francaise']",,,,,['France'],[],[],?,,153,-15%,"8,6",-12%,0,-100%,19,-5%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,640 kj(153 kcal),"3,9",0,"0,2","0,08",,8.6 g,en quantité modérée,3.9 g,en quantité modérée,0 g,en faible quantité,0.2 g,en faible quantité,-15%,-2%,-100%,-82%,-82%,-1,-119%,A,-119%,0.157 kg,,,,,
944,Chouquettes x30,4016000002650,,,,,,,,,,['France'],[],[],?,,240,,12,,28,,"5,4",,,,,,,,,,,,1004 kj(240 kcal),"7,6",14,"0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,
945,Rotella - Haribo,3103220059708,,,['Haribo'],,['Sans colorants'],,,,,['France'],[],[],?,,298,,"0,8",,69,,"3,7",,,,,,,,,,,,1247 kj(298 kcal),"0,2",38,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,
946,Brioche ronde,3173310022653,,,,,,,,,,['France'],[],[],?,,375,,16,,49,,9,,,,,,,,,,,,1569 kj(375 kcal),11,15,"0,84","0,336",['Sachet en plastique'],,,,,,,,,,,,,,,,,,,,,,,
947,Dos de Lieu Noir -,5025758000169,E,,,"['Produits de la mer', 'Poissons', 'Lieu noir']",,,,"['FR 56.121.185 CE', 'Lorient (Morbihan, France)']",,['France'],[],[],?,,84,+24%,"0,7",0%,0,-100%,"19,4",+6%,88.8%,0.0%,1.8%,8.2%,0.9%,0.3%,32,,,,351 kj(84 kcal),"0,2",0,"0,2","0,08",,0.7 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,+22%,-8%,-100%,-77%,-77%,-4,,A,,,,,,,
948,Weight Care Drinkmaaltijden Mokka,5410063027855,,,,,,,,['DE SN-10683 EG'],,['France'],[],[],?,,61,,"0,6",,"8,4",,"4,6",,,,,,,,,,,,255 kj(61 kcal),"0,1","8,4","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,
949,Olives vertes farcies au citron,8411968301467,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au citron']",['Sans conservateurs'],,,,,['France'],[],[],?,,106,-32%,"9,7",-32%,"0,6",-85%,"1,1",+22%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,444 kj(106 kcal),2,0,"2,3","0,92",,9.7 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,2.3 g,en quantité élevée,-33%,-12%,-100%,-16%,-16%,12,0%,D,0%,,,,,,
