,name,bar_code,eco_score,generic_name,brand,categories,labels,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,palm_ingredients,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,manufacturing,ingredients_origins,brand_owner,link
0,Cuisses de Poulet avec portion de dos - Carrefour,3560070486779,D,Cuisses de poulet avec portion de dos. Halal. origine France. Produit frais. Classe A.,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Origine France,Fabriqué pour Interdis.,"['FR 26.144.011 CE', 'Grane (Drôme, France)']",['Carrefour'],['France'],['Cuisses de Poulet avec portion de dos'],[],?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Filets de Poulet - Carrefour,3560070486861,D,Produit frais - Classe A.,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Poulet origine France - Viande issue de volailles abattues selon le rite halal par sacrificateur professionnel. La traçabilité des viandes entrant dans la composition de ce produit est vérifiée par un organisme de contrôle indépendant.,Fabriqué pour Interdis,,['Carrefour'],['France'],['Filets de Poulet'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Filets de Poulet - Carrefour,3560070486892,D,Filets de poulet. Halal. Produit frais. Classe A. Origine France.,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Origine France,Fabriqué pour Interdis.,,['Carrefour'],['France'],['filets de poulet'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cuisse de dinde - Carrefour,3560070486984,D,Cuisse de dinde. Halal. Produit frais. Classe A. Origine France,['Carrefour'],"['Viandes', 'Volailles', 'Dindes', 'Cuisses de dinde']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Origine France,Fabriqué pour Interdis.,,['Carrefour'],['France'],['cuisse de dinde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Escalopes de dinde Halal - Carrefour,3560070487011,D,Escalopes de dinde Halal. Produit frais - Classe A,['Carrefour'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Volaille origine France - Viande issue de volailles abattues selon le rite halal par un sacrificateur professionnel. La traçabilité des viandes entrant dans la composition de ce produit est vérifiée par un organisme de contrôle indépendant.,Fabriqué pour Interdis.,,['Carrefour'],['France'],['escalopes de dinde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Escalopes de Dinde - Carrefour,3560070487042,D,Escalopes de dinde. Halal. Produit frais. Classe A. Origine France.,['Carrefour'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Viande Française', 'Volaille Française', 'Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",Origine France,Fabriqué pour Interdis.,,['Carrefour'],['France'],['Escalopes de dinde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Super soft white -,00405799,,,,,"['Végétarien', 'Végétalien']",,,,,['France'],"['Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' Eau Levure ', 'Levure Levure enrichie en vitamine D', ' Fibres de chicorée Farine de blé fermenté déshydraté ', 'contient Gluten', ' Sel Farine de soja Huile de palme · Huile de palme fractionnée · Farine de blé ', 'contient Gluten', '· Huile de colza Farine de blé malté ', 'contient Gluten', ' Agent de traitement de la farine : Acide ascorbique']","['Huile de palme', 'Végétalien', 'Végétarien']",?,,249,,"2,7",,"45,3",,9,,,,,,,,,,['Huile de palme'],['Gluten'],1042 kj(249 kcal),"0,8",4,"1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,
7,Dinde - Carrefour,3560070498239,D,"Dinde éviscérée sans abats, prête à cuire. Produit frais. Classe A.",['Carrefour'],"['Viandes', 'Volailles', 'Dindes']","['Viande-francaise', 'Volaille-francaise']",Origine France + logo volaille Française.,Conditionné pour Interdis.,,['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chapon - Carrefour,3560070498260,D,"Chapon prêt à cuire, éviscéré sans abats. Produit frais. Classe A.",['Carrefour'],"['Viandes', 'Volailles', 'Chapons']","['Viande Française', 'Volaille Française', 'Produit certifié']",Origine France.,Conditionné pour Interdis.,['SUR LE TICKET POIDS PRIX'],['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,82.7%,9.4%,3.1%,2.6%,1.3%,0.9%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chapon - Carrefour,3560070498291,D,"Chapon éviscéré sans abats, prêt à cuire. Produit frais. Classe A.",['Carrefour'],"['Viandes', 'Volailles', 'Chapons']","['Viande Française', 'Volaille Française', 'Produit certifié']",Origine France. + Logo Volaille Française.,Conditionné pour Interdis.,,['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,82.7%,9.4%,3.1%,2.6%,1.3%,0.9%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Préparation pour crème brûlée - Carrefour,3560070554300,B,,['Carrefour'],"['Produits laitiers', 'Crèmes']",,,,"['FR 50.139.001 CE', 'Condé-sur-Vire (Manche, France)']",['Carrefour'],['France'],[],[],847,-13%,203,-23%,13,-49%,18,+304%,"2,6",+6%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,847 kj(203 kcal),"9,2",13,"0,1","0,04",['Tetra Pak'],13 g,en quantité modérée,9.2 g,en quantité élevée,13 g,en quantité élevée,0.1 g,en faible quantité,-22%,-46%,+244%,+6%,+6%,13,+6%,D,+6%,,,,,,
11,Brochettes de dinde - Carrefour,3560070569274,,Brochettes de dinde crues. Halal.,['Carrefour'],,"['Viande Française', 'Volaille Française', 'Halal']",Viande issue de volailles abattues selon le rite halal par un sacrificateur professionnel.,Fabriqué pour Interdis.,,['Carrefour'],['France'],"['Ingrédients ', 'à la mise en oeuvre', ' : Viande de cuisse de dinde halal 93 %', 'poivrons', 'Viande de dinde origine France']","['Non végétalien', 'Non végétarien']",525,,125,,"5,1",,"1,8",,18,,,,,,,,,,,,525 kj(125 kcal),"1,6","0,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,
12,Muscat de Rivesaltes - Carrefour - 50cl,3560070575459,C,Muscat de Rivesaltes - Appellation d'Origine Protégée. Vin doux naturel biologique. Produit de France.,['Carrefour'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins mutés', 'Vins doux', 'Vins mutés de type vin doux naturel', 'Muscats', 'Muscat de Rivesaltes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Fabriqué en France', 'AOP']",,Mis en bouteille par EMB 66 136 BU pour INTERDIS,"['EMB 66136', 'Perpignan (Pyrénées-Orientales, France)']",['Carrefour'],['France'],['Contient des Sulfites'],[],?,,?,,?,,?,,?,,50.3%,7.1%,29.9%,8.8%,2.6%,1.4%,45,3,,['Anhydride sulfureux et sulfites'],,,,,,,,,,,,,,,,,,,,,,,,50 cl,,,,,
13,100% robusta riche et puissant - Carrefour,3560070588725,E,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",['Fabriqué en France'],,,"['EMB 76681', 'Sotteville-lès-Rouen (Seine-Maritime, France)']",['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pizza Margherita - Carrefour - 310g,3560070590780,A,"Pizza garnie de sauce tomate et de mozzarella, issue de l'agriculture biologique, cuite au feu de bois - Surgelé",['Carrefour'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas margherita']","['Bio', 'Bio européen', 'Agriculture UE', 'IT-BIO-009', 'Fabriqué en Italie']",La pâte est composée d'une farine biologique provenant des pays de l'Union Européenne et d'huile d'olive vierge extra biologique en provenance d'Italie ou de Tunisie. Elle est garnie de mozzarella biologique d'origine Allemagne et d'une purée de tomate biologique italienne.,Fabriqué par PAREN SRL VIA MATTEOTTI 65/A - 43015 NOCETO - Italie pour Interdis,"['IT 982 L CE', 'IT', '892 L', 'CE']",['Carrefour'],"['France', 'Espagne']","['Farine de blé* 46%', 'eau', 'mozzarella* 20,9%', 'purée de tomate* 15,7%', ""huile d'olive vierge extra* 4,3%"", 'sel', 'levure', 'origan* 0,3%', ' * Biologique', ' Pour préparer cette pizza', 'nous avons mis en œuvre 227 g de pâte et 130 g de garniture', '\rPeut contenir des traces de soja']",['Non végétalien'],1096,+16%,261,+15%,"9,4",+26%,32,+10%,10,+6%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,3,,"['Gluten', 'Lait']",1096 kj(261 kcal),"4,8","1,5","1,6","0,64","['Carton', 'surgelé']",9.4 g,en quantité modérée,4.8 g,en quantité modérée,1.5 g,en faible quantité,1.6 g,en quantité élevée,+15%,+36%,-44%,+26%,+26%,12,+67%,D,+67%,310 g,,,,,
15,Pointes d'asperges blanches - Carrefour - 800g,3560070603077,C,Pointes d'asperges blanches moyennes,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve']",,,Fabriqué au Pérou et importé par EMB 53130L pour Interdis,"['EMB 53130L', 'Laval (Mayenne, France)']",['Carrefour'],['France'],"['Asperges blanches', 'eau', 'sel', 'acidifiant: acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",62,-11%,15,-21%,?,,"1,8",-4%,"1,2",-25%,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,3,,,62 kj(15 kcal),,"1,5","0,75","0,3",,,,,,1.5 g,en faible quantité,0.75 g,en quantité modérée,-18%,,+23%,-7%,-7%,,,,,800 g,['E330 - Acide citrique'],,,,
16,PIlons de poulet - Carrefour,3560070730995,D,Pilons de poulet. Produit frais - Classe A.,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']","['Viande Française', 'Volaille Française']",Volaille Origine France,Fabriqué en France pour Interdis.,,['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Hauts de cuisse de poulet - Carrefour,3560070731015,D,Hauts de cuisse de poulet. Produit frais - Classe A.,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']","['Viande Française', 'Volaille Française']",Volaille Origine France,Fabriqué en France pour Interdis.,,['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jambon Sec - Carrefour - 500g (2x 250g),3560070737390,E,Jambon sec supérieur en tranches.,['Carrefour'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",['Qualité supérieure'],Fabriqué en France à partir de viande de porc d'origine France.,Fabriqué en France par EMB 12195pour EMB 69238J pour Interdis.,"['FR 12.195.007 CE', 'Rebourguil (Aveyron, France)']",['Carrefour'],['France'],"['Ingrédients : Jambon de porc', 'sel', 'dextrose', 'conservateur : nitrate de potassium', 'sucre', 'arômes naturels', 'Peut contenir des traces de lait']","['Non végétalien', 'Non végétarien']",1096,+9%,262,+9%,14,+4%,"0,5",-23%,34,+18%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,4,,['Ingrédients'],1096 kj(262 kcal),"5,3","0,5","5,4","2,16",,14 g,en quantité modérée,5.3 g,en quantité élevée,0.5 g,en faible quantité,5.4 g,en quantité élevée,+10%,+2%,+15%,+10%,+10%,18,+6%,D,+6%,500 g (2 x 250 g),"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,
19,Poulet fermier d'Auvergne - Carrefour,3560070739394,,"Poulet fermier d'Auvergne. Poulet nourri sans OGM (<0,9%). Produit frais. Classe A. Prêt à cuire. Eviscéré sans abats.",['Carrefour'],,,Origine France. Traçabilité par QR code : retrouvez l'éleveur et la localisation de l'élevage de votre poulet Filière Qualité Carrefour en flashant le QR code sur l'étiquette poids prix à l'aide de votre smartphone.,Fabriqué par EMB 03236 pour Interdis,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)', 'EMB 03236', 'Saint-Germain-des-Fossés (Allier, France)']",['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Poulet saumuré cuit et fumé - Carrefour,3560070760480,,Poulet saumuré cuit et fumé.,['Carrefour'],,"['Viande Française', 'Volaille Française']",Poulet origine France.,Fabriqué pour Interdis,"['FR 61.096.018 CE', ""Chapelle-d'Andaine (Orne, France)""]",['Carrefour'],['France'],"['Ingrédients ', 'à la mise en oeuvre', ' : Poulet 89%', 'eau 8,5%', 'sel', 'sirop de glucose', 'dextrose', 'arômes naturels', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",658,,157,,"7,4",,"0,6",,22,,,,,,,,,4,,,658 kj(157 kcal),2,"0,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
21,Jambon sec tomate & fromage italien - Carrefour - 200g,3560070768202,,"Salade composée de crudités (60%), jambon sec, fromage italien, sauce vinaigrette au vinaigre balsamique",['Carrefour'],['Salades'],['Fabriqué en France'],,Fabriqué en France par B=EMB 45082 ou K=EMB 13018D pour Interdis. La lettre inscrite à coté de la DLC identifie le lieu de conditionnement.,"['EMB 45082', 'Châteauneuf-sur-Loire (Loiret, France)', 'EMB 13018D', 'Cabannes (Bouches-du-Rhône, France)']",['Carrefour'],['France'],"['Salade composée 87', '5% : Tomate 30%', 'scarole', 'jambon sec 15% ', 'jambon de porc', 'sel', 'conservateur: nitrate de potassium', 'frisée', 'chicorée rouge', 'fromage italien 12', '5% ', 'lait', 'sel', 'présure', 'conservateur : lysozyme ', 'contient œuf', 'roquette', 'Sauce vinaigrette au vinaigre balsamique 12', '5% : Huile de tournesol', 'vinaigre balsamique 3', '7% ', 'vinaigre de vin', 'moût de raisin concentré', ""colorant : caramel au sulfite d'ammonium"", 'sel', 'poivre', 'Viande de porc origine UE']","['Non végétalien', 'Non végétarien']",698,+29%,169,+19%,14,+72%,"0,5",-95%,"9,9",+97%,,,,,,,,4,,"['Œufs', 'Lait', 'Salade composée', 'Sauce vinaigrette au vinaigre balsamique']",698 kj(169 kcal),"4,3","0,5","1,5","0,6",,14 g,en quantité modérée,4.3 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,+20%,+252%,-77%,+83%,+83%,1,+15%,B,+15%,200 g,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E1105 - Lysozyme', ""E150d - Caramel au sulfite d'ammonium""]",,,,
22,Nappage blond gout abricot - Carrefour - 6.5kg,3560070817627,,Nappage blond goût abricot,['Carrefour'],,,,Fabriqué en France par EMB 35163A pour Interdis.,"['EMB 35163A', 'Luitré (Ille-et-Vilaine, France)']",['Carrefour'],['France'],"['S irop de glucose', 'eau', 'sucre', 'gélifiants : pectines', 'alginate de sodium et gomme xanthane', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'arôme', 'colorants : anthocyanes et caroténoïdes', 'stabilisants : diphosphates et phosphates de calcium']",[],877,,207,,?,,50,,?,,,,,,,,,4,,,877 kj(207 kcal),,40,"0,14","0,056",,,,,,,,,,,,,,,,,,,6.5 kg,"['E440 - Pectines', 'E401 - Alginate de sodium', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E163 - Anthocyanes', 'E160 - Caroténoïdes', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,,,
23,Nappage rouge gout fraise - Carrefour - 900g,3560070817719,,Nappage rouge gout fraise,['Carrefour'],"['Aides culinaires', 'Nappages']",,,Fabriqué en France par EMB 35163A pour Interdis.,"['EMB 35163A', 'Luitré (Ille-et-Vilaine, France)']",['Carrefour'],['France'],"['Sirop de glucose', 'eau', 'sucre', 'gélifiants : pectines', 'alginate de sodium et gomme xanthane', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'arôme', 'colorants : anthocyanes et caroténoïdes', 'stabilisants : diphosphates et phosphates de calcium']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",877,-30%,207,-25%,?,,50,-20%,?,,,,,,,,,4,,,877 kj(207 kcal),,40,"0,14","0,056",,,,,,40 g,en quantité élevée,0.14 g,en faible quantité,-27%,,-21%,+11%,+11%,,,,,900 g,"['E440 - Pectines', 'E401 - Alginate de sodium', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E163 - Anthocyanes', 'E160 - Caroténoïdes', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,,,
24,Poulet Prêt à cuire - Carrefour,3560070832934,,"Produit frais. Eviscéré, sans abats. Classe A.",['Carrefour'],,"['Viande Française', 'Volaille Française']",Volaille Origine France,Fabriqué en France pour Interdis.,,['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Festonate Bolognaise - Carrefour - 300g,3560070848034,E,Pâtes alimentaires aux œufs cuites accompagnées d'une sauce (50%) à la tomate et à la viande de bœuf.,['Carrefour'],"['Epicerie', 'Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Sauces', 'Sauces à la viande', 'Sauces pour pâtes', 'Sauces tomate', 'Sauce tomate à la viande', 'Sauces bolognaises']","['Viande Française', 'Sans arômes artificiels', 'Viande Bovine Française', 'Sans exhausteur de goût', 'Sans huile de palme']",,Fabriqué en France par EMB 84007 W pour Interdis.,"['FR 84.007.020 CE', 'Avignon (Vaucluse, France)', 'EMB 84007W', 'Avignon (Vaucluse, France)']",['Carrefour'],['France'],"['Pâtes alimentaires aux oeufs type Festonate cuites 49% ', 'eau', 'semoule de blé dur', 'oeuf 4,9%', 'tomates pelées concassées à la purée de tomate 17,5% ', 'tomates pelées concassées', 'purée de tomate', 'viande de boeuf 12%', 'eau', 'double concentré de tomate 4,2%', 'oignon préfrit ', 'oignon', 'huile de tournesol', 'préparation aromatique ', 'arôme naturel', 'colorants : caramel ordinaire - curcumine - extrait de paprika', 'huile de tournesol', 'carotte 1,5%', 'arôme naturel de paprika', 'sucre', 'sel', 'ail en poudre', 'arôme naturel ', 'contient lait', 'épaississant : gomme xanthane', 'curcuma']","['Non végétalien', 'Non végétarien']",612,+75%,146,+68%,"5,9",+44%,17,+160%,"5,6",+25%,91.7%,4.0%,1.7%,1.5%,0.7%,0.5%,24,4,,"['Œufs', 'Gluten', 'Lait']",612 kj(146 kcal),"1,5","2,5","0,61","0,244",,5.9 g,en quantité modérée,1.5 g,en quantité modérée,2.5 g,en faible quantité,0.61 g,en quantité modérée,+70%,+23%,-47%,-45%,-45%,0,-100%,B,-100%,300 g,"['E150a - Caramel E150a', 'E100 - Curcumine', 'E160c - Extrait de paprika', 'E415 - Gomme xanthane']",,,,
26,Cordons bleus de dinde surgeles - Carrefour,3560070854103,D,"Préparation de viande de dinde (53%) garnie au jambon de dinde cuit standard (10%) et au fromage fondu (10%), panée, cuite et surgelée.",['Carrefour'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']",,Ce produit est fabriqué à partir de viande de dinde origine UE.,Fabriqué par ARRIVE SAS 85250 SAINT FULGENT pour Interdis,"['FR 85.233.001 CE', 'Saint-Jean-de-Beugné (Vendée, France)']",['Carrefour'],['France'],"['Préparation de viande de dinde 39%', 'eau', 'chapelure ', 'farine de blé', 'sel', 'levure', 'épices', ',fromage fondu ', 'fromages', 'eau', 'amidon transformé de maïs et de pomme de terre', 'beurre', 'lait écrémé en poudre,lactosérum', 'sels de fonte : E330 - E331 - E452', 'gélifiant : carraghénanes', 'huile de tournesol', 'farine de blé', 'sirop de glucose', 'protéines de soja', 'amidon transformé de tapioca', 'sel', 'arômes naturels', 'stabilisants : E451 - E452', 'gélifiant : E407a', 'conservateurs : E250 - E316', 'Traces éventuelles de céléri', 'moutarde et oeuf', 'Ce produit est fabriqué à partir de viande de dinde origine UE']",['Non végétalien'],881,-4%,212,-5%,11,-10%,15,+4%,12,-5%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,4,,"['Gluten', 'Lait']",881 kj(212 kcal),"2,2","0,9","1,4","0,56",,11 g,en quantité modérée,2.2 g,en quantité modérée,0.9 g,en faible quantité,1.4 g,en quantité modérée,-5%,-31%,-49%,+5%,+5%,4,-44%,C,-44%,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,,,
27,Thé Earl Grey - Saxo - 175g,3560070869763,A,Thé noir aromatisé citron et bergamote avec écorces de citron.,"['Saxo', 'Carrefour']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés', 'Thés au citron', 'Thés noirs aromatisés au citron']",['Produits destinés aux professionnels'],Thé de Ceylan emballé au Sri Lanka TC/E/PR/473/125.,"Thé de Ceylan, emballé au Sri Lanka TC/E/PR/473/125",,['Carrefour'],['France'],"['Thé noir', 'arôme naturel ', 'bergamote', '1%', 'arôme naturel ', 'citron', ' 2%', 'écorces de citron 1%']",[],?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,4,,,,,,,,['Carton'],,,,,,,,,,,,,,,,,,175 g,,['Sri Lanka'],,,
28,Morceaux de thon listao au naturel - Carrefour - 210g (3x 70g) gr,3560070917631,E,Morceaux de Thon listao au naturel,['Carrefour'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons au naturel']",['Fabriqué en Espagne'],,Fabriqué en : / N° d'agrément : voir sur la poche et importé par EMB 92026O pour Interdis,"['EMB 92026O', 'Courbevoie (Hauts-de-Seine, France)']",['Carrefour'],['France'],"['Thon listao ', 'Katsuwonus pelamis', 'eau', 'sel', 'Zone de pêche FAO : voir sur la poche']","['Non végétalien', 'Non végétarien']",421,-14%,99,-14%,"0,8",-47%,?,,23,-8%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,3,,['Thon listao'],421 kj(99 kcal),"0,3",,"0,75","0,3",,0.8 g,en faible quantité,0.3 g,en faible quantité,,,0.75 g,en quantité modérée,-12%,-36%,,-28%,-28%,,,,,210 g (3 x 70 g) gr,,,,,
29,Morceaux de thon listao à l'huile de tournesol - Carrefour - 210g (3x 70g) gr,3560070917662,E,Morceaux de Thon listao à l'huile de tournesol,['Carrefour'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile de tournesol""]",['Fabriqué en Espagne'],,Fabriqué en : / N° d'agrément : voir sur la poche et importé par EMB 92026O pour Interdis,"['EMB 92026O', 'Courbevoie (Hauts-de-Seine, France)']",['Carrefour'],['France'],"['Thon listao ', 'Katsuwonus pelamis', 'huile de tournesol 8%', 'sel', 'Zone de pêche FAO : voir sur la poche']","['Non végétalien', 'Non végétarien']",829,-9%,198,-9%,10,-28%,?,,27,+19%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,3,,['Thon listao'],829 kj(198 kcal),"1,2",,"0,81","0,324",,10 g,en quantité modérée,1.2 g,en faible quantité,,,0.81 g,en quantité modérée,-9%,-33%,,-26%,-26%,,,,,210 g (3 x 70 g) gr,,,,,
30,Mini Chapon - Carrefour,3560070925636,,"Mini chapon éviscéré, sans abats, prêt à cuire. Produit frais. Classe A. Origine France.",['Carrefour'],,"['Viande-francaise', 'Volaille-francaise']",Origine France.,Conditionné pour Interdis.,,['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
