,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,manufacturing,traceability_code,markets,generic_name,ingredients_origins,link
0,Galettes royales - Serebis,3254950008495,['Serebis'],['France'],"['Farine de blé fo', 'ttaçe pâtissier ', '26%', ' ', 'sucre', 'fèves de soja', 'haricots dextrose amidon mdfié', 'huile de cclZò', ': n:urel', ""fibres d'agrumes"", ""v' sucre"", 'huile de eaut de ghxose fnxtosee jaune deufs ooud:e à : E450t sirop de glucose', 'albumine stablfsnt:E339i 616', 'arôme', 'e es', ' des traces de fruits à coqu']",['E339i - Phosphate monosodique'],[],4,?,443,1854 kj(443 kcal),"21,9","8,5","55,8","30,3","4,7","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200G 12 BAMBIZOUS SEREBIS - 200g,3254950008570,['Serebis'],['France'],[],,[],,?,410,1715 kj(410 kcal),?,14,?,55,"2,5","0,4","0,16",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gateau saveur amande - Serebis,3254950008600,['Serebis'],['France'],"['Fourrage saveur amandes ', '47%', ' ', 'sucre', 'fèves de soja', 'eau', 'haricots blancs', 'dextrose', 'amidon modifié', 'huile de colza', 'huile de palme', 'arôme naturel', 'selt fibres dtaarumes', ""noyaux d'abricot"", 'épaississants : E440', 'E466 acidifiant : E330 ', 'émulsifiant : E471 t farine de blé', 'sucre', 'huile de palme eau', 'huile de colza,jaune dt?u s de poules élevées au sol', 'œufs de poules élevées au sol', 'amandes ', '1 ,2%', 'onseil du Pâtissier : sirop de qlucose - fructose', 'farine de soja', 'sel', 'émulsifiants : lécithine de soja', 'E471', 'poudres à lever : E450', '600', 'arôme naturel', 'amidon 240ge']","['E14XX - Amidons modifiés', 'E440 - Pectines', 'E466 - Carboxyméthylcellulose', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Huile de palme', 'Non végétalien']",4,?,421,1761 kj(421 kcal),"16,5","5,6","61,6","39,2","5,3","0,6","0,24",,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux aux amandes']",['Huile de palme'],"['Fruits à coque', 'Soja']",16.5 g,en quantité modérée,5.6 g,en quantité élevée,39.2 g,en quantité élevée,0.6 g,en quantité modérée,,-4%,-4%,-28%,-30%,+32%,+33%,-35%,+97%,+97%,20,+12%,E,+12%,,,,,,,,,,,,,,,,
3,Tarte a La Fraise - Serebis,3254950008822,['Serebis'],['France'],"['Génoises: Farine de blé', 'sucre', 'huile de tournesol', 'eufs pasteurisés', 'eau', 'humectant ', 'glycérol', 'sorbitol', 'sirop de glucose', 'dextrose', 'sel', 'arôme naturel de citron', ' Garniture ', '20%', ': sirop de glucose-fructose', 'eau', 'sucre', 'amidon modifié', 'purée de fraises 1', '5% ', 'fraises', 'sucre', 'poudre de crème 1% ', 'lait', 'graines de fraises', 'arôme de crème de lait', 'arôme', ' Nappage: Sirop de glucose', 'eau', 'dextrose', 'sucre', 'arôme', ' Poudre à lever ', 'E-500ii', 'E-503i', 'épaississants ', 'E-460', 'E-466', 'gomme de xanthane', 'gélifiant ', 'pectine', 'colorants ', 'E-163', 'E-171', 'E-120', 'acidulant ', 'acide citrique', ""correcteur d'acidité "", 'citrate de sodium', 'antioxydant ', 'E-336', 'conservateur ', 'E-200', 'E-202', ' Peut contenir des traces de fruits à coque et de soja']","['E422 - Glycérol', 'E420 - Sorbitol', 'E14XX - Amidons modifiés', 'E500ii - Carbonate acide de sodium', ""E503i - Carbonate d'ammonium"", 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E440 - Pectines', 'E163 - Anthocyanes', 'E171 - Oxyde de titane', 'E120 - Acide carminique', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E336 - Tartrates de potassium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,?,386,1615 kj(386 kcal),21,"2,8",45,21,4,"0,4","0,16",,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Tartes aux fraises', 'en:Strawberry short cake']",,['Lait'],21 g,en quantité élevée,2.8 g,en quantité modérée,21 g,en quantité élevée,0.4 g,en quantité modérée,,+102%,+102%,+203%,-25%,+52%,+31%,+39%,+72%,+72%,11,+39%,D,+39%,C,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,,,,
4,Gaufres poudrées aux œufs frais - Serebis - 360g e,3254950008846,['Serebis'],['France'],"['œufs frais ', '32 %', 'sucre', 'farine de blé', 'matières grasses végétales ', 'palme', 'colza', 'dextrose', 'farine de soja', 'lactosérum en poudre', 'amidon de blé', 'sel', 'émulsifiant : lécithines de soja', 'arôme naturel']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,443,1854 kj(443 kcal),23,"8,9",51,33,"7,4","0,48","0,192",360 g e,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",,"['Œufs', 'Gluten', 'Lait', 'Soja']",23 g,en quantité élevée,8.9 g,en quantité élevée,33 g,en quantité élevée,0.48 g,en quantité modérée,,-2%,-1%,+7%,-14%,-11%,+9%,+23%,-32%,-32%,22,+1%,E,+1%,C,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['Plastique'],['Point Vert'],['Union européenne'],,,,,
5,16 Paquets De 12 Croc' Neige Géantes - Serebis,3254950008983,['Serebis'],['France'],"['Sucre', 'glucose', ""blanc d'œufs reconstitué"", 'huiles et matières grasses végétales ', 'palme', 'farine de blé', 'cacao', 'poudre de coco', 'émulsifiants: ', 'E420', 'E320 E406', 'E471', 'E452', 'arôme vanille', 'sel', ""poudre de jaune d'oeufs"", 'agent élévateur ', 'E500i']","['E420 - Sorbitol', 'E320 - Butylhydroxyanisol', 'E406 - Agar-agar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium']","['Huile de palme', 'Non végétalien']",4,?,410,1715 kj(410 kcal),15,14,65,55,"2,5","0,4","0,16",,,,"['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,
6,8 Paquets De Maxi Fonds De Tarte Choco x 3,3254950009447,,['France'],[],,[],,?,336,1406 kj(336 kcal),9,1,70,39,"6,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12 Paquets De Gaufre Au Lait - Serebis,3254950009942,['Serebis'],['France'],"['farine de froment', 'sucre', 'oeufs entiers', 'huile de colza', 'sirop de sucre inverti', 'huile et matières grasses végétales ', 'huile de palme', 'huile de coco', 'huile de palme partiellement hydrogénée', 'huile de colza', 'oligofructose', 'lait écrémé en poudre équivalent à 1 1 % de lait écrémé', 'amidon', 'poudre à ever ', 'tartrate de mono potassium', 'carbonate sodium', 'sel', 'émulsifiant', ' lécithine de soja', 'arômes']","['E334 - Acide L-tartrique', 'E500i - Carbonate de sodium', 'E322i - Lécithine']","['Huile de palme', 'Non végétalien']",4,?,422,1766 kj(422 kcal),"17,8","4,22","58,5","36,6","6,2","0,29","0,116",,,['Huile de palme'],"['Gluten', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Boules au fromage,3254950446464,,['France'],[],,[],,?,532,2226 kj(532 kcal),33,14,55,1,"5,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Roulade choco,3254950446518,,['France'],[],,[],,?,407,1703 kj(407 kcal),"18,2","10,1",57,"36,1","4,9","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Pruneaux Agen 28 / 33 1Kg, - 1kg",3254981102209,,['France'],[],,[],,?,250,1046 kj(250 kcal),"0,4","0,2",55,37,"1,4","0,1","0,04",1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,,0.4 g,en faible quantité,0.2 g,en faible quantité,37 g,en quantité élevée,0.1 g,en faible quantité,,+4%,+4%,+11%,+75%,+3%,+2%,-25%,+625%,+625%,6,+174%,C,+174%,E,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,"['EMB 47049B', 'Casseneuil (Lot-et-Garonne, France)']",,,,
11,"Pruneaux Agen 33 / 44 1Kg, - Maitre Prunille - 1kg",3254981105200,['Maitre Prunille'],['France'],"['Pruneaux d’Agen', 'sorbet de potassium ', 'conservateur']",,[],3,?,250,1046 kj(250 kcal),"0,4","0,2",55,37,"1,4",0,0,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,,0.4 g,en faible quantité,0.2 g,en faible quantité,37 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,+11%,+75%,+3%,+2%,-25%,-100%,-100%,1,-54%,B,-54%,E,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,,
12,Bouchées traiteur,3255140000015,,['France'],[],,[],,?,517,2163 kj(517 kcal),33,23,46,"1,1","7,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT FOUR.6 Bouchees Feuil. - Les petits fourneaux,3255140001203,['Les petits fourneaux'],['France'],"['Farine de blé', 'huiles et graisses végétales ', 'palme', 'palme totalement hydrogénée', 'colza', 'sel', 'oeufs', 'émulsifiant : E471', 'colorant : :ETÉEs caroténoïdes', 'poudre à lever : carbonates de sodium', ' Fabriqué dans un atelier qui utilise : lait', ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes', "" d'aubergines de vinaigre de d'huile d'olive "", 'poivre']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium']","['Huile de palme', 'Non végétalien']",4,?,545,2280 kj(545 kcal),"34,8","19,1","47,7",1,"7,3","1,9","0,76",,,,"['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bouchées Vol Au Vent - Maison Mariebel,3255140005003,['Maison Mariebel'],['France'],"['farine de blé ', 'gluten', 'huiles et graisses végétales ', 'palme', 'colza', 'sel', 'oeufs', 'colorant : caroténoïdes', 'poudre à lever : carbonates de sodium', 'émulsifiant : E471', ' Fabriqué dans un atelier qui utilise : lait']","['E160 - Caroténoïdes', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,526,2201 kj(526 kcal),34,18,46,"1,1","7,7","1,32","0,528",,"['Plats préparés', 'Feuilleté salé', 'Bouchée à la reine']",,"['Œufs', 'Gluten']",34 g,en quantité élevée,18 g,en quantité élevée,1.1 g,en faible quantité,1.32 g,en quantité modérée,,+83%,+75%,+69%,+61%,+93%,-19%,+7%,+20%,+20%,21,+59%,E,+59%,,,,,,,,,,,,,,,,
15,8 Choux A Garnir PT Fourn,3255141706039,,['France'],[],,[],,?,533,2230 kj(533 kcal),35,12,37,"0,9",17,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Eclairs prets a garnir,3255141707036,,['France'],[],,[],,?,533,2230 kj(533 kcal),35,12,37,"0,9",17,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12 Fleurons feuilletés - Les Petits Fourneaux,3255142131021,['Les Petits Fourneaux'],['France'],"['Farine de blé', 'huiles et graisses végétales ', 'palme', 'colza', 'sel', 'oeufs', 'colorant : caroténoïdes', 'poudie à lever : carbonates de sodium', 'émulsifiant : E471', ' Fabriqué dans un atelier qui utilise : lait']","['E160 - Caroténoïdes', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Huile de palme', 'Non végétalien']",4,?,532,2226 kj(532 kcal),33,17,49,1,"8,6","2,1","0,84",,,,"['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Mini bouchées feuilletées prêtes à garnir, la barquettes de - Les petits fourneaux",3255142317029,['Les petits fourneaux'],['France'],"['Farine de blé', 'huiles et graisses végétales ', 'palme', 'sel', 'œufsiémulsifiant : E471', ' Fabriquédàns un atelier qui utilise : lait', ' Les informations en gras sont destinées aux personnes allergiques Ou intolérantes']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Huile de palme'],4,?,543,2272 kj(543 kcal),"34,6",19,"49,5","1,1","7,2","1,8","0,72",,,,['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Tartelettes - Les Petits Fourneaux - 90, 9tartelettes",3255143102037,"['Les Petits Fourneaux', 'Mariebel']",['France'],"['farine de blé', 'huiles et graisses végétales ', 'palme', 'colza', 'sel', 'poudres à lever ', 'carbonates de sodium', 'diphosphates', 'amidon de blé', 'émulsifiant ', 'E471', 'colorant ', 'caroténoïdes']","['E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160 - Caroténoïdes']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,2046,?,2046 kj(489 kcal),25,13,56,"1,2","8,1","2,1","0,84","90, 9 tartelettes","['Tartes', 'Tartelettes']",,['Gluten'],25 g,en quantité élevée,13 g,en quantité élevée,1.2 g,en faible quantité,2.1 g,en quantité élevée,+24%,,+35%,+66%,+53%,+12%,-96%,+79%,+605%,+605%,25,+46%,E,+46%,,,,,,,,,"['Green dot', 'Pensez au tri!', 'Barquette et film plastique à jeter', 'Étui carton à recycler']",,['France'],,['Intermarché'],,,
20,Quatre-Quarts,3255290251220,,['France'],[],,[],,?,448,1874 kj(448 kcal),25,16,48,27,"6,3","1,1","0,44",,"['Biscuits et gâteaux', 'Gâteaux', 'Quatre-quarts']",,,25 g,en quantité élevée,16 g,en quantité élevée,27 g,en quantité élevée,1.1 g,en quantité modérée,,+5%,+5%,+10%,+31%,-2%,-4%,+9%,+8%,+8%,24,+6%,E,+6%,D,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,,,,,,,,
21,Petites Madeleines - Le ster - 300g,3255290251442,['Le ster'],['France'],"['Farine de blé *', 'oeufs *', 'huile de colza*', 'sucre de canne*', 'sirop de glucose-fructose*', 'sirop de sucre inverti*', 'amidon', 'poudres à lever ', 'phosphate de calcium', 'carbonate de sodium', 'sel', 'arôme naturel amande amère', 'gomme guar*', "" *ingrédients issus de l'agriculture biologique1""]","['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium', 'E412 - Gomme de guar']",['Non végétalien'],4,1915,457,1915 kj(457 kcal),21,"2,2",59,35,"6,5","0,97","0,388",300 g,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,"['Œufs', 'Gluten']",21 g,en quantité élevée,2.2 g,en quantité modérée,35 g,en quantité élevée,0.97 g,en quantité modérée,+2%,+4%,+4%,-8%,-68%,+12%,+27%,+14%,+20%,+20%,18,-2%,D,-2%,B,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
22,MADELEINES PETITES - Bien,3255290251848,['Bien'],['France'],[],,[],,?,453,1895 kj(453 kcal),?,"2,3",?,33,"6,5","0,7","0,28",,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,,2.3 g,en quantité modérée,33 g,en quantité élevée,0.7 g,en quantité modérée,,+3%,+3%,,-67%,,+20%,+14%,-14%,-14%,,,,,B,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
23,8 Madeleines Coquilles Bio - Bien - 200g,3255290251855,['Bien'],['France'],"['farine de blé*', 'sucre de canne*', 'œufs* 22%', 'huile de colza*', 'sirop de blé*', 'arôme naturel', 'poudres à lever ', 'phosphates de calcium', 'carbonates de sodium', 'sel', 'arôme naturel amande amère', "" * : issus de I'aqriculture biologique""]","['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1866,?,1866 kj(446 kcal),22,"2,1",55,32,"6,5","0,7","0,28",200 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,"['Œufs', 'Gluten']",22 g,en quantité élevée,2.1 g,en quantité modérée,32 g,en quantité élevée,0.7 g,en quantité modérée,-0%,,+1%,-4%,-70%,+4%,+16%,+14%,-14%,-14%,17,-8%,D,-8%,B,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"['Sachet', 'Plastique']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert']",,,,,,
24,Madeleines longues au sucre le ster,3255290252616,['Le ster'],['France'],[],,[],,?,449,1879 kj(449 kcal),20,"2,2",60,35,"5,6",1,"0,4",,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,20 g,en quantité modérée,2.2 g,en quantité modérée,35 g,en quantité élevée,1 g,en quantité modérée,,+2%,+2%,-12%,-68%,+14%,+27%,-1%,+23%,+23%,18,-2%,D,-2%,B,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,
25,Financiers Fondants aux Amandes - Le Ster,3255290252814,['Le Ster'],['France'],[],,[],,?,406,1699 kj(406 kcal),20,"6,25","46,88","34,38","6,88","0,9","0,36",,"['Biscuits et gâteaux', 'Gâteaux', 'Financiers']",,,20 g,en quantité modérée,6.25 g,en quantité élevée,34.4 g,en quantité élevée,0.9 g,en quantité modérée,,-10%,-10%,-25%,-51%,+9%,+6%,-16%,+171%,+171%,21,-3%,E,-3%,D,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,,['Sans conservateurs'],,,,,,
26,Madeleines longues choco - Le Ster - 250g,3255290252869,['Le Ster'],['France'],"['Farine de blé', 'huile de colza', 'oeufs frais 16%', 'sucre', 'chocolat 10% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'cacao maigre en poudre', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille ', 'strop de glucose-fructose stabilisant : glycérol', 'cacao maigre en poudre', 'lait écrémé en poudre', 'amidon', 'poudres à lever : diphosphates', 'carbonates de sodium', 'émulsifiant : E471', 'sel', 'arômes naturels', 'épaississants : gomme xanthane - gomme guar', ' Peut contenir des traces de fruits à coque']","['E322i - Lécithine', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E415 - Gomme xanthane', 'E412 - Gomme de guar']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,449,1879 kj(449 kcal),23,"4,2",51,30,"6,7","0,9","0,36",250 g,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat', 'Madeleines longues']",,"['Œufs', 'Gluten']",23 g,en quantité élevée,4.2 g,en quantité modérée,30 g,en quantité élevée,0.9 g,en quantité modérée,,+2%,+3%,+8%,+21%,-7%,+6%,+19%,+7%,+7%,18,+11%,D,+11%,D,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,['Sans conservateurs'],,,,,,
27,Madeleine longue tout chocolat - Le Ster le pâtissier - 250g,3255290252883,['Le Ster le pâtissier'],['France'],"['Farine de blé', 'huile de colza', 'œufs frais 16%', 'sucre', 'chocolat 10% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'cacao maigre en poudre', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', 'sirop de glucose-fructose', 'stabilisant: glycérol', 'cacao maigre en poudre', 'lait écrémé en poudre', 'amidon', 'poudres à lever: diphosphates', 'carbonates de sodium', 'émulsifiant: E471', 'sel', 'arômes naturels', 'épaississants : gomme xanthane- gomme guar']","['E322i - Lécithine', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E415 - Gomme xanthane', 'E412 - Gomme de guar']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,?,449,1879 kj(449 kcal),23,"4,2",51,30,"6,7","0,9","0,36",250 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat', 'Madeleines longues']",,"['Œufs', 'Gluten']",23 g,en quantité élevée,4.2 g,en quantité modérée,30 g,en quantité élevée,0.9 g,en quantité modérée,,+2%,+3%,+8%,+21%,-7%,+6%,+19%,+7%,+7%,18,+11%,D,+11%,D,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,
28,Madeleines Coquilles Pur Beurre - Douceurs du Moulin - 400g,3255290252999,['Douceurs du Moulin'],['France'],"['Farine de BLÉ 34 %', 'sucre', 'BEURRE concentré 16 %', ' ŒUFS 16 %', 'sirop de glucose-fructose', 'stabilisant : glycérol', 'dextrose', 'LAIT écrémé en poudre', 'poudres à lever : diphosphates - carbonates de sodium', 'sel', 'amidon', 'arôme vanille']","['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,433,1812 kj(433 kcal),19,12,59,31,"6,5","1,2","0,48",400 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,"['Œufs', 'Gluten', 'Lait']",19 g,en quantité modérée,12 g,en quantité élevée,31 g,en quantité élevée,1.2 g,en quantité modérée,,-2%,-2%,-17%,+73%,+12%,+13%,+14%,+48%,+48%,26,+41%,E,+41%,B,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,['Plastique'],"['Point Vert', 'Pur beurre']",,,,Madeleines Coquilles Pur Beurre,,
29,Muffins Tout Choco et Maxi Pépites Choco Lait - Whaou! - 216g,3255290253026,['Whaou!'],['France'],"['Gâteau 85%: farine de blé', 'huile de colza', 'œufs frais 15%', 'sucre', 'éclats de chocolat au lait 13% ', 'sucre', 'beurre de cacao', 'lait en poudre', 'pâte de cacao', 'lactose', 'lactosérum', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'stabilisant : glycérol', 'chocolat 6% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'cacao maigre en poudre', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', 'poudre de cacao maigre', 'arôme naturel', 'poudres à lever ', 'carbonates de sodium', 'diphosphates', 'sel', 'arôme naturel de cacao', 'épaississants ', 'gomme xanthane', 'gomme guar', ' Fourrage au chocolat 15% : sirop de glucose', 'chocolat en poudre 20% ', 'sucre', 'poudre de cacao', 'eau', 'lait écrémé concentré sucré ', 'lait écrémé', 'sucre', 'stabilisant : glycérol', 'sucre', 'amidon modifié', 'extrait de cacao', 'gélifiant : pectine', 'émulsifiant : E471', ' \rPeut contenir des traces de fruits à coque']","['E322i - Lécithine', 'E422 - Glycérol', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E14XX - Amidons modifiés', 'E440 - Pectines', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,426,1782 kj(426 kcal),20,"4,6",53,29,"5,3","0,67","0,268",216 g,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Gâteaux au chocolat', 'Muffins au chocolat']",,"['Œufs', 'Lait']",20 g,en quantité modérée,4.6 g,en quantité modérée,29 g,en quantité élevée,0.67 g,en quantité modérée,,+2%,+2%,-9%,+9%,+8%,+4%,+1%,-15%,-15%,17,+2%,D,+2%,D,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,['Sans conservateurs'],,,,"Muffin chocolat aux éclats de chocolat au lait, fourrage chocolat",,
30,Muffin - Whaou!,3255290253101,['Whaou!'],['France'],"['CHOCOLflT flux DE CHOCOLRT Ingrédients Gâteau 857', ' farine de BLF huile de colza', 'OEUfS frais', ' Traces eventue sucre', 'éclats de chocolat au I RIT 137', ' ', 'sucre', ' beurre de cacao', '[RIT consommer en poudre', 'pâte de cacao', ' tflCTOSE', 'LflCTOSERUt1 émulsifiant ', ' Valeurs nutritit lécithine de SOJR arôme naturel de vanille', 'stabilisant : glycérol']",['E422 - Glycérol'],['Non végétalien'],4,?,452,1891 kj(452 kcal),23,"1,7",55,30,"5,3","0,69","0,276",,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,['Œufs'],23 g,en quantité élevée,1.7 g,en quantité modérée,30 g,en quantité élevée,0.69 g,en quantité modérée,,+14%,+14%,+14%,-55%,+13%,+12%,+2%,-7%,-7%,15,-3%,D,-3%,,,,,,,,,,,,,,,,
31,Galettes Rotales,3255290253149,,['France'],[],,[],,?,431,1803 kj(431 kcal),17,11,62,36,6,"0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
