,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,manufacturing,traceability_code,markets,generic_name,ingredients_origins,link
288,"Pomme Golden Delicious, calibre 115/150 catégorie 1 - U - 1,4kg",3256223377611,['U'],['France'],[],,[],,219,52,219 kj(52 kcal),"0,2",0,"11,3","11,3","0,3",0,0,"1,4 kg","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Pommes sucrées', 'Pommes Golden Delicious']",,,0.2 g,en faible quantité,0 g,en faible quantité,11.3 g,en quantité modérée,0 g,en faible quantité,,+44%,+48%,-35%,-100%,+35%,+208%,-80%,-100%,-100%,-5,,A,,A,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,"['Barquette', 'Frais']","['Conditionné en France', 'DEMARCHE FLEG METIERS', 'Matière 1erBrut France: fruits']",,,['Magasins U'],,['France'],
289,Pommes de terre potage four - U - 2.5kg,3256223378373,['U'],['France'],"['Pomme de terre de consommation variété Artemis', 'calibre 55/70 mm', 'catégorie 1', 'traité contre la germination']",,[],,?,?,,?,,?,,?,,,2.5 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Pommes de terre', 'Légumes frais', 'Pomme de terre Artemis']",,,,,,,,,,,,,,,,,,,,,,,,,A,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,"['Film plastique', 'Filet plastique', 'Emballage avec les déchets ménager', 'Point vert']",['Catégorie I'],,"['EMB 01231E', 'Manziat (Ain, France)', 'CNIPT 2104533538']",['Super U'],Pomme de terre de consommation variété Artemis,['France'],
290,"Sauce Soja sucrée U, flacon de",3256223379905,['U'],['France'],"['Sucre brun 40%', 'eau', 'sauce soja23% ', 'eau', 'graines de soja', 'blé', 'sel', 'sel', 'extrait de levure']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,226,946 kj(226 kcal),"0,6",0,"51,4","49,7","3,4","7,2","2,88",,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja sucrées']",,"['Gluten', 'Soja']",0.6 g,en faible quantité,0 g,en faible quantité,49.7 g,en quantité élevée,7.2 g,en quantité élevée,,0%,-1%,+235%,-100%,-1%,+8%,+4%,-11%,-11%,22,+6%,E,+6%,B,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,
291,Pommes de terre rôties U,3256223428313,['U'],['France'],[],,[],,?,266,1113 kj(266 kcal),?,"1,6",?,"2,2","4,4","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,100% pur jus multi fruit - U,3256223457375,['U'],['France'],[],,[],,?,101,423 kj(101 kcal),5,0,12,11,"0,3","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,U,3256223660881,['U'],['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Boisson cranberry framboise sans sucres ajoutés - U - 1l,3256223661055,['U'],['France'],"['Jus de fruits à base de concentrés 75% ', 'raisinblanc 45%', 'cranberry** 25%', 'framboise 5%', 'eau de source 24,9%', 'arômes naturels', ' **Variété Vaccinium Macrocarpon']",,[],4,?,39,163 kj(39 kcal),0,0,"9,4","8,5","0,2","0,025","0,01",1 l,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",,,0 g,en faible quantité,0 g,en faible quantité,8.5 g,en quantité élevée,0.025 g,en faible quantité,,-13%,-13%,-100%,-100%,-10%,-12%,-41%,+138%,+138%,8,+19%,D,+19%,C,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,['Pet'],"['Sans colorants', 'Sans conservateurs', 'Transformé en France', 'Recyclé plastique']",,,['Magasins U'],,,
295,Chips saveur vinaigre - U - 135g,3256223664032,['U'],['France'],"['Pommes de terre ', 'France', ' 59 %', 'huile de tournesol 34 %', 'assaisonnement vinaigre [farine de blé', ""correcteur d'acidité : diacétate de sodium"", 'sucre', 'acidifiants : acide citrique et acide malique', 'vinaigre de malt en poudre ', 'gluten', ']', 'sel']","['E262ii - Diacétate de sodium', 'E330 - Acide citrique', 'E296 - Acide malique']",[],4,2273,?,2273 kj(543 kcal),34,"3,1",52,"0,6","5,6","1,4","0,56",135 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips au sel et vinaigre', ""Chips de pommes de terre à l'huile de tournesol""]",,['Gluten'],34 g,en quantité élevée,3.1 g,en quantité modérée,0.6 g,en faible quantité,1.4 g,en quantité modérée,+3%,,+3%,+7%,+9%,+0%,-56%,-6%,-13%,-13%,11,-11%,D,-11%,B,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sachet', 'Plastique']",,,,['Super U'],Chips de pommes de terre saveur vinaigre,,
296,Poêlée façon kebab - U - 900g,3256223666210,['U'],['France'],"['Pomme de terre préfrite 40% ', 'pomme de terre 38%', 'huile de tournesol', 'dextrose', 'oignon préfrit 16% ', 'oignon 14%', 'huile de tournesol', 'viande de poulet traitée en salaison cuite épicée 15% [viande de cuisse de poulet ', 'origine : Union européenne', ' 12%', 'eau', 'huile de tournesol', 'épices et plantes aromatiques 0', '3% ', 'dont paprika 0', '02%', 'sel]', 'eau', 'CREME fraîche 9%', 'tomate', 'vin blanc', 'amidon transformé de maïs', 'ail', 'sel', 'zeste de citron', 'menthe douce 0', '2%', 'enrobage façon kebab 0', '13% ', 'épices et plantes aromatiques', 'chapelure de BLE', 'tomate', 'sel', 'huile de tournesol', ""extrait d'épices"", 'arôme naturel', 'jus de citron à base de concentré ', 'eau', 'jus de citron concentré', 'fond de volaille ', 'viande et graisse de poulet', 'fécule de pomme de terre', 'sel', 'LAIT écrémé en poudre', 'oignon', 'curcuma', 'extrait de carotte', ""extraits d'épices et de plantes aromatiques"", ' Soit dans le produit 22% de sauce à la crème fraîche', ' ', ' Traces éventuelles de crustacés', 'céleri', 'graines de sésame', 'mollusques', 'moutarde', 'oeufs', 'poissons et soja']",['E14XX - Amidons modifiés'],"['Non végétalien', 'Non végétarien']",4,588,?,588 kj(141 kcal),8,"2,6",12,"1,4","4,6","0,39","0,156",900 g,"['Surgelés', 'Plats préparés', 'Poêlées', 'Plats préparés surgelés', 'Poêlées façon kebab']",,"['Gluten', 'Lait']",8 g,en quantité modérée,2.6 g,en quantité modérée,1.4 g,en faible quantité,0.39 g,en quantité modérée,+46%,,+44%,+93%,+128%,+23%,-26%,+46%,-32%,-32%,1,,B,,,,,,,,,,"['Sachet', 'Plastique', 'Surgelé', 'Surgelés']","['Sans arômes artificiels', 'Cuisiné en France', 'Arômes naturels', 'Sans colorants']",,"['FR 79.005.001 CE', 'Airvault (Deux-Sèvres, France)']",['Magasins U'],,,
297,Riz au poulet façon fajitas - U - 900g,3256223666234,['U'],['France'],"['Légumes et riz blanc précuit 70,9% : Riz blanc précuit 32% ', 'eau', 'riz b', 'lanc', 'sel', 'poivron jaune 10%', 'poivron rouge grillé 9%', 'oignon', 'poivro', 'n vert grillé 4%', 'haricot rouge 2%', 'maïs 2%', ' Viande de poulet traitée', 'en salaison rôtie assaisonnée 14% : Viande de poulet traitée en salai', 'son rôtie 13% [filet de poulet ', 'Union européenne', ' 13%', 'dextrose', 'sel],', 'eau', 'épices et plantes aromatiques ', 'dont paprika 0', '02%', 'persil 0,0008', '%', 'poivre <0', '0008%', 'sel', 'dextrose', 'huile de tournesol', 'arômes naturel', 's', ' Sauce tomatée épicée 15,1% : Eau', 'huile de tournesol', 'concentré de', 'tomate 1%', 'épices et plantes aromatiques ', 'dont paprika 0,3%', 'chili 0,1', '%', 'persil ,002%', 'poivre <0,002%', 'sel', 'dextrose', 'arômes naturels', 'ail', 'Certains ingrédients de ce produit ne proviennent pas du Luxembourg']",,"['Non végétalien', 'Non végétarien']",4,428,?,428 kj(102 kcal),"2,8","0,3","12,6","3,1","5,5","0,95","0,38",900 g,"['Surgelés', 'Plats préparés', 'Plats préparés surgelés']",,,2.8 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,0.95 g,en quantité modérée,-30%,,-32%,-60%,-88%,-4%,+48%,-19%,+25%,+25%,0,-100%,B,-100%,,,,,,,,,['Surgelés'],"['Arômes naturels', 'Sans colorants', 'Sans conservateurs']",,,['Magasins U'],,,
