,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
0,AloeVera Green Tea & Lemon,7350021420251,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",['France'],[],[],?,,36,+200%,151 kj(36 kcal),+215%,0,-100%,0,-100%,9,+302%,0,-100%,"0,02",-90%,"0,01",-32%,"0,004",-32%,6,+43%,D,+43%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pain Chocolat x10 pur beurre - 55g,2030500475914,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,55 g,['surgelé'],,,,,,,,,,,,,,,,,,,,,,,
2,Gelée Coings 375G,3263627973363,,,['France'],[],[],?,,246,,1029 kj(246 kcal),,"0,2",,0,,60,,58,,"0,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Amandes décortiquées,3760099530662,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,"['Bio', 'Bio européen', 'ES-ECO-023-MA', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,
4,120G Thon Huile Vegetale Adonis -,5601203122114,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile de tournesol""]",['France'],[],[],?,,213,-2%,891 kj(213 kcal),-2%,13,-6%,"2,1",+17%,0,-100%,0,-100%,23,+2%,"1,38",+27%,"0,552",+27%,5,+62%,C,+62%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,13 g,en quantité modérée,2.1 g,en quantité modérée,0 g,en faible quantité,1.38 g,en quantité modérée,,,,,,,,,,,,,,
5,Barquitas mexicanas integrales 8 unidades envase 193 g - Old El Paso,8410076472854,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']","['France', 'Espagne']",[],[],?,,302,+20%,1264 kj(302 kcal),+20%,7,+103%,1,+86%,"47,9",+12%,2,-45%,"9,3",+6%,1,-15%,"0,4",-15%,2,+201%,B,+201%,,,,,,,,,,['Sans conservateurs'],7 g,en quantité modérée,1 g,en faible quantité,2 g,en faible quantité,1 g,en quantité modérée,['Old El Paso'],,,,,,,,,,,,,
6,Sélection Dessert crème de Marrons - Migros,7616600701112,,,['France'],[],[],?,,234,,979 kj(234 kcal),,"15,6",,"8,5",,20,,18,,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,['Migros'],,,,,,,,,,,,,
7,Cornichon extra-fin,3217450006668,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",['France'],[],[],?,,16,-41%,67 kj(16 kcal),-37%,"0,2",-32%,"0,2",+193%,"0,7",-80%,0,-100%,"1,2",+19%,"1,5",-13%,"0,6",-13%,1,-54%,B,-54%,,,,,,,,,['Bocal'],,0.2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,,,,,,,,,,,,,,
8,café sensation burundi - Auchan,3245678169445,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,['Auchan'],['Auchan'],,,,,,,,,,,,
9,Mangues -,3760222091992,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mangues séchées']",['France'],[],[],?,,275,-17%,1151 kj(275 kcal),-17%,0,-100%,0,-100%,70,-7%,50,-13%,5,+165%,0,-100%,0,-100%,5,-25%,C,-25%,,,,,,,,,,"['Bio', 'Bio européen']",0 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,,,,,,,,,,,,,,
10,Natuurlijk  mineraalwater,0200024011512,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Chocolat Noir de Noël - Le Comptoir de Mathilde,3700961305110,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],[],[],?,,561,+1%,2347 kj(561 kcal),+1%,41,+4%,24,+4%,36,-7%,32,+1%,"7,2",-6%,"0,1",+114%,"0,04",+114%,24,+13%,E,+13%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,41 g,en quantité élevée,24 g,en quantité élevée,32 g,en quantité élevée,0.1 g,en faible quantité,['Le Comptoir de Mathilde'],,,,,,,,,,,,,
12,Naturali,3800024310058,,,['France'],[],[],?,,515,,2155 kj(515 kcal),,"11,3",,"8,1",,65,,"2,4",,"5,5",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mix b12 - Dietaroma,3460341505546,,,['France'],[],"['Végétalien', 'Végétarien']",?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,['Dietaroma'],,,,,,,,,,,,,
14,3250390636816,3250390636816,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Café en grains Costa Rica - Carrefour - 250g,3245414605183,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",['France'],['100% café en grains Arabica du Costa Rica'],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,250 g,,,,,,,,,,,['Carrefour'],['Carrefour'],Café en grains pur Arabica.,Fabriqué en Pologne pour Cafés Liégeois (Rue de Verviers 181 - 4651 Battice - Belgique) pour Interdis,"['EMB 76681', 'Sotteville-lès-Rouen (Seine-Maritime, France)']",,,,,,,,,
16,Corn Flakes - Carrefour - 750g,3560070247295,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Corn-flakes']","['France', 'Italie']","['Maïs 91 %', 'sucre', 'sel', ""extrait de malt d'orge"", ""Peut contenir des traces d'arachides"", 'de fruits à coque', 'de graines de sésame', 'de produits laitiers et de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1599,-1%,377,0%,1599 kj(377 kcal),+1%,"0,8",-27%,"0,1",-65%,84,+2%,"6,5",-39%,"6,8",-6%,"1,9",+57%,"0,76",+57%,9,+20%,C,+20%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,750 g,['Cartone'],,0.8 g,en faible quantité,0.1 g,en faible quantité,6.5 g,en quantité modérée,1.9 g,en quantité élevée,['Carrefour'],['Carrefour'],Pétales de maïs,Fabriqué en Allemagne par H. & J. BRUEGGEN KG,"['EMB 63430F', 'Thiers (Puy-de-Dôme, France)']",Fabriqué en Allemagne par H. & J. BRUEGGEN KG,['Gluten'],3,,,,,,
17,Excellence - Vandemoortele,5410093157201,,,"['Belgique', 'France']",[],[],?,,828,,3464 kj(828 kcal),,92,,8,,0,,0,,0,,0,,0,,,,,,,,,,,,,,['Bouteille'],,,,,,,,,,['Vandemoortele'],['Delhaize'],,,,,,,,,,,,
18,"BUL'Z Saveur Grenadine - Carrefour - 1,5l",3560070596317,,,['France'],"['Eau gazéifiée', 'sucre', 'acidifiant : acide citrique', 'arôme', 'concentrés de cassis et de carotte', 'conservateur : sorbate de potassium', 'édulcorants : acesulfame-K et sucralose']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",107,,25,,107 kj(25 kcal),,?,,,,"6,3",,"6,3",,?,,"0,02",,"0,008",,,,,,,,,,,,,"1,5 l",,,,,,,,,,,['Carrefour'],['Carrefour'],Limonade avec sucre et édulcorants,Fabriquée en Belgique pour/Geproduceerd in België voor Refresco Benelux - Postbus 2603 - 6026 ZG Maarheeze pour / voor Interdis. TSA 91431 - 91343 MASSY Cedex - France,,,,4,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E955 - Sucralose']",,,,,
19,Ananas - Carrefour - 675g,3560070600434,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits', 'Fruits en conserve', 'Fruits tropicaux', 'Ananas', 'Ananas en conserve']",['France'],"['Ananas', 'eau', 'sucre', ""correcteur d'acidité : acide citrique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",257,+7%,?,,257 kj(61 kcal),+5%,?,,,,14,+4%,13,+5%,"0,7",+79%,"0,03",+303%,"0,012",+303%,,,,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,675 g,,,,,,,13 g,en quantité élevée,0.03 g,en faible quantité,['Carrefour'],['Carrefour'],Ananas en tranches au sirop léger,Importé de Thaïlande par Princes Foods pour Interdis.,,Ce produit est fabriqué en Thaïlande à partir d'ananas récoltés en Thaïlande.,,3,['E330 - Acide citrique'],,,,,
20,Mini secrets sabor a vainilla y almendras salsa caramelo - Carrefour - 276g,3560070681662,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés']",['France'],"['Ingredientes: Helado sabor a vainilla 55,5%:Leche desnatada reconstituida', 'agua', 'grasa de coco', 'azúcar', 'jarabe de glucosa y fructosa', 'jarabe de glucosa', 'lactosa y proteínas de la leche', 'emulgente: monoglicéridos y diglicéridos de ácidos grasos', 'gelificantes: goma garrofín y goma guar', 'aroma natural de vainilla', 'vainas de vainilla agotada molida', 'colorantes: annato y curcumina', ' Recubrimiento de chocolate con leche 26%: Azúcar', 'manteca de cacao', 'suero lácteo en polvo', 'materia grasa láctea anhidra', 'pasta de cacao', 'leche desnatada en polvo', 'emulgentes: lecitina de soja y polirricinoleato de poliglicerol', ' Salsa de caramelo 6,5%: Jarabe de glucosa', 'leche desnatada concentrada', 'azúcar', 'agua', 'dextrosa', 'manteca de cacao', 'nata', 'mantequilla', 'gelificante: pectinas', 'sal', 'emulgente: mono - y diglicéridos de ácidos grasos', 'aroma natural', ' Trozos de almendras recubiertas de chocolate 6,5%:Almendras troceadas tostadas 3,9%', 'chocolate 2,6% ', 'pasta de cacao', 'azúcar', 'manteca de cacao', 'emulgente: lecitina de soja', 'aroma natural de vainilla', ' Trozos de almendras tostadas 5,5%', 'Porcentajes expresados sobre el conjunto del producto', ' Puede contener trazas de gluten', 'huevos', 'cacahuetes y otros frutos de cáscara']",[],1512,+28%,363,+31%,1512 kj(363 kcal),+29%,23,+41%,13,+17%,33,+13%,28,+9%,"4,9",+68%,"0,18",+29%,"0,072",+29%,19,+16%,E,+16%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,276 g,,,23 g,en quantité élevée,13 g,en quantité élevée,28 g,en quantité élevée,0.18 g,en faible quantité,['Carrefour'],['Carrefour'],"Helado sabor a vainilla con salsa caramelo, trozos de almendras recubiertas de chocolate, recubrimiento de chocolate con leche con trozos de almendras tostadas.",Fabricado en Francia por EMB 29181 para Interdis.,,,"['Œufs', 'Gluten', 'Soja', 'Ingredientes:', 'Lactosa', 'Leche', 'Láctea', 'Lácteo', 'Mantequilla', 'Nata', 'Recubrimiento de chocolate con leche 26\xa0%:', 'Lactosa', 'Leche', 'Láctea', 'Lácteo', 'Mantequilla', 'Nata']",,,,,,,
21,Cola - Carrefour - 250g,3560070823475,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['France'],"['Sirop de glucose', 'sucre', 'eau', 'gélatine de porc', 'maltodextrine', 'acidifiant : acide citrique', 'colorant : caramel ordinaire', 'huiles végétales ', 'palme', 'palmiste', 'coco', 'arôme naturel', ""agents d'enrobage : cire d'abeille blanche et jaune et cire de carnauba""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",1372,-5%,323,-6%,1372 kj(323 kcal),-5%,"0,5",+25%,"0,2",+19%,74,-8%,51,-11%,"5,8",+58%,"0,02",-83%,"0,008",-83%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,250 g,,['Arômes naturels'],0.5 g,en faible quantité,0.2 g,en faible quantité,51 g,en quantité élevée,0.02 g,en faible quantité,['Carrefour'],['Carrefour'],Confiseries gélifiées aromatisées cola.,"Fabriqué en Belgique par Astra Sweets N.V., Bleukenlaan 18, 2300 Turnhout pour: Interdis",,,,4,"['E428 - Gélatine', 'E330 - Acide citrique', 'E150a - Caramel E150a', ""E901 - Cire d'abeille""]",['Huile de palme'],,,,
22,Néctar pera - Carrefour - 1l,3560070892105,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de poire']","['France', 'Espagne']","['Agua', 'puré de pera', 'zumo de pera a partir de concentrado', 'azúcar', 'acidulante: ácido cítrico', 'antioxidante: ácido ascórbico', 'edulcorante: sucralosa']","['Sans huile de palme', 'Végétalien', 'Végétarien']",148,-24%,35,-35%,148 kj(35 kcal),-35%,"0,5",+155%,0,-100%,"8,4",-35%,"7,9",-34%,"0,5",+77%,"0,01",+39%,"0,004",+39%,11,-28%,E,-28%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 l,,,0.5 g,en faible quantité,0 g,en faible quantité,7.9 g,en quantité élevée,0.01 g,en faible quantité,['Carrefour'],['Carrefour'],Néctar de pera parcialmente a partir de concentrado con azúcar y edulcorante. Contenido de fruta: mínimo 50%.,Envasado en España por Refresco Iberia RGSEAA 21.00294/V para Interdis - TSA 91431 - 91343 Massy - Cedex - Francia,,Este néctar se envasa en España con puré de pera y de zumo de pera a partir de concentrado procedentes de España.,,4,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E955 - Sucralose']",,,,,
23,Yaourt nature sucré - Carrefour - 500g (4x 125g),3560071003913,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourt nature sucré']","['France', 'Espagne']","['Lait entier 89%', 'sucre roux 7,6%', 'poudre de lait écrémé', 'ferments lactiques,País de ordeño de la leche: UEPaís de transformación: España']",['Non végétalien'],358,+29%,85,+18%,358 kj(85 kcal),+20%,3,-16%,2,-14%,11,+126%,11,+148%,"3,1",-25%,"0,13",+8%,"0,052",+8%,3,+430%,C,+430%,59.8%,17.8%,8.5%,7.6%,4.9%,1.3%,91,500 g (4 x 125 g),,,3 g,en quantité modérée,2 g,en quantité modérée,11 g,en quantité modérée,0.13 g,en faible quantité,['Carrefour'],['Carrefour'],Yaourt nature sucré au sucre de canne,Fabriqué par RGSEAA 15.00195/GU y distribué en Espagne par L.N.P.L.R.I.S.A. RGSEAA 40.28739/B pour Interdis.,['ES 15.00195/GU CE'],,['Lait'],3,,,,,,
24,No lactose !* Lait fermenté nature sucré - Carrefour - 1kg964ml,3560071011895,E,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']","['France', 'Espagne']","['Lait partiellement écrémé à 1', '2% de matières grasses', 'sucre 7', '9%', 'lait écrémé en poudre', 'enzyme lactase', 'ferments lactiques', 'Teneur en lactose <0', '01%Origine du lait : Espagne']",['Non végétalien'],267,-13%,63,-12%,267 kj(63 kcal),-12%,"1,1",-27%,"0,7",-26%,11,-3%,11,+3%,"2,6",-10%,"0,11",+4%,"0,044",+4%,17,+6%,E,+6%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,1 kg964 ml,,['Sans lactose'],1.1 g,en faible quantité,0.7 g,en faible quantité,11 g,en quantité élevée,0.11 g,en faible quantité,['Carrefour'],['Carrefour'],"Lait fermenté à boire nature sucré, sans lactose.",Fabriqué par RGSEAA 15.00195/GU et distribué par L.N.P.L.R.I.S.A. RGSEAA 40.28739/B pour Interdis,['ES 15.00195/GU CE'],,['Lait'],,,,,,,
25,Yaourt liquide écrémé EDULCORE - Carrefour - 1kg(972ml),3560071018276,E,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']","['France', 'Espagne']","['Lait écrémé', 'lait écrémé en poudre', 'amidon modifié de maïs', 'édulcorants : acésulfame de potassium - sucralose', 'jus de citron concentré', 'ferments lactiques', 'arôme', 'Origine du lait : Espagne']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",123,-60%,29,-60%,123 kj(29 kcal),-60%,"0,5",-67%,"0,1",-89%,"4,1",-64%,"3,9",-64%,"2,9",0%,"0,13",+23%,"0,052",+23%,7,-56%,D,-56%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,1 kg(972 ml),,"['Peu ou pas de matière grasse', 'Sans sucre ajouté', 'Sans matière grasse']",0.5 g,en faible quantité,0.1 g,en faible quantité,3.9 g,en quantité modérée,0.13 g,en faible quantité,['Carrefour'],['Carrefour'],"Yaourt à boire maigre aromatisé, avec édulcorants.",Fabriqué par RGSEAA 15.00195/GU et distribué par L.N.P.L.R.I.S.A. RGSEA 40.28739/B pour Interdis.,['ES 15.00195/GU CE'],,['Lait'],4,"['E14XX - Amidons modifiés', 'E950 - Acésulfame K', 'E955 - Sucralose']",,,,,
26,Sablés Fondants Cœur saveur Pomme façon tatin - Carrefour - 100g,3560071048341,,"['Biscuits et gâteaux', 'Biscuits aux fruits', 'Botanas', 'Galletas', 'Galletas de mantequilla', 'Galletas y pasteles', 'Snacks dulces']","['France', 'Espagne']","['Farine de blé', 'purée de pomme*', 'beurre pâtissier 21', '7%', 'sucre', 'sirop de glucose-fructose', 'stabilisant : glycérol', 'œufs', ""poudre à lever : diphosphates - carbonates de sodium - carbonates d'ammonium"", 'sel', 'lait écrémé en poudre', 'arôme naturel', 'beurre 0', '4%', 'caramel aromatique ', 'sucre', 'eau', ""correcteur d'acidité : citrates de sodium"", 'acidifiant : acide citrique', 'arôme', ' ', '*22 g de purée de pomme pour 100g de produit fini', 'Peut contenir des traces de fruits à coque et de soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",2083,+10%,497,+13%,2083 kj(497 kcal),+13%,23,+41%,15,+62%,66,+2%,32,+3%,"5,5",-3%,"0,73",+61%,"0,292",+61%,24,+36%,E,+36%,,,,,,,,100 g,,"['Fabriqué en France', 'Pur beurre']",23 g,en quantité élevée,15 g,en quantité élevée,32 g,en quantité élevée,0.73 g,en quantité modérée,['Carrefour'],['Carrefour'],"Biscuits sablés pur beurre fourrage (22%) à la pomme faon tatin, aromatisés",Fabriqué par EMB 29058A,"['EMB 29058A', 'Fouesnant (Finistère, France)']",Ce sablé est fabriqué en France à partir de beurre fabriqué en UE et de pommes d'origine UE.,"['Œufs', 'Gluten', 'Lait']",4,"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E331 - Citrates de sodium', 'E330 - Acide citrique']",,,,,
27,Fromage blanc 3% mat.gr. - Carrefour - 500g,3560071082437,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fraîche']","['France', 'Espagne']","['Lait écrémé pasteurisé', 'crème pasteurisée', 'ferments lactiques', ' Ce produit est fabriqué en France à partir de lait et de crème origine France']",['Non végétalien'],301,-53%,72,-56%,301 kj(72 kcal),-55%,3,-72%,2,-72%,"4,3",-18%,"4,3",-6%,"6,9",-20%,"0,1",-83%,"0,04",-83%,-3,-153%,A,-153%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,500 g,,,3 g,en quantité modérée,2 g,en quantité modérée,4.3 g,en faible quantité,0.1 g,en faible quantité,['Carrefour'],['Carrefour'],Fromage blanc à 3% de matière grasse dans le produit fini. Contient plus de 82% d'humidité.,Fabriqué en France par EMB 29179A pour Interdis.,"['FR 29.179.090 CE', 'Ploudaniel (Finistère, France)', 'EMB 29179A', 'Ploudaniel (Finistère, France)']",,['Lait'],3,,,,,,
28,Les Palets Aux pépites de chocolat - Carrefour - 125g,3560071092085,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",['France'],"['Farine de blé 47%', 'beurre pâtissier 21% ', 'soit 25% en beurre reconstitué', 'sucre', 'pépites de chocolat 15% [sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines ', 'soja', 'arôme naturel de vanille]', 'œufs', ""poudre à lever : diphosphates - carbonates de sodium - carbonates d'ammonium"", ""jaune d'œufs"", 'sel', 'poudre de lait écrémé', 'Peut contenir des traces de fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2072,+0%,495,+1%,2072 kj(495 kcal),+1%,25,+7%,16,+36%,60,-4%,26,-20%,"5,8",-12%,"1,1",+99%,"0,44",+99%,22,+3%,E,+3%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,125 g,,['Fabriqué en France'],25 g,en quantité élevée,16 g,en quantité élevée,26 g,en quantité élevée,1.1 g,en quantité modérée,['Carrefour'],['Carrefour'],Biscuits au beurre et aux pépites de chocolat,Fabriqué en France par EMB 29058A pour Interdis,"['EMB 29058A', 'Fouesnant (Finistère, France)']",Ces palets sont fabriqués en France à partir de blé français. Le chocolat et le beurre sont fabriqués en UE.,"['Œufs', 'Gluten', 'Lait', 'Soja']",4,"['E322 - Lécithines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,,,,
29,Haricots verts extra fins - Carrefour - 800g,3560071128517,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",['France'],"['Haricots verts extra-fins', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",100,+1%,24,0%,100 kj(24 kcal),+1%,"0,5",+99%,"0,1",+83%,"2,3",-14%,"0,5",-35%,"1,3",-12%,"0,41",-39%,"0,164",-39%,-7,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,800 g,,['Cultivé en France'],0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.41 g,en quantité modérée,['Carrefour'],['Carrefour'],Haricots verts extra-fins,Fabriqué en France par EMB 13108A pour Interdis,"['EMB 13108A', 'Tarascon (Bouches-du-Rhône, France)']",Ces haricots verts sont cultivés et fabriqués en France.,,3,,,,,,
30,Raclette Classique - Carrefour - 400g,3560071164522,,,['France'],"['Lait pasteurisé de vache', 'sel', ""ferments lactiques et d'affinage"", 'enzyme coagulante', 'conservateur ', 'croûte', ' : natamycine']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1505,,362,,1505 kj(362 kcal),,28,,18,,1,,1,,26,,"1,5",,"0,6",,,,,,,,,,,,,400 g,,"['Lait Français', 'Fabriqué en France', 'Sans colorants', 'en:lait-francais-french-milk']",,,,,,,,,['Carrefour'],['Carrefour'],Raclette au lait pasteurisé en tranchettes - Fromage à pâte pressée non cuite.,Conditionné en France par EMB 22061(L) ou par EMB 52332 (B) pour Interdis - TSA 91431 - 91343 MASSY Cedex - France.,"['L = FR 22.061.015 CE', 'B = FR 52.332.001 CE', 'EMB 22061', ""Glomel (Côtes-d'Armor, France)"", 'EMB 52332', 'Val-de-Meuse (Haute-Marne, France)', 'FR 25.531.001 CE', 'Santoche (Doubs, France)', 'EMB 25156A', 'Clerval (Doubs, France)']",Cette raclette est fabriquée en France a partir de lait origine France.,['Lait'],,['E235 - Natamycine'],,,,,
31,The vert infuse saveur citron & menthe - Carrefour - 1l,3560071177874,,,['France'],"['Eau', 'infusion de thé vert et de menthe 40% ', 'eau', 'thé vert 0,28%', 'menthe 0,12%', 'sucre', 'jus de citron à base de concentré 0,9%', 'acidifiants: acide citrique et acide malique', 'arôme naturel de menthe avec autres arômes naturels', 'arôme naturel', ""correcteur d'acidité : citrates de sodium"", 'arôme naturel de menthe', 'antioxydant: acide ascorbique']",[],77,,18,,77 kj(18 kcal),,?,,,,"4,5",,"4,5",,?,,"0,02",,"0,008",,,,,,,,,,,,,1 l,,,,,,,,,,,['Carrefour'],['Carrefour'],"Boisson rafraîchissante à l'infusion de thé vert et de menthe, au jus de citron à base de concentré, aromatisée menthe.",Fabriqué par EMB 67434 pour Interdis,"['EMB 67434', 'Sarre-Union (Bas-Rhin, France)']","Cette boisson est fabriquée en France à partir de sucre issu de l'Union Européenne, de thé cultivé en Asie, de menthe et de citron issus de diverses origines.",,4,"['E330 - Acide citrique', 'E296 - Acide malique', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique']",,,,,
