,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
903,Roti de porc,0295509014379,E,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],?,,127,-12%,531 kj(127 kcal),-11%,"3,6",-28%,"1,6",-23%,"0,5",-39%,"0,5",-20%,"23,2",+4%,"1,78",+3%,"0,712",+3%,4,-44%,C,-44%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,3.6 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,1.78 g,en quantité élevée,,,,,,,,,,,,,,
904,Pain nordique,,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Chocolat je mérite,3663787451761,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",['France'],[],[],?,,584,+6%,2443 kj(584 kcal),+6%,43,+18%,"18,4",-13%,"35,6",-23%,"33,3",-19%,8,+10%,0,-100%,0,-100%,24,+2%,E,+2%,,,,,,,,,,,43 g,en quantité élevée,18.4 g,en quantité élevée,33.3 g,en quantité élevée,0 g,en faible quantité,,,,,,,,,,,,,,
906,Jus de fruit,3262720270072,,,['France'],[],[],?,,51,,213 kj(51 kcal),,0,,0,,12,,12,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Red quinoa & sesame Crispbread,5050974713319,,,['France'],[],[],?,,368,,1540 kj(368 kcal),,"4,9",,"0,8",,"53,2",,"1,9",,"20,7",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Laurent Perrier La Cuvee Brut 75 CL,0084878169007,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Caramels au beurre salé,3555080047317,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Bio Holunderblütenspritzer,9120008991306,,,['France'],[],[],?,,29,,121 kj(29 kcal),,0,,0,,"6,6",,"6,5",,"0,1",,0,,0,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,
911,Blonde  Bière pur malt,3272460123811,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Bien-être du foie,3428883632106,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Oranges maltaises,3250392152208,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Croissant aux amandes - Super U,,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Super U'],,,,,,,,,,,,,
915,Zolli Drops menthe,3660774013704,,,['France'],[],[],?,,0,,0 kj(0 kcal),,"0,5",,"0,5",,"97,7",,"0,05",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Cookies,5057545734650,,,['France'],"['vanilla flavoured cookies with dark chocolate chips', 'nu ingredients wheat flour ', 'wheat flour', 'calcium carbonate', 'iron', 'niacin', 'thiamin', 'palm oil', 'sugar', 'dark chocolate chips ', '8%', 'whey powder ', 'milk', 'partially inverted sugar syrup', 'raising agents ', 'sodium bicarbonate', 'ammonium bicarbonate', 'flavouring', 'salt', 'dark chocolate chips contain: sugar', 'cocoa mass', 'palm oil', 'cocoa butter', 'emulsifier ', 'soya lecithins', 'shea fat', 'sal fat', 'typ as en allergy advice for allergens', 'including cereals containing gluten', 'see ingredients in bold', 'fa of ca of fib pro salt']","['Huile de palme', 'Non végétalien']",?,,497,,2079 kj(497 kcal),,"23,7",,"11,6",,"63,6",,28,,6,,"0,5",,"0,2",,,,,,,,,,,,,,['mixed plastic-wrapper'],,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Soja']",4,"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E322 - Lécithines']",,,,,
917,Jambon sec supérieur - Auchan - 100g,3596710460236,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",['France'],"['Jambon de porc Label Rouge', 'sel', 'conservateur: nitrate de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,210,-12%,879 kj(210 kcal),-12%,"8,6",-36%,3,-42%,"0,5",-23%,"0,5",+15%,33,+15%,"6,8",+38%,"2,72",+38%,14,-18%,D,-18%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,100 g,,"['Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore D', 'Qualité supérieure', 'Bleu Blanc Cœur', 'Label Rouge']",8.6 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,6.8 g,en quantité élevée,"['Auchan', 'Mmm!']",['Auchan'],,,,,,3,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,
918,tonus des montagnes,3389681004482,,,['France'],[],[],?,,400,,1674 kj(400 kcal),,0,,0,,98,,77,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Joghurt & Lion Cereals - Nestlé - 120g,4005500027461,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux céréales']",['France'],"['gesüßter Joghurt [Vollmilchjoghurt ', '88%', 'Zucker]', 'Weizencerealien mit Karamell und Kakao [Getreide ', 'Vollkornweizenmeh Weizenmehl', 'Reismehl]', 'Zucker', 'Glukosesirup', 'Palmöl', 'gezuckerte Kondensmagermilch ', 'Magermilch Zucker', 'Kakaopulver', 'Kakaomasse', 'Salz', 'Aromen', 'fetarmer Kakao', 'Karamelzuckersirup', 'Emulgator: Lecithine', 'Vitamine und Mineralstoffe ', 'Niacin', 'Pantothenat', 'Vit', ' B6', 'B2,B1', 'Folsäure', 'Vit', ' D', 'Calciumcarbonat', 'Eisen', ']']","['Huile de palme', 'Non végétalien']",?,,114,-3%,477 kj(114 kcal),-3%,"3,9",+2%,"2,4",+19%,"15,3",+1%,"12,6",+9%,"4,3",-3%,"0,18",+46%,"0,072",+46%,3,+91%,C,+91%,,,,,,,,120g,,,3.9 g,en quantité modérée,2.4 g,en quantité modérée,12.6 g,en quantité élevée,0.18 g,en faible quantité,['Nestlé'],,,,,,,4,['E322 - Lécithines'],,,,,
920,Pain cacao noisettes - Auchan,2030507938313,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],['Auchan'],,,,,,,,,,,,
921,Pomme -,3661218299555,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes fraîches']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,,,,,,,,,,,,,,
922,Croque monsieur -,2203756030507,D,"['Sandwichs', 'Croque-monsieur']",['France'],[],[],1260,+18%,?,,1260 kj(301 kcal),+25%,"15,9",+51%,"9,3",+77%,"25,3",+1%,12,+291%,"13,4",+23%,"1,9",+28%,"0,76",+28%,22,+76%,E,+76%,75.7%,13.8%,5.3%,3.1%,1.7%,0.5%,51,,,,15.9 g,en quantité modérée,9.3 g,en quantité élevée,12 g,en quantité modérée,1.9 g,en quantité élevée,,,,,,,,,,,,,,
923,Moutarde au poivre vert,3077318601950,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],?,,808,+375%,3381 kj(808 kcal),+376%,13,+20%,"0,8",-2%,"9,7",+41%,"5,3",+37%,"8,3",+26%,"5,2",+10%,"2,08",+10%,21,+81%,E,+81%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,13 g,en quantité modérée,0.8 g,en faible quantité,5.3 g,en quantité modérée,5.2 g,en quantité élevée,,,,,,,,,,,,,,
924,Vinaigre de vin rouge - Auchan,3596710403783,B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,['Auchan'],['Auchan'],,,,,,,,,,,,
925,Activia au bifidus Bio - Danone - 460g,03340141,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,460 g,,['Bio'],,,,,,,,,"['Danone', 'Activia']",,,,,,,,,,,,,
926,Yaourts au lait entier à la confiture des bois -,3770007646088,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",['France'],"['Lait entier lait de vache pasteuri - sé 82%', 'confiture de fruit des bois 16% ', '60g de fruit des bois pour 100g de confiture', 'poudre de lait 2%', 'ferments lactiques']",['Non végétalien'],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,,,,,,,,,,['Lait'],,,,,,,
