,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,additives,ingredients_origins,allergens,link,palm_ingredients,brand_owner
0,Petits pois carottes - Carrefour - 400g,5400101117273,B,Petits pois extra-fins et carottes très pauvres en sel.,400 g,['boîte'],['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",Ces Petits pois et ces carottes sont cultivés en Union Européenne et fabriqués en France.,Fabriqué en France par EMB 59009B pour Interdis,"['EMB 59009B', ""Villeneuve-d'Ascq (Nord, France)""]",['Carrefour'],"['Belgique', 'France']","['Légumes ', 'carottes 33%', 'petits pois 32%', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.8 g,en faible quantité,0.2 g,en faible quantité,1.2 g,en faible quantité,0.03 g,en faible quantité,?,,50,-14%,209 kj(50 kcal),-13%,"0,8",+62%,"0,2",+59%,5,-38%,"1,2",-65%,"3,4",+10%,"0,03",-95%,"0,012",-95%,-7,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,,,,,,
1,Olives noires - Metro Chef,3439495111927,B,,,,['Metro Chef'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",,,,,['France'],[],[],,14 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,134,-49%,561 kj(134 kcal),-49%,14,-45%,"2,2",-35%,0,-100%,0,-100%,"0,5",-66%,"1,5",-64%,"0,6",-64%,9,-30%,C,-30%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,
2,B! Fruit de la passion,5601151973394,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,"6,2",,"5,2",,0,,"0,01",,"0,004",,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,
3,Cuisses de canard cuites,3432770045948,D,,,,,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,,,,['France'],[],[],,28 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0.4 g,en quantité modérée,?,,352,+48%,1473 kj(352 kcal),+48%,28,+70%,13,+144%,0,-100%,0,-100%,25,+17%,"0,4",-71%,"0,16",-71%,15,+42%,D,+42%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,
4,Massepain - pâte d'amande -  - 250g,7613379180957,,,250 g,,,,,,,,"['France', 'Suisse']",[],[],,,,,,,,,,?,,467,,1954 kj(467 kcal),,23,,"2,3",,55,,49,,9,,0,,0,,,,,,,,,,,,,,,,,,,,
5,Pains au lait barre de chocolat - Brioches Pasquier,3256540002111,C,Pains au lait barre de chocolat,,['Plastique'],['Brioches Pasquier'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",,,,,['France'],[],[],,18 g,en quantité modérée,8.3 g,en quantité élevée,22 g,en quantité élevée,0.84 g,en quantité modérée,?,,409,+16%,1711 kj(409 kcal),+16%,18,+58%,"8,3",+98%,53,+0%,22,+65%,"8,1",-5%,"0,84",-18%,"0,336",-18%,20,+50%,E,+50%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,,,,,,,
6,Pate aucanard,3529358609187,,,,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de canard']",,,,,['France'],[],[],,25 g,en quantité élevée,9 g,en quantité élevée,0.7 g,en faible quantité,1.4 g,en quantité modérée,?,,298,-4%,1247 kj(298 kcal),-4%,25,-8%,9,-11%,"1,5",-21%,"0,7",+13%,15,+14%,"1,4",-9%,"0,56",-9%,17,-6%,D,-6%,,,,,,,,['Bio'],,,,,,,
7,Sari leblebi,8690804350795,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,324,,1356 kj(324 kcal),,"3,4",,"0,6",,48,,2,,"19,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
8,Dani'Pom Pomme - Fruits rouges - Danival,3431590014479,B,,,,['Danival'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",,,,,['France'],"['Purée de pommes françaises ', '87,2%', ' purée de fraises ', '4,3%', 'purée de framboises* 4', '3%', 'purée de griottes*2', '1%', 'purée de cassis 2', ""1%\r *100% des ingrédients d'origine agricole ont été obtenus selon les règles de production biologique"", ' \r **Contient des sucres naturellement présents']",[],1,0 g,en faible quantité,0 g,en faible quantité,9.9 g,en quantité modérée,0 g,en faible quantité,?,,53,-18%,222 kj(53 kcal),-19%,0,-100%,0,-100%,"11,5",-20%,"9,9",-24%,"0,5",+33%,0,-100%,0,-100%,-5,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['Sans sucre ajouté'],,,,,,,
9,Financiers X 5,2030500409421,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,466,,1950 kj(466 kcal),,27,,"13,3",,44,,"34,6",,9,,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,
10,Wakamé,3336950000072,E,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', 'Algues wakame']",,,,,['France'],[],[],,,,0 g,en faible quantité,0 g,en faible quantité,,,?,,?,,,,?,,0,-100%,?,,0,-100%,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,
11,PANETTONE CON GOCCE DI CIOCCOLATO FONDENTE,8002331010491,C,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['France'],[],[],,16.3 g,en quantité modérée,10.6 g,en quantité élevée,24 g,en quantité élevée,0.3 g,en quantité modérée,?,,391,+5%,1636 kj(391 kcal),+5%,"16,3",+9%,"10,6",+18%,"51,4",-0%,24,-7%,"7,6",+11%,"0,3",-32%,"0,12",-32%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,
12,"Foie gras de canard entier, Champagne et duo de poivres - Maison Montfort - 160g",3104544071377,A,,160g,['Bocal verre'],['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,,,,['France'],"['foie gras de canard ', 'origine France', 'Champagne 2%', 'sel', 'poivre de Malabar 0,2%', ' sucre', 'poivre blanc 0,1%', 'gingembre', 'cardamome', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",3,56 g,en quantité élevée,25 g,en quantité élevée,1.5 g,en faible quantité,1.2 g,en quantité modérée,?,,542,+6%,2268 kj(542 kcal),+6%,56,+6%,25,+11%,"2,3",-1%,"1,5",+11%,7,+1%,"1,2",-1%,"0,48",-1%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['IGP Sud-Ouest'],"['France', 'Maubourguet']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
13,Mousse butternut & fourme Rochefort - 100g,3770009413183,,,100 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,140,,586 kj(140 kcal),,"15,1",,"3,8",,"2,7",,"1,5",,"4,1",,"0,7",,"0,28",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
14,Beurre demi-sel - Ferme du Marais - 200g,3760115150027,D,,200 g,,['Ferme du Marais'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",,,,['Auchan'],['France'],"['Crème pasteurisée de lait de vache 97 % \rsel ', '3% max', '\rferments lactiques 3%']",[],,82 g,en quantité élevée,60 g,en quantité élevée,0.4 g,en faible quantité,,,?,,742,+3%,3105 kj(742 kcal),+4%,82,+3%,60,+11%,"0,4",-46%,"0,4",-35%,"0,6",-12%,,,,,,,,,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,['France'],['Lait'],,,
15,Candy lace fraise,8716100034068,E,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,['France'],[],[],,3 g,en quantité modérée,1 g,en faible quantité,52 g,en quantité élevée,0 g,en faible quantité,?,,363,+2%,1519 kj(363 kcal),+1%,3,+61%,1,-6%,79,-5%,52,-10%,3,+42%,0,-100%,0,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
16,Ketchup Light - Calvé,8712100417023,B,,,,['Calvé'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,,,,['France'],[],[],,0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité modérée,2 g,en quantité élevée,?,,57,-46%,238 kj(57 kcal),-46%,"0,5",+105%,"0,1",+57%,11,-52%,10,-49%,"1,6",+23%,2,+1%,"0,8",+1%,10,-17%,C,-17%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,"['en:gluten-free', 'Sans colorants']",,,,,,,
17,Pandoro Sole Siciliano,8004920002498,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,385,,1611 kj(385 kcal),,16,,"9,6",,51,,26,,8,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,
18,Orzo e caffé soluble - COOP - 120g,8001120789655,,,120 g,['Materiale misto'],['COOP'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Céréales en grains', 'Cafés', 'Boissons instantanées', 'Orge', 'Orge soluble']",,,,['Coop.fi'],"['France', 'Italie']",[],[],,,,,,,,,,?,,357,+5%,1494 kj(357 kcal),+4%,"0,3",-83%,"0,3",-24%,74,+16%,"1,8",+38%,10,-8%,"0,2",+525%,"0,08",+525%,,,,,,,,,,,,,,,,,http://www.catalogoprodotti.coop.it/pam/it/Categorie-PAM/Alimentari-confezionati/Prima-colazione-e-merenda/Preparati-prima-colazione/Orzo-e-Caff%C3%A8-Solubile-120-g/p/6815106,,
19,Choucroute garnie Alsacienne - Pierre Schmidt,3237550029626,C,,,,['Pierre Schmidt'],"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",,,,,['France'],[],[],,7.6 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,102,-11%,427 kj(102 kcal),-9%,"7,6",-10%,"2,2",-31%,"3,2",+45%,"0,5",-14%,"4,2",-23%,"1,4",+6%,"0,56",+6%,7,+24%,C,+24%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,,,
20,Boudin blanc a la truffe noir,3483000480152,D,,,,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,,,,['France'],[],[],,24.7 g,en quantité élevée,10.8 g,en quantité élevée,0.85 g,en faible quantité,1.41 g,en quantité modérée,?,,292,+20%,1222 kj(292 kcal),+20%,"24,7",+22%,"10,8",+38%,"1,09",-75%,"0,85",-57%,"12,3",+19%,"1,41",-5%,"0,564",-5%,19,+19%,E,+19%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,
21,Orangettes Chocolat noir - Chocolaterie de la Licorne - 150g,3421375521926,,,150 g,,['Chocolaterie de la Licorne'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Confiseries aux fruits', 'Fruits enrobés de chocolat', 'Orangettes']",,,,,['France'],"[""Lamelles d'oranges confites 60% "", 'orange', 'sucre', 'sirop de glucose-fructose', 'dextrose', 'chocolat noir 40% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', ' Traces éventuelles de fruits à coque', 'de lait et de gluten', ' Chocolat noir 40% ', 'cacao : 70% minimum']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",4,20 g,en quantité modérée,13 g,en quantité élevée,48 g,en quantité élevée,0.01 g,en faible quantité,?,,436,+2%,1824 kj(436 kcal),+2%,20,+11%,13,+17%,56,-6%,48,-5%,"4,2",+17%,"0,01",-75%,"0,004",-75%,24,+9%,E,+9%,,,,,,,,"['Point Vert', 'Fabriqué en France']",,['E322i - Lécithine'],,,,,
22,Ice Tropez Wine Cooler NRB,3760004440093,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
23,crème glacée chartreuse,20053871,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,176,,736 kj(176 kcal),,"6,7",,"4,3",,22,,17,,3,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,
24,Mâche - Sans marque - 165g (150g + 10 % offert),3344010027334,B,,165 g (150 g + 10 % offert),"['Barquette', 'Plastique']","['Sans marque', 'Nantial']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Mâches']",,,,,['France'],['Mâche'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,['France'],,['France'],,,,
25,Il Panettone - Motta - 90g,3700125801649,C,,90 g,,['Motta'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['France'],[],[],,16 g,en quantité modérée,9.9 g,en quantité élevée,27 g,en quantité élevée,0.5 g,en quantité modérée,?,,379,+1%,1586 kj(379 kcal),+2%,16,+7%,"9,9",+10%,51,-1%,27,+4%,"7,7",+13%,"0,5",+13%,"0,2",+13%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,
26,english garden - Palais des Thés,3700256714603,,,,,['Palais des Thés'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
27,Panettone,8002331003493,C,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['France'],[],[],,13.3 g,en quantité modérée,10 g,en quantité élevée,22 g,en quantité élevée,0.3 g,en quantité modérée,?,,366,-2%,1531 kj(366 kcal),-2%,"13,3",-11%,10,+11%,"54,2",+5%,22,-15%,6,-12%,"0,3",-32%,"0,12",-32%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,
28,Dried Figs,8697436558391,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,284,,1188 kj(284 kcal),,"0,6",,"0,1",,"60,5",,"53,3",,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
29,Purée pomme kiwi épinards,0661475205040,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,50,,209 kj(50 kcal),,0,,0,,"10,833",,"6,667",,"0,833",,0,,0,,,,,,,,,,,,,['Sans additifs'],,,,,,,
30,"Seeds & grains Crispbread - trader joe’s - 220g, 7.75oz",00559027,B,,"220g, 7.75oz",,['trader joe’s'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,"[""Trader Joe's""]","['France', 'États-Unis']","['sunflower seeds', 'sesame seeds', 'wholemeal rye flour', 'oat bran', 'oatmeal', 'flaxseed', 'spelt wheat bran', 'wheat bran', 'water', 'sea salt', 'salt', 'oregano', 'thyme']",[],3,27.3 g,en quantité élevée,2.27 g,en quantité modérée,0 g,en faible quantité,2.39 g,en quantité élevée,?,,500,+8%,2092 kj(500 kcal),+7%,"27,273",+37%,"2,273",-58%,"45,455",-23%,0,-100%,"18,182",+84%,"2,386",+19%,"0,955",+19%,18,+17%,D,+17%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,['Norway'],,,"['Gluten', 'Graines de sésame']",,,
31,Panettone Pepites De Chocolat,3609060001384,C,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['France'],[],[],,19 g,en quantité modérée,11 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en quantité modérée,?,,392,+5%,1640 kj(392 kcal),+5%,19,+27%,11,+22%,46,-11%,20,-23%,"7,4",+8%,"0,5",+13%,"0,2",+13%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,['Bio'],,,,,,,
32,Panna da montare e uht,80197102,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,362,,1515 kj(362 kcal),,38,,"25,5",,3,,3,,"2,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
33,Total Sweet Xylitol,5060105190001,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,51,,213 kj(51 kcal),,"0,5",,"0,1",,"11,9",,"10,2",,"0,6",,0,,0,,,,,,,,,,,,,,,,,,,,
34,Knorr 123 Bouillon de Légumes déshydraté seau 3kg - 3000g,8714100692813,,Bouillon de légumes déshydraté,3000 g,,"['Knorr', '123']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Bouillons', 'Bouillons de légumes']",,,,,['France'],"['Sel', 'sucre', 'maltodextrine', 'extrait de levure', 'graisse de palme', 'amidon ', 'pomme de terre', 'pois', 'légumes 1', '5% ', 'chou-fleur', 'tomate', 'arômes', 'acidifiant ', 'acide citrique', 'épice et aromate', 'ail', 'curcuma', "",jus d'oignon concentré 0"", '3%', 'huile de tournesol']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.88 g,en quantité modérée,?,,4,-97%,17 kj(4 kcal),-97%,"0,5",-91%,"0,1",-96%,"0,6",-96%,"0,5",-90%,"0,5",-86%,"0,88",-96%,"0,352",-96%,3,-52%,C,-52%,,,,,,,,,,['E330 - Acide citrique'],,,,['Huile de palme'],
35,Mon riz au lait,3760128849222,B,,,,,"['Desserts', 'Puddings', 'Riz au lait']",,,,,['France'],[],[],,4.7 g,en quantité modérée,3 g,en quantité modérée,12.8 g,en quantité élevée,0.1 g,en faible quantité,?,,134,-8%,561 kj(134 kcal),-6%,"4,7",+25%,3,+32%,"19,5",-14%,"12,8",-5%,"3,1",-9%,"0,1",-22%,"0,04",-22%,4,-1%,C,-1%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,,
36,Crispy Prawn Rolls,9555571100723,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,500,,2092 kj(500 kcal),,24,,10,,60,,11,,10,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
37,Pasteles yema - Delaviuda - 300g e,8410223640020,,,300 g e,"['Carton', 'Plastique']",['Delaviuda'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",,,,,"['France', 'Espagne']",[],[],,13 g,en quantité modérée,1.4 g,en faible quantité,40 g,en quantité élevée,0 g,en faible quantité,1691,+7%,402,+7%,1691 kj(402 kcal),+8%,13,-23%,"1,4",-83%,63,+31%,40,+37%,7,+31%,0,-100%,0,-100%,12,-30%,D,-30%,,,,,,,,,,,,,,,
38,Pierre Delpeyrat confit d'oie cuisse x4 - 3000g (4x750g),3067162259483,D,confit d'oie,3000 g (4x750 g),,['Delpeyrat'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Oies', ""Confits d'oie"", ""Plats à l'oie""]",,,,,['France'],[],[],,23.1 g,en quantité élevée,7.5 g,en quantité élevée,0.2 g,en faible quantité,1.3 g,en quantité modérée,1285,+104%,307,+76%,1285 kj(307 kcal),+80%,"23,1",+166%,"7,5",+170%,"0,2",-98%,"0,2",-87%,"24,5",+138%,"1,3",+40%,"0,52",+40%,15,+310%,D,+310%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,
39,Confiture cerises noires - Albert ménès - 265g,3234750039059,D,,265 g,['Bocal'],['Albert ménès'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,,,,['France'],"['Cerises noires', 'sucre de canne', 'gélifiant: pectine de fruit']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,41 g,en quantité élevée,0.1 g,en faible quantité,?,,174,-22%,728 kj(174 kcal),-22%,"0,5",+105%,"0,1",+122%,41,-24%,41,-21%,"0,7",+9%,"0,1",+279%,"0,04",+279%,10,+1%,C,+1%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,['E440 - Pectines'],,,,,
40,Provolone piccante - A Auricchio - 200g ℮,8004603500037,C,Fromage Provolone piquant,200 g ℮,['Film plastique'],['A Auricchio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Provolone']",,,['IT 03 180 CE'],['Leclerc'],['France'],"['lait', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,2.5 g,en quantité élevée,1544,,?,,1544 kj(369 kcal),+2%,30,+4%,20,+5%,"0,5",-46%,0,-100%,25,-1%,"2,5",+11%,1,+11%,19,+7%,E,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Fabriqué en Italie', 'Sans conservateurs', 'it:Naturalmente privo di lattosio']","['Gennaro Auricchio SpA', 'Via Dante 27', '26100', 'Cremona', 'Italy']",,"[""it:Latte d'Italia""]",['Lait'],,,
41,Black Sweet Soy Sauce - Healthy boy brand,8850206067053,,,,,['Healthy boy brand'],,,,,,['France'],[],[],,,,,,,,,,?,,343,,1435 kj(343 kcal),,"0,8",,"0,4",,81,,72,,"2,8",,"10,2",,"4,08",,,,,,,,,,,,,,,,,,,,
42,Nuts et fruits supermix - Carrefour - 300g,5400101044265,,,300 g,,['Carrefour'],,,,,['Carrefour'],['France'],[],[],,,,,,,,,,?,,445,,1862 kj(445 kcal),,23,,"3,2",,39,,27,,15,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,
43,Chutney de mangues au poivre de sichuan - L'épicurien - 245g,3441260080291,,,245 g,,"[""L'épicurien""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit', 'Chutneys de mangue']",,,,,['France'],[],[],,0.5 g,en faible quantité,0.1 g,en faible quantité,52 g,en quantité élevée,0.2 g,en faible quantité,?,,216,+21%,904 kj(216 kcal),+19%,"0,5",+23%,"0,1",+29%,52,+21%,52,+29%,"0,6",+11%,"0,2",-82%,"0,08",-82%,12,0%,D,0%,,,,,,,,,,,,,,,
44,Royal Umbrella Thai Jasmine Rice - 5kg,8850187400030,C,,5 kg,,['Royal Umbrella'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",,,,,['France'],"['Nutrition information/information nutrtionnele! Nährwertangabe/vedingswarde Per 100g Par 100 g Pro 100 g Per 100 g | Average quantity the valeur nutive/ Nahrwertinformation/ Vedingswarde fe 4', ' Energy /Eneretquel Brennwert/Erergje E']",[],,0.7 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,350,+4%,1464 kj(350 kcal),+3%,"0,7",-42%,"0,3",+12%,79,+9%,0,-100%,"6,7",-7%,0,-100%,0,-100%,-1,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,['Thaïlande'],,['Thaïlande'],,http://www.cpthairice.com,,
45,Filets d'esturgeon - La Quiberonnaise - 115g,3339572120005,,Conserve de poisson,115 g,"['Conserve métal', 'Conserve', 'Boîte', 'Ouverture facile']",['La Quiberonnaise'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Produits à teneur réduite en sel', 'Catégories : Conserves', ""Filets d'esturgeons"", ""Filets d'esturgeons au vin blanc""]",,,['EB 56.186.05'],,['France'],"['esturgeons 85%', 'marinade vin blanc ', 'présence de sulfite', 'aromates ', 'rondelle de citron', ""d'oignon"", 'de carotte', 'de cornichon', ' Poivres', 'laurier', 'clou de girofle', 'eau', 'sel']",[],3,14.5 g,en quantité modérée,3.15 g,en quantité modérée,0.5 g,en faible quantité,0.2 g,en faible quantité,?,,293,+98%,1226 kj(293 kcal),+110%,"14,5",+219%,"3,15",+99%,"0,5",-52%,"0,5",-35%,"13,6",-33%,"0,2",-86%,"0,08",-86%,1,-70%,B,-70%,,,,,,,,"['Fabriqué en France', 'Origine France']","['Quiberon', 'France']",,['France'],,http://www.laquiberonnaise.fr/Sardine/ProductID/205/ModelID/197/PageIndex/1/PreviewPage/Filets-d-esturgeons-marines-au-vin-blanc-et-aux-aromates,,
46,Fusillé tricolor 750g - Combino - 750g,20041557,,,750 g,,['Combino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,,,"['France', 'Espagne']",[],[],,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.03 g,en faible quantité,?,,358,+8%,1498 kj(358 kcal),+8%,"1,5",-42%,"0,3",-57%,72,+17%,3,+8%,12,+3%,"0,03",-86%,"0,012",-86%,-1,,A,,,,,,,,,,,,,,,,
47,Eton Mess Gourmet Sweets,5060384261164,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,340,,1423 kj(340 kcal),,0,,0,,82,,59,,"1,4",,"0,06",,"0,024",,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en Allemagne']",,,,,,,
