,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,additives,ingredients_origins,allergens,link,palm_ingredients,brand_owner
1617,Yaourt bio brassé - la Ferme du Cret Joli - 4x 125g,3760220140555,,,4 x 125 g,['plastique alu'],['la Ferme du Cret Joli'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts brassés']",,,"['FR 74.184.001 CE', 'Minzier (Haute-Savoie, France)']",['Biocoop'],['France'],"['Lait entier*', 'sucre de canne* 11%', 'abricot* 8%', 'pectine', 'ferments lactiques', "" *issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,2.4 g,en faible quantité,1.54 g,en quantité modérée,13.6 g,en quantité élevée,0.1 g,en faible quantité,404,+5%,95,+2%,404 kj(95 kcal),+4%,"2,4",-34%,"1,54",-33%,"14,2",+30%,"13,6",+35%,"3,54",-3%,"0,1",-13%,"0,04",-13%,3,+19%,C,+19%,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Haute-Savoie'],['E440 - Pectines'],['Union Européenne et Non Union Européenne'],['Lait'],,,
1618,Filetes de rape - El Corte Ingles,8433329009843,,,,,['El Corte Ingles'],,,,,,['France'],[],[],,,,,,,,,,?,,325,,1360 kj(325 kcal),,"0,5",,0,,0,,0,,19,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,
1619,Boquerón limpio - Delfin,8410547947942,,,,,['Delfin'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
1620,Galanga rouge poudre bio - 80g,3700195160110,,,80 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,
1621,Tournesol germé à l'indienne,3770014034045,,,,,,,,,,['Biocoop Caluire'],['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,558,,2335 kj(558 kcal),,42,,"4,7",,24,,12,,17,,"1,2",,"0,48",,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
1622,Faisselle fromage blanc 0 % - 6x 100g,3296651111463,,,6 x 100 g,,,,,,"['FR 70.280.001 CE', 'Gray-la-Ville (Haute-Saône, France)']",,['France'],[],[],,,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,"4,7",,4,,"5,2",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,
1623,Rillettes truite au basilic - l'île bleue - 100g,3325815010394,D,,100g,,"[""l'île bleue""]","['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de truite']",,,,,['France'],"['Truite 50%', 'eau', 'huile de tournesol', 'protéines de lait', 'amidon de maïs', 'sel', ""jaune d'oeuf en poudre"", 'jus de citron concentré', 'basilic 0,4%', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,23 g,en quantité élevée,2.7 g,en quantité modérée,0.7 g,en faible quantité,0.77 g,en quantité modérée,?,,261,+21%,1092 kj(261 kcal),+22%,23,+45%,"2,7",-51%,"1,8",-20%,"0,7",-19%,"1,2",-92%,"0,77",-26%,"0,308",-26%,8,-11%,C,-11%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,"['Poisson', 'Lait']",,,
1624,26gr Proteinli Cilekli Laktozsuz Sut - 500ml,8690565019412,,,500 ml,,,,,,,,['France'],[],[],,,,,,,,,,?,,100,,418 kj(100 kcal),,"0,3",,"0,2",,"5,9",,"5,6",,"5,2",,0,,0,,,,,,,,,,,,,,,,,,,,
1625,Confettura Extra Di Fichi Di Puglia - Conad - 350g,80038269,,,350 g,,['Conad'],,,,,,['France'],[],[],,,,,,,,,,?,,241,,1008 kj(241 kcal),,"0,1",,0,,46,,46,,"0,6",,0,,0,,,,,,,,,,,,,,,,,,,,
1626,Linguine - Ecor,8019010258341,,,,,['Ecor'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Pâtes de blé dur complet', 'Linguine']",,,,,"['France', 'Italie']",[],[],,2 g,en faible quantité,0.4 g,en faible quantité,5.5 g,en quantité modérée,0.005 g,en faible quantité,?,,344,-2%,1439 kj(344 kcal),-2%,2,-9%,"0,4",-5%,"65,5",-0%,"5,5",+65%,"11,5",-9%,"0,005",-66%,"0,002",-66%,-5,,A,,,,,,,,,,,,['Italie'],,,,
1627,Saute de cerf,3329260200560,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,144,,602 kj(144 kcal),,"6,1",,"1,7",,"9,4",,"1,9",,"12,9",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,
