,name,bar_code,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,traceability_code,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,nova_score,quantity,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,manufacturing,link,palm_ingredients,origin_detail,producer_info
542,Cakes au chocolat - Nature & Cie - 180g,3760154260930,['boîte'],['Nature & Cie'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Fabriqué en France']",,['France'],"['Oeuf', 'sucre de canne', 'huile de tournesol', 'pépites de chocolat 13% ', 'sucre de canne', 'pâte de cacao', 'beurre de cacao', 'extrait de vanille', 'farine de riz', 'amidon de manioc', 'rhum', 'poudre de cacao 2,2%', 'sirop de sucre inverti', ""inuline d'agave"", 'épaississant : gomme de guar', 'poudre à lever : bicarbonate de sodium', 'psyllium']",['Non végétalien'],?,,354,-19%,"18,1",-23%,"43,1",-12%,"5,1",-12%,,['Œufs'],1481 kj(354 kcal),"5,1","20,8","0,23","0,092","['E412 - Gomme de guar', 'E500ii - Carbonate acide de sodium']",4,180 g,D,18.1 g,en quantité modérée,5.1 g,en quantité élevée,20.8 g,en quantité élevée,0.23 g,en faible quantité,-19%,-36%,-32%,-56%,-56%,11,-41%,D,-41%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,,['France'],,,,
543,Riz soufflé cacao - Zentis,3760154261852,,"['Zentis', 'Zen & Sans Gluten']",,"['Bio', 'Bio européen', 'Sans gluten', 'Fabriqué en France']",,['France'],"['Fabriqué on France Céréales', ' riz soufflé cacao Inarédients : riz bio 6970', 'sucre de canne bio', 'poudre de cacao bio Allergènes : garanti sans gluten risque de traces de : lait', 'arachide', 'soja', 'fruits à coque et sésame']",[],?,,373,,"5,1",,74,,"2,2",,,,1561 kj(373 kcal),"2,2",19,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Tablette De Chocolat Noir 72 % - Menakao - 75g,3760155712230,,['Menakao'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,['France'],"['FÈVES DE CACAO DE MADAGASCAR', 'SUCRE DE CANNEi PUR BEURRE DE CACAO', 'ÉMULSIFIANT LÉCITHIN', ' PRÉSENCE POSSIBLEDE FRUITS Â COQUE', 'DE LÉCITHINE DE SOJA SANS OGM', 'DE SÉSAME ET DE PROTÉINES DE LAIT']",['Non végétalien'],?,,594,+7%,"41,27",+5%,"42,96",+11%,"12,7",+66%,,"['Lait', 'Graines de sésame', 'Soja']",2485 kj(594 kcal),"10,39","36,5","0,03","0,012",['E322i - Lécithine'],4,75 g,E,41.3 g,en quantité élevée,10.4 g,en quantité élevée,36.5 g,en quantité élevée,0.03 g,en faible quantité,+7%,-55%,+15%,-36%,-36%,25,+18%,E,+18%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,
545,Sauce vinaigrette Normande TOUSTAIN BARVILLE,3760155880335,,['Toustain barville'],['Matières grasses'],"['Sans colorants', 'Sans conservateurs']",,['France'],"['SAUCÉ COLZA', 'AU kAMOUTARDE DÉ CONSERVATEUR', ' NI ÉMU NI COL0RANT AJOUfÉ NO R M A N DIE']",[],?,,548,-32%,"59,66",-33%,"0,59",+163%,"0,75",+324%,,,2293 kj(548 kcal),"3,57","0,16",0,0,,,,,59.7 g,en quantité élevée,3.57 g,en quantité modérée,0.16 g,en faible quantité,0 g,en faible quantité,-32%,-84%,-1%,-100%,-100%,6,-47%,C,-47%,,,,,,,,,,,,,,
546,Limonade Artisanale Citron Glacé - La Beauceronne,3760157210055,,['La Beauceronne'],,,,['France'],[],[],?,,41,,0,,"10,1",,0,,,,172 kj(41 kcal),0,"10,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Huile de noix du Périgord - Moulin de la gaumerie - 50cl,3760157580011,,['Moulin de la gaumerie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,857,-3%,"95,2",-3%,"0,5",+5968%,"0,5",+7874%,,,3586 kj(857 kcal),"9,2","0,5","0,05","0,02",,,50 cl,D,95.2 g,en quantité élevée,9.2 g,en quantité élevée,0.5 g,en faible quantité,0.05 g,en faible quantité,-2%,-2%,+14351%,+3348%,+3348%,5,-7%,C,-7%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,
548,Graines de courge - Direct Producteurs Fruits Secs - 250g,3760159010943,['Sachet'],['Direct Producteurs Fruits Secs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Magasins bio'],['France'],[],[],?,,617,+9%,49,+11%,"10,7",+32%,"30,2",+1%,,,2582 kj(617 kcal),"8,6","1,4","0,01","0,004",,,250 g,,49 g,en quantité élevée,8.6 g,en quantité élevée,1.4 g,en faible quantité,0.01 g,en faible quantité,+9%,+13%,+20%,-98%,-98%,10,-6%,C,-6%,,,,,,,,['Autriche / Hongrie'],Graines de courge,['Autriche / Hongrie'],http://www.directproducteursfruitssecs.com/fruitsec/?produit=graines_de_courge&id=40,,,
549,Amandes poudre complète de la Vallée de Pinoso en Espagne - Direct Producteurs Fruits Secs - 125g,3760159010950,['Sachet'],['Direct Producteurs Fruits Secs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['Magasin Bio'],['France'],[],[],?,,634,+2%,"53,4",+0%,"7,85",-10%,"25,4",+9%,,,2653 kj(634 kcal),"4,19","4,4","0,01","0,004",,,125 g,,53.4 g,en quantité élevée,4.19 g,en quantité modérée,4.4 g,en faible quantité,0.01 g,en faible quantité,+2%,-1%,+4%,-61%,-61%,6,+8%,C,+8%,,,,,,,,['Espagne'],Amandes poudre complète - Espagne,['Espagne'],http://www.directproducteursfruitssecs.com/fruitsec/?produit=amandes&id=11,,,
550,Epines-vinettes - Direct Producteurs Fruits Secs - 75g,3760159011926,['Sachet'],['Direct Producteurs Fruits Secs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Epines-vinettes', 'Surpefruits']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Magasins bio'],['France'],[],[],?,,286,-15%,"1,1",-84%,"59,1",+2%,"3,4",-17%,,,1197 kj(286 kcal),"0,13","39,5","0,06","0,024",,,75 g,,1.1 g,en faible quantité,0.13 g,en faible quantité,39.5 g,en quantité élevée,0.06 g,en faible quantité,-15%,-94%,-9%,-32%,-32%,-1,-121%,A,-121%,,,,,,,,['Iran'],Epines-vinettes,['Iran'],http://www.directproducteursfruitssecs.com/fruitsec/?produit=epines-vinettes&id=30,,,
551,Riz long complet - C tout Simple - 500g,3760159100217,,['C tout Simple'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain', 'Riz complet']","['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'IT-BIO-007']",,['France'],[],[],?,,367,+11%,2,-24%,"77,5",+16%,"8,1",+9%,,,1536 kj(367 kcal),"0,7","0,5","0,01","0,004",,,500 g,B,2 g,en faible quantité,0.7 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,+10%,+25%,-25%,-70%,-70%,-1,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
552,Chips de bananes - Delice D Energie,3760159100828,,['Delice D Energie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']","['Bio', 'Entrepreneurs + Engagés']",,['France'],"['banane* ', '60%', 'huile de noix de coco*', 'sucre de canne*', "" \r *Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,537,+10%,"30,65",+22%,"63,6",+5%,"1,7",-9%,"['EMB 14338E', 'Houlgate (Calvados, France)']",['Fruits à coque'],2247 kj(537 kcal),"24,5","11,4","0,05","0,02",,3,,E,30.6 g,en quantité élevée,24.5 g,en quantité élevée,11.4 g,en quantité modérée,0.05 g,en faible quantité,+11%,+27%,-45%,-59%,-59%,12,+2%,D,+2%,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,,,,,,,
553,Confiture extra cassis - C'est Ginette qui l'a fait - 325g,3760159101245,,"[""C'est Ginette qui l'a fait""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],"['CASSIS', 'SUCRE DE CANNE""', 'GÉLIFIANT : PECTINE', "" PRODUIT ISSU DE L'AGRICULTURE BIOLOGIQUE"", ' PREPAREE AVEC 60 DE FRUITS POUR 100 g DE PRODUIT FINI', ' TENEUR TOTALE EN SUCRES 60 g POUR 100 g']",[],?,,259,+13%,"0,3",+6%,60,+10%,"0,5",-17%,,,1084 kj(259 kcal),"0,1","57,3","0,005","0,002",['E440 - Pectines'],4,325 g,C,0.3 g,en faible quantité,0.1 g,en faible quantité,57.3 g,en quantité élevée,0.0049 g,en faible quantité,+13%,+63%,+10%,-82%,-82%,8,-13%,C,-13%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
554,Cranberry - Très Pressés - 75cl,3760159101337,,['Très Pressés'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de canneberge']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,43,+34%,"0,49",+161%,9,+5%,"0,5",+194%,,,180 kj(43 kcal),"0,09",6,0,0,,,75 cl,C,0.49 g,en faible quantité,0.09 g,en faible quantité,6 g,en quantité modérée,0 g,en faible quantité,+31%,+60%,-3%,-100%,-100%,0,-100%,B,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
555,Mange ta compote pomme,3760159101870,,['Mange Ta Compote'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature', 'Compotes à boire']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans conservateurs']",,['France'],"['pommes* ', '100%', ' * Ingrédients issus de llagriculture biologique']",[],?,,59,-8%,"0,2",-32%,13,-8%,"0,4",+36%,,,247 kj(59 kcal),"0,01",13,"0,01","0,004",,1,,B,0.2 g,en faible quantité,0.01 g,en faible quantité,13 g,en quantité élevée,0.01 g,en faible quantité,-7%,-85%,-2%,+51%,+51%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,
556,Mais bio - En Verre Pour Toi,3760159102273,,"['En Verre Pour Toi', 'Compagnie Des Maraîchers']",,['Bio'],,['France'],[],[],?,,66,,"1,5",,9,,3,,,,276 kj(66 kcal),"0,1",4,"0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Chocolait Au Lait Eclats d’amande - Au Bord Du Lac,3760159102464,,['Au Bord Du Lac'],,['Bio'],,['France'],"['Sucre de canne*', 'beurre de cacao*', 'poudre de lait entier*', ""éclats d'amandes* "", '1 0%', 'pâte de cacao*', ' Cacao : 36% minimum', "" *Ingrédients issus de l'agriculture biologique""]",['Non végétalien'],?,,563,,"36,8",,"49,5",,"6,2",,,,2356 kj(563 kcal),22,"45,5","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Macaroni de pois chiches,3760159102976,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-009', 'Fabriqué en Italie']",,['France'],[],[],?,,366,,"5,7",,55,,19,,,,1531 kj(366 kcal),"0,9","2,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Baie de Goji - NaturAttitud,3760159375967,,['NaturAttitud'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Baies de goji séchées']","['Bio', 'Bio européen', 'FR-BIO-10', 'Conditionné en France', 'AB Agriculture Biologique']",,['France'],"['Baies de Goji* séchées ', '100%', "" *produit issu de l'agriculture biologique Cultivé en Chine"", ' Conditionné en France', ' Ce lot a été analysé par un laboratoire indépendant']",[],?,,344,+4%,"3,1",+5%,"60,3",+2%,"12,8",+2%,,,1439 kj(344 kcal),"0,6","49,5","0,26","0,104",,,,,3.1 g,en quantité modérée,0.6 g,en faible quantité,49.5 g,en quantité élevée,0.26 g,en faible quantité,+4%,+35%,+10%,-58%,-58%,0,-100%,B,-100%,,,,,,,,,,,,,,
560,YRT FERMIER AROM.VANILLE4X125G,3760160630031,,,,,,['France'],[],[],?,,91,,"3,19",,12,,"3,7",,"['FR 15.019.011 CE', 'Bassignac (Cantal, France)']",,381 kj(91 kcal),"1,9",12,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Colombie Excelso,3760160680883,,,,,['Magasins U'],['France'],[],[],?,,1,,0,,0,,0,,,,4 kj(1 kcal),0,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Cassis - Les Confituriers du Morvan - 380g,3760161770002,,['Les Confituriers du Morvan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']","['Concours général agricole', 'Médaille de bronze du Concours général agricole', 'Médaille de bronze du concours général agricole 2016']",,['France'],"['Cassis 50%', 'sucre', 'jus de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,293,+27%,"0,31",+10%,"68,28",+26%,"0,56",-7%,,,1226 kj(293 kcal),"0,06","65,55",0,0,,3,380 g,D,0.31 g,en faible quantité,0.06 g,en faible quantité,65.5 g,en quantité élevée,0 g,en faible quantité,+28%,-2%,+26%,-100%,-100%,13,+41%,D,+41%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
563,Confiture artisanale Fraise - les confituriers du Morvan - 380g,3760161770040,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['les confituriers du Morvan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['Fraises 50%', 'sucre', 'jus de citron', 'pectine de fruit']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,264,+22%,"0,16",-34%,"64,31",+21%,"0,47",+6%,,,1105 kj(264 kcal),"0,03","63,82",0,0,['E440 - Pectines'],4,380 g,D,0.16 g,en faible quantité,0.03 g,en faible quantité,63.8 g,en quantité élevée,0 g,en faible quantité,+21%,-33%,+26%,-100%,-100%,12,+37%,D,+37%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
564,Bonbons rose,3760164591581,,,,,,['France'],[],[],?,,395,,"0,6",,98,,"0,5",,,,1653 kj(395 kcal),"0,1",85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Bonbon violette,3760164591710,,,,,,['France'],[],[],?,,391,,"0,5",,97,,"0,5",,,,1636 kj(391 kcal),"0,1",74,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Filet De Thon Germon - Jean de luz,3760164640043,,['Jean de luz'],,['Bio'],,['France'],['apoLie'],[],?,,199,,"8,2",,"0,5",,"31,3",,,,833 kj(199 kcal),"1,4",0,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Sardines à L'huile D'olive - Jean de luz - 320g,3760164640357,,['Jean de luz'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,['France'],"['kvdids: Sardine ', 'Sadm hile ddive extrat Th', 'cd']","['Non végétalien', 'Non végétarien']",?,,219,-11%,15,-15%,"0,2",-38%,"20,8",-2%,,,916 kj(219 kcal),"4,1","0,16","1,3","0,52",,,320 g,D,15 g,en quantité modérée,4.1 g,en quantité modérée,0.16 g,en faible quantité,1.3 g,en quantité modérée,-11%,+7%,-24%,+44%,+44%,11,+95%,D,+95%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,
568,Confiture de Myrtilles - Terre De L'alple,3760165984160,,"[""Terre De L'alple""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",['Bio'],,['France'],[],[],?,,239,+9%,"0,08",-69%,"59,6",+12%,"0,3",-23%,,,1000 kj(239 kcal),"0,02","56,2",0,0,,,,D,0.08 g,en faible quantité,0.02 g,en faible quantité,56.2 g,en quantité élevée,0 g,en faible quantité,+9%,-55%,+11%,-100%,-100%,11,+19%,D,+19%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
569,Un thé à Lhassa - Jardins de l'Hermitage - 100g,3760167533236,"['Sachet', 'Plastique']","[""Jardins de l'Hermitage"", 'Agidra']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Mélanges de thés']",['Fabriqué en France'],['Grand Frais'],['France'],"['Thé noir', 'thé vert grain Yunnan', 'thé vert Chun Mee', 'thé Oolong', 'fleurs de jasmin', 'arôme vanille', 'arôme bergamote', 'fleurs de souci', 'arôme gingembre']",[],?,,?,,?,,?,,?,,,,,,,,,,4,100 g,B,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Chine'],"Thés noir, vert et Oolong",['France'],,,,
570,Gressins - Le père gourmand  - 400g,3760168450006,,['Le père gourmand'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']","['Sans colorants', 'en:palm-oil-free']",,['France'],[],['Sans huile de palme'],?,,415,-1%,"10,5",-3%,65,-3%,"12,5",+10%,,,1736 kj(415 kcal),1,3,"1,3","0,52",,,400g,B,10.5 g,en quantité modérée,1 g,en faible quantité,3 g,en faible quantité,1.3 g,en quantité modérée,-1%,-56%,+20%,-32%,-32%,5,-61%,C,-61%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,
571,Gressins rubatà nature - Le Père Gourmand,3760168451300,,['Le Père Gourmand'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['Sans colorants'],,['France'],"['Sans colorant ni agent de conservation Fabrication artisanale edients•', ' farine deblé tendre', 'huile de palme', 'sel', 'levure', 'farine au malt', ' Contient du gluten', ' contenir des traces de graines de sésame et de soja']",['Huile de palme'],?,,426,+1%,12,+11%,67,+0%,10,-12%,,"['Gluten', 'Graines de sésame']",1782 kj(426 kcal),5,"2,5",2,"0,8",,3,,B,12 g,en quantité modérée,5 g,en quantité modérée,2.5 g,en faible quantité,2 g,en quantité élevée,+1%,+121%,0%,+5%,+5%,14,+9%,D,+9%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,['Huile de palme'],,
572,Fromage blanc de brebis châtaigne - Duo Lozère,3760168570186,,['Duo Lozère'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de brebis']",,,['France'],"['fromage blanc brebis sur lit de confiture : Lait de brebis entier pasteurisé', 'confiture de châtaigne ', ' châtaigne 50%', 'sucre 45%', 'eau 8% ', 'présure', 'ferments lactiques']",['Non végétalien'],?,,133,+41%,7,+37%,12,+129%,"5,5",-13%,,['Lait'],556 kj(133 kcal),"4,6",11,"0,1","0,04",,3,,C,7 g,en quantité modérée,4.6 g,en quantité modérée,11 g,en quantité modérée,0.1 g,en faible quantité,+42%,+34%,+178%,-3%,-3%,3,+222%,C,+222%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,
573,Dely yourt,3760168570254,,,,,,['France'],[],[],?,,99,,3,,15,,"3,1",,"['FR 48.042.011 CE', 'Chastel-Nouvel (Lozère, France)']",,414 kj(99 kcal),"1,96",13,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,COUSCOUS COMPLET,3760168950056,,,,['Bio'],,['France'],[],[],?,,360,,2,,70,,"12,5",,,,1506 kj(360 kcal),"0,4",3,"0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Melon,3760169604019,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Melons et pastèques', 'Melons']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,70.3%,0.0%,0.0%,12.0%,10.7%,7.0%,93,,,,,,,
576,Baba Au Rhum - Le Comptoir de Mathilde - 340ml / 320g,3760170090900,"['Bocal', 'Verre', 'métal']",['Le Comptoir de Mathilde'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",['Déconseillé aux femmes enceintes'],,['France'],"['Biscuit ', 'farine de BLÉ', 'ŒUFS', 'margarine végétale ', 'huiles et graisses végétales non hydrogénées : palme et tournesol', 'eau', ""correcteur d'acidité : acide citrique"", 'arômes', ' sucre', 'sel', 'levain', 'liqueur à 12 %vol', ' ', 'eau', 'sucre', 'rhum']","['Huile de palme', 'Non végétalien']",?,,158,-27%,3,-26%,17,-55%,2,-1%,,"['Œufs', 'Gluten']",661 kj(158 kcal),"1,3",16,"0,2","0,08",['E330 - Acide citrique'],4,340 ml / 320 g,B,3 g,en quantité modérée,1.3 g,en faible quantité,16 g,en quantité élevée,0.2 g,en faible quantité,-27%,-40%,-44%,-9%,-9%,4,-59%,C,-59%,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,,,,,['Huile de palme'],,
577,Vinaigre à la pulpe de tomates et basilic - Le Comptoir de Mathilde,3760170098111,,['Le Comptoir de Mathilde'],,,,['France'],[],[],?,,28,,"0,5",,"4,6",,1,,,,117 kj(28 kcal),"0,1","0,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Chocolat Noir 95% de Cacao - Grand Cru - Équateur - SolAlter - 90g,3760170550404,"['Carton', 'Aluminium']",['SolAlter'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Commerce équitable', 'Sans arômes ajoutés', 'Sans lécithine', 'Nature & Progrès']",,['France'],"['Fèves de cacao', 'sucre de canne']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,578,+4%,49,+24%,"9,4",-76%,"13,3",+74%,,,2418 kj(578 kcal),"30,7",5,"0,015","0,006",,3,90 g,D,49 g,en quantité élevée,30.7 g,en quantité élevée,5 g,en quantité modérée,0.015 g,en faible quantité,+4%,+33%,-84%,-68%,-68%,18,-15%,D,-15%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Équateur'],Chocolat Noir 95% de Cacao - Grand Cru - Équateur,,http://www.solalter.com/Chocolat-Noir-95-cacao.html,,,
579,Huile d'olive vierge extra fruitée douce - Nicolas Alziari - 500ml,3760171280010,"['Bidon', 'métal']",['Nicolas Alziari'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,['France'],"[""huile d'olive vierge extra""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,900,+5%,"99,8",+5%,0,,0,,,,3766 kj(900 kcal),"15,1",0,0,0,,2,500 ml,D,99.8 g,en quantité élevée,15.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,+8%,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Union européenne'],,['France'],http://www.alziari.com.fr/huile-d-olive/113-huile-d-olive-fruitee-douce-bidon-1-2-l.html#,,,
580,Huile d’olive vierge extra cuvée pauline - Alziari,3760171281192,,['Alziari'],['Matières grasses'],,,['France'],['Olives'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,900,+12%,"99,8",+13%,0,-100%,0,-100%,,,3766 kj(900 kcal),"15,1",0,0,0,,2,,,99.8 g,en quantité élevée,15.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+12%,-34%,-100%,-100%,-100%,11,-3%,D,-3%,,,,,,,,,,,,,,
581,Le caramel au beurre salé,3760173130221,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
