,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,additives,allergens,nova_score,markets,manufacturing,ingredients_origins,link,palm_ingredients,origin_detail
15,"Orange à dessert Navel, calibre 5/6 catégorie 1 - U - 2kg",3256223378083,['France'],[],[],182,43,182 kj(43 kcal),"0,3",0,"8,3","8,3",1,0,0,['U'],,['DEMARCHE FLEG METIERS'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 kg,['Girsac'],,,,,['Magasins U'],,['Espagne'],,,
16,Panettone pur beurre - U Saveurs - 500g,3256228416780,['France'],"['Farine de BLE', 'BEURRE 12%', 'raisins secs 11,5%', 'sucre', ""écorces d'oranges confites 10,5% "", ""écorces d'orange"", 'sucre', 'jus concentré de citron', 'eau', 'LEVAIN ', 'farine de BLE', 'eau', ""jaune d'OEUF issus de poules élevées en plein air"", 'sel', ' Traces éventuelles de fruits à coque et de soja']",['Non végétalien'],?,?,,?,,?,,?,,,"['U Saveurs', 'U']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,,,,,,,,,,,,,,,,,,,,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,500 g,,,,"['Œufs', 'Gluten', 'Lait']",3,['Magasins U'],,,,,
17,Bouquet garni - U - 20g,3256228099686,['France'],"['Laurier', 'sarriette', 'thym', 'persil', 'romarin', 'basilic', 'graines de CELERI Traces éventuelles de moutarde']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['U'],['Epicerie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 g,['format classique'],,,['Céleri'],1,['Magasins U'],,,,,
18,Cannelle moulue - U - 30g,3256228099709,['France'],['Cannelle moulue Traces éventuelles de céleri et moutarde'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['U'],['Epicerie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 g,['format classique'],,,,1,['Magasins U'],,,,,
19,Pavés de morue déssalées MSC surgelés - U - 400g,3256227764974,['France'],"['Pavés de MORUE dessalée ', 'gadus morhua', ' pêchée à la palangre en mers de Norvege ', 'FAO 27-ii', ' issue de pêcheries certifiées msc']","['Non végétalien', 'Non végétarien']",240,57,240 kj(57 kcal),"0,5","0,3",0,0,13,"2,1","0,84",['U'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Fruits de mer surgelés', 'Poissons surgelés']","['Pêche durable', 'Pêche durable MSC']",0.5 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,2.1 g,en quantité élevée,-49%,-50%,-50%,-87%,-60%,-100%,-100%,-22%,+382%,+382%,4,,C,,,,,,,,,,,400 g,['Surgelés'],,,['Poisson'],,['Magasins U'],,,,,
20,Lentilles vertes précuites surgelées - U - 450g,3256227475788,['France'],"['Lentille précuite ', 'France']","['Sans huile de palme', 'Végétalien', 'Végétarien']",560,132,560 kj(132 kcal),"0,8","0,1",20,"0,5","9,8","0,01","0,004",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés']",['Cultivé en France'],0.8 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,+227%,+187%,+196%,-25%,-63%,+329%,-76%,+332%,-94%,-94%,-12,,A,,,,,,,,,,,450 g,['Surgelés'],,,,1,['Magasins U'],,,,,
21,Courge butternut surgelée - U - 600g,3256227749421,['France'],['Cubes de courge butternut'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",106,25,106 kj(25 kcal),"0,5","0,1","4,5","1,7","0,8","0,1","0,04",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés']",,0.5 g,en faible quantité,0.1 g,en faible quantité,1.7 g,en faible quantité,0.1 g,en faible quantité,-38%,-46%,-44%,-53%,-63%,-3%,-20%,-65%,-39%,-39%,-6,,A,,,,,,,,,,,600 g,"['Surgelés', 'Sachet en plastique']","['EMB 22136U', ""Loudéac (Côtes-d'Armor, France)""]",,,1,['Magasins U'],,,,,
22,Bloc de foie gras de canard IGP de sud ouest avec 30% morceaux - U - 300g,3256227763014,['France'],"['Foie gras de canard du sud-ouest ', 'origine France', 'morceaux de foie gras de canard du sud-ouest ', 'origine France', ' 30%', 'eau', 'sel', 'armagnac', 'sucre', 'épices', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,['U'],"['Poissons et viandes et oeufs', 'Foies gras']",['Transformé en France'],,,,,,,,,,,,,,,,,,,,,,,A,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,300 g,"['Barquette', 'Frais']",,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,3,['Magasins U'],,,,,
23,MONT BLANC Crème Dessert Praliné 6x125g Format Familial - 750g,3700279307134,['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '82 %', ' ', '*LAIT origine France', ' ', ' sucre ', ' sirop de glucose ', ' 2 % de praliné ', 'sucre', 'NOISETTES', 'AMANDES', ' amidon transformé de maïs', ' maltodextrine ', ' amidon de maïs', ' épaississants : alginate de sodium', 'carraghénanes ', ' arôme ', ' sel', 'Contient du LAIT', 'des FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien']",538,128,538 kj(128 kcal),4,2,20,14,3,"0,18","0,072",['Mont blanc'],,"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Nutriscore', 'Nutriscore C', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crème dessert au praliné, saveur praliné",750 g,['Etui en carton'],"['FR 50.127.002 CE', 'Chef-du-Pont (Manche, France)']","['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Lait', 'Fruits à coque']",4,,,,,,
24,Brodo vegetale,8015197111110,['France'],[],[],?,85,356 kj(85 kcal),"0,3",0,"2,7","0,2","0,4",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
