,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,additives,allergens,nova_score,markets,manufacturing,ingredients_origins,link,palm_ingredients,origin_detail
336,Aliment complet,4008239345363,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,3355312146401,3355312146401,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Madeleines cœur au bon chocolat,3178530419771,['France'],[],[],?,455,1904 kj(455 kcal),25,4,53,27,6,"0,81","0,324",,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,25 g,en quantité élevée,4 g,en quantité modérée,27 g,en quantité élevée,0.81 g,en quantité modérée,,+2%,+2%,+6%,-40%,+2%,-5%,+5%,+7%,+7%,16,-13%,D,-13%,D,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,,,,,,
339,Mini fourrés coeur fraise - Sondey,4056489276159,['France'],"['Sirop de glucose-fructose', 'farine c blé ', 'Origine : France', 'sucre', '17% eufs*', 'huile d colza', '7,9% purée de pommes', '6,6% purée de fraises ', 'Origine : Espagne', 'Pologne', 'Italie', 'stabilisant : glycérol', ' poudres à lever : diphosphates', 'carbonates de sodium', ' arômes', 'amidon de maïs', 'sel', 'gélifiant : pectines', ' colorant : anthocyanes', ' acidifiant: acide citrique', ' *issus de poules élevées au sol', ' Traces éventuelles de fruits à coque', 'lait et soja']",[],1618,385,1618 kj(385 kcal),15,"1,5",60,34,"4,6",1,"0,4",['Sondey'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Pâtisserie industrielle']",,15 g,en quantité modérée,1.5 g,en quantité modérée,34 g,en quantité élevée,1 g,en quantité modérée,+2%,+11%,+12%,+303%,+68%,-18%,-22%,+19%,+80%,+80%,15,-2%,D,-2%,,,,,,,,,,,['Film en plastique'],,"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E440 - Pectines', 'E163 - Anthocyanes', 'E330 - Acide citrique']",,4,['LIDL'],,,,,
340,Quartiers aux herbes pommes de terre bio - Monoprix Bio,3350033747074,['France'],[],[],?,173,724 kj(173 kcal),"7,7","1,4","21,8","0,9","2,8","0,28","0,112",['Monoprix Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Too good patate douce - TooGood - 85g,3245550081575,['France'],[],[],?,437,1828 kj(437 kcal),"11,2","1,3",77,"8,4",5,"1,63","0,652",['TooGood'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de patate douce']",,11.2 g,en quantité modérée,1.3 g,en faible quantité,8.4 g,en quantité modérée,1.63 g,en quantité élevée,,-10%,-10%,-63%,-74%,+60%,-55%,+16%,+126%,+126%,14,+15%,D,+15%,,,,,,,,,,85g,['Sachet Plastique'],,,,,,,,,,
342,Fondant Carambar Caramel - Mamie Nova,3456770001025,['France'],[],[],?,125,523 kj(125 kcal),5,"3,2","16,4","16,2",3,"0,24","0,096",['Mamie Nova'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Next! BACON,5060705020081,['France'],[],[],?,238,996 kj(238 kcal),17,3,7,"1,2",14,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Escalope de foie gras - Lidl,4056489278542,['France'],[],[],?,588,2460 kj(588 kcal),62,28,"1,9","1,7","5,5",,,['Lidl'],"['Foie gras de canard cru', 'Gras']",,62 g,en quantité élevée,28 g,en quantité élevée,1.7 g,en faible quantité,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Film en plastique', 'Etui en carton']",,,,,,,,,,
345,"Pommes de terre -  - 2,5kg",3256228535771,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']",,,,,,,,,,,,,,,,,,,,,,,,B,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,"2,5 kg",,,,,,,,,,,
346,Chardonnay,3262152835757,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Galettes de blé et pois - U - 180g,3256228115034,['France'],"['Eau', 'huiles végétales ', 'colza', 'tournesol', 'protéines de blé texturées déshydratées 13% ', 'protéines de blé', 'farine de blé', 'protéines de pois déshydratées 8%', 'oignons', ""blanc d'œuf en poudre"", 'amidon', 'arôme naturel', 'fibres de blé ', 'fibres de blé et de psyllium', 'jus de betterave rouge en poudre ', 'jus concentré de betterave rouge', 'maltodextrine', ""correcteur d'acidité : E330"", 'vinaigre', 'oignon en poudre', ""extrait de malt d'orge"", 'épice', ' [% exprimés sur la totalité du produit]']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",904,217,904 kj(217 kcal),11,"0,96","9,4","1,5",18,"1,004","0,402",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Steaks végétaux']","['Végétarien', 'Sans arômes artificiels', 'Emballage-responsable', 'Entreprise-de-france']",11 g,en quantité modérée,0.96 g,en faible quantité,1.5 g,en faible quantité,1 g,en quantité modérée,+7%,+6%,+6%,+23%,-34%,-44%,-36%,+71%,-4%,-4%,-2,-1560%,A,-1560%,,,,,,,,,,180g,"['Plastique', 'Carton', 'Barquette', 'Film en plastique']",,['E330 - Acide citrique'],['Gluten'],4,['super u'],,,,,
348,Ananas en morceaux - Auchan - 560g,09622722,['France'],"['Ananas', ""jus d'ananas""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de plantes en conserve', 'Fruits en conserve', 'Ananas en conserve']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560 g,['Conserve'],,,,1,['Auchan'],,,,,
349,Eti Benim’o çikolatali,8690526743295,['France'],[],[],?,450,1883 kj(450 kcal),20,12,62,38,"5,3","0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Biscotti del lagaccio integrali,8000643000346,['France'],[],[],?,408,1707 kj(408 kcal),"11,1","8,7","62,5","17,3","11,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,poivre noir entier,3102870015218,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],,,,,,,,,,
352,07632110,07632110,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Sirop virgin mojito - Cora,3257986904809,['France'],[],[],?,80,335 kj(80 kcal),"0,5","0,1",78,78,"0,5",0,0,['Cora'],"['Boissons', 'Sirops', 'Sirops aromatisés']",['Nutriscore'],,,,,,,,,,-68%,-69%,+395%,+295%,+22%,+28%,+381%,-100%,-100%,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,
354,Delacre etoile constellation - 140g (140g),3116430212924,"['France', 'Luxembourg']","['Farine de BLE', 'sucre', 'BEURRE pâtissier', 'NOISETTES', 'chocolat ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'arôme', 'BEURRE', 'chocolat blanc ', 'beurre de cacao', 'sucre', 'LAIT écrémé en poudre', 'BEURRE pâtissier', 'émulsifiant : lécithine de SOJA', 'arôme', ' ', 'chocolat au LAIT aux NOISETTES gianduja ', 'beurre de cacao', 'sucre', 'NOISETTE', 'LAIT entier en poudre', 'pâte de cacao', 'émulsifiant : lécithine de SOJA', 'arôme', 'cacao maigre en poudre', 'OEUFS', ""poudres à lever : carbonates d'ammonium"", 'carbonates de sodium', 'diphosphate disodique', 'OEUF entier en poudre', 'sel', 'arôme', 'amidon de BLE']",['Non végétalien'],2313,554,2313 kj(554 kcal),"33,2","18,1","54,7","26,5","7,9","0,17","0,068",['Delacre'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,33.2 g,en quantité élevée,18.1 g,en quantité élevée,26.5 g,en quantité élevée,0.17 g,en faible quantité,+16%,+17%,+16%,+60%,+79%,-15%,-10%,+22%,-71%,-71%,21,+6%,E,+6%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,Assortiment de biscuits,140 g (140 g),['Wrapper'],,"['E322i - Lécithine', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450i - Pyrophosphate de sodium acide']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,
355,Merci petits,4014400927429,['France'],[],[],?,584,2443 kj(584 kcal),"40,7",25,"43,8","41,5","8,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Biovita uova fresche da allevamento biologico,8008110010508,['France'],[],[],?,126,527 kj(126 kcal),"8,7","3,2",0,0,12,"0,3","0,12",,,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Lasagnes a la bolognaise - Carrefour,3560071237424,['France'],[],[],?,124,519 kj(124 kcal),5,"1,3",14,"2,9","5,7","0,75","0,3",['Carrefour'],"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']","['Nutriscore', 'Nutriscore B']",5 g,en quantité modérée,1.3 g,en faible quantité,2.9 g,en faible quantité,0.75 g,en quantité modérée,,-7%,-7%,-18%,-48%,+12%,+7%,-10%,-5%,-5%,2,-13%,B,-13%,D,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,,,,,,,['Carrefour'],,,,,
358,Classiche,7622210138057,['France'],[],[],?,225,941 kj(225 kcal),14,"9,3","4,5","4,5",17,"3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Suprêmes de tofu Ail des Ours - Tossolia - 140g,3483460700142,['France'],"['Tofu* 84% ', 'eau', 'soja*', 'coagulant : chlorure de calcium', 'ail des ours* 5%', 'huile de tournesol*', 'oignons*', 'bouillon de légumes* ', 'sel de mer', 'farine complète de riz*', 'légumes* 11 % ', 'dont céleri', 'extrait de levure*', 'huile de tournesol*', 'curcuma*', 'persil*', 'macis*', 'poivre*', 'laurier*', 'feuilles de livèche*', 'ail*', ""*Ingrédient d'origine agricole obtenu selon les règles de production biologique""]",['Végétarien'],?,158,661 kj(158 kcal),"8,1","1,1","4,1","0,6",16,"1,8","0,72",['Tossolia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']","['Bio', 'Végétarien', 'Ecocert', 'Bio européen', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Végétarien', 'FR-BIO-01', 'AB Agriculture Biologique']",8.1 g,en quantité modérée,1.1 g,en faible quantité,0.6 g,en faible quantité,1.8 g,en quantité élevée,,+7%,+6%,-7%,-23%,+88%,-3%,+15%,+162%,+162%,2,,B,,A,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,,140g,"['film plastique', 'étui carton', 'Film en plastique', 'Etui en carton']",,,['Soja'],3,"['magasins bio', 'Biocoop', 'Satoriz']",['Revest-du-bion'],"['France', 'Union européenne']",https://www.tossolia.fr/produits/supremes-de-tofu-ail-des-ours/,,
360,Cookie chocolat noir & chocolat au lait,7630030330742,['France'],[],[],?,411.13,1720 kj(411 kcal),"18,36","9,59","56,88","31,66","5,69","1,17","0,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Bonbons tendres multifruits parfums cassis citron fraise framboise orange - Monoprix,3350031613814,['France'],"['Sirop de glucose suere - graisse de cOco totalement hydrogénée - gélatine de porc - acidifant : acide itrique - arômes - émulifiants mono-et dighecénides acides gras', 'lécithines de cola - colrants : Ithocyanes', 'extrait de paprika', 'curcume']",[],?,?,,?,,?,,?,,,['Monoprix'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,,,,,,,,,,,,,,,,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,BONBONS TENDRES AROMATISÉS PARFUMS CASSIS - CITRON - FRAISE - FRAMBOISE - ORANGE,,['Sachet en plastique'],,,,,['Monoprix'],,,,,
362,3770002220283,3770002220283,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Vegan raw dark vanilla,8718421158720,['France'],[],[],?,622,2602 kj(622 kcal),"49,9","29,5","33,7","23,9","6,2","0,02","0,008",,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Kinder happy hippo noisette biscuit en forme d'hippopotame fourre au lait et aux noisettes pack de 5 pieces - 103.5g,8000500362266,"['Belgique', 'France']","['Sucre', 'graisses végétales ', 'palme', 'karité', 'farine de FROMENT', 'LAIT en poudre 7,5%', 'cacao maigre 5%', 'LAIT écréme en poudre 4,5%', 'NOISETTES', 'LACTOSERUM en poudre', 'chocolat noir ', 'sucre', 'pâte de cacoa', 'beurre de cacao', 'émulsifiants : lécithines [SOJA] ', ' vanilline', 'amidon de FROMENT', 'émulsifiants : lécithines [SOJA] ', ' huile de tournesol', 'protéines de LAIT', 'poudres à lever ', ""carbonate d'ammonium"", 'carbonate acide de sodium', 'sel', 'vanilline']","['Huile de palme', 'Non végétalien']",2471,593,2471 kj(593 kcal),"38,6","17,6","53,6","45,1","6,7","0,264","0,106",['Kinder'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biscuit kinder happy hippo t5,103.5 g,,,"['E322i - Lécithine', ""E503i - Carbonate d'ammonium"", 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,
365,Jambon superieur,3661112503093,['France'],[],[],?,124,519 kj(124 kcal),"4,2","1,4","0,4","0,4",21,"1,9","0,76",,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Carb crusher dark chocolat - Myprotein - 64g,5056307321534,['France'],"['Protein Blend ', '37%', ' ', 'Milk Protein Isolate', 'Soy Protein Isolate', 'Partially Hydrolysed Whey Protein Isolate ', 'Milk', ' ', 'Contains Emulsifer', ' Soy Lecithin', 'Soy Protein Crisp ', 'Soy Protein Isolate', 'Chocolate Couverture ', '16%', ' ', 'Cocoa Mass', 'Sweetener ', 'Maltitol', 'Cocoa Butter', 'Emulsifier ', 'Soy Lecithin', 'Natural Flavouring', 'Soluble Tapioca Fibre', 'Humectant ', 'Glycerol', 'Chocolate Flavour Caramel ', '10%', ' ', 'Humectant ', 'Glycerol', 'Maltodextrin', 'Oligofructose', 'Water', 'Sweetener ', 'Maltitol', 'Coconut Oil', 'Modified Maize Starch', 'Skimmed Milk Powder', 'Cocoa Powder', 'Gelling Agent ', 'Pectin', 'Acidity Regulator ', 'Calcium Lactate', 'Emulsifier ', 'Soya Lecithin', 'Natural Flavourings', 'Salt', 'Thickener ', 'Xanthan Gum', 'Colour ', 'Plain Caramel', 'Water', 'Fat-Reduced Cocoa Powder', 'Salt', 'Vitamin and Mineral Blend ', 'Calcium', 'Phosphorus', 'Vitamin C', 'Iron', 'Vitamin E Preparation ', 'Contains Anti - Caking Agent: Silicon Dioxide', 'Niacin', 'Zinc', 'Vitamin A Preparation ', 'Contains Antioxidant: DL-Alpha-Tocopherol', 'Pantothenic ACId', 'Manganese', 'Copper', 'Vitamin D', 'Vitamin B6', 'Riboflavin', 'Thiamin', 'Folic Acid', 'Potassium', 'lodine', 'Selenium', 'Biotin', 'Vitamin 12', 'Natural Flavouring', 'Concentrated Grape Juice', 'Rice Starch', 'Potato Fibre', 'Psyillium Husk Fibre', 'Sweetener ', 'Sucralose']",[],?,307,1284 kj(307 kcal),"7,4","4,9",27,"1,7",35,"1,3","0,52",['Myprotein'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",['Pur beurre de cacao'],7.4 g,en quantité modérée,4.9 g,en quantité modérée,1.7 g,en faible quantité,1.3 g,en quantité modérée,,-17%,-17%,-43%,-17%,-17%,-87%,+19%,+165%,+165%,7,-32%,C,-32%,,,,,,,,,,64g,['1 barre'],,"['E965 - Maltitol', 'E422 - Glycérol', 'E440 - Pectines', 'E327 - Lactate de calcium', 'E415 - Gomme xanthane', 'E150a - Caramel E150a', 'E955 - Sucralose']","['Lait', 'Soja']",4,,,,,,
367,Fromage bleu danios - Castello - 100g,5760466763189,['France'],[],[],?,1415,5920 kj(1415 kcal),29,18,"0,5","0,5",20,"1,32","0,528",['Castello'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'en:Danish cheeses']",,29 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.32 g,en quantité modérée,,+344%,+329%,+15%,+8%,-11%,+117%,-10%,-16%,-16%,20,+32%,E,+32%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,100 g,['Fresh'],,,,,,,,,,
368,Olives poivrons,3760084456021,['France'],[],[],?,155,649 kj(155 kcal),"15,4",3,"2,6","0,5","1,4","2,39","0,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,3 chocolats,3523680434929,['France'],"['E471', 'E475']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras""]",,4,,,,,,
370,Glace - Häagen-Dazs,12153400,['France'],[],[],?,251,1050 kj(251 kcal),"14,1","8,7",20,"19,6",4,"0,18","0,072",['Häagen-Dazs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Lait mini bouchée - Côte d'Or - 197g,7622201420468,['France'],"['Sucre', 'páte de carao', 'lait écrémé en poudre', 'beurre de cacao', 'noisettes ', '7 %', 'graisses végétales ', 'palmiste', 'palme', 'amandes ', '5,5 %', 'lactosérum en poudre ', 'de lait', 'beurre concentré', 'émulsifiants ', 'lécithines de soja', 'lécithines de tournesol arômes', 'Peut contenir du blé,']","['Huile de palme', 'Non végétalien']",?,529,2213 kj(529 kcal),29,14,58,57,"6,3","0,16","0,064","[""Côte d'Or"", 'Mondelez']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,29 g,en quantité élevée,14 g,en quantité élevée,57 g,en quantité élevée,0.16 g,en faible quantité,,0%,+0%,-9%,-20%,+11%,+20%,+7%,+5%,+5%,23,-6%,E,-6%,,,,,,,,,,197 g,,,['E322i - Lécithine'],"['Lait', 'Fruits à coque', 'Soja']",4,,,,,,
372,Biscotti senza zuccheri aggiunti al cacao con,8001122004176,['France'],[],[],?,458,1916 kj(458 kcal),20,3,19,0,2,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Spaghetti blancs,3380380092862,['France'],[],[],?,351,1469 kj(351 kcal),"1,5","0,4",72,"4,3",11,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Chocolat lait noisettes JD Gross,4056489277569,['France'],[],[],?,585,2448 kj(585 kcal),"40,6","18,1","45,1","44,1","7,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Les mini pommes de chez nous - Rockit - 800g,20487836,['France'],[],[],?,?,,?,,?,,?,,,"['Rockit', 'Bluewhale']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes']",,,,,,,,,,,,,,,,,,,,,,,,B,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,800g,,,,,,,,,,,
376,Moutarde aux herbes de Provence,3498976112112,['France'],[],[],?,202,845 kj(202 kcal),"16,9","1,5","3,5","2,2","7,2","5,4","2,16",,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Delacre etoile calendrier - 180g (180g),3116430212931,['France'],"['Farine de BLE', 'sucre', 'BEURRE pâtissier', 'NOISETTES', 'chocolat ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'arôme', 'BEURRE', 'chocolat blanc ', 'beurre de cacao', 'sucre', 'LAIT écrémé en poudre', 'BEURRE pâtissier', 'émulsifiant : lécithine de SOJA', 'arôme', ' ', 'chocolat au LAIT aux NOISETTES gianduja ', 'beurre de cacao', 'sucre', 'NOISETTE', 'LAIT entier en poudre', 'pâte de cacao', 'émulsifiant : lécithine de SOJA', 'arôme', 'cacao maigre en poudre', 'OEUFS', ""poudres à lever : carbonates d'ammonium"", 'carbonates de sodium', 'diphosphate disodique', 'OEUF entier en poudre', 'sel', 'arôme', 'amidon de BLE']",['Non végétalien'],2313,554,2313 kj(554 kcal),"33,2","18,1","54,7","26,5","7,9","0,17","0,068",['Delacre'],"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,33.2 g,en quantité élevée,18.1 g,en quantité élevée,26.5 g,en quantité élevée,0.17 g,en faible quantité,+4%,+9%,+8%,+13%,+3%,-3%,-49%,+33%,-11%,-11%,21,-16%,E,-16%,,,,,,,,,Assortiment de biscuits,180 g (180 g),['Boite'],,"['E322i - Lécithine', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450i - Pyrophosphate de sodium acide']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,
378,Cassoulet de Castelnaudary au confit de canard du Sud-Ouest - Cassoulets with duck confit,3375644006136,['France'],[],[],?,153,640 kj(153 kcal),"9,2","3,8","5,7","0,5","9,5","0,56","0,224",['Cassoulets with duck confit'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de haricots', 'Cassoulets', 'en:Cassoulets au confit de canard', 'en:Plats au canard', 'en:Plats préparés', 'en:Plats préparés à la viande', 'en:Plats à base de haricots', 'en:Plats à la volaille', 'en:Produits à la viande']",,9.2 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,0.56 g,en quantité modérée,,+7%,+7%,+45%,+139%,-57%,-80%,+54%,-31%,-31%,1,-64%,B,-64%,B,14.6%,32.7%,20.0%,15.1%,8.8%,8.8%,95,,,,,,,,,,,,,
379,Papillotes bio,3173287505302,['France'],[],[],?,556,2326 kj(556 kcal),35,19,52,51,"6,2",,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,8715342031989,8715342031989,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Goûter fourrés saveur Vanille -,2006050001415,['France'],"['Farine de blé 32,6%', 'sucre', 'huile de palme', 'cacao maigre en poudre 8,4%', 'amidon blé', 'sirop de glucose', 'émulsifiant : lécithines ', 'tournesol', 'sel', 'lait écrémé en poudre', 'poudre à lever: carbonates ammonium']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,469,1962 kj(469 kcal),17,"7,9",74,40,"3,9","0,38","0,152",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",,17 g,en quantité modérée,7.9 g,en quantité élevée,40 g,en quantité élevée,0.38 g,en quantité modérée,,-0%,-0%,-11%,-7%,+11%,+21%,-33%,-31%,-31%,21,+6%,E,+6%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,"['E322i - Lécithine', ""E503i - Carbonate d'ammonium""]",['Gluten'],4,,,,,['Huile de palme'],
382,Hoşbeş,8690526065533,['France'],[],[],?,374,1565 kj(374 kcal),"4,9","0,5","61,5","3,2","15,2","1,53","0,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Diots fumés à l'ancienne,3770016837071,['France'],[],[],?,338,1414 kj(338 kcal),35,11,"1,4","0,7",14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Calendrier de l'avant,5202659411021,['France'],[],[],?,?,,?,,?,,?,0,0,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,
385,Chargement…,3256630030017,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Crevettes,4056489369387,['France'],[],[],?,91,381 kj(91 kcal),"0,9","0,2","0,2",0,20,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Sardinelles à l’huile d’olive -,3482970007505,['France'],[],[],?,217,908 kj(217 kcal),"14,4","2,5","0,6",0,"21,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Trompettes de la mort - Freshona,4056489278856,['France'],[],[],?,26,109 kj(26 kcal),"0,5","0,1","1,8","0,5","1,9","1,2","0,48","['Freshona', 'Lidl']",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Charme Noir,5941047832320,['France'],[],[],?,541,2264 kj(541 kcal),40,25,29,24,"9,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
