,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,allergens,nova_score,quantity,additives,manufacturing,markets,link,palm_ingredients,generic_name,ingredients_origins,traceability_code
433,"Fleur de sel de Camargue LAVANDET, moulin de",3770000319309,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,97,"38,8",,B,['Lavandet'],"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,97 g,en quantité élevée,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,+76%,+76%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,
434,Gros Sel au piment d'espelette - Les Epices Lavandet,3770000319354,['France'],"['En achetant ce produit', 'vous soutenez notre ONG RANOALA', 'qui participe au reboisement des forêts ONC RANOALA à Madagascar', "" Ingrédient : piment d'Espelette"", ' 7% gros se/ 93%', "" Suggestion : Ce gros sel au piment d'Espelette s'utilise dans tous les types de cuisson"", ' Il accompagnera vos salades', 'marinades et viandes rouges', 'car Il allie parfaitement la fraîcheur du sel à la douce chaleur du piment du Pays Basque', "" À consommer de préférence avant : voir sur l'emballage""]",[],?,0,0 kj(0 kcal),0,0,0,0,0,93,"37,2",,,['Les Epices Lavandet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Curcuma de Madagascar moulu - Lavandet - 45g,3770000319477,['France'],['Curcuma moulu'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,B,['Lavandet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curcuma']",,,,,,,,,,,,,,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,"['Flacon', 'Verre']",,1,45 g,,,,,,,['Madagascar'],"['EMB 30258D', 'Saint-Gilles (Gard, France)']"
436,Poivre de Penja,3770000319699,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Paprika doux Bio - Lavandet - 40g,3770000319873,['France'],"['Paprika*', "" * Issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",A,['Lavandet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Paprika']",,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,"['Flacon', 'Verre']",,1,40 g,,,,,,,,
438,Le p'tit cercier puree pommes poires -,3770000335071,['France'],[],[],?,63,264 kj(63 kcal),0,0,13,"0,3","0,5",0,0,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans sucre ajouté']",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes poires']",0 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,,+2%,+1%,-100%,-100%,-5%,-98%,+42%,-100%,-100%,-5,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,,,,
439,Vinaigre de cidre - Lacroix,3770000335088,['France'],[],[],?,23,96 kj(23 kcal),0,0,1,0,0,,,['Bio'],B,['Lacroix'],"['Vinaigres', 'Vinaigres de cidre']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,+53%,+60%,-100%,-100%,-33%,-100%,-100%,,,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,,,,,,,,,,
440,Pommes mirabelles - Lacroix,3770000335095,['France'],[],[],?,48,201 kj(48 kcal),"0,2",0,12,11,"0,1",0,0,"['Bio', 'Bio européen', 'FR-BIO-01']",,['Lacroix'],['Boissons'],0.2 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,-14%,-17%,-42%,-100%,+6%,+17%,-80%,-100%,-100%,15,+96%,E,+96%,,,,,,,,,,,,,,,,,,,
441,Jus de fruits pommes cassis - Lacroix,3770000335101,"['France', 'Suisse']","['Pommes : 93%', ' cassis : 7%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,48,201 kj(48 kcal),"0,2",0,12,11,"0,1",0,0,['Bio'],,['Lacroix'],['Boissons'],0.2 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,-14%,-17%,-42%,-100%,+6%,+17%,-80%,-100%,-100%,5,-35%,C,-35%,,,,,,,,,,1,,,,,,,,,
442,"Château de Rieufret, Graves, 2011 - Scea de Villeneuve - 750ml",3770000338591,['France'],[],[],?,?,,?,,?,,?,,,,C,['Scea de Villeneuve'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Graves']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,750 ml,,,,,,,['France'],
443,Miel de fleurs Bio - Maison Vergnon - 500g,3770000341140,['France'],['Miel de tilleul'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",A,['Maison Vergnon'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Bocal', 'Verre']",,2,500 g,,,,,,,,
444,BILLES FOURREES AU MIEL 250G - 250g,3770000341294,['France'],[],[],?,402,1682 kj(402 kcal),"0,05",0,"98,9",81,"0,06","0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,
445,Beurre cru demi-sel - Les Delices De Marguerite,3770000344400,['France'],"[""crème crue'"", 'sel 2,5 %', ""ferments lactiques Produits issu de l'agriculture biologique"", ' 82 % de Mat grasse']",['Non végétalien'],?,750,3138 kj(750 kcal),82,0,0,0,0,"2,53","1,012","['Bio', 'Bio européen', 'AB Agriculture Biologique']",D,['Les Delices De Marguerite'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",82 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,2.53 g,en quantité élevée,,+4%,+5%,+3%,-100%,-100%,-100%,-100%,+23%,+23%,19,-28%,E,-28%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,2,,,,,,,,,
446,Huile de Colza,3770000348040,['France'],[],[],?,900,3766 kj(900 kcal),99,"7,2",1,0,0,0,0,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",99 g,en quantité élevée,7.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+3%,+4%,+2%,+1%,+7476%,-100%,-100%,-100%,-100%,5,-1%,C,-1%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,,,
447,Miel toutes fleurs printemps - Loïc Jégo - 1kg,3770000357066,['France'],['Miel de printemps'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,A,['Loïc Jégo'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Bocal verre'],,2,1kg,,['Médréac'],['Clic des champs'],,,Miel,['France'],
448,750ml,3770000400335,['France'],[],[],?,?,,?,,?,,?,,,"['Contient des sulfites', 'Déconseillé aux femmes enceintes']",B,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Côtes du Rhône']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"['Bouteille', 'Verre']",,,750 ml,,,,,,,['France'],"['EMB 69064', 'Condrieu (Rhône, France)']"
449,Ferme de la grande dennerie,3770000402438,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Yaourts aux fruits,3770000402445,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Château Auguste Bordeaux Supérieur 2006 - EARL Vignobles Meijer - 75cl,3770000406078,['France'],"['Vin ', 'contient sulfites']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Biovidis']",B,['EARL Vignobles Meijer'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Bordeaux supérieur']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"['Bouteille', 'Verre']",['Anhydride sulfureux et sulfites'],3,75 cl,,['France'],,,,,['France'],
452,Moulin d'auguste -,3770000406221,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Jus de gingembre -,3770000407013,['France'],[],[],?,60,251 kj(60 kcal),"0,6","0,2","12,8","1,4","1,4","0,02","0,008","['Bio', 'Bio européen', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",,,"['Boissons', 'Jus de gingembre']",0.6 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,0.02 g,en faible quantité,,+7%,+4%,+73%,+69%,+13%,-85%,+182%,-52%,-52%,10,+31%,E,+31%,,,,,,,,,,,,,,,,,,,
454,Gingembre curcuma,3770000407143,['France'],[],[],?,55,230 kj(55 kcal),"0,1",0,"11,7","10,3","0,4","0,01","0,004","['Bio', 'Bio européen', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Gelée de curcuma,3770000407563,['France'],[],[],?,221,925 kj(221 kcal),"0,1",0,"53,9",53,"0,3",0,0,"['Bio', 'Bio européen', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Purée de citron,3770000407570,['France'],[],[],?,34,142 kj(34 kcal),"0,3","0,1","2,5","2,2","0,8","0,01","0,004","['Bio', 'Bio européen', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Haricot de Soissons nature - Les Jardins de Pontarcher - 660g (égoutté : 420g) 720ml,3770000428001,['France'],"['Haricots de Soissons', 'eau', 'sel']",[],?,?,,?,,?,,?,,,['Bienvenue à la ferme'],B,['Les Jardins de Pontarcher'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes secs', 'Haricots', 'Légumineuses en conserve', 'Haricots blancs', 'Haricots en conserve', 'Haricots blancs en conserve']",,,,,,,,,,,,,,,,,,,,,,,16.9%,36.6%,17.6%,8.0%,13.1%,7.8%,91,"['Bocal', 'Verre', 'Couvercle', 'Métal']",,3,660 g (égoutté : 420 g) 720 ml,,,,,,,,"['EMB 86137', 'Loudun (Vienne, France)']"
458,Jus de pomme - Les Vergers De La Silve,3770000432114,['France'],[],[],?,56,234 kj(56 kcal),"0,01","0,01","12,9","0,01","0,1","0,03","0,012","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Sans colorants', 'Sans conservateurs']",,['Les Vergers De La Silve'],['Boissons'],0.01 g,en faible quantité,0.01 g,en faible quantité,0.01 g,en faible quantité,0.03 g,en faible quantité,,0%,-3%,-97%,-92%,+14%,-100%,-80%,-28%,-28%,8,+4%,D,+4%,,,,,,,,,,,,,,,,,,,"['EMB 49129C', 'Écouflant (Maine-et-Loire, France)']"
459,Pomme pur fruits - Les Vergers De La Silve,3770000432121,['France'],"['Pommes et jus de pommes 62%', 'sucre', 'jus de citron', ' Gélifiant : pectine de fruits']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,191,799 kj(191 kcal),"0,6","0,6",46,45,"0,6","0,125","0,05",,,['Les Vergers De La Silve'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,['E440 - Pectines'],,,,,,,
460,Riz au lait fermier - Les P'tits Fermiers,3770000451221,['France'],"['Lait de nos vaches non homogénéisé', 'riz rond de camargue* 10%', 'sucre de canne issu du commerce équitable""', 'extrait de vanille Bourbon 1%', ' 17,2% des ingrédients sont issus de lAgriculture Biologique']",[],?,116,485 kj(116 kcal),"3,5","2,3","13,6","10,7","3,4","0,087","0,035",['Bio'],B,"[""Les P'tits Fermiers""]","['Desserts', 'Puddings', 'Riz au lait', 'Riz au lait saveur vanille']",3.5 g,en quantité modérée,2.3 g,en quantité modérée,10.7 g,en quantité modérée,0.087 g,en faible quantité,,-12%,-12%,-4%,0%,-35%,-14%,+4%,-33%,-33%,3,-17%,C,-17%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,3,,,,,,,,,
461,Yaourt fermier Griotte de Lorraine - Les P'tits Fermiers,3770000451269,['France'],[],[],?,102,427 kj(102 kcal),"3,5","2,4","15,1","15,1","3,3","0,111","0,044",['Bio'],C,"[""Les P'tits Fermiers""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la cerise']",3.5 g,en quantité modérée,2.4 g,en quantité modérée,15.1 g,en quantité élevée,0.111 g,en faible quantité,,+1%,+0%,+12%,+18%,+8%,+17%,-10%,-5%,-5%,4,+36%,C,+36%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,,,,
462,Fromage blanc Fermier Nature - Les P'tits Fermiers - 500g,3770000451306,['France'],[],[],?,114,477 kj(114 kcal),"8,2","5,5","3,4","3,4","0,17","0,07","0,028","['Bio', 'Bio européen', 'FR-BIO-01']",B,"[""Les P'tits Fermiers""]","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs natures']",8.2 g,en quantité modérée,5.5 g,en quantité élevée,3.4 g,en faible quantité,0.07 g,en faible quantité,,+39%,+40%,+107%,+113%,-18%,-13%,-98%,-32%,-32%,6,,C,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,500 g,,,,,,,,"['FR 55.001.001 CE', 'Abainville (Meuse, France)']"
463,Yaourt fermier Mirabelle de Lorraine - Les P'tits Fermiers,3770000451344,['France'],"['Lait de nos vaches non homogénéisé', 'sucre de canne issu du commerce équitable* 8%', 'mirabelles de Lorraine* 7%', 'lait écrémé en poudre', 'agar-agar', 'arôme naturel', 'ferments lactiques ', 'lactobacillus bulgaricus', 'streptococcus thermophilus', "" 14,7% des ingrédients sont issus de l'Agriculture Biologique""]",['Non végétalien'],?,102,427 kj(102 kcal),"3,5","2,4","15,1","15,1","3,3","0,111","0,044",['Bio'],C,"[""Les P'tits Fermiers""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la prune', 'Yaourts à la mirabelle']",3.5 g,en quantité modérée,2.4 g,en quantité modérée,15.1 g,en quantité élevée,0.111 g,en faible quantité,,+9%,+8%,+22%,+28%,+22%,+35%,-9%,+3%,+3%,4,+92%,C,+92%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Lait'],4,,['E406 - Agar-agar'],,,,,,,
464,Yaourt à la vanille - Invitation à la ferme - 500g,3770000451450,['France'],"['Lait frais* de nos vaches non standardisé et non homogénéisé', 'sucre de cannes issu du commerce équitable 7%', 'poudre de lait écrémé*', 'arôme naturel de vanille*', 'ferments ', 'lactilobacillus bulgarius', 'streptococcus thermophilus', "" \r* Ingrédients issus de l'Agriculture Biologique""]",['Non végétalien'],?,96,402 kj(96 kcal),"3,6","2,2","12,9","12,9","3,5","0,1","0,04",['Bio'],B,['Invitation à la ferme'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés', 'Yaourts vanille']",3.6 g,en quantité modérée,2.2 g,en quantité modérée,12.9 g,en quantité élevée,0.1 g,en faible quantité,,-1%,-0%,+3%,-2%,+8%,+16%,-9%,-7%,-7%,3,+12%,C,+12%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,"['Pot', 'Plastique']",['Lait'],4,500 g,,,,,,,,"['FR 44.015.056 CE', 'Blain (Loire-Atlantique, France)']"
465,Chèvre frais ail et ciboulette au lait cru - invitation à la ferme - 150g,3770000451849,['France'],"['Lait frais cru', 'sel de Guérande', 'ail 1%', 'ciboulette 1%', 'présure', 'ferments']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-09', 'AB Agriculture Biologique']",D,['invitation à la ferme'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages au lait cru', 'Fromages à la crème']",,,,,,,,,,,,,,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"['Bocal', 'Plastique']",['Lait'],3,150 g,,,,,,,,
466,Torsadés nature - Tasty - 250g,3770000459067,['France'],"['farine de blé', 'sucre', 'huile de tournesol', 'œufs', 'levure en poudre', 'vanilline en poudre', ' Fabriqué dans un atelier qui Utilise du gluten,des fruits à coque', 'œufs', 'graines de sésame']",['Non végétalien'],?,474,1983 kj(474 kcal),19,"2,4",64,23,10,"0,08","0,032",,,['Tasty'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten']",,250 g,,,,,,,,
467,Torsadés anis - Tasty - 250g,3770000459081,['France'],[],[],?,469,1962 kj(469 kcal),19,"2,3",62,21,11,"0,07","0,028",,,['Tasty'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,
468,Tosardés au coco - Tasty - 250g,3770000459135,['France'],[],[],?,485,2029 kj(485 kcal),22,"5,8",60,22,"9,9","0,08","0,032",,,['Tasty'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,
469,Sirop orgeat - Amandine,3770000459166,['France'],[],[],?,438,1833 kj(438 kcal),"9,3","0,7",84,82,"3,5",0,0,,B,['Amandine'],"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orgeat""]",,,,,,,,,,+62%,+59%,+5214%,+928%,+27%,+26%,+2297%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,
470,Cake nature - Amandine,3770000459272,['France'],"['farine de blé', 'sucre', 'huile de tournesol', 'oeufs', 'vanilline en poudre Fabriqué dans un atelier qui utilise du gluten,des fruits à coque', 'oeufs', 'graines de sésame', 'soja']",['Non végétalien'],?,475,1987 kj(475 kcal),19,"2,4",64,23,"9,5","0,07","0,028",,,['Amandine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten']",,,,,,,,,,
471,Doigts nature - Amandine - 350g,3770000459302,['France'],"['farine de blé', 'œufs', 'sucre', 'huile de tournesol', 'vanilline en poudre', ' Fabriqué dans un atelier qui utilise du gluten', 'des fruits à coque', 'œufs', 'graines de sésame', 'soja']","['Sans huile de palme', 'Non végétalien']",?,475,1987 kj(475 kcal),19,"2,4",64,23,"9,5","0,08","0,032",,,"['Amandine', 'Tasty']","['Biscuits et gâteaux', 'Gâteaux']",19 g,en quantité modérée,2.4 g,en quantité modérée,23 g,en quantité élevée,0.08 g,en faible quantité,,+18%,+18%,-3%,-69%,+29%,-18%,+75%,-87%,-87%,10,-44%,C,-44%,,,,,,,,,"['Œufs', 'Gluten']",3,350 g,,,,,,,,
472,Torsadés nature - Amandine - 300g,3770000459333,['France'],"['farine de blé', 'sucre', 'huile de tournesol', 'œufs', 'vanilline en poudre', ' Fabriqué dans un atelier qui utilise du gluten', 'des fruits à coque', 'oeufs', 'graines de sésame', 'soja']","['Sans huile de palme', 'Non végétalien']",?,475,1987 kj(475 kcal),19,"2,4",64,23,"9,5","0,07","0,028",,,['Amandine'],"['Biscuits et gâteaux', 'Gâteaux']",19 g,en quantité modérée,2.4 g,en quantité modérée,23 g,en quantité élevée,0.07 g,en faible quantité,,+18%,+18%,-3%,-69%,+29%,-18%,+75%,-88%,-88%,10,-44%,C,-44%,,,,,,,,,"['Œufs', 'Gluten']",3,300 g,,,,,,,,
473,"Macaron aux amandes - Amandine - 5pièces, 300g",3770000459388,['France'],"['amandes', 'sucre', 'œufs', 'pistaches', 'vanilline en poudre', ' Fabriqué dans un atelier qui utilise du gluten', 'des fruits à coque', 'œufs', 'graines de sésame', 'soja']","['Sans huile de palme', 'Non végétalien']",?,457,1912 kj(457 kcal),20,"2,4",33,31,13,"0,1","0,04",,D,"['Amandine', 'Tasty']","['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",20 g,en quantité modérée,2.4 g,en quantité modérée,31 g,en quantité élevée,0.1 g,en faible quantité,,+7%,+7%,+12%,-47%,-41%,-38%,+52%,-30%,-30%,9,-49%,C,-49%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,"['Œufs', 'Fruits à coque']",3,"5 pièces, 300 g",,,,,,,,
474,Guizata Pistache - Amandine,3770000459418,['France'],"['amandes', 'sucre', 'œufs', ' Fabriqué dans un atelier qui utilise du gluten', 'des fruits à coque', 'oeufs', 'graines de sésame', 'soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,506,2117 kj(506 kcal),34,4,35,32,14,"0,04","0,016",,,['Amandine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Fruits à coque']",,,,,,,,,,
475,"Guiizata cannelle - Amandine - 5pièces, 300g",3770000459425,['France'],"['amandes', 'sucre', 'oeufs', ' Fabriqué dans un atelier qui utilise du gluten', 'des fruits à coque', 'œufs', 'graines de sésame', 'soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,512,2142 kj(512 kcal),35,"3,8",33,32,14,"0,04","0,016",,,"['Amandine', 'Tasty']","['Biscuits et gâteaux', 'Gâteaux']",35 g,en quantité élevée,3.8 g,en quantité modérée,32 g,en quantité élevée,0.04 g,en faible quantité,,+27%,+28%,+79%,-50%,-34%,+15%,+157%,-93%,-93%,12,-33%,D,-33%,,,,,,,,,"['Œufs', 'Fruits à coque']",3,"5 pièces, 300 g",,,,,,,,
476,Amandine,3770000459432,['France'],"['farine de blé', 'œufs', 'sucre', ' Fabriqué dans un atelier qui utilise du gluten', 'des fruits à coque', 'œufs', 'graines de sésame', 'soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,268,1121 kj(268 kcal),"5,4","1,5",45,27,"8,9","0,17","0,068",,,['Amandine'],"['Biscuits et gâteaux', 'Gâteaux']",5.4 g,en quantité modérée,1.5 g,en quantité modérée,27 g,en quantité élevée,0.17 g,en faible quantité,,-33%,-33%,-72%,-80%,-9%,-3%,+64%,-72%,-72%,3,-83%,C,-83%,,,,,,,,,"['Œufs', 'Gluten']",3,,,,,,,,,
477,Petits fours coco - Amandine,3770000459470,['France'],"['coco', 'œuf', 'sucre', ' Fabriqué dans un atelier qui utilise du gluten', 'des fruits à coque', 'œufs', 'graines de sésame', 'soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,407,1703 kj(407 kcal),24,21,41,41,"4,3","0,13","0,052",,,"['Amandine', 'Tasty']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Œufs'],,,,,,,,,,
478,Cake chocolat - Amandine - 380g,3770000459944,['France'],"['farine de blé', 'sucre', 'huile de tournesol', ' Fabriqué dans un atelier qui utilise du gluten', 'des fruits à coque', 'œufs', 'graines de sésame', 'soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,478,2000 kj(478 kcal),20,"3,5",64,24,"9,2","0,07","0,028",,D,"['Amandine', 'Tasty']","['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",20 g,en quantité modérée,3.5 g,en quantité modérée,24 g,en quantité élevée,0.07 g,en faible quantité,,+9%,+9%,-15%,-56%,+30%,-22%,+59%,-87%,-87%,11,-41%,D,-41%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,['Gluten'],3,380 g,,,,,,,,
479,"Santé & Bien-être / Résistance Et Vitalité / Jus D'herbe, Green Magma - Potion M",3770000462029,['France'],[],[],?,245,1025 kj(245 kcal),0,0,"26,8",7,30,"0,5","0,2","['Bio', 'en:gluten-free']",,['Potion M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Jus D'herbe de blé Bio - PotionM,3770000462036,['France'],"[""100% Jus d'herbe de blé en poudre issu de l'agriculture biologique*""]","['Végétalien', 'Végétarien']",?,186,778 kj(186 kcal),0,0,"15,4",6,30,0,0,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Agriculture UE/Non UE']",,['PotionM'],['Boissons'],0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0 g,en faible quantité,,+232%,+223%,-100%,-100%,+36%,-36%,+5948%,-100%,-100%,10,+31%,E,+31%,,,,,,,,,,,,,,,,,,,
