,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,allergens,nova_score,quantity,additives,manufacturing,markets,link,palm_ingredients,generic_name,ingredients_origins,traceability_code
15,Barre Homme Endurance Cassis Amande Gentiane - Baouw! Organic Nutrition,3760267400070,['France'],"['Barre nutritionnelle au cassis', ""à l'amande et à la gentiane"", ' Ingrédients Dattes*', 'amandes* 19%', 'cubes de cassis* 18% ', 'cassis*', 'jus de pomme concentré*', 'pectine', 'farine de riz*', ""fibre d'acacia*"", 'protéine de tournesol*', 'myrtilles* ', 'myrtille*$ jus de pomme concentré*', 'huile de tournesol*', 'huile de coco*', 'jus de betterave', 'gentiane* 0,1%', "" *Ingredients issus de l'agriculture biologique"", ' Nos ingrédients ne contiennent pas de gluten', ' Toutefois des traces de gluten liées à la fabrication dans nos ateliers sont possibles']",[],?,361,1510 kj(361 kcal),14,3,"40,9","38,5","9,8","0,01","0,004",['Bio'],,['Baouw! Organic Nutrition'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],4,,['E440 - Pectines'],,,,,,,
16,Barre Femme Endurance Poire Amande Thé vert - Baouw! Organic Nutrition - 4x 30g,3760267400094,['France'],"['Cubes de poire* 24% ', 'poire*i jus de pomme concentré*', 'pectine', 'farine de riz', ""figues'"", ""dattes'"", 'amandes* 18%', ""fibre d'acacia*"", ""protéine de tournesol'"", 'huile de coco*', 'thé vert* 1%', 'arôme naturel poire*', 'spiruline', 'gingembre*', 'cannelle*', "" 'Ingrédients isslb de l'agriculture biologique"", ' Nos ingrédients ne contiennent pas de gluten', ' Toutefois des traces de gluten liées à la fabrication dans nos ateliers sont possibles']",[],?,367,1536 kj(367 kcal),"13,5",3,"45,5","39,6","8,6","0,005","0,002","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['Baouw! Organic Nutrition'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],4,4 x 30 g,['E440 - Pectines'],,,,,,,
17,Barres Hommes Performance Cacao-noisette-vanille - Baouw! Organic Nutrition - 3x 30g,3760267400117,['France'],"['Dattes* noisettes toastées* 13,5%', 'cacao maigre équitable* 7,5%', ""fibre d'acacia*"", 'protéine de tournesol*', 'Caroube*', 'fèves de cacao* 2,5% huile de coco*', 'extrait de vanille* 0,3%', "" *Ingrédients issus de l'agriculture biologiqUe"", ' Nos ingrédients ne contiennent pas de gluten', ' Toutefois des traces de gluten liées à la fabrication dans nos atellers sont possibles']",[],?,342,1431 kj(342 kcal),12,"3,1","42,2","40,5","8,4","0,013","0,005","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['Baouw! Organic Nutrition'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 x 30 g,,,,,,,,
18,Barres Femme Performance Orange-Cajou-Reine des prés - Baouw! Organic Nutrition,3760267400124,['France'],"[' Dattes*', 'noix de cajou* 14%', 'oranges confites* ', ""écorce d'orange*"", 'sucre de canne*5 sirop de riz*', 'farine de châtaigne*', ""fibre d'acacia*"", 'protéioe de tournesol*', ' huile de coco*', 'extrait de reine des prés* spiruline', ""arome naturel d'orange*,biment de Jamaïque*"", ""*Ingredients Issus l'agriculture biologique"", ' Nos ingrédients ne contiennent pas de gluten', ' Toutefois des traces de gluten liées a la fabr!cation dans nos ateliers sont possibles']",[],?,336,1406 kj(336 kcal),"9,8","3,9","47,2","40,9","7,7","0,014","0,006",['Bio'],,['Baouw! Organic Nutrition'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],4,,,,,,,,,
19,Jus t'aime -,3760267640254,['France'],[],[],?,7,29 kj(7 kcal),"0,5","0,5","0,7","0,7","0,5",0,0,,,,"['Boissons', 'Jus de gingembre']",0.5 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,,-88%,-88%,+44%,+324%,-94%,-93%,+1%,-100%,-100%,2,-74%,C,-74%,,,,,,,,,,,,,,,,,,,
20,Jus t'Aime - GINGEMBRE -,3760267640278,['France'],[],[],?,29,121 kj(29 kcal),0,0,7,"0,5","0,25",0,0,"['Sans colorants', 'Sans conservateurs']",,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,-48%,-50%,-100%,-100%,-38%,-95%,-50%,-100%,-100%,6,-22%,D,-22%,,,,,,,,,,,,,,,,,,,
21,"Boisson gazeuse saveur Cola - Sea'up - 1,5l",3760267770005,['France'],"['eau', 'dioxyde de carbone', 'acide phosphorique et acide citrique ', 'acides', ""caramel au sulfite d'ammonium "", 'colorant', 'arôme - dont caféine', 'édulcorants : cyclamate de sodium', 'saccharine sodique', 'aspartame', 'acésulfame-K', 'benzoate de sodium ', 'conservateur']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0,?,0 kj(0 kcal),~ 0,~ 0,0,0,~ 0,0,0,,,"[""Sea'up""]","['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light', 'Boissons sans sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,"['Bouteille', 'Plastique']",,4,"1,5 l","['E290 - Dioxyde de carbone', 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', ""E150d - Caramel au sulfite d'ammonium"", 'E952 - Acide cyclamique et ses sels', 'E954 - Saccharine et ses sels', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",['Pologne'],['Apriba'],,,,,
22,3760267770012,3760267770012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ice Tea peach,3760267770050,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pate à tartiner noisette feuilletine - MP,3760267810008,['France'],"['sucre', ' pâte de noisettes 30%', 'graisses végétales ', ""huiies : tc grignon d'olives"", 'carthame et beurre de cacao', 'lait écréme en poudre Il finement émietté 5% ', 'farine de blé', ' sucre', ' matières grasses laitière anhydre lait', ' sel', 'extrait de malt ', 'orge', ' poudre à lever : bicarbonate de sodium', 'cac en poudre', ' émulsifiant : lécithine de soja']",[],?,560,2343 kj(560 kcal),35,"2,7",51,42,"8,4","0,6","0,24",,,['MP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],4,,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine']",,,,,,,
