,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
0,Korean ginseng tea - Korea,8802355000146,['Korea'],['France'],"['Le THÉ AU G!NSENG CORÉEN est un produit alimentaire fabnque sous la forme de granule ', 'ou en paJdre', "" pour répondre aux goûts de rutilisateur Il est fa±qué à pamr d'extraf de ginseng"", ' Ingrédients', ' 10% de concentré de ginseng ', 'ongine Coree', ' - ', 'plus de de contenu solide', ""Gnsénoslde Rgl + Rbl 5 mg'g"", ""r lactose 10 glucose 80 % Recommandation de stockage ' Éviter la lumere solaire directe et rhumid"", 'té', "" Conserver dans un endroit frais avec une bonne ventJlatjon ou un ré'nçerateur Posologte : Mettre un sachet de thé dans un verre d'eau froide ou chaude et remuez bien"", ' Ajouter du sucre ou du mel si vous le souhaftez • Avertissement veuillez vérifier votre apport quotidien lorsque vous prenez des médicaments ', 'trartement du dtabete', 'medtcaments antcoagutants', "" Informat'ons dordre fonctionnel Ce produit peut contnbuer a amefiorervotre système immunttatre et est un excellent anti-fatigue"", ' Contact ', ' Maténau ', ""femballage tnténeur : PE de lot 610105-604 Date d'expgratson "", '2020-05-03 : KOREA GINSENG MFG', ' co LTD', '358 Cheongoh•ro', ' Cheongbuk•myeon', ' Pyeongtaek•sl', ' Gyeongry-do Korea http Illwww oktnsam', 'com Valeurs nutritives Portion : 1 w', 'het de thé ', '3 g', ' I portjon par tasse : 30 rots']","['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']",[],4,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buckheat Noodles - Bonduelle,8804970000129,['Bonduelle'],['France'],"['Maïs doux en grains sans OCM ', 'eau', 'se', ' Contient des sucres naturellement présents']",,[],,?,350,1464 kj(350 kcal),"1,7","0,6",76,"2,5",10,"2,3","0,92",['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mushroom & Tofu Udon,8805957017246,,['France'],[],,[],,?,140,586 kj(140 kcal),"0,7","0,1",28,"2,9","4,3","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chips d'algues teriyaki,8805957018878,,['France'],[],,[],,?,494,2067 kj(494 kcal),34,"4,7","31,3","5,1",26,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sparkling Mango,8809005028970,,['France'],[],,[],,?,0.175,1 kj(0 kcal),0,0,44,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ALOE VERA - OKF - 500ml,8809041427669,['OKF'],"['France', 'Espagne']",[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,['Sans conservateurs'],500ml,"['Boissons', 'Boissons édulcorées']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,
6,Nouilles Udon 200G - fine - 200g,8809059292952,['Fine'],"['France', 'Japon']","['Farine de blé', 'sel', 'eau', 'amidon modifié de tapioca', 'E1442', ""régulateur d'acidité "", 'eau', 'E270', 'E260', 'E325', 'E355']","['E1442 - Phosphate de diamidon hydroxypropyle', 'E270 - Acide lactique', 'E260 - Acide acétique', 'E325 - Lactate de sodium', 'E355 - Acide adipique']",[],4,?,?,,?,,?,,?,,,,200 g,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté']",,,,,,,,,,,,,,,,,,,,,,,['Plastique'],['Japon'],['Japon'],['Gluten'],,,,,,,,,,,,,,,,
7,Jus Aloe Vera Lychee - A+ HoSan - 500ml,8809059294581,['A+ HoSan'],['France'],"['citt E327', '831', 'Emulsfier: E459', 'get!an cfriwe lacute de ', 'E32T', 'e ', 'E459', 'C ', 'E418', ' A de géférerte sur Bea 1859', 'c bt ie / en be,wen', '830', 'CanXat tE32Th NatrumciÙat ', 'E331', ',']","['E330 - Acide citrique', 'E327 - Lactate de calcium', 'E331 - Citrates de sodium', 'E459 - Béta-cyclodextrine', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E418 - Gomme gellane']",[],4,?,44,184 kj(44 kcal),0,0,11,"8,7",0,0,0,['Halal'],500ml,"['Boissons', 'es:Procesadas']",0 g,en faible quantité,0 g,en faible quantité,8.7 g,en quantité élevée,0 g,en faible quantité,,-21%,-24%,-100%,-100%,-3%,-8%,-100%,-100%,-100%,13,+70%,E,+70%,['Plastico'],['es:korea'],['Korea'],,http://www.koreanproducts.net,,,,,,,,,,,,,,,
8,Riz jasmin -,8847100380319,,['France'],[],,[],,?,341,1427 kj(341 kcal),"0,5","0,2",77,0,7,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés']",0.5 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,,,,+2%,+1%,-52%,-18%,+7%,-100%,-6%,,,,,,,,,,,,C,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
9,Thai Tom Ka Gewürzpaste 400 g = Lobo Thailand,8850030190590,,['France'],[],,[],,?,280,1172 kj(280 kcal),25,10,"0,5","0,4",13,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pantai Shrimp Sauce,8850058001533,['Pantai'],['France'],"['Anchovy Extraçt ', '70% ', 'Salt', 'Suaar', ""'flavour Enhancer "", 'Monosodium Glu amate : 321', "" YThis product contains fish ? BestBefore Date : see on packaging Store in cool and dry place Product of Thailand SAUCE DE POISSON In?tédients : Extrait d'anchois 70% "", 'Stolephorusindiftvd sucre', 'exhausteur de goût ', 'glutamate monosodlque[ poisson pêché au filet souleve dans les océans Pacifique centre-ouest ', 'FAO 71', ' et Indien est ', 'FA057', "" ÏAconsommer de préférence avant le/ ?4 ONurnéro de Lot : voir sur l'emballage"", ' Acqnserver dans un endroit frais et sec', ' res ouverture', 'conserver au réfrigérateur', ' fabriqué en Thanande', ' 200ml e / LTD? amutsongkram 75000', 'Thailand littributed bv? MANUFACTURER CO', ""LTD' Pantainoraslngn"", 'com pantalnorasmg']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,?,38,159 kj(38 kcal),0,0,"6,1","5,8","3,3","17,925","7,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poisson'],,,,,,,,,,,,,,,,
11,Sel de table - Top Mi - 330g,8850069431022,['Top Mi'],['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,"99,99","39,996",,330 g,"['Epicerie', 'Condiments', 'Sels', 'Sels de table']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,,,-100%,-100%,-100%,-100%,-100%,-100%,+43%,+43%,,,,,,,,,,B,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,
12,Sweet and sour plum sauce - Healthy boy brand - 250ml,8850206111251,['Healthy boy brand'],"['Belgique', 'France', 'Allemagne']",[],,[],,?,309,1293 kj(309 kcal),0,0,77,76,0,"3,5","1,4",,250 ml,,,,,,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,
13,Soymilk - Lactasoy - 500ml,8850267112228,"['Lactasoy', 'แลคตาซอย']","['Cambodge', 'France', 'Thaïlande']","['Soy milk 89', '2%', 'Sugar 7%', 'whole milk powder 2%', 'tropical oil 1', '7%', 'E466']",['E466 - Carboxyméthylcellulose'],['Non végétalien'],4,?,1,4 kj(1 kcal),8,"3,5",60,1,7,"0,3","0,12",['en:FSC'],500 ml,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja']",8 g,en quantité modérée,3.5 g,en quantité élevée,1 g,en faible quantité,0.3 g,en quantité modérée,,-98%,-98%,+312%,+872%,+1158%,-75%,+113%,+240%,+240%,-1,,A,,['Tetrapak'],,,"['Lait', 'Soja']",,B,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,Soymilk,['FSC-C014047'],,,,,
14,Tamarin Concentre - Suree,8850344321420,['Suree'],"['France', 'Allemagne']",[],,[],,?,111,464 kj(111 kcal),"0,2",0,24,16,1,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sauce Pour Nems - Mae ploy,8850367990078,['Mae ploy'],['France'],"['Eau,Sauce au poisson ', 'Anchois 70%', 'Sel', 'Sucre', 'Sucre', 'Sirop de glucose', 'Vinaigre']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,151,632 kj(151 kcal),0,0,40,"24,3","3,3","6,3","2,52",,,"['Epicerie', 'Sauces', 'Sauces pour nems']",0 g,en faible quantité,0 g,en faible quantité,24.3 g,en quantité élevée,6.3 g,en quantité élevée,,+1%,+1%,-100%,-100%,+17%,-21%,+217%,+67%,+67%,16,-4%,D,-4%,,,,['Poisson'],,,,,,,,,,,,,,,,
16,Mogu Mogu Orange Juice with 25% Nata de Coco - Sappe Public Company Limited - 320ml e,8850389100677,['Sappe Public Company Limited'],"['France', 'États-Unis']","[""Jus d'orange"", 'crème de coco', 'fructose', 'saccharose', 'acide citrique', 'colorant artificiel ', 'jaune soleil', 'tartrazine', 'rouge allura', ' et arôme naturel ', 'orange', 'conservateur ajouté ', 'benzoate de sodium']",,[],,?,50,209 kj(50 kcal),0,0,"12,46","11,21","0,31","0,155","0,062",,320 ml e,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', ""Boissons à l'orange""]",0 g,en faible quantité,0 g,en faible quantité,11.2 g,en quantité élevée,0.155 g,en quantité modérée,,+28%,+28%,-100%,-100%,+37%,+33%,-9%,+1092%,+1092%,15,+70%,E,+70%,"['Bouteille', 'Plastique']",,,"['en:Noix de coco', 'en:orange']",,C,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,Jus d'Orange 25% avec de Crème de Coco,,MOGU MOGU,,,,
17,Sauce de poisson Tiparos,8850545155114,['TIPAROS'],['France'],"[""EXTRAIT D'ANCHOIS "", '65%', 'EAU', 'SEL', 'SUCRE']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,77,322 kj(77 kcal),0,0,8,7,11,"29,6","11,84",['Sans conservateurs'],,"['Epicerie', 'Sauces']",0 g,en faible quantité,0 g,en faible quantité,7 g,en quantité modérée,29.6 g,en quantité élevée,,-68%,-67%,-100%,-100%,-19%,+8%,+309%,+1123%,+1123%,11,-5%,D,-5%,,,,['Poisson'],,,,,,,,,,,,,,,,
18,Pã¢te Crabe épicée Bun Rieu - Por kwan,8850643027016,['Por kwan'],['France'],[],,[],,?,157,657 kj(157 kcal),"8,7","1,7",14,"5,2","5,7",12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pâte De Crevettes 227 G Kapi - Por kwan,8850643067975,['Por kwan'],['France'],"['Shrimp ', 'Crustacean', '82%', 'sait For allergens see ingredients in bold', ' Produced in a facility that uses crab and fish', ' Ingrédients: Crevettes ', 'Crustacés', '82%', 'Pour les allergènes', 'voir les ingredients écrits en gras', ' Produit dans des installations utilisant du crabe et du poisson', ' Thailand approval number3041 Etablissement agréé TH 3041 Store in a cool', 'dry place', ' Once opened keep refrigerated and use within 60 days Après Garder dans un endroit frais et sec', 'ouverture', 'Conserver au réfrigérateur et consommer sous 60 jours', "" Best before : See on label / A Préférence ? voir date indiqUée sure 1 ' leporté pa?r: PA PIA STORE S"", 'A']",,"['Non végétalien', 'Non végétarien']",,?,127,531 kj(127 kcal),"2,4","0,5","5,4",0,21,"24,8","9,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Crustacés'],,,,,,,,,,,,,,,,
20,Sauce D'huître Ail-basilic 130G - Thai Delight,8850643068033,['Thai Delight'],['France'],[],,[],,?,49,205 kj(49 kcal),0,0,11,"6,3","1,2","3,2","1,28",,,"['Epicerie', 'Sauces', ""Sauces à l'huitre""]",0 g,en faible quantité,0 g,en faible quantité,6.3 g,en quantité modérée,3.2 g,en quantité élevée,,-48%,-49%,-100%,-100%,-46%,-59%,-36%,-64%,-64%,11,-17%,D,-17%,,,,,,,,,,,,,,,,,,,,
21,Sos Rybny 200ML Thai - Thai Heritage - 200mL,8850781702301,['Thai Heritage'],"['Belgique', 'France']",[],,[],,?,60,251 kj(60 kcal),0,0,"4,59",4,"10,4","7,037","2,815",,200 mL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Creme de noix de coco,8851381020017,,['France'],[],,[],,?,215,900 kj(215 kcal),21,19,"4,8","1,9","1,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Amasia _kimchi Base Sauce - Yamamori - 220ml,8851639002055,['Yamamori'],['France'],"['Huile de son de riz', 'sucre', 'sauce de soja ', 'eau', 'soja', 'blé', 'sel alcool', ""' graines de sésame grillées 10%"", ""vinaigre jaune d'œuf"", ""correcteurs d'acidité E330"", 'E450i']",['E450i - Pyrophosphate de sodium acide'],[],4,?,437,1828 kj(437 kcal),39,"7,4",16,15,"4,5","2,75","1,1",,220 ml,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",39 g,en quantité élevée,7.4 g,en quantité élevée,15 g,en quantité élevée,2.75 g,en quantité élevée,,+21%,+22%,+6%,+96%,+237%,+356%,+668%,+43%,+43%,25,+68%,E,+68%,"['Bouteille', 'plastique']",,,"['Gluten', 'Soja']",,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,"Sauces salade, Sauce, sauce vinaigrette, sauces au sésame",,,['super U'],,,
24,Soupe chinoise,8852018101116,,['France'],[],,[],,?,67,280 kj(67 kcal),"2,6","1,3","9,64","0,6","1,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Taro Fish Snack, Hot Chili Flavoured - 52g",8852044651661,"['Taro', 'ทาโร่']","['France', 'Thaïlande']","['Anoli de mer ', 'poisson', ' ', 'saunaa spp', ' tapioca ', ""contient de l'anhydride sulfureux"", 'farine de blé', 'piment 2%', 'sei ', 'antiagglomérant: E536', 'i assaisonnement sucre', 'exhausteur de goût: E621', 'sel', ""exhausteur de gout'"", ' E508', 'antiagglomérant E551', ""correctour d'acidité'"", ' E262i - lamidon de pommes de terre', 'amidon de tapioca', 'amidon de maïs', 'exhausteur de gout E627', 'E631i agent de E', ' sauce de ', 'eau', 'fèves de farine de blé', 'sel', 'sucre', 'assaisonnement barbecue Clgg!pg sucre', 'prai maïs]', 'sel', 'échalote en poudre', 'antiagglomérant: E341', 'extrait de paprika', 'colorant: El 60ae* peudre 0,03%1 E551', 'exhausteur de goût']","['E536 - Ferrocyanure de potassium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E551 - Dioxyde de silicium', 'E262i - Acétate de sodium', 'E627 - Guanylate disodique', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']","['Non végétalien', 'Non végétarien']",4,?,160,669 kj(160 kcal),0,0,28,1,12,"1,38","0,552",,52 g,['en:Fish snack'],0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,1.38 g,en quantité modérée,,,,,,,,,,,2,,B,,['Bag'],,,"['Poisson', 'Gluten', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,,,,,
26,BIN BIN RICE CRACKER COCONUT,8852098701848,,['France'],[],,[],,?,503,2105 kj(503 kcal),21,"9,7",73,12,5,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Malee Coconut Milk Drink With Coconut Water - 330ml,8853333016574,,"['France', 'Suisse']",[],,[],,?,47,197 kj(47 kcal),"3,8","3,4","3,2","2,4","0,5","0,13","0,052",,330 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Exotic, Sweet Chili Sauce - Exotic Food",8853662004020,['Exotic Food'],['France'],"['SiiBe Chilisauce lutaient Zucker', 'Chili 22%', 'Wasser', 'Knoblauçh', 'Btannt\\veinessig', 'Salz', 'modifiziette Tapiokastàrke', 'Suerungsmittel: Citronensàure', 'Essigsàure', ' \\etdickungsmittel: Xanthan', ' Nàhrwertangaben pro 100 ml']",['E415 - Gomme xanthane'],[],4,?,229,958 kj(229 kcal),"0,5","0,1",55,53,"0,5","2,95","1,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Rice paper - Exotic Food,8853662005058,['Exotic Food'],['France'],"['farine de riz 90%', 'eau', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,334,1397 kj(334 kcal),"0,2",0,"81,4",0,"0,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Blue Elephant Tamarind Dressing 220 ML,8854404001635,['Blue Elephant'],['France'],[],,[],,?,246,1029 kj(246 kcal),"3,3","0,1","52,1",37,"1,6","5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Pate De Curry Vert Nittaya,8855237000574,,['France'],[],,[],,?,66,276 kj(66 kcal),"0,4","0,3","7,8","7,8","4,4","8,8","3,52",,,"['Epicerie', 'Sauces', 'Pâtes de curry', 'Pâtes de curry verte']",0.4 g,en faible quantité,0.3 g,en faible quantité,7.8 g,en quantité modérée,8.8 g,en quantité élevée,,-48%,-48%,-94%,-81%,-28%,+40%,+79%,+32%,+32%,11,+1%,D,+1%,,,,,,,,,,,,,,,,,,,,
32,White Rice Flour,8855273000019,,['France'],[],,[],,?,379,1586 kj(379 kcal),0,0,83,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Dee Thai Huile De Sésame - Les idees du boucher,8857101221801,['Les idees du boucher'],['France'],"['Huile de de Graines de Soja AIIERGENE: CONTIENT DU SOJA ACEITE DE SASAMO INGREDIENTES: Aceite de e de Semil!as de Sola CONtlENE: SOJA SESAME OIL INGREDIENTS: Sesame OJ Eean O Advlce: for cïQrg', 'en5', 'bold']",,[],,?,900,3766 kj(900 kcal),100,16,0,0,0,0,0,,,['Matières grasses'],100 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+12%,+12%,+13%,-30%,-100%,-100%,-100%,-100%,-100%,12,+6%,D,+6%,,,,"['Graines de sésame', 'Soja']",,,,,,,,,,,,,,,,
34,Sauce De Poisson - Desiam,8857122559495,['Desiam'],['France'],"[""Extrait d'anchois "", 'anchois', 'eau', ' 70%', 'sel', 'sucre']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,?,79,331 kj(79 kcal),"0,1",0,"10,2","2,5","9,6","18,5","7,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poisson'],,,,,,,,,,,,,,,,
35,Riz Thaï Golden Phoenix 1 KG,8858306000321,['Golden Phoenix'],['France'],['Thai Hom Mali Rice'],,[],,?,347,1452 kj(347 kcal),"1,3",1,"76,5",0,"7,3",0,0,,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']",1.3 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-1%,-1%,+24%,+289%,+1%,-100%,-1%,-100%,-100%,0,,B,,['Plastique'],,,,,C,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
36,Crispy seaweed - Taokaenoi - 36g,8858702403603,['Taokaenoi'],['France'],"['Algues 85% ', 'porphyra yezoensis', 'Huile de palme', 'sucre', 'poudre de fruits de mer ', '1,2%', 'épices', 'protéine de soja hydrolisée', 'sel', 'arôme crabe', 'exhausteur de goût ', 'E635']","[""E635 - 5'-ribonucléotide disodique""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,?,,?,,?,,?,,,['Halal'],36 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,,,,C,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,Algues croustillantes,,,,['Huile de palme'],,
37,Sauce Poulet Original Cock,8858826300017,['Cock'],"['France', 'Allemagne']","['ZUCKER', 'WASSER', 'ROTE CHILI 16%', 'KNOBLAUCH', 'SALZ', 'MODIFIZIERTE MAISSTÄRKE', 'SÄUREREGULATOR: ESSIGSÄURE']",['E260 - Acide acétique'],[],3,?,211,883 kj(211 kcal),"0,4","0,05",52,48,0,3,"1,2",,,"['Epicerie', 'Sauces']",0.4 g,en faible quantité,0.05 g,en faible quantité,48 g,en quantité élevée,3 g,en quantité élevée,,-11%,-10%,-98%,-98%,+425%,+643%,-100%,+24%,+24%,22,+90%,E,+90%,['Flasche'],,,,,,,,,,,,,,,,,,,
38,Wok sauce chilli & thai basil - DeSiam,8858960302892,['DeSiam'],['France'],"['Eau', 'basilic Thaïlandais ', '16%', 'ail', 'piment rouge ', '8%', 'soja', 'blé', 'huile de soja', 'sucre', 'sel', 'anchois', 'huître']",,"['Non végétalien', 'Non végétarien']",,?,77,322 kj(77 kcal),"1,1","0,2",14,"9,8","2,2","4,625","1,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Poisson', 'Gluten', 'Mollusques', 'Soja']",,,,,,,,,,,,,,,,
39,Coconut water,8859015700168,,['France'],[],,[],,?,21,88 kj(21 kcal),0,0,"5,3","4,4",0,"0,024","0,01",['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Mae Napa Sweet Potato Chips,8859174100380,['Mae napa'],['France'],[],,[],,?,538,2251 kj(538 kcal),34,15,52,20,"2,7","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Boulette Sésame 200G - Surgeles - Spring Home,8888003320026,['Spring Home'],['France'],"['riz gluant', '39%', 'eau', 'sucre', 'graisse alimentaire', 'RBD huile de palme', 'émulsifiant: E471', 'antioxygène: E320', 'sésame', '9%', 'amidon de maïs modifié', 'farine de blé', 'émulsifiant: E471']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E320 - Butylhydroxyanisol']","[""Pourrait contenir de l'huile de palme""]",4,?,384,1607 kj(384 kcal),20,10,46,11,"4,8","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Graines de sésame']",,,,,,,,,,,,,,,,
42,Yan Yan Vanlla - - Meiji - 50g,8888077101200,['Meiji'],['France'],"['Farine de froment', 'Huile de Palme', 'Huile de canola', 'Sucre', 'Lactose', 'Lait entier en poudre', ""Bicarbonate d'ammonium"", 'Bicarbonate de Sodium', 'Levure', 'Fromage de cheedar', 'Sel', 'Lécithine de soja', 'arômes artificiels : Vanille et Lait', 'Colorant naturel', 'Caramel']","[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E322i - Lécithine', 'E150 - Caramel']","['Huile de palme', 'Non végétalien']",4,?,548,2290 kj(548 kcal),"32,4","10,8","58,4","26,8",6,"0,725","0,29",,50g,"['Snacks', 'Snacks sucrés']",32.4 g,en quantité élevée,10.8 g,en quantité élevée,26.8 g,en quantité élevée,0.725 g,en quantité modérée,,+22%,+22%,+60%,+9%,+2%,-25%,+1%,+90%,+90%,23,+21%,E,+21%,,,,"['Gluten', 'Lait', 'Soja']",,,,,,,,,,,,,,['Huile de palme'],,
43,Pokka Lemon Tea,8888196170613,['Pokka'],['France'],"['Water', 'freshly brewed black tea', 'sucrose', 'lemon juice', 'ascorbic add E330', 'colouring E150a', 'tea and lemon flavouring', 'tartaric acid E334', 'sodium', 'citrate E331', 'citric acid E330']","['E334 - Acide L-tartrique', 'E330 - Acide citrique']",[],,?,40,167 kj(40 kcal),0,0,10,10,0,0,0,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,-29%,-31%,-100%,-100%,-12%,+6%,-100%,-100%,-100%,13,+70%,E,+70%,,,,,,,,,,,,,,,,,,,,
44,Sesame Oil 100%,8888757106006,,['France'],[],,[],,?,896,3749 kj(896 kcal),99,16,"0,7",0,0,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",99 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+4%,+4%,+3%,+9%,+2603%,-100%,-100%,-100%,-100%,12,+4%,D,+4%,,,,,,C,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,
45,Veggie fingers,8901777525128,,['France'],[],,[],,?,183,766 kj(183 kcal),6,3,30,0,3,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Haldiram Dry Fruit Kaju Mixture - Haldiram's,8904063200167,"[""Haldiram's""]",['France'],[],,[],,?,519,2171 kj(519 kcal),"28,7","7,6","48,2","2,5","16,9","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gujarati Mixture Namkeen - Haldiram's,8904063200556,"[""Haldiram's""]",['France'],[],,[],,?,566,2368 kj(566 kcal),40,10,40,6,11,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Tandoori Chicken Masala,8904209302014,,['France'],[],,[],,?,262,1096 kj(262 kcal),"7,47","0,9","39,81",0,"8,96",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
