,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
392,Farine de petit epeautre T160 - Famille Rochefort - 1kg,3770001038049,['Famille Rochefort'],['France'],[],,[],,?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de petit épeautre', 'Farines de petit épeautre T160']",,,,,,,,,,,,,,,,,,,,,,,,"['France', 'Loiret']",,,,B,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,
393,Knoblauch Braten - Berger - 80g,9001455033163,['Berger'],"['France', 'Allemagne']","['Schweinefleisch ', 'Bauchfleisch 70%', 'Schinkenfleisch 30%', 'Speisesalz', 'Knoblauch 1%', 'Maltodextrin', 'Dextrose', 'Stabilisatoren: Di-', 'Tri-', 'Polyphosphate', ' Gewürze', 'Gewürzextrakte', 'Antioxidationsmittel: Natriumascorbat', ' Konservierungsstoff: Natriumnitrit']","['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,992,239,992 kj(239 kcal),19,8,"1,5","1,2",15,2,"0,8",,80 g,"['Viandes', 'Porc']",19 g,en quantité modérée,8 g,en quantité élevée,1.2 g,en faible quantité,2 g,en quantité élevée,+28%,+24%,+25%,+70%,+86%,+68%,+95%,-24%,+5%,+5%,17,+53%,D,+53%,"['Kunststoff', 'Folie', 'Schale']",,,,,,,,,,,,,,['AT 30533 EC'],,,,,
394,Riccosa,8055687132652,,['France'],[],,[],,?,586,2452 kj(586 kcal),"43,4",9,41,"32,8",3,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Pain au chocolat aux amandes,2030503729687,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Cocos Flocken - 250g,4012362010241,,['France'],[],,[],,?,451,1887 kj(451 kcal),18,16,"68,5","63,4","2,1","0,1","0,04",['Fabriqué en Allemagne'],250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Poivre Noir Moulu - Espig,3102870015393,['Espig'],['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs', 'Poivres moulus', 'Poivre noir moulu']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,['Sachet en plastique'],,,,,B,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,
398,Mallowpuffs Chocolate Biscuits Bites -,9400553443254,,['France'],"['Sucre', 'farine de froment', 'extrait sec de lait', 'beurre de cacao', 'pâte de cacao', 'matière grasse végétale ', 'antioxydant ', 'E307b', 'sirop de glucose', 'sirop de sucre inverti', 'eau', 'stabilisant ', 'gélatine', 'émulsifiants ', 'lécithine de soja', 'E476', 'sel', 'poudre à lever ', 'bicarbonate de soude', 'E450', 'arôme naturel']","['E307b - Tocophérol concentré', 'E428 - Gélatine', 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500ii - Carbonate acide de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,?,464,1941 kj(464 kcal),"20,2","12,1","65,6",50,"4,3","0,13","0,052",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Mashmallow']",20.2 g,en quantité élevée,12.1 g,en quantité élevée,50 g,en quantité élevée,0.13 g,en faible quantité,,-6%,-6%,-14%,+3%,+5%,+54%,-34%,-76%,-76%,25,+17%,E,+17%,,,,"['Gluten', 'Soja']",,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,
399,Rosegons Dulcesol,8410087100371,,['France'],[],,[],,?,470,1966 kj(470 kcal),19,"4,7",62,27,11,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Lait partiellement écrémé Drink -,7613379383785,,['France'],[],,[],,?,55,230 kj(55 kcal),"2,5","1,5","4,9","4,9","3,2","0,1","0,04",['Sans lactose'],,"['Produits laitiers', 'Laits', 'Laits écrémés']",2.5 g,en faible quantité,1.5 g,en quantité modérée,4.9 g,en faible quantité,0.1 g,en faible quantité,,-19%,-25%,+527%,+729%,-51%,-50%,-49%,-44%,-44%,1,,B,,,,,,,D,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,
401,Gauffre a l'épeautre - biofood - 100g,5412158028693,['Biofood'],"['Belgique', 'France']",[],,[],,?,372,1556 kj(372 kcal),"2,8","0,6","69,6","2,5","12,3",0,0,"['Bio', 'Bio européen', 'BE-BIO-02']",100 g,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",2.8 g,en faible quantité,0.6 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,,-17%,-17%,-87%,-94%,+21%,-92%,+105%,-100%,-100%,-6,-128%,A,-128%,,,,,,B,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,,,,
402,Spicy Burger Chips - Hengstenberg,4008100140615,['Hengstenberg'],"['France', 'Allemagne']",[],,[],,?,26,109 kj(26 kcal),"0,5","0,1","5,1",5,"0,5","1,4","0,56",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres']",0.5 g,en faible quantité,0.1 g,en faible quantité,5 g,en quantité modérée,1.4 g,en quantité modérée,,-4%,+2%,+69%,+46%,+47%,+89%,-50%,-18%,-18%,2,-7%,B,-7%,"['Glas', 'GL']",,,,,,,,,,,,,,,,,,,
403,Creme De Balsamixo - Casa Rinaldi,8006165376327,['Casa Rinaldi'],['France'],[],,[],,?,260,1088 kj(260 kcal),0,0,63,59,0,"0,4","0,16",,,"['Vinaigres', 'Vinaigres balsamiques']",0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0.4 g,en quantité modérée,,+77%,+79%,-100%,-100%,+106%,+112%,-100%,+383%,+383%,,,,,,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,
404,Les p'tits venetes salés Maquereaux & citron confit - Biscuiterie des Vénètes - 150g,3760133530603,['Biscuiterie des Vénètes'],['France'],"['Farine de blé Bio et de sarrasin Bretonne', 'beurre frais', 'filets de maquereau 15%', 'écorces de citron Bio 5%', 'sirop de maïs Bio', 'Fleur de sel', 'sucre', 'vinaigre de vin blanc', 'muscadet', 'poivre']",,"['Non végétalien', 'Non végétarien']",3,2156,516,2156 kj(516 kcal),27,16,56,"8,5",11,"1,7","0,68",['Bio'],150g,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",27 g,en quantité élevée,16 g,en quantité élevée,8.5 g,en quantité modérée,1.7 g,en quantité élevée,+8%,+11%,+10%,+36%,+195%,-6%,+117%,+11%,-15%,-15%,24,+56%,E,+56%,"['Sachet', 'Papier']",,['France'],"['Poisson', 'Gluten', 'Lait']",,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,
405,Crème de noix châtaignes beurre salé,3701171490054,,['France'],[],,[],,?,357,1494 kj(357 kcal),"3,76","3,04","45,57","37,54","3,39","0,02","0,008","['Bio', 'Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Knacks d’Alsace - Thierry Schweitzer - 240g,3760041608777,['Thierry Schweitzer'],['France'],[],,[],,?,291,1218 kj(291 kcal),"25,9","10,9","1,39","1,06","12,4","2,21","0,884",,240g,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",25.9 g,en quantité élevée,10.9 g,en quantité élevée,1.06 g,en faible quantité,2.21 g,en quantité élevée,,+6%,+6%,+7%,+18%,-3%,-6%,-2%,+14%,+14%,22,+15%,E,+15%,,,,,,E,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,"['FR 67.348.009 CE', 'Obernai (Bas-Rhin, France)']",,,,,
407,Vincinni Napolitan Cubes Hazelnut 250G - 250g,5310115009795,['Vincinni'],"['France', 'Espagne']","['crème de noisette 75% ', 'sucre en poudre', 'graisse végétale ', 'huile de palme raffinée', 'cacao en poudre', 'lait écrémé en poudre', 'amidon de mais', 'pâte de noisette ', 'min,3%', ' émulsifiants: lécithine de soja', 'arôme: noisette', 'Tranche 25%: farine de blé', 'huile de tournesol', 'levage: ', ""bicarbonate d'ammonium"", 'bicarbonate de soude', 'émulsifiants: lécithine de soja', 'sel', ',']","['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium']","['Huile de palme', 'Non végétalien']",4,?,527,2205 kj(527 kcal),"28,7","14,7","61,7","34,8","4,6","0,1","0,04",['en:Verified'],250 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes']",28.7 g,en quantité élevée,14.7 g,en quantité élevée,34.8 g,en quantité élevée,0.1 g,en faible quantité,,+5%,+6%,+16%,0%,-0%,+1%,-16%,-71%,-71%,23,+5%,E,+5%,,,,,,C,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,['Huile de palme'],,
