,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,generic_name,packaging,manufacturing,markets,allergens,nova_score,additives,link
10,Ketchup,8690637863493,['France'],[],[],?,500,2092 kj(500 kcal),"0,4",0,25,25,1,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Les glaces du Canigou noix de coco,3760299290533,['France'],[],[],?,450,1883 kj(450 kcal),15,12,72,70,"6,7","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pétales de fleurs,3555080224794,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Poelee mediterraneenne,2868075025711,['France'],[],[],?,22,92 kj(22 kcal),"0,5","0,1","3,4","1,4","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Infusion biologique fraîchement préparée - Yogi Tea,32169362,['France'],[],[],?,14,59 kj(14 kcal),0,0,"3,3","3,3",0,0,0,['Yogi Tea'],,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bonbons sans sucres,4056233452440,['France'],[],[],?,228,954 kj(228 kcal),0,0,95,0,0,"0,2","0,08",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,,-36%,-36%,-100%,-100%,+14%,-100%,-100%,+65%,+65%,2,-86%,B,-86%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,
16,Sauce fish - Colona,5410803300699,['France'],[],[],?,603,2523 kj(603 kcal),"64,6","4,9","4,5",4,"1,4","1,2","0,48",['Colona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Crème glacée au nougat de Montélimar,3331480013103,['France'],[],[],?,221,925 kj(221 kcal),10,"4,5",28,26,"3,7",,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jambon maison,0200603020607,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sorbet pomme eau de vie calvados - Erhard,3428420003871,['France'],[],[],?,144,602 kj(144 kcal),"0,5","0,1",32,32,"0,5",,,['Erhard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Queso Viejo ""Sabor intenso""",2350362003996,['France'],[],[],?,411.2,1720 kj(411 kcal),"33,7","25,26","2,25","2,25","24,8","1,99","0,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Saveur citron - Perrier,7613036669351,['France'],[],[],?,?,,?,,?,,?,,,['Perrier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Prémix barres glacées,3273120030807,['France'],[],[],?,413,1728 kj(413 kcal),"11,9","6,3","61,9","20,3","11,7","0,68","0,272",,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Petits sablés breton au sarrasin - 120g,3494290000296,['France'],[],[],?,466,1950 kj(466 kcal),27,17,50,24,"5,7","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 g,,,,,,,,,
24,Barre familliale aux oeufs frais,6208810100178,['France'],[],[],?,429,1795 kj(429 kcal),23,2,50,26,"6,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Vegan BCAA Sustain,5056281159796,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mini-beignets fourrés aux pommes,0260420018379,['France'],[],[],?,328,1372 kj(328 kcal),17,"7,8",38,11,"5,3","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tisane - Baronny's,3700496332353,['France'],[],[],?,3,13 kj(3 kcal),"0,1","0,1","0,7","0,6","0,1",,,"[""Baronny's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Loose Tea,3391860001243,['France'],[],[],?,0,0 kj(0 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Amande effilé,3179142897285,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sirop extra concentré pour cocktails et topping,3760194213125,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Bougie,3245678377345,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Grimbrrgen - Grimbergen,3080216053844,['France'],[],[],?,?,,?,,?,,?,,,['Grimbergen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jus de pomme,3760047210035,['France'],[],[],?,44,184 kj(44 kcal),"0,14","0,05",10,"9,6","0,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Glace de la ferme,8718531516908,['France'],[],[],?,?,,?,,?,,?,,,,"['FR 24.097.002 CE', 'Champagne-et-Fontaine (Dordogne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,iso delice,3501014502025,['France'],[],[],?,474,1983 kj(474 kcal),"0,3","0,29",1,"0,8",92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Graine de tournesol grillees au piment,8697880349231,['France'],[],[],?,512,2142 kj(512 kcal),"2,8",0,0,,"27,8",2,"0,8",,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,2.8 g,en faible quantité,0 g,en faible quantité,,,2 g,en quantité élevée,,-10%,-10%,-94%,-100%,-100%,,+26%,+10%,+10%,,,,,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,,,
