,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,generic_name,packaging,manufacturing,markets,allergens,nova_score,additives,link
536,Nactalia Bio 3 - 800g,3575410864377,['France'],"['Lactose*', 'lactosérum déminéralisé ', 'lait', '*', 'huiles végétales* ', 'huile de tournesol oléique*', 'huile de colza*', 'huile de tournesol*', 'protéines de lait*', 'perméat de lait*', 'crème de lait*,\rminéraux ', 'carbonate de calcium', 'sulfate de magnésium', 'chlorure de sodium', 'sulfate de zinc', 'pyrophosphate de fer', 'sélénite de sodium', 'sulfate de cuivre', 'sulfate de manganèse,\riodure de potassium ', 'huile de poisson', 'émulsifiant : lécithine de tournesol *', 'vitamines ', 'C,E', 'B5', 'PP', 'A', 'D3', 'B8', 'B1', 'B12', 'K1', 'B6', 'B9', 'antioxydant : extrait riche en tocophérols', ""\r *ingrédient issu de l'agriculture biologique""]","['Non végétalien', 'Non végétarien']",2095,500,2095 kj(500 kcal),24,"5,5",60,60,"10,8","0,495","0,198",['Nactalia Bio'],,B,"['Aliments pour bébé', 'Laits pour bébé']","['Bio', 'Bio européen', 'FR-BIO-01', 'Sans huile de palme', 'AB Agriculture Biologique']",,,,,,,,,+128%,+115%,+122%,+142%,+69%,+126%,+249%,+125%,+177%,+177%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,800g,,Lait de croissance,['Boite'],"['France', 'Montauban', 'Sud-Ouest']","['Biocoop', 'Greenweez']","['Poisson', 'Lait']",4,"['E322i - Lécithine', 'E306 - Extrait riche en tocophérols']",https://www.nactalia.fr/produits/nactalia-bio/nactalia-bio-3eme-age/
537,Pain au chocolat,0201068013784,['France'],[],[],?,403,1686 kj(403 kcal),23,11,39,10,"8,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Les glaces du Canigou,3760299290687,['France'],[],[],?,169,707 kj(169 kcal),"6,9","4,1",24,23,"2,6","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Jus de pomme bio,3760150044305,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Jus de pomme,3546820000020,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Sarrasin Cajou Olive de Kalamata,3760267400988,['France'],[],[],?,370,1548 kj(370 kcal),15,"2,5",45,42,"9,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Comprimidos menta sin azucar,8435055004475,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Sarrasin Cajou Olive de Kalamata,3760267400995,['France'],[],[],?,370,1548 kj(370 kcal),15,"2,5",45,42,"9,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Huile d’olive,5200117460345,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Sauce marmite,3760252200340,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Sirop    fleur de sureau,3242611104068,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Bière artisanale Landaise,3760255030067,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Foie de volaille,0226015020530,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Pop tarts Frosted Cookies & Crème,0038000223143,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Coffret détox - Le Comptoir de Mathilde,3700961307527,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Le gazpacho,3442440003444,['France'],[],[],?,26,109 kj(26 kcal),"1,1","0,2",3,"2,3","0,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Appenzeller extra,2488792035888,['France'],[],[],?,400,1674 kj(400 kcal),"32,8","19,3","0,1","0,1","26,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Sablé chocolat,3276558737942,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Viande bovine,0205064050514,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Beignet pomme,2009000001039,['France'],[],[],?,282,1180 kj(282 kcal),"8,7","1,2",41,12,"6,1","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Boudin antillais,3485310000112,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Snackies,4250078960522,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Tartine craquantes,0200565011545,['France'],[],[],?,372,1556 kj(372 kcal),"1,6","0,3",78,"4,6","9,3","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,2808022069016,2808022069016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Pate a prout,3301040310393,['France'],[],[],?,542,2268 kj(542 kcal),"32,1","15,8","54,8","6,1","7,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Tortini,8001113090058,['France'],[],[],?,423,1770 kj(423 kcal),"20,1",1,"52,6","32,6","5,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Riz sauvage,8436015595439,['France'],[],[],?,357,1494 kj(357 kcal),"1,1","0,2","68,1","2,5","14,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Miel,8437008444178,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Thé saveur fleuri,3418321158336,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Pain campagnard garni,3581086175204,['France'],[],[],?,289,1209 kj(289 kcal),"14,3","3,9","26,7","1,3","12,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Stick fume,2891265011645,['France'],[],[],?,1032,4318 kj(1032 kcal),20,"13,5","2,2","1,2",15,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Hot Chocolate,1000032727004,['France'],[],[],?,382,1598 kj(382 kcal),"0,5",0,91,54,3,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Foie gras de canard entier,3660806021325,['France'],[],[],?,544,2276 kj(544 kcal),56,24,"2,2","0,9","7,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Poulet aux épices Tandoori,2510201422313,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Madalenas de Chocolate,5601312062738,['France'],[],[],?,416,1741 kj(416 kcal),19,"2,1",56,41,"4,5","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Grandes ecalopes de dinde,0213566038183,['France'],[],[],?,111,464 kj(111 kcal),"1,2","0,3",0,0,25,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Petit fromage frais au lait-demi écrémé - Délisse,3564700909393,['France'],[],[],369,88,369 kj(88 kcal),4,"2,6",4,"3,8",9,"0,13","0,052","['Délisse', 'Marque Repère']","['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",C,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'FR 89.263.001 CE']",['Lait Français'],4 g,en quantité modérée,2.6 g,en quantité modérée,3.8 g,en faible quantité,0.13 g,en faible quantité,-2%,-3%,-2%,-1%,-0%,-39%,-37%,+39%,+21%,+21%,-2,-797%,A,-797%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,"['Carton', 'Pots', 'Plastique']",['France'],['Leclerc'],,,,
573,beignets framboises,0203210012461,['France'],[],[],?,282,1180 kj(282 kcal),"8,7","1,2",42,13,"6,1","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Beyaz Nevşehir kabak cekirdeği,8696000007068,['France'],[],[],?,594,2485 kj(594 kcal),48,18,11,"2,3",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Chicken breast,5600961112443,['France'],[],[],?,113,473 kj(113 kcal),"0,3",0,"0,2",0,"1,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Rainbow twist,8690146150633,['France'],[],[],?,327,1368 kj(327 kcal),0,0,77,68,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Quark,29098415,['France'],[],[],?,71,297 kj(71 kcal),"0,2","0,1","5,1","3,9","11,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Terrine vegetale,3566141250041,['France'],[],[],?,102,427 kj(102 kcal),"6,9","1,1","7,9","3,7","4,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Mimi’s Bananenchips,8717399981132,['France'],[],[],?,519,2171 kj(519 kcal),"33,6","28,97","58,4","35,3","2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Sel de céleri blanc,3760133674635,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Noix de filet de dinde,2614127026379,['France'],[],[],?,105,439 kj(105 kcal),"1,4","0,4",0,0,23,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Oignon jaune,3760245700093,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Oignons jaunes']",,,,,,,,,,,,,,,,,,,,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,,,
583,"Olive noire 2,5 kg",3478790004060,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Lomo au piment doux,2297404040802,['France'],[],[],?,12,50 kj(12 kcal),"3,4","1,3",3,1,"20,2",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Kwaremont,5411831003545,['France'],[],[],?,23,96 kj(23 kcal),"0,3",0,3,0,6,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,5 pains au chocolat + 5 croissants pur beurre,2020001686629,['France'],[],[],?,255,1067 kj(255 kcal),20,13,37,"8,5","6,2","0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Jambon blanc,0200483003660,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Opc 75,3700522800313,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Amandes Guara decortiquées - Daco Bello,3270720018594,['France'],[],[],?,629,2632 kj(629 kcal),54,"4,9","6,8","3,5",22,0,0,['Daco Bello'],,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,54 g,en quantité élevée,4.9 g,en quantité modérée,3.5 g,en faible quantité,0 g,en faible quantité,,+0%,+0%,+4%,+22%,-48%,-10%,-2%,-100%,-100%,1,,B,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,
590,Arachide Wasabi,0207091019489,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Fondue,2103081016095,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Mangue,2868531019025,['France'],[],[],?,67,280 kj(67 kcal),"0,5","0,01","15,3","12,9","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Museau,2238076011158,['France'],[],[],?,217,908 kj(217 kcal),15,"5,2","0,5","0,5",20,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,L’Eurélienne rousse,3770001887227,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Bruschetta saumon,0205008025257,['France'],[],[],?,217,908 kj(217 kcal),10,"5,1",19,"2,8",12,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Tarte aux fruits,2030500422093,['France'],[],[],?,182,761 kj(182 kcal),"5,3","3,7","28,8","17,4","5,4","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Flan,0201274026240,['France'],[],[],?,238,996 kj(238 kcal),9,2,33,20,4,"0,37","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Biscotti di pasta frolla,8008560009480,['France'],[],[],?,491,2054 kj(491 kcal),"20,5","13,5","67,5",28,8,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,carob molasses,5029223010660,['France'],[],[],?,394,1648 kj(394 kcal),"0,7",0,94,82,"2,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,100% extrait de stevia,3662072026035,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Nectarine jaune,3662867000905,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Sel marin aux epices,3558180030135,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,jambon de la forêt noire,0211105029326,['France'],[],[],?,186,778 kj(186 kcal),"7,6","2,6",0,0,"29,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Coffret métal mélange tropical,0205746021191,['France'],[],[],?,381,1594 kj(381 kcal),"5,4","5,1",78,61,1,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Vin Rouge,5600291064115,['France'],[],[],?,?,,?,0,?,,?,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,-100%,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,
606,Filet de dinde,2276752017919,['France'],[],[],?,107,448 kj(107 kcal),"1,3","0,4",23,0,0,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Les petits concentrés citron pamplemousse,3242611105010,['France'],[],[],?,14,59 kj(14 kcal),0,0,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Longaniza fresca,2301009002872,['France'],[],[],?,222,929 kj(222 kcal),18,6,2,"0,5",13,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Olivade noire aux eclats de noisettes,3770010667117,['France'],[],[],?,284.39999389648,1190 kj(284 kcal),28,"3,29",4,"1,2","3,3","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Biscottes au germe de blé,01863192,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Tome,2480029033650,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Olivade verte aux éclats d’amandes,3770010667070,['France'],[],[],?,272.60000610352,1141 kj(272 kcal),"26,5","3,4","2,9","1,2",4,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Mjöòr d'accacia,7141224211759,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Cocktail de patience,2010000318690,['France'],[],[],?,326,1364 kj(326 kcal),"2,65","0,67","66,85","38,63","6,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Paté lorrain,2607931097741,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Les babas de saint malo,3701138800100,['France'],[],[],?,256,1071 kj(256 kcal),"3,7","0,2","39,7","3,7","1,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Chutes pour omelette,72401279,['France'],[],[],?,260,1088 kj(260 kcal),16,"6,4","0,8","0,8",28,"4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Domaine de Bresse,2449295029262,['France'],[],[],?,434,1816 kj(434 kcal),42,29,1,1,13,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Yaourt saveur vanille,0702422404243,['France'],[],[],?,93,389 kj(93 kcal),"3,2","2,2",13,12,"3,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Munster,2441831035164,['France'],[],[],?,382,1598 kj(382 kcal),28,19,0,0,20,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Caramels d’Isigny au lait et au beurre doux d’Isogny -,2010000319413,['France'],[],[],1771,420,1771 kj(420 kcal),"11,7","5,2","74,7","42,9",4,"0,36","0,144",,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramels au beurre salé']",,11.7 g,en quantité modérée,5.2 g,en quantité élevée,42.9 g,en quantité élevée,0.36 g,en quantité modérée,+5%,+2%,+3%,-15%,-42%,+10%,-15%,+70%,-63%,-63%,20,-19%,E,-19%,,,,,,,,,,,,"['Normandie', 'France']",,,,,
622,Tropeziennes,0209060037326,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Olives noires à la grecque,3076820935171,['France'],[],[],?,311,1301 kj(311 kcal),30,"3,9","4,5",1,"2,1","7,25","2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Merguez,2803935024206,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Popcorn al tartufo,8025386003751,['France'],[],[],?,490,2050 kj(490 kcal),29,13,39,"3,5",13,"2,75","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Pâte ours crème pâtissière,3461183264066,['France'],[],[],?,326,1364 kj(326 kcal),16,"7,7",40,12,"5,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Miel et fleur de sel de l’ile de ré,3760115098329,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
628,Myrtilles,3276559676523,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Vegan proteine café - Foodspring,4260363487399,['France'],[],[],?,385,1611 kj(385 kcal),"7,7","2,3","5,9","0,7","70,8","3,2","1,28",['Foodspring'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Petits sablés bretons au sarrasin et pépites de chocolat,2220010000939,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Aux Coings Sauvages,3760246470063,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Böckling Pastej,7311170032016,['France'],[],[],?,470,1966 kj(470 kcal),46,"3,7","4,6","2,1","8,6",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Bacaa Prozis,5600826203644,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Préparation à base de miel et propolis,3760223370331,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Granola Bio,3760309220079,['France'],[],[],?,459,1920 kj(459 kcal),"22,3","6,9","48,4","13,4","11,2","0,1","0,04",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Sel des Pyrénées,8437013549066,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Psyllium,3770005830281,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Tarama a la Truffe,3760239853224,['France'],[],[],?,539,2255 kj(539 kcal),57,"4,7",3,"0,5","7,4","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Les escalopes gourmandes,2447040033137,['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,7","0,1","0,1",23,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Miel de tilleul,3760268010155,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
641,Haricots,3262810812052,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Bouteille de vin,3760210181032,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Philtre d'amour de la sorcière Aglaé,3760189740414,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Cahors,3242160353139,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Laurier - La Vie Claire,3266191018034,['France'],[],[],?,?,,?,,?,,?,,,['La Vie Claire'],,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Yerba mate,7801875068033,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Pommes,3760198580094,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Infusion,8711812419813,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Sauce curry wurst,8613055137076,['France'],[],[],?,461,1929 kj(461 kcal),"0,8","0,1",22,19,"1,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Helva chocolat,8690120050362,['France'],[],[],?,518,2167 kj(518 kcal),"27,8","4,2","51,6","47,4","12,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
