,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,markets,additives,nova_score,allergens,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,generic_name,manufacturing,palm_ingredients,link,ingredients_origins,traceability_code
252,Elizabeth Shaw Lemon Flutes,5055037002270,['Elizabeth Shaw'],['France'],"['sucre', 'masse de cacao', 'graisse végétale ', 'palme', 'lactose ', 'lait', 'émulsifiant: lécithine de soya', 'arômes', ' Chocolat : cacao 50% minimum']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,525,2197 kj(525 kcal),"29,6","18,2","59,4","57,9",3,"0,01","0,004",,,,['E322i - Lécithine'],4,"['Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
253,Luxuriously trempling raison &cocoa,5055037002942,,['France'],[],[],?,477,1996 kj(477 kcal),23,13,36,36,"5,5","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Poivrons doux,5055037220049,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Frozen Slime Becher,5055114348345,,['France'],[],[],?,369,1544 kj(369 kcal),5,5,6,5,36,44,"17,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Beurre de Cacahuète,5055160640080,,['France'],[],[],?,579,2423 kj(579 kcal),46,"8,2",12,"5,9",30,,,,,,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",46 g,en quantité élevée,8.2 g,en quantité élevée,5.9 g,en quantité modérée,,,,-4%,-3%,-4%,-1%,-17%,-7%,+22%,,,,,,,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,
257,Extra Mature Cheddar - The Lake District Dairy Co,5055200642739,['The Lake District Dairy Co'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['sleeve'],,,,,,
258,Retro Storage Tin containing 10 Love Heart Mini Rolls Fruit Flavour Fizzy Sweets - What Next Candy Ltd.  - 105g,5055256519269,['What Next Candy Ltd.'],['France'],[],[],?,?,,?,,?,,?,,,105g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Jelly beans - What Next Candy Ltd,5055256525802,['What Next Candy Ltd'],['France'],"['Zucchero', 'sciroppo di glucosio', 'amido mais', 'acqua addificanti: B30', ' coloranti: El 63', 'El 53', 'El 61 b', 'El 60a', ' agenti di rivestimento: E904', 'E903', 'E901', ' aromi', 'oli ', 'palma', 'coca', 'stabilizanti: E414', ' di cartamo', 'spirulina', ' Consigli allergia: Pub contenere arachidiefNtta Best before end,see base/Àconsommerde préférence avant fin:voirbase/consumirpreferentementeantedd fin de: ver base /Consùmirde preferênda antes do fim de: veja base/ Consumarsi preferibilmenteenbfinevedere Content may settle during transit Please retain this information forfuture reference/Les contenues de tasser pendant le transpon Sil vous plaît conserver ces informations pour référence future/ El contenido puede depositarse durante el transporte', ' Porfavor', 'guarde esta infomacién para Muras referenda] 0 conteüdc do par pode assentar no fundo durante o transporte', ' Porfavor', 'guarde esta informaçâo para referênda futura] il può depositarsi sul fondo durante il trasporto', ' Si prega di conservare queste informazioni Nutrition information per / Information nutritionnelles par 1 oog / Informadén nubidonal / Informaçâo valor nuüivo por 1 / Infomazioni nutrizionali per 100g: Energy / énergie [valor energético / energia /energia 1590kJ,']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,374,1565 kj(374 kcal),"0,5","0,2",93,60,0,"0,05","0,02",,,,"['E904 - Gomme-laque', 'E903 - Cire de carnauba', ""E901 - Cire d'abeille"", ""E414 - Gomme d'acacia""]",4,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Jelly beans']",0.5 g,en faible quantité,0.2 g,en faible quantité,60 g,en quantité élevée,0.05 g,en faible quantité,,+7%,+7%,+335%,+247%,+8%,-3%,-100%,-40%,-40%,14,+1%,D,+1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
260,Fizzy Mix - Primark,5055256526137,['Primark'],['France'],"['F', ' Confiserie gélifiés aromatisée au fruits et cola', ' Ingrédients: Sucre', 'sirop de glucose-fructose,sirop de glucose', 'gélatine de porc', 'acidifiants:E296,E330', ' colorants:E150cE120E170E133E131E160aE163E161bE100E141', ""correcteur d'addité: B50"", ' arômes', 'huile de palme totalement hydrogénée', 'concentré de spiruline', ""agent d'enrobage: E903"", ' Informations  allergiques: Peut contenir de fruits à coque et arachides', ' Conserver dans un endroitfrais et sec']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,328,1372 kj(328 kcal),"0,5","0,2",77,62,"4,5","0,04","0,016",,,,"['E428 - Gélatine', 'E296 - Acide malique', 'E330 - Acide citrique', 'E903 - Cire de carnauba']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
261,Milk shakes,5055256527158,,['France'],[],[],?,342,1431 kj(342 kcal),"0,6","0,3",79,62,"4,6","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Jelly beans,5055256527165,,['France'],[],[],?,357,1494 kj(357 kcal),"0,5","0,4",88,59,"0,5","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Dolly Mix - Primark,5055256527172,['Primark'],['France'],"['Sucre', 'sirop de glucose', 'gélatine de boeuf', 'amidon de maïs', 'huile de palme', 'El 63', 'El 60c', 'El 00', 'El 40', 'El 62', ' acidifiant: E330', ' cacao maigre en poudre', 'arômes', 'concentrés de plantes ', 'carthame', 'spiruline', ' Informations allergiques: Peut contenir de fruits à coque et arachides', ' Conserver dans un endroit frais et sec']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,394,1648 kj(394 kcal),2,"1,4",93,85,1,"0,001",0,,,,"['E428 - Gélatine', 'E330 - Acide citrique']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
264,Giant Pastilles,5055256527189,,['France'],[],[],?,335,1402 kj(335 kcal),"0,5","0,1",78,61,"5,8","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Mini Winne Gums,5055256527196,,['France'],[],[],?,345,1443 kj(345 kcal),"0,5","0,1",79,52,"6,2","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,5055256528087,5055256528087,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Guimauve Aromatisée a la Fraise -,5055256528360,,['France'],"['Sucre', 'sirop de glucose', 'eau', 'gélatine de bœuf', 'amidon de maïs', 'humectant: E420', 'i', 'maltodextrine', 'arôme', ""correcteur d'acidité: E336"", 'i', ' épaississant E414', 'colorants: E102', 'E129,E133', 'E110,E122"" E171']","['Non végétalien', 'Non végétarien']",?,334,1397 kj(334 kcal),"0,5","0,1",80,57,"3,3","0,01","0,004",,,,"['E428 - Gélatine', 'E420i - D-glucitol', 'E336i - Tartrate monopotassique', ""E414 - Gomme d'acacia"", 'E102 - Tartrazine', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E110 - Jaune orangé S', 'E122 - Azorubine carmoisine']",4,,B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']",0.5 g,en faible quantité,0.1 g,en faible quantité,57 g,en quantité élevée,0.01 g,en faible quantité,,-5%,-6%,-85%,-95%,+5%,-11%,-9%,-82%,-82%,14,-11%,D,-11%,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,"['Sachet', 'Plastique', 'Carton']",,,,,,
268,Balsamic Vinegar 500ML - Gourmet Kitchen - 500mL,5055257866669,['Gourmet Kitchen'],['France'],"['Rice Vinegar', 'Sugarz Corn Svrup', 'Acidity Regulator: Citric ACId', ' Salt Grape Extract', 'Colour: Caramel', ' #lavouring,']",[],?,84,351 kj(84 kcal),0,0,"16,5","13,1","0,1","1,95","0,78",500 mL,,,"['E330 - Acide citrique', 'E150 - Caramel']",4,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,13.1 g,en quantité élevée,1.95 g,en quantité élevée,,+50%,+46%,-100%,-100%,+46%,+39%,-80%,+4599%,+4599%,27,+252%,E,+252%,,,,,,,,,,,,,,
269,Cheese & Onion on malted brown bread,5055279019456,,['France'],[],[],?,323,1351 kj(323 kcal),"19,1","5,6","26,9","1,5","11,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Chicken & Bacon Caesar Wraps,5055279019968,,['France'],[],[],?,967,4046 kj(967 kcal),"7,4","2,2","27,5","7,8","12,1","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Sandwich Chicken & Pesto,5055279022371,,['France'],[],[],?,236,987 kj(236 kcal),12,"3,3",16,"1,4",12,"0,98","0,392",,"['Sans gluten', 'Label Rouge']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Energy bar,5055315194802,,['France'],[],[],?,368,1540 kj(368 kcal),"4,5","0,7",75,39,"4,2","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Energy bar Apple flavoured fruit and cereal bar,5055315194826,,['France'],[],[],?,368,1540 kj(368 kcal),"4,5","0,7",75,39,"4,2","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,70% Dark,5055365628012,,['France'],[],[],?,567,2372 kj(567 kcal),"42,8","25,6",31,"27,1","7,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Mini Champagne Truffes,5055365631838,,['France'],[],[],?,512,2142 kj(512 kcal),"30,6","18,8","49,6","41,5","5,1","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Teaolat - Hotel Chocolat,5055365641332,['Hotel Chocolat'],['France'],"['Black tea', 'cocoa shells', ' May contain traces of tree nuts and peanuts', ' Suitable for vegetarians and vegans', ' Alcohol free', ' Store in a cool dry placer away from strong odours', ' Country of Origine', ' United Kingdom', ' DK: En infusion af sort te og kakaoskaller', ' Ingredienser: Sortte', 'kakaoskaller', ' Kan indeholde spor af trenadder og jordnadder', ' Velegnet til vegetarer og veganere Alkoholfri', ' Opbevares pâ et kaligt og tart sted vakfra starke lugte', ' Oprindelsesland: Storbritannien']","['Végétalien', 'Végétarien']",?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,"['Végétarien', 'Végétalien', 'Sans alcool']",,,,,,['Boissons'],0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,-98%,-98%,-71%,-15%,-99%,-99%,-80%,+141%,+141%,2,-74%,C,-74%,,,,,,,,,,,,,,
277,Macadamias 40% milk,5055365641486,,['France'],[],[],?,618,2586 kj(618 kcal),"49,5","21,3","34,5","32,5","8,4","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Caught on the Hop,5055365649116,,['France'],[],[],?,580,2427 kj(580 kcal),"39,9","24,2","45,9",45,"7,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Bunnies dark,5055365649505,,['France'],[],"['Végétalien', 'Végétarien']",?,567,2372 kj(567 kcal),"42,8","25,6",31,"27,1","7,6","0,02","0,008",,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,White Chocolate Easter Egg - Extra Thick - Hotel Chocolat - 400g,5055365649727,['Hotel Chocolat'],"['France', 'Royaume-Uni']","['Matières premières de cacao ', 'beurre de cacao', 'pâte de cacao', 'sucre', 'lait entier en poudre', 'lait écrémé en poudre', 'pâte de noisette', 'stabilisants ', 'sorbitol', 'glycérol', 'pâte de noisette sucrée ', 'NOISETTES', 'sucre', 'émulsifiant ', 'lécithine de tournesol', 'huile de beurre ', 'LAIT', 'LAIT entier', 'sirop de glucose', 'émulsifiants ', 'lécithine de SOYA', 'lécithine de tournesol', 'pâte de NOIX', 'concentré de mangue', 'huile de tournesol', 'pâte de noix de PECAN', 'sucre caramélisé', 'feuilletine ', 'sucre', 'farine de BLÉ', 'huile de beurre ', 'de LAIT', 'Sucre de LAIT', 'extrait de malt ', 'orge', 'levure ', 'bicarbonate de sodium', 'sel', 'café', 'crème à fouetter ', 'crème ', 'de lait', 'stabilisant ', 'carraghénane', 'concentré de framboise', 'graines de vanille', 'poudre de framboise lyophilisée', 'naturel arômes ', 'vanille', 'crème', 'mangue', 'framboise', 'muscade', 'caramel', 'morceaux de framboise lyophilisés', ""régulateur d'acidité "", 'acide citrique', 'colorants naturels ', 'carotène', 'rocou', 'paprika', 'muscade moulue']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",?,596,2494 kj(596 kcal),"42,2","25,9","45,9","44,3","7,4","0,23","0,092",400 g,"['Végétarien', 'Sans alcool']",,"['E420 - Sorbitol', 'E422 - Glycérol', 'E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E160a - Carotènes mélangés', 'E160b - Rocou']",4,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",42.2 g,en quantité élevée,25.9 g,en quantité élevée,44.3 g,en quantité élevée,0.23 g,en faible quantité,,+13%,+13%,+32%,+49%,-12%,-7%,+26%,+50%,+50%,27,+11%,E,+11%,,,,,,,,"['Boîte', 'Métal']","Extra thick white chocolate Easter egg. Filled with lusciously creamy recipes that pair our high-cocoa white with fruit, nuts and more. White Chocolate Easter Egg - Extra Thick",['Royaume-Uni'],,http://www.hotelchocolat.com/uk/extra-thick-white-and-light.html,,
281,Sour cherry granola,5055381411407,,['France'],[],[],?,493,2063 kj(493 kcal),26,"3,3",56,22,11,"0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,5055428600061,5055428600061,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Linguine -,5055430400192,,['France'],"['Farine de Blé Tendre type 00', 'Oeuf pasteurisé ', '28%', 'Farine de Blé Dur', 'Sel']",['Non végétalien'],?,284,1188 kj(284 kcal),"3,8",1,49,"1,3","12,6","0,7","0,28",,,,,3,['Gluten'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Linguine']",3.8 g,en quantité modérée,1 g,en faible quantité,1.3 g,en faible quantité,0.7 g,en quantité modérée,,-18%,-18%,+125%,+175%,-27%,-53%,+1%,+3067%,+3067%,1,,B,,,,,,,,,,,,,,,
284,Oh la la la belle pâte que voilà! Penne,5055430400314,,['France'],[],[],?,284,1188 kj(284 kcal),"3,8",1,49,"1,3","12,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Sour cream & onion cashews - Quibbles,5055457400021,['Quibbles'],['France'],[],[],?,595,2489 kj(595 kcal),"43,8","8,7","31,5","5,5","17,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Crunchy Oat Granola,5055496709376,,['France'],[],[],?,423,1770 kj(423 kcal),"18,4","3,1","56,5",25,"8,6","0,07","0,028",,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Organic Kombuchz,5055496711324,,['France'],[],[],?,21,88 kj(21 kcal),0,0,"5,3","5,3","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Elle True Diet - MyProtein,5055534300602,['MyProtein'],['France'],[],[],?,383,1602 kj(383 kcal),"8,8",1,"14,7","5,1",61,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,MyProtein MAX Elle Active Woman,5055534300992,['Myprotein'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,"Dörrfleisch Vom Rind,Teriyaki,Packung,50 G - MyProtein",5055534301166,['MyProtein'],['France'],[],[],?,277,1159 kj(277 kcal),"5,6","2,2","3,8","1,7",50,"4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Beef Jerky - MyProtein,5055534301524,['MyProtein'],['France'],[],[],?,277,1159 kj(277 kcal),"5,6","2,2","3,8","1,7",50,"4,8","1,92",,,,,,,,"['Viandes', 'Viandes séchées', 'Viande de bœuf séchée']",5.6 g,en quantité modérée,2.2 g,en quantité modérée,1.7 g,en faible quantité,4.8 g,en quantité élevée,,+4%,+4%,+33%,+47%,-73%,-84%,+28%,+31%,+31%,15,+3%,D,+3%,,,,,,,,,,,,,,
292,"Dörrfleisch Vom Rind, Original, Packung - Myprotein",5055534301531,['Myprotein'],['France'],"['ORIGINAL FLAVOUR INGREDIENTS Beef ', '96%', 'Salt', 'Sugar', 'Dextrose', 'Black Pepper', 'White Pepper', 'Chilli', 'Cayenne', 'l/altodextrin', 'Antioxidant ', 'Ascorbic Acid', 'Preservative ', 'Sodium Nitrite']",[],?,277,1159 kj(277 kcal),"5,6","2,2","3,8","1,7",50,"4,9","1,96",,,,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,"Beef Jerky Trockenfleisch, Smoked Flavour - My protein",5055534301548,['My protein'],['France'],"['Beef ', '96%', 'Sugar', 'Dextrose', 'Curcuma', 'Maltodextrin', 'Onion Powder', 'Antioxidant ', 'Ascorbic Acid', 'Preservative ', 'Sodium Nitrite']","['Non végétalien', 'Non végétarien']",?,277,1159 kj(277 kcal),"5,6","2,2","3,8","1,7",50,"4,9","1,96",,,,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,"['Viandes', 'Viandes séchées', 'Viande de bœuf séchée']",5.6 g,en quantité modérée,2.2 g,en quantité modérée,1.7 g,en faible quantité,4.9 g,en quantité élevée,,+4%,+4%,+33%,+47%,-73%,-84%,+28%,+34%,+34%,15,+3%,D,+3%,,,,,,,,,,,,,,
294,Natural Nuts (Brazils) - Myprotein,5055534301562,['Myprotein'],['France'],[],[],?,682,2853 kj(682 kcal),?,16,?,"2,4",14,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Mybar Oats & Whey - 18X88G - Chocolate Peanut - MyProtein,5055534301753,['MyProtein'],['France'],[],[],?,368,1540 kj(368 kcal),11,"4,1",44,"3,9",25,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Maltodextrine - MyProtein,5055534301951,['MyProtein'],['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,0,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,"Myprotein Dextrose, Geschmacksneutral",5055534301975,['Myprotein'],['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,100,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Myprotein Dextrose Unflavoured 5000G,5055534301982,['Myprotein'],['France'],"['En Poudre ALLERGÈNES: Peut aussi contenir: soja', 'lait et œuf', "" DOSAGE SUGGÉRÉ: Les glucides à la récupération musculairef après ur exercice de haute intensité et/ou d'endurance"", ' Par conséquent', 'afin de reconstituer les réserves musculaires en glycogène', 'najas recommandons simplement d ajouter ure mesure ', '35g', "" à 153-250rnl d'eau au de votre boisson préférée dars ur shaker Myproteir dars les A heures d'exercice"", 'Par conséquent', 'afin de reconstituer les reserves musculaires er glycogène', ""nous recammardars simplement d'ajouter une grardes mesures 15091 à 153 - 250ml d'eau ou de votre boisson préférée dans ur shaker Myvrateir dars les q heures d'exercice"", "" f L'effet bénéfique est obtenu par la consommation de glucides"", 'en provenance de toutes les saurces', 'pour atteindre ur q g par kg de poids corporel', 'à des doses prises', "" au coUs das q premières t-eute= et pas plus tard que 6 heures d'exercice"", "" 11 INFORMATIONS IMPORTANTES: A cônserver dars ur endroit frais et sea a l'abri de la lumière directe du soleil"", "" Ce produit est destiné à être utilisé er camplémert d'ur de vie actif et dture alimentation équilibrée"", ' Corvicrt aux végétariers végétaliers']",['Non végétalien'],?,400,1674 kj(400 kcal),0,0,100,100,0,0,0,,,,,,"['Œufs', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Guarana Extract - Myprotein,5055534302040,['Myprotein'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Guarana Extract - Myprotein,5055534302040,['Myprotein'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Taurine - Unflavoured - MyProtein,5055534302163,['MyProtein'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,BCAA unflavoured - MyProtein - 250g,5055534302194,['MyProtein'],"['France', 'Allemagne']","['L-Leucine ', '50%', 'L-Isoleucine ', '25%', 'L-Valine ', '25%']",[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,250 g,,,,,,,"['Boissons', 'Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Acides aminés ramifiés']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,,B,,,,,,,,,"['Plastic', 'Bag']",,['United Kingdom'],,,,
303,Bcaa 2:1:1 (neutral) - MyProtein,5055534302200,['MyProtein'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Fructose - MyProtein,5055534302231,['MyProtein'],['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,100,0,"0,01","0,004",,,,,,,B,"['Édulcorants', 'Additifs alimentaires', 'Succédanés du sucre', 'Édulcorants naturels', 'Fructose']",0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0.01 g,en faible quantité,,+21%,+21%,-100%,-100%,+24%,+47%,,0%,0%,,,,,39.8%,41.1%,9.2%,7.6%,2.3%,0.0%,88,,,,,,,
305,Instant-hafer - 1000G - Banane - Myprotein,5055534302392,['Myprotein'],['France'],"[""Farine d'avoine "", '96%', ' Arôme ', 'Édulcorant ', 'Sucralose', 'Colorant ', 'curcunin']",[],?,335,1402 kj(335 kcal),"8,2","1,4",55,"3,3",10,"0,25","0,1",,,,['E955 - Sucralose'],4,['Avoine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Avoine Instantanée - MyProtein,5055534302408,['MyProtein'],['France'],[],[],?,384,1607 kj(384 kcal),"7,7","1,4",62,"1,1",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,"Instant-hafer, Erdbeersahne, Beutel - MyProtein",5055534302439,['MyProtein'],['France'],[],[],?,359,1502 kj(359 kcal),8,"1,2",57,1,10,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,"Avena Istantanea, Fragola Panna, Sacchetto - MyProtein",5055534302446,['MyProtein'],['France'],[],[],?,359,1502 kj(359 kcal),8,"1,2",57,1,10,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Impact Whey Protein banoffee - Myprotein  - 2.5kg,5055534302569,['Myprotein'],['France'],[],[],?,407,1703 kj(407 kcal),"7,2","4,8","6,5","3,9",79,"0,25","0,1",2.5kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,"Myprotein Impact Whey Protein, Banane, Pulver",5055534302606,['Myprotein'],['France'],[],[],?,409,1711 kj(409 kcal),"7,4",5,"5,2","5,2",80,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,"Myprotein Impact Whey Protein, Chocolate Mint, Pulver",5055534302620,['Myprotein'],['France'],[],[],?,393,1644 kj(393 kcal),"7,4","4,9","7,7","3,7",73,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Impact Whey Protein - MyProtein,5055534302774,['MyProtein'],['France'],[],[],?,404,1690 kj(404 kcal),"7,2","4,8","4,8","1,32",80,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Impact Whey Protein - Myprotein,5055534302781,['Myprotein'],['France'],"['INGRÉDIENTS', 'Concentré de Protéine de Whey ', 'Lait', ' ', '91%', ' Emulsifiant ', 'lécithine de Soja', 'Cacao en Poudre', 'Arôme', 'Edulcorant [Sucralose']",['Non végétalien'],?,400,1674 kj(400 kcal),"7,5",5,"5,4","3,8",77,"0,25","0,1",,,,"['E322i - Lécithine', 'E955 - Sucralose']",4,"['Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
