,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,markets,additives,nova_score,allergens,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,generic_name,manufacturing,palm_ingredients,link,ingredients_origins,traceability_code
29,Tesco Micro Oats Apple And Blueberry 312G,5052910395696,['Tesco'],"['France', 'Royaume-Uni']","['oat flakes ', '78%', 'sugar', 'dried apple ', '1 %', 'sweetened dried blueberries ', '1 %', 'flavourings', 'sweetened dried blueberries contain: blueberries', 'sugar', 'sunflower oil,']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,384,1607 kj(384 kcal),"6,9","1,2","68,5",20,"8,5","0,1","0,04",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Tesco Original Porridge Pots 48G,5052910395764,['Tesco'],"['France', 'Royaume-Uni']",[],[],?,207,866 kj(207 kcal),"3,3","0,5","34,4","9,7","7,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Instant oat porridge - Tesco,5052910410306,['Tesco'],['France'],[],[],?,209,874 kj(209 kcal),"2,7","0,5","17,1","6,4","2,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Tesco Dutch Crisp Bakes 125G,5052910475800,['Tesco'],"['France', 'Royaume-Uni']",[],[],?,397,1661 kj(397 kcal),"5,3","1,9","71,7","9,2","13,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Super seeded farmhouse - Tesco,5052910510976,['Tesco'],['France'],[],[],?,287,1201 kj(287 kcal),"8,9","1,1","37,8","3,4","10,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Vanilla and strawberry cone - Tesco,5052910707499,['Tesco'],['France'],[],[],?,262,1096 kj(262 kcal),"10,1",8,39,"23,3","3,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['card-box'],,,,,,
35,tikka chicken steaks - Tesco,5052910753106,['Tesco'],['France'],[],[],?,159,665 kj(159 kcal),2,"0,5","0,4","0,2","28,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Tesco Finest Gigli Pasta,5052910791955,['Tesco'],"['France', 'Royaume-Uni']",[],[],?,170,711 kj(170 kcal),"0,5","0,2","33,9","1,1","6,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Roast chicken slices - Tesco,5052910806055,['Tesco'],['France'],[],[],?,116,485 kj(116 kcal),"1,1","0,4","2,4","2,4",24,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tesco Choc Chip Brioche Swirls 6Pk,5052910937674,['Tesco'],"['France', 'Royaume-Uni']","['Crème Pâtissière ', '39%', 'Wheat Flour', 'Pasteurised Whole Egg', 'Chocolate Chips ', '8%', 'Sugar', 'Rapeseed Oil', 'Yeast', 'Salt', 'Emulsifiers ', 'Mono - and Di-Glycerides of Fatty Acids', 'Polyglycerol Esters of Fatty Acids', 'Preservative ', 'Potassium Sorbate', 'Colour ', 'Carotenes', 'Flavouring']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,301,1259 kj(301 kcal),"8,1","2,5",49,"18,8","7,2","0,7","0,28",,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés']",4,['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Brioche swirls With crème pâtissière and chocolate chips.,,,,,
39,Pringles original,5053099119004,,['France'],[],[],?,514,2151 kj(514 kcal),33,4,51,1,4,1,"0,4",,,,,,,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",33 g,en quantité élevée,4 g,en quantité modérée,1 g,en faible quantité,1 g,en quantité modérée,,+1%,+1%,+11%,+19%,-8%,-71%,-9%,-33%,-33%,13,-3%,D,-3%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,
40,Olografique,5053264504444,,['France'],[],[],?,1,4 kj(1 kcal),0,0,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Tesco Fruit Fool Gooseberry 114G,5053526262983,['Tesco'],"['France', 'Royaume-Uni']",[],[],?,200,837 kj(200 kcal),?,"8,2",?,"15,2",3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tesco Healthy Living Balsamic Dressing 250Ml,5053526422479,['Tesco'],"['France', 'Royaume-Uni']",[],[],?,14,59 kj(14 kcal),"0,3","0,1","1,9","1,9",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Tesco Healthy Living French Dressing 250ML,5053526422752,['Tesco'],"['France', 'Royaume-Uni']",[],[],?,89,372 kj(89 kcal),2,"0,5","17,2","13,2","0,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Tesco Healthy Living Honey and Mustard Dressing 250ML,5053526422776,['Tesco'],"['France', 'Royaume-Uni']",[],[],?,129,540 kj(129 kcal),"3,4","0,8","24,3","21,1","0,1",1,"0,4",,,,,,,D,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Sauces salades', 'en:Sauces with mustard', 'en:Honey mustard dressings', 'Moutardes au miel']",3.4 g,en quantité modérée,0.8 g,en faible quantité,21.1 g,en quantité élevée,1 g,en quantité modérée,,-40%,-39%,-66%,+10%,+40%,+46%,-98%,-72%,-72%,9,-37%,C,-37%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,
45,Tesco British Mature White Cheddar 450G,5053526716035,['Tesco'],"['France', 'Royaume-Uni']",[],[],?,416,1741 kj(416 kcal),?,"21,7",?,"0,1","25,4","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Tesco Broccoli Cauliflower Floret Mix,5053526954895,['Tesco'],"['France', 'Royaume-Uni']","['Broccoli Florets ', '50%', 'Cauliflower Florets ', '50%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,31,130 kj(31 kcal),"0,9","0,2","1,6","1,4",3,"0,1","0,04",,['Végétarien'],,,1,,,['en:Cauliflower florets'],0.9 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,0.1 g,en faible quantité,,,,,,,,,,,-8,,A,,,,,,,,,,,,,,,
47,9 Hot dog sausages made with wheat - Tesco,5053526969585,['Tesco'],['France'],[],[],?,222,929 kj(222 kcal),"15,8","1,2","1,6","1,1","17,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Leaf Spinach - Tesco - 900g,5053526969790,['Tesco'],"['France', 'Royaume-Uni']",['Leaf spinach'],[],?,28,117 kj(28 kcal),"0,8","0,1","0,5","0,3","3,1",0,0,900 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Coco pops,5053727175730,,['France'],[],[],?,387,1619 kj(387 kcal),"2,5",1,84,30,"5,5","0,75","0,3",,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5053826000032,5053826000032,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Wedding breakfast - Fortnum & Mason,5053826000995,['Fortnum & Mason'],['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Thé - Fortnum & Mason,5053826001183,['Fortnum & Mason'],"['France', 'Hong Kong']",['Rien'],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,
53,Earl Grey Shortbread Rounds - Fortnum & Mason - 150g e,5053826001657,['Fortnum & Mason'],"['France', 'Royaume-Uni']","['Farine ', 'farine de blé ', 'gluten', 'calcium', 'fer', 'niacine thiamine', 'beurre ', 'lait', 'sel', 'sucre', 'riz moulu', 'huiles végétales ', 'huiles de palme et de colza', 'huile de bergamote ', '0,3 %', 'thé Earl Grey ', '0,1%', ' ']","['Huile de palme', 'Non végétalien']",?,539,2255 kj(539 kcal),"30,2","20,2","60,2","14,7","5,1","0,5","0,2",150 g e,,,,4,"['Gluten', 'Lait']",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",30.2 g,en quantité élevée,20.2 g,en quantité élevée,14.7 g,en quantité élevée,0.5 g,en quantité modérée,,+4%,+4%,+8%,+21%,-0%,-23%,-8%,-24%,-24%,21,-1%,E,-1%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['boîte', 'métal']",,"['Édimbourg', 'Écosse', 'Royaume-Uni']",['Huile de palme'],,,
54,St James Christmas Pudding - Fortnum mason - 454g,5053826002517,"['Fortnum mason', 'Fortnum & Mason']","['France', 'Royaume-Uni']","['Vine fruits 34% ', 'Turkish Raisins', 'Turkish Sultanas', 'Vostizza Currants', 'Non-Hydrogenated Cotton Seed Oil', 'Non-Hydrogenated Sunflower Oil', 'Mollasses Sugar', 'Non-hydrogenated Vegetable Suet 8% ', 'Palm oil', 'Sunflower Oil', 'Wheat Flour ', 'Gluten', 'Pasteurised Free Range Eggs', 'Stoneground Wholemeal Wheat Flour ', 'Gluten', 'Water', 'Candied Mixed Peel ', 'Orange Peel', 'Lemon Peel', 'Glucose-Fructose Syrup', 'Salt', 'Preservative: Sulphur Dioxyde', ' Citric Acid', 'Fortnum & Mason Cognac 3', '5%', 'Lemon Zest', 'Pasteurised Whole Milk', 'Almond Strips', 'Single Cream ', 'Milk', 'Wheat Flour Crumb ', 'Wheat Flour ', 'Gluten', 'Salt', 'Pussers Navy Rum 0', '8%', 'Orange Juice', 'Nutmeg', 'Cinnamon', 'Mixed Spice', 'Sea Salt', 'Black Treacle']","['Huile de palme', 'Non végétalien']",?,301,1259 kj(301 kcal),"10,1","3,8","44,6","34,5","3,6","0,3","0,12",454 g,,['Fortnum & Mason'],['E330 - Acide citrique'],4,"['Gluten', 'Lait']",,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Puddings', 'Puddings de Noël']",10.1 g,en quantité modérée,3.8 g,en quantité modérée,34.5 g,en quantité élevée,0.3 g,en quantité modérée,,+1%,-2%,+61%,+29%,-19%,-17%,+17%,+35%,+35%,14,+9%,D,+9%,,,,,,,,"['Box', 'Plastic bowl']",,['United Kingdom'],,,,
55,Pistachio Turkish Delight,5053826260245,,['France'],[],[],?,3,13 kj(3 kcal),"1,7","1,1","88,5",72,"1,6",,,,,,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",1.7 g,en faible quantité,1.1 g,en faible quantité,72 g,en quantité élevée,,,,-99%,-99%,-14%,+121%,+8%,+14%,+66%,,,,,,,,,,,,,,,,,,,,
56,Tewkesbury -,5053826298446,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Highgrove christmas pudding - Fortnum & Mason,5053826311459,['Fortnum & Mason'],['France'],['Energy of which saturates Carboh drates of which su ars Protein'],[],?,304,1272 kj(304 kcal),"10,1","5,1","50,6","33,7","4,2","0,4","0,16",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Christmas Pudding - Highgrove - 454g,5053826311466,['Highgrove'],"['France', 'Royaume-Uni']","['Raisins secs * ', '18%', 'œufs', 'beurre ', 'lait', 'groseilles * ', '9 %', 'écorces confites ', '9 %', ' ', 'sirop de glucose *', 'écorces de citron', ""écorces d'orange"", 'jus de citron', 'Sucre brun', 'chapelure * ', 'farine de blé ', 'farine de blé ', 'gluten', 'sel', 'levure', 'brandy de David Ramnoux ', '7 %', 'farine Shipton Mill * ', 'farine de blé ', 'calcium', 'fer', 'niacine', 'thiamine', 'Carottes râpées', 'mélasse noire *', ""flocons d'amande "", '2 %', 'épices mélangées']",['Non végétalien'],?,304,1272 kj(304 kcal),"10,1","5,1","50,6","33,4","4,2","0,4","0,16",454 g,['Bio'],,,4,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,"['Desserts', 'Aliments et boissons de Noël', 'Puddings', 'Puddings de Noël']",10.1 g,en quantité modérée,5.1 g,en quantité élevée,33.4 g,en quantité élevée,0.4 g,en quantité modérée,,+2%,-1%,+61%,+73%,-9%,-20%,+36%,+79%,+79%,16,+24%,D,+24%,,,,,,,,['Plastique'],,['Royaume-Uni'],,https://www.highgrovegardens.com/christmas-pudding-9814.html,,
59,Napolitains - Fortnum & Mason,5053826312180,['Fortnum & Mason'],['France'],[],[],?,576,2410 kj(576 kcal),39,25,47,42,"7,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Christmas Spiced Honey - Fortnum & Mason,5053826439191,['Fortnum & Mason'],['France'],"['Miel ', '91%', ',Bâtons de cannelle ', '9%']",['Non végétalien'],?,304,1272 kj(304 kcal),0,0,82,82,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Digestive - Fortnum & Mason,5053826439320,['Fortnum & Mason'],['France'],"['WHEATMEAL INGREDIENTS ', 'Wheat flour ', 'Gluten', 'Calcium', 'Iron', 'Niacin', 'Milk chocolat : 19% Natural Vanilla Flayourin', ""'"", 'wheat', ' ', 'Gluten', 'Milk Invert Sugar Sodium Bicarbonate', ' Natural for kl!etiens', ' in Bold tundles: Nuts & Eggs']",[],?,500,2092 kj(500 kcal),"24,5","15,1","65,1","26,8","6,2","1,5","0,6",,,,,4,['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Flapjack biscuits,5053826439337,,['France'],[],[],?,504,2109 kj(504 kcal),"26,6","16,7","55,6","31,6","5,3","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Apple & Cinnamon curd - Fortnum & Mason - 195g,5053826478275,['Fortnum & Mason'],['France'],"['Cane Sugar', 'Pasteurised Free Range Egg', 'Pasteurised Free Range Egg Yolk', 'Butter ', 'Milk', 'Salt', 'Concentrated Apple Puree ', '9%', 'Apple Powder ', '3%', 'Concentrated Lemon Juice', 'Acidity Regulator: Citric Acid', ' Gelling Agent: Pectin', ' Ground Cinnamon ', '0', '2%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,381,1594 kj(381 kcal),14,7,58,56,4,"0,3","0,12",195 g,,,"['E330 - Acide citrique', 'E440 - Pectines']",4,['Lait'],,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Crèmes de fruits à tartiner']",14 g,en quantité modérée,7 g,en quantité élevée,56 g,en quantité élevée,0.3 g,en quantité modérée,,+12%,+13%,+31%,+19%,0%,+6%,+85%,+99%,+99%,21,+11%,E,+11%,,,,,,,,,,,,,,
