,name,bar_code,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,generic_name,eco_score,packaging,labels,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,link,producer_info,palm_ingredients,brand_owner,origin_detail
1725,Lemon juice,4088600099071,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,,,?,,20,-26%,84 kj(20 kcal),-25%,"0,5",+252%,"0,1",+675%,15,+320%,"0,5",-70%,"0,5",+48%,,,,,,,,,,,,D,"['mixed plastic-bottle', 'hdpe-bottle']",,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
1726,Happy Burger Seitan Fromage - Happy Bio Veggie - 160g,8437010103827,['Happy Bio Veggie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan', 'en:Galettes-vegetales']",,['France'],"['Seitan* ', '47%', ' [eau', 'farine de BLÉ""', 'GLUTEN de BLE', 'shoyu* ', 'eau', 'SOJA""', 'BLÉ""', 'sel marin', 'koji* ', 'ferment', 'tamari* ', 'eau', 'SOJA`', 'sel marin', 'mikawa mirin* ', 'riz* fermenté', ""farine d'ORGE*"", 'koji*', 'algues kombu*', 'gingembre*', 'ail""', ""oignons' flocons d'AVOINE*"", 'GOUDA* ', '10%', 'huile de tournesol*', ""farine de BLE complète' amidon de tapioca*"", 'sel marin', "" *issus de l'agriculture biologique"", ' Contient du soja', 'du gluten', 'du lait et ses produits dérivés', ' Distribution certifiée par ECÔCERT-FR-BIO-01', ' Service consommateurs : HAPPY BIO - 213 avenue Antoine Lavoisier 43700 SAINT-GERMAIN LAPRADE Laura Duval : 0970 82 01 21 Appel non surtaxé depuis la France Métropolitaine www', 'happybio', 'org CERTIFIE AB ES-ECO-001-AN AGRICULTURE UE/NON UE BIOLOGIQUE AGRICULTURE Conserver entre 0°']",,"['Gluten', 'Lait', 'Avoine', 'Soja']",['Non végétalien'],4,15 g,en quantité modérée,3.7 g,en quantité modérée,1.8 g,en faible quantité,1.3 g,en quantité modérée,?,,272,+64%,1138 kj(272 kcal),+64%,15,+191%,"3,7",+440%,20,+152%,"1,8",+67%,11,-44%,"1,3",+17%,"0,52",+17%,11,+746%,D,+746%,160 g,,,,['Film en plastique'],"['Bio', 'Bio européen', 'ES-ECO-001-AN', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert']",,,,,,,,,,,,,,
1727,Cathar'tinables oignon&co,0669014864345,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
1728,Seasoning - Garlic & Herb Salt Free,0066200015596,,,,['France'],"['dehydrated vegetables ', 'garlic', 'onion', ' celery', 'spices and herbs ', 'including oregano', 'parsle rosemary', 'basil', 'red pepper', 'orange peel', 'high olec sunflower oil', ' ingrédjents : légumes déshydratés ', 'ail', 'oignom', 'celeri', 'épices et herbes ', 'incluant origan', 'persi romarin', 'basilic', 'piment de cayenne', ""zeste d'of nge huile de tournešol à haute teneur en acide ole cue""]",,['Céleri'],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,Confiture extra myrtille sauvage - Maison Jougla,3665020345141,['Maison Jougla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,['France'],[],,,[],,0.15 g,en faible quantité,0.01 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,?,,263,+20%,1100 kj(263 kcal),+20%,"0,15",-43%,"0,01",-77%,57,+7%,55,+8%,"0,4",+3%,0,-100%,0,-100%,11,+19%,D,+19%,,,,D,,['Sans conservateurs'],75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
1730,poulet fermier bio,3266980801137,,,,['France'],[],,,[],,,,,,,,,,?,,167,,699 kj(167 kcal),,"9,3",,2,,"0,3",,"0,3",,"20,8",,"0,14",,"0,056",,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
1731,Huile d'olive au jus de truffe -,3760194213408,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive aromatisées""]",,['France'],[],,,[],,87 g,en quantité élevée,12 g,en quantité élevée,0.02 g,en faible quantité,0.05 g,en faible quantité,?,,788,+8%,3297 kj(788 kcal),+7%,87,-4%,12,-5%,"0,02",-90%,"0,02",-55%,"0,2",+242%,"0,05",+1463%,"0,02",+1463%,10,+15%,C,+15%,,,,,,,,,,,,,,,,,,,,
1732,GIRAFE Vanille Cocolat,3564706621992,,,,['France'],[],,,[],,,,,,,,,,?,,101,,423 kj(101 kcal),,"3,2",,"2,1",,15,,12,,3,,"0,15",,"0,06",,,,,,,,,,,['Nutriscore'],,,,,,,,,,,,,,
1733,BioXcare,8000903690256,['BioXcare'],"['Boissons', 'Boissons alcoolisées']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Moutarde De Dijon,0069694005357,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",,['France'],[],,,[],,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.3 g,en quantité modérée,?,,10,-94%,42 kj(10 kcal),-94%,"0,5",-96%,0,-100%,0,-100%,0,-100%,"0,4",-94%,"0,3",-95%,"0,12",-95%,1,-91%,B,-91%,,,,B,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,
1735,Thé glacé fraîchement infusé - Piramide,8711812425395,['Piramide'],"['Boissons', 'Thés glacés']",,['France'],[],,,[],,1 g,en faible quantité,1 g,en quantité modérée,1 g,en faible quantité,0.01 g,en faible quantité,?,,11,-50%,46 kj(11 kcal),-50%,1,+614%,1,+3688%,"2,7",-49%,1,-80%,1,+580%,"0,01",-64%,"0,004",-64%,3,-59%,C,-59%,,,,,,['Bio'],,,,,,,,,,,,,,
1736,Céréales Choco'crok - Elibio - 375g,3760294960448,['Elibio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,['France'],[],,,[],,15 g,en quantité modérée,5.7 g,en quantité élevée,35 g,en quantité élevée,0.44 g,en quantité modérée,1873,+10%,446,+12%,1873 kj(446 kcal),+12%,15,+72%,"5,7",+159%,66,-1%,35,+110%,"7,9",-15%,"0,44",+23%,"0,176",+23%,13,+141%,D,+141%,375 g,,,B,['Carton'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['France'],,,,,,
1737,Madeleines longues pur beurre,9780225579628,,"['Biscuits et gâteaux', 'Non alimentaire', 'Gâteaux', 'Madeleines']",,['France'],[],,,[],,28 g,en quantité élevée,2.4 g,en quantité modérée,31 g,en quantité élevée,0 g,en faible quantité,?,,474,+123%,1983 kj(474 kcal),+122%,28,+155%,"2,4",-31%,51,+125%,31,+239%,5,-29%,0,-100%,0,-100%,,,,,,,,B,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,
