,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,generic_name,palm_ingredients,link
1890,Miel du Finistère,3770011739073,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,French Riviera - 90g,3770005306458,,,,['France'],[],[],,,,,,,,,?,,591,,2473 kj(591 kcal),,"43,6",,"24,81",,"38,7",,"26,5",,"8,2",,"0,1",,"0,04",,,,,,,,,,,,,90 g,['Sans conservateurs'],,,,,,,,,,,,
1892,Amandes caramélisées,5425028304063,,,,['France'],[],[],,,,,,,,,?,,481,,2013 kj(481 kcal),,20,,2,,68,,66,,9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,Petit pâté au fois gras et pistaches - 90g,3760141321651,,,,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,29,,"11,4",,"3,1",,"0,9",,"13,8",,"0,57",,"0,228",,,,,,,,,,,,,90 g,,"['FR 29.027.022 CE', 'Châteauneuf-du-Faou (Finistère, France)']",,,,,,,,,,,
1894,Suisen sushi,8410063064819,,,,['France'],[],[],,,,,,,,,?,,169,,707 kj(169 kcal),,"3,9",,"0,9",,"24,7",,"2,2",,"8,8",,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,,,,,,,
1895,Beaujolais nouveau,3760217671062,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Beaujolais', 'Beaujolais nouveau']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,['France'],,,,
1896,Soupe de carottes,3760020050412,,,,['France'],[],[],,,,,,,,,?,,19,,79 kj(19 kcal),,"0,61",,"0,09",,"2,66",,"0,25",,"0,42",,"0,168",,"0,067",,,,,,,,,,,,,,,,,,,,,,,,,,
1897,Vodka,3147699102299,C,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,,,
1898,microwave popcorn,10139707,,,,['France'],[],[],,,,,,,,,?,,402,,1682 kj(402 kcal),,"12,2",,"5,7",,"62,4",,"21,5",,7,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1899,rillettes pur canard - 120g,3559680021005,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],[],[],39.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,1.3 g,en quantité modérée,?,,416,+4%,1741 kj(416 kcal),+4%,"39,3",+7%,0,-100%,0,-100%,0,-100%,"15,4",-5%,"1,3",-5%,"0,52",-5%,5,-74%,C,-74%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,120 g,,,,,,,,,,,,,
1900,Caramel au beurre salé,3770006690129,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,Saucisse du Goëlo,0200975039696,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,Miel Montaãa 500gr Muria,8431523100731,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,Turrón - Artesania - 200g,95423944,,['Artesania'],,['France'],[],[],,,,,,,,,?,,473,,1979 kj(473 kcal),,25,,"2,8",,48,,43,,13,,"0,5",,"0,2",,,,,,,,,,,,,200 g,,,,,,,,,,,,,
1904,Suprême de foie d'oie pépites de figues,3461956702566,,,,['France'],[],[],,,,,,,,,?,,424,,1774 kj(424 kcal),,40,,14,,"6,9",,"5,8",,"7,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1905,Orange & citron confits enrobés de chocolat,3266054177793,,,,['France'],[],[],,,,,,,,,?,,461,,1929 kj(461 kcal),,20,,13,,63,,58,,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1906,Miel de France,3770002126004,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1907,Bratapfel Punsch - Gestacker Weinkellerei GmbH - 1l,4101080006077,,['Gestacker Weinkellerei GmbH'],['de:Punsch'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1 l,,,['Glas'],,,,,,['Allemagne'],['Nürnberg'],,,
