,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,generic_name,palm_ingredients,link
0,Bonbon eucalyptus - La Confiserie Bressaude,3389681000255,E,['La Confiserie Bressaude'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,77 g,en quantité élevée,0 g,en faible quantité,?,,400,+12%,1674 kj(400 kcal),+12%,0,-100%,0,-100%,98,+18%,77,+33%,0,-100%,0,-100%,0,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
1,Tea apple mix - 100g,8682109360302,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,100 g,,,,,,,,,,,,,
2,Fromage blanc 0% MG -,71066363,C,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs natures']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,0.11 g,en faible quantité,?,,46,-44%,192 kj(46 kcal),-44%,0,-100%,0,-100%,4,-4%,4,+3%,"7,5",+9%,"0,11",+7%,"0,044",+7%,-4,,A,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,,,,,
3,Escalope de Dinde - Maître Coq,0215510025256,D,['Maître Coq'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,?,,105,-13%,439 kj(105 kcal),-13%,1,-24%,"0,3",-26%,0,-100%,0,-100%,24,+5%,"0,18",-68%,"0,072",-68%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,"['Nutriscore', 'Nutriscore A']","['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,,,,,,,,
4,Les gaufres,3760099533656,,,,['France'],[],[],,,,,,,,,?,,441,,1845 kj(441 kcal),,23,,15,,50,,32,,"7,6",,"0,8",,"0,32",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
5,Soupe de langoustines - Groix & Nature - 480g,3760056414424,E,['Groix & Nature'],"['Plats préparés', 'Soupes', 'Soupes de crustacés', 'Soupes de langoustines']",['France'],"['Eau', 'langoustine ', '16', '9%', 'poissons** vin blanc ', 'sulfites', 'tomates pelées concassées ', 'tomates', 'jus de tomates', 'sel', 'acidifiant : acide citrique', 'échalote', 'carotte', ""huile d'olive"", 'armagnac', 'sel', 'ail', 'poivre', ""piment d'Espelette"", ' *Nephrops norvegicus', 'pêché en Atlantique Nord Est', ' **Pêchés en Atlantique Nord Est']","['Non végétalien', 'Non végétarien']",0.9 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,143,-34%,34,-40%,143 kj(34 kcal),-40%,"0,9",-54%,"0,2",-67%,1,-83%,0,-100%,"4,8",+118%,"1,2",+39%,"0,48",+39%,3,+83%,C,+83%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,480 g,,,"['Bouteille', 'Verre']",['E330 - Acide citrique'],"['Crustacés', 'Poisson', 'Anhydride sulfureux et sulfites']",3,,,,,,,
6,Aiguillettes de poulet aux trois fromages - 1000g,3356067666657,D,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],7 g,en quantité modérée,4.5 g,en quantité modérée,0.9 g,en faible quantité,1 g,en quantité modérée,?,,135,+7%,565 kj(135 kcal),+8%,7,+278%,"4,5",+845%,3,+232%,"0,9",+201%,15,-34%,1,+129%,"0,4",+129%,4,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1000 g,['Fabriqué en France'],"['FR 62.865.007 CE', 'Vitry-en-Artois (Pas-de-Calais, France)']",,,,,,,,,,,
7,Tendre & plus langue de boeuf,2498786041061,E,['Tendre & Plus'],"['Viandes', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Langues de bœuf']",['France'],[],[],10 g,en quantité modérée,3.6 g,en quantité modérée,1.7 g,en faible quantité,1 g,en quantité modérée,?,,153,-1%,640 kj(153 kcal),-0%,10,-3%,"3,6",-13%,"3,8",-6%,"1,7",+16%,12,+11%,1,+2%,"0,4",+2%,3,-38%,C,-38%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,
8,Windsor levures,0067031000201,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
9,Crackers Tomate-Cajou,3770006003363,,,,['France'],[],[],,,,,,,,,?,,377,,1577 kj(377 kcal),,"17,4",,"2,6",,"37,8",,"6,3",,"14,4",,"0,77",,"0,308",,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,,,
10,Chips de Sésamo y Chia - 160g,8200000000006,,,,['France'],[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,"13,37",,"6,5",,"61,3",,"0,52",,"8,5",,"0,25",,"0,1",,,,,,,,,,,,,160 g,,,,,,,,,,,,,
11,Crackers Pistache-Raisin,3770006003370,B,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],[],[],16.5 g,en quantité modérée,2.1 g,en quantité modérée,20.4 g,en quantité élevée,0.44 g,en quantité modérée,?,,399,-14%,1669 kj(399 kcal),-15%,"16,5",-17%,"2,1",-61%,"49,8",-16%,"20,4",+420%,"13,6",+37%,"0,44",-78%,"0,176",-78%,11,-29%,D,-29%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,,,,,,,,,
12,Boudin noir recette à l'ancienne - Maison Prunier,2477874019557,,['Maison Prunier'],,['France'],[],[],,,,,,,,,?,,274,,1146 kj(274 kcal),,25,,9,,"2,2",,"0,7",,10,,"1,5",,"0,6",,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,,,,,,,,,,,
13,Tarte normande 6/8 parts,2109999923241,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Chocolat blanc,8718537536153,,,,['France'],[],[],,,,,,,,,?,,552,,2310 kj(552 kcal),,"33,1",,"19,9",,"56,9",,"56,5",,"6,6",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
15,Quinoa,9100000158136,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Portion'],,,,,,,,,,
16,Oh happy the,3663787453291,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0617931257115,0617931257115,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1/2 Filet Mignon de porc fumé,2985425002588,,,,['France'],[],[],,,,,,,,,?,,257,,1075 kj(257 kcal),,"7,1",,"3,4",,"2,5",,"0,1",,46,,"6,7",,"2,68",,,,,,,,,,,,,,,,,,,,,,,,,,
19,Saumon fumé,0263890048617,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],6.75 g,en quantité modérée,1.75 g,en quantité modérée,0 g,en faible quantité,4.13 g,en quantité élevée,?,,158,-15%,661 kj(158 kcal),-14%,"6,75",-36%,"1,75",-15%,0,-100%,0,-100%,"24,51",+11%,"4,13",+46%,"1,652",+46%,12,-8%,D,-8%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
20,Canistrelli au vin blanc - Auchan,2030509005501,,['Auchan'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,
21,Colorants alimentaires - Vahiné - 6ml,15781918,,"['Vahiné', 'Mccormick']","['Additifs alimentaires', 'Colorants alimentaires']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,6 ml,,,,,,,,,,,,,
22,Yaourt Fermier Rhubarbe (au lait entier du jour),3760125340326,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['France'],[],[],2.4 g,en faible quantité,1.5 g,en quantité modérée,7.8 g,en quantité modérée,0.1 g,en faible quantité,?,,93,+1%,389 kj(93 kcal),+1%,"2,4",-27%,"1,5",-27%,8,-27%,"7,8",-23%,"4,3",+14%,"0,1",-13%,"0,04",-13%,1,-67%,B,-67%,,,,,,,,,,,,,,,,,,,,,
23,Cuisses de poulet roti - Le Gaulois,0217637026307,D,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,168,-12%,703 kj(168 kcal),-12%,10,-19%,"2,6",-22%,0,-100%,0,-100%,19,+3%,"1,4",+84%,"0,56",+84%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
24,Rôti de porc fumé,0278401038186,E,,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],6.3 g,en quantité modérée,2.9 g,en quantité modérée,0.9 g,en faible quantité,1.89 g,en quantité élevée,?,,141,-2%,590 kj(141 kcal),-1%,"6,3",+25%,"2,9",+39%,"1,2",+47%,"0,9",+44%,20,-11%,"1,89",+10%,"0,756",+10%,11,+54%,D,+54%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
25,Burg limo,8711501001824,,,,['France'],[],[],,,,,,,,,?,,137,,573 kj(137 kcal),,0,,0,,"33,3",,"32,9",,0,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ecorces d'orange Enrobees Chocolat,3275510022379,,,,['France'],[],[],,,,,,,,,?,,444,,1858 kj(444 kcal),,"20,7",,"3,2",,"56,3",,"34,7",,"5,6",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
27,Poulet d ici,2228351029190,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1880 Sugar Free Jijona Turrón Candy (7 Oz / 200 G),0725711101012,,,,['France'],[],[],,,,,,,,,?,,547,,2289 kj(547 kcal),,43,,"4,4",,31,,"2,7",,19,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
29,veloute de truite - René saint-lo - 48cl,3819064021091,,['René saint-lo'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,48cl,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
30,Thonade nature,3760035500186,,,,['France'],[],[],,,,,,,,,?,,286,,1197 kj(286 kcal),,21,,"3,07",,"0,5",,"0,15",,0,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,
31,French blond ale,3770013727009,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Carré Frais - ail fines herbes échalotes - Elle & Vire - 200g (8*25g),3480741000847,D,"['Elle & Vire', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fraîche', 'en:uncured-soft-cheese-spreadable-around-30-40-fat-flavoured']",['France'],[],[],15 g,en quantité modérée,11 g,en quantité élevée,2.7 g,en faible quantité,1.3 g,en quantité modérée,822,+28%,198,+21%,822 kj(198 kcal),+22%,15,+42%,11,+53%,"2,7",-49%,"2,7",-41%,13,+51%,"1,3",+115%,"0,52",+115%,12,+114%,D,+114%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,200 g (8*25g),,,['Frais'],,,,,,,,,,
33,Nappage blond abricot,3598560407058,,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,0,,0,,63,,63,,0,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
34,Pago smoothie,9001400102562,,['Pago'],,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,14,,13,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Rillettes de saumon - Saupiquet,3106000107019,E,['Saupiquet'],"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de saumon']",['France'],[],[],17 g,en quantité modérée,2 g,en quantité modérée,0.4 g,en faible quantité,1.2 g,en quantité modérée,?,,238,+8%,996 kj(238 kcal),+8%,17,-1%,2,-59%,"7,3",+229%,"0,4",-56%,14,+4%,"1,2",+5%,"0,48",+5%,3,-66%,C,-66%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,,,,,,,,
36,English breakfast the - Pure Leaf,8714100089118,,['Pure Leaf'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ravioles du Dauphiné,3760288490272,C,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles', 'Ravioles du Dauphiné']",['France'],[],[],13 g,en quantité modérée,8.5 g,en quantité élevée,1.4 g,en faible quantité,1.4 g,en quantité modérée,?,,287,+2%,1201 kj(287 kcal),+2%,13,+12%,"8,5",+12%,27,-9%,"1,4",-5%,13,0%,"1,4",-5%,"0,56",-5%,17,+5%,D,+5%,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,,"['Sans conservateurs', 'AOP']",,,,,,,,,,,,
38,Vitamine D,5400433164006,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Edam Jeune,2441843013129,,,,['France'],[],[],,,,,,,,,?,,324,,1356 kj(324 kcal),,24,,16,,0,,0,,26,,"2,5",,1,,,,,,,,,,,,,,,"['FR 84.007.011 CE', 'Avignon (Vaucluse, France)']",,,,,,,,,,,
40,Terrine de campagne,0211370014966,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,
41,La terrine de boeuf en gelée,18781304,,,['Terrines'],['France'],[],[],10 g,en quantité modérée,4.2 g,en quantité modérée,1.1 g,en faible quantité,0.8 g,en quantité modérée,?,,156,-48%,653 kj(156 kcal),-48%,10,-61%,"4,2",-56%,"1,1",-49%,"1,1",+41%,15,+7%,"0,8",-48%,"0,32",-48%,3,-83%,C,-83%,,,,,,,,,,,,,,,,,,,,,
42,Clementine bio,8437000985839,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
43,Sirop d'érable pur,0712038397884,,,,['France'],[],[],,,,,,,,,?,,220,,920 kj(220 kcal),,0,,0,,54,,48,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Duplarin M, 65 ML",4011444806253,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SQUIDGIES - Haribo,3103220045336,,['Haribo'],,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,0,,0,,83,,67,,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Palets chocolat noir bio - Biocoop,2500570002063,,['Biocoop'],,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"0,1",,0,,"2,5",,"0,6",,0,,0,,0,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,['Biocoop'],,,,,,
47,Terrine de campagne au piment d'Espelette,3770010140276,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",['France'],[],[],10.4 g,en quantité modérée,10.4 g,en quantité élevée,0 g,en faible quantité,2.98 g,en quantité élevée,?,,333,+3%,1393 kj(333 kcal),+3%,"10,4",-63%,"10,4",-4%,"3,5",+53%,0,-100%,"14,7",+5%,"2,98",+86%,"1,192",+86%,24,+24%,E,+24%,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
48,Olives vertes picholine,3441260004617,,,,['France'],[],[],,,,,,,,,?,,177,,741 kj(177 kcal),,"17,6",,"2,68",,1,,"0,4",,"1,3",,"3,3",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,,
49,Poppende øJeæbler popping eyeballs,0200030183258,,,,['France'],[],[],,,,,,,,,?,,537,,2247 kj(537 kcal),,30,,10,,61,,59,,"5,1",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
50,Compte affiné 18 mois,2890742050313,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Twinuts,61327436,,,,['France'],[],[],,,,,,,,,?,,545,,2280 kj(545 kcal),,34,,"5,2",,45,,"7,2",,13,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
52,Græskarhoveder pumpkin heads,0200030183326,,,,['France'],[],[],,,,,,,,,?,,539,,2255 kj(539 kcal),,31,,19,,57,,56,,"6,4",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
53,Burrata catalana,8425402462881,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Burrata']",['France'],[],[],18 g,en quantité modérée,12 g,en quantité élevée,1.25 g,en faible quantité,0.8 g,en quantité modérée,?,,217,-12%,908 kj(217 kcal),-12%,18,-14%,12,-10%,"1,25",-12%,"1,25",-1%,"14,7",+21%,"0,8",+44%,"0,32",+44%,10,+4%,C,+4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
54,Noix de bœuf séchée - Monique Ranou - 100g,36524389,,['Monique Ranou'],,['France'],[],[],,,,,,,,,?,,176,,736 kj(176 kcal),,"2,8",,"1,2",,"1,4",,"0,9",,"36,4",,"4,6",,"1,84",,,,,,,,,,,,,100 g,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",,,,,,,,,,,
55,Mascarpone Gorgonzola,0208718024077,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Gorgonzola et mascarpone']",['France'],[],[],35 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,?,,375,-2%,1569 kj(375 kcal),-2%,35,-4%,24,-6%,0,-100%,0,-100%,0,-100%,"0,6",-25%,"0,24",-25%,16,+34%,D,+34%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,['Gorgonzola et mascarpone'],,,,,,,,,,
56,Néctar de piña sin azúcar elaborado a base de - Aliada,8433329080507,,['Aliada'],,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,"0,5",,0,,7,,5,,0,,0,,0,,,,,,,,,,,,,,['en:FSC'],['FSC-C014047'],,,,,,,,,,,
57,Aubergines en morceaux - Magda - 500g,3434410075582,,['Magda'],,['France'],[],[],,,,,,,,,?,,35,,146 kj(35 kcal),,"0,5",,"0,1",,"4,5",,"2,1",,"1,5",,"0,01",,"0,004",,,,,,,,,,,,,500 g,,,,,,,,,,,,,
58,Terrine de campagne - Carrefour,2227153015288,,['Carrefour'],"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",['France'],[],[],30 g,en quantité élevée,12 g,en quantité élevée,1.6 g,en faible quantité,1.5 g,en quantité modérée,?,,338,+5%,1414 kj(338 kcal),+5%,30,+6%,12,+11%,"2,9",+27%,"1,6",+84%,15,+7%,"1,5",-6%,"0,6",-6%,20,+3%,E,+3%,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,['Carrefour'],,,,,,
59,Infinite session pale,0604565012500,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Soja Country Filets - Vantastic Foods,4260430656109,,['Vantastic Foods'],,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,344,,1439 kj(344 kcal),,"0,1",,0,,25,,"1,1",,61,,"1,41",,"0,564",,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,
61,Boudin noir,0233740025624,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté']",['France'],[],[],25.9 g,en quantité élevée,10.3 g,en quantité élevée,1.3 g,en faible quantité,1.4 g,en quantité modérée,?,,291,+19%,1218 kj(291 kcal),+19%,"25,9",+28%,"10,3",+31%,"3,4",-19%,"1,3",-38%,"11,2",+5%,"1,4",-3%,"0,56",-3%,19,+21%,E,+21%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,"['FR 58.079.005 CE', 'Clamecy (Nièvre, France)']",,,,,,,,,,,
62,Escalope extra fine de poulet,2600252010109,D,,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Point Vert'],,,,,,,,,,,,
63,Zamburiñas Gallega Espinaler,8427230265009,,,,['France'],[],[],,,,,,,,,?,,149,,623 kj(149 kcal),,"9,5",,"3,3",,"6,2",,"2,2",,"9,5",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
64,Cranberries,4044019751757,,,,['France'],[],[],,,,,,,,,?,,286,,1197 kj(286 kcal),,"1,6",,"0,1",,62,,56,,"0,5",,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,
65,Chicken Bone Broth,9343723001338,,,,['France'],[],[],,,,,,,,,?,,401,,1678 kj(401 kcal),,"0,5",,"0,2",,"57,3",,"2,7",,"39,1",,"0,604",,"0,242",,,,,,,,,,,,,,,,,,,,,,,,,,
66,Jambon Blanc X4 bio,2496846039423,,,,['France'],[],[],,,,,,,,,?,,176,,736 kj(176 kcal),,"9,9",,"3,5",,"0,5",,"0,5",,22,,"2,3",,"0,92",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
67,Duchesse - McCain,8710438104844,,['McCain'],,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Surgelé'],,,,,,,,,,
68,Pate d'amande,2600244043887,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Palmier au beurre,0200177014439,,,,['France'],[],[],,,,,,,,,?,,478,,2000 kj(478 kcal),,19,,12,,68,,24,,8,,"1,13",,"0,452",,,,,,,,,,,,,,,,,,,,,,,,,,
70,Lait de coco,3770013789038,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,162,,678 kj(162 kcal),,17,,"14,9",,"2,6",,"1,08",,"1,6",,"0,15",,"0,06",,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,
71,Petits pois et jeunes carottes - Auchan,3596710480937,B,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",['France'],[],[],0.6 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.57 g,en quantité modérée,?,,63,+9%,264 kj(63 kcal),+10%,"0,6",+21%,"0,2",+59%,"8,8",+8%,"3,7",+9%,"3,4",+10%,"0,57",-3%,"0,228",-3%,-5,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,"['EMB 56251E', 'Theix (Morbihan, France)']",,,,,['Auchan'],,,,,,
72,Filets de thon,3320150359252,,,,['France'],[],[],,,,,,,,,?,,333,,1393 kj(333 kcal),,29,,11,,0,,0,,18,,"1,36",,"0,544",,,,,,,,,,,,,,,,,,,,,,,,,,
73,Rubans,6395440457,,,,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,"2,5",,"1,5",,79,,55,,"2,7",,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,,,,
74,Espárragos blancos extra gruesos calidad extra - El Corte Inglés,8433329064620,C,['El Corte Inglés'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.88 g,en quantité modérée,?,,18,-5%,75 kj(18 kcal),-3%,"0,5",+101%,0,-100%,"2,2",+13%,"1,9",+62%,"1,2",-18%,"0,88",+11%,"0,352",+11%,-2,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,,,,
75,Champagne,3760168960451,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Sorbet Fraise,9900000002169,,,,['France'],[],[],,,,,,,,,?,,106,,444 kj(106 kcal),,0,,0,,26,,18,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Arbequine - Oliveraie Jeanjean,3760143532611,,['Oliveraie Jeanjean'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
