,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,eco_score,traceability_code,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,nova_score,quantity,markets,allergens,generic_name,additives,link,origin_detail,manufacturing,brand_owner,palm_ingredients,producer_info
947,Lumachine n - Barilla,8076802085424,['France'],[],[],?,?,,2,"0,5","72,2",100,"11,5",0,0,['Barilla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Tour De Suisse Lindt 278 GR - Lindt & Sprüngli,7610400067560,['France'],[],[],?,?,,?,,?,,?,,,"['Lindt & Sprüngli', 'Lindt']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Nuggets de poulet,3276288400109,['France'],[],[],?,319,1335 kj(319 kcal),"9,5",2,14,"0,6",13,"0,7","0,28",,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,9.5 g,en quantité modérée,2 g,en quantité modérée,0.6 g,en faible quantité,,+42%,+43%,-15%,0%,-17%,-54%,+2%,D,,0.7 g,en quantité modérée,-40%,-40%,2,-46%,B,-46%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,,,,,,,,,
950,Mix olive denocciolate mélange d'olives dénoyautées -  - 150g,8029689007690,['France'],[],[],?,212,887 kj(212 kcal),21,1,"2,6","0,06","1,5","3,8","1,52",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Snacks', 'Condiments', 'Snacks salés', 'Apéritif', 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives noires', 'Olives marinées', 'Olives dénoyautées', 'Olives noires dénoyautées', 'Olives vertes dénoyautées', 'Olives vertes marinées dénoyautées', ""Mélange d'olives""]","['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'IT-BIO-006', 'AB Agriculture Biologique']",21 g,en quantité élevée,1 g,en faible quantité,0.06 g,en faible quantité,,+14%,+13%,+16%,-63%,+71%,-78%,+7%,B,,3.8 g,en quantité élevée,+5%,+5%,12,+3%,D,+3%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,150 g,,,,,,,,,,
951,Confiture de fraise,3760278612400,['France'],[],[],?,255,1067 kj(255 kcal),"0,2",0,63,"60,9","0,31",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,0.2 g,en faible quantité,0 g,en faible quantité,60.9 g,en quantité élevée,,+18%,+17%,-17%,-100%,+19%,+20%,-30%,D,,0 g,en faible quantité,-100%,-100%,12,+37%,D,+37%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
952,Graines de sarrasin toastées - Franprix,3263851489715,['France'],[],[],?,?,,?,,?,,?,,,['Franprix'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],,,,,,,,,
953,Figues moelleuses - Paquito - 250g,3250391465415,['France'],[],[],?,248,1038 kj(248 kcal),"2,3","0,4","48,8","38,8","2,8","0,27","0,108",['Paquito'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']","['Nutriscore', 'Nutriscore B']",2.3 g,en faible quantité,0.4 g,en faible quantité,38.8 g,en quantité élevée,,-26%,-26%,-67%,-82%,-16%,-10%,-32%,,,0.27 g,en faible quantité,+208%,+208%,6,+25%,C,+25%,,,,,,,,,,,250 g,,,,,,,,,,
954,Vinaigre De Vin Rouge Aromatisé à La Framboise - Leader Price,3263850048616,['France'],['Vinaigre de framboise'],[],?,?,,?,,?,,?,,,['Leader Price'],"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",,,,,,,,,,,,,,,,B,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,['Leader Price'],,,,,,,,,
955,Les flutes feuilletees Bio - Franprix,3263855401911,['France'],[],[],?,556,2326 kj(556 kcal),37,25,40,"1,8",14,"2,2","0,88",['Franprix'],,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],,,,,,,,,
956,Café capsule Mexique - Casino Bio,3222477367579,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,['Casino Bio'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Amandes décortiquées grillees salées,3449710402044,['France'],[],[],?,606,2536 kj(606 kcal),"55,3","4,3","17,66","4,6","6,4",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,55.3 g,en quantité élevée,4.3 g,en quantité modérée,4.6 g,en faible quantité,,-3%,-3%,+7%,+7%,+35%,+18%,-71%,E,,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,
958,Flocons de sarrasin - Moulin des moines,3347430021579,['France'],[],[],?,349,1460 kj(349 kcal),"4,1","0,9","57,2","1,51","17,8","0,1","0,04",['Moulin des moines'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Burge piselli - Valsoia,8006040255150,['France'],[],[],?,116,485 kj(116 kcal),"1,8","0,2",11,,?,0,0,['Valsoia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Cappuccino,3250392968113,['France'],[],[],?,40,167 kj(40 kcal),"0,7","0,6",7,"6,6",1,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Spiruline Camu Camu,0602573385418,['France'],[],[],?,?,,?,,?,,?,,,,"['Compléments alimentaires', 'Spiruline']",,,,,,,,,,,,,,,,E,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,
962,sirop de menthe,2226214014147,['France'],[],[],?,278,1163 kj(278 kcal),"0,1",0,69,"0,5","0,01",0,0,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,,,,,,,,+16%,+13%,-9%,-100%,+12%,-99%,-91%,B,,,,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,
963,Soja cuisine - Auchan,3506719441754,['France'],[],[],?,68,285 kj(68 kcal),5,"0,8","2,3","1,9","3,1",,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Crèmes végétales', 'Crèmes végétales pour cuisiner', 'Crèmes végétales à base de soja pour cuisiner']",,5 g,en quantité modérée,0.8 g,en faible quantité,1.9 g,en faible quantité,,-56%,-56%,-66%,-53%,-15%,+10%,+6%,A,"['EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",,,,,,,,,50.8%,26.4%,8.8%,8.6%,5.3%,0.0%,91,"['Brique en carton', 'Bouchon en plastique']",,,,['Auchan'],,,,,,,,,
964,Langue de boeuf - Tendre & Plus,2498786000075,['France'],[],[],?,154,644 kj(154 kcal),10,"3,2","3,7","1,7",12,"0,93","0,372",['Tendre & Plus'],"['Viandes', 'Bœuf', 'Langues de bœuf']",,10 g,en quantité modérée,3.2 g,en quantité modérée,1.7 g,en faible quantité,,0%,+0%,-3%,-23%,-8%,+16%,+11%,E,,0.93 g,en quantité modérée,-5%,-5%,3,-38%,C,-38%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,"['Sachet en plastique', 'Etui en carton']",,,,,,,,,,,,,
965,Graine courges - JusteBio,3700146212349,['France'],[],[],?,586,2452 kj(586 kcal),48,"9,6","4,7","1,4",30,,,['JusteBio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Biscuits sablés écossais au beurre,29078455,['France'],[],[],?,509,2130 kj(509 kcal),"25,6","15,6","62,6","16,2",6,"0,6","0,24",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés au beurre']",,25.6 g,en quantité élevée,15.6 g,en quantité élevée,16.2 g,en quantité élevée,,+4%,+4%,+12%,+8%,-2%,-36%,-7%,C,,0.6 g,en quantité modérée,-10%,-10%,21,-9%,E,-9%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,,
967,Mileeven Pure Honey,5099303001260,['France'],[],[],?,?,,?,,?,,?,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,B,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
968,Baba au rhum,2030506449490,['France'],[],[],?,?,,?,,?,,?,,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",,,,,,,,,,,,,,,,B,,,,,,,,,,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,,,,,,,,,,,,,,
969,The vert Bio - Terre d'Oc,3700324435027,['France'],[],[],?,5,21 kj(5 kcal),"0,2","0,2",1,1,"0,2",,,"[""Terre d'Oc""]",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Glace - Häagen-Dazs,12153300,['France'],[],[],?,?,,?,,?,,?,,,['Häagen-Dazs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Tesco 240 Teabags 750G,5000119098665,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['card-carton', 'mixed plastic-packet']",,,,,,,,,,,,,
972,Haricots rouges bio,3574310204047,['France'],[],[],?,111,464 kj(111 kcal),"0,5",0,"14,3","3,8","8,5","1,08","0,432",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']","['Bio', 'Bio européen', 'FR-BIO-09']",0.5 g,en faible quantité,0 g,en faible quantité,3.8 g,en faible quantité,,-29%,-31%,-41%,-100%,-33%,+164%,-25%,B,,1.08 g,en quantité modérée,+173%,+173%,0,,B,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,,,,,,,,,,,
973,Sauté de veau pour blanquette - Thiriet,2128625008329,['France'],['Veau'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",423,100,423 kj(100 kcal),2,"0,9","0,5","0,5",20,"0,17","0,068",['Thiriet'],"['Viandes', 'Viandes de veau']","['Point Vert', 'Nutriscore', 'Nutriscore A']",2 g,en faible quantité,0.9 g,en faible quantité,0.5 g,en faible quantité,-32%,-44%,-43%,-82%,-79%,-76%,+61%,+20%,,,0.17 g,en faible quantité,-75%,-75%,-4,-181%,A,-181%,,,,,,,,['Surgelé'],['France'],1,,['Thiriet'],,,,,,,,,
974,Biscuit de noel - Légendes Gourmandes,3760155984958,['France'],[],[],?,340,1423 kj(340 kcal),"0,6",0,"74,29","29,8","8,39","0,19","0,076",['Légendes Gourmandes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Confiture bio abricots - Andros,990530101024168525,['France'],[],[],?,1,4 kj(1 kcal),25,0,59,59,"0,6",0,0,['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",25 g,en quantité élevée,0 g,en faible quantité,59 g,en quantité élevée,,-100%,-100%,+10962%,-100%,+11%,+17%,+20%,B,,0 g,en faible quantité,-100%,-100%,9,+0%,C,+0%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,,,
976,Le fromage blanc nature de brebis,3770012410032,['France'],[],[],?,?,,?,,?,,?,0,0,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de brebis', 'Fromage blanc de brebis']",,,,,,,,,,,,,,,,C,,0 g,en faible quantité,-100%,-100%,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,,,,,
977,Saucisse seche,3256228410993,['France'],[],[],?,442,1849 kj(442 kcal),36,13,2,1,27,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Noix de cajou crues,2609956051036,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,,,,,,,,,,,,E,,,,,,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,
979,BUTCHERON 400g - Carrefour,3276556538428,['France'],[],[],?,?,,?,,?,,?,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,
980,Chipolatas oignons persil,2224514024347,['France'],[],[],?,243,1017 kj(243 kcal),20,"7,3","0,5",0,16,"2,1","0,84",,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,20 g,en quantité modérée,7.3 g,en quantité élevée,0 g,en faible quantité,,+2%,+2%,+6%,+1%,-57%,-100%,+4%,E,"['FR 72.039.003 CE', 'Bonnétable (Sarthe, France)']",2.1 g,en quantité élevée,+17%,+17%,19,+14%,E,+14%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
981,Donuts chocolat lait,0260644017059,['France'],[],[],?,392,1640 kj(392 kcal),22,12,46,13,"5,6","1,1","0,44",,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat', 'en:Chocolate doughnuts']",,22 g,en quantité élevée,12 g,en quantité élevée,13 g,en quantité élevée,,-10%,-9%,-15%,-5%,+8%,-17%,-13%,D,,1.1 g,en quantité modérée,+6%,+6%,20,-7%,E,-7%,77.1%,13.7%,3.6%,3.5%,1.9%,0.0%,52,,,,,,,,,,,,,,
982,Nature Valley,0016000285736,['France'],[],[],?,?,,?,,?,,?,,,['Nature Valley'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Choco & Friends,8713305812385,['France'],[],[],?,554,2318 kj(554 kcal),34,19,57,57,"3,2",,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Vin rosé,3263280105194,['France'],[],[],?,?,,?,,?,,?,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,,,,,,,,D,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,,,,
985,Blanquette de veau et riz - Casino,3222477499881,['France'],[],[],?,144,602 kj(144 kcal),"5,3","2,1",17,"0,8","6,8","0,61","0,244",['Casino'],,['Nutriscore'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,,,
986,Vergnano - - Café Moulu 1882 : 100% Arabica 250G,8001800001541,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,-98%,-98%,-100%,-100%,-96%,-100%,-90%,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,
987,Confiture de fraise,3276220002910,['France'],[],[],?,996,4167 kj(996 kcal),"0,2",0,57,53,"0,5",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,0.2 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,,+359%,+357%,-17%,-100%,+7%,+5%,+13%,D,,0 g,en faible quantité,-100%,-100%,19,+118%,E,+118%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
988,Tomates séchées -,8029689007713,['France'],[],[],?,139,582 kj(139 kcal),13,"1,4","1,5","1,4","1,2","2,5",1,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée']","['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'AB Agriculture Biologique']",13 g,en quantité modérée,1.4 g,en faible quantité,1.4 g,en faible quantité,,-33%,-33%,+13%,-1%,-90%,-87%,-68%,E,,2.5 g,en quantité élevée,-17%,-17%,7,+28%,C,+28%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,,,,,,,,,,,,,,
989,Boudin noir aux oignons,3250392986049,['France'],[],[],?,293,1226 kj(293 kcal),"24,3","9,2","3,2","1,5","11,3","1,25","0,5",,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons']",,24.3 g,en quantité élevée,9.2 g,en quantité élevée,1.5 g,en faible quantité,,+15%,+16%,+12%,+10%,+6%,-26%,-3%,D,"['FR 56.246.008 CE', 'Sourn (Morbihan, France)']",1.25 g,en quantité modérée,-6%,-6%,17,+8%,D,+8%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,,
990,Prozis Black Tea,5600499588215,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,5",0,0,0,0,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Roti de porc,8179164,['France'],[],[],?,127,531 kj(127 kcal),"3,2","1,2","0,5","0,5","24,1","1,8","0,72",,"['Viandes', 'Porc', 'Rôtis de porc']",,3.2 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,,-12%,-11%,-36%,-43%,-39%,-20%,+8%,E,,1.8 g,en quantité élevée,+5%,+5%,4,-44%,C,-44%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
992,Cikolata - Ülker,8690504037637,['France'],[],[],?,602,2519 kj(602 kcal),44,44,49,12,"2,3",,,['Ülker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Haricots rouges,3760278630114,['France'],[],[],?,77,322 kj(77 kcal),0,0,"9,9",0,"5,8","0,6","0,24",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-51%,-52%,-100%,-100%,-54%,-100%,-49%,B,,0.6 g,en quantité modérée,+52%,+52%,-1,,A,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,,,,,,,,,,,
994,"Bruschetta Asperge verte - Carrefour - 140g, 150ml",0568841179380,['France'],"['Asperges vertes 81%', 'huile de toumesol', 'Grana Padano 3%', 'sel', ""correcteur d'acidité : acide citrique"", 'persil', 'poivre noir', "" Origine : Ce produit est fabriqué à partir d'asperges vertes originaires du Pérou"", ' Importé du Pérou par EMB 40028A htardis - TSA 91431 - 91343 MASSY Cedex - hance', ' O N°Cristal 09 69 39 7000 Poids Net: pour APPEL NON SURTAXE 140ge Contenance 150 ml C Suggestion de présentation']",['Non végétalien'],?,?,,?,,?,,?,,,['Carrefour'],,,,,,,,,,,,,,,,,,"['EMB 40028A', 'Bastennes (Landes, France)']",,,,,,,,,,,,,,,,['Verre'],,,"140g, 150ml",['Carrefour'],['Lait'],,['E330 - Acide citrique'],,,,,,
995,Terrine adultes Auchan,3596710091058,['France'],[],[],?,0,0 kj(0 kcal),5,0,0,0,10,0,0,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Poulet cuit fumé au bois de hêtre,2209620005817,['France'],[],[],?,191,799 kj(191 kcal),12,"3,4","0,7","0,7",20,"1,5","0,6",,"['Viandes', 'Volailles', 'Poulets']",,12 g,en quantité modérée,3.4 g,en quantité modérée,0.7 g,en faible quantité,,+26%,+27%,+106%,+127%,-65%,+59%,-2%,D,,1.5 g,en quantité modérée,+75%,+75%,11,+680%,D,+680%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
997,Sachet Bonbons tendres aux jus de Fruits SOLEIL 110 g SS - 100g,3770008114081,['France'],[],[],1217,290.9,1217 kj(290 kcal),10,"9,8",83,"0,5","0,5","0,02","0,008","['SOLEIL', 'Distri Products']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,10 g,en quantité modérée,9.8 g,en quantité élevée,0.5 g,en faible quantité,-21%,-18%,-19%,+438%,+825%,-0%,-99%,-76%,E,,0.02 g,en faible quantité,-83%,-83%,12,-17%,D,-17%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,100 g,,,Bonbons tendres aux jus de Fruits SS,,,,,,,
998,TEST Fleury Michon roti de porc,5695010,['France'],[],[],?,126,527 kj(126 kcal),3,"1,1","0,8","0,8",24,2,"0,8",,"['Viandes', 'Porc', 'Rôtis de porc']","['Nutriscore', 'Nutriscore C']",3 g,en quantité modérée,1.1 g,en faible quantité,0.8 g,en faible quantité,,-12%,-12%,-40%,-47%,-2%,+28%,+7%,E,,2 g,en quantité élevée,+16%,+16%,5,-30%,C,-30%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
999,Moutarde a l’ancienne - Auchan,3596710118076,['France'],[],[],?,155,649 kj(155 kcal),"11,8","0,9","2,3","1,6","7,2","5,2","2,08",['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Spaghetti n°5,8009385331053,['France'],[],[],?,357,1494 kj(357 kcal),"1,5","0,3",69,"1,4",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Chipolatas longues supérieures pur porc,3245415923682,['France'],[],[],?,?,,?,,?,,?,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,,,,,,,,,,,,E,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
1002,Filets de poulet - Carrefour,0219965029326,['France'],[],[],?,?,,?,,?,,?,,,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Point Vert'],,,,,,,,,,,,,,,D,"['FR 89.069.001 CE', 'Chailley (Yonne, France)']",,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,['Carrefour'],,,,,,,,,
1003,noix de cajou grillees au curry,2600299019424,['France'],[],[],?,580,2427 kj(580 kcal),44,"8,6",26,"8,6",18,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,44 g,en quantité élevée,8.6 g,en quantité élevée,8.6 g,en quantité modérée,,-3%,-3%,-5%,+1%,+2%,+33%,-4%,E,,0 g,en faible quantité,-100%,-100%,6,-21%,C,-21%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,
1004,Risotto aux légumes - Moulin des moines,3347430022095,['France'],[],[],?,?,,?,,?,,?,,,['Moulin des moines'],,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Häagen-dazs macadamia,3415587782015,['France'],[],[],?,274,1146 kj(274 kcal),"17,3","10,6","25,3","24,2",4,"0,16","0,064",['Häagen-Dazs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Pur jus bio d'orange - Greenweez,3701269701055,['France'],[],[],?,46,192 kj(46 kcal),"0,1",0,11,10,"0,2",,,['Greenweez'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]","['Bio', 'Bio européen']",0.1 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,,+7%,+5%,-43%,-100%,+13%,+9%,-68%,C,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
1007,"OUF! Pâte à tartiner Cacao, noisette, amande",3770008009974,['France'],[],"['Végétalien', 'Végétarien']",?,275,1151 kj(275 kcal),13,"1,7",31,26,"5,5","0,1","0,04",,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien']",13 g,en quantité modérée,1.7 g,en quantité modérée,26 g,en quantité élevée,,-47%,-47%,-60%,-79%,-38%,-41%,-12%,,,0.1 g,en faible quantité,-45%,-45%,6,-71%,C,-71%,,,,,,,,,,,,,,,,,,,,,
