,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,eco_score,traceability_code,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,nova_score,quantity,markets,allergens,generic_name,additives,link,origin_detail,manufacturing,brand_owner,palm_ingredients,producer_info
18,Boudin noir aux pommes,2443869025254,['France'],[],[],?,240,1004 kj(240 kcal),20,"7,4","4,1","3,6",11,"1,1","0,44",,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux pommes']",,20 g,en quantité modérée,7.4 g,en quantité élevée,3.6 g,en faible quantité,,+1%,+2%,+8%,+4%,-20%,-13%,+4%,D,,1.1 g,en quantité modérée,-7%,-7%,13,-4%,D,-4%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,,
19,Chorizo extra barbecue,8437003700095,['France'],[],[],?,385,1611 kj(385 kcal),"31,1","12,5","0,7","0,7","25,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Foie de porc,2409387012732,['France'],[],[],?,529,2213 kj(529 kcal),"4,2","1,7",1,1,21,"18,4","7,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Apiron,3505390928677,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gougeres - Erhard,3428420055566,['France'],[],[],?,359,1502 kj(359 kcal),24,14,20,"0,8",15,"1,1","0,44",['Erhard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Citrouille Halloween,26095158,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Terrine de boudin noir,3760168117374,['France'],[],[],?,172,720 kj(172 kcal),13,5,5,2,8,2,"0,8",,,,,,,,,,,,,,,,,,,"['FR 08.180.009 CE', 'Francheville (Ardennes, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tapenades aux olives vertes,3760118830681,['France'],[],[],?,144,602 kj(144 kcal),13,"2,5","4,46","0,56","1,76","3,16","1,264",,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,13 g,en quantité modérée,2.5 g,en quantité modérée,0.56 g,en faible quantité,,-35%,-35%,-40%,-23%,+102%,+45%,+8%,C,,3.16 g,en quantité élevée,+10%,+10%,13,-4%,D,-4%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,,
26,Viennoiseries,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Italian style beef ragu,29118106,['France'],[],[],?,134,561 kj(134 kcal),6,"2,2","2,6","1,2","17,1","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
