,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,packaging,traceability_code,additives,nova_score,allergens,generic_name,manufacturing,ingredients_origins,link,brand_owner,palm_ingredients
1452,Saucisson sec d'Auvergne IGP,2602618033586,['France'],[],[],?,393,1644 kj(393 kcal),"30,8","16,8",2,"1,14","26,8","5,22","2,088",,,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', ""Saucisson sec d'Auvergne""]",,30.8 g,en quantité élevée,16.8 g,en quantité élevée,1.14 g,en faible quantité,5.22 g,en quantité élevée,,+2%,+2%,+4%,+45%,+27%,+14%,-4%,+6%,+6%,24,+1%,E,+1%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,"['FR 43.262.001 CE', 'Vieille-Brioude (Haute-Loire, France)']",,,,,,,,,
1453,Soupe carottes saveur pain d'épices -,3760142950478,['France'],[],[],?,29,121 kj(29 kcal),"0,99","0,6","4,14","2,31","1,2",1,"0,4",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes de carottes']",,0.99 g,en faible quantité,0.6 g,en faible quantité,2.31 g,en faible quantité,1 g,en quantité modérée,,-12%,-19%,-37%,-18%,+7%,+20%,+59%,+45%,+45%,4,+105%,C,+105%,21.3%,35.1%,16.9%,11.3%,10.8%,4.5%,98,,,,,,,,,,,,
1454,Petit salé,2408679022701,['France'],[],[],?,206,862 kj(206 kcal),"15,65","6,15","0,71","0,71","15,65","2,01","0,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 61.077.012 CE', 'Cerisé (Orne, France)']",,,,,,,,,
1455,Banane Bio + equitable,0219616015098,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,
1456,Hirschpfeffer -  - 2000g,7610195026483,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,2000 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,Schweinshals geräuchert -  - 1112g,2911027011123,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,1112 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,Salzspeck -  - 1954g,2911027019549,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,1954 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,3700353305308,3700353305308,['France'],[],[],?,560,2343 kj(560 kcal),8,6,5,4,9,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Lyonerwursch - Cactus,5400501722909,['France'],[],[],?,173,724 kj(173 kcal),12,"5,2","0,8","0,5","15,1","2,1","0,84",,['Cactus'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,Pâtes de fruits,3760280471002,['France'],[],[],?,?,,?,,?,,?,,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,,,,,,,,,,,,,,,,,,,,,,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,
