,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,packaging,traceability_code,additives,nova_score,allergens,generic_name,manufacturing,ingredients_origins,link,brand_owner,palm_ingredients
0,Glenryck Pilchards In Brine,5010793379271,['France'],[],[],?,749,3134 kj(749 kcal),"11,2",4,1,1,"19,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Séré maigre -  - 500g,28504115,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mini ananas au rhum,3493372920040,['France'],[],[],?,110,460 kj(110 kcal),"0,046","0,046","20,88","20,58","0,4","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Liebig,112302658,['France'],[],[],?,?,,?,,?,,?,,,,['Liebig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Le Neuville aux herbes,3362420000174,['France'],[],[],?,257,1075 kj(257 kcal),"20,5","14,1","2,2","2,2",16,"1,36","0,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Higos Secos,8427123400050,['France'],[],[],?,240,1004 kj(240 kcal),"0,5","0,1","51,6","48,9","2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pruneaux,3760102440117,['France'],[],[],?,234,979 kj(234 kcal),"0,3","0,08",54,35,2,"0,001",0,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Pruneaux']",['Sans conservateurs'],0.3 g,en faible quantité,0.08 g,en faible quantité,35 g,en quantité élevée,0.001 g,en faible quantité,,-2%,-2%,-19%,-35%,+2%,-3%,+6%,-93%,-93%,3,+35%,C,+35%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,,,,,,
7,Déjeunette pavot - Auchan,2030500025645,['France'],[],[],?,?,,?,,?,,?,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,
8,Douceur vegetale,2016980010302,['France'],[],[],?,73,305 kj(73 kcal),"1,8","0,2",10,"8,3","3,7","0,05","0,02",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Vinaigre balsamique de Modène,3760133673461,['France'],[],[],?,54,226 kj(54 kcal),0,0,13,13,0,5,2,,,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,5 g,en quantité élevée,,-63%,-63%,-100%,-100%,-59%,-55%,-100%,+6962%,+6962%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,
10,Rolladin,7290000256085,['France'],[],[],?,456,1908 kj(456 kcal),"13,9","4,5","77,7","66,5","4,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,haw roll sweet,6906312002142,['France'],[],[],?,315,1318 kj(315 kcal),0,0,"76,9",30,"0,6","0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Esparragos blancos de Navarra - Auchan,8411108604083,['France'],[],[],?,14,59 kj(14 kcal),0,0,"1,8",1,"1,3","0,9","0,36",,['Auchan'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']","['Bio', 'Bio européen', 'ES-ECO-025-NA']",0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.9 g,en quantité modérée,,-26%,-23%,-100%,-100%,-8%,-15%,-12%,+14%,+14%,-2,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,['Auchan'],,,,,,,,,,,
13,Dessert de pomme/framboise - Finesse des Vergers,3590590022751,['France'],[],[],?,61,255 kj(61 kcal),"0,42","0,23","13,66",11,"0,53","0,003","0,001",,['Finesse des Vergers'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Merguez petit prix - Socopa,3039050635082,['France'],[],[],?,?,,?,,?,,?,,,,['Socopa'],E,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,,,,,,,,,,,,,,,,,,,,,,,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,,,,,,,,,
15,Noisettes,5410667044371,['France'],[],[],?,717,3000 kj(717 kcal),69,"4,9",6,5,14,0,0,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes']",,69 g,en quantité élevée,4.9 g,en quantité modérée,5 g,en quantité modérée,0.0001 g,en faible quantité,,+7%,+8%,+11%,+2%,-36%,+15%,-8%,-99%,-99%,3,+410%,C,+410%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,,,,,,
16,Lait de soja au chocolat -,8850267112839,['France'],[],[],?,60,251 kj(60 kcal),7,"3,5",28,24,7,0,0,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Boissons végétales de soja au chocolat']",['Sans conservateurs'],7 g,en quantité modérée,3.5 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,,-17%,-17%,+217%,+616%,+202%,+183%,+100%,-100%,-100%,4,,C,,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,,,,,,,,,,,,
17,Pruneaux d'Agen dénoyautés - 500g,3445414090051,['France'],[],[],?,260,1088 kj(260 kcal),"3,3",0,52,38,"2,4",0,0,500 g,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,3.3 g,en quantité modérée,0 g,en faible quantité,38 g,en quantité élevée,0 g,en faible quantité,,+8%,+8%,+817%,-100%,-3%,+5%,+28%,-100%,-100%,5,+128%,C,+128%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,,,,,,
18,Choucroute garnie - Maingourd,3112940149897,['France'],[],[],?,75,314 kj(75 kcal),"5,7","1,9","1,1","0,5","3,8","1,1","0,44",,['Maingourd'],C,"['Conserves', 'Plats préparés', 'Choucroutes', 'Plats préparés en conserve', 'Choucroutes garnies']",,5.7 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,-34%,-33%,-33%,-41%,-50%,-14%,-31%,-17%,-17%,3,-47%,C,-47%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,['Conserve'],,,,,,,,,,
19,High protein dessert - Bulkpowders,5055950603271,['France'],[],[],?,368,1540 kj(368 kcal),"3,84","1,49","8,5","4,2",75,2,"0,8",,['Bulkpowders'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Cocktail de jus (Ananas, mangue)",0065400011254,['France'],[],[],?,55,230 kj(55 kcal),0,0,"14,2","12,9",0,"0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Coffee Joy cookies,8996001301661,['France'],[],[],?,407,1703 kj(407 kcal),"18,9",0,"72,6","14,8","6,7","0,374","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Yaourt de brebis fermier,3760248820279,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Looza passion fruit,5410188525199,['France'],[],[],?,60,251 kj(60 kcal),0,0,14,14,"0,3",0,0,,['Looza'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Cuisse de dinde,0202471025913,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Cuisses de dinde']",,,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,
25,Yaourt nature,6091066158020,['France'],[],[],?,53,222 kj(53 kcal),"3,3",1,"6,6",0,"3,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jus de pomme 100% pur jus -,2003274640758,['France'],[],[],?,?,,?,,?,,?,,,,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,,,,,,,,,,,,,,,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,
27,Jus de Poire,3580283536252,['France'],[],[],?,57,238 kj(57 kcal),"0,5","0,5",12,10,"0,5","0,01","0,004",,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de poire']",['Fabriqué en France'],0.5 g,en faible quantité,0.5 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,,+12%,+13%,+110%,+1055%,+3%,+0%,+54%,+38%,+38%,5,+10%,C,+10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
28,Jambon à l'ancienne,2252519022891,['France'],[],[],?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-19%,-19%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,5,-49%,C,-49%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,
29,Gourmand à l'orange - Fortwenger,3279130112465,['France'],[],[],?,371,1552 kj(371 kcal),8,"0,81","67,3","36,4","6,2","0,23","0,092",,['Fortwenger'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fusilli Bolognese,5601068021560,['France'],[],[],?,111,464 kj(111 kcal),3,1,9,"1,2","11,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Poule,0248277050186,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.506.001 CE', 'Licques (Pas-de-Calais, France)']",,,,,,,,,
32,Pain de campagne - 400g,3289669012907,['France'],[],[],?,?,,?,,?,,?,,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Café Crème Soluble 3 En 1 G7,8935024129357,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Buddha Bowl Vegan,3770000831436,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,"['Plats préparés', 'Salades', 'Salades composées', 'Buddha Bowl']","['Végétarien', 'Végétalien', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Pain d'epices pur miel gingembre 6%,3760216390421,['France'],[],[],?,328,1372 kj(328 kcal),"3,8","0,3",68,38,"4,3","0,3","0,12",,,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,3.8 g,en quantité modérée,0.3 g,en faible quantité,38 g,en quantité élevée,0.3 g,en quantité modérée,,-3%,-3%,+9%,-76%,-4%,-6%,-1%,-31%,-31%,13,-8%,D,-8%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,
36,Moulage de chocolat au lait décoré - 70g,3700843526244,['France'],[],[],?,577,2414 kj(577 kcal),38,23,53,53,"5,6","0,16","0,064",70 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Trenette al Nero Di seppia,8008101009023,['France'],[],[],?,376,1573 kj(376 kcal),"1,3","0,1",78,"2,6",12,"0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Lilly Foods Frangipanes 10X360G 9 Pièces,5411806720057,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bonhomme de Liège - La Lorraine,5410683073935,['France'],[],[],?,334,1397 kj(334 kcal),"6,9","3,2",60,25,"6,2","0,93","0,372",,['La Lorraine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,43448593,43448593,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,The Beautiful Lefkara - 250g,5290326000074,['France'],"['Sugar', 'maize starch', 'water', 'dextrose', 'acid: citric acid', 'natural colours: ', 'carmines', 'lutein', 'paprika extract', 'flavorings', ' May contain traces of nuts']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E120 - Acide carminique', 'E161b - Lutéine', 'E160c - Extrait de paprika']",4,,,,,,,
42,Min't bonbons menthe,3560070319237,['France'],[],[],?,233,975 kj(233 kcal),0,0,97,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Sicilienne - Olives vertes cassées,3473650200057,['France'],[],[],?,290,1213 kj(290 kcal),"31,7","3,39","0,3","0,1","0,9","4,6","1,84",,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Salsa d'olives au poivron - L'épicurien - 100g,3441260800219,['France'],[],[],?,301,1259 kj(301 kcal),27,"2,9",11,"9,4","1,5","0,4","0,16",100 g,"[""L'épicurien""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sandre foie gras confit d'oignon,3389090020004,['France'],[],[],?,167,699 kj(167 kcal),12,"5,8","3,7",1,11,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Growing up milk 4,5051594001930,['France'],[],[],?,50,209 kj(50 kcal),"1,9","0,4","6,5","5,8","1,3","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Fleur d'oranger,3534613515905,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-15', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PHILÉOS,5205541001294,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Swiss cereal drink oat gluten free,7610612016202,"['France', 'Suisse']","['Eau', 'avoine', 'huile de tournesol oléique', 'sel marin']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,47,197 kj(47 kcal),2,"0,2",7,5,"0,8","0,07","0,028",,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Avoine'],,,,,,
50,Wintertraum Edelmarzipan Stollen,22145710,['France'],[],[],?,402,1682 kj(402 kcal),17,8,57,39,"4,2","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,New bare,3770012137038,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Cafeine 200 mg,5060343740716,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3700146208786,3700146208786,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Lasagnes à La Bolognaise Bien Vu,",3660992005017,['France'],[],[],?,123,515 kj(123 kcal),"4,3","1,6",16,"4,1","4,3","0,88","0,352",,['Bien vu'],D,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']",,4.3 g,en quantité modérée,1.6 g,en quantité modérée,4.1 g,en faible quantité,0.88 g,en quantité modérée,,-8%,-8%,-29%,-37%,+28%,+51%,-32%,+12%,+12%,3,+30%,C,+30%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,,,,,,,,,,,
55,Couronne tranchée 800gr,0230012012467,['France'],[],[],?,273,1142 kj(273 kcal),"1,4","0,4",55,"1,5","8,9",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Raclette au lait cru - Reflets de France,0209608061929,['France'],[],[],?,360,1506 kj(360 kcal),28,"18,3",1,1,"25,5","1,5","0,6",,['Reflets de France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Hakao Raviolis aux crevettes,3339230009949,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli chinois', 'Ravioli à la crevette']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Aceite de oliva virgen extra -  - 1L,8437004841117,['France'],"[""100% huile d'olive extra vierge""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",3700,900,3700 kj(900 kcal),100,13,0,0,0,0,0,1L,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,+5%,+3%,+5%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,2,,Huile d'olive,,,,,
59,Confiserie tonys des montagnes,3389681002488,['France'],[],[],?,400,1674 kj(400 kcal),0,0,98,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Moutarde corse - 100g,3770002427309,['France'],[],[],?,?,,?,,?,,?,,,100 g,,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,,,,,,,,,,,,,,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,
61,Sablés au caramel beurre salé - 125g,02334226,['France'],[],[],?,493,2063 kj(493 kcal),22,13,67,23,"6,8","1,1","0,44",125 g,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés au beurre']",,22 g,en quantité élevée,13 g,en quantité élevée,23 g,en quantité élevée,1.1 g,en quantité modérée,,+1%,+1%,-4%,-10%,+5%,-10%,+5%,+65%,+65%,25,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,
62,Chocolate marshmallows,0200030115563,['France'],[],[],?,357,1494 kj(357 kcal),"9,4","5,8",67,60,"2,9",0,0,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pâte fantastique - Groupe partner,3437017052673,['France'],[],[],?,?,,?,,?,,?,,,,['Groupe partner'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Biscuits à l'avoine,5407003840100,['France'],[],[],?,439,1837 kj(439 kcal),17,"1,1",62,23,"7,3","0,19","0,076",,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', ""Biscuits à l'avoine""]",,17 g,en quantité modérée,1.1 g,en faible quantité,23 g,en quantité élevée,0.19 g,en faible quantité,,-5%,-5%,-17%,-86%,+6%,+2%,-2%,-69%,-69%,11,-29%,D,-29%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
65,3700271942029,3700271942029,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Thé vert du Japon,31664455,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bonbon gras,3760203330126,['France'],[],[],?,451,1887 kj(451 kcal),24,11,52,22,6,"1,46","0,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Chipolata,2873445046180,['France'],[],[],?,235,983 kj(235 kcal),"19,2",7,"3,8","0,6",12,"4,5","1,8",,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,19.2 g,en quantité modérée,7 g,en quantité élevée,0.6 g,en faible quantité,4.5 g,en quantité élevée,,-2%,-2%,+2%,-3%,+225%,-5%,-22%,+150%,+150%,18,+8%,D,+8%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,"['FR 64.229.001 CE', 'Gamarthe (Pyrénées-Atlantiques, France)']",,,,,,,,,
69,Sandwich Jambon Beurre,3220000007268,['France'],[],[],?,220,920 kj(220 kcal),"3,1","1,4","35,6","1,6","11,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Ile fondante,3497679508284,['France'],[],[],?,69,289 kj(69 kcal),"0,6","0,5","12,7",11,"3,1","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,NOIX DE CAJOU,3481010098862,['France'],[],[],?,631,2640 kj(631 kcal),50,"9,5",22,"5,3",23,"0,05","0,02",,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,50 g,en quantité élevée,9.5 g,en quantité élevée,5.3 g,en quantité modérée,0.05 g,en faible quantité,,+5%,+6%,+8%,+12%,-14%,-18%,+23%,-92%,-92%,7,-8%,C,-8%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,
72,Diabolici blond of hell - Anthony Martin - 33cl,5410218005769,['France'],"['eau', ""malt d'orge"", 'sucre', 'houblon', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",263,?,263 kj(63 kcal),?,,?,,?,,,33 cl,['Anthony Martin'],C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bières blondes', 'Bière triple']","['Point Vert', 'Déconseillé aux femmes enceintes', 'Triman', ""Belgium's Finest Beers""]",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Leclerc'],"['Bouteille', 'Verre']",,,3,['Gluten'],,['Belgique'],,,,
73,Saumon fumé irlande issu agriculture bio,2469440037522,['France'],[],[],?,169,707 kj(169 kcal),"9,11","2,33",0,0,"21,8","3,24","1,296",,,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['Bio'],9.11 g,en quantité modérée,2.33 g,en quantité modérée,0 g,en faible quantité,3.24 g,en quantité élevée,,-9%,-9%,-13%,+13%,-100%,-100%,-1%,+15%,+15%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,"['FR 73.179.008 CE', 'Motte-Servolex (Savoie, France)', 'EMB 73171', 'Montmélian (Savoie, France)']",,,,,,,,,
74,Waterzooi de volaille -,3444110086016,['France'],"['Viande de poulet ', '48%', 'légumes rissolés ', '32%', ' ', 'carottes', 'poireaux', 'laurier', 'thym', 'persil', 'huile de tournesol', 'sauce ', '20%', ' ', 'eau', 'crème ', 'crème', 'stabilisant : carraghénanes', 'Lait', ' ', 'gélatine', 'Sulfites', ' fécule de pomme de terre', 'sel', 'poivre']","['Non végétalien', 'Non végétarien']",?,95,397 kj(95 kcal),"4,6","1,45","3,6",2,10,"0,4","0,16",,,,"['Plats préparés', 'Waterzooi']",,4.6 g,en quantité modérée,1.45 g,en faible quantité,2 g,en faible quantité,0.4 g,en quantité modérée,,-41%,-41%,-36%,-36%,-73%,-4%,+43%,-58%,-58%,-2,-151%,A,-151%,,,,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine']",4,"['Lait', 'Anhydride sulfureux et sulfites']",,,,,,
75,08974347,08974347,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Dominus Double - Anthony Martin - 33cl,5410218410006,['France'],"['eau', ""malt d'orge"", 'maïs', 'sucre', 'orge torréfié', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",234,?,234 kj(56 kcal),?,,?,,?,,,33 cl,['Anthony Martin'],C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bière double', 'Bières brunes']","['Point Vert', 'Déconseillé aux femmes enceintes', 'Triman', ""Belgium's Finest Beers""]",,,,,,,,,,,+7%,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Leclerc'],"['Bouteille', 'Verre']",,,3,['Gluten'],,['Belgique'],,,,
77,Tripes à l'ancienne,3444110098019,['France'],[],[],?,72,301 kj(72 kcal),"1,32","0,68","0,5","0,2","14,79",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
