,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,labels,quantity,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,generic_name,packaging,manufacturing,traceability_code,ingredients_origins,palm_ingredients,link
516,Lait demi-écrémé des campagnes françaises - Auchan - 1l,3254560099470,"['Auchan', ""L'oiseau"", 'Auchan Production', 'Groupe Auchan']",['Auchan'],['France'],['Lait demi-écrémé stérilisé UHT'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,45,188 kj(45 kcal),"1,5",1,"4,8","4,8","3,2","0,1","0,04",C,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",,-4%,-11%,0%,-1%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,1,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,0,B,['Conditionné en France'],1 l,-5%,-3%,+0%,-10%,-10%,-100%,-100%,Lait demi-écrémé stérilisé UHT,"['Brique', 'Carton']","['Candia (Filiale Sodiaal International) - 8 Rue des Quais - 72800 Le Lude (Site fermé depuis le 30/06/2014)', 'Sarthe', 'Pays de la Loire', 'Candia (Filiale Sodiaal International) - 1040 Route Nationale - 59400 Awoingt', 'Nord', 'Nord-Pas-de-Calais', 'France']","['FR 72.176.002 CE', 'Lude (Sarthe, France)', 'FR 59.039.030 CE', 'Awoingt (Nord, France)']",,,
517,Grignottes de Poulet Tex Mex,3254560109339,,,['France'],[],,[],?,212,887 kj(212 kcal),12,"3,2","2,56","2,5",23,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Tortelloni Ricotta Epinards - Auchan - 500g,3254560153257,"['Auchan', 'Le Traiteur', 'Groupe Auchan']",['Auchan'],['France'],"['Pâte ', '55 %', ': farine de blé tendre ', 'GLUTEN', ' 35%,', 'OEUFS 11 %', 'eau', 'semoule de blé dur ', 'GLUTEN', '\rFarce ', '45 %', ': ricotta ', 'LAIT', ' 18,3 % [lactosérum', 'lactosérum concentré', 'crème]', 'chapelure [farine de blé', 'levure de bière', 'sel]', 'eau', 'épinards 4,5 %', 'poudre de lactosérum', 'fromages ', 'lait', 'sel', 'présure', ""conservateur : lysozyme d'oeuf"", 'flocons de pommes de terre', 'fibres végétales', 'sel', 'arômes naturels', 'arômes', 'mascarpone [crème', 'lait', ""correcteur d'acidité : acide citrique]"", 'noix de muscade']","['E1105 - Lysozyme', 'E330 - Acide citrique']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1021,?,1021 kj(244 kcal),"4,4","2,9",39,"4,1","9,8","1,4","0,56",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Frais', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Plats préparés frais', 'Pâtes fraîches', 'Tortellini', 'Tortellini ricotta & épinards', 'Tortellinis frais']",+8%,,-11%,+9%,+15%,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,"['Œufs', 'Gluten', 'Lait']",4,4.4 g,en quantité modérée,2.9 g,en quantité modérée,4.1 g,en faible quantité,1.4 g,en quantité modérée,8,C,"['Point Vert', 'Eco-Emballages', 'Elaboré en Italie']",500 g,+7%,+33%,+71%,+42%,+42%,+129%,+129%,Pâtes fraîches aux œufs farcies à base de ricotta et épinards,"['Frais', 'Sachet plastique', 'Sous atmosphère protectrice']",['Italie'],['IT 589-L CE'],,,
519,Boeuf bourgignon et pates - Auchan Le Traiteur,3254560169913,['Auchan Le Traiteur'],['Auchan'],['France'],"['Pâtes alimentaires précuites 42% [eau', 'nouilles 16% {semoule de BLÉ dur', ' poudre de blanc d*OEUF', 'huile de colza', 'sel]', 'viande de bœuf traitée en salaison', 'blanchie et précuite 22% [poitrine de bœuf 15% ', 'Origine : France', 'eau', ' fécule de pomme de terre', ' protéines de LAIT', 'arômes naturels', 'maltodextrine de blé et/ou maïs', 'antioxydant ascorbate de sodium', 'sel]', 'vin \rrouge 11% ', 'contient SULFITES', 'eau', 'carottes en rondelle 4', '6%', 'oignons grelots 3,3%', 'oignon émincé 2,3%', 'champignons de Paris émincés 1,7% ', 'champignons de Paris', 'eau', 'sel', 'acidifiant acide citrique', 'antioxydant : acide ascorbique', 'arôme ', 'arôme ', 'contient LAIT', 'acidifiant : acide citrique', 'lardons cuits fumés 1,3% [poitrine de porc ', 'Origine : France', 'sel', 'dextrose', 'arôme de fumée', 'acidifiant : acide citrique', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium]', 'amidon modifié de maïs', 'gélatine de boeuf', 'huile de colza', 'purée de ail en purée ', 'ail', 'sel', 'acidifiant : acide citrique', 'extrait de MALT', 'arômes', 'poudre de champignon', ' Traces éventuelles de soja', 'céleri', 'poissons', 'crustacés', 'mollusques', ' graines de sésame et fruits à coque']","['E301 - Ascorbate de sodium', 'E330 - Acide citrique', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E428 - Gélatine']","['Non végétalien', 'Non végétarien']",?,110,460 kj(110 kcal),"2,9","0,7",14,"0,9","6,5","0,65","0,26",,['Plat en sauce'],,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",4,2.9 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,0.65 g,en quantité modérée,-1,A,['Fabriqué en France'],,,,,,,,,,['Barquettes'],['France'],"['EMB 62865Z', 'Vitry-en-Artois (Pas-de-Calais, France)']",['France'],,
520,Merguez Véritables - Auchan,3254560233843,['Auchan'],['Auchan'],['France'],"['VIANDE DE BOEUF ORIGIN FRANCE* ET DE MOUTON ORIGINE EPICES? ET PLANTES AROMATIQUES?', 'SEL', 'SUCRE DE CANNE*', 'AROMES NATURELS', 'ANTIOXYDANT: ACIDE ASCORBIQUE', 'FERMENTS', ' BOYAU NATUREL OE MOUTON', ""? INQREOIENT$ DE L'AGRICULTURE BIOLOGjQUE""]",['E300 - Acide ascorbique'],"['Non végétalien', 'Non végétarien']",?,217,908 kj(217 kcal),15,"7,7","2,9","0,5",17,"1,6","0,64",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,-17%,-30%,+37%,+19%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,4,15 g,en quantité modérée,7.7 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,16,D,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Nutriscore', 'Nutriscore D']",,-17%,-16%,-57%,-16%,-16%,-15%,-15%,,['Barquette'],,"['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",,,
521,15 saucisses de volaille,3254560233874,,,['France'],[],,[],?,272,1138 kj(272 kcal),"22,2","9,5","0,5","0,5","17,6","1,47","0,588",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,+51%,+88%,-60%,+7%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,22.2 g,en quantité élevée,9.5 g,en quantité élevée,0.5 g,en faible quantité,1.47 g,en quantité modérée,18,D,,,+49%,+162%,-4%,-17%,-17%,+83%,+83%,,,,,,,
522,Saucisses de dinde,3254560233980,,,['France'],[],,[],?,272,1138 kj(272 kcal),22,"9,5","0,5","0,5",18,"1,5","0,6",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Volailles', 'Dindes', 'Saucisses de volaille', 'Saucisses de dinde']",,+10%,+29%,-82%,+15%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,22 g,en quantité élevée,9.5 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,18,D,,,+13%,+75%,-43%,-31%,-31%,+19%,+19%,,,,,,,
523,Chipolatas superieur,3254560242142,,,['France'],[],,[],?,213,891 kj(213 kcal),"15,4",6,"1,6","0,5",18,"1,7","0,68",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,-11%,-19%,+37%,+17%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,15.4 g,en quantité modérée,6 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,14,D,,,-11%,-17%,-21%,-6%,-6%,-16%,-16%,,,,"['EMB 72080B', 'Cherré (Sarthe, France)']",,,
524,Chipolatas au Roquefort - Mmm ! - 360g,3254560242302,"['Mmm !', 'Auchan']",['Auchan'],['France'],"['Viande de porc 84', '6 % ', 'épaule de porc origine France', 'Roquefort AOP 6', '77 % ', 'lait de brebis', 'sel de mer', 'levains lactiques', 'présure animale', 'penicilium roqueforti', 'eau', 'sel', 'arômes naturels', 'dextrose', 'épice et plantes aromatiques', 'antioxydant : acide ascorbique', ' Boyau naturel de mouton']",['E300 - Acide ascorbique'],"['Non végétalien', 'Non végétarien']",?,205,858 kj(205 kcal),15,6,"0,6","0,5",17,"1,7","0,68",D,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Saucisses au fromage']",,-14%,-21%,-49%,+10%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Lait'],4,15 g,en quantité modérée,6 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,14,D,"['Viande-francaise', 'Viande Porcine Française', 'Point Vert']",360 g,-14%,-17%,-21%,-6%,-6%,-16%,-16%,,"['Frais', 'Plastique']",['France'],"['FR 47.032.001 CE', 'Bon-Encontre (Lot-et-Garonne, France)']",['France'],,
525,Terrine Forestière - Auchan - 170g,3254560269668,['Auchan'],['Auchan'],['France'],"['gras de porc ', 'origine : France', ' 42 %', 'foie de porc ', 'origine : France', ' 23 %', 'eau', 'champignons 9 % ', 'Bolets jaunes', 'champignons noires', 'lactaires', 'trompettes des morts', 'crème fraîche ', 'contient LAIT', 'sel', 'protéines de SOJA', 'sirop de glucose', 'arômes ', 'contient SOJA', 'Porto rouge', 'dextrose', 'épices et plantes aromatiques', 'protéines de LAIT', 'protéine de BLÉ', 'plasma de porc', 'antioxydants : érythorbate de sodium', 'ascorbate de sodium', 'colorant : carmins', 'conservateurs : nitrite de sodium', 'anhydride sulfureux']","['E316 - Érythorbate de sodium', 'E301 - Ascorbate de sodium', 'E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1459,?,1459 kj(349 kcal),34,14,"2,6","1,7","9,2","1,8","0,72",,['Terrines'],+25%,,+32%,+20%,-34%,,,,,,,,"['Gluten', 'Lait', 'Soja', 'Anhydride sulfureux et sulfites']",4,34 g,en quantité élevée,14 g,en quantité élevée,1.7 g,en faible quantité,1.8 g,en quantité élevée,21,E,"['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Fabriqué en France']",170 g,+17%,+48%,+117%,+18%,+18%,+19%,+19%,,"['Frais', 'Plastique']",['France'],"['FR 72.090.007 CE', 'Connerré (Sarthe, France)', 'EMB 72090A', 'Connerré (Sarthe, France)']",['France'],,
