,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,labels,quantity,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,generic_name,packaging,manufacturing,traceability_code,ingredients_origins,palm_ingredients,link
0,Ananas - Netto,3250391032006,['Netto'],['Netto'],['France'],"['Ananas', ""jus d'ananas"", 'acidifiant : acide citrique', 'INFORMATIONS :']",['E330 - Acide citrique'],[],?,57,238 kj(57 kcal),"0,5","0,1",13,12,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Champagne Veuve Barrier -,3250391033126,,,['France'],[],,[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tortis au surimi sauce au yaourt - Netto,3250391038138,['Netto'],['Netto'],['France'],"['Pâtes alimentaires cuites alJ\\ oeufs frais 41 % ', 'eau', 'semoule de blé dur ', 'UE', 'oeuf frais 2%* ', 'UE', 'sauce au yaourt 40% ', 'eau', 'huile de colza', 'UE', ' ', 'dont lait ', 'poivrons', ""vinaigre d'alcool"", 'jaune d oeuf', 'moutarde de Dijon ', 'eau', ""graine vinaigre d'alcool"", 'sel', 'sel', 'jus concentré de citron', 'persil', 'arnidjn', 'podifié dp sucre', 'conservateur : E202', 'épaississant : E41 5', 'estragon', ' surimi 15%', 'eau', 'chair de poisson 5%* ', 'hors UE', ""blanc d'?uf réhydraté"", 'pomme de terre', 'amidon de bléfhuile de colza', 'sucre', 'sel', 'arôme naturel ', 'dont poissons', 'crustacés', 'colorant : extrait de paprika', 'poivrons', ' * Pourcentages exprimés surle poids éventuelles de : mollusques', 'soja', 'céleri']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']","['Non végétalien', 'Non végétarien']",?,763,3192 kj(763 kcal),"11,5","1,1","15,1","1,7","4,3","1,07","0,428",,['Tortis au surimi'],,,,,,,,,,,,,"['Céleri', 'Crustacés', 'Œufs', 'Soja']",4,11.5 g,en quantité modérée,1.1 g,en faible quantité,1.7 g,en faible quantité,1.07 g,en quantité modérée,14,D,,,,,,,,,,,,,,,,
3,"Steaks extra tendre x2, le paquet - Jean Rozé",3250391041718,['Jean Rozé'],,['France'],[],,[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,,
4,Petit pot de crème au café - Netto - 4,3250391052608,['Netto'],['Netto'],['France'],[],,[],?,162,678 kj(162 kcal),"7,4","4,1","21,1","16,5","4,7","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
5,Capres - Netto - 90g,3250391056057,['Netto'],['Netto'],['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90g,,,,,,,,,,,,,,
6,Persillade - saint Eloi - 50g,3250391057092,['saint Eloi'],['Intermarché'],['France'],[],,[],?,96,402 kj(96 kcal),"4,3","0,4","8,1","1,1",4,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,,,,,,
7,St. Marcellin - Netto,3250391059591,['Netto'],,['France'],[],,[],?,268,1121 kj(268 kcal),22,16,"1,5","0,5",16,"1,3","0,52",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Saint-Marcellin']",,-1%,-3%,+14%,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,22 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,13,D,['IGP'],,-1%,-5%,-36%,-2%,-2%,-4%,-4%,,,,,,,
8,Gouter choc' - Netto - 225g,3250391061792,['Netto'],['Netto'],['France'],"['Fourrage au chocolat 40% ', 'chocolat en poudre 49% ', 'sucre', 'poudre de cacao', 'matières grasses végétales ', 'colza', 'coprah', 'sucre', 'noisettes', 'émulsifiant : lécithines ', 'soja', 'arôme', 'farine de blé', 'margarine ', 'matières grasses végétales ', 'palme', 'colza', 'eau', 'sel', ""émulsifiants : mono et diglycérides d'acides gras"", ""correcteur d'acidité : acide citrique"", 'colorant : caroténoïdes', 'sucre', 'amidon de blé', 'œufs', 'poudre de lait écrémé', 'sirop de glucose de blé', 'arôme', 'sel', 'poudre à lever : carbonates de sodium']","['E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160 - Caroténoïdes', 'E500 - Carbonates de sodium']","['Huile de palme', 'Non végétalien']",?,512,2142 kj(512 kcal),"26,2","8,7","62,5","34,5","5,5","0,37","0,148",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,+4%,+12%,+0%,-16%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,26.2 g,en quantité élevée,8.7 g,en quantité élevée,34.5 g,en quantité élevée,0.37 g,en quantité modérée,20,E,,225 g,+4%,-26%,+6%,-33%,-33%,-7%,-7%,Biscuits sablés avec fourrage au chocolat,"['Carton', 'Plastique']","['Filet Bleu', '1 rue Nicolas Sadi Carnot', 'ZA de Troyalach', '29170 Saint-Evarzec', 'France']",,,,
9,Confiture Extra d'abricots - Netto - 340g,3250391073498,['Netto'],['Netto'],['France'],"['Sirop de glucose-fructose', 'abricots', 'sucre', 'gélifiant : pectines', 'acidifiant : acide citrique']","['E440 - Pectines', 'E330 - Acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,244,1021 kj(244 kcal),"< 0,5","< 0,1","60,5",52,"0,5","0,01","0,004",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,+11%,+121%,+14%,-0%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,4,0.5 g,en faible quantité,0.1 g,en faible quantité,52 g,en quantité élevée,0.01 g,en faible quantité,13,D,['Point Vert'],340 g,+11%,+134%,+3%,-55%,-55%,+45%,+45%,,"['Bocal', 'Verre']",,,,,
10,Pizza Chevre-Lardons -,3250391074105,,['LIDL'],['France'],"['INGREOIENIS Garniture : sauce tomate aromatisée cuite ', 'eau', 'purée de tomates', 'farine de blé', 'sel', ""huile d'olive vierge extra"", ""Oiôme naturel d'ail"", ' emmental ', 'dont lait', ' ', 'UE', 'fromage de chèvre affiné* ', 'dont lait', ' 15,2% ', 'UE', 'lardons cuits fumés 13,7% Ipmtline de porc 11', '5% ', 'Origine : France', ' eau', ' sel', 'dextrose', ' conservateurs : E316-E250', 'olives avec noyau ', 'olives', 'eau', 'sel', 'stabilisant : plantes aromatiques Pourcentages exprimés sur la garniture', ' Pâte cuite : farine de blé', ' eau', 'levure boulangère', 'sel', ""huile d'olive vierge extra"", ' •lngrédient décongelé', 'ne pas congeler ce produit', ' Traces éventuelles de : moutarde', ' Œufs', 'poissons', 'crustacés', 'graines de sésame', 'mollusques', 'noisettes', 'seigle']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",?,242,1013 kj(242 kcal),"8,7","5,5","28,5","1,9","10,9","1,37","0,548",,,,,,,,,,,,,,,"['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pizza jambon emmental - Netto,3250391074167,['Netto'],['Netto'],['France'],[],,[],?,211,883 kj(211 kcal),6,"3,6","27,3","1,8","10,2","1,33","0,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pain de Mie - Netto - 280g,3250391081479,['Netto'],['Netto'],['France'],"['Farine de blé 65%', 'eau', 'levure', 'sucre', 'huile de colza', 'arôme', 'sel', 'gluten de blé', ""émulsifiant : mono - et diglycérides d'acides gras"", 'conservateur : propionate de calcium', 'agent de traitement de la farine : acide ascorbique']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium', 'E300 - Acide ascorbique']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",1133,268,1133 kj(268 kcal),"3,1","0,4","50,8","5,4","7,7","1,2","0,48",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",+0%,+1%,-31%,+11%,-8%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,['Gluten'],4,3.1 g,en quantité modérée,0.4 g,en faible quantité,5.4 g,en quantité modérée,1.2 g,en quantité modérée,5,C,['Point Vert'],280 g,+1%,-38%,+4%,+5%,+5%,+245%,+245%,,"['Sachet', 'Plastique']",,"['EMB 58079A', 'Clamecy (Nièvre, France)']",,,
13,Olives noires à la grecque - Netto - 250g,3250391082377,['Netto'],['Netto'],['France'],"['Olives noires', 'sel', 'huile de tournesol']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1416,?,1416 kj(338 kcal),"34,4","4,3","2,2","1,3","1,9","9,6","3,84",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",+29%,,+35%,-31%,+31%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,3,34.4 g,en quantité élevée,4.3 g,en quantité modérée,1.3 g,en faible quantité,9.6 g,en quantité élevée,13,D,,250 g,+30%,+28%,+221%,+130%,+130%,+1%,+1%,,,,,,,
14,Sardines a la tomate - Netto,3250391085194,['Netto'],['Netto'],['France'],"['Sardines*', 'Sardina pilchardus', ' eau', 'concentré de tomate 8,5%', 'huile de tournesol', 'sel']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,183,766 kj(183 kcal),"11,5",3,"0,8","0,8","19,5","0,91","0,364",D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol"", 'Sardines à la tomate']",,-16%,-17%,+31%,-9%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,['Poisson'],3,11.5 g,en quantité modérée,3 g,en quantité modérée,0.8 g,en faible quantité,0.91 g,en quantité modérée,3,C,,,-16%,-9%,+209%,-0%,-0%,-19%,-19%,,,,,,,
15,Sardines à l'huile pimentée - Netto - 135g (95g égoutté),3250391085200,['Netto'],['Netto'],['France'],"['Sardines ', 'poisson', 'huile de tournesol', 'piment 2%', 'sel']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,274,1146 kj(274 kcal),"20,3","5,2","< 0,5","< 0,5","22,8","0,8","0,32",D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile et au piment"", ""Sardines à l'huile pimentée""]",,+16%,+21%,+20%,+7%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,['Poisson'],3,20.3 g,en quantité élevée,5.2 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,11,D,,135 g (95 g égoutté),+15%,+48%,+99%,-19%,-19%,+110%,+110%,,['Conserve'],['Maroc'],['MA 1653'],,,
16,Velouté de bolets - Netto - 74g,3250391110346,['Netto'],['Netto'],['France'],"['Amidon de maïs', 'farine de blé', 'sel', 'fécule de pomme de terre', 'lactose et protéines de lait', 'huile de tournesol', 'oigncrt', 'arômes ', 'dont céleri', 'lait et soja', 'bolet 1,6%', 'sirop de glucose exhausteurs de goût : E621', 'E627', 'E631', 'colorant : caramel', 'curcuma?', ' Traces éventuelles de moutarde', 'œufs', 'orge et poissons']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E150 - Caramel']",['Non végétalien'],?,358,1498 kj(358 kcal),"7,2","0,92","66,3",8,"5,2","10,4","4,16",,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Soja']",4,,,,,,,,,,,,74 g,,,,,,,,,,,,,,
17,Netto Potage Tomate Aux vermicelles72g,3250391110391,['Netto'],['Netto'],['France'],"['vermicelles 36,7 % ', 'semoule de blé dur', 'fécule de pomme de terre', 'tomate 15,1%', 'sel', 'sucre', 'maltodextrine', 'exhausteur de goût : glutamate monosodique', 'huile de colza', 'ail', 'poudre de jus de betterave rouge ', 'jus concentré de betterave rouge', 'maltodextrine', 'acidifiant acide citrique', 'arôme', 'acidifiant acide citrique', 'paprika', 'antiagglomérant: dioxyde de silicium', 'persil', ' Traces éventuelles de céleri', 'lait', 'moutarde', 'oeufs', 'orge', 'ooissons et soja']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E551 - Dioxyde de silicium']",[],?,325,1360 kj(325 kcal),"2,4","0,2","66,3","19,6","7,7","8,2","3,28",,,,,,,,,,,,,,,"['Œufs', 'Moutarde', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Contrees Gourmandes Potage Minestrone - Netto,3250391110407,['Netto'],['Netto'],['France'],"['Pâtes alimentaires type gentilini 29% ', 'senke blé dur', 'fécule de pomme de terre', 'pomme de terre 8,2%', 'tomate 7,8%', ' sel', ' farine de blé', 'carotte oignon 3,4%', 'haricot brun 3,1%', 'exhausteur de goût : glutamate monosodiquet arômes ', 'contient blé et orge', ' céleri-rave 1,5%', ""huile d'olive vierge extra 1,4%"", ' ail', ' paprika', 'basilic', 'antiagglomérant : dioxyde de silicium', 'curcuma', ' Traces éventuelles de lait', ' moutarde', 'œufs', 'poissons et soja']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E551 - Dioxyde de silicium']","['Non végétalien', 'Non végétarien']",?,347,1452 kj(347 kcal),"2,4","0,3","67,7","12,6","10,2","8,75","3,5",,"['Plats préparés', 'Soupes']",,+509%,+24%,+1077%,+364%,,,,,,,,"['Céleri', 'Gluten']",4,2.4 g,en faible quantité,0.3 g,en faible quantité,12.6 g,en quantité élevée,8.75 g,en quantité élevée,16,D,,,+513%,-50%,+628%,+912%,+912%,+876%,+876%,,,,,,,
19,4 Coins du Monde - Planteur des Tropiques - 250g e,3250391111367,"['Planteur des Tropiques', 'Intermarché', 'Sélection Intermarché']",['Intermarché'],['France'],['Café arabica'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Café Arabica', 'Cafés moulus']",,-100%,-100%,-100%,-100%,,,,,,,,,1,,,,,,,,,,,"['Labels de distributeurs', 'Commerce équitable', 'Fairtrade International', 'Point Vert', 'Max Havelaar', 'Sélection Intermarché', 'Pur arabica']",250 g e,-100%,-100%,-100%,-100%,-100%,,,Café torreifié moulu,"['Sachet', 'Plastique']",['France'],,,,
20,Ste Marguerite Gaz,3250391111398,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mini Fourrés - Netto,3250391112968,['Netto'],['Netto'],['France'],"['Gâteau : Farine de blé œufs ', 'UE', ' 25,3%', 'sucres huile de sirop de glucose-fructose', 'stabilisant : glycérol poudres à lever : carbonates de sodium et diphosphates', 'lactosérum en poudre*g arômes ', 'contient alcool', 'sel colorants : extrait de paorika et luteine', ' Pourcentages exprimés sur le gâteau', 'Fourrage goût chocolat ', '33%', ' : sucre', 'huile de tournesol chocolat en poudre ', 'IJE/non UE', ' 27%** ', 'sucre', 'poudre de cacao', ' ', 'cacao : 33% minimum dans le chocolat en poudrel émulsifiant : lécithine de soja arôme naturel de vanille', ' *dont lait OPourcentage exprimé sur le fourrage& Traces éventuelles de : fruits à coque']","['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",[],?,438,1833 kj(438 kcal),"20,1","2,9","58,2","37,2","5,1","1,05","0,42",,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Panaché, Bière Et Limonade, Les 6 Canettes De 33cl",3250391115020,,,['France'],[],,[],?,146,611 kj(146 kcal),"0,5","0,1","7,5",7,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Persil - Cigalou,3250391115143,['Cigalou'],,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Persil']",,-100%,-100%,-100%,-100%,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,,-100%,-100%,-100%,-100%,-100%,,,,,,,,,
24,Herbes de Provence - Cigalou - 200g,3250391115204,"['Cigalou', 'Sélection Intermarché']",['Intermarché'],['France'],"['Romarin', 'basilic', 'thym', 'sarriette', 'marjolaine']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Mélanges de plantes aromatiques', 'Herbes de Provence']",,,,,,43.6%,0.0%,30.6%,8.2%,17.6%,0.0%,93,,1,,,,,,,,,,,,200 g,,,,,,,,,"['Boite', 'Plastique']",['France'],,,,
25,"Tartiflette Reblochon, emmental et lardons fumes - Monique Ranou - 900g",3250391117710,['Monique Ranou'],['Intermarché'],['France'],"['Pommes de terre préfrites 43,6% [pommes de terre ', 'origine : UE', 'huile de tournesol]', 'eau lardons fumés cuits 10% [poitrine de porc ', 'origine : France', 'eau', 'se ', 'se nitrité ', 'sel', 'conservateur : nitrite de sodium', 'deffro antioxydants : acide ascorbique', 'ascorbate de sodium', 'extrait de romarin', 'acidifiant : acide citrique', ',onservateui érythorbate de sodium', 'épices', 'arôme de fumée', 'fumée]', 'crème légère* 6% ', 'origine : France', 'oignons préfrits ', 'oignons', 'huile de tournesol', ' reblochon* ', '5% ', 'origine : France', 'fromage fondu 4/8% [œuf fromaqi ', 'origine : UE', 'eau', 'beurre*l lait écrémé en poudre', 'amidon transformé', 'poudre de lactosérum*', 'émulsif ,iilts : citrate de sodium]', 'base texturante ', 'amidons transformés', 'maltodextrine', 'épaississant : gomme xanthane', 'arômes*l poivre', ' *dont lait', ' Traces éventuelles de : blé', 'crustacés', 'poissons', 'moutarde', 'céleri', 'mollusques']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E392 - Extrait de romarin', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E415 - Gomme xanthane']","['Non végétalien', 'Non végétarien']",570,160,570 kj(160 kcal),"9,6","4,2",12,"2,3","5,5","0,625","0,25",B,"['Surgelés', 'Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Plats préparés surgelés', 'Tartiflettes', 'Tartiflettes surgelées']",-1%,+8%,+17%,+13%,-0%,68.3%,16.4%,4.8%,5.7%,2.8%,2.0%,73,['Lait'],4,9.6 g,en quantité modérée,4.2 g,en quantité modérée,2.3 g,en faible quantité,0.625 g,en quantité modérée,4,C,"['Nutriscore', 'Nutriscore C']",900 g,-5%,-9%,+128%,-15%,-15%,-27%,-27%,Tartiflettes surgelée,"['Sachet', 'Plastique', 'surgelé']",,,['Pommes de terre origine UE'],,
26,Netto Coeur Artichaut 1 2,3250391123346,['Netto'],['Netto'],['France'],"[""Coeurs d'artichauts"", ' eau', 'sel', 'acidifiant : acide citrique']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,18,75 kj(18 kcal),"0,5","0,1","2,3","0,6","1,3","0,64","0,256",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",,-64%,-71%,-50%,-25%,,,,,,,,,3,0.5 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,0.64 g,en quantité modérée,-4,A,,,-64%,-58%,-51%,-25%,-25%,,,,,,,,,
27,Sauce Salsa Forte - Netto - 315g,3250391123575,['Netto'],['Netto'],['France'],"['Tomates ', '35,4%', 'eau', 'oignons', 'concentré de tomates', 'piments Jalapeño ', '6,8%', 'poivron rouge ', '5,7%', 'amidon modifié de maïs', 'vinaigre', 'sucre', 'sel', 'épices ', 'contient moutarde', 'ail', 'antioxygène ', 'acide ascorbique', 'persil', 'arômes']","['E14XX - Amidons modifiés', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,37,155 kj(37 kcal),"0,5","0,1","6,1","3,9","1,5","1,31","0,524",,"['Epicerie', 'Sauces', 'Sauces pimentées']",,-69%,-84%,-65%,+29%,,,,,,,,['Moutarde'],4,0.5 g,en faible quantité,0.1 g,en faible quantité,3.9 g,en faible quantité,1.31 g,en quantité modérée,4,C,,315 g,-69%,-78%,-71%,-71%,-71%,-68%,-68%,Sauce pimentée aux tomates et aux poivrons,"['Bocal', 'Verre']",['Belgique'],,,,
28,Lait praliné - Netto - 150g,3250391125173,['Netto'],['Netto'],['France'],"['Praliné 31,7% ', 'pâte de noisettes  15,8%', 'sucre', 'sucre', 'poudre de lait  écrémé', 'beurre de cacao', ' graisses végétales ', 'palmiste', 'palme', 'pâte de cacao', 'matière grasse de lait anhydre', 'éclats de  noisettes  caramélisés 2,4% ', ' noisettes 1,68%', 'sucre', ' cacao maigre en poudre', ' émulsifiant : lécithines de tournesol', 'arôme naturel de vanille']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien']",2335,?,2335 kj(558 kcal),"34,5","16,9","53,9","53,3","7,4","0,16","0,064",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",+1%,,-3%,+7%,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Gluten', 'Lait', 'Fruits à coque']",4,34.5 g,en quantité élevée,16.9 g,en quantité élevée,53.3 g,en quantité élevée,0.16 g,en faible quantité,26,E,,150 g,+0%,-1%,+13%,+25%,+25%,+5%,+5%,,,,,,,
29,Chocolat noir fourré Truffe aux éclats de fèves de cacao - Netto - 150g,3250391125180,['Netto'],['Netto'],['France'],"['Sucre', 'pâte de cacao', 'graisses végétales ', 'palme', 'palmiste', 'cacao maigre en poudre', 'beurre de cacao', 'éclats de fèves de cacao caramélisés 2,4% ', 'éclats de fèves de cacao  torréfiés 1,6%', 'sucre', 'pâte de noisettes ', 'matière grasse de lait ', 'lactosérum en poudre ', ' lait ', 'émulsifiant: lécithines de tournesol', 'arôme naturel de vanille']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2345,?,2345 kj(560 kcal),"38,3",24,44,44,"6,1","0,05","0,02",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats fourrés', 'Chocolats noirs fourrés']",+9%,,+17%,-10%,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Gluten', 'Lait', 'Fruits à coque']",4,38.3 g,en quantité élevée,24 g,en quantité élevée,44 g,en quantité élevée,0.05 g,en faible quantité,20,E,,150 g,+7%,+32%,+1%,-16%,-16%,-14%,-14%,,,,,,,
30,Bâtonnets à la Vanille et à la fraise,3250391127306,,,['France'],[],,[],?,319,1335 kj(319 kcal),"20,8","17,1","30,6","0,1","1,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Riz Cantonais - Netto - 800g,3250391133482,['Netto'],['Netto'],['France'],"['Riz cuit 48% ', 'riz', 'eau', 'huile de tournesol et/ou colza', 'oignon réhydraté', 'oeufs cuits 11%', 'jambon cuit standard 9% ', 'jambon de porc', 'eau', 'sel', 'lactose ', 'dont lait', 'bouillon de porc', 'dextrose', 'stabilisant : E451', 'gélifiant : E407', 'arôme naturel de porc', 'sirop de glucose', 'antioxydant : E316', 'conservateur : E250', 'ferments', 'petits pois 9%', 'eau', 'huile de tournesol et/ou de colza', 'sel', 'conservateur : E262', 'poivre', 'ail', 'arôme naturel']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",828,?,828 kj(198 kcal),"4,7","0,75","30,4","3,7","6,6","1,63","0,652",C,"['Plats préparés', 'Céréales préparées', 'Riz préparés', 'Riz cantonais']",+26%,,+18%,+28%,+25%,69.5%,13.6%,6.2%,6.3%,2.6%,1.8%,69,"['Œufs', 'Lait']",4,4.7 g,en quantité modérée,0.75 g,en faible quantité,3.7 g,en faible quantité,1.63 g,en quantité élevée,5,C,,800 g,+26%,+10%,+194%,+67%,+67%,+118%,+118%,"Riz cuit accompagné d'oeufs cuits, de jambon cuit standard et de petits pois","['Barquette', 'Plastique']",['France'],,,,
