,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,markets,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,link,brand_owner,ingredients_origins
0,Vinto ginger beer,5010438105944,['Vinto'],['France'],"['Eau Pétillante', 'Sucre', '/ Acide Citrique', 'stabilisants ', 'Ester Glycerique de Résine de Bois', ""Gomme d'Acacia"", 'Parfum Vimto ', 'dont des extraits naturels de fruits', ""d'herbes et d épices"", 'Conservateurs ', 'Sorbate de Potassium', 'Sodium Benzoate', 'Extrait de Gingembre Africain', 'Colorant ', 'Caramel E150d']","['E330 - Acide citrique', 'E445 - Esters glycériques de résine de bois', ""E414 - Gomme d'acacia"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', ""E150d - Caramel au sulfite d'ammonium""]",[],4,?,53,222 kj(53 kcal),0,0,"13,5","13,5",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Vimto,5010438130144,,['France'],[],,[],,?,49,205 kj(49 kcal),0,0,"12,5","12,5",0,"4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Country Crisp Sirop d'érable & noix de pécan (+20% gratuit) - Jordans - 600g,5010477337535,['Jordans'],['France'],"['Céréales Complètes ', '59%', ' ', ""Flocons d'Avoine"", ""Flocons d'Orge"", ""Farine d'Avoine"", 'Sucre', 'Huiles Végétales ', 'Huile de Colza', 'Huile de Palme*', 'Farine de Riz', 'Éclats de Noix de Pécan ', '5%', ""Sirop d'Érable "", '5%', 'Arôme Naturel', ""\r*Contient de l'huile de palme certifiée durable"", '\r INFORMATIONS SUR LES ALLERGÈNES\rCONTIENT\rLes allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', '\rPEUT CONTENIR\rDu Blé', 'du Seigle', 'des Noix']",,['Huile de palme'],4,?,463,1937 kj(463 kcal),"18,3","3,4","63,7","23,3","7,9","0,03","0,012",D,Sirop d'érable & noix de pécan,600 g,"['Carton', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales complètes']","['Sans colorants', 'Sans conservateurs']",['Leclerc'],['Huile de palme'],"['Gluten', 'Fruits à coque', 'Avoine']",18.3 g,en quantité modérée,3.4 g,en quantité modérée,23.3 g,en quantité élevée,0.03 g,en faible quantité,,+16%,+16%,+110%,+55%,-4%,+40%,-15%,-92%,-92%,8,+48%,C,+48%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,
3,Jordans Crunchy Raisins And Almond 850G,5010477345998,['Jordans'],['France'],[],,[],,?,412,1724 kj(412 kcal),"12,6","2,3","61,6","24,4","9,9","0,03","0,012",,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Country crisp véritables fraises - Jordans,5010477347534,['Jordans'],['France'],"['Céréales complètes ', '65%', ' ', ""Flocons d'Avoine"", ""Flocons d'Orge"", ""Farine d'Avoine"", 'Sucre', 'Huiles Végétales ', 'Huile de Colza', 'Huile de Palme**', 'Farine de Riz', 'Noix de Coco Séchée', 'Morceaux de Fraises Lyophilisées ', '2%', 'Arôme Naturel', ' Informations sur les allergènes : les allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', ' Peut contenir également: du Blé', 'du Seigle', 'des Noix']",,['Huile de palme'],4,?,444,1858 kj(444 kcal),"14,8","4,7","66,4","20,9","7,9","0,03","0,012",D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['Sans arômes artificiels', 'Huile de palme durable']",,['Huile de palme'],"['Gluten', 'Avoine']",14.8 g,en quantité modérée,4.7 g,en quantité modérée,20.9 g,en quantité élevée,0.03 g,en faible quantité,,+11%,+11%,+70%,+114%,-0%,+25%,-15%,-92%,-92%,13,+141%,D,+141%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,
5,Country Crisp fraises - Jordans,5010477347565,['Jordans'],['France'],[],,[],,?,444,1858 kj(444 kcal),"14,8","4,7","66,4","20,9","7,9","0,03","0,012",,,,,,['Sans arômes artificiels'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jordans Spécial  Muesli,5010477348578,['Jordans'],['France'],"['Céréales complètes ', '69%', ' ', ""Flocons d'Avoine"", 'Flocons de Blé', ""Flocons d'Orge"", 'Fruits Secs & Noix ', '30%', ' ', 'Raisins Secs', 'Dés de Papaye Séchée ', 'Papaye', 'Sucre de Canne', 'Noix de Coco Grillée', 'Rondelles de Banane ', 'Banane', 'Huile de Noix de Coco', 'Sucre', 'Arôme Naturel', 'Amandes Effilées', 'Noix du Brésil Effilées', 'Tranches de Pomme Séchée', 'Morceaux de Noisettes Grillées', 'Graines de Tournesol', '\rINFORMATIONS SUR LES ALLERGÈNES\rCONTIENT\rLes allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', '\rPEUT CONTENIR\rDu Seigle', 'des Noix']",,[],4,?,375,1569 kj(375 kcal),"9,2","2,6","59,3","15,4","9,4","0,03","0,012",,,,,,,['France'],,"['Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Country Crisp : 3 Baies, Cassis, Cranberries Et Myrtilles - Jordans",5010477350916,['Jordans'],['France'],"['Céréales Complètes ', '64%', ' ', ""Flocons d'Avoine"", ""Flocons d'Orge"", ""Farine d'Avoine"", 'Sucre', 'Huiles Végétales ', 'Huile de Colza', 'Huile de Palme*', 'Farine de Riz', 'Noix de Coco Séchée', 'Baies Lyophilisées ', '2,5%', ' ', 'Cassis', 'Myrtilles', 'Cranberries', 'Arôme Naturel', ""\r*Contient de l'huile de palme certifiée durable"", '\r INFORMATIONS SUR LES ALLERGÈNES\rCONTIENT\rLes allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', '\rPEUT CONTENIR\rDu Blé', 'du Seigle', 'des Noix']",,['Huile de palme'],4,?,437,1828 kj(437 kcal),"13,2","4,4","68,4",21,8,"0,03","0,012",,,,,,,['France'],['Huile de palme'],"['Gluten', 'Avoine']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Crispy oat clusters maple and pecan - Jordans,5010477352859,['Jordans'],"['Australie', 'France']","['Whole Grain Cereals ', '53%', ' ', '0at Flakes ', '45%', 'Barley Flakes', 'Oat Flour', 'Sugar', 'Vegetable Oils', 'Rice Flour', 'Pecan Nuts ', '5%', 'Maple Syrup ', '5%', 'Natural Flavouring']",,"[""Pourrait contenir de l'huile de palme""]",4,?,463,1937 kj(463 kcal),"18,3","3,4","63,7","23,3","7,9","0,266","0,106",C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales aux fruits à coques', 'Pépites de céréales croustillantes', 'Pépites de céréales aux fruits à coques']",,['Woolworths'],,['Fruits à coque'],18.3 g,en quantité modérée,3.4 g,en quantité modérée,23.3 g,en quantité élevée,0.266 g,en faible quantité,,+1%,+1%,+1%,-38%,+3%,+13%,-1%,-28%,-28%,14,+33%,D,+33%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,
9,Country Crisp apple & cinnamon - Jordans - 500g,5010477353771,['Jordans'],['France'],"['British Wholegrain Cereals ', '58%', ' ', 'OAT Flakes', 'BARLEY Flakes', 'OAT Flour', 'Sugar', 'Dried Apple ', '12%', ' ', 'Sliced Dried Apple ', 'Apple', 'Concentrated Apple Juice', 'Cinnamon', 'Sliced Dried Apple', 'Vegetable Oils ', 'Rapeseed Oil', 'Palm Oil', 'Rice Flour,Desiccated Coconut', 'Natural Flavouring This product contains certified sustainable palm oil', ' ALLERGY ADVICE: For allergens', 'including cereals containing gluten', 'see ingredients in BOLD', ' MAY ALSO CONTAIN: Wheat ', 'Gluten', 'Rye ', 'Gluten', 'Nuts']",,['Huile de palme'],4,?,432,1807 kj(432 kcal),"13,7","4,2","66,1",25,"7,7","0,15","0,06",B,,500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,,,"['Gluten', 'Avoine']",13.7 g,en quantité modérée,4.2 g,en quantité modérée,25 g,en quantité élevée,0.15 g,en faible quantité,,+4%,+4%,+5%,+27%,+9%,+48%,-22%,-14%,-14%,14,+185%,D,+185%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,
10,Country crisp - Jordans - 400g,5010477354013,['Jordans'],['France'],"['INGREDIENTS: British Wholegrain Cereals ', '55%', ' ', 'OAT Flakes', 'OAT Flour', 'Sugar', 'Vegetable Oils ', 'Rapeseed Oil', 'Palm Oil', 'Pea Protein', 'WHEAT Protein', 'Desiccated Coconut', 'Rice Flour', 'Freeze Dried Berries ', '3%', ' ', 'Whole Blackcurrants', 'Whole Blueberries,Sliced Cranberries', 'Manioc Starch', 'Natural Flavouring This product contains certified sustainable palm oil', ' ALLERGY ADVICE For allergens', 'including cereals containing gluten', 'see ingredients in BOLD MAY ALSO CONTAIN: Barley ', 'Gluten', 'Rye ', 'Gluten', 'Spelt ', 'Gluten', 'Nuts', 'Milk']",,"['Huile de palme', 'Non végétalien']",4,1814,?,1814 kj(434 kcal),"14,4","4,5","56,9","21,6","14,7","0,15","0,06",D,,400 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,"['Gluten', 'Lait', 'Fruits à coque', 'Avoine']",14.4 g,en quantité modérée,4.5 g,en quantité modérée,21.6 g,en quantité élevée,0.15 g,en faible quantité,+7%,,+9%,+65%,+105%,-15%,+29%,+58%,-58%,-58%,8,+48%,C,+48%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,
11,County crisp Sirop d'érable - Jordans,5010477658319,['Jordans'],['France'],"[""Flocons d'Avoine Complète "", '69 %', 'Noix ', '16%', ' ', 'Amandes Effilées', 'Eclats de Noix du Brésil', 'Morceaux de Noisettes Grillées', 'Sucre', 'Huiles Végétales ', 'Huile de Colza', 'Huile de Palme*', 'Miel ', '1%', 'Graines de Tournesol', 'Arôme Naturel', "" \r*Contient de l'huile de palme certifiée durable"", '\r INFORMATIONS SUR LES ALLERGÈNES\rCONTIENT\rLes allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', '\rPEUT CONTENIR\rDu Seigle', 'du Blé', 'de l’Orge', 'des Noix']",,"['Huile de palme', 'Non végétalien']",4,?,463,1937 kj(463 kcal),"18,3","3,4","63,7","23,3","7,9","0,03","0,012",,,,,,['Sans arômes artificiels'],['France'],['Huile de palme'],"['Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Country crisp chocolat au lait,5010477658432,,['France'],[],,[],,?,461,1929 kj(461 kcal),"17,1",7,66,24,"8,3","0,03","0,012",,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Country Crisp 4 Noix (Maxi Format) - Jordans - 850g,5010477658555,"['Jordans', 'Country Crisp']",['France'],"['Céréales Complètes ', '57%', ' ', ""Flocons d' Avoine"", ""Flocons d' Orge"", ""Farine d' Avoine"", 'Sucre', 'Noix ', '14%', ' ', ' Amandes Effilées et Entières', 'Noisettes en Morceaux et Entières', 'Éclats de Noix de Pécan', 'Morceaux de Noix du Brésil', 'Huiles Végétales ', 'Huile de Colza', 'Huile de Palme*', 'Farine de Riz', 'Noix de Coco Séchée', 'Arôme Naturel', ""\r*Contient de l'huile de palme certifiée durable"", '\r INFORMATIONS SUR LES ALLERGÈNES\rCONTIENT\rLes allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', '\rPEUT CONTENIR\rDu Blé', 'du Seigle', 'des Noix']",,['Huile de palme'],4,?,474,1983 kj(474 kcal),"20,8","3,9","57,7","17,4","10,9","0,03","0,012",B,,850 g,"['Carton', 'Sachet', 'Plastique', 'Boite']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis aux fruits à coque']","['Huile de palme durable', 'en:FSC', 'Sans arômes artificiels', 'FSC Mix', 'Sans colorants', 'Sans conservateurs']",,['Huile de palme'],"['Gluten', 'Fruits à coque', 'Avoine']",20.8 g,en quantité élevée,3.9 g,en quantité modérée,17.4 g,en quantité élevée,0.03 g,en faible quantité,,+7%,+7%,+22%,+24%,+1%,+21%,+7%,-81%,-81%,6,+53%,C,+53%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,
14,Spring Selection,5010478345614,,['France'],[],,[],,?,404,1690 kj(404 kcal),"3,7","3,1","90,4",89,"0,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Refreshers,5010478552913,,['France'],[],,[],,?,413,1728 kj(413 kcal),"5,8","3,9","88,1","87,6","0,4","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Squashies drumstick - Swizzels - 160g,5010478670242,['Swizzels'],"['France', 'Allemagne']","['glucose syrup', 'sugar', 'gelling agent: gelatine', 'modified starch', 'acidity regulators: citric acid', 'trisodium citrate', 'apple pulp ', 'contains preservative: sulphur dioxide', 'flavourings', 'glazing agents: vegetable oils ', 'palm', 'palm kernel', 'coconut', 'carnaubawax: colours: black carrot extract', 'copper chlorophyllin']","['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331iii - Citrate trisodique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines']","['Non végétalien', 'Non végétarien']",4,1484,349,1484 kj(349 kcal),"0,2",0,82,62,"3,4","0,7","0,28",E,,160g,['Plastic'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,0.2 g,en faible quantité,0 g,en faible quantité,62 g,en quantité élevée,0.7 g,en quantité modérée,-4%,-2%,-1%,-89%,-100%,-2%,+7%,+60%,+479%,+479%,17,+18%,D,+18%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,
17,Giant pharma violets,5010478748231,,['France'],"['sugar', 'stearic acid', 'modified starch', 'glucose syrup', 'anti-caking agent: magnesium carbonate']","['E570 - Acide stéarique', 'E14XX - Amidons modifiés']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,410,1715 kj(410 kcal),"3,4","3,3","94,7","93,5","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Swizzels Super Baby Bottle Candy 23GR,5010478811072,['Swizzels'],['France'],"['p:aStiC contagrtjng sou"" fruit flavout Ingrodients: Dextrose', ""Actdity FegujatorS,' €330"", 'E296', 'Maltodextrinv Antiecahinq E470b', 'Flavourings', 'Colcars E II Eest before end: 042019 LOI']",['E296 - Acide malique'],[],4,?,2,8 kj(2 kcal),1,1,3,1,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Refreshers (Lemon flavour),5010478900998,,['France'],[],,[],,?,411,1720 kj(411 kcal),"5,5","3,8","88,3","87,8","0,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Refresher,5010478938816,,"['France', 'Royaume-Uni']",[],,['Sans huile de palme'],,?,411,1720 kj(411 kcal),"5,5","3,8","88,3",88,"0,4","0,02","0,008",,,,,,"['Huile de palme durable', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Belgian chocolate Majestics - Iceland - 4 * 87g,5010482379247,['Iceland'],['France'],[],,[],,?,313,1310 kj(313 kcal),"18,7","11,1","31,2","27,8","4,5","0,2","0,08",B,,4 * 87 g,"['Carton', 'surgelé']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Bâtonnets glacés au chocolat']",,,,,18.7 g,en quantité modérée,11.1 g,en quantité élevée,27.8 g,en quantité élevée,0.2 g,en faible quantité,,-3%,-4%,-10%,-20%,+3%,+3%,+22%,+16%,+16%,19,+1%,E,+1%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Pologne'],['PL 20631603 WE'],,,
22,Vegetable Spring Rolls - Iceland,5010482513498,['Iceland'],['France'],[],,[],,?,225,941 kj(225 kcal),"8,7","2,2","30,4","2,8","4,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Iceland Sliced Green Beans,5010482533069,['Iceland'],['France'],['Sliced Green Beans'],,[],,?,35,146 kj(35 kcal),"0,1",0,"4,7","2,1","1,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Iceland 1LTR Apple & Raspberry Juice Drink,5010482534790,['Iceland'],['France'],"['mGREDIENTS Water', 'Apple Juice from Concentrate ', '20%', 'Glucose-Fructose Syrup', 'Raspberty Juice from Concentrate ', '2', '5%', 'Lemon Juice from Concentrate', '• Raspberry Purée CitricAcid', ' Flavourings', 'Sweetener: Sucralose', ' •']",['E955 - Sucralose'],[],4,?,48,201 kj(48 kcal),"0,3","0,1","10,5","9,6","0,4",0,0,,,,,"['Boissons', 'Boissons édulcorées']",,,,,0.3 g,en faible quantité,0.1 g,en faible quantité,9.6 g,en quantité élevée,0 g,en faible quantité,,+220%,+241%,+270%,+288%,+290%,+310%,+215%,-100%,-100%,14,+225%,E,+225%,,,,,,,,,,,,
25,Bananas - Iceland,5010482565077,['Iceland'],['France'],[],,[],,?,435,1820 kj(435 kcal),"0,3","0,1","23,2","20,9","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sweet potato fries - Iceland,5010482592370,['Iceland'],['France'],[],,[],,?,199,833 kj(199 kcal),"9,7","1,1","22,4","14,3","2,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Chicken breast fillets - Iceland,5010482616908,['Iceland'],['France'],[],,[],,?,106,444 kj(106 kcal),"1,1","0,3",0,0,24,"0,2","0,08",D,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,1.1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,,-19%,-18%,-62%,-60%,-100%,-100%,+5%,-73%,-73%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
28,Mediterranean vegetables - Iceland,5010482629526,['Iceland'],['France'],[],,[],,?,60,251 kj(60 kcal),"2,5","0,2","7,3","5,5","1,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Breaded chicken nuggets - Iceland,5010482632809,['Iceland'],['France'],[],,[],,?,256,1071 kj(256 kcal),"13,3","1,6","18,3","1,6","15,3","0,8","0,32",D,,,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,,,,13.3 g,en quantité modérée,1.6 g,en quantité modérée,1.6 g,en faible quantité,0.8 g,en quantité modérée,,+14%,+14%,+19%,-20%,+9%,+22%,+20%,-32%,-32%,2,-46%,B,-46%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,
30,Orange Juice - Iceland,5010482645700,['Iceland'],"['France', 'Royaume-Uni']",[],,[],,?,39,163 kj(39 kcal),0,0,"8,1","7,9","1,1",0,0,D,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,,,,0 g,en faible quantité,0 g,en faible quantité,7.9 g,en quantité élevée,0 g,en faible quantité,,-9%,-10%,-100%,-100%,-16%,-13%,+76%,-100%,-100%,2,-33%,C,-33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,
31,Cooked ham - Iceland,5010482648350,['Iceland'],['France'],[],,[],,?,102,427 kj(102 kcal),"2,8",1,0,0,"19,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bbq chicken breast fillet STRIPS - Iceland,5010482668068,['Iceland'],['France'],[],,[],,?,254,1063 kj(254 kcal),"10,7","1,9","22,4","1,6","16,8",1,"0,4",D,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,10.7 g,en quantité modérée,1.9 g,en quantité modérée,1.6 g,en faible quantité,1 g,en quantité modérée,,+94%,+96%,+272%,+155%,+4576%,+558%,-26%,+33%,+33%,3,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
33,Natural yogurt - Iceland,5010482685195,['Iceland'],['France'],[],,[],,?,61,255 kj(61 kcal),"0,2","0,2","8,9","4,8","5,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Casserole vegetables - Iceland,5010482697525,['Iceland'],['France'],[],,[],,?,106,444 kj(106 kcal),"0,3","0,1","4,1","2,7","0,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Grilled courgettes - Iceland,5010482697532,['Iceland'],['France'],[],,[],,?,74,310 kj(74 kcal),4,"0,3",6,"5,8","2,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Quinoa - Iceland,5010482699727,['Iceland'],['France'],[],,[],,?,177,741 kj(177 kcal),"2,9","0,6","29,8",1,6,"0,1","0,04",C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa']",,,,,2.9 g,en faible quantité,0.6 g,en faible quantité,1 g,en faible quantité,0.1 g,en faible quantité,,-46%,-46%,-46%,-8%,-46%,-60%,-49%,-39%,-39%,-1,,A,,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,,,,,
37,Malt scotch whisky - Glenmorangie - 70cl,5010494450309,['Glenmorangie'],['France'],[],,[],,?,?,,?,,?,,?,,,C,,70 cl,"['Étui carton', 'Couvercle métal', 'Bouteille en verre transparante', 'Bouchon en liège']","['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys', 'Whisky écossais']","['Point Vert', 'Cotisation sécurité sociale', 'Glasbak', 'Tidyman recycle', 'Tidyman wastebasket']",,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,"['Distillery Coy', 'Tain', 'Ross-shire', 'Écosse']",,,,
38,Taverners Coconut Mushrooms - Taveners,5010511471515,['Taveners'],['France'],[],,[],,?,407,1703 kj(407 kcal),"12,8","11,41","66,7","52,5","3,7","0,06","0,024",,,,,,"['Sans arômes artificiels', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bassetts Nougat STD 35 G (pack of ),5010511471751,,['France'],[],,[],,?,380,1590 kj(380 kcal),"4,2","2,4","79,2","61,6","4,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Nougat Jumbo 100g,5010511471768,,['France'],"['glucose syrup', 'sugar', 'beef gelatine', 'roasted peanuts ', '3%', 'desiccated coconut', 'cornflour', 'flavourings', 'colour ', 'carmine', ' may contain traces of other nuts', ' allergen advice - see as highlighted in ingredient list', ' best before end - see side of pack', ' store in a cool dry place away from direct sunlight']","['E428 - Gélatine', 'E120 - Acide carminique']","['Non végétalien', 'Non végétarien']",4,?,380,1590 kj(380 kcal),"4,2","2,4","79,2","61,6","4,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Football gums,5010511473076,,['France'],[],,[],,?,353,1477 kj(353 kcal),"0,6","0,5","75,5","53,1","9,7","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Butterkist Butter Microwave Popcorn,5010511474929,,['France'],[],,[],,?,436,1824 kj(436 kcal),18,"7,9",55,"1,9","8,5","1,69","0,676",B,,,,"['Snacks', 'Popcorn']",['en:gluten-free'],,,,18 g,en quantité modérée,7.9 g,en quantité élevée,1.9 g,en faible quantité,1.69 g,en quantité élevée,,-1%,-1%,+12%,+68%,-13%,-90%,+28%,+86%,+86%,19,+37%,E,+37%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,
43,Microwave Popcorn Sweet & Salted 3X70G,5010511474936,,['France'],[],,[],,?,425,1778 kj(425 kcal),"20,2","9,2","48,5","1,1","8,2","2,16","0,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Popcorn - Butterkist,5010511475537,['Butterkist'],['France'],[],,[],,?,?,,?,,?,,?,,,B,,,,"['Snacks', 'Snacks sucrés', 'Popcorn']",,,,,,,,,,,,,,,,,,,,,,,,,,,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,
45,sweet popcorn,5010511475773,,['France'],[],,[],,?,503,2105 kj(503 kcal),"25,1","1,9","60,5","31,3","5,1","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Butterkist Popcorn Sweet Cinema Style,5010511475889,,['France'],[],,[],,?,132,552 kj(132 kcal),"25,9",2,"32,8","32,8","5,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Taveners Assorted Toffees Great British Sweets 165G,5010511475926,,['France'],[],,[],,?,446,1866 kj(446 kcal),"9,2","5,7","73,1","48,2","2,9","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
