,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,markets,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,link,brand_owner,ingredients_origins
1298,"Barbe à papa , candy floss - Tommy Tucker",5026031000135,['Tommy Tucker'],['France'],[],,[],,?,396,1657 kj(396 kcal),"0,17","0,1","97,8","97,7","0,7","0,01","0,004",,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Barbes à papa']",['en:gluten-free'],,,,0.17 g,en faible quantité,0.1 g,en faible quantité,97.7 g,en quantité élevée,0.01 g,en faible quantité,,+7%,+5%,+62%,-3%,+3%,+4%,+624%,-35%,-35%,14,0%,D,0%,,,,,,,,,,,,
1299,PopCorn - Tommy's,5026031005284,"[""Tommy's""]",['France'],[],,[],,?,474,1983 kj(474 kcal),?,"24,6",?,0,10,"1,7","0,68",B,,,,"['Snacks', 'Snacks salés', 'Popcorn', 'Popcorn salé']",,,,,,,24.6 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,+6%,+5%,,+353%,,-100%,+17%,-18%,-18%,,,,,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,
1300,Spring water Still - Radnor Hills - 500ml,5026109000531,['Radnor Hills'],['France'],[],,[],,?,?,,?,,?,,?,,,,,500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,Strawberry,5026109008315,,['France'],[],,[],,?,40,167 kj(40 kcal),"0,5","0,1","9,1","9,1","0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,Salted caramel Florentines,5026139000006,,['France'],[],,[],,?,560,2343 kj(560 kcal),35,18,52,46,"7,2","1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,Mouthwatering milk chocolate Florentines,5026139000020,,['France'],[],,[],,?,576,2410 kj(576 kcal),38,18,50,46,8,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,Decadent dark chocolate florentines - Thomas J. Fudges,5026139000617,['Thomas J. Fudges'],['France'],[],,[],,?,553,2314 kj(553 kcal),34,16,51,42,"7,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Stem Ginger Blisscuits dipped in dark chocolate,5026139000655,,['France'],[],,[],,?,514,2151 kj(514 kcal),27,16,62,34,"5,2","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,Delectable dark chocolate flapjacks,5026139000808,,['France'],[],,[],,?,476,1992 kj(476 kcal),"20,6","12,1","64,9","35,6","5,5","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,Decadent dark chocolate Florentines,5026139302063,,['France'],[],,[],,?,553,2314 kj(553 kcal),34,16,51,46,"7,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
