,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,origin_detail,manufacturing,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,markets,ingredients_origins,link,brand_owner,producer_info,generic_name,palm_ingredients
0,Original senza zuccheri aggiunti,5000357107983,['France'],[],[],?,250,1046 kj(250 kcal),"0,6","0,6",97,"1,5","0,5","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jus multifruit bio,3274936603704,['France'],[],[],?,48,201 kj(48 kcal),0,0,12,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mini Bones,4062911003484,['France'],[],[],?,40,167 kj(40 kcal),4,4,50,20,30,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,836,0894545000836,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bäckerkrönung Weizen Toastbrötchen,22039736,['France'],[],[],?,221,925 kj(221 kcal),"8,9","8,3",43,"3,6","8,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gelée de pomme 100% Belchard,3760025710083,['France'],[],[],?,?,,?,,?,,?,0,0,"['EMB 17179', 'Gonds (Charente-Maritime, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mini calissons,3760018273380,['France'],[],[],?,458,1916 kj(458 kcal),"20,1","1,7","58,9","50,4","9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saucisson à cuire superieur,0206556031165,['France'],[],[],?,251,1050 kj(251 kcal),"19,8","7,8","0,9","0,7","17,1","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Confiture Abricot,50745104,['France'],[],[],?,272,1138 kj(272 kcal),0,0,66,66,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sardines genereuses,3263670006094,['France'],[],[],?,245,1025 kj(245 kcal),17,"4,1",0,0,23,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Curry madras massala hot,3471540082059,['France'],[],[],?,?,,?,,?,,?,,,"['EMB 77215A', 'Gretz-Armainvilliers (Seine-et-Marne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Confiture,3174061039112,['France'],[],[],?,173,724 kj(173 kcal),"0,5","0,1",40,36,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tempura Onion Bhajis,29033652,['France'],[],[],?,270,1130 kj(270 kcal),"19,2",3,"17,1","4,2","5,5",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Cracke integrali,8023797097680,['France'],[],[],?,424,1774 kj(424 kcal),12,"1,4",66,2,11,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pain de mie 7 céréales,3029330072461,['France'],[],[],?,288,1205 kj(288 kcal),"6,5","0,8",44,"6,7","8,7",1,"0,4",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Miele di acacia,8023797032933,['France'],[],[],?,322,1347 kj(322 kcal),0,0,0,80,"0,6",,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,,+11%,+11%,-100%,-100%,-100%,+13%,+73%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,
16,Carrefour Monviso Sprkling Water,80472896,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Baguette excellente Ble Crc,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Calamars farcis aux encornets ( surgelés),8420902035160,['France'],[],[],?,69,289 kj(69 kcal),"1,1","0,8","0,6","0,5",14,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jus de poires des alpes,3534770000153,['France'],[],[],?,61,255 kj(61 kcal),"0,1",0,15,"13,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Rillettes pure volaille,3760164970010,['France'],[],[],?,289,1209 kj(289 kcal),25,7,"2,8",0,14,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Buonisssima cioccolata funzionale linea fondente,8017331061909,['France'],[],[],?,543,2272 kj(543 kcal),"43,7","27,2","28,5","1,6",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Donut sucre,0202952005250,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"préparation à base d'algues, d'échalotes et de citron - algae - 500g",3467740040111,['France'],[],[],?,?,,?,,?,,?,,,,['Produit en Bretagne'],,"[""Préparation d'algue""]",,,,,,,,,,,,,,,,,,,,,,500g,['Plastique'],['Algae'],,,,,,,,,,,,,,,,,,,,
24,Senza glutine capricci di mare anelli alla romana - Pescanova,8410063063034,['France'],[],[],?,219,916 kj(219 kcal),"10,6",1,"24,5",2,"5,7","1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pescanova'],,,,,,,,,,,,,,,,,,,,
25,Pâtes fraiches aux oeufs avec farce,9054931983070,['France'],[],[],?,246,1029 kj(246 kcal),"6,2","2,6","35,2","1,1","12,4","1,09","0,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Epices a massale curry de la reunion,3471541344934,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MiniMINI stick piccanti - Fratelli Beretta,8007660453223,['France'],[],[],?,2,8 kj(2 kcal),32,25,32,23,35,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fratelli Beretta'],,,,,,,,,,,,,,,,,,,,
28,Pitta kebab,5410803060005,['France'],[],[],?,678,2837 kj(678 kcal),"74,8","5,1","0,1","0,1","1,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Filet haddock transformé France,0207604026768,['France'],[],[],?,75,314 kj(75 kcal),"0,1","0,098","1,3",0,"17,3","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Poulet Blanc,0203339026172,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Thai Black Jasmine,8855273020062,['France'],[],[],?,354,1481 kj(354 kcal),"3,5",1,69,"2,6","9,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,speculoos à l'épeautre,81192496,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Oat And Honey Granola Bars - Tesco,5057753493516,['France'],[],[],?,490,2050 kj(490 kcal),"25,1","12,1","55,6","18,7","7,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tesco'],,,,,,,,,,,,,,,,,,,,
34,Cous cous vegetale tempestini,8001246209754,['France'],[],[],?,178,745 kj(178 kcal),"6,2","1,1",24,22,47,"0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Rescue Pastiglie Ribes Nero 50,5000488108613,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7290017068411,7290017068411,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,FUET EXTRA,8421395005333,['France'],[],[],?,478,2000 kj(478 kcal),38,14,"3,3","2,6",30,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Galettes farine de blé noir agriethique 6 x 60 g - Tre Galette - 360g,3507001000093,['France'],"['Farine de blé noir* 51%', 'eau', 'miel', 'sel de Guérande', ' *Ingrédient issu du commerce équitable français', '\r Allergènes: Traces de blé', 'œuf et lait']",['Non végétalien'],813,192,813 kj(192 kcal),"1,8","0,4","35,3","1,7","7,3","1,21","0,484",,"['Commerce équitable', 'Nutriscore', 'Nutriscore E', 'Produit en Bretagne', 'Agri-Éthique France', ""Emballage papier kraft permettant de réduire l'usage du plastique de 50\xa0%"", 'Farine responsable']",A,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",1.8 g,en faible quantité,0.4 g,en faible quantité,1.7 g,en faible quantité,+9%,+8%,+10%,-54%,-75%,+29%,+137%,+7%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,360 g,['Emballage-papier-kraft'],['Tre Galette'],Bretagne,"['Z.A de Kerboulard', '56250 Saint Nolff']",['Gluten'],3,1.21 g,en quantité modérée,-8%,-8%,1,-81%,B,-81%,,,,,,,,
39,Crêpes de froment fraîches farine agriethique 4 x 50 g - Tre Galette - 200g,3507001000055,['France'],"['Farine de blé* 37%', 'œufs entiers plein air 20%', 'lait entier frais', 'sucre 13%', 'bière blonde ', 'orge', 'eau', 'huile de tournesol', 'sel', '* Ingrédient issu du commerce équitable français', 'Allergènes : gluten', 'œuf et lait']",['Non végétalien'],1169,278,1169 kj(278 kcal),8,2,"41,9","15,7","8,8","0,41","0,164",,"['Commerce équitable', 'Produit en Bretagne', 'Agri-Éthique France', ""Emballage papier kraft permettant de réduire l'usage du plastique de 50\xa0%"", 'Farine de froment équitable française', 'Oeufs de volaille élevée en plein air']",A,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",8 g,en quantité modérée,2 g,en quantité modérée,15.7 g,en quantité élevée,-0%,-4%,-4%,+3%,-31%,-10%,-23%,+15%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,200 g,['Emballage-papier-kraft'],['Tre Galette'],Bretagne,"['Z.A de Kerboulard', '56250 Saint Nolff']","['Œufs', 'Gluten', 'Lait']",4,0.41 g,en quantité modérée,-48%,-48%,2,-81%,B,-81%,,,,,,,,
40,Crêpes de froment fraîches farine agriethique 6 x 50 g - Tre Galette - 300g,3507001000062,['France'],"['Farine de blé* 37%', 'œufs entiers plein air 20%', 'lait entier frais', 'sucre 13%', 'bière blonde ', 'orge', 'eau', 'huile de tournesol', 'sel', '\r* Ingrédient issu du commerce équitable français', '\r Allergènes : gluten', 'œuf et lait']",['Non végétalien'],1169,278,1169 kj(278 kcal),8,2,"41,9","15,7","8,8","0,41","0,164",,"['Commerce équitable', 'Nutriscore', 'Nutriscore E', 'Produit en Bretagne', 'Agri-Éthique France', ""Emballage papier kraft permettant de réduire l'usage du plastique de 50\xa0%"", 'Farine de froment équitable française', 'Oeufs de volaille élevée en plein air']",A,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",8 g,en quantité modérée,2 g,en quantité modérée,15.7 g,en quantité élevée,-0%,-4%,-4%,+3%,-31%,-10%,-23%,+15%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,300 g,['Emballage-papier-kraft'],['Tre Galette'],Bretagne,"['Z.A de Kerboulard', '56250 Saint Nolff']","['Œufs', 'Gluten', 'Lait']",4,0.41 g,en quantité modérée,-48%,-48%,2,-81%,B,-81%,,,,,,,,
41,Galette saumon ricotta - Tre Galette - 200g,3507001000192,['France'],"['Galette de blé noir 60% ', 'farine de blé noir* 30%', 'eau', 'miel', 'sel de Guérande', 'ricotta 12%', 'saumon fumé 9% ', 'saumon Salmo salar ', 'sel', 'eau', 'saumon cuit 6% ', 'saumon Salmo salar ', 'sel', 'crème ', 'dont stabilisant : carraghénanes', 'jus de citron', 'amidon de maïs', 'ciboulette', ""vinaigre d'alcool"", 'sel', '\r* Ingrédient issu du commerce équitable français', '\r Allergènes: Lait', 'poisson', ""traces de blé et d'œuf""]","['Non végétalien', 'Non végétarien']",720,171,720 kj(171 kcal),"4,6","1,9","22,6","1,4","8,9","1,29","0,516",,"['Commerce équitable', 'Nutriscore', 'Nutriscore A', 'Produit en Bretagne', 'Agri-Éthique France', ""Emballage éco-conçu permettant de réduire l'usage de plastique de 57\xa0%"", 'Farine responsable']",,['Crêpes et galettes'],4.6 g,en quantité modérée,1.9 g,en quantité modérée,1.4 g,en faible quantité,-35%,-35%,-35%,-42%,-37%,-41%,-89%,+26%,,,,,,,,200 g,['emballage-éco-conçu'],['Tre Galette'],Bretagne,"['Z.A de Kerboulard', '56250 Saint Nolff']","['Poisson', 'Gluten', 'Lait']",4,1.29 g,en quantité modérée,+29%,+29%,2,-79%,B,-79%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,
42,Galette saucisse oignons - Tre Galette - 220g,3507001000185,['France'],"['Galette de blé noir 54,5% ', 'farine de blé noir* 28%', 'eau', 'miel', 'sel de Guérande', 'saucisse fumée cuite 11,8% ', 'viande de porc origine France', 'sel', 'sirop de glucose', 'poivre', 'ail', 'conservateurs : acide ascorbique', 'nitrite de sodium', 'emmental 11,3%', 'pommes de terre', 'oignons 6,8% ', 'dont huile de tournesol', 'eau', 'crème ', 'dont stabilisant : carraghénanes', 'amidon de maïs', ""vinaigre d'alcool"", 'sel', '\r* Ingrédient issu du commerce équitable français', '\r Allergènes: Lait', ""traces de blé et d'œuf""]","['Non végétalien', 'Non végétarien']",851,203,851 kj(203 kcal),8,"3,7","22,4","1,4","9,3","1,12","0,448",,"['Commerce équitable', 'Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore A', 'Produit en Bretagne', 'Agri-Éthique France', ""Emballage éco-conçu permettant de réduire l'usage de plastique de 57\xa0%"", 'Farine responsable']",,['Crêpes et galettes'],8 g,en quantité modérée,3.7 g,en quantité modérée,1.4 g,en faible quantité,-23%,-23%,-23%,+1%,+22%,-42%,-89%,+31%,,,,,,,,220 g,['emballage-éco-conçu'],['Tre Galette'],Bretagne,"['Z.A de Kerboulard', '56250 Saint Nolff']","['Gluten', 'Lait']",4,1.12 g,en quantité modérée,+12%,+12%,2,-79%,B,-79%,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,
43,Breizh croques jambon fromage 2 x 115 g - Tre Galette - 230g,3507001000130,['France'],"['Pancake 60% ', 'eau', 'farine de blé noir*', 'farine de blé*', 'œufs entiers plein air', 'lait entier frais', 'poudre levante _', 'lactoserum_', 'poudre à lever : bicarbonate de sodium', 'acidifiant : acide citrique', 'amidon de maïs', 'protéines de lait', 'huile de tournesol', 'fibre de blé', 'sel', 'jambon cuit choix 15,6% ', 'jambon de porc origine France', 'eau', 'sel', 'dextrose', 'bouillon ', 'blettes', 'acérola', 'carottes', 'arôme naturel', 'ferment', 'emmental 13%', 'eau', 'crème ', 'dont stabilisant : carraghénanes', 'amidon de maïs', ""vinaigre d'alcool"", 'sel', '\r* Ingrédients issus du commerce équitable français', '\r Allergènes : blé', 'lait et œuf']","['Non végétalien', 'Non végétarien']",845,202,845 kj(202 kcal),"9,4","3,9","17,4","2,6","10,6","1,3","0,52",,"['Commerce équitable', 'Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore A', 'Produit en Bretagne', 'Agri-Éthique France', ""Emballage éco-conçu permettant de réduire l'usage de plastique de 57\xa0%"", 'Farine responsable']",,['Crêpes et galettes'],9.4 g,en quantité modérée,3.9 g,en quantité modérée,2.6 g,en faible quantité,-24%,-23%,-23%,+19%,+29%,-55%,-80%,+50%,,,,,,,,230 g,['emballage-éco-conçu'],['Tre Galette'],Bretagne,"['Z.A de Kerboulard', '56250 Saint Nolff']","['Œufs', 'Gluten', 'Lait']",4,1.3 g,en quantité modérée,+30%,+30%,2,-79%,B,-79%,"['E500ii - Carbonate acide de sodium', 'E330 - Acide citrique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,
44,Le bon biscuit,3760213070340,['France'],[],[],?,468,1958 kj(468 kcal),"25,2","15,2","53,3",28,6,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Netto Lait Pour Chat 3*,3250391075799,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Banane essiccate in vassoio,8004775009628,['France'],[],[],?,519,2171 kj(519 kcal),26,23,"63,3",14,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,El corte inglés sirope de arce canadiense grado,8433329046633,['France'],[],[],?,292,1222 kj(292 kcal),"0,5",0,71,63,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Gyoza a la ciboulette et au poulet,3052350725079,['France'],[],[],?,179,749 kj(179 kcal),"4,5",0,27,"2,7","10,3","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Herbe d’Orge en poudre,3760279860435,['France'],[],[],?,251,1050 kj(251 kcal),"0,4","0,2","22,3","8,1","8,8","0,108","0,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Aiguillettes végétales,3770016162289,['France'],[],[],?,142,594 kj(142 kcal),4,"0,6","4,3","0,3",19,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Beurre de chevre,3770011862122,['France'],[],[],?,750,3138 kj(750 kcal),80,50,0,0,0,"0,125","0,05","['FR 59.310.030 CE', 'Hon-Hergies (Nord, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lucuma en poudre Biosavor,3760279860428,['France'],[],[],?,269,1125 kj(269 kcal),"1,1","0,3","85,3","14,6","3,46","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Alimentatation pour chien,7110939867292,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Générosithé,3760163500065,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Lasagnes à la bolognaise,26070797,['France'],[],[],?,118,494 kj(118 kcal),"6,2","1,9",10,"3,8","4,8","0,88","0,352","['EMB 85222B', 'Saint-Gilles-Croix-de-Vie (Vendée, France)', 'FR 85.222.003 CE', 'Saint-Gilles-Croix-de-Vie (Vendée, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique', 'Etui en carton']",,,,,,,,,,,,,,,,,,,,,
56,Baguette,3419280066298,['France'],[],[],?,243,1017 kj(243 kcal),8,2,45,"1,4","8,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Erba cipollina frantumata,8003240065480,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Code di gambero,8002202000613,['France'],[],[],?,57,238 kj(57 kcal),"0,6","0,2","1,2",0,12,"1,65","0,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Chlorelle en poudre,3760279860473,['France'],[],[],?,343,1435 kj(343 kcal),"2,3","0,6",14,"0,4",61,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Ch'ti filet naturr,2633715028731,['France'],[],[],?,119,498 kj(119 kcal),"2,1","0,5","4,8",0,20,"0,57","0,228",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Guarana en poudre,3760279860442,['France'],[],[],?,338,1414 kj(338 kcal),"2,95","0,49","59,06",0,"12,67",,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Nuggets végétaux,3770016162739,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ketchup,1744642200426,['France'],[],[],?,118,494 kj(118 kcal),0,0,"23,5","23,5",0,"2,39","0,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Vongole al naturale,8017384050059,['France'],[],[],?,142,594 kj(142 kcal),"1,6","0,3","5,9",0,24,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Magnesium+calcium,4008233042404,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,3,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Mix protéines gout banane,3760279860619,['France'],[],[],?,531.4,2223 kj(531 kcal),"7,85","1,47","31,73","12,95","50,55","1,95","0,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Mix protéines gout cacao,3760279860602,['France'],[],[],?,527.3,2206 kj(527 kcal),"9,29","2,4","22,57","2,49","53,75","0,375","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Fourme d’Ambert de montagne,0206444012665,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bella napoli la classica margherita pizza surgelata,8000300296358,['France'],[],[],?,245,1025 kj(245 kcal),"7,7","3,7",32,"1,5",11,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,La pasta dei mini cuccioli,8009385331305,['France'],[],[],?,357,1494 kj(357 kcal),"1,5","0,3",69,"1,4",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Jambon à l ancienne,2453637024013,['France'],[],[],?,161,674 kj(161 kcal),"7,9","2,9","0,5","0,5",22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,
72,Souris d'agneau dorée au four,0211937045983,['France'],[],[],?,665,2782 kj(665 kcal),"8,8",4,"0,5","0,5",20,"0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,"['Etui en carton', 'Sachet en plastique']",,,,,,,,,,,,,,,,,,,,,
73,Pain complet,0209234007544,['France'],[],[],?,342,1431 kj(342 kcal),"1,8","0,3",65,2,12,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Saucisson sec aux noix,3700133916823,['France'],[],[],?,443,1854 kj(443 kcal),37,12,"1,6","0,2",25,"4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Crunch Poulet,3701292627377,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brillat savarin,2260004037596,['France'],[],[],?,408,1707 kj(408 kcal),40,"28,8",2,"0,4",10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Steaks Hachés pur bœuf,0209879013719,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Troccoli,8057737591419,['France'],[],[],?,309,1293 kj(309 kcal),"1,3","0,4",64,"1,2","9,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Noci lara inguscio,8001645012566,['France'],[],[],?,699,2925 kj(699 kcal),67,"6,1",5,"1,5",17,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Sal lorenzo schiacciatina,8005717000024,['France'],[],[],?,453,1895 kj(453 kcal),"20,1",10,"55,3","1,4",7,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Limonade kiwi banane,0652733098719,['France'],[],[],?,37.5,157 kj(37 kcal),0,0,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Bresola,4056489276982,['France'],[],[],?,180,753 kj(180 kcal),"10,1","1,9","14,8","1,6","6,6","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Macinato dIGPollo senza glutine,8016026027343,['France'],[],[],?,1,4 kj(1 kcal),"8,3","2,4","0,5","0,5",19,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Houmous,3368280610027,['France'],[],[],?,238,996 kj(238 kcal),26,4,10,1,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Olio extravergine di oliva grezzo italiano lt,8000188201031,['France'],[],[],?,824,3448 kj(824 kcal),92,14,0,0,0,0,0,,,,['it:Olio extravergine di oliva'],92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,,,,0 g,en faible quantité,,,20,,E,,,,,,,,,
