,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,origin_detail,manufacturing,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,markets,ingredients_origins,link,brand_owner,producer_info,generic_name,palm_ingredients
1792,Avocat Bio,8445509039151,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,8016531148694,8016531148694,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,Mimolette,2441844013784,['France'],[],[],?,324,1356 kj(324 kcal),24,17,0,0,27,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Oeuf garni de fritures lait,3273070281175,['France'],[],[],?,542,2268 kj(542 kcal),32,20,57,56,6,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,Super green,8720256194064,['France'],[],[],?,265.8,1112 kj(265 kcal),21,"0,4","33,3","8,6","18,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Supreme de volaille,3770000261158,['France'],[],[],?,389,1628 kj(389 kcal),38,"10,9",2,"0,5","7,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Tomme noire des pyrénee,0214161017320,['France'],[],[],?,346,1448 kj(346 kcal),28,20,"1,6",0,22,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Les Crousti-Pralinéa,3474341101691,['France'],[],[],?,535,2238 kj(535 kcal),30,15,56,46,"8,1","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Fromage brebis chevres,2236675036671,['France'],[],[],?,382,1598 kj(382 kcal),32,23,1,"0,5",22,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Miel del Tomillo Rosa,8437001026661,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,crousty mix,2600239026376,['France'],[],[],?,505,2113 kj(505 kcal),26,15,61,47,"6,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,SELLES-SVR-CHER - Le fromager des Halles - 150g,3589110392214,['France'],"['LAIT', 'ferments', 'sel', 'colorant: charbon végétal', ' Poids net 175 g: 150 g fromage + 25 g pot de confiture de figue']",['Non végétalien'],?,?,,22,,2,"0,5",17,"1,5","0,6",['3  589110  392214'],['AOP'],,['Fromage de chèvre au lait cru'],22 g,en quantité élevée,,,0.5 g,en faible quantité,,,,,,,,,,,,,,,,150g,['film plastique'],['Le fromager des Halles'],,['Anjouin'],['Lait'],4,1.5 g,en quantité modérée,,,,,,,['E153 - Charbon végétal médicinal'],['grand frais'],['France'],,,,,
1804,Rôti de boeuf braisé,2900350005251,['France'],[],[],?,104.7,438 kj(104 kcal),"2,89","1,2","3,3","2,59","15,3","2,77","1,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,La blanquette de veau,2418660045923,['France'],[],[],?,10,42 kj(10 kcal),"5,6",3,"3,2","1,4","8,9","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,,,,,,,,,,,,,,,,
1806,Granoro Lumache Pasta,8007290130440,['France'],[],[],?,355,1485 kj(355 kcal),"1,5","0,5",71,3,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Pech acid,6590050821082,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,Thé gorduras localizadas,5600382220390,['France'],[],[],?,2,8 kj(2 kcal),"0,5",0,"0,5","0,5","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,Rapitala' Alcomo White Wine,8002010001420,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Citrine 19,6970879594525,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Confettura Extra Di Albicocche,8018161000311,['France'],[],[],?,195,816 kj(195 kcal),0,0,47,47,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
