,name,bar_code,eco_score,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,ingredients_origins,markets,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,traceability_code,link,additives,allergens,generic_name,palm_ingredients
10,Chocolat lait Nicaragua 53%,5420051401963,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'IT-BIO-014']",['France'],[],[],,,,,,,?,,597,,2498 kj(597 kcal),,44,,27,,37,,33,,10,,,,,,,,,"0,2","0,08",,,,,,,,,,,,,,,,,,,,
11,Nougat de Montelimar,3486723012006,,,,,['France'],[],[],,,,,,,?,,440,,1841 kj(440 kcal),,"15,35",,"1,1",,68,,61,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Petit boost gelée royale - ALVITYL - 6x 10ml,3546895514545,,['ALVITYL'],['Compléments alimentaires'],,['France'],"['Ingrédients vitamines gelée royale oxyde de zine fumarate de fer', 'miel', 'eau purifiée fructose maltodextrine', 'phosphate tricalcique additifs alimentaires', 'agent de charge SIN460 ', ' cellulose microcrystalline ', 'BPF', 'colorant SINIS0a caramel ', 'BPF', ' conservateurs SIN202 sorbate de potassium ', '2000mg/kg', 'SIN211 benzoate de sodium ', '2000mg/kg', ' arome fraise acidifiant SIN330 acide citrique ', 'BPF', ""stabilisant SIN471 mono - et diglycérides d'acides gras "", 'BPF', "" Consells d'utilisation A partir de 3 ans 1 fiole par jour Prise flash de 6 jours"", ' A renouveler si nécessaire Ne pas dépasser la dose journalière recommandée', ' Ingrédients Pour 10 ml XAJR Gelée Royale 300 mg Vit', ' A Vit', ' Bl Vit B2 Vit', ' B3 ', 'PP', ' Vit', ' B5 Vit', 'B6 Vit', ' C Vit', ' D Fer Zinc ""AJR: Apports Journaliers Recommandés 400g 0', '7 mg 08 mg 9 mg 3 mg 1mg 30 mg 5 pg 7 mg 4', '5mg Précautions Ne pas utiliser chez les enfants agés de moins de 3 ans Déconseillé aux personnes allergiques aux produits de la ruche Ne peut remplacer une alimentation variée et équilibrée et un mode de vie sain Tenir hors de portée des enfants', ' A conserver dans un endroit sec', ""à l'abri de la lumière"", 'à une température inférieure à 25°C']",['Non végétalien'],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,6 x 10 ml,['Plastique'],,,4,,,,,,,,,['Laboratoire URGO - 42 rue de Longvic - 21300 CHENOVE'],['551454BD 03006095/4'],http://www.alvityl.fr,"['E460 - Cellulose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,
13,Mel nectar,5601319002836,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Assortiment de fruits séchés,3270720019973,,,,,['France'],[],[],,,,,,,?,,262,,1096 kj(262 kcal),,"0,5",,"0,1",,61,,54,,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,mini cakes marbrés - gerblé - 200g,5760947234054,C,['gerblé'],"['Biscuits et gâteaux', 'Goûter sec fourré parfum fruits']",['Fr-002-452'],['France'],"['Euf 28,9%', 'sucre', 'huile de tournesol oléique', 'fécule de pomme de terre', 'farine de riz 10% dextrose', 'pépites de chocolat noir 6,8% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithines de soja', 'arôme naturel de vanille', 'humectant ', 'glycérol', 'sirop de glucose', 'émulsifiant ', 'lécithines de colza', ' épaississants ', 'farine de graines de caroube', 'gomme xanthane', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', 'phosphates de calcium', 'sel']",[],22 g,en quantité élevée,4.3 g,en quantité modérée,34 g,en quantité élevée,1848,-1%,442,+3%,1848 kj(442 kcal),+3%,22,+15%,"4,3",-50%,57,-0%,34,+17%,"4,7",-21%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,"0,88","0,352",200g,,['Union Européenne et Non Union Européenne'],['Leclerc'],4,0.88 g,en quantité modérée,+56%,+56%,17,-8%,D,-8%,['France'],['FR-002-452'],,"['E322i - Lécithine', 'E422 - Glycérol', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",,,
16,curcumin - serhos - 910g,8430783002878,,['Serhos'],,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,910 g,['boîte plastique transparente'],,,,,,,,,,,,,,,,,,
17,Avoine calcium - Bjorg - 1L,06419213,,['Bjorg'],,['Bio'],['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,1L,['Brique'],,,,,,,,,,,,,,,,,,
18,Flan patissier,3278584980071,,,,,['France'],[],[],,,,,,,?,,145,,607 kj(145 kcal),,20,,"3,1",,26,,"2,5",,"3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Maïs croquant bio - Freshona - 300g,11876090,A,['Freshona'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en conserve', 'Maïs en conserve']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Grains de mais ', 'Origine: France', 'eau', 'sel', "" 'issus de lagiote HB0-01""]",[],1.7 g,en faible quantité,0.4 g,en faible quantité,7.4 g,en quantité modérée,?,,77,-12%,322 kj(77 kcal),-13%,"1,7",+6%,"0,4",+29%,"11,8",-16%,"7,4",+53%,"2,4",-13%,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,"0,28","0,112",300 g,['boite de concerve'],['Grains de maïs origine france'],['Lidl'],3,0.28 g,en faible quantité,-38%,-38%,-4,,A,,['France'],['L389ACA 4G 262 7 AI 1'],,,,,
