,name,bar_code,eco_score,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,ingredients_origins,markets,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,traceability_code,link,additives,allergens,generic_name,palm_ingredients
437,Boisson asiat,8801048311002,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Vacherin vanille framboise,3257986755951,,,,,['France'],[],[],,,,,,,?,,176,,736 kj(176 kcal),,"3,6",,"2,4",,34,,31,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Benediktiner Weissbier - 500ml,4052197000017,C,['Benediktiner'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières allemandes', 'Bières blanches']",,['France'],"['eau', 'malt de blé', ""malt d'orge"", 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,500 ml,['Verre'],,,3,,,,,,,,,"['Lich', 'Allemagne']",,https://www.benediktiner-weissbier.de,,['Gluten'],,
440,Eskiss tiramisu,3564706633377,,,,"['Nutriscore', 'Nutriscore D']",['France'],[],[],,,,,,,?,,201,,841 kj(201 kcal),,"7,3",,"4,6",,31,,26,,"2,5",,,,,,,,,"0,15","0,06",,,,,,,,,,,,,,,,,,,,
441,01652291,01652291,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,09288171,09288171,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Miel de lavande fine,3394950001321,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,['France'],[],[],,,0 g,en faible quantité,0 g,en faible quantité,?,,?,,,,?,,0,-100%,?,,0,-100%,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,
444,Aspic oeuf poché & saumon,3325890700302,,,,,['France'],[],[],,,,,,,?,,77,,322 kj(77 kcal),,"4,2",,"1,4",,"0,4",,"0,3",,"1,4",,,,,,,,,"9,5","3,8",,,,,,,,,,,,,,,,,,,,
445,Je vais te mettre une chataigne,3335102127292,,,,,['France'],[],[],,,,,,,?,,46,,192 kj(46 kcal),,"0,1",,0,,11,,"0,03",,0,,,,,,,,,"0,2","0,08",,,,,,,,,,,,,,,,,,,,
446,jus d'orange  💯% fruits pressés - joker - 1L,19064277,C,['Joker'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', ""Boissons à l'orange""]","['Nutriscore', 'Nutriscore C']",['France'],['A'],[],0 g,en faible quantité,0 g,en faible quantité,8.6 g,en quantité élevée,177,+8%,42,+8%,177 kj(42 kcal),+9%,0,-100%,0,-100%,"8,6",-6%,"8,6",+2%,"0,6",+77%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,"0,012","0,005",1L,"['bouteille plastique', 'Bouteille en plastique']",,,,0.0125 g,en faible quantité,-4%,-4%,12,+36%,E,+36%,,,,,,,
447,Grand mie complet aux graines,19601501,,,,,['France'],[],[],,,,,,,?,,257,,1075 kj(257 kcal),,"5,5",,"0,9",,"37,6",,"4,6",,"10,1",,,,,,,,,"1,13","0,452",,,,,,,,,,,,,,,,,,,,
448,Caffè Solubile Aroma Intenso - Conad,80037965,,['Conad'],,,['France'],[],[],,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,3",,0,,"0,2",,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
449,Fresh cream miamia,8718969480741,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Melange mexicain,2600692025459,,,,,['France'],[],[],,,,,,,?,,533,,2230 kj(533 kcal),,34,,"5,5",,37,,"4,2",,17,,,,,,,,,"1,7","0,68",,,,,,,,,,,,,,,,,,,,
451,Camomilla rochetta,8009245770671,,,,,['France'],[],[],,,,,,,?,,29,,121 kj(29 kcal),,0,,0,,"7,4",,"7,2",,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
452,Fuzetea,5449000267818,,,,,['France'],[],[],,,,,,,?,,19,,79 kj(19 kcal),,0,,0,,"4,4",,"4,4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Miamy cookies,3324321275693,,,,,['France'],[],[],,,,,,,?,,517,,2163 kj(517 kcal),,27,,11,,64,,32,,"5,6",,,,,,,,,"0,2","0,08",,,,,,,,,,,,,,,,,,,,
454,Eminces de filets de poulet,26066523,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 89.069.001 CE', 'Chailley (Yonne, France)']",,,,,
455,Guacamole - Marinoë,3565840214101,C,['Marinoë'],"['Epicerie', 'Sauces', 'Guacamoles']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],14 g,en quantité modérée,2.2 g,en quantité modérée,1.4 g,en faible quantité,?,,163,+1%,682 kj(163 kcal),+2%,14,+14%,"2,2",-15%,"4,9",-19%,"1,4",-32%,"1,8",+3%,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,"0,6","0,24",,,,,,0.6 g,en quantité modérée,-45%,-45%,5,0%,C,0%,,,,,,,
456,Trio chou jambon superieur et comté,2283992019689,,,"['Plats préparés', 'Salades', 'Salades composées', 'Trio chou jambon comté']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Grain de glace--rosé de l'hiver,3245020004035,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Barbekü sos,8690635260317,,,,,['France'],[],[],,,,,,,?,,125,,523 kj(125 kcal),,"0,4",,0,,"30,2",,24,,"0,8",,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,
459,liquide vaisselle - L' Artisan Savonnier - 1L,10011742,,"[""L' Artisan Savonnier""]","['Non alimentaire', 'Open Products Facts', 'en:Detergents']","['Ecocert', 'Greenlife']",['France'],"['Http://www', 'labogravier', 'com', "" 99% des ingrédients sont d'origine naturelle"", "" *10% des ingrédients sont issus de l'Agriculture Biologique"", ' CONSEILS D’UTILISATION : · Mettre quelques gouttes sur une éponge', ""ou directement dans l'évier rempli d'eau"", "" • Rincer à l'eau froide ou tiède"", ' • Après utilisation', 'bien rincer et sécher vos mains', "" • Afin d'économiser l'eau et l'énergie tout en lavant efficacement"", 'immergez la vaisselle au lieu de la laver au jet du robinet et respectez les doses de produit recommandées', ' Un lavage efficace ne nécessite pas une quantité de mousse importante', "" PRECAUTIONS D'EMPLOI: Provoque une irritation cutanée"", ' Provoque une sévère irritation des yeux', ' Contient du citral et du limonene', ' Peut produire une réaction allergique', ' Tenir hors de portée des enfants', "" En cas de consultation d'un médecin"", ""garder à disposition le récipient ou l'étiquette"", ' Se laver les mains soigneusement après manipulation', "" En cas d'irritation cutanée: consulter un médecin"", "" EN CAS DE CONTACT AVEC LES YEUX: rincer avec précaution à l'eau pendant plusieurs minutes"", ' Enlever les lentilles de contact si la victime en porte et si elles peuvent orciste:']",[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,1 L,['Plastique'],['France'],,,,,,,,,,,['DOMAZAN  30390'],"['EMB  30151 A', 'Lussan (Gard, France)']",,,,,
460,Miel d'Été - Le Rucher de la Vilaine - 500g,3770017725049,A,['Le Rucher de la Vilaine'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels crémeux']",,['France'],"[""Miel d'Été""]",[],,,,,,,?,,?,,,,?,,,,?,,,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,500 g,['Verre'],['France'],"[""Brin d'Herbe""]",,,,,,,,,,['Le Four Richard 35530 SERVON-SUR-VILAINE'],,,,,,
461,Doonys,2030505415427,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,le sirop d’agave,3291334350009,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",,['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,73 g,en quantité élevée,?,,310,0%,1297 kj(310 kcal),-0%,"0,5",+114%,0,-100%,76,-1%,73,-0%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Tortellini con ricotta e basilico,8007303014156,,,,,['France'],[],[],,,,,,,?,,198,,828 kj(198 kcal),,"5,3",,"1,3",,29,,"1,1",,7,,,,,,,,,"0,68","0,272",,,,,,,,,,,,,,,,,,,,
464,Garbanzo tierno,8410924120661,,,,,['France'],[],[],,,,,,,?,,388,,1623 kj(388 kcal),,"3,91",,"0,38",,61,,"8,6",,"20,6",,,,,,,,,"0,42","0,168",,,,,,,,,,,,,,,,,,,,
465,Bridges Orange Marmalade With Whisky (Pack Of 6),5020566700140,,,,,['France'],[],[],,,,,,,?,,277,,1159 kj(277 kcal),,0,,0,,"67,1",,"66,8",,"0,4",,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
466,Foie gras de canard entier du sud-ouest - Maison Montfort,3104544111844,,['Maison Montfort'],,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Granblocco cioccolato al latte,8000300369854,,,,,['France'],[],[],,,,,,,?,,532,,2226 kj(532 kcal),,30,,18,,60,,59,,"5,2",,,,,,,,,"0,2","0,08",,,,,,,,,,,,,,,,,,,,
468,Épices chorba,3390122205719,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,14362208,14362208,,,,,['France'],"['farine de blé', 'oeufs entiers', 'sucre', 'beurre 9/100', 'pâte et cubes d oranges confites 7', '5/10', ' ', 'écorces d orange', 'sirop de glucose - fructose', 'sucre', 'jus d orange concentré']",['Non végétalien'],,,,,,,1521,,362,,1521 kj(362 kcal),,12,,"7,8",,?,,23,,"7,6",,,,,,,,,"0,5","0,2",,,,,4,,,,,,,,,,,,,"['Gluten', 'Lait']",,
470,3760271060154,3760271060154,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Original Guinness,5000213024751,,['Original Guinness'],"['Boissons', 'Boissons alcoolisées']",,['France'],[],[],,,,,,,?,,?,,,,?,,0,-100%,?,,0,-100%,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Jambon superieur cuit au bouillon - La Jasse,3700118302665,,['La Jasse'],,,['France'],[],[],,,,,,,?,,101.5,,425 kj(101 kcal),,"1,9",,"0,7",,"0,8",,"0,4",,"20,3",,,,,,,,,"2,2","0,88",,,,,,,,,,,,,,,"['EMB 12063C', 'Cavalerie (Aveyron, France)']",,,,,
473,Saumon fumé Grand Nord Norvégien - Petit Navire,3760253432474,E,['Petit Navire'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,['France'],[],[],13 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,?,,205,+11%,858 kj(205 kcal),+11%,13,+24%,"1,9",-8%,"0,5",+1%,"0,5",+50%,22,-0%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,3,"1,2",,,,,,3 g,en quantité élevée,+6%,+6%,13,-1%,D,-1%,,,,,,,
474,Infusion camomille,3439497004180,,,,,['France'],[],[],,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
475,Zou cha,3363790312058,,,,['Bio'],['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Coulis abricots mangues,3278930006660,,,,,['France'],[],[],,,,,,,?,,125,,523 kj(125 kcal),,"0,2",,0,,30,,30,,"0,7",,,,,,,,,"4,4","1,76",,,,,,,,,,,,,,,,,,,,
477,Velouté de légumes,3574315380272,,,,,['France'],[],[],,,,,,,?,,28,,117 kj(28 kcal),,"0,8",,"0,5",,"4,3",,"0,8",,"0,4",,,,,,,,,"0,43","0,172",,,,,,,,,,,,,,,,,,,,
478,Rognon de veau - Sobeval - 200gr,2110750001924,,['Sobeval'],"['Poissons et viandes et oeufs', 'Abats']",,['France'],"['ROGNON DE VEAU 200G DEGRAISSE', 'CUBE Peut contenir des traces de: blé', 'lait,soja', 'oeuf', 'sulfite']",[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,200gr,['sous vide'],,,,,,,,,,,,,"['FR 24.053.001 CE', 'Boulazac (Dordogne, France)']",,,['Gluten'],,
479,Madeleine,3136530410136,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,['France'],[],[],27 g,en quantité élevée,2.5 g,en quantité modérée,22 g,en quantité élevée,?,,476,+8%,1992 kj(476 kcal),+8%,27,+18%,"2,5",-64%,52,-2%,22,-20%,"5,7",+0%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"0,88","0,352",,,,,,0.88 g,en quantité modérée,+9%,+9%,14,-24%,D,-24%,,,,,,,
480,Grissini all'acqua senza grassi aggiunti stirati a mano,8032610380052,,,,,['France'],[],[],,,,,,,?,,384,,1607 kj(384 kcal),,"1,81",,"0,3",,"73,92",,"2,52",,"13,64",,,,,,,,,"2,36","0,944",,,,,,,,,,,,,,,,,,,,
481,Sauce Aigre-Douce,2500079002205,,,,,['France'],[],[],,,,,,,?,,106,,444 kj(106 kcal),,"0,32",,"0,05",,"17,3",,"16,1",,"0,4",,,,,,,,,"1,2","0,48",,,,,,,,,,,,,,,"['FR 64.024.013 CE', 'Anglet (Pyrénées-Atlantiques, France)']",,,,,
482,Emmental bloc,4400087063077,,,,,['France'],['acide gras saturésprotéinessel'],[],,,,,,,?,,369,,1544 kj(369 kcal),,29,,18,,0,,0,,27,,,,,,,,,"0,5","0,2",,,,,,,,,,,,,,,,,['E570 - Acide stéarique'],,,
483,nestlé ptite céréales cacao,8054710063116,,,,['Sans conservateurs'],['France'],[],[],,,,,,,?,,386,,1615 kj(386 kcal),,"2,6",,1,,78,,"18,5",,10,,,,,,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,
484,Valeriane Bio Eco Responsable - 90 Gélules - Nat & Form,3535400009256,,,,['Bio'],['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Chocolat au lait cranberries,4056489277514,,,,,['France'],[],[],,,,,,,?,,558,,2335 kj(558 kcal),,"35,7",,"18,3",,"50,1",,"48,4",,"6,7",,,,,,,,,"0,48","0,192",,,,,,,,,,,,,,,,,,,,
486,Coeurmandie - 320g,3155250322635,B,"['Coeurmandie', 'Lactalis']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages pasteurisés']",,['France'],"['Lait de vache ', 'origine France', 'sel', 'ferments']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",15 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,310,-76%,145,-54%,310 kj(145 kcal),-76%,15,-42%,"3,5",-80%,0,-100%,0,-100%,25,+34%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"1,3","0,52",320g,['Frais'],['France'],,3,1.3 g,en quantité modérée,-10%,-10%,3,-79%,C,-79%,"['Normandie', 'France']","['FR 50.453.001 CE', 'Sainte-Cécile (Manche, France)']",,,['Lait'],Fromage à pâte molle au lait pasteurisé,
487,Sauce de soja sucree,8859585800336,B,,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja sucrées']",,['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,69 g,en quantité élevée,?,,287,+27%,1201 kj(287 kcal),+26%,"0,5",+179%,0,-100%,70,+35%,69,+50%,"0,5",-85%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,"6,4","2,56",,,,,,6.4 g,en quantité élevée,-20%,-20%,23,+11%,E,+11%,,,,,,,
488,Orange à jus Espagne 3kg dont1kg gratuit,8432117722162,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Coccodrì - Haribo,8426617657055,,['Haribo'],,,['France'],[],[],,,,,,,?,,345,,1443 kj(345 kcal),,"0,5",,"0,1",,79,,51,,"5,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Haché de veau à cuisiner BIO - Tendriade - 350g,3384485092529,,['Tendriade'],"['Viandes', 'Viandes fraîches']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['France'],"['Viande de veau * ', '99%', "",sel,antioxydant:E300 *Issue de l'agriculture biologique"", ' Taux de matière grasse <15%', ' Rapport collagène sur protéine de viande <18', ' Présence possible de lait', 'soja', 'gluten et æuf', ' Viande : origine France']","['Non végétalien', 'Non végétarien']",15 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,?,,207,+21%,866 kj(207 kcal),+20%,15,+40%,6,+47%,"0,5",-44%,0,-100%,"17,5",-5%,,,,,,,,"0,15","0,06",350g,"['barquette plastique', 'film plastique', 'emballage en carton']",['France'],['magasin U'],3,0.15 g,en faible quantité,-77%,-77%,2,-52%,B,-52%,,"['FR 35.068.002 CE', 'Châteaubourg (Ille-et-Vilaine, France)']",,['E300 - Acide ascorbique'],"['Gluten', 'Soja']",,
491,2860295033064,2860295033064,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,,,,
492,Saucisses de Frankfort,2274732018895,,,,,['France'],[],[],,,,,,,?,,241,,1008 kj(241 kcal),,"19,7",,"7,4",,"2,1",,"1,5",,14,,,,,,,,,2,"0,8",,,,,,,,,,,,,,,,,,,,
493,Cheddar rouge rapé,8715261987787,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés']",,['France'],[],[],33.8 g,en quantité élevée,1.7 g,en quantité modérée,0.1 g,en faible quantité,?,,33.8,-91%,141 kj(33 kcal),-91%,"33,8",+17%,"1,7",-91%,"1,7",+76%,"0,1",-72%,"24,4",-11%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"1,7","0,68",,,,,,1.7 g,en quantité élevée,+70%,+70%,3,-77%,C,-77%,,,,,,,
494,Nhco Amino chélaté Fer,3760196530039,,,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
495,Bavette d'aloyau,3547448742439,,,"['Viandes', 'Bœuf']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Bloc XL Croquis 14.8X21 A5 90G,3148957872213,,,,,['France'],[],[],,,,,,,?,,15,,63 kj(15 kcal),,5,,0,,0,,0,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
497,Kombucha,3770010589389,C,,"['Boissons', 'Boissons au thé', 'Kombuchas']",,['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,4.5 g,en quantité modérée,?,,23,+28%,96 kj(23 kcal),+28%,"0,1",+108%,"0,1",+258%,"4,5",+18%,"4,5",+31%,1,+1274%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,"0,1","0,04",,,,,,0.1 g,en faible quantité,+400%,+400%,7,+22%,D,+22%,,,,,,,
498,Chips,5941445674546,,,,,['France'],[],[],,,,,,,?,,477,,1996 kj(477 kcal),,24,,"2,3",,55,,"1,8",,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,scooby-doo! lollipop - 5+1,8681305081622,,['scooby-doo!'],,,['France'],"['GB', ' strawberry', 'apple', 'orange', 'lemon flovoured lollipops', 'ingrediends: sugar,glucose syrup', 'acidity regulators ', 'citric acid', 'malic acid', ',flavourings ', 'lemon', 'strawbery', 'apple', 'orange', ' ', 'coleur', 'E160a', 'E163', 'E141']",[],,,,,,,1658,,369,,1658 kj(369 kcal),,0,,0,,99,,72,,0,,,,,,,,,0,0,5+1,['şeffaf kağıt'],,,4,,,,,,,,,,,,"['E330 - Acide citrique', 'E296 - Acide malique', 'E160a - Carotènes mélangés', 'E163 - Anthocyanes', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines']",,,
500,Gazpacho l’Original - Alvalle,00087283,B,['Alvalle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']","['Nutriscore', 'Nutriscore A']",['France'],[],[],2.6 g,en faible quantité,0.4 g,en faible quantité,3.1 g,en faible quantité,?,,45,+10%,188 kj(45 kcal),+9%,"2,6",+6%,"0,4",+4%,"3,9",+16%,"3,1",+22%,"0,8",+2%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,"0,61","0,244",,,,,,0.61 g,en quantité modérée,-8%,-8%,2,+68%,B,+68%,,,,,,,
501,sauce à la truffe,3760171284513,,,,,['France'],[],[],,,,,,,?,,175.95,,736 kj(175 kcal),,"17,36",,"1,87",,"1,18",,"1,18",,"0,34",,,,,,,,,"1,25","0,5",,,,,,,,,,,,,,,,,,,,
502,Aceite de oliva virgen extra,8437001445165,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],[],[],91.4 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,?,,822,-4%,3439 kj(822 kcal),-4%,"91,4",-4%,"12,8",-9%,0,,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,0,0,,,,,,0 g,en faible quantité,-100%,-100%,6,-2%,C,-2%,,,,,,,
503,Zesty Lemon Juice,9300633292355,,,,,['France'],[],[],,,,,,,?,,3,,13 kj(3 kcal),,10,,1,,10,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,"Cevapcici, Izmir Köftesi - 1000g",4047187002195,,,,,['France'],[],[],,,,,,,?,,188,,787 kj(188 kcal),,"12,4",,"6,6",,"5,2",,"0,9",,"13,9",,,,,,,,,"3,5","1,4",1000 g,,,,,,,,,,,,,,,,,,,
505,Petits muffins,3423720002838,,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,?,,388,,1623 kj(388 kcal),,22,,"9,6",,"38,9",,"25,7",,"6,4",,,,,,,,,"0,53","0,212",,,,,,,,,,,,,,,,,,,,
506,President,3228024857050,,['President'],,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 44.023.001 CE', 'Bouvron (Loire-Atlantique, France)']",,,,,
507,Alimentation chien,5425039484075,,,,"[""Fabriqué dans l'UE""]",['France'],[],[],,,,,,,?,,82,,343 kj(82 kcal),,5,,0,,0,,0,,9,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
508,Terrine Canard poivre vert - Cadets de Gascogne - 190g,3442780002640,E,['Cadets de Gascogne'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,['France'],"['Viande de porc', 'Viande de canard 25%', 'Foie volaille,poivre vert 1%', 'armagnac,vin blanc,oeufs', 'Sel,poivre,épices', ' CANAR D POR C VOLAILLE ORIGINE: FRANCE PRODUT FOIE GR SUD', 'OUES CANARD ABASE DE']","['Non végétalien', 'Non végétarien']",26.1 g,en quantité élevée,9.78 g,en quantité élevée,0 g,en faible quantité,1280,+15%,310,+1%,1280 kj(310 kcal),0%,"26,1",-1%,"9,78",+3%,"3,53",+105%,0,-100%,"15,2",+7%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,"1,54","0,616",190g,,,,3,1.54 g,en quantité élevée,+1%,+1%,18,+1%,D,+1%,,,,,['Œufs'],,
509,disposable médical mask - disposable médical masque,6971480022070,,['disposable médical masque'],['Pharmacie'],,['France'],"['The disposable medical mask consists of a mask body', 'mask band to the different materials of the mask body', 'our company divides the into A type and B type', ' The mask body of type A is made of non-wo body of type B is made of non-woven absorbent gauze', ' According the mask body', 'there are two specifications for the A and B types', ' Disposable medical masks are non-sterile disposable products', ' 900pe of application: It is suitable for wearing in general medical e exhalation or spraying of pollutants from the oral cavity and nasal c= nsctions for use: Open the single package along the tearing oper bag', 'take out the mask', 'take care not to touch the inner surface of th band to the ears', 'pull down the mask body with both hands', 'so that t completely cover your mouth and nose', ' duct performance: Disposable medical masks should be non-sterile disposable produc should be no less than 8', '0cm', 'the bacterial filtration efficiency shouil than 100CFU/g']",[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,['Sachet'],,,,,,,,,,,,,,,,,,
510,Medicament,3664391000116,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,3760271170624,3760271170624,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Bouchons porc combava,3770004232246,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
513,Near zero BBQ flavour,7427029591709,,,,,['France'],[],[],,,,,,,?,,18.5,,77 kj(18 kcal),,0,,0,,"4,1",,"1,4",,0,,,,,,,,,"2,4","0,96",,,,,,,,,,,,,,,,,,,,
514,Draw Something Liao Black Pepper 40G,80273202,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
