,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,labels,traceability_code,link,manufacturing,ingredients_origins,brand_owner,origin_detail,producer_info
294,Hot Chili Sauce Sriracha - T&t Foods,8934637610016,,,,,['T&t Foods'],"['Epicerie', 'Sauces', 'Sauces pimentées', 'Sauces sriracha']",,['France'],[],,,[],,0.9 g,en faible quantité,0.2 g,en faible quantité,27 g,en quantité élevée,7.7 g,en quantité élevée,?,,134,+13%,561 kj(134 kcal),+14%,"0,9",+28%,"0,2",+17%,29,+16%,27,+27%,"1,2",0%,"7,7",+33%,"3,08",+33%,16,+9%,D,+9%,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
295,Sauce Soja Maggi - La cuisine d autrefois,8934804020389,,,,,['La cuisine d autrefois'],,,['France'],"['Eau ,sel', 'extrait de s naturel,acide acétique,consewateJ le : voir date sur Na Produit Du Viet Energy ', 'Calorie', ' I Fat']",['E260 - Acide acétique'],,[],,,,,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,"0,37",,"0,37",,"0,12",,"0,151",,"0,06",,,,,,,,,,,,,,,,,,,,,
296,Sauce Poisson Phu Quoc Hung Thanh 250ML,8934874112250,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,420,,1757 kj(420 kcal),,0,,0,,0,,0,,24,,"10,22",,"4,088",,,,,,,,,,,,,,,,,,,,,
297,Vinawang Cashew Nut Crisp 150G,8935000901113,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,482,,2017 kj(482 kcal),,"19,6",,"3,75",,"68,75",,"34,4",,"7,76",,0,,0,,,,,,,,,,,,,,,,,,,,,
298,Sésame Noir 200G - PSP,8935000901458,,,200g,,['PSP'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines']",,['France'],[],,,[],,45.1 g,en quantité élevée,7.43 g,en quantité élevée,2.08 g,en faible quantité,0 g,en faible quantité,?,,582,+91%,2435 kj(582 kcal),+93%,"45,1",+571%,"7,43",+754%,"22,3",-45%,"2,08",+60%,"21,8",+82%,0,-100%,0,-100%,14,,D,,,,,,,,,,,,,,,,,
299,MP Fruit Food Chips - Jack Fruit 200G - 200g,8935034312022,,,200 g,,,,,['France'],[],,,[],,,,,,,,,,?,,455,,1904 kj(455 kcal),,"14,5",,"6,4",,"75,1",,51,,"6,8",,0,,0,,,,,,,,,,,,,,,,,,,,,
300,Galette De Riz - Thang Phong - 400g,8936007910023,,Galette de riz,400 g,['Plastique'],"['Thang Phong', 'Tufoco']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de riz pour rouleau de printemps']",['Paris Store'],['France'],"['Farine de riz 60%', 'farine de tapioca', 'farine de blé', 'sel', 'eau']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1 g,en faible quantité,0.3 g,en faible quantité,1 g,en faible quantité,0.71 g,en quantité modérée,?,,342,+5%,1431 kj(342 kcal),+4%,1,+231%,"0,3",+313%,80,+6%,1,+44%,"4,6",+154%,"0,71",-23%,"0,284",-23%,5,-23%,C,-23%,,,,,,,,,,,,['Viêt Nam'],,,,
301,Jus de fruit naturel,8936121115120,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,11,,"10,5",,0,,0,,0,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,
302,Jus de litchi,8936121115137,,,,,,['Jus de litchi'],,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,?,,42,,176 kj(42 kcal),,0,,0,,"10,5",,10,,0,,0,,0,,2,,B,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,
303,Sucre de cocotier - Bon Pour Lavie - 450g,8991212553038,,Sucre complet granulé aux fleurs de cocotier,450g,['Etui plastique'],['Bon Pour Lavie'],['Sucre de cocotier'],,['France'],['MINERAUX mg / 100 g\rPotassium 1030 \rPhosphore 79 \rSodium 45\rMagnesium 29\rCalcium 8\rFer 2\rZinc 2'],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,92.1 g,en quantité élevée,0.1 g,en faible quantité,?,,378,,1582 kj(378 kcal),,"0,1",,"0,1",,"92,3",,"92,1",,"0,1",,"0,1",,"0,04",,14,,D,,,,,,,,,,,,,['INDONESIE'],['Indonésie'],,,
304,Fried noodle -,8995188601878,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,['France'],"['Wheat flour', 'vegetable ol', 'tapioca starch', 'salt', 'thickener ', 'E412', 'acidity ragulor ', 'E500i', 'E501i', 'stabilizer ', 'E4511', ' SEASONING: Salt', 'sugar', 'food enhancer monosodium glutamate', 'garlic powder', 'synthetic chicken flavour', 'white pepper powder and chilli powder', ' OIL : palm oil and onion ', 'contains antioxidant TBHQ', '  SWEET SOY SAUCE: Sugar', 'water', 'salt', 'soybean', 'food enhancer monosodium glutamate', 'preservatives ', 'sodium berzoate']","['E412 - Gomme de guar', 'E500i - Carbonate de sodium', 'E501i - Carbonate de potassium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E319 - Butylhydroquinone tertiaire']","['Gluten', 'Soja']",['Huile de palme'],4,,,,,,,,,?,,300,+0%,1255 kj(300 kcal),-0%,11,-5%,5,-5%,44,+9%,2,-17%,7,+10%,"0,07",-97%,"0,028",-97%,,,,,,,,,,,,,,,,,,,,
305,Rasa kaldu ayam,8995188602776,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,270,,1130 kj(270 kcal),,11,,5,,37,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
306,Banh pho,8998008000073,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,325,,1360 kj(325 kcal),,"1,5",,0,,0,,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,
307,10 Slices Toast Cheese - Emmental Taste - Makabi,9000133251486,D,10 Slices Toast Cheese - Emmental Taste / Fromage à Toaster avec Emmental,,"['Sachet', 'Plastique']",['Makabi'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte fondue', 'Fromages en tranches', 'Fromages fondus']",,['France'],"['Fromage', 'eau', 'Emmental ', '22 %', 'lait écrémé en poudre', 'sels', 'émulsifiants : E452', 'E339', ""régulateur d'acidité "", 'E330']","['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,25 g,en quantité élevée,16 g,en quantité élevée,5 g,en quantité modérée,2.33 g,en quantité élevée,?,,309,+22%,1293 kj(309 kcal),+22%,25,+24%,16,+19%,5,-8%,5,+24%,16,+37%,"2,33",+17%,"0,932",+17%,19,+23%,E,+23%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,,"['Point Vert', 'Casher Lepessah', 'Kosher for passover']",['AT 80253 EC'],,['Autriche'],,,,
308,Fleisch Sugo Felix - 360g,9000295830284,,,360g,"['Glass', 'Glas']",['Felix'],"['Epicerie', 'Sauces', 'Sauces pour pâtes']",,"['Autriche', 'France', 'Allemagne']","['Knoblauch', 'Weißer Pfeffer', 'Oregano', 'Zucker', 'Salbei', 'Sellerie', 'Tomate', 'Gewürz Extrakte', 'Schweinefleisch', 'Karotten', 'Rapsöl', 'Basilikum', 'Speisesalz', 'Rindfleisch', 'Zwiebel', 'Thymian']",,['Céleri'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,6.8 g,en quantité modérée,2.4 g,en quantité modérée,5.9 g,en quantité modérée,1.4 g,en quantité modérée,?,,109,-20%,456 kj(109 kcal),-19%,"6,8",-26%,"2,4",+40%,"6,2",-6%,"5,9",+25%,"4,5",+34%,"1,4",+10%,"0,56",+10%,8,+58%,C,+58%,,,,,,,,,,,,,,,,
309,Neapolitaner-schnitten - Manner,9000331617022,,,,,['Manner'],,,"['Autriche', 'France']",[],,,[],,,,,,,,,,?,,485,,2029 kj(485 kcal),,22,,13,,65,,65,,"5,6",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,
310,Yo - Fruchtsirup Himbeer-zitrone,9001400001049,,,,['Flasche'],['Yo'],['Boissons'],,"['Autriche', 'France']","['Cukr', 'glukózovo-fruktózový sirup', 'voda', '\rovocná šťáva z koncentrátu maliny ', '5%', 'citronu \r', '5%', 'arónie a černého bezu', 'kyselina: kyselina \rcitronová', 'aroma']",['E330 - Acide citrique'],,[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,9.3 g,en quantité élevée,0.01 g,en faible quantité,?,,38,-32%,159 kj(38 kcal),-34%,"0,5",+44%,"0,1",-15%,"9,4",-17%,"9,3",-1%,"0,5",+1%,"0,01",-76%,"0,004",-76%,13,+70%,E,+70%,,,,,,,,,,,,,,,,
311,Pago rhubarbe,9001400101541,D,,,,['Pago'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Boissons aux fruits', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes', 'Jus de fruits']",,['France'],"['O Pago Rhubarbe Boisson aux fruits et légumes - Rhubarbe Poire', ' Teneur en fruits : 32%', 'ngrédients : eau ', ' jus de rhubarbe ', '18%', ' ', ' sucre ', ' purée de poire à base de purée concentrée ', '9%', 'jus à base de jus concentrés de : citron', 'carotte noire ', ' arômes naturels']",,,[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,52,+100%,218 kj(52 kcal),+102%,"0,5",+192%,"0,1",+215%,12,+125%,12,+156%,"0,5",-26%,0,-100%,0,-100%,16,,E,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
312,Apple-Pear - Fruit&go Squeezer - 100g,9001495090287,,,100 g,,"['Fruit&go Squeezer', 'Bio']",,,"['France', 'Suisse']","['pommes bio 70%', 'poires bio 30%', ' Pasteurisé']",,,[],,,,,,,,,,?,,56,,234 kj(56 kcal),,"0,5",,"0,2",,12,,10,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
313,Victor Schmidt Austria Mozartkugeln - Manner,9001508084722,,,,,['Manner'],,,['France'],"['SCHOKOLADE-PRALINEN MIT ', '40%', ' UND NOUGATCREME ', '33%', 'UMHOLLT VON SCHOKOLADE • Kakaomasse', 'Mandeln', 'Palmfette', 'Haselnüsse ', '17% in der Vollmilchpulver', 'Kakaobutter', 'Milchzucker', 'Feuchthaltemittel: Sorbit und Invertase', 'Butterreinfett', 'mageres Kakaopulver', 'Emulgator: Sojalecithin', 'Aromen', 'Magermilchpulver', 'Sâuerungsmittel: Citronensâure', 'Sügmolkenpulver', ' Bei Zimmertemperatur und trocken lagern', ' Mindestens haltbar bis: siehe Seite', ' @ PRALINKY PLNÉNÉ MARCIPANEM ', '40%', "" A NUGATOV'FM KRÉMEM "", '33%', 'V • ', 'Ukr', 'hmota', 'mandle', 'palmovy tuky', 'liskové oiiiky ', '17% v krému', 'suiené ptnotuëné mléko', 'kakaové mislo', 'laktéza', 'zvlhëujici lâtky: sorbitol a invertéza', 'mislovj tuk', 'nizkotuënj kakaovj priiek', 'emulgâtor', ' séjovj lecitin', 'I aroma', 'suiené nizkotuëné mléko', 'regulitor kyselosti: kyselina citrénové', 'suiené sladké - syrovétka', ' Uchovâvat pii pokojové teplotë a v suchu', ' Minimilni trvanlivost do: viz Obal', ' @ SLÂVNE MOZARTOVE GULKY - BONDONY Z HORKEJ COKOLADY S NAPLf10U Z ', '33%', ' A \\ MANDLOVÉHO MARCIPANU ', '40%', ' • Zloienie•', ' i ', ' palmov', ' tUky', 'lieskové orieiky ', '17% v kréme', 'pinotuülé mlieko', 'kakaovè maslo', ' laktéza', 'kypriaca lâtka•', ' sorbitol a invertâza', 'iistj tuk', 'odtudneny kakaovy préiok', 'emulgâtor: séjovj lecitin', 'arôma', 'odstredené mlieko', 'regulâtor kyslosti: kyselina citrénovâ', 'sladké suienâ switka', ' Skladu•te v suchu chrihte pred teplom', ' Minimâlna trvanlivosi dot na PRALINE PUNJENE MARCIPANOM ', '40%', ' I NUGAT KREMOM ', '3396', ' PRELIVENE sastojci•', ' ukao masa', 'bademi', 'palm masti', 'leinici ', '17% u kremu', 'punomasnomleko u prahu', 'kakao-maslac', 'laktoza', 'stabilizator: sorbitol i invertaza', 'masnoéi ilmaslaca', 'kakao-prah sa niskim sadüajem masti', 'emulgator: sojin lecitil obrano mleko u prahu', 'limunska kiselina', 'slatka surutka u prahl na hladnom i suvom mestu', ' Upotrebljivo do: videti na proizvodu', ' Uvozni ,àSrbiju: Alca Trgovina d', 'o', 'o', 'Beogradska 7', '11272 Dobanovci', ' Uvoznik MNE bAR-KOD d', 'o', 'o', 't Donja Gorica bb', '81 000 Podgorica', '@ BEVONVA • bsszetevôk: Cukor', 'kakaômassza', 'mandula', 'pilmazsirc ', '17% a krémben', 'teljes tejporn kakaévaj', 'tejcukt nedvesitôszer ', 'szorbit', 'invertéz', 'vajzsir,- sovény kakaépor', 'Q6hlecitin', 'aromék', 'soviny tejpor', 'étkezési sav ', 'citromsav', 'édt tejsav6por', ' Széjitt tejôsszetevôket', 'diéféléket tartalmaz', ' Szobah6mérsékletŒ tirolandé', 'Minôségét meg6rzi ', 'nap', 'h6nap', 'év', ': lisd a csomagoll']",,['Fruits à coque'],[],,,,,,,,,,?,,508,,2125 kj(508 kcal),,"11,2",,1,,"58,4",,"27,4",,1,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,
314,Raps Öl Merkur - 750ml,9002235932379,,,750 ml,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
315,Jomo Roulade aux framboises - 400g,9002287000972,,,400 g,,['JOMO'],,,"['France', 'Suisse']",[],,,[],,,,,,,,,,1449,,?,,1449 kj(346 kcal),,"9,1",,"5,3",,63,,35,,"0,45",,"0,63",,"0,252",,,,,,,,,,,,,,,,,,,,,
316,Refresco Energetico Red Bull Red Edition Lata 250ML,9002490220037,,,,,['Red Bull'],"['Boissons', 'Boissons énergisantes']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,,,?,,46,+28%,192 kj(46 kcal),+29%,0,-100%,0,-100%,11,+37%,11,+52%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,
317,Redbull Energy Drink - 355ml,9002490236762,,,355ml,['Canette'],['Redbull'],"['Boissons', 'Boissons énergisantes']",['Carrefour'],['France'],"['des Energy Drink- teneur éle ée en cafe deconseillé aux enfants et aux femne enceintes ou allaitantes ', '32 mg/0m A consommer avec modération', ' Ingredients: eau gazéifiée', 'saccharose', 'glucoce ociditfiant ', 'acide citrique', 'taurine ', '0,4%', ""comee d'acidite "", 'carbonates de sodium', 'carbonates de cy nesium', 'caféine ', '0,03%', 'vitamines ', 'niacine', 'ac paniorihenique', 'B6', 'B12', ' arômes', 'coloranis ', 'care ordinaire', 'ribotlavines']","['E330 - Acide citrique', 'E502 - Carbonates']",,[],4,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.1 g,en faible quantité,?,,46,+28%,192 kj(46 kcal),+29%,0,-100%,0,-100%,11,+37%,11,+52%,0,-100%,"0,1",-13%,"0,04",-13%,15,+39%,E,+39%,,,,,,,,,,,,,,,,
318,Cocktail Rouge Multivitamines - Pago,9002515425133,,,,,['Pago'],['Boissons'],,['France'],[],,,[],,12.5 g,en quantité élevée,0.5 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,55,-2%,230 kj(55 kcal),-5%,"12,5",+3502%,"0,5",+324%,"12,5",+11%,12,+27%,"0,2",-60%,0,-100%,0,-100%,16,+109%,E,+109%,,,,,,,,,,,,,,,,
319,Grissini avec sel marin - 250g,9002859011061,,,250 g,['Packung(en)'],,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,402,,1682 kj(402 kcal),,9,,4,,67,,2,,12,,"2,5",,1,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,
320,Bacon Snack - Snackline - 125g,9002859031328,C,Extrudés frits à base de blé à l'arôme bacon,125 g,"['Sachet', 'Plastique']",['Snackline'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritif soufflés au bacon']",,['France'],"['Farine de blé ', '65%', 'huile végétale ', 'palme', 'sel ', '<4%', 'poudre à lever : E500ii ', ' colorants : E100', 'E160b', 'E101', 'E120', 'extrait de paprika ', ' sirop de glucose', 'arôme', 'légumes déshydratés : oignons', 'ail', 'antiagglomérant E551 ', "" extraits d'épices""]","['E500ii - Carbonate acide de sodium', 'E100 - Curcumine', 'E160b - Rocou', 'E101 - Riboflavine', 'E120 - Acide carminique', 'E160c - Extrait de paprika', 'E551 - Dioxyde de silicium']",['Gluten'],"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,26.6 g,en quantité élevée,12.4 g,en quantité élevée,3.5 g,en faible quantité,2.9 g,en quantité élevée,2107,+2%,504,+2%,2107 kj(504 kcal),+2%,"26,6",+9%,"12,4",+469%,"56,8",-4%,"3,5",+23%,8,+18%,"2,9",+6%,"1,16",+6%,26,+72%,E,+72%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Huile de palme'],,,,,,,,
321,Mini Rochers Coco - Pâtisserie Gunz - 175g,9002859035579,C,Mini Rochers Coco,175 g,"['Sachet', 'Plastique']",['Pâtisserie Gunz'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Rochers à la noix de coco']",,['France'],"['noix de coco ', '31%', 'sucre', 'sirop de glucose', ""blanc d'œuf"", 'dextrose', 'farine de riz', ' Peut contenir du lair du cozt et du traces de fruits à coque']",,['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,22.8 g,en quantité élevée,21.4 g,en quantité élevée,57.7 g,en quantité élevée,0.08 g,en faible quantité,?,,476,+6%,1992 kj(476 kcal),+6%,"22,8",-3%,"21,4",+4%,"58,8",+14%,"57,7",+33%,4,-7%,"0,08",-46%,"0,032",-46%,25,+11%,E,+11%,73.2%,12.2%,5.9%,5.6%,3.1%,0.0%,74,,['Fabriqué en Belgique'],,,,,,,
322,Chocolate mints - Maitre Truffout - 406kg,9002859044694,,,406 kg,,['Maitre Truffout'],,,['France'],[],,,[],,,,,,,,,,?,,456,,1908 kj(456 kcal),,17,,10,,70,,61,,4,,0,,0,,,,,,,,,,,,,,,,,,,,,
323,Gewürz Meersalz 100g Mühle Niko,9002859049262,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
324,Papagena biscuits de pâte brisée fourrés de crème au chocolat,9002859049606,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,537,,2247 kj(537 kcal),,34,,11,,51,,21,,"6,5",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,
325,Candies With Forest Berries Flavour - woogie - 200g,9002859055614,E,,200g,,['Woogie'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,['France'],"['9 002859 055614 Im Hau 23', '6841 Mader/Austria - www', 'gunz', 'cc u / Vjtivovéùdaie na/ Dédaraw', ' nutriboanelle pour/ / Informad6n por/VPvové édaje na I Nutriùonal declaration per Energezé la I valorenergético I energia I energy Tuky / rnaùères grasses ! kiltapé I grasas I tuky / fat z nasyœné rrBst', 'é kyselinyl']",,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,70 g,en quantité élevée,0 g,en faible quantité,?,,392,+10%,1640 kj(392 kcal),+9%,"0,5",-73%,"0,1",-91%,97,+16%,70,+21%,"0,5",-76%,0,-100%,0,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,
326,Paprika Mix Snack Im 100g Beutel Von Snackline,9002859061790,,,,,['Snackline'],,,['France'],"['farine de blé 41%', 'huile de palme', 'flocons de pommes de terre', 'granulés de pommes de terre', 'sel', 'épices', 'sucre', 'exhausteurs de goût: E621 ', 'E627', 'E631', ' arôme', 'poudre à lever', ' E500', ' stabilisant: E471', ' maltodextrine ', 'contient du gluten', 'antiagglomérant: E551', ""E34 correcteur d'acidité: E330""]","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E551 - Dioxyde de silicium', 'E330 - Acide citrique']",['Gluten'],['Huile de palme'],4,,,,,,,,,?,,494,,2067 kj(494 kcal),,27,,12,,59,,"3,1",,"6,9",,"4,025",,"1,61",,,,,,,,,,,,,['Huile de palme'],"[""Fabriqué dans l'UE""]",,,,,,,
327,Pink Rock Salt,9002859072741,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,
328,Chocolate Chip Cookies 454g Dose Pâtisserie Mathéo - Gunz,9002859081712,D,,,,['Gunz'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,['France'],"['Wheat flour', 'palm fat', 'sugar', 'chocolate chips 6', '5% ', 'sugar', 'cocoa mass', 'cocoa butter', 'emulsifier: E322 ', 'soya', ']', 'glucose fructose syrup', 'maize starch', 'fat reduced cocoa powder', 'raising agents: 600', 'E503', ' food grade salt', 'skimmed milk powder', 'natural flavourings', ' May contain traces of nuts and eggs', ' Produced in Portugal', ' Keep dry and store away from heat', ' Best before: see imprint atthe bottom', ' ', 'Q', ' Susenky s kousky ëokolâdy ', 'kakaovi suiina nejméné 40%', ' Sloieni: pieniënd mouka', 'palmovy tuk', 'cukr', 'ëokolidové kousky 6,5% [cukr', 'kakaovi hmota', 'kakaové mâslo', 'emulgâtor: E322 ', 'séja', 'l', 'glukézo-fruktézovy sirup', 'kukuiiëny Skrob', 'nizkotutny kakaovj priiek', 'kypiici lâtka: E500', 'E503', 'jedlâ sül', 'suiené odstiedéné mléko', 'piirodni aromata', ' Müie obsahovat stopy skoidpkovéplodya vajec', ' Vyrobeno v Portugalsku', ' Skladujte v suchu a chrahte pied teplem', ' Minimilni trvanlivost do: viz potisk na dné']","['E322 - Lécithines', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium']","['Gluten', 'Soja']","['Huile de palme', 'Non végétalien']",4,26 g,en quantité élevée,13 g,en quantité élevée,27 g,en quantité élevée,0 g,en faible quantité,?,,509,+3%,2130 kj(509 kcal),+3%,26,+11%,13,+10%,62,-0%,27,-17%,"5,1",-22%,0,-100%,0,-100%,21,-2%,E,-2%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,['Pur beurre de cacao'],,,,,,,
329,Oursons d'or - Haribo - 175g.,9002975303736,E,nounours Haribo,175g.,['1 sachet en plastique'],['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Ours gélifiés']",['Coop'],"['France', 'Suisse']","['sirop de glucose', ' sucre', ' gélatine', ' dextrose', ' jus de fruit à partir de jus de fruit concentré ', '2%', ': ananas', 'pomme fraise framboise', 'orange', 'citron', ' acidifiant: acide citrique', ' concentrés de fruits et de végétaux: citron', 'orange', 'pomme', 'kiwi', 'baie de sureau', 'cassis', 'aronia', 'raisin fruit de la passion', 'mangue', 'épinard', 'ortie', ' arôme', "" agent d'enrobage: cire d'abeille blanche et jaune"", 'cire de carnauba', 'extrait de baie de sureau', ' fructose', ' sirop de sucre inverti']","['E428 - Gélatine', 'E330 - Acide citrique', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",,"['Non végétalien', 'Non végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,45 g,en quantité élevée,0.07 g,en faible quantité,1459,+1%,340,+3%,1459 kj(340 kcal),+3%,"0,5",+31%,"0,1",-26%,77,-1%,45,-4%,"6,3",+31%,"0,07",+2%,"0,028",+2%,13,-2%,D,-2%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,http://www.haribo.com,"['Linz', 'Autriche']",,,,
330,Sauce salade migris - 1000ml,9004125013151,,,1000 ml,['Flasche'],,,,"['France', 'Suisse']","['Huile de tournesol 41% ', 'allemagne', 'lait partiellement écrémé', 'vinaigre aux herbes ', 'vinaigre de vin', 'sel de cuisine', ""extraits d'épices"", 'oeufs past', 'épices ', 'avec lactose', 'exhausteur de goût: glutamate mono sodique', 'graines de moutarde', 'épaississant: gomme xanthane']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",['Moutarde'],['Non végétalien'],4,,,,,,,,,1500,,?,,1500 kj(359 kcal),,38,,"4,5",,"3,5",,2,,2,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,
