,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,labels,traceability_code,link,manufacturing,ingredients_origins,brand_owner,origin_detail,producer_info
10,Thé façon delice poire chocolat - Lipton - 32g,8712100625428,B,,32 g,"['Film', 'Plastique', 'Boite', 'Carton']","['Lipton', 'Unilever']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés aromatisés', 'Boissons sans sucre ajouté']",,['France'],"['Thé', 'arôme ', '17%', 'poire ', '2,2%']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,17,+70%,4,+33%,17 kj(4 kcal),+42%,0,-100%,0,-100%,"0,5",+28%,"0,5",+96%,"0,5",+169%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Rainforest Alliance'],,,,,,,
11,Caramel Fleur de Sel - Carte d'Or - 750ml,8712100627811,B,,750 ml,"['Bac', 'Plastique', 'Surgelé']","[""Carte d'Or""]","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,['France'],[],,,[],,8.3 g,en quantité modérée,5.6 g,en quantité élevée,25 g,en quantité élevée,0.58 g,en quantité modérée,?,,0,-100%,0 kj(0 kcal),-100%,"8,3",-29%,"5,6",-26%,29,+4%,25,+7%,"2,8",-11%,"0,58",+287%,"0,232",+287%,12,-10%,D,-10%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,
12,Fricadelles - Zwan - 480g,8712100631672,,,480 g,"['Conserve', 'métal']","['Zwan', 'Unilever']","['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés en conserve']",['Delhaize'],"['Belgique', 'France']","['Fricadelles 45 %: Viande de porc 42 %', 'viande de porc séparée mécaniquement 18 %', 'viandes séparées mécaniquement de dinde 18 %', 'eau', 'amidon de pomme de terre', 'sel', 'épices', 'stabilisant ', 'E451', 'E452', 'arôme,\rSauce tomate 55%: Tomate 75%', 'eau', 'oignon', 'farine de blé', 'sel', 'exhausteur de goût E621', 'poudre de paprika,']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,8.1 g,en quantité modérée,3.4 g,en quantité modérée,1.9 g,en faible quantité,1.21 g,en quantité modérée,?,,126,+18%,527 kj(126 kcal),+18%,"8,1",+73%,"3,4",+128%,"6,6",-15%,"1,9",+20%,"6,4",+5%,"1,21",+34%,"0,484",+34%,4,+254%,C,+254%,,,,,,,,,['Point Vert'],['NL 55 EG'],,,,,,
13,Moutarde 3 herbes - Maille,8712100656422,B,,,,['Maille'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",,['France'],"['Agua', 'vinagre de alcohol', 'sal', 'hierbas', 'azúcar', 'E131', 'E150', 'metabisulfito potasico', 'ácido cítrico']","['E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E150 - Caramel', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,8.6 g,en quantité modérée,0.4 g,en faible quantité,2.5 g,en faible quantité,4.8 g,en quantité élevée,?,,132,-17%,552 kj(132 kcal),-17%,"8,6",-25%,"0,4",-48%,"8,2",+125%,"2,5",+11%,"6,3",-12%,"4,8",-19%,"1,92",-19%,11,+2%,D,+2%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,
14,Greek Style - Ben & Jerry's - 4 * 72g (288g),8712100679094,B,Crème glacée au yaourt à la grecque et à la framboise avec des inclusions cacaotées (9%) + Crème glacée à la vanille et au yaourt à la grecque avec une sauce miel caramel (11%),4 * 72 g (288 g),"['Carton', 'Pots', 'Surgelé']","[""Ben & Jerry's""]","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Yaourts', 'Crèmes glacées en pot', 'Yaourts glacés', 'Yaourts à la grecque']",['Auchan'],['France'],"['Crème glacée au yaourt à la grecque et à la framboise avec des inclusions cacaotées ', '9%', ' : yaourt à la grecque ', '19%', 'eau', 'lait concentré écrémé', 'sucre', 'crème ', '10%', 'sirop de glucose-fructose', 'sirop de glucose', 'framboise ', 'purée et concentré', ' ', '4%', 'huile de coco', 'cacao maigre en poudre', ""jaune d'oeuf"", 'yaourt en poudre', 'stabilisants ', 'gomme guar', 'farine de graine de caroube', 'matière grasse du lait', 'émulsifiant ', 'lécithine de soja', 'extrait de vanille', '\rCrème glacée à la vanille et au yaourt à la grecque avec une sauce miel caramel ', '11%', ' : eau', 'yaourt à la grecque ', '20%', 'lait concentré écrémé', 'crème ', '11%', 'sirop de glucose', 'sucre', 'sirop de glucose-fructose', 'lait concentré écrémé sucré', 'miel ', '1,6%', ""jaune d'oeuf"", 'yaourt en poudre', 'matière grasse du lait', 'stabilisants ', 'farine de graines de caroube', 'gomme guar', 'carraghénanes', ""correcteur d'acidité "", 'acide lactique', 'extrait de vanille', 'sel', 'poudre à lever ', 'carbonates de sodium']","['E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E500 - Carbonates de sodium']","['Œufs', 'Lait', 'Soja']",['Non végétalien'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['Commerce équitable', 'Kascher', 'Caring Dairy', 'Fairtrade-maxhavelaar']",,,,,,,
15,"Lipton Raspberry - 1,5l",8712100719936,B,,"1,5 l",['bouteille en plastique'],['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons édulcorées', 'Infusions', 'Boissons sans alcool']",,['France'],"['eau', 'sucre', 'acidifiant ', ' acide citrique', 'extrait de thé  ', '0,12%', ""jus de framboise à partir d'un concentré "", '0,1%', 'arôme', ""correcteur d'acidité "", ' citrate trisodique', 'antioxygène ', 'acide ascorbique', 'édulcorant ', 'glyvosides de stéviol']","['E330 - Acide citrique', 'E331iii - Citrate trisodique', 'E300 - Acide ascorbique']",,[],4,,,,,,,,,?,,19,-50%,79 kj(19 kcal),-53%,"0,5",+268%,"0,1",+272%,"4,6",-47%,"4,5",-39%,"0,5",+119%,"0,03",+44%,"0,012",+44%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,
16,Jus de peche - Lipton,8712100742965,D,,,,['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pêche']",,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,4.5 g,en quantité modérée,,,?,,19,-59%,79 kj(19 kcal),-59%,"0,5",+291%,"0,1",+635%,"4,7",-54%,"4,5",-53%,"0,5",+37%,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
17,Sauce barbecue Chili - Amora - 276g,8712100791444,B,,276 g,"['Flacon', 'Plastique']",['Amora'],"['Epicerie', 'Sauces', 'Sauces barbecue']",,['France'],"['eau', ""vinaigre d'alcool"", 'sucre', 'purée de tomates mi-concentrée', 'mélasse', 'amidon modifié', 'piment 2,7 %', 'sel', 'épices', 'huiles végétales ', 'colza', 'olive', 'tournesol', ' extrait de malt ', 'ORGE', 'arôme de fumée', 'oignon fumé en poudre', 'arômes', 'sirop de glucose', 'vinaigre de malt ', 'ORGE', 'ANCHOIS', 'vinaigre de vin', 'jus de citron concentré', 'herbes']",['E14XX - Amidons modifiés'],"['Poisson', 'Gluten']","['Non végétalien', 'Non végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,16 g,en quantité élevée,1.5 g,en quantité modérée,?,,95,-39%,397 kj(95 kcal),-40%,"< 0,5",-48%,"< 0,1",-26%,20,-36%,16,-39%,"0,5",-44%,"1,5",-26%,"0,6",-26%,10,-31%,C,-31%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,
18,"Douceur d'hiver à la crème fraîche (format familial) - Knorr - 1,5l",8712100825071,A,,"1,5 l","['Brique', 'Carton']",['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",,['France'],"['eau', 'légumes: 39% ', 'carotte', ""tomates issues de |'agrituiture durable "", 'pomme de terre', 'oignon', 'poireau', 'potiron', 'CÉLERI', 'petit pois', ' CRÈME fraîche : 5%', 'amidon modifié', 'sucre', 'huile de tournesol', 'BEURRE', 'sel', 'graisse de poule', 'lactosérum ', 'LAIT', 'arôme', 'extrait de levure', 'ail']",['E14XX - Amidons modifiés'],"['Céleri', 'Lait']","['Non végétalien', 'Non végétarien']",4,4.2 g,en quantité modérée,1.9 g,en quantité modérée,3.3 g,en faible quantité,0.73 g,en quantité modérée,287,+69%,?,,287 kj(69 kcal),+67%,"4,2",+143%,"1,9",+238%,"6,4",+40%,"3,3",+70%,"0,9",-3%,"0,73",+12%,"0,292",+12%,4,+182%,C,+182%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,"['en:FSC', 'Sans exhausteur de goût', 'en:fsc-c020428', 'FSC Mix', 'Sans colorants', 'Sans conservateurs']",['FSC-C020428'],,,,,,
19,Omega 3 - Fruit d'Or - 600g,8712100877445,C,Margarine allégée demi-sel,600 g,"['Frais', 'Plastique']","[""Fruit d'Or""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées']",,['France'],"['Huiles végétales 60 % ', 'tournesol', 'palme', 'lin', 'colza', 'eau', 'sel 1,4 %', 'émulsifiant : lécithine de tournesol et mono-', ""diglycérides d'acides gras"", 'poudre de babeurre ', 'lait', 'conservateur : sorbate de potassium', 'correcteur d acidité : acide citrique  arômes naturels', 'vitamines A et D', 'colorant : caroténoïdes']","['E322i - Lécithine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E160 - Caroténoïdes']",['Lait'],"['Huile de palme', 'Non végétalien']",4,60 g,en quantité élevée,15 g,en quantité élevée,0.2 g,en faible quantité,1.4 g,en quantité modérée,?,,540,+15%,2259 kj(540 kcal),+16%,60,+17%,15,+2%,"0,2",-61%,"0,2",-24%,"0,2",-20%,"1,4",+142%,"0,56",+142%,15,+36%,D,+36%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,['Huile de palme'],"['Huile de palme durable', 'Point Vert', 'Omega-3']",,,,,,,
