,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
0,Madeleine coeur abricot - Ker Cadélac - 420g,3259426039270,B,Madeleine coeur abricot,420 g,"['Sachet', 'Plastique']","['Ker Cadélac', 'Ker Cadélac Kids']","['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']","['Sans conservateurs', 'en:palm-oil-free']",['France'],"[""Sucre - Farine de blé 19,5% - Huile de colza - CEuts entiers 14,5% - Sirop de qlucose - Stabilisant: glycérol - Purée d'abricot 5% - Emulsifiant: mono - et diglycérides d'acides gras "", 'origine végétale', ' - Poudres à lever: carbonates de sodium', ""diphosphates - Sel - Arômes naturels - Acidifiant: acide citrique Gélifiant: pectines - Concentré de carotte et potiron - Correcteur d'acidité: citrates de calcium""]","['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E440 - Pectines', 'E333 - Citrates de calcium']",['Gluten'],['Sans huile de palme'],4,18 g,en quantité modérée,1.7 g,en quantité modérée,31 g,en quantité élevée,0.9 g,en quantité modérée,?,,407,-8%,1703 kj(407 kcal),-7%,18,-21%,"1,7",-75%,57,+8%,31,+13%,"3,9",-31%,"0,9",+11%,"0,36",+11%,15,-18%,D,-18%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,
1,Crème dessert café bio - Bio Village - 4x 95g,3564707122061,,,4 x 95 g,"['Pots', 'Plastique']","['Bio Village', 'Marque Repère']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert café', 'Desserts au café', 'Desserts lactés au café']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France', 'en:Lait-francais-french-milk']",['France'],"['LAIT entier*', 'origine : France', ' 69%', 'sucre de canne*', 'CREME*', 'origine : France', ' 8,6%', 'LAIT écrémé * ', 'origine : France', 'amidon de riz', 'poudre de LAIT écrémé*', 'origine : France', 'extrait de café', 'épaississant : carraghénanes', ""correcteur d'acidité : E331"", ""*Ingrédients issus de l'agriculture biologique""]","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,5 g,en quantité modérée,3.3 g,en quantité modérée,15 g,en quantité élevée,0.2 g,en faible quantité,569,+11%,?,,569 kj(136 kcal),+8%,5,-3%,"3,3",-1%,19,+15%,15,+7%,"3,6",+7%,"0,2",+41%,"0,08",+41%,5,-6%,C,-6%,,,,,,,,['France'],"['FR 76.329.001 CE', 'Gruchet-le-Valasse (Seine-Maritime, France)']",['Leclerc'],,,,,,
2,Bouillon - Légumes - Knorr,8714100838136,,,,,['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de légumes', 'Bouillons de légumes déshydratés']",,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,6,-96%,25 kj(6 kcal),-96%,"0,5",-92%,"0,2",-93%,"0,7",-96%,"0,5",-91%,"0,5",-86%,"0,58",-97%,"0,232",-97%,,,,,,,,,,,,,,['Delhaize'],,,,,,
3,Cracker quinoa & romarin - Coop,7613379772091,B,,,,['Coop'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Bio'],"['France', 'Suisse']",[],,,[],,12 g,en quantité modérée,1.2 g,en faible quantité,2 g,en faible quantité,2.2 g,en quantité élevée,?,,425,-8%,1778 kj(425 kcal),-9%,12,-40%,"1,2",-78%,62,+4%,2,-49%,12,+21%,"2,2",+10%,"0,88",+10%,15,-3%,D,-3%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,['Coop'],,,,,,
4,Menestra de verduras - Freshona - 1kg,20495565,,,1 kg,,['Freshona'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", 'Mélanges de légumes surgelés']",,"['France', 'Espagne']",[],,,[],,4.7 g,en quantité modérée,0.1 g,en faible quantité,2.6 g,en faible quantité,0.05 g,en faible quantité,?,,110,+100%,460 kj(110 kcal),+104%,"4,7",+215%,"0,1",-66%,"9,6",+66%,"2,6",-0%,"5,7",+182%,"0,05",-76%,"0,02",-76%,-10,,A,,,,,,,,,,,,,,,,,
5,Nectar 15 fruits - Casino,3222477037755,D,,,,['Casino'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,50,+2%,209 kj(50 kcal),+3%,0,-100%,0,-100%,12,+5%,12,+12%,"0,6",+90%,0,-100%,0,-100%,15,+10%,E,+10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['Casino'],,,,,,
6,Gourmandise de Brebis - Rians - 2x150g,3184670004777,,,2x150g,['2 x 150 g'],['Rians'],['Spécialité laitière au lait de brebis aux mûres et myrtilles'],,['France'],"['Lait entier de brebis', 'sucre', 'mûres ', '5,75%', 'eau', 'myrtilles ', '2,3%', 'sirop de glucose-fructose', 'amidon de riz', 'amidon de mais modifié', 'purée concentrée de pommes', 'épaississants : pectines et gomme de guar', ""régulateurs d'acidité: citrate de sodium"", 'acide citrique et citrate de calcium', 'arômes', 'jus de raisin concentré', 'ferments lactiques', ' Les allergènes sont indiqués en gras']","['E440 - Pectines', 'E412 - Gomme de guar', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E333 - Citrates de calcium']",['Lait'],['Non végétalien'],4,4.5 g,en quantité modérée,3.1 g,en quantité modérée,12 g,en quantité modérée,0.09 g,en faible quantité,?,,109,,456 kj(109 kcal),,"4,5",,"3,1",,13,,12,,"3,6",,"0,09",,"0,036",,4,,C,,,,,,,,,,['ES 15.00303/NA CE'],['Casino'],,,,,,
7,Fresa boom - Okey,8410128191214,D,,,,['Okey'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Laits aromatisés à la fraise']",,"['France', 'Espagne']","['Leche parcialmente desnatada', 'Agua', 'Azúcar', 'Estabilizantes ', 'E 471', 'E 460', 'E 466', 'E 339', 'E 407', ' Aromas', 'Sal', 'Colorante ', 'E 120']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,1.1 g,en faible quantité,0.8 g,en quantité modérée,11 g,en quantité élevée,0.1 g,en faible quantité,?,,63,+9%,264 kj(63 kcal),+7%,"1,1",+75%,"0,8",+96%,11,+7%,11,+10%,"1,9",-27%,"0,1",-7%,"0,04",-7%,17,+34%,E,+34%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,,,,,,,,,
8,Huile d'olive extra vierge - Carrefour,8431876060386,D,,,,"['Carrefour', 'Carrefour bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive d'Espagne"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['Bio'],"['France', 'Espagne']",['OIngredientes Aceite de oliva virgen extra elaborado con aceitunas obtenidas de acuerdo a las normas de producción ecológica'],,['Aucun'],[],,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700,+3%,900,+2%,3700 kj(900 kcal),+2%,100,+2%,14,-4%,0,,0,,0,,0,,0,,6,-3%,C,-3%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,['ES 16.02448/J CE'],['Carrefour'],,,,,,
9,Lasaña de Espinaca y Queso - La Cocinera,8410239005196,,,,,['La Cocinera'],"['Plats préparés', 'Plats à base de pâtes']",,"['France', 'Espagne']","['Leche desnatada', 'espinacas 19%', 'pasta fresca al huevo 12,6% ', 'sémola de trigo duro', 'agua', 'huevo', 'clara de huevo', 'aceite de girasol', 'sal', 'agua', 'harina de trigo', 'aceite de girasol', 'queso Mozzarella 4,3%', 'queso fresco 3,9%', 'proteínas de la leche', 'queso Cheddar 2,2%', 'almidón modificado de maíz', 'sal', 'aroma natural ', 'contiene lactosa', 'especias']",,"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,7.5 g,en quantité modérée,2 g,en quantité modérée,3.6 g,en faible quantité,0.82 g,en quantité modérée,?,,144,-20%,602 kj(144 kcal),-19%,"7,5",+19%,2,-18%,12,-43%,"3,6",+49%,"6,3",-15%,"0,82",-10%,"0,328",-10%,2,-46%,B,-46%,,,,,,,,,,,,,,,,
10,ricoré - nestlé - 260g,11195612,E,,260 g,,['nestlé'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Chicorée soluble']",,['France'],[],,,[],,0 g,en faible quantité,,,9.1 g,en quantité élevée,0.23 g,en quantité modérée,?,,141,-33%,590 kj(141 kcal),-38%,0,-100%,,,"9,1",-78%,"9,1",-39%,?,,"0,23",-45%,"0,092",-45%,,,,,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,,,,,,,,,
11,Salade de pâtes bio aux légumes - Bio Village - 200g,3564707132695,,Salade de torsades aux légumes,200 g,['Barquette plastique'],"['Bio Village', 'Marque Repère']",['Torsades aux légumes'],"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"[""Spécialités céréalières au blanc d'œuf cuites* 50% "", 'eau', 'semoule de ble dur*', ""poudre de blanc d'oeuf*"", 'tomate* 15%', 'concombre* 12%', 'poivron* 8%', 'huile de tournesol*', 'eau', ""vinaigre d'alcool*"", ""huile d'olive vierge extra*"", 'sel', '**jus concentré de citron* 0,8%', 'moutarde* ', 'vinaigre de cidre*', 'graines de moutarde*', 'eau', 'sel', 'acidifiant : acide citrique', 'coriandre*', 'menthe* 0,2%', 'persil* 0,1%', 'ail*', 'cardamome*', 'poivre*', 'épaississant : gomme xanthane', 'curcuma*', 'traces de soja et fruits à coque', ""*ingrédients issus de l'agriculture biologique""]","['E330 - Acide citrique', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Moutarde']",['Non végétalien'],4,6.5 g,en quantité modérée,0.9 g,en faible quantité,4 g,en faible quantité,0.8 g,en quantité modérée,661,,?,,661 kj(158 kcal),,"6,5",,"0,9",,19,,4,,"4,3",,"0,8",,"0,32",,-1,,A,,,,,,,,,['Ivry-sur-Seine'],"['FR 22.389.003 CE', ""Yffiniac (Côtes-d'Armor, France)""]",['Leclerc'],['France'],https://fd5-courses.leclercdrive.fr/magasin-062701-Menneval-Bernay/fiche-produits-93095-Salade-de-pates-Bio-Village.aspx,,,,
12,Alioli suave - Prima - 300,8410118024003,D,,300,,['Prima'],"['Epicerie', 'Sauces', 'Mayonnaises']",,"['France', 'Espagne']",[],,,[],,72 g,en quantité élevée,7.9 g,en quantité élevée,0 g,en faible quantité,0.7 g,en quantité modérée,?,,654,+7%,2736 kj(654 kcal),+7%,72,+9%,"7,9",+28%,"2,5",-7%,0,-100%,"0,7",-43%,"0,7",-47%,"0,28",-47%,18,+1%,D,+1%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Madrid'],['ES 14.7/011 CE'],,['Bolton cile España S.A'],8410118024003,,,,
13,Boulettes végétales - William Saurin - 285g,3261055946171,,,285 g,"['Barquette', 'Plastique', 'Carton']",['William Saurin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Plats préparés à réchauffer au micro-ondes']","['Nutriscore', 'Nutriscore A']",['France'],[],,,[],,5 g,en quantité modérée,1.3 g,en faible quantité,0.3 g,en faible quantité,0.74 g,en quantité modérée,556,-9%,133,-18%,556 kj(133 kcal),-17%,5,-22%,"1,3",+30%,14,-10%,"0,3",-88%,"6,6",+6%,"0,74",-19%,"0,296",-19%,-1,-526%,A,-526%,,,,,,,,,"['FR 12.202.001 CE', 'Rodez (Aveyron, France)']",['Leclerc'],['Union européenne'],http://www.william-saurin.fr,,,,
14,Café espresso Deciso intensidad 10 estuche 10 cápsulas - Lavazza - 50g,8000070081031,,,50 g,,['Lavazza'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,
15,Queso viejo - Flor de Esgueva - 265g,8410100062747,D,,265 g,['Producto'],['Flor de Esgueva'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis']",['Point Vert'],"['France', 'Allemagne', 'Espagne']","['Leche cruda de oveja', 'Sal', 'Conservador E-252', 'Cuajo de origen animal ', 'cordero lechal', 'Estabilizante ', 'cloruro calcico', ' y Fermentos lacticos', 'Corteza no comestible ', 'Conservador E-200', 'E-235 y Colorantes E-171', 'E-172']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E235 - Natamycine', 'E171 - Oxyde de titane', 'E172 - Oxyde et hydroxyde de fer']",,"['Non végétalien', 'Non végétarien']",4,38 g,en quantité élevée,27 g,en quantité élevée,0.5 g,en faible quantité,2.3 g,en quantité élevée,?,,440,+22%,1841 kj(440 kcal),+22%,38,+23%,27,+29%,"0,5",-45%,"0,5",+84%,24,+20%,"2,3",-7%,"0,92",-7%,20,+15%,E,+15%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,,,
16,Not Guilty,3663458005033,,,,,,,"['Bio', 'Agriculture UE/Non UE']",['France'],[],,,[],,,,,,,,,,?,,318,,1331 kj(318 kcal),,"0,2",,"0,2",,79,,61,,"0,1",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,
17,Melmelada Extra D'albercoc Helios - 340g,8410095001806,B,,340 g,,['Helios'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]","['Sans gluten', 'Sans colorants']","['France', 'Espagne']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,42.7 g,en quantité élevée,0 g,en faible quantité,?,,181,-17%,757 kj(181 kcal),-17%,0,-100%,0,-100%,44,-17%,"42,7",-15%,"0,5",-0%,0,-100%,0,-100%,9,+0%,C,+0%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,
18,Ever fruits (pêche),3683080057217,,,,,['Ever Fruits'],,"['en:gluten-free', 'Sans additifs', 'Sans colorants', 'Sans conservateurs']",['France'],[],,,[],,,,,,,,,,?,,379,,1586 kj(379 kcal),,0,,0,,"84,8",,"83,7",,"3,8",,4,,"1,6",,,,,,,,,,,,,,,,,,,,,
19,Crevettes décortiquées cuite,3250392703868,D,,,,,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Crevettes cuites', 'Crevettes décortiquées']",['Sans colorants'],['France'],[],,,[],,0.7 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,89,-17%,372 kj(89 kcal),-16%,"0,7",-54%,"0,5",+10%,"0,5",+6%,"0,5",+100%,"22,3",+16%,"1,8",-1%,"0,72",-1%,3,-23%,C,-23%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,,
20,Lait de soja - Carrefour,8431876247206,B,,,,"['Carrefour', 'Carrefour bio']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Boissons végétales de soja nature']","['Bio', 'en:gluten-free', 'Source naturelle de calcium']","['France', 'Espagne']","['Agua', 'habas de soja', '14,5% ', ' ', 'sirope de agave', 'Lithothamnium calcareum', 'sal marina y espesante ', ' carragenano ']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Soja'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,2 g,en quantité modérée,0.3 g,en faible quantité,3.4 g,en quantité modérée,0.05 g,en faible quantité,210,+26%,50,+22%,210 kj(50 kcal),+23%,2,+6%,"0,3",-15%,"4,2",+89%,"3,4",+101%,"3,6",+9%,"0,05",-21%,"0,02",-21%,-2,,A,,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,,,['Carrefour'],,,,,,
21,Barthes - Destination,3700110044662,,,,,['Destination'],,['Bio'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
22,Pain tortilla - La Boulangère,3556071235393,,,,,['La Boulangère'],,['Fabriqué en France'],['France'],[],,,[],,,,,,,,,,?,,307,,1284 kj(307 kcal),,"5,6",,"0,53",,"54,5",,"5,5",,8,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,
23,Fage Fruyo 0% Con Vaniglia Naturale - 170gr,5201054036631,,,170 gr,,['Fage'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille']","['Sans gluten', 'it:Sans gluten']","['France', 'Italie']","['Yogurt colato ', 'latte scremato', 'fermenti lattici vivi', 'acqua', 'zucchero', 'amido di mais e di riso', 'bacche di vaniglia ', '0,04%', 'succo di limone concentrato', 'aroma naturale di vaniglia', ' Senza Glutine']",,,['Non végétalien'],4,0 g,en faible quantité,0 g,en faible quantité,7.1 g,en quantité modérée,0.09 g,en faible quantité,279,-26%,66,-32%,279 kj(66 kcal),-31%,0,-100%,0,-100%,"7,9",-34%,"7,1",-36%,"8,5",+122%,"0,09",-17%,"0,036",-17%,-4,-249%,A,-249%,,,,,,,,,,,,,,,,
24,Activia Kiwi - 125g,3033491364389,C,,125 g,['Pot en plastique'],['Activia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au kiwi']",,['France'],[],,,[],,2.9 g,en faible quantité,2 g,en quantité modérée,11.5 g,en quantité modérée,0.14 g,en faible quantité,?,,89,-11%,372 kj(89 kcal),-10%,"2,9",-7%,2,+1%,"11,9",-11%,"11,5",-7%,"3,7",+1%,"0,14",+23%,"0,056",+23%,2,-28%,B,-28%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,
25,Pepsi - 500ml,4060800150677,,,500ml,,"['Pepsi', 'Pepsico', 'Pepsi Co Deutschland']","['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons sans alcool', 'Boissons avec sucre ajouté']",,"['France', 'Allemagne']","['Wasser', 'Zucker', 'Kohlensäure', 'Farbstoff Zuckerkulör E150d', 'Säuerungsmittel Phosphorsäure', 'Aroma Koffein', 'Aroma']","['E290 - Dioxyde de carbone', ""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,10.7 g,en quantité élevée,0.02 g,en faible quantité,?,,43,+13%,180 kj(43 kcal),+8%,0,-100%,0,-100%,"10,7",+24%,"10,7",+46%,0,-100%,"0,02",-4%,"0,008",-4%,14,+99%,E,+99%,,,,,,,,,,,,,,,,
26,Ain Soltan,6111248360109,,,,,,,,"['France', 'Maroc']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tuiles goût crème oignon - Marque Repère - 170g,3564706543652,B,,170 g,['Tuiles salées'],"['Marque Repère', 'Chaque Jour Sans Gluten']","['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",['en:gluten-free'],['France'],"['Pomme de terre déshydratée 55%', 'huile de tournesol', 'farine de riz', 'sirop de glucose', 'amidon de pomme de terre', 'arôme naturel ', 'dont lait', 'émulsifiant : E471', 'huile de colza', 'sel']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,25 g,en quantité élevée,1.9 g,en quantité modérée,5.5 g,en quantité modérée,1.3 g,en quantité modérée,2094,-2%,?,,2094 kj(500 kcal),-2%,25,-16%,"1,9",-43%,62,+12%,"5,5",+59%,5,+13%,"1,3",-13%,"0,52",-13%,7,-48%,C,-48%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,['Leclerc'],,,,,,
28,Kefir - Yeo Valley - 350g,5036589252597,,,350g,"['Pot', 'pp-tub', 'card-sleeve']",['Yeo Valley'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Kéfir']","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'GB-ORG-05']","['France', 'Royaume-Uni']","['Organic MILK fermented with Live kefir cultures', 'organic sugar ', '5%', 'organic mango purée ', '3', '6%', ' organic passion fruit juice ', '1,5%', 'organic maize starch', 'organic concentrated lemon juice', 'natural flavourings', ' Allergy Advice: For allergens', 'see ingredients in BOLD', ' Suitable for vegetarians', ' Gluten free']",,['Lait'],['Végétarien'],4,20 g,en quantité élevée,1.3 g,en quantité modérée,9.7 g,en quantité élevée,0 g,en faible quantité,?,,81,+47%,339 kj(81 kcal),+43%,20,+777%,"1,3",-7%,"11,6",+125%,"9,7",+115%,4,+25%,0,-100%,0,-100%,18,+58%,E,+58%,,,,,,,,"['Blagdon', 'north Somerset', 'bs40 7ye']",,['Tesco'],,,,,,
29,Disfruta nectar - Juver - 200ml,8410707000180,C,,200 ml,"['tetra brik', 'tetra pak']",['Juver'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']",['Sans sucre ajouté'],"['France', 'Espagne']","['Zumo de frutas parcialmente a partir de concentrado ', '50% ', ' ', ' manzana', 'melocotón', 'uva', 'piña', 'pera', 'platano', 'mango', 'naranja', 'guayaba y maracuyá', 'en proporción variable', 'agua', 'acidulante ', 'ácido cítrico', 'sucralosa', 'acesulfamo K y neohesoiridina DC', ' y 10 vitaminas']","['E330 - Acide citrique', 'E955 - Sucralose']",,[],4,0.1 g,en faible quantité,0 g,en faible quantité,4.8 g,en quantité modérée,0.01 g,en faible quantité,?,,25,-40%,105 kj(25 kcal),-40%,"0,1",-48%,0,-100%,"5,6",-44%,"4,8",-49%,"0,2",-36%,"0,01",+4%,"0,004",+4%,6,-44%,D,-44%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['España'],['0892649-L3'],,['Espagne'],,,,,
30,Pâte de volaille,18389753,,,,,,"['Viandes', 'Volailles']","['Halal', 'Sans conservateurs']","['France', 'Suisse']",[],,,[],,29 g,en quantité élevée,3.6 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,309,+94%,1293 kj(309 kcal),+94%,29,+355%,"3,6",+105%,"2,1",-5%,"0,5",-5%,10,-51%,"1,3",+45%,"0,52",+45%,11,+374%,D,+374%,,,,,,,,,,,,,,,,
31,Salmon noruego - Carrefour - 100g,8431876172201,E,,100 g,['Producto'],['Carrefour'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,"['France', 'Espagne']","['Salmón Atlántico ', 'Salmo salar', 'zona de cría: Noruega', ' 97%', 'sal']",,['Poisson'],"['Non végétalien', 'Non végétarien']",3,13 g,en quantité modérée,2.3 g,en quantité modérée,0.8 g,en faible quantité,3.2 g,en quantité élevée,886,+15%,212,+15%,886 kj(212 kcal),+15%,13,+24%,"2,3",+12%,"0,8",+62%,"0,8",+140%,23,+4%,"3,2",+13%,"1,28",+13%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,['Carrefour'],,,,,,
32,Le club love veggie - Daunat,3367651007992,,,,,['Daunat'],,['Fabriqué en France'],['France'],[],,,[],,,,,,,,,,?,,209,,874 kj(209 kcal),,"8,4",,"2,2",,25,,4,,"6,8",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
33,Protein porridge - Karma,7613413058099,C,,,,"['Karma', 'Coop']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Porridge']","['Végétarien', 'Sans gluten', 'Végétalien']","['France', 'Suisse']",[],,,"['Végétalien', 'Végétarien']",,13 g,en quantité modérée,1.9 g,en quantité modérée,2.3 g,en faible quantité,0.04 g,en faible quantité,?,,387,+3%,1619 kj(387 kcal),+3%,13,+59%,"1,9",-5%,41,-29%,"2,3",-75%,20,+67%,"0,04",-27%,"0,016",-27%,0,,B,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,
34,Blé dur soufflé - Delhaize - 160g,5400113611318,,,160 g,,['Delhaize'],,['Nutriscore'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,6",,"0,4",,69,,"1,5",,13,,0,,0,,,,,,,,,,,,,,,['Delhaize'],,,,,,
35,Mozarella,20240547,,,,,,,,['France'],"['mozzarella cheese ', 'milk', 'acidity regulator: crtric acid', 'aergy advice']",,['Lait'],['Non végétalien'],,,,,,,,,,?,,236,,987 kj(236 kcal),,18,,"12,4",,"1,3",,"0,8",,17,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,
