,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
739,10 Brioches Rolls - Maître Jean Pierre - 350g e,20196509,C,10 pains au lait,350 g e,"['Plastique', 'Sachet']","['Maître Jean Pierre', 'Lidl']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",,['France'],"['Farine de blé', 'lait écrémé en poudre', 'œuf', ""8 % d'huile de beurre "", 'lait', 'sucre', 'dextrose', 'sirop de sucre', 'levure', 'sel', 'arôme', 'gluten de blé', 'protéine de pois', 'farine dévitalisée ', 'eau', 'farine de blé', ""émulsifiants: mono- et diglycérides d'acides gras"", 'stéaroyl-2-lactate de sodium', 'colorant : carotènes', ' agent de traitement de la farine: acide ascorbique']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160 - Caroténoïdes', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,10 g,en quantité modérée,7 g,en quantité élevée,12 g,en quantité modérée,1.14 g,en quantité modérée,?,,345,-2%,1443 kj(345 kcal),-2%,10,-12%,7,+67%,54,+2%,12,-10%,9,+5%,"1,14",+12%,"0,456",+12%,16,+20%,D,+20%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,,['Lidl'],,,,,,
740,Polpa di pomodoro con cipolla e aglio - Italiamo - 400g,20198077,,,400 g,,['Italiamo'],['es:salsa-tomate'],['Fabriqué en Italie'],"['Belgique', 'France', 'Allemagne', 'Espagne']",[],,,[],,0.2 g,en faible quantité,0.1 g,en faible quantité,4.4 g,en faible quantité,0.65 g,en quantité modérée,?,,33,,138 kj(33 kcal),,"0,2",,"0,1",,"5,8",,"4,4",,"1,6",,"0,65",,"0,26",,2,,B,,,,,,,,,,,,,,,,,
741,Pain de seigle - Hema - 400g,2026086799995,B,,400 g,"['Sachet', 'Plastique']",['Hema'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",['Point Vert'],['France'],"['farine de seigle complet 50%', 'eau', 'farine de blé', 'levure', 'sel iodé', 'farine de blé dextrinée', 'son', 'acidifiant E270 E330', 'conservateurs : E200 E282']","['E270 - Acide lactique', 'E330 - Acide citrique', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium']","['Gluten', 'Son']",['Sans huile de palme'],3,1.8 g,en faible quantité,0.6 g,en faible quantité,4.7 g,en faible quantité,1.05 g,en quantité modérée,?,,207,-10%,866 kj(207 kcal),-10%,"1,8",-9%,"0,6",+76%,37,-11%,"4,7",+60%,"6,2",-10%,"1,05",-8%,"0,42",-8%,-1,-191%,A,-191%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,['Hema'],,,,,,
742,Vinagre de manzana - Kania - 1L,20208479,B,"Vinagre de sidra, 5% acidez.",1 L,"['Garrafa', 'Plástico', 'PET', '♳']","['Kania', 'LIDL']",['Vinaigres'],['pt:Feito por nós'],"['France', 'Portugal']","['vinagre de sidra', 'conservante: dióxido de enxofre']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,[],2,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,16,-81%,67 kj(16 kcal),-81%,0,-100%,0,-100%,"0,1",-99%,"0,1",-99%,0,-100%,0,-100%,0,-100%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,['ENG. Nº 4250'],['LIDL'],,,,,,
743,Lassi lemon & green tea - Vitasia - 250g,20224837,E,,250g,,['Vitasia'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,['France'],[],,,[],,2.9 g,en quantité modérée,1.8 g,en quantité modérée,13.6 g,en quantité élevée,0.125 g,en faible quantité,?,,96,+33%,402 kj(96 kcal),+32%,"2,9",+92%,"1,8",+91%,14,+24%,"13,6",+27%,"2,9",0%,"0,125",+18%,"0,05",+18%,21,+31%,E,+31%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,['DE BY-772 EG'],,,,,,,
744,Choco lolly - Favorina,20224868,,,,,['Favorina'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Aliments et boissons de Noël', 'Chocolats', 'Chocolats de Noël']","['Point Vert', 'Fabriqué en Allemagne']","['France', 'Espagne']",[],,,[],,31.5 g,en quantité élevée,19 g,en quantité élevée,56.9 g,en quantité élevée,0.3 g,en quantité modérée,?,,544,+0%,2276 kj(544 kcal),+0%,"31,5",-1%,19,-3%,"58,4",+4%,"56,9",+5%,6,-7%,"0,3",+55%,"0,12",+55%,27,+3%,E,+3%,,,,,,,,,,['Lidl'],,,,,,
745,Chocolat - J.D. Gross - 125g ℮,20229511,D,Chocolat noir 81% cacao,125 g ℮,"['Papier', 'Carton', 'Aluminium', 'Point vert']",['J.D. Gross'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Commerce équitable', 'Fairtrade International', 'Fabriqué en Allemagne']","['France', 'Allemagne', 'Italie', 'Espagne', 'Suisse']","['pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant : lécithine de tournesol ', ' extrait de vanille']",['E322i - Lécithine'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,42.8 g,en quantité élevée,26.8 g,en quantité élevée,16.8 g,en quantité élevée,0.03 g,en faible quantité,2274,-0%,?,,2274 kj(543 kcal),-2%,"42,8",+9%,"26,8",+16%,"23,6",-39%,"16,8",-47%,"10,2",+33%,"0,03",-36%,"0,012",-36%,19,-10%,E,-10%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['LIDL'],['Équateur'],,,,,
746,Curry sauce Tikka Masala - Vitasia - 500g,20233457,,,500 g,['Bocal'],['Vitasia'],,,"['Belgique', 'France']","['amidon modifié ', 'mais', "",' purée de gingembre"", 'purée d rail', 'sel', 'crème : feuille de coriandre', 'feuille de fenugrec', 'colorant: extrait de papnu de fruits à coque', 'de céleri', 'de moutarde et de sulfites', ' Non I préférence avant le: voir couvercle']",['E14XX - Amidons modifiés'],"['Céleri', 'Moutarde', 'Anhydride sulfureux et sulfites']",['Non végétalien'],4,,,,,,,,,?,,81,,339 kj(81 kcal),,"4,5",,"1,1",,8,,"5,8",,"1,3",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,
747,Saumon d'Écosse Fumé - Deluxe,20240790,E,,,"['Frais', 'Plastique', 'Carton']","['Deluxe', 'Lidl']","['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,['France'],"['97 % saumon ', 'poisson', 'sel', 'fumée']",,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,7.8 g,en quantité modérée,1.3 g,en faible quantité,0.2 g,en faible quantité,3.25 g,en quantité élevée,?,,159,-14%,665 kj(159 kcal),-14%,"7,8",-26%,"1,3",-37%,"0,2",-60%,"0,2",-40%,"22,1",0%,"3,25",+15%,"1,3",+15%,12,-8%,D,-8%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,['Lidl'],['Écosse'],,,,,
748,Prune Rouge,20242008,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
